source_headword	JA	example_JA
pass	渡す;通る	塩を渡してください。
passenger	乗客	各乗客には切符が必要です。
patient	我慢強い	子どもには我慢強くしてください。
pattern	模様;型	この模様は簡単です。
peace	平和	私たちは皆平和を望んでいます。
penny	ペニー	私は一枚のペニーを見つけました。
per	につき;ごとに	切符は一人につき十ドルです。
per cent	パーセント	五パーセントは小さいです。
perform	演奏する;行う	バンドは今夜演奏します。
perhaps	たぶん	たぶん彼女は家にいます。
permission	許可	まず許可を求めてください。
personality	性格	彼は親しみやすい性格です。
pet	ペット	私のペットは猫です。
petrol	ガソリン	車にはガソリンが必要です。
physical	身体の;物理的な	身体運動は健康に役立ちます。
physics	物理学	物理学は難しいです。
pick	選ぶ;摘む	一枚のカードを選んでください。
pilot	パイロット	パイロットははっきり話しました。
planet	惑星	地球は惑星です。
plastic	プラスチック;プラスチックの	この瓶はプラスチックです。
plate	皿	食べ物を皿に置いてください。
platform	プラットフォーム;乗り場	二番乗り場で待ってください。
pleased	うれしい;満足した	お会いできてうれしいです。
pocket	ポケット	切符は私のポケットにあります。
polite	礼儀正しい	皆に礼儀正しくしてください。
pollution	汚染	汚染は海を傷つけます。
pop	ポップ音楽	私はポップ音楽が好きです。
population	人口	人口は増えています。
position	位置;姿勢	姿勢を変えてください。
possession	所有物;所有	この指輪は私の所有物です。
possibility	可能性	雨の可能性があります。
poster	ポスター	ポスターを壁に貼ってください。
power	力;電力	コンピューターには電力が必要です。
predict	予測する	私たちは天気を予測できません。
president	大統領;会長	大統領が演説しました。
prevent	防ぐ	病気を防ぐために手を洗ってください。
print	印刷する	その書類を印刷してください。
printer	プリンター	プリンターは壊れています。
prison	刑務所	彼は刑務所に入りました。
prize	賞	彼女は賞を取りました。
process	過程;手順	その過程には時間がかかります。
produce	生産する	農場は食べ物を生産します。
professional	専門の;プロの	彼女はプロのダンサーです。
professor	教授	教授は質問に答えました。
profile	プロフィール	プロフィールを更新してください。
program	番組;プログラム	番組は今始まります。
progress	進歩	私たちは今日進歩しました。
promise	約束;約束する	約束を守ってください。
pronounce	発音する	この単語を発音してください。
protect	守る	目を守ってください。
provide	提供する	彼らは無料の水を提供します。
pub	パブ;酒場	私たちはパブで会いました。
public	公共の;公の	その公園は公共です。
publish	出版する;公開する	彼らは雑誌を出版します。
pull	引く	ドアを引いてください。
purpose	目的	目的は何ですか。
push	押す	ボタンを押してください。
quality	品質	品質は高いです。
quantity	数量	数量を確認してください。
queen	女王	女王は手を振りました。
quietly	静かに	静かに話してください。
race (competition)	競走;レース	レースはもうすぐ始まります。
railway	鉄道	鉄道は閉まっています。
raise	上げる;育てる	手を上げてください。
rate	料金;割合	ホテルの料金は高いです。
rather	かなり;むしろ	私はかなり疲れています。
reach	届く;到着する	棚に届きますか。
react	反応する	彼はどう反応しましたか。
realize	気づく;理解する	私は自分の間違いに気づきました。
receive	受け取る	私のメッセージを受け取りましたか。
recent	最近の	これは最近の写真です。
recently	最近	私は最近ここに引っ越しました。
reception	受付;歓迎会	受付は月曜日です。
recipe	レシピ	このレシピは簡単です。
recognize	認識する;見覚えがある	私はその歌に聞き覚えがあります。
recommend	勧める	この本を勧めます。
record	記録;録音	支払いの記録を残してください。
recording	録音	録音ははっきり聞こえます。
recycle	リサイクルする	紙とプラスチックをリサイクルしてください。
reduce	減らす	火を弱めてください。
refer	参照する;言及する	二ページを参照してください。
refuse1	拒否する	私はうそをつくことを拒みます。
region	地域	この地域は寒いです。
regular	定期的な;常連の	彼は常連客です。
relationship	関係	彼らの関係は強いです。
remove	取り除く;脱ぐ	靴を脱いでください。
repair	修理する	今日自転車を修理してください。
replace	取り替える	古い電池を取り替えてください。
reply	返事をする	すぐ返事をしてください。
reporter	記者	記者はメモを取りました。
request	依頼;要求	私は依頼をしました。
research	研究	私たちは地元の歴史を研究します。
researcher	研究者	研究者はデータを確認しました。
respond	返答する	今日返答してください。
response	返答;反応	彼女の返答は速かったです。
rest (remaining part)	残り	残りは後で食べてください。
rest (sleep/relax)	休む;休息	あなたは休む必要があります。
review	復習する;見直す	今夜ノートを復習してください。
ring1	指輪	彼女は金の指輪をしていました。
ring2	電話する	昼食後に私に電話してください。
rise	上がる;上昇する	値段は毎年上がります。
rock (stone)	岩;石	その石は重いです。
