source_headword	ML	example_ML
bacteria	ബാക്ടീരിയ	ബാക്ടീരിയകൾ വേഗത്തിൽ പടരും.
barrier	തടസ്സം	ഭാഷ ഒരു തടസ്സമായിരുന്നു.
basically	അടിസ്ഥാനപരമായി	അടിസ്ഥാനപരമായി, ഞങ്ങൾക്ക് കൂടുതൽ സമയം ആവശ്യമാണ്.
bear (deal with)	സഹിക്കുക	എനിക്ക് ഈ ശബ്ദം സഹിക്കാൻ കഴിയില്ല.
beg	അപേക്ഷിക്കുക	ദയവായി സഹായത്തിനായി അപേക്ഷിക്കുക.
being	ജീവി	ഓരോ ജീവിക്കും വെള്ളം ആവശ്യമാണ്.
bent	വളഞ്ഞ	ലോഹദണ്ഡ് വളഞ്ഞതായിരുന്നു.
bet	ഉറപ്പിച്ചു പറയുക	അവന് അറിയാമെന്ന് ഞാൻ ഉറപ്പിച്ചു പറയുന്നു.
beyond	അപ്പുറം	ഗ്രാമം നദിക്കപ്പുറത്താണ്.
bitter	കയ്പ്പുള്ള	മരുന്നിന് കയ്പ്പായിരുന്നു.
blame	കുറ്റപ്പെടുത്തുക	ഡ്രൈവറെ കുറ്റപ്പെടുത്തരുത്.
blind	അന്ധനായ	അവൻ ചെറുപ്പത്തിൽ തന്നെ അന്ധനായി.
bond	ബന്ധം	വിശ്വാസം ശക്തമായ ഒരു ബന്ധം സൃഷ്ടിക്കുന്നു.
breast	നെഞ്ച്	അവളുടെ നെഞ്ചിൽ വേദന അനുഭവപ്പെട്ടു.
brief	ചുരുങ്ങിയ	നിങ്ങളുടെ ഉത്തരം ചുരുക്കി പറയുക.
broad	വീതിയുള്ള	നദിക്ക് ഇവിടെ നല്ല വീതിയുണ്ട്.
broadcast	സംപ്രേഷണം ചെയ്യുക	പ്രസംഗം തത്സമയം സംപ്രേഷണം ചെയ്തു.
budget	ബജറ്റ്	ബജറ്റ് വളരെ പരിമിതമാണ്.
bullet	വെടിയുണ്ട	വെടിയുണ്ട ഭിത്തിയിൽ പതിച്ചു.
bunch	കൂട്ടം	അവൾ ഒരു കൂട്ടം താക്കോലുകൾ കൊണ്ടുപോയി.
bush	കുറ്റിച്ചെടി	ഒരു പക്ഷി കുറ്റിച്ചെടിയിൽ ഒളിച്ചു.
cable	കേബിൾ	കേബിൾ പൊട്ടിയിരിക്കുന്നു.
calculate	കണക്കുകൂട്ടുക	ആകെ ചെലവ് കണക്കുകൂട്ടുക.
cancel	റദ്ദാക്കുക	അവർ മീറ്റിംഗ് റദ്ദാക്കി.
cancer	ക്യാൻസർ	ക്യാൻസർ ചികിത്സ ബുദ്ധിമുട്ടായേക്കാം.
capable	കഴിവുള്ള	അവൾക്ക് കൂടുതൽ കാര്യങ്ങൾ ചെയ്യാൻ കഴിയും.
capacity	ശേഷി	ഹാൾ അതിന്റെ പൂർണ്ണശേഷിയിലെത്തി.
capture	പകർത്തുക	ഫോട്ടോ ആ മാനസികാവസ്ഥയെ പകർത്തുന്നു.
cast	അഭിനേതാക്കൾ	അഭിനേതാക്കൾ തയ്യാറാണ്.
cell	സെൽ	ഓരോ സെല്ലിലും വിവരങ്ങൾ അടങ്ങിയിരിക്കുന്നു.
chairman	അധ്യക്ഷൻ	അധ്യക്ഷൻ മീറ്റിംഗ് ആരംഭിച്ചു.
characteristic	സവിശേഷത	ക്ഷമയാണ് അവളുടെ പ്രധാന സവിശേഷത.
chief	മുഖ്യ	മുഖ്യ എഞ്ചിനീയർ വൈകിയെത്തി.
circumstance	സാഹചര്യം	ഓരോ സാഹചര്യവും ശ്രദ്ധാപൂർവ്വം പരിഗണിക്കുക.
cite	ഉദ്ധരിക്കുക	ദയവായി നിങ്ങളുടെ ഉറവിടം ഉദ്ധരിക്കുക.
citizen	പൗരൻ	ഓരോ പൗരനും വോട്ട് ചെയ്യാം.
civil	സമാധാനപരമായ	പ്രതിഷേധം സമാധാനപരമായി തുടർന്നു.
classic	ക്ലാസിക്	ഈ ചിത്രം ഒരു ക്ലാസിക് ആണ്.
closely	സൂക്ഷ്മമായി	പ്രക്രിയ സൂക്ഷ്മമായി നിരീക്ഷിക്കുക.
collapse	തകരുക	പഴയ പാലം തകർന്നേക്കാം.
combination	സംയോജനം	സംയോജനം നന്നായി പ്രവർത്തിച്ചു.
comfort	ആശ്വാസം	അവളുടെ വാക്കുകൾ ആശ്വാസം നൽകി.
command	കൽപ്പന	ഉദ്യോഗസ്ഥൻ ഒരു കൽപ്പന നൽകി.
commission	കമ്മീഷൻ	കമ്മീഷൻ കേസ് അവലോകനം ചെയ്തു.
commitment	പ്രതിബദ്ധത	ജോലിക്ക് പ്രതിബദ്ധത ആവശ്യമാണ്.
committee	കമ്മിറ്റി	കമ്മിറ്റി ആഴ്ചതോറും യോഗം ചേരുന്നു.
commonly	സാധാരണയായി	ഈ ചെടി സാധാരണയായി വളർത്താറുണ്ട്.
complicated	സങ്കീർണ്ണമായ	നിർദ്ദേശങ്ങൾ സങ്കീർണ്ണമാണ്.
component	ഘടകം	ഒരു ഘടകം പരാജയപ്പെട്ടു.
concentration	ഏകാഗ്രത	ശബ്ദം എൻ്റെ ഏകാഗ്രത തകർക്കുന്നു.
concept	ആശയം	ആശയം ലളിതമാണ്.
concern	ആശങ്ക	സുരക്ഷയാണ് ഞങ്ങളുടെ പ്രധാന ആശങ്ക.
concerned	ഉത്കണ്ഠയുള്ള	മാതാപിതാക്കൾക്ക് കടുത്ത ഉത്കണ്ഠയുണ്ടായിരുന്നു.
conduct	നടത്തുക	അവർ പ്രാദേശികമായി ഗവേഷണം നടത്തുന്നു.
confidence	ആത്മവിശ്വാസം	പരിശീലനം ആത്മവിശ്വാസം വളർത്തുന്നു.
conflict	സംഘർഷം	സംഘർഷം വർഷങ്ങളോളം നീണ്ടുനിന്നു.
confusing	ആശയക്കുഴപ്പമുണ്ടാക്കുന്ന	ഭൂപടം ആശയക്കുഴപ്പമുണ്ടാക്കുന്നതായിരുന്നു.
conscious	ബോധമുള്ള	അവൾക്ക് ബോധമുണ്ടായിരുന്നു.
conservative	യാഥാസ്ഥിതികമായ	അദ്ദേഹത്തിന്റെ കാഴ്ചപ്പാടുകൾ യാഥാസ്ഥിതികമാണ്.
consideration	പരിഗണന	ചെലവ് ഒരു പ്രധാന പരിഗണനയാണ്.
consistent	സ്ഥിരതയുള്ള	അവളുടെ ഫലങ്ങൾ സ്ഥിരതയുള്ളതാണ്.
constant	നിരന്തരമായ	നിരന്തരമായ ശബ്ദം ഞങ്ങളെ തളർത്തി.
constantly	നിരന്തരം	അവൻ നിരന്തരം ഫോൺ നോക്കാറുണ്ട്.
construct	നിർമ്മിക്കുക	തൊഴിലാളികൾ ഒരു പുതിയ പാലം നിർമ്മിച്ചു.
construction	നിർമ്മാണം	നിർമ്മാണം അടുത്ത മാസം ആരംഭിക്കും.
contemporary	സമകാലികമായ	ഗാലറി സമകാലിക കല പ്രദർശിപ്പിക്കുന്നു.
contest	മത്സരം	അവൾ മത്സരത്തിൽ പങ്കെടുത്തു.
contract	കരാർ	കരാർ ശ്രദ്ധിച്ച് വായിക്കുക.
contribute	സംഭാവന നൽകുക	എല്ലാവർക്കും ആശയങ്ങൾ സംഭാവന ചെയ്യാം.
contribution	സംഭാവന	അവളുടെ സംഭാവന വിലപ്പെട്ടതായിരുന്നു.
convert	മാറ്റുക	അവർ ഗാരേജ് മാറ്റിപ്പണിതു.
convinced	ബോധ്യപ്പെട്ട	അവൻ കള്ളം പറഞ്ഞുവെന്ന് എനിക്ക് ബോധ്യപ്പെട്ടു.
core	കാതലായ	വിശ്വാസമാണ് കാതലായ പ്രശ്നം.
corporate	കോർപ്പറേറ്റ്	കോർപ്പറേറ്റ് നിയമങ്ങൾ വീണ്ടും മാറി.
council	കൗൺസിൽ	കൗൺസിൽ പദ്ധതിക്ക് അംഗീകാരം നൽകി.
county	കൗണ്ടി	കൗണ്ടി റോഡ് നന്നാക്കി.
courage	ധൈര്യം	അവൾ യഥാർത്ഥ ധൈര്യം കാണിച്ചു.
crash	അപകടം	അപകടം ഗതാഗതം തടസ്സപ്പെടുത്തി.
creation	സൃഷ്ടി	നിർമ്മാണത്തിന് ആറുമാസം എടുത്തു.
creature	ജീവി	ആ ജീവി നിശബ്ദമായി നീങ്ങി.
crew	സംഘം	സംഘം കപ്പൽ തയ്യാറാക്കി.
crisis	പ്രതിസന്ധി	പ്രതിസന്ധി എല്ലാം മാറ്റിമറിച്ചു.
criterion	മാനദണ്ഡം	വില ഒരു മാനദണ്ഡമാണ്.
critic	നിരൂപകൻ	നിരൂപകൻ നാടകത്തെ പ്രശംസിച്ചു.
critical	ഗുരുതരമായ	അവന്റെ അവസ്ഥ ഗുരുതരമാണ്.
criticism	വിമർശനം	അവൾ വിമർശനം ശാന്തമായി സ്വീകരിച്ചു.
criticize	വിമർശിക്കുക	ഓരോ തെറ്റും വിമർശിക്കരുത്.
crop	വിള	ഈ വർഷം വിളവ് മോശമായിരുന്നു.
crucial	നിർണായകമായ	സമയം ഇവിടെ നിർണായകമാണ്.
cure	ചികിത്സ	ഡോക്ടർമാർ ഒരു ചികിത്സ കണ്ടെത്തി.
curve	വളവ്	റോഡ് ഒരു വളവിലൂടെ പോകുന്നു.
curved	വളഞ്ഞ	മതിൽ അല്പം വളഞ്ഞതാണ്.
debate	സംവാദം	സംവാദം മണിക്കൂറുകളോളം തുടർന്നു.
debt	കടം	അവൻ കടം വീട്ടി.
decent	മാന്യമായ	അവർ മാന്യമായ ഒരു അപ്പാർട്ട്മെന്റ് കണ്ടെത്തി.
declare	പ്രഖ്യാപിക്കുക	അവർ ഫലം പ്രഖ്യാപിച്ചു.
decline	കുറയുക	വില്പന കുറഞ്ഞുകൊണ്ടേയിരുന്നു.
decoration	അലങ്കാരം	അലങ്കാരം വിലയേറിയതായി തോന്നി.
decrease	കുറയുക	വിലകൾ ഉടൻ കുറഞ്ഞേക്കാം.
deeply	ആഴത്തിൽ	അവൾ നീതിയെക്കുറിച്ച് ആഴത്തിൽ ചിന്തിച്ചു.
defeat	പരാജയം	പരാജയം ടീമിനെ ഞെട്ടിച്ചു.
defence	പ്രതിരോധം	പ്രതിരോധഭാഗം തെളിവുകളെ ചോദ്യം ചെയ്തു.
defend	പ്രതിരോധിക്കുക	അവൻ സ്വയം പ്രതിരോധിക്കാൻ ശ്രമിച്ചു.
delay	കാലതാമസം	മോശം കാലാവസ്ഥ കാലതാമസത്തിന് കാരണമായി.
deliberate	മനഃപൂർവ്വമായ	അതൊരു മനഃപൂർവ്വമായ തീരുമാനമായിരുന്നു.
deliberately	മനഃപൂർവ്വം	അവൾ മുന്നറിയിപ്പ് മനഃപൂർവ്വം അവഗണിച്ചു.
delight	സന്തോഷിപ്പിക്കുക	വാർത്ത എല്ലാവരെയും സന്തോഷിപ്പിച്ചു.
delighted	സന്തോഷമുള്ള	സമ്മാനം ലഭിച്ചതിൽ ഞങ്ങൾക്ക് അതിയായ സന്തോഷമുണ്ടായി.
delivery	വിതരണം	വിതരണം നേരത്തെ എത്തി.
demand	ആവശ്യപ്പെടുക	തൊഴിലാളികൾ മികച്ച ശമ്പളം ആവശ്യപ്പെടുന്നു.
demonstrate	പ്രദർശിപ്പിക്കുക	അവൻ പുതിയ സോഫ്റ്റ്‌വെയർ പ്രവർത്തിപ്പിച്ച് കാണിച്ചു.
deny	നിഷേധിക്കുക	അവൾ ആരോപണം നിഷേധിച്ചു.
depressed	വിഷാദമുള്ള	തോറ്റതിന് ശേഷം അവന് വിഷാദം തോന്നി.
depressing	വിഷാദജനകമായ	ആ സിനിമ വളരെ വിഷാദജനകമായിരുന്നു.
depth	ആഴം	കുളത്തിന് വലിയ ആഴമുണ്ട്.
deserve	അർഹിക്കുക	നിങ്ങൾ ഒരു ഇടവേള അർഹിക്കുന്നു.
desire	ആഗ്രഹം	അവൾ യാത്ര ചെയ്യാനുള്ള ആഗ്രഹം പ്രകടിപ്പിച്ചു.
desperate	നിരാശയായ	അവർ നിരാശ കലർന്ന ഒരു കോൾ ചെയ്തു.
detailed	വിശദമായ	ആ ഗൈഡ് വളരെ വിശദമാണ്.
detect	കണ്ടുപിടിക്കുക	നായ്ക്കൾക്ക് പുക മണത്തറിയാൻ കഴിയും.
dig	കുഴിക്കുക	വേനൽക്കാലത്ത് അവർ കിണറുകൾ കുഴിക്കാറുണ്ട്.
disc	ഡിസ്ക്	ഡിസ്കിൽ പോറലുകൾ ഉണ്ടായിരുന്നു.
discipline	അച്ചടക്കം	അച്ചടക്കം കായികതാരങ്ങളെ മെച്ചപ്പെടാൻ സഹായിക്കുന്നു.
dishonest	സത്യസന്ധമല്ലാത്ത	അവൻ്റെ മറുപടി സത്യസന്ധമല്ലെന്ന് തോന്നി.
dismiss	തള്ളിക്കളയുക	മാനേജർ പരാതി തള്ളിക്കളഞ്ഞു.
display	പ്രദർശിപ്പിക്കുക	സ്ക്രീൻ സ്കോർ പ്രദർശിപ്പിക്കുന്നു.
distribute	വിതരണം ചെയ്യുക	സന്നദ്ധപ്രവർത്തകർ ശുദ്ധജലം വിതരണം ചെയ്തു.
distribution	വിതരണം	സൂര്യോദയത്തിന് ശേഷം വിതരണം ആരംഭിച്ചു.
district	ജില്ല	ജില്ല ഒരു മേയറെ തിരഞ്ഞെടുത്തു.
division	വിഭാഗം	ആ വിഭാഗം നിയമപരമായ കേസുകൾ കൈകാര്യം ചെയ്യുന്നു.
domestic	ആഭ്യന്തര	ആഭ്യന്തര വിമാന സർവീസുകൾക്ക് നിരക്ക് കുറവാണ്.
dominate	ആധിപത്യം സ്ഥാപിക്കുക	ഒരു കമ്പനിക്ക് വിപണിയിൽ ആധിപത്യം സ്ഥാപിക്കാൻ കഴിഞ്ഞേക്കാം.
downwards	താഴേക്ക്	വഴി താഴേക്ക് ചരിഞ്ഞതാണ്.
dozen	ഒരു ഡസൻ	അവൾ ഒരു ഡസൻ മുട്ടകൾ വാങ്ങി.
draft	കരട്	ദയവായി കരട് പരിശോധിക്കുക.
drag	വലിച്ചിഴയ്ക്കുക	മേശ വലിച്ചിഴയ്ക്കരുത്.
dramatic	നാടകീയമായ	ഫലങ്ങൾ നാടകീയമായിരുന്നു.
edit	എഡിറ്റ് ചെയ്യുക	അവൾ ലേഖനം തിരുത്തി.
edition	പതിപ്പ്	ഈ പതിപ്പിൽ പുതിയ ഫോട്ടോകൾ ഉൾപ്പെടുന്നു.
efficient	കാര്യക്ഷമമായ	സിസ്റ്റം കാര്യക്ഷമമാണ്.
elderly	പ്രായമായ	പ്രായമായ താമസക്കാർക്ക് പിന്തുണ ആവശ്യമാണ്.
elect	തിരഞ്ഞെടുക്കുക	വോട്ടർമാർ പുതിയ കൗൺസിലിനെ തിരഞ്ഞെടുക്കുന്നു.
elsewhere	മറ്റെവിടെയെങ്കിലും	ഞങ്ങൾ സഹായത്തിനായി മറ്റെവിടെയെങ്കിലും അന്വേഷിച്ചു.
emerge	പുറത്തുവരിക	അർദ്ധരാത്രിക്ക് ശേഷം വിശദാംശങ്ങൾ പുറത്തുവന്നു.
emotional	വൈകാരികമായ	ആ പ്രസംഗം വൈകാരികമായിരുന്നു.
emphasis	ഊന്നൽ	സുരക്ഷയ്ക്ക് ഊന്നൽ നൽകുക.
emphasize	ഊന്നിപ്പറയുക	അധ്യാപകർ ദൈനംദിന പരിശീലനത്തെ ഊന്നിപ്പറയുന്നു.
enable	പ്രാപ്തമാക്കുക	ഈ ആപ്പ് വേഗത്തിലുള്ള പേയ്‌മെന്റുകൾ പ്രാപ്തമാക്കുന്നു.
encounter	നേരിടുക	ഞങ്ങൾക്ക് വലിയ ട്രാഫിക് നേരിടേണ്ടി വന്നു.
engage	പങ്കാളിയാക്കുക	കോഴ്സ് മുതിർന്ന പഠിതാക്കളെ പങ്കാളികളാക്കുന്നു.
enhance	മെച്ചപ്പെടുത്തുക	വെളിച്ചത്തിന് മുറിയുടെ ഭംഗി വർദ്ധിപ്പിക്കാൻ കഴിയും.
enquiry	അന്വേഷണം	അന്വേഷണം മൂന്ന് മാസം നീണ്ടുനിന്നു.
ensure	ഉറപ്പാക്കുക	കൃത്യത ഉറപ്പാക്കാൻ രണ്ടുതവണ പരിശോധിക്കുക.
enthusiasm	ആവേശം	അവളുടെ ആവേശം ഗ്രൂപ്പിനെ പ്രോത്സാഹിപ്പിച്ചു.
enthusiastic	ആവേശഭരിതമായ	വോളന്റിയർമാർ ആവേശഭരിതരായിരുന്നു.
entire	മുഴുവനായ	ഗ്രാമത്തിൽ മുഴുവൻ വൈദ്യുതി തടസ്സപ്പെട്ടു.
entirely	പൂർണ്ണമായും	ആ കഥ പൂർണ്ണമായും തെറ്റാണ്.
establish	സ്ഥാപിക്കുക	അവർ വ്യക്തമായ നിയമങ്ങൾ സ്ഥാപിച്ചു.
estate	എസ്റ്റേറ്റ്	ഈ എസ്റ്റേറ്റിൽ നിരവധി ഫാമുകൾ ഉൾപ്പെടുന്നു.
estimate	കണക്കാക്കുക	ഞങ്ങൾ പതിനായിരം സന്ദർശകരെ കണക്കാക്കുന്നു.
ethical	ധാർമ്മികമായ	ഈ തീരുമാനം ധാർമ്മിക ചോദ്യങ്ങൾ ഉയർത്തി.
evaluate	വിലയിരുത്തുക	വിദഗ്ധർ ഡിസൈൻ വിലയിരുത്തും.
evil	തിന്മ	രാജാവ് ദുരാത്മാക്കളെ ഭയപ്പെട്ടിരുന്നു.
examination	പരീക്ഷ	പരീക്ഷ ഒരു മണിക്കൂർ നീണ്ടുനിന്നു.
excuse	ഒഴിവുകഴിവ്	ആ ഒഴിവുകഴിവ് ദുർബലമായി തോന്നി.
executive	എക്സിക്യൂട്ടീവ്	എക്സിക്യൂട്ടീവ് കരാർ അംഗീകരിച്ചു.
existence	നിലനിൽപ്പ്	അവരുടെ നിലനിൽപ്പ് അജ്ഞാതമായിരുന്നു.
expectation	പ്രതീക്ഷ	ലോഞ്ചിന് മുമ്പ് പ്രതീക്ഷ വളരെ വലുതായിരുന്നു.
expense	ചെലവ്	യാത്രയാണ് ഞങ്ങളുടെ ഏറ്റവും വലിയ ചെലവ്.
exploration	പര്യവേക്ഷണം	ബഹിരാകാശ പര്യവേക്ഷണം കുട്ടികൾക്ക് പ്രചോദനം നൽകുന്നു.
expose	വെളിപ്പെടുത്തുക	ആ ലേഖനം അഴിമതി വെളിപ്പെടുത്തി.
extend	നീട്ടുക	അവർ സമയപരിധി നീട്ടി.
extent	വ്യാപ്തി	ഞങ്ങൾ പിന്നീട് ഇതിന്റെ വ്യാപ്തി അറിഞ്ഞു.
external	ബാഹ്യമായ	ബാഹ്യ സമ്മർദ്ദം അവരെ സ്വാധീനിച്ചു.
extraordinary	അസാധാരണമായ	അവളുടെ രോഗശാന്തി അസാധാരണമായിരുന്നു.
facility	സൗകര്യം	സൗകര്യം ജൂണിൽ തുറന്നു.
failure	പരാജയം	പരാജയം അവനെ ക്ഷമ പഠിപ്പിച്ചു.
faith	വിശ്വാസം	അവൾ അവനിൽ വിശ്വാസം നിലനിർത്തി.
fault	തെറ്റ്	അപകടം എന്റെ തെറ്റാണ്.
feather	തൂവൽ	തലയണയിൽ നിന്ന് ഒരു തൂവൽ താഴെ വീണു.
fee	ഫീസ്	ഫീസിൽ ഉച്ചഭക്ഷണവും ഉൾപ്പെടുന്നു.
feedback	പ്രതികരണം	പ്രതികരണം കോഴ്സ് മെച്ചപ്പെടുത്താൻ സഹായിച്ചു.
fellow	സഹപ്രവർത്തകൻ	സഹപ്രവർത്തകർ അവളെ പിന്തുണച്ചു.
finance	ധനകാര്യം	വിപുലീകരണത്തിന് ബാങ്ക് പണം നൽകും.
finding	കണ്ടെത്തൽ	കണ്ടെത്തൽ ഗവേഷകരെ അത്ഭുതപ്പെടുത്തി.
firm	സ്ഥാപനം	സ്ഥാപനം പുതിയ ജീവനക്കാരെ ജോലിക്ക് എടുത്തു.
flame	തീജ്വാല	ഒരു ചെറിയ തീജ്വാല പ്രത്യക്ഷപ്പെട്ടു.
flash	മിന്നൽ	ഒരു മിന്നൽ ആകാശത്തെ പ്രകാശിപ്പിച്ചു.
flexible	വഴക്കമുള്ള	സമയക്രമം വഴക്കമുള്ളതാണ്.
float	പൊങ്ങിക്കിടക്കുക	ഇലകൾ വെള്ളത്തിൽ പൊങ്ങിക്കിടക്കുന്നു.
folding	മടക്കാവുന്ന	അവൻ മടക്കാവുന്ന ഒരു കസേര കരുതിയിരുന്നു.
forgive	ക്ഷമിക്കുക	നിങ്ങൾക്ക് അവനോട് ക്ഷമിക്കാൻ കഴിയുമോ?
former	മുൻ	മുൻ മേയർ മടങ്ങിയെത്തി.
fortune	സമ്പത്ത്	അവർക്ക് വലിയൊരു സമ്പത്ത് നഷ്ടപ്പെട്ടു.
found	സ്ഥാപിക്കുക	അവർ ഒരു ചെറിയ ചാരിറ്റി സ്ഥാപിച്ചു.
freedom	സ്വാതന്ത്ര്യം	സ്വാതന്ത്ര്യത്തിന് ഉത്തരവാദിത്തം ആവശ്യമാണ്.
frequency	ആവൃത്തി	ശൈത്യകാലത്ത് ഇതിന്റെ ആവൃത്തി വർദ്ധിച്ചു.
fully	പൂർണ്ണമായും	ഹോട്ടൽ പൂർണ്ണമായും ബുക്ക് ചെയ്തിട്ടുണ്ട്.
fund	ഫണ്ട്	ഫണ്ട് പ്രാദേശിക സ്കൂളുകളെ പിന്തുണയ്ക്കുന്നു.
fundamental	അടിസ്ഥാനപരമായ	ബഹുമാനം ഇവിടെ അടിസ്ഥാനപരമായ ഒന്നാണ്.
funding	ധനസഹായം	ധനസഹായം കഴിഞ്ഞ വർഷം അവസാനിച്ചു.
furthermore	കൂടാതെ	കൂടാതെ, ചെലവുകൾ വർദ്ധിക്കുന്നു.
gain	നേടുക	വിദ്യാർത്ഥികൾ പെട്ടെന്ന് ആത്മവിശ്വാസം നേടുന്നു.
gang	ഗുണ്ടാസംഘം	ഒരു ഗുണ്ടാസംഘം തെരുവ് നിയന്ത്രിച്ചു.
generate	ഉത്പാദിപ്പിക്കുക	സോളാർ പാനലുകൾ വൈദ്യുതി ഉത്പാദിപ്പിക്കുന്നു.
genre	തരം	കോമഡിയാണ് അവളുടെ ഇഷ്ടപ്പെട്ട തരം.
govern	നിയന്ത്രിക്കുക	നിയമങ്ങൾ പൊതുചെലവുകളെ നിയന്ത്രിക്കുന്നു.
grab	പിടിക്കുക	അവൻ എന്റെ കൈ പിടിച്ചു.
gradually	ക്രമമായി	വേദന ക്രമേണ അപ്രത്യക്ഷമായി.
grand	ഗംഭീരമായ	ഹോട്ടലിന് ഒരു ഗംഭീരമായ പ്രവേശനകവാടമുണ്ട്.
