source_headword	NL	example_NL
readily	bereidwillig	Hij accepteerde het aanbod bereidwillig.
realization	het besef	Het besef veranderde haar plannen.
realm	het domein	Deze vraag behoort tot een ander domein.
rear	achterste	Gebruik vandaag de achterste ingang.
reasoning	de redenering	Zijn redenering was duidelijk.
reassure	geruststellen	De dokter probeerde haar gerust te stellen.
rebel	de rebel	De rebellenleider ontkwam aan gevangenneming.
rebellion	de opstand	De opstand eindigde na onderhandelingen.
recipient	de ontvanger	De ontvanger heeft het formulier ondertekend.
reconstruction	de wederopbouw	De wederopbouw begon na de overstroming.
recount1	navertellen	Ze kan gebeurtenissen duidelijk navertellen.
referendum	het referendum	Het referendum verdeelde het land.
reflection	de reflectie	Het essay had een diepgaandere reflectie nodig.
reform	de hervorming	De hervorming verbeterde de openbare diensten.
refuge	het toevluchtsoord	De familie zocht haar toevlucht in het buitenland.
refusal	de weigering	Haar weigering verraste de commissie.
regain	herwinnen	Hij werkte hard om het vertrouwen te herwinnen.
regardless	ongeacht	Ze gingen door, ongeacht de kritiek.
regime	het regime	Het regime beperkte de vrijheid van meningsuiting.
regulator	de toezichthouder	De toezichthouder legde het bedrijf een boete op.
regulatory	regelgevend	De goedkeuring van de regelgevende instanties duurde maanden.
rehabilitation	de revalidatie	Revalidatie hielp hem weer lopen.
reign	de heerschappij	De heerschappij van de koning duurde decennia.
rejection	de afwijzing	De afwijzing schaadde haar zelfvertrouwen.
relevance	de relevantie	De gegevens hebben een beperkte relevantie.
reliability	de betrouwbaarheid	Betrouwbaarheid is belangrijk in noodsystemen.
reluctant	terughoudend	Hij was terughoudend om te spreken.
remainder	het restant	De rest ging naar het goede doel.
remains	de overblijfselen	De overblijfselen werden zorgvuldig onderzocht.
remedy	de remedie	De wet biedt een remedie.
reminder	de herinnering	De e-mail was een nuttige herinnering.
removal	de verwijdering	De verwijdering van barrières hielp de handel.
render	maken	Door de fout werd het contract ongeldig.
renew	vernieuwen	Vernieuw uw paspoort binnenkort.
renowned	gerenommeerd	Ze is gerenommeerd om haar onderzoek.
rental	de huur	De huur is inclusief verzekering.
replacement	het vervangend onderdeel	Het vervangende onderdeel is vandaag binnengekomen.
reportedly	naar verluidt	De minister is naar verluidt gisteren afgetreden.
representation	de vertegenwoordiging	Een eerlijke vertegenwoordiging blijft belangrijk.
reproduce	zich voortplanten	Deze planten planten zich snel voort.
reproduction	de reproductie	Digitale reproductie verbeterde de toegang.
republic	de republiek	De republiek hield verkiezingen.
resemble	lijken op	De twee ontwerpen lijken sterk op elkaar.
reside	wonen	Zij wonen vlakbij de grens.
residence	de residentie	Zijn officiële residentie wordt bewaakt.
residential	residentieel	Het gebied is voornamelijk een woonwijk.
residue	het residu	Het schoonmaakmiddel liet een plakkerig residu achter.
resignation	het ontslag	Haar ontslag choqueerde het bestuur.
resistance	de weerstand	De weerstand tegen verandering was groot.
respective	respectievelijk	Ze keerden terug naar hun respectievelijke kantoren.
respectively	respectievelijk	De scores waren respectievelijk 80 en 90.
restoration	de restauratie	De restauratie van het gebouw duurde jaren.
restraint	de terughoudendheid	De politie toonde terughoudendheid.
resume	hervatten	De lessen worden volgende week hervat.
retreat	de terugtocht	Het leger begon aan een terugtocht.
retrieve	ophalen	Ze heeft het bestand opgehaald.
revelation	de onthulling	De onthulling schaadde zijn reputatie.
revenge	de wraak	Hij wilde wraak voor de belediging.
reverse	terugdraaien	De rechtbank draaide het besluit terug.
revival	de heropleving	De stad kende een economische heropleving.
revive	nieuw leven inblazen	Het festival hielp lokale tradities nieuw leven in te blazen.
revolutionary	revolutionair	De uitvinding was revolutionair.
rhetoric	de retoriek	Zijn retoriek klonk agressief.
rifle	het geweer	Het geweer werd veilig opgeborgen.
riot	de rel	De rel duurde enkele uren.
rip	scheuren	Scheur het papier voorzichtig.
ritual	het ritueel	Het ritueel markeert de oogst.
robust	robuust	Het systeem is robuust.
rock	doen trillen	De explosie deed het dorp trillen.
rod	de stang	Het gordijn hangt aan een stang.
rotate	draaien	Draai de hendel langzaam.
rotation	de rotatie	Vruchtwisseling beschermt de bodem.
ruling	de uitspraak	De rechtbank deed een uitspraak.
rumour	het gerucht	Het gerucht verspreidde zich snel.
sack	ontslaan	Het bestuur kan de coach ontslaan.
sacred	heilig	De tempel is heilig.
sacrifice	de opoffering	Ouders maken vaak opofferingen.
saint	de heilige	De kerk eert een lokale heilige.
sake	het bestwil	Hij bleef omwille van haar.
sanction	de sanctie	De sanctie had invloed op de internationale handel.
say	de zeggenschap	Werknemers hadden zeggenschap over de planning.
scattered	verspreid	Verspreide papieren bedekten het bureau.
sceptical	sceptisch	Ze bleef sceptisch over de bewering.
scope	de reikwijdte	De reikwijdte van het project werd groter.
screw	de schroef	Draai de schroef voorzichtig aan.
scrutiny	de controle	De deal kreeg te maken met publieke controle.
seal	dichtplakken	Plak de envelop dicht voordat u deze opstuurt.
secular	seculier	De school volgt een seculier curriculum.
seemingly	schijnbaar	De taak was schijnbaar eenvoudig.
segment	het segment	Het laatste segment was korter.
seize	in beslag nemen	De politie nam de documenten in beslag.
seldom	zelden	Ze mist zelden een les.
selective	selectief	Het programma is zeer selectief.
senator	de senator	De senator steunde het wetsvoorstel.
sensation	de sensatie	De ontdekking veroorzaakte een sensatie.
sensitivity	de gevoeligheid	De kwestie vereist gevoeligheid.
sentiment	het sentiment	Het publieke sentiment veranderde snel.
separation	de scheiding	De scheiding was moeilijk.
serial	serie-	Het serienummer ontbreekt.
settlement	de schikking	De schikking beëindigde het geschil.
set-up	de opstelling	De opstelling duurde de hele ochtend.
sexuality	de seksualiteit	De cursus bespreekt identiteit en seksualiteit.
shareholder	de aandeelhouder	Een aandeelhouder stelde vragen aan het bestuur.
shatter	verbrijzelen	Het nieuws verbrijzelde zijn zelfvertrouwen.
shed	schrappen	Het bedrijf zal banen schrappen.
sheer	puur	De pure omvang verraste iedereen.
shipping	de verzending	De verzendkosten stegen.
shoot	de fotoshoot	De fotoshoot eindigde vroeg.
shrink	krimpen	Het shirt kan krimpen.
shrug	ophalen	Ze haalde even haar schouders op.
sigh	zuchten	Hij zuchtte van opluchting.
simulate	simuleren	De software kan verkeer simuleren.
simulation	de simulatie	De simulatie voorspelde overstromingen.
simultaneously	tegelijkertijd	Er gingen tegelijkertijd twee alarmen af.
sin	de zonde	Trots wordt als een zonde beschouwd.
situated	gelegen	Het hotel is in het centrum gelegen.
sketch	de schets	Ze maakte een snelle schets.
skip	overslaan	Sla het ontbijt niet over.
slam	dichtslaan	Hij kan de deur dichtslaan.
slap	slaan	Sla niet op de tafel.
slavery	de slavernij	De slavernij vormde de geschiedenis van de regio.
slot	het tijdslot	Boek online een tijdslot.
smash	kapotslaan	Het glas viel kapot op de vloer.
snap	afbreken	De tak knapte in de wind.
soak	weken	Week de bonen een nacht.
soar	stijgen	De brandstofprijzen kunnen enorm stijgen.
socialist	socialistisch	De partij steunt socialistisch beleid.
sole	enig	Hij was de enige overlevende.
solely	uitsluitend	De beslissing was uitsluitend aan hem.
solicitor	de advocaat	De advocaat stelde het contract op.
solidarity	de solidariteit	De arbeiders uitten hun solidariteit.
solo	solo	Ze bracht een soloalbum uit.
sound	degelijk	Het plan is degelijk en praktisch.
sovereignty	de soevereiniteit	Het verdrag beschermde de nationale soevereiniteit.
spam	de spam	Spam vulde de inbox.
span	overspannen	De brug overspant de rivier.
spark	aanwakkeren	Een kleine opmerking wakkerde het debat aan.
specialized	gespecialiseerd	De kliniek biedt gespecialiseerde zorg.
specification	de specificatie	Het ontwerp voldoet aan elke specificatie.
specimen	het monster	Het monster werd veilig bewaard.
spectacle	het spektakel	De parade was een levendig spektakel.
spectrum	het spectrum	De meningen bestrijken een breed spectrum.
spell	de periode	De droge periode duurde weken.
sphere	de sfeer	De politiek betrad de culturele sfeer.
spin	draaien	De wielen begonnen te draaien.
spine	de wervelkolom	De blessure tastte zijn wervelkolom aan.
spotlight	de schijnwerper	Het schandaal zette hem in de schijnwerpers.
spouse	de echtgenoot	Haar echtgenoot woonde de ceremonie bij.
spy	de spion	De spion stuurde gecodeerde berichten.
squad	de ploeg	De reddingsploeg was snel ter plaatse.
squeeze	knijpen	Knijp zachtjes in het handvat.
stab	steken	Het rapport beschreef een steekwond.
stability	de stabiliteit	Het beleid bracht stabiliteit.
stabilize	stabiliseren	Het medicijn hielp hem te stabiliseren.
stake	het belang	Investeerders hebben hier een belang.
standing	het aanzien	Haar aanzien in de partij steeg.
stark	schril	De resultaten lieten een schril contrast zien.
statistical	statistisch	De studie gebruikte statistische methoden.
steer	sturen	Hij probeerde het debat te sturen.
stem	de stengel	De stengel brak in de storm.
stereotype	het stereotype	De film stelde een stereotype ter discussie.
stimulus	de stimulans	Het pakket zorgde voor een economische stimulans.
stir	roeren	Roer de saus langzaam.
storage	de opslag	De faciliteit biedt veilige opslag.
straightforward	eenvoudig	De instructies waren eenvoudig.
strain	de spanning	De lange vertraging veroorzaakte spanning.
strand	de pluk	Er viel een plukje haar.
strategic	strategisch	Het bedrijf deed een strategische investering.
strip (long narrow piece)	de strook	Knip een smalle strook papier.
strip (remove clothes/a layer)	verwijderen	Verwijder de oude verf voorzichtig.
strive	streven	Ze streven naar uitmuntendheid.
structural	structureel	De brug heeft structurele schade.
stumble	struikelen	Hij struikelde op de trap.
stun	verbijsteren	Het nieuws kan mensen verbijsteren.
submission	de indiening	De deadline voor indiening is verstreken.
subscriber	de abonnee	Elke abonnee ontvangt updates.
subscription	het abonnement	Het abonnement wordt automatisch verlengd.
subsidy	de subsidie	De subsidie verlaagde de brandstofkosten.
substantial	aanzienlijk	Het project heeft aanzienlijke financiering nodig.
substantially	aanzienlijk	De prijs is aanzienlijk gestegen.
substitute	de vervanger	Gebruik melk als vervanger.
substitution	de vervanging	De vervanging veranderde het recept.
subtle	subtiel	Het schilderij heeft subtiele details.
suburban	in een buitenwijk	Ze verhuisden naar een buitenwijk.
succession	de opeenvolging	De crisis volgde op een opeenvolging van mislukkingen.
successive	opeenvolgend	Opeenvolgende regeringen negeerden het probleem.
successor	de opvolger	De opvolger begint maandag.
suck	zuigen	De machine kan stof opzuigen.
sue	aanklagen	Ze besloot het bedrijf aan te klagen.
suicide	de zelfmoord	Zelfmoordpreventie heeft blijvende financiering nodig.
suite	de suite	De hotelsuite keek uit over de rivier.
summit	de top	Leiders ontmoetten elkaar op de top.
superb	uitmuntend	Het optreden was uitmuntend.
superior	superieur	Het nieuwe model is superieur.
supervise	toezicht houden	Zij zal toezicht houden op de stagiaires.
supervision	het toezicht	Kinderen hebben toezicht van een volwassene nodig.
supervisor	de leidinggevende	Vraag het eerst aan je leidinggevende.
supplement	de bijlage	Het rapport bevat een bijlage.
supportive	steunend	Haar familie was erg steunend.
supposedly	vermoedelijk	Het bestand was vermoedelijk verwijderd.
suppress	onderdrukken	Het regime probeerde protesten te onderdrukken.
supreme	hoogste	Het hooggerechtshof behandelde de zaak.
surge	de piek	Een plotselinge piek beschadigde de apparatuur.
surgical	chirurgisch	De patiënt heeft een chirurgische behandeling nodig.
surplus	het overschot	Het magazijn heeft een overschot.
surrender	overgeven	De soldaten stemden ermee in zich over te geven.
surveillance	de bewaking	Bewakingscamera's namen de ingang op.
suspension	de schorsing	De schorsing duurde twee weken.
suspicion	de verdenking	Zijn gedrag wekte argwaan.
suspicious	verdacht	Het pakket zag er verdacht uit.
sustain	in stand houden	Het project kan lokale banen in stand houden.
swing	zwaaien	De deur begon te zwaaien.
sword	het zwaard	Het zwaard hing aan de muur.
symbolic	symbolisch	Het gebaar was symbolisch.
syndrome	het syndroom	Het syndroom tast het geheugen aan.
synthesis	de synthese	Het hoofdstuk biedt een synthese.
systematic	systematisch	De beoordeling was systematisch.
tactic	de tactiek	De tactiek faalde al snel.
tactical	tactisch	Het team voerde een tactische verandering door.
taxpayer	de belastingbetaler	Geld van de belastingbetaler financierde de brug.
tempt	in de verleiding brengen	Het aanbod kan investeerders in de verleiding brengen.
tenant	de huurder	De huurder betaalde de huur vroeg.
tender	teder	Ze gaf een tedere glimlach.
tenure	de ambtstermijn	Zijn ambtstermijn duurde zes jaar.
terminal	terminaal	De patiënt had een terminale ziekte.
terminate	beëindigen	Het bedrijf kan het contract beëindigen.
terrain	het terrein	Het terrein was moeilijk.
terrific	geweldig	Het uitzicht was geweldig.
testify	getuigen	Ze stemde ermee in om te getuigen.
testimony	de getuigenis	Zijn getuigenis was gedetailleerd.
texture	de textuur	De stof heeft een ruwe textuur.
thankfully	gelukkig	Gelukkig raakte er niemand gewond.
theatrical	theatraal	De toespraak klonk theatraal.
theology	de theologie	Hij studeerde theologie aan de universiteit.
theoretical	theoretisch	Het model is puur theoretisch.
thereafter	daarna	Daarna veranderden de regels.
thereby	daardoor	De verandering verlaagde de kosten, en redde daardoor banen.
thoughtful	bedachtzaam	Haar reactie was bedachtzaam.
thought-provoking	tot nadenken stemmend	Het artikel stemde tot nadenken.
thread	de draad	De draad brak gemakkelijk.
threshold	de drempel	De stemming passeerde de drempel.
thrilled	dolblij	Ze was dolblij met het nieuws.
thrive	bloeien	Kleine bedrijven kunnen hier floreren.
tide	het getij	Het getij kwam snel op.
tighten	vastdraaien	Draai het deksel stevig vast.
timber	het hout	Het huis gebruikt lokaal hout.
timely	tijdig	De waarschuwing kwam op tijd.
tobacco	de tabak	De tabaksverkoop nam af.
tolerance	de tolerantie	Het beleid moedigt tolerantie aan.
tolerate	tolereren	We kunnen geen misbruik tolereren.
toll	de tol	De storm eiste een zware tol.
top	overtreffen	De verkoop kan het record van vorig jaar overtreffen.
torture	de marteling	Het verdrag verbiedt marteling absoluut.
