source_headword	NE	example_NE
easily	सजिलै	उनी सजिलै सिक्छिन्।
education	शिक्षा	शिक्षा महत्त्वपूर्ण छ।
effect	प्रभाव	प्रभाव स्पष्ट थियो।
either	जुनसुकै	जुनसुकै उत्तर ठीक छ।
electric	विद्युतीय	यो कार विद्युतीय हो।
electrical	बिजुलीसम्बन्धी	बिजुलीसम्बन्धी प्रणाली सुरक्षित छ।
electricity	बिजुली	यहाँ बिजुली महँगो छ।
electronic	इलेक्ट्रोनिक	यो इलेक्ट्रोनिक टिकट चल्छ।
employ	रोजगारी दिनु	उनीहरूले पाँच जनालाई रोजगारी दिन्छन्।
employee	कर्मचारी	कर्मचारी मेहनत गर्छ।
employer	रोजगारदाता	मेरो रोजगारदाता निष्पक्ष छ।
empty	खाली	कोठा खाली छ।
ending	अन्त्य	अन्त्य अचम्मको थियो।
energy	ऊर्जा	आज मसँग ऊर्जा छैन।
engine	इन्जिन	इन्जिनको आवाज ठूलो छ।
engineer	इन्जिनियर	इन्जिनियरले पुल मर्मत गर्‍यो।
enormous	विशाल	भवन विशाल छ।
enter	प्रवेश गर्नु	शान्त भएर कोठामा प्रवेश गर।
environment	वातावरण	वातावरण जोगाऊ।
equipment	उपकरण	यो उपकरण महँगो छ।
error	त्रुटि	मैले त्रुटि भेट्टाएँ।
especially	विशेष गरी	मलाई विशेष गरी यो गीत मन पर्छ।
essay	निबन्ध	आज राति निबन्ध लेख।
everyday	दैनिक	यो दैनिक अङ्ग्रेजी हो।
everywhere	जताततै	फूल जताततै उम्रन्छन्।
evidence	प्रमाण	प्रमाण स्पष्ट छ।
exact	ठ्याक्कै	ठ्याक्कै संख्या देऊ।
exactly	ठ्याक्कै	त्यो ठ्याक्कै सही छ।
excellent	उत्कृष्ट	तिम्रो काम उत्कृष्ट छ।
except	बाहेक	मबाहेक सबै आए।
exist	अस्तित्वमा हुनु	के यो ठेगाना अस्तित्वमा छ।
expect	अपेक्षा गर्नु	म भोलि पानी पर्छ भन्ने अपेक्षा गर्छु।
experience	अनुभव	मसँग बालबालिकासँग अनुभव छ।
experiment	प्रयोग	प्रयोग सफल भयो।
expert	विशेषज्ञ	मद्दतका लागि विशेषज्ञलाई सोध।
explanation	व्याख्या	उनको व्याख्या स्पष्ट थियो।
express	व्यक्त गर्नु	कृपया आफ्नो विचार व्यक्त गर।
expression	अभिव्यक्ति;वाक्यांश	यो अभिव्यक्ति सामान्य छ।
extreme	अत्यधिक	तातो अत्यधिक थियो।
extremely	अत्यन्तै	अत्यन्तै चिसो छ।
factor	कारक	खर्च एउटा कारक हो।
factory	कारखाना	कारखाना पाँच बजे बन्द हुन्छ।
fail	असफल हुनु	म असफल भइनँ।
fair	न्यायोचित	मूल्य न्यायोचित छ।
fan	पंखा	पंखा खोल।
farming	खेती	खेती कडा काम हो।
fashion	फेसन	फेसन हरेक वर्ष बदलिन्छ।
fear	डर	डरले मानिसहरूलाई रोक्न सक्छ।
feature	विशेषता	यो फोनमा उपयोगी विशेषता छ।
feed	खुवाउनु	अहिले बिरालोलाई खुवाऊ।
female	महिला	महिला खेलाडीले जितिन्।
fiction	कथा साहित्य	उनी राति कथा साहित्य पढ्छिन्।
field	मैदान;क्षेत्र	मैदान हरियो छ।
fight	लड्नु	उनीहरू धेरै लड्छन्।
figure	आकृति;अंक	आकृति हेर।
finally	अन्ततः	हामी अन्ततः घर आइपुग्यौँ।
finger	औँला	मेरो औँला दुख्छ।
firstly	पहिलो कुरा	पहिलो कुरा प्रश्न पढ।
fishing	माछा मार्ने काम	माछा मार्ने काम यहाँ लोकप्रिय छ।
fit	मिल्नु	यी जुत्ता राम्रोसँग मिल्छन्।
fix	मर्मत गर्नु	भाँचिएको कुर्सी मर्मत गर।
flu	फ्लु	मलाई फ्लु भएको छ।
flying	उडान	उडान छिटो हुन्छ।
focus	ध्यान केन्द्रित गर्नु	यस काममा ध्यान केन्द्रित गर।
following	निम्न	निम्न वाक्य पढ।
foreign	विदेशी	उनी विदेशी भाषा बोल्छिन्।
forest	जंगल	जंगल शान्त छ।
fork	काँटा	काँटा प्रयोग गर।
formal	औपचारिक	यो पत्र औपचारिक छ।
fortunately	भाग्यवश	भाग्यवश कोही घाइते भएन।
forward	अगाडि	बिस्तारै अगाडि बढ।
fresh	ताजा	रोटी ताजा छ।
