source_headword	JA	example_JA
beg	懇願する	どうか助けを求めてください。
being	生き物	すべての生き物には水が必要です。
bent	曲がった	その金属棒は曲がっていました。
bet	賭ける	彼は知っていると思います。
beyond	向こうに	その村は川の向こうにあります。
bitter	苦い	その薬は苦い味がしました。
blame	責める	運転手を責めないでください。
blind	目の見えない	彼は若くして目が見えなくなりました。
bond	絆	信頼は強い絆を作ります。
breast	胸	彼女は胸に痛みを感じました。
brief	短い	答えは短くしてください。
broad	広い	ここでは川が広いです。
broadcast	放送する	その演説は生中継で放送されました。
budget	予算	予算はとても厳しいです。
bullet	弾丸	弾丸は壁に当たりました。
bunch	束	彼女は鍵の束を持っていました。
bush	茂み	鳥が茂みに隠れました。
cable	ケーブル	そのケーブルは壊れています。
calculate	計算する	合計費用を計算してください。
cancel	キャンセルする	彼らは会議をキャンセルしました。
cancer	がん	がん治療は難しいことがあります。
capable	能力がある	彼女にはもっとできる能力があります。
capacity	収容能力	ホールは収容能力に達しました。
capture	捉える	その写真は雰囲気を捉えています。
cast	出演者	出演者の準備はできています。
cell	細胞	各細胞にはデータが含まれています。
chairman	議長	議長が会議を開きました。
characteristic	特徴	忍耐力は彼女の主な特徴です。
chief	主任の	主任技師が遅れて到着しました。
circumstance	状況	それぞれの状況を慎重に考えてください。
cite	引用する	出典を引用してください。
citizen	市民	すべての市民が投票できます。
civil	平和的な	抗議は平和的なままでした。
classic	名作	この映画は名作です。
closely	注意深く	その過程を注意深く見てください。
collapse	崩壊する	その古い橋は崩壊するかもしれません。
combination	組み合わせ	その組み合わせはうまくいきました。
comfort	慰め	彼女の言葉は慰めを与えました。
command	命令	その将校は命令を出しました。
commission	委員会	その委員会は事件を調査しました。
commitment	責任ある取り組み	その仕事には責任ある取り組みが必要です。
committee	委員会	その委員会は毎週会合を開きます。
commonly	一般に	この植物は一般によく栽培されます。
complicated	複雑な	説明は複雑です。
component	部品	一つの部品が故障しました。
concentration	集中力	騒音は私の集中力を妨げます。
concept	概念	その概念は簡単です。
concern	懸念	安全は私たちの主な懸念です。
concerned	心配している	親たちは深く心配していました。
conduct	行う	彼らは地元で研究を行っています。
confidence	自信	練習は自信を育てます。
conflict	対立	その対立は何年も続きました。
confusing	分かりにくい	その地図は分かりにくかったです。
conscious	意識のある	彼女は意識を保っていました。
conservative	保守的な	彼の考えは保守的です。
consideration	考慮事項	費用は重要な考慮事項です。
consistent	一貫した	彼女の結果は一貫しています。
constant	絶え間ない	絶え間ない騒音で私たちは疲れました。
constantly	絶えず	彼は絶えず携帯電話を確認します。
construct	建設する	作業員たちは新しい橋を建設しました。
construction	建設	建設は来月始まります。
contemporary	現代の	そのギャラリーは現代美術を展示しています。
contest	コンテスト	彼女はそのコンテストに参加しました。
contract	契約	契約を注意深く読んでください。
contribute	貢献する	誰でも考えを出して貢献できます。
contribution	貢献	彼女の貢献は貴重でした。
convert	改装する	彼らはガレージを改装しました。
convinced	確信している	私は彼がうそをついたと確信しています。
core	核心	信頼が核心となる問題です。
corporate	企業の	企業の規則がまた変わりました。
council	議会	議会はその計画を承認しました。
county	郡	郡は道路を修理しました。
courage	勇気	彼女は本当の勇気を示しました。
crash	衝突事故	その衝突事故で交通が妨げられました。
creation	創作	その創作には六か月かかりました。
creature	生き物	その生き物は静かに動きました。
crew	乗組員	乗組員は船を準備しました。
crisis	危機	その危機はすべてを変えました。
criterion	基準	価格は一つの基準です。
critic	批評家	その批評家は劇をほめました。
critical	危篤の	彼の容体は危篤です。
criticism	批判	彼女はその批判を落ち着いて受け止めました。
criticize	批判する	すべての間違いを批判しないでください。
crop	作物	今年は作物が不作でした。
crucial	極めて重要な	ここではタイミングが極めて重要です。
cure	治療法	医師たちは治療法を見つけました。
curve	曲線	その道路は曲線に沿っています。
curved	曲がった	その壁は少し曲がっています。
debate	討論	討論は何時間も続きました。
debt	借金	彼は借金を返しました。
decent	まともな	彼らはまともなアパートを見つけました。
declare	発表する	彼らは結果を発表しました。
decline	減少する	売上は減少し続けました。
decoration	装飾	その装飾は高そうに見えました。
decrease	減少する	価格はまもなく下がるかもしれません。
deeply	深く	彼女は正義について深く気にかけていました。
defeat	敗北	その敗北はチームに衝撃を与えました。
defence	弁護側	弁護側は証拠に異議を唱えました。
defend	守る	彼は自分を守ろうとしました。
delay	遅れ	悪天候が遅れを引き起こしました。
deliberate	意図的な	それは意図的な選択でした。
deliberately	わざと	彼女はわざと警告を無視しました。
delight	喜ばせる	その知らせはみんなを喜ばせました。
delighted	喜んでいる	私たちはその贈り物に喜びました。
delivery	配達	配達は早く到着しました。
demand	要求	労働者たちはより良い賃金を要求しています。
demonstrate	実演する	彼は新しいソフトウェアを実演しました。
deny	否定する	彼女はその非難を否定しました。
depressed	落ち込んだ	彼は負けた後で落ち込みました。
depressing	気がめいる	その映画は気がめいるものでした。
depth	深さ	そのプールはかなり深さがあります。
deserve	値する	あなたは休憩に値します。
desire	願望	彼女は旅行したいという願望を表しました。
desperate	必死の	彼らは必死の電話をかけました。
detailed	詳細な	その案内はとても詳細です。
detect	感知する	犬は煙を感知できます。
dig	掘る	彼らは夏に井戸を掘ります。
disc	ディスク	そのディスクには傷がありました。
discipline	規律	規律は選手の向上を助けます。
dishonest	不正直な	彼の答えは不正直に聞こえました。
dismiss	退ける	マネージャーはその苦情を退けました。
display	表示する	画面は得点を表示しています。
distribute	配布する	ボランティアたちは清潔な水を配布しました。
distribution	配布	配布は日の出後に始まりました。
district	地区	その地区は市長を選びました。
division	部門	その部門は法務案件を扱います。
domestic	国内の	国内便の方が安いです。
dominate	支配する	一つの会社が市場を支配するかもしれません。
downwards	下向きに	道は下向きに傾いています。
dozen	ダース	彼女は卵を一ダース買いました。
draft	草案	草案を確認してください。
drag	引きずる	テーブルを引きずらないでください。
dramatic	劇的な	結果は劇的でした。
edit	編集する	彼女はその記事を編集しました。
edition	版	この版には新しい写真が含まれています。
efficient	効率的な	そのシステムは効率的です。
elderly	高齢の	高齢の住民には支援が必要です。
elect	選出する	有権者は新しい議会を選出します。
elsewhere	他の場所で	私たちは他の場所で助けを探しました。
emerge	明らかになる	詳細は真夜中の後に明らかになりました。
emotional	感情的な	その演説は感情的でした。
emphasis	重点	安全に重点を置いてください。
emphasize	強調する	教師たちは毎日の練習を強調します。
enable	可能にする	そのアプリは素早い支払いを可能にします。
encounter	遭遇する	私たちは激しい交通渋滞に遭遇しました。
engage	引きつける	その講座は大人の学習者を引きつけます。
enhance	高める	照明は部屋の魅力を高めることができます。
enquiry	調査	その調査は三か月続きました。
ensure	確実にする	正確さを確実にするために二回確認してください。
enthusiasm	熱意	彼女の熱意はグループを励ましました。
enthusiastic	熱心な	ボランティアたちは熱心でした。
entire	全体の	村全体が停電しました。
entirely	完全に	その話は完全に誤りです。
establish	確立する	彼らは明確な規則を確立しました。
estate	地所	その地所にはいくつかの農場が含まれています。
estimate	見積もる	私たちは一万人の訪問者を見積もっています。
ethical	倫理的な	その決定は倫理的な問題を引き起こしました。
evaluate	評価する	専門家がその設計を評価します。
evil	邪悪な	王は邪悪な霊を恐れました。
examination	試験	その試験は一時間続きました。
excuse	言い訳	その言い訳は弱く聞こえました。
executive	幹部	その幹部は取引を承認しました。
existence	存在	彼らの存在は知られていませんでした。
expectation	期待	発売前の期待は高かったです。
expense	費用	旅行は私たちの最大の費用です。
exploration	探査	宇宙探査は子どもたちを刺激します。
expose	暴く	その記事は汚職を暴きました。
extend	延長する	彼らは締め切りを延長しました。
extent	程度	私たちは後でその程度を知りました。
external	外部の	外部からの圧力が彼らに影響しました。
extraordinary	並外れた	彼女の回復は並外れていました。
facility	施設	その施設は六月に開設されました。
failure	失敗	失敗は彼に忍耐を教えました。
faith	信頼	彼女は彼への信頼を保ちました。
fault	責任	その事故は私の責任でした。
feather	羽	羽が枕から落ちました。
fee	料金	料金には昼食が含まれています。
feedback	フィードバック	フィードバックは講座の改善に役立ちました。
fellow	仲間の	仲間の労働者たちが彼女を支えました。
finance	資金を出す	銀行は拡張に資金を出します。
finding	発見	その発見は研究者たちを驚かせました。
firm	会社	その会社は新しいスタッフを雇いました。
flame	炎	小さな炎が現れました。
flash	閃光	閃光が空を照らしました。
flexible	柔軟な	予定は柔軟です。
float	浮かぶ	葉は水に浮かびます。
folding	折りたたみ式の	彼は折りたたみ式の椅子を運びました。
forgive	許す	彼を許せますか？
former	前の	前市長が戻ってきました。
fortune	大金	彼らは大金を失いました。
found	設立する	彼らは小さな慈善団体を設立しました。
freedom	自由	自由には責任が必要です。
frequency	頻度	その頻度は冬に増えました。
fully	完全に	そのホテルは完全に予約でいっぱいです。
fund	基金	その基金は地元の学校を支援しています。
fundamental	根本的な	ここでは敬意が根本的に重要です。
funding	資金提供	資金提供は昨年終了しました。
furthermore	さらに	さらに、費用は上がっています。
gain	得る	学生はすぐに自信を得ます。
gang	ギャング	ギャングがその通りを支配していました。
generate	生み出す	太陽光パネルは電力を生み出します。
genre	ジャンル	コメディーは彼女の好きなジャンルです。
govern	統制する	法律は公共支出を統制します。
grab	つかむ	彼は私の腕をつかみました。
gradually	徐々に	痛みは徐々に消えました。
grand	壮大な	そのホテルには壮大な入口があります。
grant	助成金	その助成金で設備を購入しました。
guarantee	保証する	そのチケットは入場を保証します。
handle	扱う	彼女はその苦情を落ち着いて扱いました。
harm	害	喫煙は健康に害を及ぼすことがあります。
harmful	有害な	その化学物質は有害です。
hearing	聴力	彼女の聴力は改善しました。
heaven	天国	彼らは上にある天国を想像しました。
heel	かかと	彼のかかとはひどく痛みました。
hell	地獄	その旅行は地獄でした。
hesitate	ためらう	遠慮せずに質問してください。
hollow	中が空洞の	その木は中が空洞でした。
holy	神聖な	彼らは神聖な場所を訪れました。
honour	名誉	彼らは名誉のために戦いました。
household	世帯	各世帯は水を受け取りました。
housing	住宅	住宅費は上がり続けています。
humorous	ユーモアのある	彼の話はユーモアがありました。
humour	ユーモア	ユーモアは緊張を和らげるのに役立ちました。
hunting	狩猟	ここでは狩猟は禁止されています。
illustrate	説明する	例はその規則を説明しています。
illustration	図解	その図解は過程を示しています。
imagination	想像力	子どもたちは自由に想像力を使います。
impatient	いらいらした	運転手たちはいらいらしてきました。
imply	暗示する	彼の沈黙は同意を暗示しているかもしれません。
impose	科す	裁判所は罰金を科しました。
impress	感心させる	彼女の勇気はみんなを感心させました。
impressed	感心した	私は彼女の仕事に感心しました。
inch	インチ	それを左へ一インチ動かしてください。
incident	出来事	その出来事は懸念を引き起こしました。
income	収入	彼らの収入はゆっくり増えました。
increasingly	ますます	住宅はますます高くなっています。
industrial	産業の	その町には産業のルーツがあります。
infection	感染	感染はすぐに広がりました。
inform	知らせる	マネージャーに知らせてください。
initial	最初の	最初の費用は高かったです。
initially	最初は	最初は誰も彼を信じませんでした。
initiative	取り組み	彼女は新しい取り組みを始めました。
inner	内側の	内側のドアは鍵がかかっていました。
insight	洞察	その報告書は役立つ洞察を提供しています。
insist	強く主張する	彼らは安全点検を強く求めています。
inspire	刺激する	彼女の話は他の人を刺激するかもしれません。
install	設置する	彼らは新しいヒーターを設置しました。
instance	例	これは一つの明確な例です。
