simplified	MY	example_MY
段	စာပိုဒ်; အပိုင်း	ကျေးဇူးပြု၍ ဤစာပိုဒ်ကို ဖတ်ပါ။
锻炼	လေ့ကျင့်ခန်းလုပ်သည်	ကျွန်ုပ် နေ့တိုင်းမနက် လေ့ကျင့်ခန်းလုပ်သည်။
多么	ဘယ်လောက်; အလွန်	ဤနေရာ၏ ပတ်ဝန်းကျင် ဘယ်လောက်ကောင်းသနည်း။
饿	ဗိုက်ဆာသည်	ကျွန်ုပ် ဗိုက်ဆာ၍ ပေါင်မုန့် စားချင်သည်။
耳朵	နား	ကျွန်ုပ်၏ နား အနည်းငယ် နာသည်။
发	ပို့သည်; ထုတ်ပြန်သည်	ကျွန်ုပ် ညနေတွင် အီးမေးလ် ပို့သည်။
发烧	အဖျားရှိသည်	သူ အဖျားရှိသောကြောင့် ကျောင်းသို့ မသွားနိုင်ပါ။
发现	တွေ့ရှိသည်; ရှာဖွေတွေ့ရှိသည်	ဤနည်းလမ်းကောင်းကြောင်း ကျွန်ုပ် တွေ့ရှိခဲ့သည်။
方便	အဆင်ပြေသည်	မြေအောက်ရထားစီးခြင်းသည် အဆင်ပြေသည်။
放	ထားသည်; လွှတ်သည်	ကျေးဇူးပြု၍ စာအုပ်ကို စားပွဲပေါ်တွင် ထားပါ။
放心	စိတ်ချသည်	စိတ်ချပါ၊ ကျွန်ုပ် အချိန်မီ ရောက်မည်။
分	ခွဲသည်; ဝေသည်	ကျေးဇူးပြု၍ ကိတ်မုန့်ကို လူတိုင်းအား ခွဲပေးပါ။
复习	ပြန်လေ့လာသည်	စာမေးပွဲမတိုင်မီ ကျွန်ုပ် ပြန်လေ့လာရမည်။
附近	အနီးအနား	အနီးအနားတွင် စားသောက်ဆိုင်တစ်ဆိုင် ရှိသည်။
干净	သန့်ရှင်းသည်	ဤအခန်းသည် အလွန်သန့်ရှင်းသည်။
感冒	အအေးမိသည်	ကျွန်ုပ် အအေးမိ၍ အနားယူချင်သည်။
感兴趣	စိတ်ဝင်စားသည်	ကျွန်ုပ် တရုတ်ဘာသာကို အလွန်စိတ်ဝင်စားသည်။
刚才	အခုလေးတင်	အခုလေးတင် သင့်ကို ဘယ်သူ ဖုန်းခေါ်သနည်း။
个子	အရပ်; ကိုယ်ထည်	သူ အရပ်ရှည်သည်။
根据	အရ; အခြေခံ၍	မြေပုံအရ ကျောင်းသည် အရှေ့ဘက်တွင် ရှိသည်။
跟	နှင့်အတူ; လိုက်သည်	ကျွန်ုပ် သူငယ်ချင်းနှင့် ပန်းခြံသို့ သွားသည်။
更	ပို၍	ယနေ့သည် မနေ့ကထက် ပိုအေးသည်။
公斤	ကီလိုဂရမ်	ဤပန်းသီးများသည် တစ်ကီလိုဂရမ် ရှိသည်။
公园	ပန်းခြံ	ကလေးများသည် ပန်းခြံတွင် ကစားနေသည်။
故事	ပုံပြင်; ဇာတ်လမ်း	အဘိုး ကျွန်ုပ်အား ပုံပြင်ပြောပြသည်။
刮风	လေတိုက်သည်	ယနေ့ လေတိုက်နေသောကြောင့် စက်ဘီး မစီးပါနှင့်။
关	ပိတ်သည်	ကျေးဇူးပြု၍ တံခါး ပိတ်ပါ။
关系	ဆက်ဆံရေး	ကျွန်ုပ်နှင့် လုပ်ဖော်ကိုင်ဖက်၏ ဆက်ဆံရေး ကောင်းသည်။
关心	ဂရုစိုက်သည်	အမေ ကျွန်ုပ်၏ ကျန်းမာရေးကို အလွန်ဂရုစိုက်သည်။
关于	အကြောင်း	ဤစာအုပ်သည် တရုတ်ယဉ်ကျေးမှုအကြောင်း ဖြစ်သည်။
国家	နိုင်ငံ	တရုတ်နိုင်ငံသည် အလွန်ကြီးသော နိုင်ငံ ဖြစ်သည်။
过	အတွေ့အကြုံပြ အမှုန်	ကျွန်ုပ် ပေကျင်းသို့ သွားဖူးသည်။
过去	အတိတ်; ယခင်က	ယခင်က ဤနေရာတွင် မြေအောက်ရထား မရှိခဲ့ပါ။
还是	သို့မဟုတ်; ရှိသေးသည်	သင် လက်ဖက်ရည် သောက်မလား၊ ကော်ဖီ သောက်မလား။
害怕	ကြောက်သည်	ကျွန်ုပ် စာမေးပွဲကို မကြောက်ပါ။
黑板	ဘလက်ဘုတ်	ဆရာသည် ဘလက်ဘုတ်ပေါ်တွင် စာလုံးရေးသည်။
后来	နောက်ပိုင်း	နောက်ပိုင်း ကျွန်ုပ်တို့ ပန်းခြံသို့ သွားခဲ့သည်။
护照	ပတ်စပို့	ကျေးဇူးပြု၍ သင့်ပတ်စပို့ကို ယူလာပါ။
96:花	သုံးစွဲသည်; ကုန်ကျသည်	လက်ကိုင်ဖုန်းဝယ်ရာတွင် ယွမ်နှစ်ထောင် ကုန်ကျခဲ့သည်။
97:花	ပန်း	စားပွဲပေါ်တွင် ပန်းတစ်ပွင့် ရှိသည်။
画	ဆွဲသည်; ပုံ	ကျွန်ုပ်၏ ညီမလေးသည် ပန်ဒါပုံဆွဲရတာ ကြိုက်သည်။
坏	ပျက်သည်; ဆိုးသည်	ကျွန်ုပ်၏ ကွန်ပျူတာ ပျက်သွားသည်။
欢迎	ကြိုဆိုသည်	ကျွန်ုပ်၏ အိမ်သို့ ကြိုဆိုပါသည်။
环境	ပတ်ဝန်းကျင်	ဤကျောင်း၏ ပတ်ဝန်းကျင် အလွန်ကောင်းသည်။
还	ပြန်ပေးသည်; ပြန်သည်	ကျေးဇူးပြု၍ မနက်ဖြန် ကျွန်ုပ်၏ စာအုပ်ကို ပြန်ပေးပါ။
换	လဲသည်; ပြောင်းသည်	ကျွန်ုပ် ရှပ်အင်္ကျီတစ်ထည် လဲချင်သည်။
黄河	ဟွမ်ဟဲမြစ်	ဟွမ်ဟဲမြစ်သည် အလွန်ရှည်သည်။
回答	ဖြေသည်; အဖြေ	ကျေးဇူးပြု၍ ကျွန်ုပ်၏ မေးခွန်းကို ဖြေပါ။
会议	အစည်းအဝေး	အစည်းအဝေးသည် ကိုးနာရီတွင် စတင်သည်။
或者	သို့မဟုတ်	သင် မြေအောက်ရထား သို့မဟုတ် ဘတ်စ်ကား စီးနိုင်သည်။
几乎	နီးပါး	သူ နေ့တိုင်းနီးပါး လေ့ကျင့်ခန်းလုပ်သည်။
机会	အခွင့်အရေး	ဤသည် အခွင့်အရေးကောင်း ဖြစ်သည်။
极	အလွန်	သူမ အလွန်ပျော်သည်။
季节	ရာသီ	ဆောင်းဦးသည် ကျွန်ုပ် အကြိုက်ဆုံးရာသီ ဖြစ်သည်။
记得	မှတ်မိသည်	ခရက်ဒစ်ကတ် ယူလာရန် သင် မှတ်မိသလား။
检查	စစ်ဆေးသည်	ဆရာဝန် ကျွန်ုပ်၏ ခန္ဓာကိုယ်ကို စစ်ဆေးသည်။
简单	လွယ်ကူသည်; ရိုးရှင်းသည်	ဤဝါကျသည် အလွန်လွယ်ကူသည်။
健康	ကျန်းမာရေး; ကျန်းမာသည်	လေ့ကျင့်ခန်းသည် ကျန်းမာရေးအတွက် ကောင်းသည်။
见面	တွေ့ဆုံသည်	ကျွန်ုပ်တို့ မနက်ဖြန် ကျောင်းတွင် တွေ့မည်။
讲	ရှင်းပြသည်; ပြောသည်	ဆရာသည် အလွန်ရှင်းလင်းစွာ ရှင်းပြသည်။
教	သင်ပေးသည်	သူ ကျွန်ုပ်အား တရုတ်စာလုံး ရေးနည်း သင်ပေးသည်။
脚	ခြေ	ကျွန်ုပ်၏ ခြေ အနည်းငယ် နာသည်။
角	ထောင့်	ဆိုင်သည် လမ်းထောင့်တွင် ရှိသည်။
接	သွားကြိုသည်; လက်ခံသည်	ကျွန်ုပ် သူငယ်ချင်းကို လေဆိပ်သို့ သွားကြိုမည်။
街道	လမ်း	ဤလမ်းသည် အလွန်သန့်ရှင်းသည်။
结婚	လက်ထပ်သည်	သူတို့ နောက်နှစ် လက်ထပ်မည်။
结束	ပြီးဆုံးသည်	ပြိုင်ပွဲ ပြီးဆုံးသွားပြီ။
节目	အစီအစဉ်; ပြပွဲ	ဤရုပ်မြင်သံကြားအစီအစဉ်သည် အလွန်ကြည့်ကောင်းသည်။
节日	ပွဲတော်; အားလပ်ရက်	နွေဦးပွဲတော်သည် တရုတ်၏ အရေးကြီးသော ပွဲတော် ဖြစ်သည်။
解决	ဖြေရှင်းသည်	ဤပြဿနာကို ဖြေရှင်းပြီးပြီ။
借	ငှားသည်; ချေးသည်	ကျွန်ုပ် သင့်အဘိဓာန်ကို ငှားချင်သည်။
经常	မကြာခဏ	ကျွန်ုပ် စာကြည့်တိုက်သို့ မကြာခဏ သွားသည်။
经过	ဖြတ်သန်းသည်; လုပ်ငန်းစဉ်	ကျွန်ုပ် နေ့တိုင်း ဤပန်းခြံကို ဖြတ်သန်းသည်။
经理	မန်နေဂျာ	မန်နေဂျာသည် အစည်းအဝေးလုပ်နေသည်။
久	ကြာသည်	ကျွန်ုပ် ဤနေရာတွင် အချိန်ကြာကြာ နေခဲ့သည်။
旧	ဟောင်းသည်	ဤအဝတ်သည် အလွန်ဟောင်းသည်။
句子	ဝါကျ	ကျေးဇူးပြု၍ ဝါကျတစ်ကြောင်း ရေးပါ။
决定	ဆုံးဖြတ်သည်; ဆုံးဖြတ်ချက်	ကျွန်ုပ် တရုတ်ဘာသာ လေ့လာရန် ဆုံးဖြတ်ခဲ့သည်။
可爱	ချစ်စရာကောင်းသည်	ဤကြောင်သည် အလွန်ချစ်စရာကောင်းသည်။
渴	ရေဆာသည်	ကျွန်ုပ် ရေဆာ၍ ရေသောက်ချင်သည်။
刻	တစ်ဆယ့်ငါးမိနစ်; ခဏ	ယခု ရှစ်နာရီတစ်ဆယ့်ငါးမိနစ် ဖြစ်သည်။
客人	ဧည့်သည်; ဖောက်သည်	ယနေ့ အိမ်သို့ ဧည့်သည် လာသည်။
空调	လေအေးပေးစက်	ကျေးဇူးပြု၍ လေအေးပေးစက် ဖွင့်ပါ။
口	ပါးစပ်; တစ်ငုံ; လူသို့မဟုတ်တိရစ္ဆာန် ရေတွက်စကား	သူ ရေတစ်ငုံ သောက်ခဲ့သည်။
哭	ငိုသည်	ကလေး ဘာကြောင့် ငိုနေသနည်း။
裤子	ဘောင်းဘီ	ဤဘောင်းဘီသည် အသစ် ဖြစ်သည်။
筷子	တူ	ကျွန်ုပ် တူဖြင့် ထမင်းစားနိုင်သည်။
蓝	အပြာရောင်	ကောင်းကင်သည် အပြာရောင် ဖြစ်သည်။
老	အိုသည်; ဟောင်းသည်	ကျွန်ုပ်၏ ဆရာ မအိုပါ။
离开	ထွက်ခွာသည်	သူ မနက်ဖြန် ပေကျင်းမှ ထွက်ခွာမည်။
礼物	လက်ဆောင်	ဤသည် သင့်အတွက် လက်ဆောင် ဖြစ်သည်။
历史	သမိုင်း	ကျွန်ုပ် တရုတ်သမိုင်းကို ကြိုက်သည်။
脸	မျက်နှာ	သူမ၏ မျက်နှာသည် အလွန်နီသည်။
练习	လေ့ကျင့်မှု; လေ့ကျင့်သည်	ကျေးဇူးပြု၍ တရုတ်စကားပြောကို ပိုလေ့ကျင့်ပါ။
辆	ယာဉ်များအတွက် ရေတွက်စကား	တံခါးရှေ့တွင် တက္ကစီတစ်စီး ရှိသည်။
聊天	စကားပြောသည်; စကားစမြည်ပြောသည်	ကျွန်ုပ် သူငယ်ချင်းနှင့် စကားပြောသည်။
了解	နားလည်သည်; သိရှိသည်	ကျွန်ုပ် တရုတ်ယဉ်ကျေးမှုကို နားလည်ချင်သည်။
邻居	အိမ်နီးချင်း	ကျွန်ုပ်၏ အိမ်နီးချင်းသည် အလွန်နွေးထွေးသည်။
留学	နိုင်ငံခြားတွင် ပညာသင်သည်	သူမ တရုတ်နိုင်ငံတွင် ပညာသင်နေသည်။
楼	အဆောက်အအုံ; အထပ်	ရုံးခန်းသည် တတိယထပ်တွင် ရှိသည်။
绿	အစိမ်းရောင်	နွေဦးတွင် သစ်ပင်များ အစိမ်းရောင် ဖြစ်လာသည်။
马	မြင်း	ထိုမြင်းသည် အလွန်မြန်မြန် ပြေးသည်။
马上	ချက်ချင်း	ကျွန်ုပ် ချက်ချင်း ပြန်လာမည်။
满意	ကျေနပ်သည်	ကျွန်ုပ် ဤအခန်းကို အလွန်ကျေနပ်သည်။
帽子	ဦးထုပ်	ဤဦးထုပ်သည် အလွန်လှသည်။
米	မီတာ; ဆန်	ဤစားပွဲသည် နှစ်မီတာ ရှည်သည်။
面包	ပေါင်မုန့်	မနက်စာတွင် ကျွန်ုပ် ပေါင်မုန့် စားသည်။
明白	နားလည်သည်; ရှင်းသည်	ကျွန်ုပ် သင့်ဆိုလိုချက်ကို နားလည်သည်။
拿	ယူသည်; ကိုင်သည်	ကျေးဇူးပြု၍ စာအုပ်တစ်အုပ် ယူပေးပါ။
奶奶	အဘွား	အဘွားသည် သီချင်းနားထောင်ရတာ ကြိုက်သည်။
南	တောင်ဘက်	ကျောင်းသည် မြို့၏ တောင်ဘက်တွင် ရှိသည်။
难	ခက်သည်	ဤမေးခွန်း မခက်ပါ။
难过	ဝမ်းနည်းသည်	သူမ ယနေ့ အနည်းငယ် ဝမ်းနည်းသည်။
年级	အတန်းအဆင့်	ကျွန်ုပ်၏ ညီမလေးသည် တတိယတန်းတွင် ရှိသည်။
年轻	ငယ်ရွယ်သည်	ဤမန်နေဂျာသည် အလွန်ငယ်ရွယ်သည်။
鸟	ငှက်	သစ်ပင်ပေါ်တွင် ငှက်တစ်ကောင် ရှိသည်။
努力	ကြိုးစားသည်	သူ အလွန်ကြိုးစား၍ စာလေ့လာသည်။
爬山	တောင်တက်သည်	အပတ်ကုန်တွင် ကျွန်ုပ်တို့ တောင်တက်မည်။
盘子	ပန်းကန်ပြား	စားပွဲပေါ်တွင် ပန်းကန်ပြားသုံးချပ် ရှိသည်။
胖	ဝသည်	ဤခွေးသည် အနည်းငယ် ဝသည်။
啤酒	ဘီယာ	အဖေ ဘီယာ မသောက်ပါ။
皮鞋	သားရေဖိနပ်	ဤသားရေဖိနပ်တစ်စုံသည် ဈေးကြီးသည်။
瓶子	ပုလင်း	ပုလင်းထဲတွင် ရေ ရှိသည်။
其实	တကယ်တော့	တကယ်တော့ ကျွန်ုပ် ဘီယာ မကြိုက်ပါ။
其他	အခြား	အခြားအတန်းဖော်များ အားလုံး ရောက်လာပြီ။
奇怪	ထူးဆန်းသည်	ဤအသံသည် အလွန်ထူးဆန်းသည်။
骑	စီးသည်	သူ နေ့တိုင်း စက်ဘီးစီးပြီး အလုပ်သို့ သွားသည်။
起飞	ပျံတက်သည်	လေယာဉ်သည် ချက်ချင်း ပျံတက်တော့မည်။
起来	ထသည်; မတ်တတ်ရပ်သည်	ကျေးဇူးပြု၍ မတ်တတ်ရပ်ပါ။
清楚	ရှင်းလင်းသည်	သင် အလွန်ရှင်းလင်းစွာ ပြောခဲ့သည်။
请假	ခွင့်တောင်းသည်	သူ အအေးမိသောကြောင့် ခွင့်တောင်းရမည်။
秋	ဆောင်းဦး	ဆောင်းဦးရာသီ၏ ရာသီဥတု သက်သာသည်။
裙子	စကတ်	ဤစကတ်သည် အလွန်လှသည်။
然后	ထို့နောက်	ကျွန်ုပ် အရင် ထမင်းစားပြီးနောက် အိမ်စာလုပ်သည်။
热情	နွေးထွေးသည်; စိတ်အားထက်သန်သည်	တရုတ်သူငယ်ချင်းများ အလွန်နွေးထွေးသည်။
认为	ထင်သည်; ယူဆသည်	ဤနည်းလမ်း ကောင်းသည်ဟု ကျွန်ုပ် ထင်သည်။
认真	တိကျသည်; အာရုံစိုက်သည်	ကျေးဇူးပြု၍ ဆရာပြောသည်ကို အာရုံစိုက်၍ နားထောင်ပါ။
容易	လွယ်ကူသည်	ဤတရုတ်စာလုံးကို ရေးရန် လွယ်သည်။
如果	လျှင်	မိုးရွာလျှင် ကျွန်ုပ်တို့ မြေအောက်ရထား စီးမည်။
伞	ထီး	မိုးရွာနေသည်၊ ကျေးဇူးပြု၍ ထီးယူသွားပါ။
上网	အင်တာနက်သုံးသည်	ညနေတွင် ကျွန်ုပ် အင်တာနက်ပေါ်တွင် မြေပုံရှာသည်။
声音	အသံ	သင့်အသံသည် နားထောင်ရကောင်းသည်။
生气	ဒေါသထွက်သည်	ဒေါသမထွက်ပါနှင့်၊ ကျွန်ုပ် ရည်ရွယ်ပြီး မလုပ်ခဲ့ပါ။
世界	ကမ္ဘာ	ကမ္ဘာသည် အလွန်ကြီးသည်။
试	စမ်းသည်	ဤသားရေဖိနပ်တစ်စုံကို စမ်းဝတ်ချင်သည်။
瘦	ပိန်သည်	သူ အရင်ကထက် ပိုပိန်လာသည်။
叔叔	ဦးလေး	ဦးလေးသည် ကားမောင်း၍ ကျွန်ုပ်ကို ကျောင်းသို့ ပို့သည်။
舒服	သက်သာသည်; အဆင်ပြေသည်	ဤကုလားထိုင်သည် ထိုင်ရ အဆင်ပြေသည်။
数学	သင်္ချာ	သင်္ချာအတန်းသည် စိတ်ဝင်စားစရာကောင်းသည်။
树	သစ်ပင်	အိမ်ရှေ့တွင် သစ်ပင်တစ်ပင် ရှိသည်။
刷牙	သွားတိုက်သည်	ကျွန်ုပ် နေ့တိုင်းမနက် သွားတိုက်သည်။
双	တစ်စုံ; နှစ်	ကျွန်ုပ် သားရေဖိနပ်တစ်စုံ ဝယ်ခဲ့သည်။
水平	အဆင့်; စံနှုန်း	သူ၏ တရုတ်ဘာသာအဆင့် မြင့်သည်။
司机	ယာဉ်မောင်း	ယာဉ်မောင်းသည် တံခါးရှေ့တွင် ကျွန်ုပ်တို့ကို စောင့်နေသည်။
太阳	နေ	ယနေ့ နေရောင် အလွန်ပြင်းသည်။
特别	အထူး; အထူးသဖြင့်	ဤအစီအစဉ်သည် အထူးစိတ်ဝင်စားစရာကောင်းသည်။
疼	နာသည်	ကျွန်ုပ်၏ ခြေထောက် အလွန်နာသည်။
提高	တိုးတက်စေသည်; မြှင့်တင်သည်	ပိုလေ့ကျင့်ခြင်းသည် တရုတ်ဘာသာအဆင့်ကို တိုးတက်စေနိုင်သည်။
体育	အားကစား; ကိုယ်လက်ပညာ	ကျွန်ုပ် အားကစားအတန်းကို ကြိုက်သည်။
甜	ချိုသည်	ဤအချိုရည်သည် ချိုလွန်းသည်။
条	ရှည်သောအရာများအတွက် ရေတွက်စကား; ပုဒ်	ကျွန်ုပ် စကတ်တစ်ထည် ဝယ်ခဲ့သည်။
同事	လုပ်ဖော်ကိုင်ဖက်	ကျွန်ုပ်၏ လုပ်ဖော်ကိုင်ဖက် အလုပ်များသည်။
同意	သဘောတူသည်	ကျွန်ုပ် သင့်ဆုံးဖြတ်ချက်ကို သဘောတူသည်။
头发	ဆံပင်	သူမ၏ ဆံပင် ရှည်သည်။
突然	ရုတ်တရက်	သူ ရုတ်တရက် ထွက်ခွာသွားသည်။
图书馆	စာကြည့်တိုက်	စာကြည့်တိုက် ယနေ့ မဖွင့်ပါ။
腿	ခြေထောက်	တောင်တက်ပြီးနောက် ကျွန်ုပ်၏ ခြေထောက်များ အလွန်နာသည်။
完成	ပြီးမြောက်သည်; ပြီးစီးသည်	ကျွန်ုပ် အိမ်စာ ပြီးစီးပြီးပြီ။
碗	ပန်းကန်လုံး	စားပွဲပေါ်တွင် ပန်းကန်လုံးနှစ်လုံး ရှိသည်။
万	တစ်သောင်း	ဤမြို့တွင် လူတစ်သောင်း ရှိသည်။
忘记	မေ့သည်	ပတ်စပို့ ယူလာရန် မမေ့ပါနှင့်။
为	အတွက်; ကြောင့်	ကျွန်ုပ် သင့်အတွက် ပျော်သည်။
为了	အတွက်; ရန်	စာမေးပွဲအတွက် သူ နေ့တိုင်း ပြန်လေ့လာသည်။
位	လူအတွက် ယဉ်ကျေးသော ရေတွက်စကား	ဤဆရာသည် အလွန်နာမည်ကြီးသည်။
文化	ယဉ်ကျေးမှု	ကျွန်ုပ် တရုတ်ယဉ်ကျေးမှုကို နားလည်ချင်သည်။
西	အနောက်	ဘဏ်သည် ကျောင်း၏ အနောက်ဘက်တွင် ရှိသည်။
习惯	အလေ့အထ; အသားကျသည်	မနက်တွင် လေ့ကျင့်ခန်းလုပ်ခြင်းကို ကျွန်ုပ် အသားကျသည်။
洗手间	အိမ်သာ	အိမ်သာသည် ညာဘက်တွင် ရှိသည်။
洗澡	ရေချိုးသည်	ကျွန်ုပ် ညနေတွင် ရေချိုးသည်။
夏	နွေရာသီ	နွေရာသီ အလွန်ပူသည်။
先	အရင်	သင် အရင် ထမင်းစားပါ။
相信	ယုံကြည်သည်	သူ လာမည်ဟု ကျွန်ုပ် ယုံကြည်သည်။
香蕉	ငှက်ပျောသီး	ကျွန်ုပ် ငှက်ပျောသီးသုံးလုံး ဝယ်ခဲ့သည်။
像	နှင့်တူသည်	ဤမိုးတိမ်သည် ငှက်တစ်ကောင်နှင့် တူသည်။
向	ဆီသို့; ဦးတည်	ကျေးဇူးပြု၍ ဘယ်ဘက်သို့ လျှောက်ပါ။
小心	သတိထားသည်	မိုးရွာနေသည်၊ လမ်းတွင် သတိထားပါ။
校长	ကျောင်းအုပ်	ကျောင်းအုပ်သည် ရုံးခန်းတွင် ရှိသည်။
新闻	သတင်း	အဖေ နေ့တိုင်း သတင်းကြည့်သည်။
