source_headword	MS	example_MS
succeed	berjaya	Anda boleh berjaya di sini.
successful	berjaya	Dia menjadi berjaya.
such	sebegitu	Bantuan sebegitu berguna.
suddenly	tiba-tiba	Tiba-tiba, anjing itu lari.
suggest	mencadangkan	Saya mencadangkan rehat sebentar.
suggestion	cadangan	Cadangan anda membantu.
suit	sut	Sut ini mahal.
support	menyokong	Kami menyokong pasukan kami.
suppose	rasa	Saya rasa anda betul.
surprise	kejutan	Kejutan itu membuatnya gembira.
surprised	terkejut	Dia terkejut hari ini.
surprising	mengejutkan	Keputusan itu mengejutkan.
survey	tinjauan	Sila lengkapkan tinjauan.
sweet	manis	Teh ini manis.
symbol	simbol	Simbol ini bermaksud bahaya.
system	sistem	Sistem berfungsi dengan baik.
tablet	tablet	Tablet saya berada di atas meja.
target	sasaran	Kena sasaran dengan berhati-hati.
task	tugas	Tugas ini mudah.
taste	rasa	Rasa sup dahulu.
teaching	pengajaran	Pengajaran ialah kerja yang sukar.
technology	teknologi	Teknologi berubah dengan cepat.
teenage	remaja	Adik lelaki remaja saya belajar dengan tekun.
temperature	suhu	Suhu rendah.
term	penggal	Penggal ini tamat tidak lama lagi.
themselves	diri mereka sendiri	Mereka memasak makan malam sendiri.
thick	tebal	Buku ini tebal.
thief	pencuri	Pencuri itu lari.
thin	nipis	Kertas itu nipis.
thinking	pemikiran	Pemikiran mengambil masa.
thought	fikiran	Saya mempunyai fikiran yang pelik.
throw	baling	Baling bola dengan perlahan.
tidy	kemas	Pastikan bilik anda kemas.
tie	ikat	Ikat kasut anda sekarang.
tip	tip	Tinggalkan tip untuk perkhidmatan.
tool	alat	Gunakan alat yang betul.
top	atas	Rak atas penuh.
touch	sentuh	Jangan sentuh kaca.
tour	lawatan	Kami mengikuti lawatan bandar.
tourism	pelancongan	Pelancongan membantu bandar ini.
towards	ke arah	Berjalan ke arah stesen.
towel	tuala	Bawa tuala bersih.
tower	menara	Menara itu sangat lama.
toy	mainan	Kereta mainan itu merah.
track	trek	Trek itu menuju ke utara.
tradition	tradisi	Tradisi ini lama.
traditional	tradisional	Dia memakai pakaian tradisional.
trainer	jurulatih	Jurulatih saya banyak membantu.
training	latihan	Latihan bermula esok.
transport	pengangkutan	Pengangkutan awam lewat.
traveller	pengembara	Pengembara itu meminta bantuan.
trouble	masalah	Kami menghadapi masalah semalam.
truck	lori	Lori itu berada di luar.
twin	kembar	Adik perempuan kembar saya lebih tinggi.
typical	biasa	Ini hari yang biasa.
underground	bawah tanah	Kereta api bergerak di bawah tanah.
understanding	pemahaman	Pemahaman anda betul.
unfortunately	malangnya	Malangnya, kedai itu ditutup.
unhappy	tidak gembira	Dia kelihatan tidak gembira.
uniform	pakaian seragam	Dia memakai pakaian seragam sekolah.
unit	unit	Unit ini kecil.
united	bersatu	Pasukan itu kekal bersatu.
unusual	luar biasa	Bunyi itu luar biasa.
used to modal	pernah	Kami pernah tinggal di sini.
user	pengguna	Setiap pengguna mempunyai nombor.
usual	biasa	Saya mengambil tempat duduk biasa saya.
valley	lembah	Lembah itu hijau.
van	van	Van itu penuh.
variety	kepelbagaian	Kami perlukan lebih banyak kepelbagaian.
vehicle	kenderaan	Kenderaan ini perlahan.
view	pemandangan	Pemandangan itu indah.
virus	virus	Virus membuatnya sakit.
voice	suara	Suaranya perlahan.
war	perang	Perang itu berakhir bertahun-tahun lalu.
washing	cucian	Cucian berada di luar.
wave	ombak	Ombak menghentam bot.
weak	lemah	Kaki saya terasa lemah.
web	web	Laman web itu terbuka.
wedding	perkahwinan	Perkahwinan bermula tidak lama lagi.
weight	berat	Semak berat dahulu.
wet	basah	Kasut saya basah.
wheel	roda	Roda itu rosak.
while	seketika	Tunggu di sini seketika.
whole	seluruh	Saya makan seluruh epal.
whose	milik siapa	Telefon ini milik siapa?
wide	lebar	Jalan itu lebar.
wild	liar	Haiwan liar tinggal di sini.
wind1	angin	Angin kuat.
winner	pemenang	Pemenang itu tersenyum.
wish	hajat	Buat satu hajat.
wood	kayu	Kerusi itu diperbuat daripada kayu.
wooden	kayu	Kotak kayu itu berat.
working	kerja	Hari kerja telah tamat.
worried	risau	Saya berasa risau hari ini.
worry	risau	Jangan risau sekarang.
worse	lebih teruk	Sakit ini lebih teruk.
worst	paling teruk	Itu hari yang paling teruk.
wow	wow	Wow, itu menakjubkan!
yet	lagi	Sudahkah kita sampai lagi?
yours	milik anda	Buku ini milik anda.
zero	sifar	Kira turun hingga sifar.
