source_headword	SK	example_SK
observe	pozorovať	Vedci pozorujú vtáky každú jar.
obtain	získať	Musíte získať písomné povolenie.
occasionally	občas	Občas pracuje z domu.
offence	urážka	Ten komentár spôsobil vážnu urážku.
offend	uraziť	Nemal som v úmysle nikoho uraziť.
offensive	urážlivý	Plagát obsahoval urážlivý jazyk.
opening	voľné pracovné miesto	Voľné pracovné miesto prilákalo mnoho uchádzačov.
operate	fungovať	Stroj môže fungovať automaticky.
opponent	oponent	Jej oponent kritizoval politiku.
oppose	oponovať	Mnoho obyvateľov sa stavia proti plánu.
opposed	protichodný	Skupiny mali protichodné názory.
opposition	odpor	Návrh čelil silnému odporu.
organ	orgán	Srdce je životne dôležitý orgán.
origin	pôvod	Pôvod požiaru je neznámy.
otherwise	inak	Odíďte hneď, inak prídete neskoro.
outcome	výsledok	Výsledok všetkých prekvapil.
outer	vonkajší	Vonkajšia stena potrebuje opravu.
outline	načrtnúť	Načrtnite prosím svoj hlavný argument.
overall	celkový	Celkový výsledok bol pozitívny.
owe	dlhovať	Dlžím ti ospravedlnenie.
pace	tempo	Kráčajte stálym tempom.
panel	panel	Panel diskutoval o klimatickej politike.
parliament	parlament	Parlament schválil nový zákon.
participant	účastník	Každý účastník podpísal formulár.
partly	čiastočne	Meškanie bola čiastočne naša vina.
passage	pasáž	Pred odpoveďou si prečítajte pasáž.
pension1	dôchodok	Jeho dôchodok ho po odchode do dôchodku živí.
permanent	trvalý	Potrebujú trvalé riešenie.
permit	povoliť	Pravidlá povoľujú krátke návštevy.
perspective	pohľad	Skúste to vidieť z jej pohľadu.
phase	fáza	Projekt vstúpil do svojej záverečnej fázy.
phenomenon	fenomén	Tento jav sa vyskytuje v mnohých kultúrach.
philosophy	filozofia	Jej filozofia si cení praktické činy.
pile	hromada	Stôl pokrývala kopa papierov.
pitch	ihrisko	Tím ihrisko starostlivo pripravil.
plain	jasný	Pokyny boli jasné a priame.
pointed	ostrý	Urobil ostrú poznámku.
popularity	popularita	Spevák získal popularitu na internete.
pose	predstavovať	Otázka môže predstavovať problém.
possess	mať	Túto zručnosť má len málo študentov.
potential	potenciál	Ten nápad má skutočný potenciál.
praise	chvála	Učiteľ vyslovil úprimnú chválu.
pregnant	tehotná	Je v šiestom mesiaci tehotenstva.
preparation	príprava	Dobrá príprava znižuje stres.
presence	prítomnosť	Jeho prítomnosť zmenila náladu.
preserve	zachovať	Musíme túto historickú budovu zachovať.
prime	hlavný	Hlavnou príčinou bolo zlé plánovanie.
principle	princíp	Rozhodnutie sa riadilo jasným princípom.
priority	priorita	Bezpečnosť je naša prvá priorita.
privacy	súkromie	Zákazníci očakávajú na internete súkromie.
procedure	postup	Procedúra trvá tridsať minút.
proof	dôkaz	Pred konaním potrebujeme dôkaz.
proposal	návrh	Návrh potrebuje viac podrobností.
propose	navrhovať	Navrhujem iné riešenie.
prospect	vyhliadka	Vyhliadka na neúspech ich znepokojovala.
protection	ochrana	Prilba poskytuje základnú ochranu.
psychologist	psychológ	Psychológ vysvetlil výsledky testu.
psychology	psychológia	Študuje psychológiu na univerzite.
publication	publikácia	Publikácia pritiahla pozornosť verejnosti.
pupil	žiak	Každý žiak dostal novú učebnicu.
purchase	nakupovať	Nakupujú zásoby každý mesiac.
pure	čistý	Voda bola čistá a studená.
pursue	venovať sa	Bude sa venovať lekárskej kariére.
rank	hodnosť	Má vysokú hodnosť.
rapid	rýchly	Krajina zaznamenala rýchly rast.
rapidly	rýchlo	Ceny tento rok rýchlo vzrástli.
raw	surový	Kuchár pripravil surovú zeleninu.
realistic	realistický	Stanovte si realistický termín.
reasonable	rozumný	To sa zdá byť rozumná požiadavka.
recall	pamätať si	Pamätám si jeho presné slová.
recover	zotaviť sa	Po liečbe sa zotaví.
reduction	zníženie	Zníženie ušetrilo peniaze.
regard	považovať	Mnoho ľudí ju považuje za úprimnú.
regional	regionálny	Regionálna kancelária sa dnes zatvorila.
register	zaregistrovať sa	Zaregistrujte sa prosím pred konferenciou.
regret	ľutovať	Ľutujem svoje skoršie rozhodnutie.
regulation	predpis	Nový predpis sa týka všetkých vodičov.
relatively	pomerne	Skúška bola pomerne ľahká.
relevant	relevantný	Vyberte len relevantné detaily.
relief	úľava	Tá správa priniesla veľkú úľavu.
rely	spoliehať sa	Deti sa spoliehajú na podporu dospelých.
remark	poznámka	Jeho poznámka ukončila diskusiu.
representative	zástupca	Zástupca sa stretol s miestnymi pracovníkmi.
reputation	povesť	Ten hotel má dobrú povesť.
requirement	požiadavka	Skúsenosť je základná požiadavka.
rescue	zachrániť	Zachraňujú ľudí pred povodňami.
reserve	rezerva	Rezervujeme miesta pre hostí.
resident	obyvateľ	Každý obyvateľ dostal oznámenie.
resist	odolať	Snaž sa odolať tlaku.
resolve	vyriešiť	Vyriešili ten spor mierovou cestou.
resort	letovisko	Ostrovné letovisko sa otvorilo v máji.
retain	udržať si	Spoločnosť si chce udržať zamestnancov.
reveal	odhaliť	Tá správa odhalí pravdu.
revolution	revolúcia	Revolúcia zmenila krajinu.
reward	odmena	Tvrdá práca si zaslúži odmenu.
rhythm	rytmus	Tá pieseň má stály rytmus.
rid	zbaviť sa	Zbav sa tých starých zložiek.
root	koreň	Koreňom problému sú peniaze.
rub	trieť	Trite povrch handričkou.
rubber	guma	Gumové tesnenie zabraňuje únikom.
rural	vidiecky	Mnoho vidieckych škôl potrebuje podporu.
rush	ponáhľať sa	Neponáhľaj sa s týmto rozhodnutím.
satellite	satelit	Satelit poslal nové snímky.
satisfied	spokojný	Zákazník sa zdal spokojný.
satisfy	uspokojiť	Tá odpoveď ho neuspokojila.
saving	úspora	Úspora energie znižuje mesačné náklady.
scale	rozsah	Rozsah škôd bol obrovský.
scheme	program	Ten program pomáha mladým pracovníkom.
scream	kričať	Vonku začuli výkrik.
sector	sektor	Technologický sektor rastie.
secure	zaistiť	Zamkni dvere, aby si ich zaistil.
seek	hľadať	Hľadajú radu u odborníkov.
select	vybrať	Vyberte najlepšiu možnosť.
selection	výber	Obchod ponúka široký výber.
self	ja	Ukázala svoje pravé ja.
senior	starší	Starší lekár vyšetril pacienta.
sensitive	citlivý	Táto téma je veľmi citlivá.
sequence	poradie	Postupujte podľa poradia krokov.
session	sedenie	Školenie sa začína napoludnie.
settle	urovnať	Rýchlo ten spor urovnajú.
severe	vážny	Búrka spôsobila vážne záplavy.
shade	tieň	Sadni si do tieňa.
shadow	tieň	Cez okno prešiel tieň.
shallow	plytký	Jazero je tu plytké.
shame	hanba	Po klamstve cítil hanbu.
shelter	prístrešie	Škola poskytla núdzové prístrešie.
shock	šok	To rozhodnutie bolo šok.
shocked	šokovaný	Vyzerala byť tou správou šokovaná.
shooting	streľba	K streľbe došlo neďaleko stanice.
shot	strela	Víťazná strela všetkých prekvapila.
significant	významný	Ten objav bol významný.
significantly	významne	Náklady sa vlani významne zvýšili.
silence	ticho	Miestnosť upadla do ticha.
silk	hodváb	Šaty boli vyrobené z hodvábu.
sincere	úprimný	Prijmite prosím moju úprimnú vďaku.
slave	otrok	Zákon oslobodil každého otroka.
slide	kĺzať sa	Dieťa išlo dole po šmykľavke.
slight	mierny	Došlo k miernemu meškaniu.
slip	pošmyknúť sa	Nepošmykni sa na mokrej podlahe.
slope	svah	Cesta sleduje strmý svah.
solar	solárny	Dom využíva solárnu energiu.
somewhat	trochu	Pokyny boli trochu mätúce.
soul	duša	Hudba povzniesla jej dušu.
specialist	špecialista	Špecialista vyšetril pacienta.
species	druh	Tento druh žije v blízkosti riek.
spiritual	duchovný	Opísala duchovný zážitok.
split	rozdeliť	Rozdelili si účet rovným dielom.
sponsor	sponzorovať	Spoločnosť bude sponzorovať podujatie.
stable	stabilný	Pacient je stabilný.
stare	zírať	Nezíraj na cudzích ľudí.
status	status	Jeho status sa zmenil zo dňa na deň.
steady	stály	Udržuj stálu rýchlosť.
steel	oceľ	Most je vyrobený z ocele.
steep	strmý	Kopec je strmý.
sticky	lepkavý	Podlaha je na dotyk lepkavá.
stiff	stuhnutý	Jeho rameno bolo stuhnuté.
stock	zásoba	Obchod už nemá žiadne zásoby.
stream	potok	Malý potok križuje pole.
stretch	pretiahnuť	Po lete si pretiahnite nohy.
strict	prísny	Škola má prísne pravidlá.
strike	štrajkovať	Pracovníci môžu zajtra štrajkovať.
struggle	bojovať	Mnoho rodín bojuje s nájmom.
submit	odovzdať	Odovzdajte formulár do piatku.
sum	suma	Suma bola vyššia, ako sa očakávalo.
surgery	operácia	Operácia trvala dve hodiny.
surround	obklopovať	Dom obklopujú vysoké stromy.
surrounding	okolitý	Okolitá oblasť je tichá.
suspect	podozrievať	Polícia podozrieva miestneho muža.
swear	nadávať	Nenadávaj v triede.
sweep	zamiesť	Zameťte podlahu predtým, ako prídu hostia.
sympathy	súcit	Vyjadrila súcit s obeťami.
tale	príbeh	Babička rozprávala zvláštny príbeh.
tank	nádrž	Nádrž obsahuje čistú vodu.
tear1	trhať	Netrhajte ten dokument.
tear2	slza	Po líci jej stekla slza.
temporary	dočasný	Kancelária je dočasným prístreškom.
therapy	terapia	Fyzikálna terapia pomohla jeho zotaveniu.
threat	hrozba	Správa obsahovala hrozbu.
threaten	ohroziť	Búrka môže ohroziť úrodu.
thus	tak	Cesta bola uzavretá; tak sme čakali.
tone	tón	Jeho tón znel pokojne.
tough	náročný	Pohovor bol náročný.
transfer	preniesť	Dáta prenášajú každú noc.
transform	premeniť	Nová politika premení služby.
transition	prechod	Prechod trval niekoľko mesiacov.
trial	súd	Súd sa začína budúci týždeň.
tropical	tropický	Tropické búrky sú tu bežné.
truly	naozaj	Naozaj si vážim vašu pomoc.
trust	dôvera	Budovanie dôvery vyžaduje čas.
tune	melódia	Kapela hrala veselú melódiu.
tunnel	tunel	Tunel vedie pod riekou.
ultimately	nakoniec	Plán nakoniec uspel.
unconscious	v bezvedomí	Pacient zostal v bezvedomí.
unexpected	nečakaný	Meškanie bolo nečakané.
unique	jedinečný	Každý dizajn je jedinečný.
universe	vesmír	Vesmír sa rozpína.
unknown	neznámy	Meno zostáva neznáme.
upper	horný	Horná polica je prázdna.
upwards	nahor	Dym stúpal nahor.
urban	mestský	Mestské oblasti potrebujú lepšiu dopravu.
urge	nabádať	Lekári nabádajú ľudí k cvičeniu.
vary	líšiť sa	Ceny sa líšia podľa regiónu.
vast	rozľahlý	Púšť pokrýva rozľahlú oblasť.
venue	miesto konania	Miesto konania pojme päťsto ľudí.
via	prostredníctvom	Pošlite dokument prostredníctvom e-mailu.
victory	víťazstvo	Tím oslávil svoje víťazstvo.
violence	násilie	Mesto trpelo politickým násilím.
virtual	virtuálny	Stretnutie je virtuálne.
vision	vízia	Jej vízia formovala spoločnosť.
visual	vizuálny	Správa obsahuje vizuálne príklady.
vital	životne dôležitý	Voda je pre život životne dôležitá.
vitamin	vitamín	Pomaranče obsahujú vitamín C.
volume	hlasitosť	Znížte hlasitosť.
wage	mzda	Robotníci požadovali vyššiu mzdu.
weakness	slabina	Plán má jednu slabinu.
wealth	bohatstvo	Jeho bohatstvo pochádzalo z obchodu.
wealthy	bohatý	Bohatá rodina financovala múzeum.
whereas	zatiaľ čo	Ona má rada čaj, zatiaľ čo ja uprednostňujem kávu.
wherever	kdekoľvek	Sadnite si kdekoľvek sa cítite pohodlne.
whisper	šepkať	Počas obradu prosím šepkajte.
whom	koho	Koho ste pozvali?
widely	hojne	Kniha je hojne čítaná.
wildlife	divá zver	Park chráni miestnu divú zver.
willing	ochotný	Je ochotná pomôcť.
wind2	namotať	Namotajte kábel na cievku.
wire	kábel	Kábel spája dve zariadenia.
wise	múdry	Bola to múdra voľba.
witness	svedok	Svedok opísal nehodu.
wound	rana	Opatrne vyčistite ranu.
wrap	zabaliť	Zabaľte darček do papiera.
zone	zóna	Táto zóna je pre dopravu uzavretá.
