source_headword	BN	example_BN
specification	স্পেসিফিকেশন	নকশাটি প্রতিটি স্পেসিফিকেশন পূরণ করে।
specimen	নমুনা	নমুনাটি নিরাপদে সংরক্ষণ করা হয়েছিল।
spectacle	দৃশ্য	কুচকাওয়াজটি ছিল একটি আকর্ষণীয় দৃশ্য।
spectrum	বর্ণালী	মতামতগুলো একটি বিস্তৃত পরিসর জুড়ে রয়েছে।
spell	সময়কাল	খরা সপ্তাহখানেক স্থায়ী ছিল।
sphere	পরিমণ্ডল	রাজনীতি সাংস্কৃতিক পরিমণ্ডলে প্রবেশ করেছে।
spin	ঘোরানো	চাকাগুলো ঘুরতে শুরু করল।
spine	মেরুদণ্ড	আঘাতটি তার মেরুদণ্ডকে প্রভাবিত করেছিল।
spotlight	স্পটলাইট	কেলেঙ্কারিটি তাকে আলোচনার কেন্দ্রবিন্দুতে নিয়ে এসেছিল।
spouse	স্বামী বা স্ত্রী	তার স্বামী অনুষ্ঠানে উপস্থিত ছিলেন।
spy	গুপ্তচর	গুপ্তচরটি সাংকেতিক বার্তা পাঠিয়েছিল।
squad	স্কোয়াড	উদ্ধারকারী দল দ্রুত পৌঁছেছিল।
squeeze	চাপ দেওয়া	হাতলটিতে আলতো করে চাপ দিন।
stab	ছুরিকাঘাত করা	প্রতিবেদনে একটি ছুরিকাঘাতের ক্ষতের বর্ণনা দেওয়া হয়েছে।
stability	স্থিতিশীলতা	নীতিটি স্থিতিশীলতা এনেছিল।
stabilize	স্থিতিশীল করা	ওষুধটি তাকে স্থিতিশীল করতে সাহায্য করেছিল।
stake	স্বার্থ	বিনিয়োগকারীদের এখানে স্বার্থ রয়েছে।
standing	মর্যাদা	দলে তার মর্যাদা বৃদ্ধি পেয়েছিল।
stark	স্পষ্ট	ফলাফলগুলোতে স্পষ্ট পার্থক্য দেখা গেছে।
statistical	পরিসংখ্যানগত	গবেষণায় পরিসংখ্যানগত পদ্ধতি ব্যবহার করা হয়েছে।
steer	পরিচালনা করা	সে বিতর্কটি পরিচালনা করার চেষ্টা করেছিল।
stem	কাণ্ড	ঝড়ে কাণ্ডটি ভেঙে গিয়েছিল।
stereotype	বাঁধাধরা ধারণা	চলচ্চিত্রটি একটি বাঁধাধরা ধারণাকে চ্যালেঞ্জ করেছিল।
stimulus	উদ্দীপনা	প্যাকেজটি অর্থনৈতিক উদ্দীপনা প্রদান করেছিল।
stir	নাড়া	সসটি ধীরে ধীরে নাড়ুন।
storage	সংরক্ষণ	সুবিধাটি নিরাপদ সংরক্ষণের ব্যবস্থা করে।
straightforward	সহজবোধ্য	নির্দেশাবলী সহজবোধ্য ছিল।
strain	চাপ	দীর্ঘ বিলম্ব মানসিক চাপ সৃষ্টি করেছিল।
strand	গুচ্ছ	একগুচ্ছ চুল পড়ে গেল।
strategic	কৌশলগত	কোম্পানিটি একটি কৌশলগত বিনিয়োগ করেছিল।
strip (long narrow piece)	ফালি	কাগজের একটি সরু ফালি কাটুন।
strip (remove clothes/a layer)	তুলে ফেলা	সাবধানে পুরনো রঙ তুলে ফেলুন।
strive	সংগ্রাম করা	তারা শ্রেষ্ঠত্বের জন্য সংগ্রাম করে।
structural	কাঠামোগত	সেতুটির কাঠামোগত ক্ষতি হয়েছে।
stumble	হোঁচট খাওয়া	সে সিঁড়িতে হোঁচট খেয়েছিল।
stun	হতবাক করা	খবরটি মানুষকে হতবাক করতে পারে।
submission	জমা দেওয়া	জমা দেওয়ার সময়সীমা পার হয়ে গেছে।
subscriber	গ্রাহক	প্রতিটি গ্রাহক আপডেট পান।
subscription	সাবস্ক্রিপশন	সাবস্ক্রিপশন স্বয়ংক্রিয়ভাবে নবায়ন হয়।
subsidy	ভর্তুকি	ভর্তুকি জ্বালানির খরচ কমিয়েছিল।
substantial	উল্লেখযোগ্য	প্রকল্পটির জন্য যথেষ্ট পরিমাণ তহবিলের প্রয়োজন।
substantially	উল্লেখযোগ্যভাবে	দাম উল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে।
substitute	বিকল্প	বিকল্প হিসেবে দুধ ব্যবহার করুন।
substitution	প্রতিস্থাপন	প্রতিস্থাপনটি রেসিপিটিকে পরিবর্তন করেছিল।
subtle	সূক্ষ্ম	চিত্রকর্মটিতে সূক্ষ্ম বিবরণ রয়েছে।
suburban	শহরতলীর	তারা একটি শহরতলী এলাকায় চলে গিয়েছিল।
succession	পরম্পরা	সংকটটি একের পর এক ব্যর্থতার পর এসেছিল।
successive	পরপর	পরপর সরকারগুলো এই বিষয়টিকে উপেক্ষা করেছিল।
successor	উত্তরাধিকারী	উত্তরাধিকারী সোমবার শুরু করবেন।
suck	টেনে নেওয়া	মেশিনটি ধুলো টেনে নিতে পারে।
sue	মামলা করা	সে কোম্পানির বিরুদ্ধে মামলা করার সিদ্ধান্ত নিয়েছিল।
suicide	আত্মহত্যা	আত্মহত্যা প্রতিরোধের জন্য টেকসই তহবিলের প্রয়োজন।
suite	স্যুট	হোটেলের স্যুটটি থেকে নদী দেখা যেত।
summit	শীর্ষ সম্মেলন	নেতারা শীর্ষ সম্মেলনে মিলিত হয়েছিলেন।
superb	চমৎকার	পারফরম্যান্সটি চমৎকার ছিল।
superior	উন্নততর	নতুন মডেলটি উন্নততর।
supervise	তদারকি করা	সে প্রশিক্ষণার্থীদের তদারকি করবে।
supervision	তদারকি	শিশুদের প্রাপ্তবয়স্কদের তদারকি প্রয়োজন।
supervisor	তদারককারী	প্রথমে আপনার সুপারভাইজারকে জিজ্ঞাসা করুন।
supplement	পরিপূরক	প্রতিবেদনে একটি পরিপূরক অন্তর্ভুক্ত রয়েছে।
supportive	সহায়ক	তার পরিবার সহায়ক ছিল।
supposedly	সম্ভবত	ফাইলটি সম্ভবত মুছে ফেলা হয়েছিল।
suppress	দমন করা	সরকার বিক্ষোভ দমন করার চেষ্টা করেছিল।
supreme	সর্বোচ্চ	সুপ্রিম কোর্ট মামলাটির শুনানি করেছিল।
surge	আকস্মিক বৃদ্ধি	একটি আকস্মিক জলোচ্ছ্বাস সরঞ্জামগুলোর ক্ষতি করেছিল।
surgical	অস্ত্রোপচার সংক্রান্ত	রোগীর অস্ত্রোপচার চিকিৎসার প্রয়োজন।
surplus	উদ্বৃত্ত	গুদামে একটি উদ্বৃত্ত রয়েছে।
surrender	আত্মসমর্পণ করা	সৈন্যরা আত্মসমর্পণ করতে সম্মত হয়েছিল।
surveillance	নজরদারি	নজরদারি ক্যামেরাগুলো প্রবেশদ্বার রেকর্ড করেছিল।
suspension	স্থগিতাদেশ	স্থগিতাদেশ দুই সপ্তাহ স্থায়ী ছিল।
suspicion	সন্দেহ	তার আচরণ সন্দেহ বাড়িয়েছিল।
suspicious	সন্দেহজনক	প্যাকেজটি সন্দেহজনক লাগছিল।
sustain	টিকিয়ে রাখা	প্রকল্পটি স্থানীয় চাকরি টিকিয়ে রাখতে পারে।
swing	দোল খাওয়া	দরজাটি দোল খেতে শুরু করল।
sword	তলোয়ার	তলোয়ারটি দেয়ালে ঝোলানো ছিল।
symbolic	প্রতীকী	ভঙ্গিটি ছিল প্রতীকী।
syndrome	সিন্ড্রোম	এই সিন্ড্রোম স্মৃতিশক্তিকে প্রভাবিত করে।
synthesis	সংশ্লেষণ	অধ্যায়টি একটি সংশ্লেষণ প্রদান করে।
systematic	পদ্ধতিগত	পর্যালোচনাটি পদ্ধতিগত ছিল।
tactic	কৌশল	কৌশলটি দ্রুত ব্যর্থ হয়েছিল।
tactical	কৌশলগত	দলটি একটি কৌশলগত পরিবর্তন করেছিল।
taxpayer	করদাতা	করদাতার অর্থে সেতুটিতে অর্থায়ন করা হয়েছিল।
tempt	প্রলুব্ধ করা	প্রস্তাবটি বিনিয়োগকারীদের প্রলুব্ধ করতে পারে।
tenant	ভাড়াটে	ভাড়াটে আগেভাগেই ভাড়া পরিশোধ করেছিল।
tender	কোমল	সে একটি কোমল হাসি দিল।
tenure	মেয়াদ	তার মেয়াদ ছয় বছর স্থায়ী ছিল।
terminal	মারাত্মক	রোগীর একটি মারাত্মক অসুস্থতা ছিল।
terminate	বাতিল করা	কোম্পানিটি চুক্তি বাতিল করতে পারে।
terrain	ভূখণ্ড	ভূখণ্ডটি দুর্গম ছিল।
terrific	চমৎকার	দৃশ্যটি ছিল চমৎকার।
testify	সাক্ষ্য দেওয়া	সে সাক্ষ্য দিতে সম্মত হয়েছিল।
testimony	সাক্ষ্য	তার সাক্ষ্যটি বিস্তারিত ছিল।
texture	বুনট	কাপড়টির বুনট খসখসে।
thankfully	সৌভাগ্যবশত	সৌভাগ্যবশত, কেউ আহত হয়নি।
theatrical	নাটুকে	ভাষণটি নাটুকে শোনাল।
theology	ধর্মতত্ত্ব	সে বিশ্ববিদ্যালয়ে ধর্মতত্ত্ব নিয়ে পড়াশোনা করেছিল।
theoretical	তাত্ত্বিক	মডেলটি সম্পূর্ণ তাত্ত্বিক।
thereafter	তারপর থেকে	তারপর থেকে, নিয়মগুলো পরিবর্তিত হয়েছিল।
thereby	এর ফলে	পরিবর্তনটি খরচ কমিয়েছে, এর ফলে চাকরি বেঁচে গেছে।
thoughtful	চিন্তাশীল	তার উত্তরটি চিন্তাশীল ছিল।
thought-provoking	চিন্তার উদ্রেককারী	প্রবন্ধটি চিন্তার উদ্রেককারী ছিল।
thread	সুতা	সুতাটি সহজেই ছিঁড়ে গেল।
threshold	দোরগোড়া	ভোটটি সীমা অতিক্রম করেছে।
thrilled	রোমাঞ্চিত	খবরটি শুনে সে রোমাঞ্চিত হয়েছিল।
thrive	উন্নতি লাভ করা	ছোট ব্যবসাগুলো এখানে উন্নতি লাভ করতে পারে।
tide	জোয়ার	জোয়ার দ্রুত বেড়েছিল।
tighten	শক্ত করা	ঢাকনাটি শক্ত করে লাগান।
timber	কাঠ	বাড়িটিতে স্থানীয় কাঠ ব্যবহার করা হয়েছে।
timely	সময়োপযোগী	সতর্কতাটি সময়োপযোগী ছিল।
tobacco	তামাক	তামাক বিক্রি কমে গেছে।
tolerance	সহনশীলতা	নীতিটি সহনশীলতাকে উৎসাহিত করে।
tolerate	সহ্য করা	আমরা অপব্যবহার সহ্য করতে পারি না।
toll	মাশুল	ঝড়টি একটি ভারী মাশুল আদায় করেছিল।
top	ছাড়িয়ে যাওয়া	বিক্রি গত বছরের রেকর্ড ছাড়িয়ে যেতে পারে।
torture	নির্যাতন	চুক্তিটি নির্যাতন সম্পূর্ণরূপে নিষিদ্ধ করে।
