source_headword	KN	example_KN
artwork	ಕಲಾಕೃತಿ	ವಸ್ತುಸಂಗ್ರಹಾಲಯವು ಸ್ಥಳೀಯ ಕಲಾಕೃತಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿತು.
aside	ಪಕ್ಕಕ್ಕೆ	ಅವನಿಗೆ ದಾರಿ ಬಿಡಲು ಅವಳು ಪಕ್ಕಕ್ಕೆ ಸರಿದಳು.
asset	ಆಸ್ತಿ	ಅನುಭವವು ಒಂದು ಅಮೂಲ್ಯವಾದ ಆಸ್ತಿಯಾಗಿದೆ.
assign	ನಿಯೋಜಿಸು	ಶಿಕ್ಷಕರು ಇಂದು ಮನೆಕೆಲಸವನ್ನು ನಿಯೋಜಿಸಿದರು.
assistance	ನೆರವು	ದಯವಿಟ್ಟು ಸಹಾಯಕ್ಕಾಗಿ ಸಿಬ್ಬಂದಿಯನ್ನು ಕೇಳಿ.
assumption	ಕಲ್ಪನೆ	ಆ ಊಹೆಯು ತಪ್ಪಾಗಿರಬಹುದು.
assure	ಭರವಸೆ ನೀಡು	ಬಾಗಿಲು ಲಾಕ್ ಆಗಿದೆ ಎಂದು ನಾನು ನಿಮಗೆ ಭರವಸೆ ನೀಡುತ್ತೇನೆ.
astonishing	ಆಶ್ಚರ್ಯಕರ	ಬಂಡೆಯ ಮೇಲಿನಿಂದ ಕಾಣುವ ದೃಶ್ಯವು ಆಶ್ಚರ್ಯಕರವಾಗಿತ್ತು.
attachment	ಲಗತ್ತು	ಇಮೇಲ್ ಲಗತ್ತನ್ನು ಒಳಗೊಂಡಿದೆ.
auction	ಹರಾಜು	ಚಿತ್ರಕಲೆ ಹರಾಜಿನಲ್ಲಿ ಮಾರಾಟವಾಯಿತು.
audio	ಆಡಿಯೋ	ಆಡಿಯೋ ರೆಕಾರ್ಡಿಂಗ್ ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳಿಸುತ್ತದೆ.
automatic	ಸ್ವಯಂಚಾಲಿತ	ಬಾಗಿಲು ಸ್ವಯಂಚಾಲಿತ ಲಾಕ್ ಹೊಂದಿದೆ.
automatically	ಸ್ವಯಂಚಾಲಿತವಾಗಿ	ದೀಪಗಳು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಆನ್ ಆಗುತ್ತವೆ.
awareness	ಅರಿವು	ಈ ಅಭಿಯಾನವು ಸಾರ್ವಜನಿಕ ಅರಿವನ್ನು ಮೂಡಿಸಿತು.
awkward	ಮುಜುಗರದ	ಆ ಮೌನವು ಮುಜುಗರವನ್ನು ಉಂಟುಮಾಡಿತು.
badge	ಬ್ಯಾಡ್ಜ್	ಸಂದರ್ಶಕರು ಕಡ್ಡಾಯವಾಗಿ ಬ್ಯಾಡ್ಜ್ ಧರಿಸಬೇಕು.
balanced	ಸಮತೋಲಿತ	ಸಮತೋಲಿತ ಆಹಾರವು ತರಕಾರಿಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ.
ballet	ಬ್ಯಾಲೆ	ಅವಳು ಶಾಲೆಯ ನಂತರ ಬ್ಯಾಲೆ ಕಲಿಯುತ್ತಾಳೆ.
balloon	ಬಲೂನ್	ಬಲೂನ್ ಮೇಜಿನ ಮೇಲೆ ತೇಲಿತು.
barely	ಕಷ್ಟಪಟ್ಟು	ಅವನು ಪ್ರಕಟಣೆಯನ್ನು ಕಷ್ಟದಿಂದ ಕೇಳಿಸಿಕೊಂಡನು.
bargain	ಚೌಕಾಶಿ	ಆ ಜಾಕೆಟ್ ನಿಜವಾಗಿಯೂ ಲಾಭದಾಯಕ ಚೌಕಾಸಿಯಾಗಿತ್ತು.
basement	ನೆಲಮಾಳಿಗೆ	ಪೆಟ್ಟಿಗೆಗಳು ನೆಲಮಾಳಿಗೆಯಲ್ಲಿವೆ.
basket	ಬುಟ್ಟಿ	ಅವಳು ಸೇಬುಗಳನ್ನು ಬುಟ್ಟಿಯಲ್ಲಿ ಇಟ್ಟಳು.
bat	ಬ್ಯಾಟ್	ಬಾವಲಿಯು ಗುಹೆಯಿಂದ ಹೊರಗೆ ಹಾರಿತು.
beneficial	ಪ್ರಯೋಜನಕಾರಿ	ನಿಯಮಿತ ವ್ಯಾಯಾಮವು ಆರೋಗ್ಯಕ್ಕೆ ಪ್ರಯೋಜನಕಾರಿಯಾಗಿದೆ.
beside	ಪಕ್ಕದಲ್ಲಿ	ದೀಪವು ಸೋಫಾದ ಪಕ್ಕದಲ್ಲಿ ಇದೆ.
besides	ಇದಲ್ಲದೆ	ಗಣಿತದ ಜೊತೆಗೆ, ಅವನು ರಸಾಯನಶಾಸ್ತ್ರವನ್ನೂ ಓದುತ್ತಾನೆ.
bias	ಪಕ್ಷಪಾತ	ಲೇಖನವು ಸ್ಪಷ್ಟವಾದ ಪಕ್ಷಪಾತವನ್ನು ತೋರಿಸಿದೆ.
bid	ಬಿಡ್	ಕಂಪನಿಯು ಹೆಚ್ಚಿನ ಬಿಡ್ ಮಾಡಿತು.
biological	ಜೈವಿಕ	ಜೈವಿಕ ಪರೀಕ್ಷೆಯು ಫಲಿತಾಂಶವನ್ನು ಖಚಿತಪಡಿಸಿತು.
blanket	ಕಂಬಳಿ	ಮಗು ಕಂಬಳಿಯ ಕೆಳಗೆ ಮಲಗಿತು.
blow	ಹೊಡೆತ	ಬಲವಾದ ಪೆಟ್ಟು ಕಿಟಕಿಯನ್ನು ಒಡೆಯಿತು.
bold	ದಿಟ್ಟ	ಮುಖ್ಯಾಂಶವು ದಪ್ಪ ಅಕ್ಷರಗಳನ್ನು ಬಳಸಿದೆ.
bombing	ಬಾಂಬ್ ದಾಳಿ	ಬಾಂಬ್ ದಾಳಿಯು ಹಲವಾರು ಕಟ್ಟಡಗಳಿಗೆ ಹಾನಿ ಮಾಡಿತು.
booking	ಬುಕಿಂಗ್	ನಾನು ಹೋಟೆಲ್ ಬುಕಿಂಗ್ ಅನ್ನು ಖಚಿತಪಡಿಸಿದೆ.
boost	ಉತ್ತೇಜನ	ಗೆಲುವು ತಂಡದ ಆತ್ಮವಿಶ್ವಾಸವನ್ನು ಹೆಚ್ಚಿಸಿತು.
bound	ಬದ್ಧ	ಪಾರ್ಸೆಲ್ ಅನ್ನು ದಾರದಿಂದ ಕಟ್ಟಲಾಗಿತ್ತು.
brick	ಇಟ್ಟಿಗೆ	ಗೋಡೆಯನ್ನು ಇಟ್ಟಿಗೆಯಿಂದ ಮಾಡಲಾಗಿದೆ.
briefly	ಸಂಕ್ಷಿಪ್ತವಾಗಿ	ಊಟದ ನಂತರ ಅವಳು ಸಂಕ್ಷಿಪ್ತವಾಗಿ ಮಾತನಾಡಿದಳು.
broadcaster	ಪ್ರಸಾರಕ	ಪ್ರಸಾರಕರು ಮೇಯರ್ ಅವರನ್ನು ಸಂದರ್ಶಿಸಿದರು.
broadly	ವಿಶಾಲವಾಗಿ	ಎರಡು ಯೋಜನೆಗಳು ಸ್ಥೂಲವಾಗಿ ಒಂದೇಂತಿವೆ.
bug	ದೋಷ	ಬಗ್ ಕಾರಣದಿಂದ ಆ್ಯಪ್ ಸ್ಥಗಿತಗೊಂಡಿತು.
cabin	ಕ್ಯಾಬಿನ್	ನಾವು ಸಣ್ಣ ಕ್ಯಾಬಿನ್‌ನಲ್ಲಿ ಉಳಿದುಕೊಂಡೆವು.
canal	ಕಾಲುವೆ	ದೋಣಿಗಳು ಕಾಲುವೆಯ ಉದ್ದಕ್ಕೂ ನಿಧಾನವಾಗಿ ಚಲಿಸಿದವು.
candle	ಮೇಣದಬತ್ತಿ	ಮೇಣದಬತ್ತಿ ಮೇಜಿನ ಮೇಲೆ ಉರಿಯುತ್ತಿತ್ತು.
carbon	ಕಾರ್ಬನ್	ಮರಗಳು ಗಾಳಿಯಿಂದ ಕಾರ್ಬನ್ ಅನ್ನು ಹೀರಿಕೊಳ್ಳುತ್ತವೆ.
casual	ಅನೌಪಚಾರಿಕ	ಅವನು ಕೆಲಸಕ್ಕೆ ಕ್ಯಾಶುಯಲ್ ಬಟ್ಟೆಗಳನ್ನು ಧರಿಸಿದ್ದನು.
cave	ಗುಹೆ	ಚಾರಣಿಗರು ಗುಹೆಯನ್ನು ಪ್ರವೇಶಿಸಿದರು.
certainty	ಖಚಿತತೆ	ನಾವು ಖಚಿತವಾಗಿ ತಿಳಿಯಲು ಸಾಧ್ಯವಿಲ್ಲ.
certificate	ಪ್ರಮಾಣಪತ್ರ	ಅವಳು ತರಬೇತಿ ಪ್ರಮಾಣಪತ್ರವನ್ನು ಪಡೆದಳು.
challenging	ಸವಾಲಿನ	ಕೋರ್ಸ್ ಸವಾಲಾಗಿತ್ತು ಆದರೆ ಉಪಯುಕ್ತವಾಗಿತ್ತು.
championship	ಚಾಂಪಿಯನ್‌ಶಿಪ್	ನಮ್ಮ ತಂಡ ಚಾಂಪಿಯನ್‌ಶಿಪ್ ಫೈನಲ್ ತಲುಪಿತು.
charming	ಆಕರ್ಷಕ	ಹಳೆಯ ಬೀದಿ ಆಕರ್ಷಕವಾಗಿ ಕಾಣುತ್ತಿತ್ತು.
chase	ಬೆನ್ನಟ್ಟುವಿಕೆ	ನಾಯಿ ಚೆಂಡನ್ನು ಬೆನ್ನಟ್ಟಿತು.
cheek	ಕೆನ್ನೆ	ಅವಳ ಕೆನ್ನೆಯ ಮೇಲೆ ಕಣ್ಣೀರು ಹರಿಯಿತು.
cheer	ಹರ್ಷೋದ್ಗಾರ	ಗುಂಪು ಜೋರಾಗಿ ಜೈಕಾರ ಹಾಕಲು ಪ್ರಾರಂಭಿಸಿತು.
choir	ಗಾಯಕ ವೃಂದ	ಗಾಯಕರ ತಂಡವು ಸುಂದರವಾಗಿ ಹಾಡಿತು.
chop	ಕತ್ತರಿಸು	ಈರುಳ್ಳಿಯನ್ನು ಸಣ್ಣ ತುಂಡುಗಳಾಗಿ ಕತ್ತರಿಸಿ.
circuit	ಸರ್ಕ್ಯೂಟ್	ಓಟಗಾರ ಸರ್ಕ್ಯೂಟ್ ಅನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದನು.
civilization	ನಾಗರಿಕತೆ	ಪ್ರಾಚೀನ ನಾಗರಿಕತೆಯು ಈ ಪ್ರದೇಶವನ್ನು ರೂಪಿಸಿತು.
clarify	ಸ್ಪಷ್ಟಪಡಿಸು	ದಯವಿಟ್ಟು ಕೊನೆಯ ಅಂಶವನ್ನು ಸ್ಪಷ್ಟಪಡಿಸಿ.
classify	ವರ್ಗೀಕರಿಸು	ವಿಜ್ಞಾನಿಗಳು ಪ್ರಾಣಿಗಳನ್ನು ಜಾತಿಗಳ ಪ್ರಕಾರ ವರ್ಗೀಕರಿಸುತ್ತಾರೆ.
clerk	ಗುಮಾಸ್ತ	ಕ್ಲರ್ಕ್ ರಸೀದಿಯನ್ನು ಮುದ್ರಿಸಿದನು.
cliff	ಬಂಡೆ	ಹಾದಿಯು ಕಡಿದಾದ ಬಂಡೆಯ ಬಳಿ ಕೊನೆಗೊಳ್ಳುತ್ತದೆ.
clinic	ಕ್ಲಿನಿಕ್	ಕ್ಲಿನಿಕ್ ಎಂಟು ಗಂಟೆಗೆ ತೆರೆಯುತ್ತದೆ.
clip	ಕ್ಲಿಪ್	ಅವಳು ಕಾಗದಕ್ಕೆ ಕ್ಲಿಪ್ ಅನ್ನು ಲಗತ್ತಿಸಿದಳು.
coincidence	ಕಾಕತಾಳೀಯ	ಅವರನ್ನು ಅಲ್ಲಿ ಭೇಟಿಯಾಗುವುದು ಒಂದು ಕಾಕತಾಳೀಯವಾಗಿತ್ತು.
collector	ಸಂಗ್ರಾಹಕ	ಸಂಗ್ರಾಹಕನು ಅಪರೂಪದ ನಾಣ್ಯಗಳನ್ನು ಖರೀದಿಸಿದನು.
colony	ವಸಾಹತು	ಇರುವೆಗಳು ದೊಡ್ಡ ವಸಾಹತುವನ್ನು ನಿರ್ಮಿಸಿದವು.
colourful	ವರ್ಣಮಯ	ಮಾರುಕಟ್ಟೆಯು ಪ್ರಕಾಶಮಾನವಾಗಿ ಮತ್ತು ವರ್ಣರಂಜಿತವಾಗಿತ್ತು.
comic	ಹಾಸ್ಯಮಯ	ಹಾಸ್ಯಮಯ ದೃಶ್ಯವು ನಮ್ಮನ್ನು ನಗಿಸಿತು.
commander	ಕಮಾಂಡರ್	ಕಮಾಂಡರ್ ಸ್ಪಷ್ಟವಾದ ಆದೇಶಗಳನ್ನು ನೀಡಿದರು.
comparative	ತುಲನಾತ್ಮಕ	ಪ್ರಬಂಧವು ತುಲನಾತ್ಮಕ ಡೇಟಾವನ್ನು ಬಳಸುತ್ತದೆ.
completion	ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ	ಸೇತುವೆಯು ಪೂರ್ಣಗೊಳ್ಳುವ ಹಂತದಲ್ಲಿದೆ.
compose	ರಚಿಸು	ಅವರು ಚಲನಚಿತ್ರಕ್ಕಾಗಿ ಸಂಗೀತವನ್ನು ಸಂಯೋಜಿಸುತ್ತಾರೆ.
composer	ಸಂಯೋಜಕ	ಸಂಗೀತ ಸಂಯೋಜಕರು ಹೊಸ ಹಾಡನ್ನು ಬರೆದರು.
compound	ಸಂಯುಕ್ತ	ಸಂಯುಕ್ತವು ಎರಡು ರಾಸಾಯನಿಕಗಳನ್ನು ಹೊಂದಿದೆ.
comprehensive	ಸಮಗ್ರ	ಮಾರ್ಗದರ್ಶಿಯು ಸಮಗ್ರ ಸೂಚನೆಗಳನ್ನು ನೀಡುತ್ತದೆ.
comprise	ಒಳಗೊಂಡಿರು	ತಂಡವು ಐದು ಸದಸ್ಯರನ್ನು ಒಳಗೊಂಡಿದೆ.
compulsory	ಕಡ್ಡಾಯ	ಈ ತರಗತಿಗೆ ಹಾಜರಾತಿ ಕಡ್ಡಾಯವಾಗಿದೆ.
concrete	ಕಾಂಕ್ರೀಟ್	ನೆಲವನ್ನು ಕಾಂಕ್ರೀಟ್‌ನಿಂದ ಮಾಡಲಾಗಿದೆ.
confess	ಒಪ್ಪಿಕೊ	ಅವನು ತನ್ನ ಶಿಕ್ಷಕನಿಗೆ ತಪ್ಪನ್ನು ಒಪ್ಪಿಕೊಂಡನು.
confusion	ಗೊಂದಲ	ವಿಳಂಬವು ಗೊಂದಲವನ್ನು ಉಂಟುಮಾಡಿತು.
consequently	ಪರಿಣಾಮವಾಗಿ	ಮಳೆಯಾಯಿತು; ಪರಿಣಾಮವಾಗಿ, ಪಂದ್ಯವು ನಿಂತಿತು.
conservation	ಸಂರಕ್ಷಣೆ	ಸಂರಕ್ಷನೆಯು ಅಪರೂಪದ ಪ್ರಾಣಿಗಳನ್ನು ರಕ್ಷಿಸುತ್ತದೆ.
considerable	ಗಣನೀಯ	ದುರಸ್ತಿಗೆ ಗಣನೀಯ ಸಮಯ ಬೇಕಾಯಿತು.
considerably	ಗಣನೀಯವಾಗಿ	ಈ ವರ್ಷ ಬೆಲೆಗಳು ಗಣನೀಯವಾಗಿ ಏರಿದವು.
consistently	ಸ್ಥಿರವಾಗಿ	ಅವಳು ಸ್ಥಿರವಾಗಿ ಉತ್ತಮ ಪ್ರದರ್ಶನ ನೀಡುತ್ತಾಳೆ.
conspiracy	ಪಿತೂರಿ	ಪೊಲೀಸರು ಪಿತೂರಿಯ ಬಗ್ಗೆ ತನಿಖೆ ನಡೆಸಿದರು.
consult	ಸಮಾಲೋಚಿಸು	ಔಷಧಿ ತೆಗೆದುಕೊಳ್ಳುವ ಮೊದಲು ನಿಮ್ಮ ವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.
consultant	ಸಲಹೆಗಾರ	ಸಲಹೆಗಾರರು ಹೊಸ ತಂತ್ರವನ್ನು ಸೂಚಿಸಿದರು.
consumption	ಬಳಕೆ	ಕಳೆದ ತಿಂಗಳು ಇಂಧನ ಬಳಕೆಯು ಕಡಿಮೆಯಾಗಿದೆ.
controversial	ವಿವಾದಾತ್ಮಕ	ನೀತಿಯು ವಿವಾದಾತ್ಮಕವಾಗಿ ಉಳಿದಿದೆ.
controversy	ವಿವಾದ	ನಿರ್ಧಾರವು ವಿವಾದವನ್ನು ಉಂಟುಮಾಡಿತು.
convenience	ಅನುಕೂಲ	ಅಂಗಡಿಯು ಉತ್ತಮ ಅನುಕೂಲವನ್ನು ಒದಗಿಸುತ್ತದೆ.
convention	ಸಂಪ್ರದಾಯ	ವಾರ್ಷಿಕ ಸಮ್ಮೇಳನವು ಸೋಮವಾರ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.
conventional	ಸಾಂಪ್ರದಾಯಿಕ	ಅವನು ಸಾಂಪ್ರದಾಯಿಕ ವಿನ್ಯಾಸವನ್ನು ಆರಿಸಿಕೊಂಡನು.
convey	ತಿಳಿಸು	ಸಂದೇಶವು ಸಹಾನುಭೂತಿಯನ್ನು ತಿಳಿಸಿತು.
convincing	ಮನವರಿಕೆಯಾಗುವ	ಅವಳ ವಿವರಣೆಯು ಮನವರಿಕೆಯಾಗುವಂತಿತ್ತು.
cope	ನಿಭಾಯಿಸು	ಅವಳು ಒತ್ತಡವನ್ನು ನಿಭಾಯಿಸಲು ಕಲಿತಳು.
corporation	ನಿಗಮ	ನಿಗಮವು ಹೊಸ ಕಚೇರಿಯನ್ನು ತೆರೆಯಿತು.
corridor	ಕಾರಿಡಾರ್	ಕಾರಿಡಾರ್ ಕಿರಿದಾಗಿತ್ತು ಮತ್ತು ಶಾಂತವಾಗಿತ್ತು.
counter (long flat surface)	ಕೌಂಟರ್	ಕೀಲಿಗಳು ಅಡುಗೆಮನೆಯ ಕೌಂಟರ್‌ನಲ್ಲಿವೆ.
coverage	ವ್ಯಾಪ್ತಿ	ಸುದ್ದಿ ಪ್ರಸಾರವು ಸಂಜೆಯಿಡೀ ನಡೆಯಿತು.
crack	ಬಿರುಕು	ಗೋಡೆಯ ಮೇಲೆ ಬಿರುಕು ಕಾಣಿಸಿಕೊಂಡಿತು.
craft	ಕರಕುಶಲ	ಅವಳು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಕರಕುಶಲ ವಸ್ತುಗಳನ್ನು ಮಾರಾಟ ಮಾಡುತ್ತಾಳೆ.
creativity	ಸೃಜನಶೀಲತೆ	ಸೃಜನಶೀಲತೆಯು ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.
critically	ವಿಮರ್ಶಾತ್ಮಕವಾಗಿ	ಲೇಖನವು ಅತ್ಯಂತ ನಿರ್ಣಾಯಕವಾಗಿತ್ತು.
cruise	ಕ್ರೂಸ್	ಅವರು ಗ್ರೀಸ್‌ಗೆ ವಿಹಾರ ನೌಕೆಯನ್ನು ಕಾಯ್ದಿರಿಸಿದರು.
cue	ಸುಳಿವು	ನಟ ತನ್ನ ಸೂಚನೆಯನ್ನು ತಪ್ಪಿಸಿಕೊಂಡನು.
curious	ಕುತೂಹಲ	ಮಗುವು ಬಾಹ್ಯಾಕಾಶದ ಬಗ್ಗೆ ಕುತೂಹಲ ಹೊಂದಿತ್ತು.
curriculum	ಪಠ್ಯಕ್ರಮ	ಶಾಲೆಯು ತನ್ನ ಪಠ್ಯಕ್ರಮವನ್ನು ನವೀಕರಿಸಿತು.
cute	ಮುದ್ದಾದ	ನಾಯಿಮರಿ ಮುದ್ದಾಗಿ ಕಾಣುತ್ತಿತ್ತು.
dairy	ಡೈರಿ	ತೋಟವು ಹೈನು ಉತ್ಪನ್ನಗಳನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.
dare	ಧೈರ್ಯಮಾಡು	ಇದನ್ನು ಪ್ರಯತ್ನಿಸಲು ನಾನು ನಿನಗೆ ಸವಾಲು ಹಾಕುತ್ತೇನೆ.
darkness	ಕತ್ತಲೆ	ಕೋಣೆಯು ಕತ್ತಲೆಯಿಂದ ತುಂಬಿತ್ತು.
database	ಡೇಟಾಬೇಸ್	ಡೇಟಾಬೇಸ್ ಗ್ರಾಹಕರ ದಾಖಲೆಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ.
deadline	ಗಡುವು	ಗಡುವು ಶುಕ್ರವಾರವಾಗಿದೆ.
deadly	ಮಾರಣಾಂತಿಕ	ಹಾವಿಗೆ ಮಾರಣಾಂತಿಕ ವಿಷವಿದೆ.
dealer	ವ್ಯಾಪಾರಿ	ಕಾರು ಡೀಲರ್ ರಿಯಾಯಿತಿ ನೀಡಿದರು.
deck	ಡೆಕ್	ಕುರ್ಚಿಗಳು ಡೆಕ್ ಮೇಲಿವೆ.
defender	ರಕ್ಷಕ	ಡಿಫೆಂಡರ್ ಶಾಟ್ ಅನ್ನು ತಡೆದರು.
delete	ಅಳಿಸು	ಹಳೆಯ ಸಂದೇಶವನ್ನು ಅಳಿಸಿ.
democracy	ಪ್ರಜಾಪ್ರಭುತ್ವ	ಪ್ರಜಾಪ್ರಭುತ್ವವು ಮುಕ್ತ ಚುನಾವಣೆಗಳನ್ನು ಅವಲಂಬಿಸಿದೆ.
democratic	ಪ್ರಜಾಸತ್ತಾತ್ಮಕ	ಮತದಾನವು ಪ್ರಜಾಸತ್ತಾತ್ಮಕ ನಿಯಮಗಳನ್ನು ಅನುಸರಿಸಿತು.
demonstration	ಪ್ರದರ್ಶನ	ವಿದ್ಯಾರ್ಥಿಗಳು ಪ್ರತಿಭಟನೆಯಲ್ಲಿ ಪಾಲ್ಗೊಂಡರು.
