simplified	KO	example_KO
大象	코끼리	아이들이 동물원에서 코끼리를 보고 있어요.
大型	대형의	여기에 대형 쇼핑몰이 지어질 거예요.
呆	머무르다; 멍하다	그는 집에 머물며 책을 읽어요.
代表	대표하다; 대표	이 꽃은 우정을 상징해요.
代替	대신하다	오늘은 내가 그를 대신해 회의에 참석할 거예요.
待遇	대우; 복지	이 회사의 복지는 좋아요.
贷款	대출	그들은 주택 대출을 신청했어요.
单纯	단순하다; 순수하다	그녀의 생각은 매우 단순해요.
单调	단조롭다	이 일은 조금 단조로워요.
单独	혼자; 단독으로	당신과 단둘이 이야기하고 싶어요.
单位	단위; 기관	그는 공공 기관에서 일해요.
单元	단원	오늘 우리는 제삼 단원을 공부해요.
担任	맡다; 담당하다	그녀는 이번 행사의 책임자를 맡고 있어요.
耽误	지체하다; 시간을 빼앗다	모두의 시간을 빼앗지 마세요.
胆小鬼	겁쟁이	그를 겁쟁이라고 부르지 마세요.
淡	싱겁다; 연하다	이 국은 조금 싱거워요.
当地	현지의	현지 사람들은 모두 이 시장을 좋아해요.
当心	조심하다	길이 미끄러우니 조심하세요.
挡	막다	이 차가 입구를 막고 있어요.
倒霉	운이 나쁘다	오늘은 정말 운이 나빠요. 휴대폰을 잃어버렸어요.
导演	감독; 연출하다	이 감독은 매우 유명해요.
导致	초래하다; 일으키다	큰비가 교통 체증을 일으켰어요.
岛屿	섬	이 나라는 섬이 많아요.
到达	도착하다	기차가 제시간에 상하이에 도착했어요.
道德	도덕	사람은 도덕 원칙을 가져야 해요.
道理	이치; 도리	그가 한 말은 매우 일리가 있어요.
登记	등록하다; 기입하다	먼저 프런트에서 등록해 주세요.
等待	기다리다	우리는 결과를 기다리고 있어요.
等于	같다	오 더하기 오는 십이에요.
滴	방울; 떨어지다	물 한 방울이 탁자 위에 떨어졌어요.
敌人	적	그들은 적이 아니에요.
的确	확실히; 정말	이 일은 확실히 매우 중요해요.
地道	진짜의; 본토다운	그는 진짜 베이징 사투리를 해요.
地理	지리	나는 중국 지리에 매우 관심이 있어요.
地区	지역	이 지역은 겨울에 매우 추워요.
地毯	카펫	거실에 카펫이 깔려 있어요.
地位	지위	교육은 사회에서 중요한 지위를 가지고 있어요.
地震	지진	어젯밤 이곳에서 지진이 났어요.
递	건네다	이 편지를 선생님께 건네 주세요.
点心	간식; 다과	우리는 오후에 간식을 먹었어요.
电池	배터리; 건전지	이 장난감에는 건전지 두 개가 필요해요.
电台	라디오 방송국	그는 라디오 방송국에서 프로그램을 진행해요.
钓	낚시하다	할아버지는 강가에서 낚시하는 것을 좋아하세요.
顶	꼭대기; 쓰다	그는 검은 모자를 쓰고 있어요.
冻	얼다; 춥다	밖이 너무 추워서 물이 얼었어요.
动画片	만화 영화; 애니메이션	아이들이 만화 영화를 보고 있어요.
洞	구멍; 동굴	벽에 작은 구멍이 있어요.
豆腐	두부	이 두부 요리는 맛있어요.
逗	놀리다; 웃기다	그의 말이 모두를 웃게 했어요.
独立	독립적이다; 독립	그녀는 독립적으로 살고 싶어 해요.
独特	독특하다	이 도시는 독특한 문화를 가지고 있어요.
度过	보내다; 넘기다	우리는 바닷가에서 휴가를 보냈어요.
断	끊어지다; 자르다	이 밧줄이 끊어졌어요.
堆	쌓다; 더미	탁자 위에 많은 문서가 쌓여 있어요.
兑换	환전하다	인민폐를 좀 환전하고 싶어요.
对比	비교하다; 대비	이 두 계획을 비교해 주세요.
对待	대하다	우리는 모든 사람을 공평하게 대해야 해요.
对方	상대방	먼저 상대방의 의견을 들어 주세요.
对手	상대; 경쟁자	그의 상대는 매우 강해요.
对象	대상; 상대	연구 대상은 대학생이에요.
吨	톤	이 트럭은 화물 삼 톤을 실을 수 있어요.
蹲	쪼그리고 앉다	그는 땅에 쪼그리고 앉아 열쇠를 찾고 있어요.
顿	끼; 번	우리는 함께 저녁을 먹었어요.
多亏	덕분에; 다행히	당신의 도움 덕분에 일을 끝냈어요.
多余	불필요하다; 남다	이 문장은 불필요해요.
朵	송이	탁자 위에 꽃 한 송이가 있어요.
躲藏	숨다	새끼 고양이가 침대 밑에 숨어 있어요.
恶劣	나쁘다; 열악하다	오늘 날씨가 매우 나빠요.
耳环	귀걸이	그녀는 귀걸이 한 쌍을 하고 있어요.
发表	발표하다; 게재하다	그는 회의에서 의견을 발표했어요.
发愁	걱정하다	이 작은 일로 걱정하지 마세요.
发达	발달하다; 발전하다	이 도시의 교통은 잘 발달해 있어요.
发抖	떨다	그는 추워서 떨고 있어요.
发挥	발휘하다	상상력을 발휘해 주세요.
发明	발명하다; 발명	전등은 중요한 발명이에요.
发票	영수증; 세금계산서	영수증을 발급해 주세요.
发言	발언하다	그는 회의에서 발언했어요.
罚款	벌금; 벌금을 부과하다	불법 주차를 하면 벌금을 내야 해요.
法院	법원	이 사건은 법원으로 넘겨졌어요.
翻	넘기다; 뒤집다	책을 십 쪽으로 넘겨 주세요.
繁荣	번영하다; 번성하다	경제가 점점 번영하고 있어요.
反而	오히려	그는 화내지 않고 오히려 웃었어요.
反复	반복해서	이 문장은 반복해서 연습해야 해요.
反应	반응하다; 반응	그의 반응은 빨라요.
反映	반영하다	이 보고서는 실제 상황을 반영해요.
反正	어쨌든	어쨌든 나는 내일 시간이 있어요.
范围	범위	이 범위를 넘지 마세요.
方	네모; 정사각형	종이에 네모를 하나 그려 주세요.
方案	방안; 계획	이 방안은 꽤 합리적이에요.
方式	방식	이 공부 방식은 매우 효과적이에요.
妨碍	방해하다	다른 사람의 일을 방해하지 마세요.
仿佛	마치; 같은	그는 모든 것을 아는 것 같아요.
非	아니다; 꼭	이 일은 당신 없이는 안 돼요.
肥皂	비누	손을 씻을 때 비누를 쓰세요.
废话	쓸데없는 말	쓸데없는 말은 그만하고 빨리 시작하세요.
分别	헤어지다; 구별하다	그들은 역에서 헤어졌어요.
分布	분포하다	이 가게들은 도시 곳곳에 분포해 있어요.
分配	배정하다; 분배하다	선생님이 새로운 임무를 배정했어요.
分手	헤어지다	그들은 작년에 헤어졌어요.
分析	분석하다	우리는 원인을 분석해야 해요.
纷纷	잇따라; 차례로	모두가 잇따라 동의를 표시했어요.
奋斗	분투하다; 노력하다	젊은이는 꿈을 위해 노력해야 해요.
疯狂	미친 듯하다	팬들이 미친 듯이 환호했어요.
风格	스타일; 풍격	이 식당의 스타일은 매우 독특해요.
风景	풍경	산 위의 풍경이 아름다워요.
风俗	풍습	지역마다 자기 풍습이 있어요.
风险	위험; 리스크	투자에는 일정한 위험이 있어요.
讽刺	풍자하다; 비꼬다	이 글은 사회 문제를 풍자했어요.
否定	부정하다	그는 이 주장을 부정했어요.
否认	부인하다	그는 자신이 실수했다는 것을 부인했어요.
幅	폭; 점	벽에 그림 한 점이 걸려 있어요.
扶	부축하다; 돕다	노인이 길을 건너도록 부축해 주세요.
服装	의류; 복장	이 가게는 아동 의류를 팔아요.
辅导	지도하다; 과외하다	선생님은 수업 후 학생들을 지도해요.
复制	복사하다	이 문서를 복사해 주세요.
妇女	여성	이 병원은 여성에게 서비스를 제공해요.
改革	개혁하다; 개혁	학교가 교육 개혁을 하고 있어요.
改进	개선하다	우리는 서비스 품질을 개선해야 해요.
改善	개선하다	운동은 수면을 개선할 수 있어요.
改正	고치다; 바로잡다	실수는 제때 고쳐 주세요.
概括	요약하다	글의 내용을 요약해 주세요.
概念	개념	이 개념은 이해하기가 쉽지 않아요.
盖	덮다; 뚜껑	컵을 잘 덮어 주세요.
干脆	차라리; 시원스럽다	오늘은 차라리 가지 마세요.
干燥	건조하다	북쪽의 겨울은 매우 건조해요.
感激	감사하다	당신의 도움에 매우 감사해요.
感受	느낌; 느끼다	당신의 기분을 이해할 수 있어요.
感想	소감	소감을 말해 주세요.
赶紧	서둘러	시간이 늦었으니 서둘러 떠나세요.
赶快	빨리	빨리 문을 닫으세요.
干活儿	일하다	그는 마당에서 일하고 있어요.
钢铁	강철	이 다리는 강철로 만들어졌어요.
高档	고급의	이곳은 고급 호텔이에요.
高级	고급; 상급	그녀는 고급 중국어 반에 들어갔어요.
搞	하다; 벌이다	어떤 행사를 준비하고 있어요?
告别	작별하다	우리는 공항에서 친구와 작별했어요.
格外	특별히; 유난히	오늘 하늘은 유난히 파래요.
隔壁	옆집	옆집에 선생님 한 분이 살아요.
个别	개별의; 일부	일부 학생은 아직 숙제를 내지 않았어요.
个人	개인; 개인적인	이것은 내 개인적인 견해예요.
个性	개성; 성격	그녀는 개성이 매우 강해요.
各自	각자	모두 각자의 임무를 완성해요.
根	뿌리; 개비; 가닥	탁자 아래에 전선 한 가닥이 있어요.
根本	근본; 전혀	이 문제는 전혀 어렵지 않아요.
公布	공표하다; 발표하다	학교가 시험 결과를 발표했어요.
公开	공개하다; 공개적인	이 회의는 공개 회의예요.
公平	공평하다	경기는 공평해야 해요.
公寓	아파트	그녀는 작은 아파트를 빌렸어요.
公元	서기	올해는 서기 이천이십육년이에요.
公主	공주	어린 여자아이는 공주 이야기를 좋아해요.
功能	기능	이 소프트웨어에는 기능이 많아요.
工厂	공장	이 공장은 자동차를 생산해요.
工程师	엔지니어; 기술자	우리 형은 엔지니어예요.
工具	도구	자전거를 고치려면 도구가 필요해요.
工人	노동자; 작업자	작업자들이 도로를 수리하고 있어요.
工业	공업; 산업	이 도시는 주로 공업을 기반으로 해요.
恭喜	축하하다	시험에 합격한 것을 축하해요.
贡献	공헌하다; 기여	그는 회사에 기여했어요.
沟通	소통하다	좋은 소통은 매우 중요해요.
构成	구성하다	이 부분들이 하나의 전체를 이뤄요.
姑姑	고모	이번 주말에 고모를 찾아뵐 거예요.
姑娘	아가씨; 젊은 여성	그 아가씨는 마음이 아주 따뜻해요.
古代	고대	고대에는 휴대폰이 없었어요.
古典	고전적인	나는 고전 음악을 좋아해요.
股票	주식	그는 주식을 좀 샀어요.
骨头	뼈	이 뼈는 매우 단단해요.
鼓舞	격려하다; 고무하다	이 소식은 매우 고무적이에요.
鼓掌	박수치다	관객들이 배우들에게 박수를 쳤어요.
固定	고정된; 일정한	나는 근무 시간이 정해져 있어요.
挂号	접수하다; 등기하다	진료를 받기 전에 접수해야 해요.
乖	말을 잘 듣다; 얌전하다	이 아이는 매우 얌전해요.
拐弯	모퉁이를 돌다; 방향을 틀다	앞 사거리에서 오른쪽으로 도세요.
怪不得	어쩐지	어쩐지 그렇게 피곤해 보이더라니요.
关闭	닫다; 끄다	떠나기 전에 컴퓨터를 꺼 주세요.
官	관리	그는 젊은 관리예요.
观察	관찰하다	의사가 환자의 상태를 관찰하고 있어요.
观点	관점; 견해	나는 당신의 관점에 동의해요.
观念	관념; 생각	젊은이들의 생각이 변하고 있어요.
管子	관; 파이프	이 파이프에서 물이 새고 있어요.
冠军	우승자; 챔피언	그녀는 경기에서 우승했어요.
光滑	매끄럽다	이 탁자의 표면은 매우 매끄러워요.
光临	방문하시다	다음에도 방문해 주시기를 환영합니다.
光明	밝다; 광명	미래는 밝아요.
光盘	디스크	자료를 디스크에 저장해 주세요.
广场	광장	광장에 사람이 많아요.
广大	광대한; 많은	이 소식은 많은 학생들의 환영을 받았어요.
广泛	광범위하다	이 책은 광범위한 영향을 가지고 있어요.
归纳	정리하다; 요약하다	선생님이 우리가 핵심을 정리하도록 도와주셨어요.
规矩	규칙; 예절	아이들은 규칙을 알아야 해요.
规律	규칙; 법칙	생활에는 규칙적인 리듬이 있어야 해요.
规模	규모	이 회사는 규모가 커요.
规则	규칙	경기 규칙은 매우 명확해요.
柜台	카운터	카운터에서 계산해 주세요.
滚	구르다; 끓다	물이 이미 끓고 있어요.
锅	냄비; 솥	냄비 안에 뜨거운 국이 있어요.
国庆节	국경절	국경절에는 휴일이 있어요.
国王	왕	왕은 궁전에 살아요.
果然	역시; 과연	그는 역시 제시간에 도착했어요.
果实	열매; 성과	나무에 열매가 가득 열렸어요.
过分	지나치다	그의 요구는 조금 지나쳐요.
过敏	알레르기가 있다	나는 꽃가루 알레르기가 있어요.
过期	기한이 지나다; 만료되다	이 우유는 이미 유통기한이 지났어요.
哈	하; 웃음소리	하, 드디어 이해했어요.
海关	세관	우리는 세관에서 줄을 서서 검사를 받았어요.
海鲜	해산물	이 식당의 해산물은 매우 신선해요.
喊	외치다; 부르다	교실에서 큰소리로 외치지 마세요.
行业	업계; 산업	관광 산업이 빠르게 발전하고 있어요.
豪华	호화롭다	그들은 호화로운 호텔에 묵고 있어요.
好客	손님을 잘 대하다; 환대하다	현지 사람들은 매우 손님을 잘 대접해요.
好奇	호기심이 많다	아이들은 세상에 대해 호기심이 많아요.
何必	굳이 그럴 필요가 없다	작은 일로 굳이 화낼 필요가 있을까요?
何况	하물며; 더구나	오늘은 춥고, 더구나 비까지 와요.
合法	합법적이다	이 계약은 합법적이에요.
合理	합리적이다	이 가격은 합리적이에요.
合同	계약서	그들은 계약서에 서명했어요.
合影	단체 사진	우리는 졸업할 때 단체 사진을 찍었어요.
合作	협력하다	우리는 협력해서 프로젝트를 완성했어요.
和平	평화	모두가 평화를 바랍니다.
核心	핵심	신뢰는 협력의 핵심이에요.
恨	미워하다; 후회하다	그는 예전에 열심히 공부하지 않은 것을 후회해요.
猴子	원숭이	동물원에 원숭이가 몇 마리 있어요.
后背	등; 등쪽	그는 등이 조금 아파요.
后果	결과; 후과	당신은 결과를 생각해야 해요.
呼吸	호흡하다; 숨 쉬다	깊게 숨을 쉬세요.
忽然	갑자기	하늘이 갑자기 어두워졌어요.
忽视	소홀히 하다; 무시하다	이 문제를 무시하지 마세요.
壶	주전자; 병	탁자 위에 차 한 주전자가 있어요.
糊涂	혼란스럽다; 흐리멍덩하다	오늘은 머리가 조금 혼란스러워요.
胡说	허튼소리하다	허튼소리하지 마세요. 이것은 사실이 아니에요.
胡同	골목	베이징에는 오래된 골목이 많아요.
蝴蝶	나비	정원에 나비 한 마리가 있어요.
花生	땅콩	그는 땅콩 먹는 것을 좋아해요.
华裔	중국계	그녀는 중국계 작가예요.
滑	미끄럽다	바닥이 미끄러우니 조심하세요.
划	젓다; 노를 젓다	배를 탈 때 그는 노를 젓는 일을 맡아요.
化学	화학	그녀는 대학에서 화학을 공부했어요.
话题	화제; 주제	이 화제는 매우 흥미로워요.
怀念	그리워하다	나는 대학 생활이 매우 그리워요.
怀孕	임신하다	그녀는 임신 삼 개월이에요.
缓解	완화하다	휴식은 스트레스를 완화할 수 있어요.
幻想	상상하다; 환상	그는 자주 우주여행을 상상해요.
慌张	당황하다	문제가 생겨도 당황하지 마세요.
黄金	금	금값이 또 올랐어요.
恢复	회복하다; 복구하다	그의 몸이 회복되고 있어요.
挥	흔들다	그녀는 손을 흔들었어요.
灰	회색; 재	하늘이 회색이에요.
灰尘	먼지	탁자 위에 먼지가 많아요.
灰心	낙심하다	실패해도 낙심하지 마세요.
汇率	환율	오늘 환율은 얼마예요?
婚礼	결혼식	그들의 결혼식은 매우 간단했어요.
婚姻	결혼; 혼인	결혼에는 서로의 이해가 필요해요.
活跃	활발하다	그는 수업에서 매우 활발해요.
伙伴	동료; 파트너	그는 나의 가장 좋은 파트너예요.
火柴	성냥	상자 안에 성냥이 하나만 남았어요.
或许	아마; 어쩌면	내일은 비가 올지도 몰라요.
基本	기본적인	이것들은 기본 요구 사항이에요.
机器	기계	이 기계는 고장 났어요.
激烈	치열하다; 격렬하다	경쟁이 매우 치열했어요.
肌肉	근육	운동 후 근육이 조금 아파요.
及格	합격하다	그는 이번 시험에 합격했어요.
急忙	급히; 서둘러	그는 급히 교실 밖으로 뛰어나갔어요.
急诊	응급실; 응급 진료	환자가 응급실로 옮겨졌어요.
极其	극히; 매우	이 문제는 극히 중요해요.
集合	모이다; 집합	여덟 시에 입구에 모여 주세요.
集体	단체; 집단	이것은 단체 활동이에요.
集中	집중하다	수업 시간에는 집중해야 해요.
寂寞	외롭다	혼자 살면 때때로 외로울 수 있어요.
系领带	넥타이를 매다	그는 매일 출근 전에 넥타이를 매요.
纪录	기록	그는 학교 기록을 깼어요.
纪律	규율	교실 규율은 매우 중요해요.
纪念	기념하다	우리는 이 날을 기념하려고 사진을 찍었어요.
计算	계산하다	총비용을 계산해 주세요.
记录	기록하다	회의 내용을 기록해 주세요.
记忆	기억	이 기억은 매우 소중해요.
嘉宾	귀빈; 초대 손님	오늘의 초대 손님은 작가예요.
夹子	집게; 클립	문서를 클립으로 집어 주세요.
家庭	가정; 가족	가정은 아이들에게 매우 중요해요.
家务	집안일	주말에 집안일을 해야 해요.
家乡	고향	나는 고향이 매우 그리워요.
假如	만약	내일 비가 오면 우리는 가지 않을 거예요.
假设	가정하다; 가설	당신이 선생님이라고 가정하면 어떻게 하겠어요?
假装	가장하다; 척하다	그는 못 들은 척했어요.
甲	갑; 첫째	갑은 제때 돈을 내야 해요.
价值	가치	이 책은 가치가 매우 높아요.
嫁	시집가다; 결혼하다	그녀는 내년에 남자친구와 결혼할 거예요.
驾驶	운전하다	차를 운전할 때는 조심해야 해요.
兼职	아르바이트; 겸직하다	그는 저녁에 아르바이트를 해요.
坚决	단호하다	그는 이 결정에 단호히 반대해요.
坚强	강하다; 굳세다	그녀는 강한 사람이에요.
肩膀	어깨	그의 어깨가 다쳤어요.
艰巨	어렵다; 막중하다	이것은 매우 어려운 임무예요.
艰苦	힘들다; 고생스럽다	그들은 힘든 생활을 겪었어요.
剪刀	가위	가위를 건네 주세요.
