simplified	DE	example_DE
本科	das Bachelorstudium; grundständig	Er ist Bachelorstudent.
本领	die Fähigkeit	Er hat eine neue Fähigkeit gelernt.
本质	das Wesen; die Essenz	Das Wesen des Problems ist sehr einfach.
彼此	einander	Wir sollten einander respektieren.
比例	das Verhältnis	Das Verhältnis von Männern zu Frauen ist ungefähr gleich.
必然	unvermeidlich; zwangsläufig	Harte Arbeit wird zwangsläufig Ergebnisse bringen.
必要	notwendig	Es ist nicht nötig, sich Sorgen zu machen.
毕竟	schließlich; immerhin	Schließlich ist er noch ein Kind.
避免	vermeiden	Bitte vermeide es, zu spät zu kommen.
编辑	bearbeiten; der Redakteur	Er ist dafür verantwortlich, diesen Artikel zu bearbeiten.
鞭炮	der Feuerwerkskörper	Zum Frühlingsfest zünden manche Leute Feuerwerkskörper an.
便	dann; anschließend	Nach dem Essen ging er zum Unterricht.
辩论	debattieren	Sie debattieren über diese Frage.
标点	die Zeichensetzung	Achte bitte auf die Zeichensetzung.
标志	das Zeichen; das Symbol	Rotlicht ist ein Zeichen zum Anhalten.
表达	ausdrücken	Er hat seine eigene Ansicht ausgedrückt.
表面	die Oberfläche	Die Oberfläche des Tisches ist sehr sauber.
表明	zeigen; deutlich machen	Das Ergebnis zeigt, dass er recht hat.
表情	der Gesichtsausdruck	Ihr Gesichtsausdruck ist sehr ernst.
表现	die Leistung; sich zeigen	Er hat heute sehr gute Leistung gezeigt.
冰激凌	das Eis	Kinder essen gern Eis.
病毒	das Virus	Diese Art von Virus verbreitet sich sehr schnell.
播放	abspielen; senden	Bitte spiele dieses Lied ab.
玻璃	das Glas	Das Trinkglas ist zerbrochen.
博物馆	das Museum	Wir gehen am Wochenende ins Museum.
脖子	der Hals	Mein Hals tut ein wenig weh.
不断	ununterbrochen; ständig	Die Preise steigen ständig.
不见得	nicht unbedingt	Das ist nicht unbedingt etwas Schlechtes.
不耐烦	ungeduldig	Nachdem er lange gewartet hatte, wurde er etwas ungeduldig.
不要紧	nicht schlimm; macht nichts	Es ist in Ordnung, das macht nichts.
补充	ergänzen	Ich möchte noch eine Meinung ergänzen.
不安	unruhig; beunruhigt	Nachdem sie diese Nachricht gehört hatte, fühlte sie sich unruhig.
不得了	sehr ernst; furchtbar	Diese Sache ist wirklich ernst.
不然	sonst	Geh schnell los, sonst kommst du zu spät.
不如	es ist besser zu	Statt mit dem Fahrzeug zu fahren, ist es besser zu Fuß zu gehen.
不足	nicht ausreichend; Mangel	Es gibt hier nicht genug Wasser.
布	der Stoff	Dieses Stück Stoff ist sehr weich.
步骤	der Schritt	Bitte gehe nach den Schritten vor.
部门	die Abteilung	Ich arbeite in der Verkaufsabteilung.
财产	das Eigentum	Dieses Haus ist sein Eigentum.
彩虹	der Regenbogen	Nach dem Regen erschien ein Regenbogen.
踩	treten auf	Tritt nicht auf den Rasen.
采访	interviewen	Der Reporter interviewt gerade den Arzt.
采取	ergreifen; anwenden	Wir haben eine neue Methode angewendet.
参考	nachschlagen; sich beziehen auf	Bitte zieh dieses Buch zu Rate.
参与	teilnehmen	Er nimmt aktiv an den Aktivitäten teil.
惭愧	sich schämen	Ich schäme mich für meinen eigenen Fehler.
操场	der Sportplatz	Die Schüler laufen auf dem Sportplatz.
操心	sich Sorgen machen	Mach dir keine Sorgen um mich.
册	der Band; Zähleinheitswort für Bücher	Ich habe einen Band eines Buches gekauft.
测验	der Test	Morgen gibt es einen kleinen Test.
曾经	einst; früher	Ich habe früher einmal in Peking gewohnt.
叉子	die Gabel	Ich esse Salat mit einer Gabel.
差距	die Lücke; der Unterschied	Zwischen Stadt und Land gibt es eine Lücke.
插	stecken; einfügen	Steck die Blumen bitte in die Vase.
拆	abreißen; auseinandernehmen	Die Arbeiter reißen gerade das alte Haus ab.
产品	das Produkt	Dieses Produkt ist von sehr guter Qualität.
产生	entstehen; hervorrufen	Dieses Problem hat neue Auswirkungen hervorgerufen.
常识	der gesunde Menschenverstand; Allgemeinwissen	Das ist grundlegendes Allgemeinwissen.
长途	die Langstrecke; lang	Reisen über lange Strecken sind anstrengend.
抄	abschreiben	Schreib bitte nicht die Hausaufgaben anderer ab.
超级	Super-; sehr groß	Das ist ein Supermarkt.
朝	die Dynastie	Die Tang-Dynastie ist sehr bekannt.
潮湿	feucht	Der Sommer im Süden ist sehr feucht.
吵	laut	Draußen ist es sehr laut.
吵架	sich streiten	Sie haben sich schon wieder gestritten.
炒	pfannenrühren; braten	Mama brät gerade Gemüse.
车库	die Garage	Das Auto steht in der Garage.
车厢	der Waggon	Dieser Waggon ist sehr ruhig.
彻底	gründlich; vollständig	Er hat es vollständig verstanden.
沉默	schweigen; still	Er schwieg die ganze Zeit.
趁	solange; die Gelegenheit nutzen	Lass uns gehen, solange es noch nicht dunkel ist.
称	wiegen	Bitte wiege dieses Paket.
称呼	anreden	Ich weiß nicht, wie ich ihn anreden soll.
称赞	loben	Der Lehrer lobte seine Fortschritte.
成分	der Bestandteil; die Zutat	Die Bestandteile dieses Medikaments sind einfach.
成果	das Ergebnis; der Erfolg	Dieses Projekt hat Ergebnisse erzielt.
成就	die Leistung; der Erfolg	Er hat in seiner Karriere viele Erfolge erzielt.
成立	gründen	Die Firma wurde letztes Jahr gegründet.
成人	der Erwachsene	Erwachsenentickets sind teurer als Kindertickets.
成熟	reif	Die Äpfel sind schon reif.
成语	die Redewendung; das Chengyu	Diese Redewendung wird häufig verwendet.
成长	aufwachsen; wachsen	Das Kind wächst langsam auf.
承担	übernehmen	Er ist bereit, Verantwortung zu übernehmen.
承认	zugeben	Er gab zu, dass er falsch lag.
承受	ertragen	Ich kann einen so großen Druck nicht ertragen.
程度	das Niveau; der Grad	Sein Chinesischniveau ist sehr hoch.
程序	das Verfahren; der Ablauf	Bitte erledigen Sie es gemäß dem Verfahren.
诚恳	aufrichtig; ehrlich	Seine Haltung ist sehr aufrichtig.
吃亏	Verluste erleiden; den Kürzeren ziehen	Schau vor dem Kauf genau hin, damit du nicht den Kürzeren ziehst.
持续	andauern; fortdauern	Der Regen hielt drei Tage an.
池塘	der Teich	Im Teich sind viele Fische.
迟早	früher oder später	Du wirst es früher oder später verstehen.
尺子	das Lineal	Bitte miss es mit dem Lineal.
翅膀	der Flügel	Der Flügel des Vogels ist verletzt.
充电器	das Ladegerät	Mein Ladegerät ist kaputt.
充分	ausreichend; umfassend	Wir haben uns ausreichend vorbereitet.
充满	erfüllt sein von; voller sein	Das Zimmer war von Lachen erfüllt.
冲	spülen; aufgießen	Bitte spüle den Becher mit Wasser aus.
重复	wiederholen	Bitte wiederhole denselben Fehler nicht.
宠物	das Haustier	Sie hat einen Hund als Haustier.
抽屉	die Schublade	Der Schlüssel liegt in der Schublade.
抽象	abstrakt	Dieser Begriff ist zu abstrakt.
丑	hässlich; unschön	Dieses Foto ist nicht besonders schön.
臭	stinken; übel riechend	Der Müll stinkt.
出版	veröffentlichen; erscheinen	Dieses Buch ist letztes Jahr erschienen.
出口	der Ausgang; exportieren	Der Ausgang ist vorne.
出色	ausgezeichnet; hervorragend	Ihre Leistung ist hervorragend.
出示	vorzeigen	Bitte zeigen Sie Ihren Reisepass vor.
出席	teilnehmen; anwesend sein	Er wird an der Sitzung teilnehmen.
初级	Anfänger-; Grundstufe	Ich lerne Chinesisch im Anfängerkurs.
除非	es sei denn; nur wenn	Wir gehen morgen wandern, es sei denn, es regnet.
除夕	der chinesische Silvesterabend	Am chinesischen Silvesterabend isst unsere ganze Familie zusammen.
处理	bearbeiten; erledigen; umgehen mit	Ich kümmere mich um dieses Problem.
传播	verbreiten	Diese Nachricht verbreitete sich sehr schnell.
传染	anstecken; übertragen	Erkältungen sind leicht ansteckend.
传说	die Legende; die Sage	Das ist eine alte Legende.
传统	die Tradition; traditionell	Das Frühlingsfest ist ein traditionelles chinesisches Fest.
窗帘	der Vorhang	Bitte zieh die Vorhänge auf.
闯	hineinstürmen; etw. unerlaubt tun	Er ist aus Versehen über Rot gefahren.
创造	schaffen; erschaffen	Die Menschen haben neue Werkzeuge geschaffen.
吹	blasen; wehen	Der Wind weht stark.
词汇	der Wortschatz; das Wort	Dieses Wort wird häufig verwendet.
辞职	kündigen	Er hat beschlossen zu kündigen.
此外	außerdem; darüber hinaus	Außerdem habe ich noch eine Frage.
刺激	aufregend; anregend; reizen	Dieses Spiel ist sehr aufregend.
次要	zweitrangig; nebensächlich	Dieses Problem ist zweitrangig.
匆忙	eilig; hastig	Er verließ eilig das Haus.
从此	seitdem; von da an	Seitdem treibt er jeden Tag Sport.
从而	dadurch; somit	Er lernte fleißig und bestand dadurch die Prüfung.
从前	früher; einst	Früher gab es hier keine U-Bahn.
从事	sich beschäftigen mit; tätig sein in	Sie ist im Bildungsbereich tätig.
粗糙	rau; grob	Dieses Papier ist sehr rau.
促进	fördern; voranbringen	Bewegung fördert die Gesundheit.
促使	veranlassen; dazu bringen	Diese Sache veranlasste ihn, seinen Plan zu ändern.
醋	der Essig	In das Gericht wurde Essig gegeben.
催	drängen; antreiben	Meine Mutter drängte mich, schneller loszugehen.
存在	existieren; bestehen	Dieses Problem besteht weiterhin.
措施	die Maßnahme	Die Schule hat Sicherheitsmaßnahmen ergriffen.
答应	zusagen; einverstanden sein	Er hat zugesagt, mir zu helfen.
达到	erreichen	Seine Leistungen haben den Standard erreicht.
打工	jobben; arbeiten gehen	Er jobbt in den Sommerferien in einem Restaurant.
打交道	Umgang haben mit; zu tun haben mit	Ich habe oft mit Kunden zu tun.
打喷嚏	niesen	Er ist erkältet und niest ständig.
打听	sich erkundigen nach	Ich möchte mich nach Zugfahrkarten erkundigen.
大方	großzügig	Sie gibt Geld sehr großzügig aus.
大厦	das Hochhaus; das große Gebäude	Jenes Hochhaus ist sehr hoch.
大象	der Elefant	Die Kinder sehen sich im Zoo Elefanten an.
大型	groß angelegt; groß-	Hier soll ein großes Einkaufszentrum gebaut werden.
呆	bleiben; sich aufhalten	Er bleibt zu Hause und liest.
代表	der Vertreter; vertreten; bedeuten	Diese Blume steht für Freundschaft.
代替	ersetzen; anstelle von	Heute nehme ich an seiner Stelle an der Sitzung teil.
待遇	die Behandlung; die Vergütung; die Leistungen	Die Leistungen in dieser Firma sind gut.
贷款	der Kredit; das Darlehen	Sie haben einen Wohnungsbaukredit beantragt.
单纯	einfach; naiv; rein	Ihre Vorstellung ist sehr einfach.
单调	eintönig	Diese Arbeit ist etwas eintönig.
单独	allein; einzeln	Ich möchte allein mit dir sprechen.
单位	die Einheit; die Institution	Er arbeitet in einer öffentlichen Einrichtung.
单元	die Einheit; die Lektion	Heute lernen wir Einheit drei.
担任	innehaben; übernehmen	Sie übernimmt die Leitung dieser Veranstaltung.
耽误	verzögern; Zeit vergeuden	Vergeude bitte nicht die Zeit aller.
胆小鬼	der Feigling	Nenn ihn nicht Feigling.
淡	fad; schwach; hell	Diese Suppe ist etwas fad.
当地	örtlich; vor Ort	Die Einheimischen mögen diesen Markt alle.
当心	aufpassen; vorsichtig sein	Die Straße ist glatt, pass bitte auf.
挡	blockieren; versperren	Dieses Auto versperrt den Eingang.
倒霉	Pech haben	Heute habe ich wirklich Pech; mein Handy ist weg.
导演	der Regisseur; Regie führen	Dieser Regisseur ist sehr bekannt.
导致	verursachen; führen zu	Der starke Regen verursachte einen Stau.
岛屿	die Insel	Dieses Land hat viele Inseln.
到达	ankommen; erreichen	Der Zug kam pünktlich in Shanghai an.
道德	die Moral; die Ethik	Als Mensch sollte man moralische Grundsätze haben.
道理	der Grund; der Sinn	Was er gesagt hat, ergibt viel Sinn.
登记	sich registrieren; einchecken	Bitte registrieren Sie sich zuerst an der Rezeption.
等待	warten auf	Wir warten auf das Ergebnis.
等于	gleich sein; bedeuten	Fünf plus fünf ist zehn.
滴	der Tropfen; tropfen	Ein Wassertropfen fiel auf den Tisch.
敌人	der Feind	Sie sind keine Feinde.
的确	tatsächlich; wirklich	Diese Sache ist wirklich sehr wichtig.
地道	authentisch; echt	Er spricht authentischen Pekinger Dialekt.
地理	die Geografie	Ich interessiere mich sehr für die Geografie Chinas.
地区	die Region; das Gebiet	In dieser Region ist es im Winter sehr kalt.
地毯	der Teppich	Im Wohnzimmer liegt ein Teppich.
地位	die Stellung; der Status	Bildung hat in der Gesellschaft eine wichtige Stellung.
地震	das Erdbeben	Gestern Abend gab es hier ein Erdbeben.
递	reichen; weitergeben	Bitte gib diesen Brief dem Lehrer.
点心	der Snack; das Gebäck	Wir haben nachmittags einen Snack gegessen.
电池	die Batterie	Dieses Spielzeug braucht zwei Batterien.
电台	der Radiosender	Er macht eine Sendung bei einem Radiosender.
钓	angeln	Opa geht gern am Fluss angeln.
顶	die Spitze; der obere Teil	Er trägt einen schwarzen Hut.
冻	frieren; gefrieren	Draußen ist es so kalt, dass das Wasser gefroren ist.
动画片	der Zeichentrickfilm; die Animation	Die Kinder sehen gerade Zeichentrickfilme.
洞	das Loch; die Höhle	In der Wand ist ein kleines Loch.
豆腐	der Tofu	Dieses Tofugericht schmeckt sehr gut.
逗	necken; zum Lachen bringen	Seine Worte brachten alle zum Lachen.
独立	unabhängig; die Unabhängigkeit	Sie möchte unabhängig leben.
独特	einzigartig; eigen	Diese Stadt hat eine einzigartige Kultur.
度过	verbringen; durchstehen	Wir verbrachten den Urlaub am Meer.
断	brechen; reißen; unterbrechen	Dieses Seil ist gerissen.
堆	stapeln; der Haufen	Auf dem Tisch liegen viele Dokumente gestapelt.
兑换	wechseln; umtauschen	Ich möchte etwas Renminbi wechseln.
对比	vergleichen; der Vergleich	Bitte vergleichen Sie diese zwei Pläne.
对待	behandeln	Wir sollten jeden fair behandeln.
对方	die andere Seite; der/die andere	Bitte hören Sie sich zuerst die Meinung der anderen Seite an.
对手	der Gegner	Sein Gegner ist sehr stark.
对象	das Objekt; die Zielgruppe; der Partner	Die Zielgruppe der Studie sind Studierende.
吨	die Tonne	Dieser Lastwagen kann drei Tonnen Waren laden.
蹲	hocken; in die Hocke gehen	Er hockt auf dem Boden und sucht seine Schlüssel.
顿	Zähleinheitswort für Mahlzeiten	Wir haben zusammen zu Abend gegessen.
多亏	dank; glücklicherweise	Dank deiner Hilfe habe ich die Aufgabe erledigt.
多余	überflüssig; unnötig	Dieser Satz ist überflüssig.
朵	Zähleinheitswort für Blumen	Auf dem Tisch steht eine Blume.
躲藏	sich verstecken	Das Kätzchen versteckt sich unter dem Bett.
恶劣	schlecht; widrig	Das Wetter ist heute sehr schlecht.
耳环	der Ohrring	Sie trägt ein Paar Ohrringe.
发表	äußern; veröffentlichen	Er äußerte auf der Sitzung seine Meinung.
发愁	sich Sorgen machen	Mach dir wegen dieser Kleinigkeit keine Sorgen.
发达	entwickelt; gut ausgebaut	Der Verkehr in dieser Stadt ist gut ausgebaut.
发抖	zittern; beben	Er zittert vor Kälte.
发挥	entfalten; einsetzen	Nutzen Sie bitte Ihre Vorstellungskraft.
发明	die Erfindung; erfinden	Die elektrische Lampe ist eine wichtige Erfindung.
发票	die Rechnung; die Quittung	Bitte stellen Sie mir eine Rechnung aus.
发言	das Wort ergreifen; sprechen	Er hat auf der Sitzung gesprochen.
罚款	die Geldstrafe; eine Geldstrafe verhängen	Für Falschparken gibt es eine Geldstrafe.
法院	das Gericht	Dieser Fall wurde dem Gericht übergeben.
翻	aufschlagen; umblättern; umdrehen	Bitte schlagen Sie das Buch auf Seite zehn auf.
繁荣	blühend; florierend	Die Wirtschaft beginnt langsam zu florieren.
反而	stattdessen; im Gegenteil	Er war nicht wütend, sondern lachte stattdessen.
反复	wiederholt; immer wieder	Diesen Satz muss man immer wieder üben.
反应	die Reaktion; reagieren	Seine Reaktion ist schnell.
反映	widerspiegeln; zeigen	Dieser Bericht spiegelt die wirkliche Lage wider.
反正	jedenfalls; auf jeden Fall	Jedenfalls habe ich morgen Zeit.
范围	der Bereich; der Umfang	Bitte überschreiten Sie diesen Bereich nicht.
方	das Quadrat; quadratisch	Bitte zeichnen Sie ein Quadrat auf das Papier.
方案	der Plan; der Vorschlag	Dieser Plan ist ziemlich vernünftig.
方式	die Art und Weise; die Methode	Diese Lernmethode ist sehr effektiv.
妨碍	behindern; stören	Bitte störe andere nicht bei der Arbeit.
仿佛	als ob; scheinen	Er scheint alles zu wissen.
非	nicht-; unbedingt	Diese Sache geht nicht ohne dich.
肥皂	die Seife	Beim Händewaschen sollte man Seife benutzen.
废话	der Unsinn; leeres Gerede	Red nicht so viel Unsinn, fang schnell an.
分别	sich trennen; auseinandergehen	Sie trennten sich am Bahnhof.
分布	verteilt sein	Diese Geschäfte sind über die ganze Stadt verteilt.
分配	zuteilen; verteilen	Der Lehrer hat eine neue Aufgabe verteilt.
分手	sich trennen; Schluss machen	Sie haben sich letztes Jahr getrennt.
分析	analysieren; die Analyse	Wir müssen die Gründe analysieren.
纷纷	nacheinander; einer nach dem anderen	Alle äußerten nacheinander ihre Zustimmung.
奋斗	kämpfen; sich anstrengen	Junge Menschen sollten für ihre Träume kämpfen.
疯狂	verrückt; wild	Die Fans jubelten wild.
风格	der Stil	Der Stil dieses Restaurants ist sehr besonders.
风景	die Landschaft; die Aussicht	Die Aussicht auf dem Berg ist schön.
风俗	der Brauch; die Sitte	Jeder Ort hat seine eigenen Bräuche.
风险	das Risiko	Eine Investition birgt ein gewisses Risiko.
讽刺	satirisieren; verspotten	Dieser Artikel satirisierte gesellschaftliche Probleme.
否定	verneinen; bestreiten	Er bestritt diese Aussage.
否认	leugnen; abstreiten	Er bestritt, einen Fehler gemacht zu haben.
幅	Zähleinheitswort für Bilder und Stoffbahnen	An der Wand hängt ein Bild.
扶	stützen; helfen	Bitte helfen Sie den älteren Menschen über die Straße.
服装	die Kleidung; die Bekleidung	Dieses Geschäft verkauft Kinderkleidung.
辅导	Nachhilfe geben; betreuen	Der Lehrer gibt den Schülern nach dem Unterricht Nachhilfe.
复制	kopieren	Bitte kopieren Sie dieses Dokument.
妇女	die Frau; Frauen	Dieses Krankenhaus bietet Dienstleistungen für Frauen an.
改革	die Reform; reformieren	Die Schule führt gerade eine Unterrichtsreform durch.
改进	verbessern	Wir müssen die Servicequalität verbessern.
改善	verbessern	Sport kann den Schlaf verbessern.
改正	korrigieren; berichtigen	Bitte korrigiere Fehler rechtzeitig.
概括	zusammenfassen	Bitte fassen Sie den Inhalt des Artikels kurz zusammen.
概念	der Begriff; das Konzept	Dieser Begriff ist nicht besonders leicht zu verstehen.
盖	abdecken; zudecken	Bitte decke den Becher richtig ab.
干脆	einfach; kurzerhand	Dann geh heute einfach nicht hin.
干燥	trocken	Der Winter im Norden ist sehr trocken.
感激	dankbar sein	Ich bin dir für deine Hilfe sehr dankbar.
感受	das Gefühl; empfinden	Ich kann deine Gefühle verstehen.
感想	der Eindruck; die Gedanken	Bitte sprechen Sie über Ihre Eindrücke.
赶紧	sich beeilen; schnell	Es ist schon spät, geh schnell los.
赶快	schnell; sofort	Mach schnell die Tür zu.
干活儿	arbeiten; körperlich arbeiten	Er arbeitet im Hof.
钢铁	der Stahl	Diese Brücke ist aus Stahl.
高档	hochwertig; gehoben	Das ist ein gehobenes Hotel.
高级	fortgeschritten; hochwertig	Sie nimmt an einem fortgeschrittenen Chinesischkurs teil.
搞	machen; organisieren	Was für eine Veranstaltung organisierst du?
告别	sich verabschieden	Wir haben uns am Flughafen von unserem Freund verabschiedet.
格外	besonders	Der Himmel ist heute besonders blau.
隔壁	nebenan	Nebenan wohnt ein Lehrer.
个别	einzelne; vereinzelt	Einzelne Schüler haben ihre Hausaufgaben noch nicht abgegeben.
个人	persönlich; individuell	Das ist meine persönliche Ansicht.
个性	die Persönlichkeit; der Charakter	Sie hat viel Persönlichkeit.
各自	jeweils; jeder für sich	Alle erledigen jeweils ihre eigenen Aufgaben.
根	Zähleinheitswort für lange, dünne Gegenstände	Unter dem Tisch liegt ein Kabel.
根本	überhaupt; grundlegend	Dieses Problem ist überhaupt nicht schwer.
公布	bekanntgeben; veröffentlichen	Die Schule hat die Prüfungsergebnisse bekanntgegeben.
公开	öffentlich	Diese Sitzung ist öffentlich.
公平	fair; gerecht	Der Wettbewerb sollte fair sein.
公寓	die Wohnung; das Apartment	Sie hat ein kleines Apartment gemietet.
公元	nach Christus; unserer Zeitrechnung	Dieses Jahr ist das Jahr 2026 nach Christus.
公主	die Prinzessin	Das kleine Mädchen mag Prinzessinnengeschichten.
功能	die Funktion	Diese Software hat viele Funktionen.
工厂	die Fabrik	Diese Fabrik stellt Autos her.
工程师	der Ingenieur	Mein älterer Bruder ist Ingenieur.
工具	das Werkzeug	Für die Reparatur eines Fahrrads braucht man Werkzeug.
工人	der Arbeiter	Die Arbeiter reparieren gerade die Straße.
工业	die Industrie	Diese Stadt ist hauptsächlich industriell geprägt.
恭喜	Glückwunsch; gratulieren	Glückwunsch zur bestandenen Prüfung.
贡献	der Beitrag; beitragen	Er hat einen Beitrag für die Firma geleistet.
沟通	die Kommunikation; kommunizieren	Gute Kommunikation ist sehr wichtig.
构成	bilden; ausmachen	Diese Teile bilden ein Ganzes.
姑姑	die Tante väterlicherseits	Ich besuche am Wochenende meine Tante.
姑娘	die junge Frau; das Mädchen	Diese junge Frau ist sehr hilfsbereit.
古代	das Altertum; die Antike	Im Altertum gab es keine Handys.
古典	klassisch	Ich mag klassische Musik.
股票	die Aktie	Er hat einige Aktien gekauft.
骨头	der Knochen	Dieser Knochen ist sehr hart.
鼓舞	ermutigend; anspornen	Diese Nachricht ist sehr ermutigend.
鼓掌	applaudieren; klatschen	Das Publikum applaudierte den Schauspielern.
固定	fest; regelmäßig	Ich habe feste Arbeitszeiten.
挂号	sich anmelden; sich registrieren	Bevor man zum Arzt geht, muss man sich zuerst anmelden.
乖	brav; folgsam	Dieses Kind ist sehr brav.
拐弯	abbiegen	Biegen Sie an der Kreuzung vor Ihnen rechts ab.
怪不得	kein Wunder	Kein Wunder, dass du so müde bist.
关闭	schließen; ausschalten	Bitte schalten Sie den Computer aus, bevor Sie gehen.
官	der Beamte; der Amtsträger	Er ist ein junger Beamter.
观察	beobachten	Der Arzt beobachtet den Zustand des Patienten.
观点	die Ansicht; der Standpunkt	Ich stimme deiner Ansicht zu.
观念	die Vorstellung; die Denkweise	Die Vorstellungen junger Menschen ändern sich.
管子	das Rohr; der Schlauch	Dieses Rohr ist undicht.
冠军	der Champion; der Meister	Sie hat den Wettbewerb gewonnen.
光滑	glatt	Die Oberfläche dieses Tisches ist sehr glatt.
光临	zu Besuch kommen; erscheinen	Wir freuen uns, wenn Sie uns beim nächsten Mal wieder besuchen.
光明	hell; vielversprechend	Die Zukunft ist vielversprechend.
光盘	die CD; die Disc	Bitte speichern Sie die Materialien auf der CD.
广场	der Platz	Auf dem Platz sind viele Menschen.
广大	groß; breit	Die Nachricht wurde von vielen Studierenden begrüßt.
广泛	weitreichend; umfassend	Dieses Buch hat großen Einfluss.
归纳	zusammenfassen	Der Lehrer half uns, die wichtigsten Punkte zusammenzufassen.
规矩	die Regel; die Umgangsform	Kinder sollten Regeln verstehen.
规律	die Regelmäßigkeit; der Rhythmus	Das Leben sollte einen regelmäßigen Rhythmus haben.
规模	die Größe; der Umfang	Dieses Unternehmen ist sehr groß.
规则	die Regel	Die Wettbewerbsregeln sind sehr klar.
柜台	der Schalter; die Theke	Bitte bezahlen Sie am Schalter.
滚	kochen; rollen	Das Wasser kocht schon.
锅	der Topf; die Pfanne	Im Topf ist heiße Suppe.
国庆节	der Nationalfeiertag	Am Nationalfeiertag haben wir frei.
国王	der König	Der König wohnt im Palast.
果然	wie erwartet; tatsächlich	Er kam wie erwartet pünktlich an.
果实	die Frucht; das Ergebnis	Der Baum ist voller Früchte.
过分	übertrieben; übermäßig	Seine Forderung ist etwas übertrieben.
过敏	allergisch sein	Ich bin gegen Pollen allergisch.
过期	abgelaufen sein	Diese Flasche Milch ist schon abgelaufen.
哈	ha	Ha, jetzt habe ich es endlich verstanden.
海关	der Zoll	Wir standen beim Zoll zur Kontrolle an.
海鲜	die Meeresfrüchte	Die Meeresfrüchte in diesem Restaurant sind sehr frisch.
喊	rufen; schreien	Schrei bitte nicht laut im Klassenzimmer.
行业	die Branche	Die Tourismusbranche entwickelt sich schnell.
豪华	luxuriös	Sie wohnen in einem Luxushotel.
好客	gastfreundlich	Die Einheimischen sind sehr gastfreundlich.
好奇	neugierig	Kinder sind sehr neugierig auf die Welt.
何必	warum denn; es ist nicht nötig	Warum sich wegen einer Kleinigkeit ärgern?
何况	ganz zu schweigen davon; außerdem	Heute ist es kalt, und außerdem regnet es.
合法	legal; rechtmäßig	Dieser Vertrag ist rechtmäßig.
合理	vernünftig; angemessen	Dieser Preis ist angemessen.
合同	der Vertrag	Sie haben einen Vertrag unterschrieben.
合影	das Gruppenfoto	Bei der Abschlussfeier machten wir ein Gruppenfoto.
合作	die Zusammenarbeit; zusammenarbeiten	Wir haben das Projekt gemeinsam abgeschlossen.
和平	der Frieden	Jeder hofft auf Frieden.
核心	der Kern	Vertrauen ist der Kern der Zusammenarbeit.
恨	hassen; bereuen	Er bereut, sich nicht früher angestrengt zu haben.
猴子	der Affe	Im Zoo gibt es mehrere Affen.
后背	der Rücken	Sein Rücken tut etwas weh.
后果	die Folge; die Konsequenz	Du musst die Folgen bedenken.
呼吸	atmen	Bitte atme tief ein.
忽然	plötzlich	Der Himmel wurde plötzlich dunkel.
忽视	ignorieren; vernachlässigen	Ignoriere dieses Problem nicht.
壶	die Kanne; Zähleinheitswort für Kannen	Auf dem Tisch steht eine Kanne Tee.
糊涂	verwirrt; durcheinander	Ich bin heute etwas durcheinander.
胡说	Unsinn reden	Red keinen Unsinn, das stimmt nicht.
胡同	die Hutong-Gasse; die Gasse	In Peking gibt es viele alte Hutong-Gassen.
