source_headword	PT	example_PT
construct	construir	Trabalhadores construíram uma nova ponte.
construction	a construção	A construção começa no próximo mês.
contemporary	contemporâneo	A galeria mostra arte contemporânea.
contest	o concurso	Ela entrou no concurso.
contract	o contrato	Leia o contrato com cuidado.
contribute	contribuir	Todos podem contribuir com ideias.
contribution	a contribuição	A contribuição dela foi valiosa.
convert	converter	Eles converteram a garagem.
convinced	convencido	Estou convencido de que ele mentiu.
core	o núcleo	Confiança é o núcleo do problema.
corporate	corporativo	As regras corporativas mudaram de novo.
council	o conselho	O conselho aprovou o plano.
county	o condado	O condado reparou a estrada.
courage	a coragem	Ela mostrou coragem real.
crash	o acidente	O acidente bloqueou o trânsito.
creation	a criação	A criação levou seis meses.
creature	a criatura	A criatura se movia silenciosamente.
crew	a tripulação	A tripulação preparou o navio.
crisis	a crise	A crise mudou tudo.
criterion	o critério	O preço é um critério.
critic	o crítico	O crítico elogiou a peça.
critical	crítico	A condição dele é crítica.
criticism	a crítica	Ela aceitou a crítica calmamente.
criticize	criticar	Não critique cada erro.
crop	a colheita	A colheita falhou este ano.
crucial	crucial	O momento é crucial aqui.
cure	a cura	Os médicos encontraram uma cura.
curve	a curva	A estrada segue uma curva.
curved	curvo	A parede é ligeiramente curva.
debate	o debate	O debate continuou por horas.
debt	a dívida	Ele pagou a dívida.
decent	decente	Eles encontraram um apartamento decente.
declare	declarar	Eles declararam o resultado.
decline	declinar; diminuir	As vendas continuaram a diminuir.
decoration	a decoração	A decoração parecia cara.
decrease	diminuir	Os preços podem diminuir em breve.
deeply	profundamente	Ela se importava profundamente com a justiça.
defeat	a derrota	A derrota chocou a equipe.
defence	a defesa	A defesa contestou as provas.
defend	defender	Ele tentou se defender.
delay	o atraso	O mau tempo causou um atraso.
deliberate	deliberado	Foi uma escolha deliberada.
deliberately	deliberadamente	Ela ignorou deliberadamente o aviso.
delight	encantar	A notícia encantou todos.
delighted	encantado	Ficamos encantados com o presente.
delivery	a entrega	A entrega chegou cedo.
demand	a demanda; exigir	Os trabalhadores exigem melhor pagamento.
demonstrate	demonstrar	Ele demonstrou o novo software.
deny	negar	Ela negou a acusação.
depressed	deprimido	Ele se sentiu deprimido após perder.
depressing	deprimente	O filme foi deprimente.
depth	a profundidade	A piscina tem grande profundidade.
deserve	merecer	Você merece uma pausa.
desire	o desejo	Ela expressou desejo de viajar.
desperate	desesperado	Eles fizeram uma ligação desesperada.
detailed	detalhado	O guia é muito detalhado.
detect	detectar	Cães podem detectar fumaça.
dig	cavar	Eles cavam poços no verão.
disc	o disco	O disco estava arranhado.
discipline	a disciplina	A disciplina ajuda atletas a melhorar.
dishonest	desonesto	A resposta dele soou desonesta.
dismiss	rejeitar; demitir	O gerente rejeitou a reclamação.
display	mostrar; a tela	A tela mostra o placar.
distribute	distribuir	Voluntários distribuíram água limpa.
distribution	a distribuição	A distribuição começou após o nascer do sol.
district	o distrito	O distrito elegeu um prefeito.
division	a divisão; o departamento	O departamento lida com casos legais.
domestic	doméstico; nacional	Voos nacionais são mais baratos.
dominate	dominar	Uma empresa pode dominar o mercado.
downwards	para baixo	O caminho desce para baixo.
dozen	a dúzia	Ela comprou uma dúzia de ovos.
draft	o rascunho	Por favor, revise o rascunho.
drag	arrastar	Não arraste a mesa.
dramatic	dramático	Os resultados foram dramáticos.
edit	editar	Ela editou o artigo.
edition	a edição	Esta edição inclui novas fotos.
efficient	eficiente	O sistema é eficiente.
elderly	idoso	Moradores idosos precisam de apoio.
elect	eleger	Eleitores elegem um novo conselho.
elsewhere	em outro lugar	Procuramos ajuda em outro lugar.
emerge	surgir	Detalhes surgiram depois da meia-noite.
emotional	emocional	O discurso foi emocional.
emphasis	a ênfase	Dê ênfase à segurança.
emphasize	enfatizar	Professores enfatizam a prática diária.
enable	permitir	O aplicativo permite pagamentos rápidos.
encounter	encontrar	Encontramos trânsito intenso.
engage	envolver	O curso envolve alunos adultos.
enhance	melhorar	A iluminação pode melhorar o quarto.
enquiry	a investigação; a consulta	A investigação durou três meses.
ensure	garantir	Verifique duas vezes para garantir precisão.
enthusiasm	o entusiasmo	O entusiasmo dela encorajou o grupo.
enthusiastic	entusiasmado	Os voluntários estavam entusiasmados.
entire	inteiro	A aldeia inteira perdeu energia.
entirely	inteiramente	A história é inteiramente falsa.
establish	estabelecer	Eles estabeleceram regras claras.
estate	a propriedade	A propriedade inclui várias fazendas.
estimate	estimar	Estimamos dez mil visitantes.
ethical	ético	A decisão levantou questões éticas.
evaluate	avaliar	Especialistas avaliarão o projeto.
evil	mau; o mal	O rei temia espíritos maus.
examination	o exame	O exame durou uma hora.
excuse	a desculpa	Aquela desculpa soou fraca.
executive	o executivo	O executivo aprovou o acordo.
existence	a existência	A existência deles era desconhecida.
expectation	a expectativa	A expectativa era alta antes do lançamento.
expense	a despesa	Viagem é nossa maior despesa.
exploration	a exploração	A exploração espacial inspira crianças.
expose	expor; revelar	O artigo revelou corrupção.
extend	estender; prolongar	Eles prolongaram o prazo.
extent	a extensão; o alcance	Soubemos o alcance mais tarde.
external	externo	Pressão externa os influenciou.
extraordinary	extraordinário	A recuperação dela foi extraordinária.
facility	a instalação	A instalação abriu em junho.
failure	o fracasso	O fracasso ensinou paciência a ele.
faith	a fé	Ela manteve fé nele.
fault	a culpa; a falha	O acidente foi culpa minha.
feather	a pena	Uma pena caiu do travesseiro.
fee	a taxa	A taxa inclui almoço.
feedback	o retorno; o feedback	O feedback ajudou a melhorar o curso.
fellow	o colega; companheiro	Os colegas a apoiaram.
finance	financiar; as finanças	O banco financiará a expansão.
finding	a descoberta; a conclusão	A conclusão surpreendeu pesquisadores.
firm	a firma	A firma contratou novos funcionários.
flame	a chama	Uma pequena chama apareceu.
flash	o clarão	Um clarão iluminou o céu.
flexible	flexível	O horário é flexível.
float	flutuar	As folhas flutuam na água.
folding	dobrável	Ele carregava uma cadeira dobrável.
forgive	perdoar	Você pode perdoá-lo?
former	ex; antigo	O ex-prefeito voltou.
fortune	a fortuna	Eles perderam uma fortuna.
found	fundar	Eles fundaram uma pequena instituição de caridade.
freedom	a liberdade	A liberdade exige responsabilidade.
frequency	a frequência	A frequência aumentou no inverno.
fully	totalmente	O hotel está totalmente reservado.
fund	o fundo	O fundo apoia escolas locais.
fundamental	fundamental	Respeito é fundamental aqui.
funding	o financiamento	O financiamento terminou no ano passado.
furthermore	além disso	Além disso, os custos estão subindo.
gain	ganhar; adquirir	Os alunos ganham confiança rapidamente.
gang	a gangue	Uma gangue controlava a rua.
generate	gerar	Painéis solares geram energia.
genre	o gênero	Comédia é o gênero favorito dela.
govern	governar; regular	Leis regulam gastos públicos.
grab	agarrar	Ele agarrou meu braço.
gradually	gradualmente	A dor desapareceu gradualmente.
grand	imponente	O hotel tem uma entrada imponente.
grant	a subvenção; conceder	A subvenção pagou o equipamento.
guarantee	garantir	O ingresso garante a entrada.
handle	lidar com	Ela lidou com a reclamação calmamente.
harm	o dano; prejudicar	Fumar pode prejudicar a saúde.
harmful	prejudicial	Aquele produto químico é prejudicial.
hearing	a audição; a audiência	A audição dela melhorou.
heaven	o céu	Eles imaginavam o céu acima.
heel	o calcanhar	O calcanhar dele doía muito.
hell	o inferno	A viagem foi um inferno.
hesitate	hesitar	Não hesite em perguntar.
hollow	oco	A árvore era oca por dentro.
holy	sagrado	Eles visitaram um lugar sagrado.
honour	a honra	Eles lutaram pela honra.
household	o domicílio; a família	Cada domicílio recebeu água.
housing	a habitação	Os custos de habitação continuam subindo.
humorous	humorístico	A história dele foi humorística.
humour	o humor	O humor ajudou a reduzir a tensão.
hunting	a caça	A caça é proibida aqui.
illustrate	ilustrar	Os exemplos ilustram a regra.
illustration	a ilustração	A ilustração mostra o processo.
imagination	a imaginação	As crianças usam a imaginação livremente.
impatient	impaciente	Os motoristas ficaram impacientes.
imply	implicar	O silêncio dele pode implicar concordância.
impose	impor	O tribunal impôs uma multa.
impress	impressionar	A coragem dela impressionou todos.
impressed	impressionado	Fiquei impressionado com o trabalho dela.
inch	a polegada	Mova isso uma polegada para a esquerda.
incident	o incidente	O incidente causou preocupação.
income	a renda	A renda deles aumentou lentamente.
increasingly	cada vez mais	A habitação está cada vez mais cara.
industrial	industrial	A cidade tem raízes industriais.
infection	a infecção	A infecção se espalhou rapidamente.
inform	informar	Por favor, informe o gerente.
initial	inicial	O custo inicial foi alto.
initially	inicialmente	Inicialmente, ninguém acreditou nele.
initiative	a iniciativa	Ela lançou uma nova iniciativa.
inner	interno	A porta interna estava trancada.
insight	a percepção; o entendimento	O relatório oferece uma percepção útil.
insist	insistir	Eles insistem em verificações de segurança.
inspire	inspirar	A história dela pode inspirar outros.
install	instalar	Eles instalaram um novo aquecedor.
instance	o exemplo; o caso	Este é um exemplo claro.
