source_headword	SR	example_SR
investor	инвеститор	Инвеститор је финансирао нови стартап.
isolate	изоловати	Лекари изолују пацијенте са озбиљним инфекцијама.
isolated	изолован	Село је било изоловано снегом.
jail	затвор	Лопов је отишао у затвор.
jet	млазњак	Млазњак је слетео у подне.
joint	заједнички	Најавили су заједнички пројекат.
journalism	новинарство	Новинарство захтева тачне чињенице.
jury	порота	Порота је донела одлуку.
kit	комплет	Комплет за поправку укључује шрафове.
ladder	мердевине	Мердевине су биле наслоњене на зид.
landing	слетање	Авион је имао глатко слетање.
lane	трака	Останите у десној траци.
lately	недавно	Недавно сам лоше спавао.
leaflet	летак	Летак објашњава услугу.
legend	легенда	Легенда говори о скривеном граду.
lens	објектив	Пажљиво очистите објектив камере.
lifetime	животни век	Штедео је новац целог живота.
lighting	расвета	Добра расвета побољшава собу.
likewise	такође	Она се насмешила; он је учинио исто.
limitation	ограничење	План има једно ограничење.
literally	буквално	Она је буквално трчала до аутобуса.
literary	књижевни	Фестивал слави књижевно дело.
litre	литар	Купи литар млека.
litter	смеће	Не бацајте смеће.
logo	лого	Лого се појављује на свакој страници.
lottery	лутрија	Освојио је малу награду на лутрији.
loyal	веран	Пас је био веран свом власнику.
lyric	стих	Стих је понављао главну идеју.
magnificent	величанствен	Палата је изгледала величанствено.
make-up	шминка	Носила је једноставну шминку.
making	прављење	Стварање филма било је тешко.
manufacture	производити	Фабрика ће производити телефоне.
manufacturing	производња	Послови у производњи су се локално повећали.
marathon	маратон	Завршила је маратон.
margin	маргина	Напиши белешке на маргини.
marker	маркер	Употреби маркер за налепницу.
martial	борилачки	Он проучава борилачке вештине.
mate	другар	Мој стари школски друг је назвао јуче.
mayor	градоначелник	Градоначелник је отворио библиотеку.
mechanic	механичар	Механичар је поправио аутобус.
mechanical	механички	Сат има механичку грешку.
mechanism	механизам	Механизам браве је једноставан.
medal	медаља	Освојила је златну медаљу.
medication	лек	Узми лек са водом.
membership	чланарина	Чланарина у теретани кошта мање на интернету.
memorable	незабораван	Путовање је било незаборавно.
metaphor	метафора	Песма користи снажну метафору.
miner	рудар	Рудар је радио под земљом.
miserable	јадан	Киша је учинила пикник јадним.
mode	режим	Пребаци камеру на ноћни режим.
modest	скроман	Они живе у скромној кући.
monster	чудовиште	Прича има страшно чудовиште.
monthly	месечни	Плаћамо кирију месечно.
monument	споменик	Споменик стоји близу реке.
moreover	штавише	Штавише, план штеди новац.
mortgage	хипотека	Поднели су захтев за хипотеку.
mosque	џамија	Џамија је близу пијаце.
motion	покрет	Сензор детектује покрет.
motivate	мотивисати	Похвала може мотивисати ученике.
motivation	мотивација	Њена мотивација је остала снажна.
moving	дирљив	Говор је био дирљив.
myth	мит	Мит објашњава име планине.
naked	го	Беба је била гола након купања.
nasty	гадан	Посекотина је изгледала гадно.
navigation	навигација	Апликација побољшава навигацију.
nearby	оближњи	Оближњи кафић се отвара рано.
necessity	нужност	Чиста вода је нужност.
negotiate	преговарати	Они ће сутра преговарати о уговору.
negotiation	преговори	Преговори су трајали цело јутро.
neutral	неутралан	Судија је остао неутралан.
newly	ново	Новоофарбана врата изгледала су светло.
norm	норма	Рад на даљину постао је норма.
notebook	свеска	Пиши белешке у своју свеску.
novelist	романописац	Романописац је потписала своју књигу.
nowadays	данас	Данас многи људи раде преко интернета.
nursing	медицинска нега	Она студира за медицинску сестру.
nutrition	исхрана	Добра исхрана подржава здравље.
obesity	гојазност	Гојазност повећава здравствене ризике.
observer	посматрач	Посматрач је забележио резултате.
obstacle	препрека	Срушено дрво је било препрека.
occupation	занимање	Молим те, напиши своје занимање овде.
occupy	заузети	Породица ће заузети стан.
offender	преступник	Преступник се извинио на суду.
ongoing	текући	Истрага је у току.
openly	отворено	Она је отворено говорила о својим страховима.
opera	опера	Гледали смо оперу у Милану.
operator	оператер	Оператер је спојио позив.
optimistic	оптимистичан	Она је оптимистична у погледу будућности.
orchestra	оркестар	Оркестар је свирао тихо.
organic	органски	Купили су органско поврће.
outfit	одевна комбинација	Њена одевна комбинација пристајала је прилици.
output	учинак	Учинак машине се повећао.
outstanding	истакнут	Његов наступ био је изванредан.
overcome	превазићи	Они заједно превазилазе проблеме.
overnight	преко ноћи	Пакет је стигао преко ноћи.
overseas	у иностранству	Пронашао је посао у иностранству.
ownership	власништво	Власништво над земљом се променило.
oxygen	кисеоник	Биљке производе кисеоник.
packet	пакет	Пажљиво отвори пакет.
palm	длан	Држи новчић на длану.
panic	паника	Паника се проширила кроз гомилу.
parade	парада	Парада је почела у подне.
parallel	паралелан	Путеви иду паралелно.
participation	учешће	Учешће у разреду се побољшало.
partnership	партнерство	Партнерство је помогло обема компанијама.
part-time	скраћено радно време	Она је нашла посао са скраћеним радним временом.
passionate	страствен	Он је страствен према музици.
password	лозинка	Изабери јаку лозинку.
patience	стрпљење	Подучавање мале деце захтева стрпљење.
pause	паузирати	Паузирај видео сада.
peer	вршњак	Притисак вршњака утицао је на његов избор.
penalty	казна	Играч је добио казну.
perceive	перципирати	Људи перципирају ризик другачије.
perception	перцепција	Његова перцепција опасности се променила.
permanently	трајно	Продавница се трајно затворила.
pill	пилула	Узми једну пилулу након доручка.
pity	штета	Штета је.
placement	смештај	Положај кауча је битан.
portion	порција	Послужи малу порцију пиринча.
potentially	потенцијално	Ова промена је потенцијално корисна.
precede	претходити	Тамни облаци често претходе киши.
precious	драгоцен	Прстен је драгоцен.
precise	прецизан	Упутства су била прецизна.
precisely	прецизно	Измери удаљеност прецизно.
predictable	предвидљив	Крај је био предвидљив.
preference	склоност	Изразила је склоност према чају.
pride	понос	Осећао је понос након завршетка.
primarily	првенствено	Курс је првенствено онлајн.
principal	директор	Директор је поздравио нове ученике.
prior	претходни	Треба нам претходно одобрење.
probability	вероватноћа	Вероватноћа кише је велика.
probable	вероватан	Киша је вероватна вечерас.
proceed	наставити	Молимо вас да наставите у следећу собу.
programming	програмирање	Програмирање захтева вежбу.
progressive	прогресиван	Политика је била прогресивна за своје време.
prohibit	забранити	Правила забрањују пушење.
promising	обећавајући	Резултати изгледају обећавајуће.
promotion	унапређење	Добила је унапређење на послу.
prompt	брз	Брз одговор је уштедео време.
proportion	пропорција	Велики проценат гласао је за.
protein	протеин	Пасуљ садржи протеин.
protester	демонстрант	Демонстрант је држао натпис.
psychological	психолошки	Несрећа је изазвала психолошки стрес.
publicity	публицитет	Догађај је добио публицитет.
publishing	издаваштво	Она ради у издаваштву.
punk	панк	Панк музика постала је популарна тамо.
purely	чисто	Избор је био чисто практичан.
pursuit	потрага	Наставио је своју потрагу за правдом.
puzzle	слагалица	Слагалица је трајала сат времена.
questionnaire	упитник	Молимо вас попуните упитник.
racial	расни	Извештај је расправљао о расној неједнакости.
racism	расизам	Расизам штети заједницама.
racist	расистички	Коментар је био расистички.
radiation	зрачење	Зрачење може оштетити ћелије.
rail	ограда	Држи се за ограду на степеницама.
random	насумичан	Рачунар је одабрао насумичан број.
rat	пацов	Пацов је потрчао иза канти.
rating	оцена	Хотел има високу оцену.
reasonably	разумно	Соба је била разумно чиста.
rebuild	поново изградити	Они ће поново изградити мост.
receiver	примач	Примач је ухватио лопту.
recession	рецесија	Рецесија је смањила потрошњу.
reckon	мислити	Мислим да воз касни.
recognition	признање	Добила је признање за свој рад.
recovery	опоравак	Опоравак је трајао неколико недеља.
recruit	регрутовати	Компанија ће регрутовати инжењере.
recruitment	запошљавање	Запошљавање почиње следећег понедељка.
referee	судија	Судија је прекинуо утакмицу.
refugee	избеглица	Избеглица је нашла сигуран дом.
registration	регистрација	Регистрација се затвара у петак.
regulate	регулисати	Закон ће регулисати емисије.
reinforce	појачати	Додатне греде појачавају кров.
relieve	ублажити	Лек може ублажити бол.
relieved	олакшан	Осетила је олакшање након позива.
remarkable	изузетан	Опоравак је био изванредан.
remarkably	изузетно	Опоравио се изузетно брзо.
reporting	извештавање	Тачно извештавање је важно.
resign	дати отказ	Менаџер ће сутра дати отказ.
resolution	резолуција	Екран има високу резолуцију.
restore	обновити	Радници обнављају стару слику.
restrict	ограничити	Правила ограничавају паркирање.
restriction	ограничење	Ограничење се завршава сутра.
retail	малопродаја	Малопродаја се повећала.
retirement	пензија	Она је пажљиво планирала своју пензију.
revenue	приход	Приход од улазница платио је поправке.
revision	понављање	Понављање је помогло пре испита.
ridiculous	смешан	Цена је била смешна.
risky	ризичан	План се чинио ризичним.
rival	ривал	Наш ривал је отворио нову продавницу.
rob	опљачкати	Мушкарци су покушали да опљачкају банку.
robbery	пљачка	Пљачка се догодила ноћу.
rocket	ракета	Ракета је успешно лансирана.
romance	романса	Роман укључује романсу.
rose	ружа	Црвена ружа расла је поред ограде.
roughly	отприлике	Присуствовало је отприлике двадесет људи.
ruin	уништити	Киша би могла уништити пикник.
satisfaction	задовољство	Задовољство купаца се побољшало.
scandal	скандал	Скандал је наштетио његовој каријери.
scare	уплашити	Гласна бука ме је уплашила.
scenario	сценарио	Најгори сценарио је мало вероватан.
scholar	научник	Научник је проучавао древне текстове.
scholarship	стипендија	Она је добила стипендију.
scratch	огреботина	Мачка је оставила огреботину.
screening	скрининг	Болница нуди скрининг на рак.
seeker	тражилац	Тражилац посла је послао пријаве.
seminar	семинар	Семинар почиње у девет.
settler	досељеник	Досељеник је саградио малу фарму.
severely	тешко	Олуја је тешко оштетила путеве.
sexy	секси	Хаљина се сматрала секси.
shocking	шокантан	Вест је била шокантна.
shore	обала	Шетали смо дуж обале.
shortage	несташица	Град се суочио са несташицом воде.
shortly	убрзо	Аутобус је стигао убрзо након поднева.
short-term	краткорочан	План има краткорочне предности.
sibling	брат или сестра	Сваки брат или сестра добио је поклон.
signature	потпис	Молимо вас да додате свој потпис.
significance	значај	Откиће има велики значај.
skilled	вешт	Вешти радници су поправили кров.
slogan	слоган	Кампања је користила једноставан слоган.
so-called	такозвани	Такозвани стручњак је грешио.
somehow	некако	Некако су кључеви нестали.
sometime	некада	Посетите нас некада следеће недеље.
sophisticated	софистициран	Софтвер је софистициран.
spare	резервни	Чувамо резервни кључ.
specialize	специјализовати се	Лекари се специјализују за различита поља.
specify	навести	Молимо наведите своје време доласка.
spectacular	спектакуларан	Ватромет је био спектакуларан.
spectator	гледалац	Сваки гледалац је добио програм.
speculate	спекулисати	Стручњаци спекулишу о узроку.
speculation	спекулација	Чланак је подстакао спекулације.
spice	зачин	Додај један по један зачин.
spill	просути	Немој просути сок.
spite	пркос	Успео је упркос проблемима.
spoil	покварити	Превише соли може покварити супу.
spokesman	портпарол	Портпарол је одговарао на питања.
spokesperson	портпарол	Портпарол је прочитао изјаву.
spokeswoman	портпаролка	Портпаролка се обратила новинарима.
sponsorship	спонзорство	Тиму треба спонзорство.
sporting	спортски	Град је домаћин спортских догађаја.
stall	тезга	Тезга на пијаци продаје воће.
stance	став	Министар је променио свој став.
starve	гладовати	Без хране, животиње могу гладовати.
steadily	стално	Компанија је стално расла.
steam	пара	Пара се дизала из супе.
stimulate	подстаћи	Светле боје могу подстаћи интересовање.
