source_headword	MS	example_MS
unfold	berkembang	Drama itu mula berkembang secara perlahan.
unfortunate	malang	Kesilapan itu adalah sesuatu yang malang tetapi boleh diperbaiki.
unite	menyatukan	Pemimpin cuba menyatukan parti itu.
unity	perpaduan	Ucapan itu menyeru perpaduan negara.
universal	universal	Aplikasi itu menggunakan reka bentuk universal.
urgent	mendesak	Hospital menerima panggilan mendesak.
usage	penggunaan	Panduan itu menerangkan penggunaan yang betul.
useless	tidak berguna	Pengecas yang rosak itu tidak berguna.
valid	sah	Pasport anda masih sah.
variation	variasi	Terdapat variasi yang besar dalam harga.
vertical	menegak	Carta itu mempunyai paksi menegak.
viewpoint	sudut pandangan	Sudut pandangannya berubah selepas perbahasan itu.
visa	visa	Dia memohon visa pelajar.
visible	kelihatan	Tanda itu kelihatan dari sini.
voluntary	sukarela	Kursus ini merangkumi bengkel sukarela.
voting	pengundian	Pengundian awal bermula minggu depan.
wander	merayau	Pelancong merayau melalui pasar lama itu.
warming	pemanasan	Pemanasan global menjejaskan paras laut.
weekly	mingguan	Pasukan itu mengadakan mesyuarat mingguan.
weird	pelik	Bunyi itu kedengaran pelik.
welfare	kebajikan	Program ini menyokong kebajikan kanak-kanak.
wheat	gandum	Petani itu menanam gandum.
whoever	sesiapa sahaja	Sesiapa sahaja yang tiba dahulu patut menunggu di luar.
widespread	meluas	Ribut itu menyebabkan kerosakan meluas.
wisdom	kebijaksanaan	Neneknya berkongsi kebijaksanaan praktikal.
withdraw	menarik balik	Dia memutuskan untuk menarik balik permohonannya.
workforce	tenaga kerja	Tenaga kerja memerlukan kemahiran baharu.
workplace	tempat kerja	Tempat kerja mempunyai peraturan keselamatan yang jelas.
workshop	bengkel	Bengkel bermula pada pukul sepuluh.
worm	cacing	Seekor cacing bergerak di atas tanah.
wrist	pergelangan tangan	Dia mencederakan pergelangan tangannya.
