source_headword	NE	example_NE
infrastructure	पूर्वाधार	आँधीले स्थानीय पूर्वाधारमा क्षति पुर्यायो।
inhabitant	बासिन्दा	प्रत्येक बासिन्दाले सफा पानी पाए।
inherit	हक पाउनु	उनले पारिवारिक घरको हक पाउनेछिन्।
ink	मसी	प्रिन्टरलाई कालो मसी चाहिन्छ।
innovation	नवीनता	नवीनताले उद्योगलाई अगाडि बढाउँछ।
innovative	अभिनव	कम्पनीले अभिनव उत्पादन बजारमा ल्यायो।
input	सुझाव	प्रबन्धकले सुझाव मागे।
insert	घुसाउनु	मेसिनमा कार्ड घुसाउनुहोस्।
inspector	निरीक्षक	निरीक्षकले भवनको जाँच गरे।
installation	जडान	जडान गर्न दुई घण्टा लाग्यो।
instant	तुरुन्तै	एपले तुरुन्तै जवाफ पठायो।
instantly	तत्काल	स्क्रिन तत्काल सक्रिय भयो।
integrate	एकीकृत गर्नु	सफ्टवेयरले नयाँ उपकरणहरू एकीकृत गर्न सक्छ।
intellectual	बौद्धिक	बहस बौद्धिक तर मैत्रीपूर्ण थियो।
interact	कुराकानी गर्नु	विद्यार्थीहरू समूह कार्यको क्रममा कुराकानी गर्छन्।
interaction	अन्तर्क्रिया	अन्तर्क्रिया विनम्र थियो।
interpretation	व्याख्या	उनको कविताको व्याख्या मौलिक थियो।
interval	अन्तराल	कार्यहरू बीच छोटो अन्तराल थियो।
invade	आक्रमण गर्नु	सेनाले टापुमा आक्रमण गर्ने प्रयास गर्यो।
invasion	आक्रमण	आक्रमणले धेरै सहरहरूलाई क्षति पुर्यायो।
investor	लगानीकर्ता	लगानीकर्ताले नयाँ स्टार्टअपलाई रकम दिए।
isolate	अलग गर्नु	डाक्टरहरूले गम्भीर सङ्क्रमण भएका बिरामीहरूलाई अलग गर्छन्।
isolated	एक्लिएको	हिउँले गर्दा गाउँ एक्लिएको थियो।
jail	जेल	चोर जेल गयो।
jet	जेट	जेट दिउँसो अवतरण भयो।
joint	संयुक्त	उनीहरूले संयुक्त परियोजनाको घोषणा गरे।
journalism	पत्रकारिता	पत्रकारितालाई सही तथ्य चाहिन्छ।
jury	निर्णायक मण्डल	निर्णायक मण्डल निर्णयमा पुग्यो।
kit	किट	मर्मत किटमा स्क्रूहरू समावेश छन्।
ladder	भर्याङ	भर्याङ भित्तामा अडेस लागेको थियो।
landing	अवतरण	विमानले सहज अवतरण गर्यो।
lane	लेन	दायाँ लेनमा बस्नुहोस्।
lately	हालै	हालै म नराम्ररी सुतेको छु।
leaflet	पर्चा	पर्चाले सेवाको बारेमा वर्णन गर्दछ।
legend	किंवदन्ती	किंवदन्तीले लुकेको सहरको बारेमा बताउँछ।
lens	लेन्स	क्यामेराको लेन्सलाई ध्यानपूर्वक सफा गर्नुहोस्।
lifetime	जीवनभर	उनले जीवनभर पैसा बचत गरे।
lighting	प्रकाश	राम्रो प्रकाशले कोठालाई सुधार गर्छ।
likewise	त्यसैगरी	उनी मुस्कुराइन्; उसले पनि त्यसैगरी गर्यो।
limitation	सीमितता	योजनाको एउटा सीमितता छ।
literally	साँच्चै	उनी साँच्चै बसतिर दौडिन्।
literary	साहित्यिक	महोत्सवले साहित्यिक कार्यको सम्मान गर्दछ।
litre	लिटर	एक लिटर दूध किन्नुहोस्।
litter	फोहोर	फोहोर नफ्याक्नुहोस्।
logo	लोगो	लोगो प्रत्येक पृष्ठमा देखा पर्दछ।
lottery	चिठ्ठा	उनले सानो चिठ्ठा जिते।
loyal	वफादार	कुकुर आफ्नो मालिकप्रति वफादार थियो।
lyric	गीतको शब्द	गीतको शब्दले मुख्य विचारलाई दोहोर्यायो।
magnificent	भव्य	दरबार भव्य देखिन्थ्यो।
make-up	मेकअप	उनले साधारण मेकअप लगाएकी थिइन्।
making	निर्माण	चलचित्रको निर्माण गाह्रो थियो।
manufacture	निर्माण गर्नु	कारखानाले फोन निर्माण गर्नेछ।
manufacturing	उत्पादन	स्थानीय स्तरमा उत्पादनको काम बढ्यो।
marathon	म्याराथन	उनले म्याराथन पूरा गरिन्।
margin	मार्जिन	मार्जिनमा नोटहरू लेख्नुहोस्।
marker	मार्कर	लेबलको लागि मार्कर प्रयोग गर्नुहोस्।
martial	मार्सल	उनले मार्सल आर्ट सिक्छन्।
mate	साथी	मेरो पुरानो स्कुलको साथीले हिजो फोन गर्यो।
mayor	मेयर	मेयरले पुस्तकालय खोले।
mechanic	मेकानिक	मेकानिकले बस मर्मत गर्यो।
mechanical	यान्त्रिक	घडीमा यान्त्रिक खराबी छ।
mechanism	मेकानिजम	लक गर्ने मेकानिजम सरल छ।
medal	पदक	उनले स्वर्ण पदक जितिन्।
medication	औषधि	पानीसँग औषधि खानुहोस्।
membership	सदस्यता	जिम सदस्यता अनलाइन सस्तो हुन्छ।
memorable	स्मरणीय	यात्रा स्मरणीय थियो।
metaphor	रूपक	कविताले कडा रूपक प्रयोग गर्छ।
miner	खानी मजदुर	खानी मजदुरले भूमिगत काम गर्थे।
miserable	दयनीय	वर्षाले वनभोजलाई दयनीय बनायो।
mode	मोड	क्यामेरालाई नाइट मोडमा परिवर्तन गर्नुहोस्।
modest	सामान्य	तिनीहरू सामान्य घरमा बस्छन्।
monster	राक्षस	कथामा एउटा डरलाग्दो राक्षस छ।
monthly	मासिक	हामी मासिक भाडा तिर्छौं।
monument	स्मारक	स्मारक नदीको नजिक खडा छ।
moreover	यसबाहेक	यसबाहेक, योजनाले पैसा बचत गर्छ।
mortgage	धितो	तिनीहरूले धितोको लागि आवेदन दिए।
mosque	मस्जिद	मस्जिद बजार नजिकै छ।
motion	गति	सेन्सरले गति पत्ता लगाउँछ।
motivate	उत्प्रेरित गर्नु	प्रशंसाले विद्यार्थीहरूलाई उत्प्रेरित गर्न सक्छ।
motivation	प्रेरणा	उनको प्रेरणा बलियो रह्यो।
moving	मन छुने	भाषण मन छुने थियो।
myth	मिथक	यो मिथकले हिमालको नाम बताउँछ।
naked	नाङ्गो	नुहाएपछि बच्चा नाङ्गै थियो।
nasty	नराम्रो	घाउ नराम्रो देखिन्थ्यो।
navigation	नेभिगेसन	एपले नेभिगेसन सुधार गर्छ।
nearby	नजिकैको	नजिकैको क्याफे चाँडै खुल्छ।
necessity	आवश्यकता	सफा पानी एउटा आवश्यकता हो।
negotiate	सम्झौता गर्नु	उनीहरू भोलि सम्झौता गर्नेछन्।
negotiation	वार्तालाप	वार्तालाप बिहानभरि चल्यो।
neutral	तटस्थ	न्यायाधीश तटस्थ रहे।
newly	भर्खरै	भर्खरै पेन्ट गरिएको ढोका उज्यालो देखिन्थ्यो।
norm	मापदण्ड	रिमोट वर्क मापदण्ड बन्यो।
notebook	कापी	आफ्नो कापीमा नोटहरू लेख्नुहोस्।
novelist	उपन्यासकार	उपन्यासकारले आफ्नो पुस्तकमा हस्ताक्षर गरिन्।
nowadays	आजकल	आजकल, धेरै मानिसहरू अनलाइन काम गर्छन्।
nursing	नर्सिङ	उनी नर्सिङ पढ्दैछिन्।
nutrition	पोषण	राम्रो पोषणले स्वास्थ्यलाई समर्थन गर्छ।
obesity	मोटोपन	मोटोपनले स्वास्थ्य जोखिम बढाउँछ।
observer	पर्यवेक्षक	पर्यवेक्षकले परिणामहरू रेकर्ड गरे।
obstacle	अवरोध	ढलेको रूख एउटा अवरोध थियो।
occupation	पेशा	कृपया आफ्नो पेशा यहाँ लेख्नुहोस्।
occupy	ओगट्नु	परिवारले अपार्टमेन्ट ओगट्नेछ।
offender	अपराधी	अपराधीले अदालतमा माफी मागे।
ongoing	चलिरहेको	अनुसन्धान चलिरहेको छ।
openly	खुलेर	उनले आफ्नो डरको बारेमा खुलेर कुरा गरिन्।
opera	ओपेरा	हामीले मिलानमा एउटा ओपेरा हेर्यौं।
operator	अपरेटर	अपरेटरले कल जडान गर्यो।
optimistic	आशावादी	उनी भविष्यको बारेमा आशावादी महसुस गर्छिन्।
orchestra	अर्केस्ट्रा	अर्केस्ट्राले बिस्तारै बजायो।
organic	अर्गानिक	तिनीहरूले अर्गानिक तरकारीहरू किने।
outfit	पोशाक	उनको पोशाक अवसरसँग मिल्दोजुल्दो थियो।
output	उत्पादन	मेसिनको उत्पादन बढ्यो।
outstanding	उत्कृष्ट	उनको प्रदर्शन उत्कृष्ट थियो।
overcome	पार गर्नु	तिनीहरू सँगै समस्याहरू पार गर्छन्।
overnight	रातारात	प्याकेज रातारात आइपुग्यो।
overseas	विदेश	उसले विदेशमा काम पायो।
ownership	स्वामित्व	जग्गाको स्वामित्व बदलियो।
oxygen	अक्सिजन	बिरुवाहरूले अक्सिजन उत्पादन गर्छन्।
packet	प्याकेट	प्याकेट ध्यानपूर्वक खोल्नुहोस्।
palm	हत्केला	सिक्का आफ्नो हत्केलामा समात्नुहोस्।
panic	आतङ्क	भीडमा आतङ्क फैलियो।
parade	परेड	परेड दिउँसो सुरु भयो।
parallel	समानान्तर	सडकहरू समानान्तर रूपमा चल्छन्।
participation	सहभागिता	कक्षामा सहभागिता सुधारियो।
partnership	साझेदारी	साझेदारीले दुवै कम्पनीहरूलाई मद्दत गर्यो।
part-time	आंशिक समय	उनले आंशिक समयको जागिर पाइन्।
passionate	भावुक	उहाँ संगीतको बारेमा भावुक हुनुहुन्छ।
password	पासवर्ड	बलियो पासवर्ड छान्नुहोस्।
patience	धैर्य	साना बच्चाहरूलाई सिकाउन धैर्य चाहिन्छ।
pause	रोक्नु	भिडियो अहिले रोक्नुहोस्।
peer	साथी	साथीको दबाबले उसको छनौटलाई प्रभाव पार्यो।
penalty	जरिवाना	खेलाडीले जरिवाना पाए।
perceive	महसुस गर्नु	मानिसहरूले जोखिमलाई फरक रूपमा महसुस गर्छन्।
perception	धारणा	खतराप्रतिको उनको धारणा परिवर्तन भयो।
permanently	स्थायी रूपमा	पसल स्थायी रूपमा बन्द भयो।
pill	चक्की	बिहानको खाजा पछि एउटा चक्की खानुहोस्।
pity	दया	यो दयाको कुरा हो।
placement	स्थान	सोफाको स्थानले फरक पार्छ।
portion	भाग	चामलको सानो भाग पस्कनुहोस्।
potentially	सम्भावित रूपमा	यो परिवर्तन सम्भावित रूपमा उपयोगी छ।
precede	अघि आउनु	कालो बादल अक्सर वर्षा भन्दा अघि आउँछ।
precious	बहुमूल्य	औंठी बहुमूल्य छ।
precise	सटीक	निर्देशनहरू सटीक थिए।
precisely	ठीक	दूरी ठीक नाप्नुहोस्।
predictable	अनुमान गर्न सकिने	अन्त्य अनुमान गर्न सकिने थियो।
preference	प्राथमिकता	उनले चियाको लागि प्राथमिकता व्यक्त गरिन्।
pride	गर्व	समाप्त गरेपछि उसलाई गर्व महसुस भयो।
primarily	मुख्यतया	पाठ्यक्रम मुख्यतया अनलाइन छ।
principal	प्रिन्सिपल	प्रिन्सिपलले नयाँ विद्यार्थीहरूलाई अभिवादन गरे।
prior	पूर्व	हामीलाई पूर्व स्वीकृति चाहिन्छ।
probability	सम्भावना	वर्षाको सम्भावना उच्च छ।
probable	सम्भव	आज राती वर्षा सम्भव छ।
proceed	अगाडि बढ्नु	कृपया अर्को कोठामा अगाडि बढ्नुहोस्।
programming	प्रोग्रामिङ	प्रोग्रामिङलाई अभ्यास चाहिन्छ।
progressive	प्रगतिशील	त्यो समयको लागि नीति प्रगतिशील थियो।
prohibit	निषेध गर्नु	नियमहरूले धुम्रपान निषेध गर्छन्।
promising	आशाजनक	परिणामहरू आशाजनक देखिन्छन्।
promotion	बढुवा	उनले काममा बढुवा पाइन्।
prompt	छिटो	छिटो प्रतिक्रियाले समय बचायो।
proportion	अनुपात	ठूलो अनुपातले हो मा मतदान गर्यो।
protein	प्रोटिन	सिमीमा प्रोटिन हुन्छ।
protester	प्रदर्शनकारी	प्रदर्शनकारीले एउटा चिन्ह समातेका थिए।
psychological	मनोवैज्ञानिक	दुर्घटनाले मनोवैज्ञानिक तनाव निम्त्यायो।
publicity	प्रचार	कार्यक्रमले प्रचार पायो।
publishing	प्रकाशन	उनी प्रकाशनमा काम गर्छिन्।
punk	पङ्क	त्यहाँ पङ्क सङ्गीत लोकप्रिय भयो।
purely	विशुद्ध	त्यो छनोट विशुद्ध व्यावहारिक थियो।
pursuit	खोजी	उनले न्यायको खोजी जारी राखे।
puzzle	पजल	यो पजल मिलाउन एक घण्टा लाग्यो।
questionnaire	प्रश्नावली	कृपया यो प्रश्नावली भर्नुहोस्।
racial	जातीय	रिपोर्टले जातीय असमानताको बारेमा छलफल गर्यो।
racism	जातिवाद	जातिवादले समुदायहरूलाई हानि पुर्‍याउँछ।
racist	जातिवादी	त्यो टिप्पणी जातिवादी थियो।
radiation	विकिरण	विकिरणले कोषहरूलाई क्षति पुर्‍याउन सक्छ।
rail	रेलिङ	भर्‍याङमा रेलिङ समात्नुहोस्।
random	अनियमित	कम्प्युटरले एउटा अनियमित नम्बर छान्यो।
rat	मुसा	एउटा मुसा डस्टबिनको पछाडि कुद्यो।
rating	मूल्याङ्कन	यस होटलको मूल्याङ्कन उच्च छ।
reasonably	यथोचित रूपमा	कोठा यथोचित रूपमा सफा थियो।
rebuild	पुनर्निर्माण गर्नु	तिनीहरूले पुलको पुनर्निर्माण गर्नेछन्।
receiver	प्राप्तकर्ता	प्राप्तकर्ताले बल समात्यो।
recession	आर्थिक मन्दी	आर्थिक मन्दीले खर्च घटायो।
reckon	अनुमान गर्नु	मलाई लाग्छ कि रेल ढिलो छ।
recognition	मान्यता	उनले आफ्नो कामको लागि मान्यता पाइन्।
recovery	निको हुने प्रक्रिया	निको हुन धेरै हप्ता लाग्यो।
recruit	भर्ती गर्नु	कम्पनीले इन्जिनियरहरू भर्ती गर्नेछ।
recruitment	भर्ती	भर्ती आउँदो सोमबार सुरु हुन्छ।
referee	रेफ्री	रेफ्रीले खेल रोके।
refugee	शरणार्थी	ती शरणार्थीले सुरक्षित घर पाए।
registration	दर्ता	दर्ता शुक्रबार बन्द हुन्छ।
regulate	नियमन गर्नु	कानूनले उत्सर्जनलाई नियमन गर्नेछ।
reinforce	बलियो बनाउनु	थप बिमहरूले छानालाई बलियो बनाउँछन्।
relieve	राहत दिनु	औषधिले दुखाइबाट राहत दिन सक्छ।
relieved	ढुक्क	फोन कल पछि उनले ढुक्क महसुस गरिन्।
remarkable	उल्लेखनीय	रिकभरी उल्लेखनीय थियो।
remarkably	उल्लेखनीय रूपमा	उनी उल्लेखनीय रूपमा छिटो निको भए।
reporting	रिपोर्टिङ	सही रिपोर्टिङ महत्त्वपूर्ण हुन्छ।
resign	राजीनामा दिनु	प्रबन्धकले भोलि राजीनामा दिनेछन्।
resolution	रिजोलुसन	यस स्क्रिनमा उच्च रिजोलुसन छ।
restore	पुनर्स्थापना गर्नु	कामदारहरूले पुरानो चित्रकला पुनर्स्थापना गर्छन्।
restrict	सीमित गर्नु	नियमहरूले पार्किङलाई सीमित गर्छन्।
restriction	प्रतिबन्ध	प्रतिबन्ध भोलि समाप्त हुन्छ।
retail	खुद्रा	खुद्रा बिक्री बढ्यो।
retirement	सेवानिवृत्ति	उनले आफ्नो सेवानिवृत्तिको योजना ध्यानपूर्वक बनाइन्।
revenue	राजस्व	टिकटको राजस्वले मर्मतको लागि भुक्तानी गर्यो।
revision	पुनरावलोकन	परीक्षाअघि पुनरावलोकनले मद्दत गर्यो।
ridiculous	हास्यास्पद	मूल्य हास्यास्पद थियो।
risky	जोखिमपूर्ण	योजना जोखिमपूर्ण देखिन्थ्यो।
rival	प्रतिद्वन्द्वी	हाम्रो प्रतिद्वन्द्वीले नयाँ पसल खोल्यो।
rob	लुट्नु	ती मानिसहरूले बैंक लुट्ने प्रयास गरे।
robbery	डकैती	डकैती राति भएको थियो।
rocket	रकेट	रकेट सफलतापूर्वक प्रक्षेपण गरियो।
romance	रोमान्स	उपन्यासमा एउटा प्रेमकथा समावेश छ।
rose	गुलाफ	बारको छेउमा एउटा रातो गुलाफ फुल्यो।
roughly	लगभग	लगभग बीस जना मानिस उपस्थित थिए।
ruin	बर्बाद गर्नु	पानीले पिकनिक बर्बाद गर्न सक्छ।
satisfaction	सन्तुष्टि	ग्राहकको सन्तुष्टिमा सुधार भयो।
scandal	काण्ड	काण्डले उनको करियरलाई क्षति पुर्‍यायो।
scare	तर्साउनु	ठूलो आवाजले मलाई तर्सायो।
scenario	परिदृश्य	सबैभन्दा खराब परिदृश्यको सम्भावना कम छ।
scholar	विद्वान	विद्वानले प्राचीन ग्रन्थहरूको अध्ययन गरे।
scholarship	छात्रवृत्ति	उनले छात्रवृत्ति जितिन्।
scratch	कोर्नु	बिरालोले एउटा कोरेको दाग छोड्यो।
screening	स्क्रिनिङ	अस्पतालले क्यान्सर स्क्रिनिङ प्रदान गर्दछ।
seeker	खोजकर्ता	जागिर खोजकर्ताले आवेदनहरू पठाए।
seminar	सेमिनार	सेमिनार नौ बजे सुरु हुन्छ।
settler	बसोबास गर्ने	बसोबास गर्नेले एउटा सानो खेत बनाए।
severely	गम्भीर रूपमा	आँधीले सडकहरूलाई गम्भीर रूपमा क्षति पुर्‍यायो।
sexy	आकर्षक	त्यो ड्रेसलाई आकर्षक मानिन्थ्यो।
shocking	स्तब्ध पार्ने	समाचार स्तब्ध पार्ने थियो।
shore	किनार	हामी किनारको छेउमा हिँड्यौं।
shortage	अभाव	सहरले पानीको अभावको सामना गर्यो।
shortly	छिट्टै	बस दिउँसोको केही समयपछि आइपुग्यो।
short-term	अल्पकालीन	यस योजनाका अल्पकालीन फाइदाहरू छन्।
sibling	दाजुभाइ वा दिदीबहिनी	प्रत्येक दाजुभाइ वा दिदीबहिनीले एउटा उपहार पाए।
signature	हस्ताक्षर	कृपया आफ्नो हस्ताक्षर थप्नुहोस्।
significance	महत्त्व	यस खोजको ठूलो महत्त्व छ।
skilled	दक्ष	दक्ष कामदारहरूले छाना मर्मत गरे।
slogan	नारा	अभियानले एउटा साधारण नारा प्रयोग गर्यो।
so-called	तथाकथित	तथाकथित विशेषज्ञले गल्ती गरे।
somehow	कुनै न कुनै रूपमा	कुनै न कुनै रूपमा, साँचोहरू हराए।
sometime	कुनै समय	आउँदो हप्ता कुनै समय हामीलाई भेट्नुहोस्।
sophisticated	अत्याधुनिक	सफ्टवेयर अत्याधुनिक छ।
spare	अतिरिक्त	हामी एउटा अतिरिक्त साँचो राख्छौं।
specialize	विशेषज्ञ हुनु	डाक्टरहरू विभिन्न क्षेत्रमा विशेषज्ञ हुन्छन्।
specify	तोक्नु	कृपया आफ्नो आगमनको समय तोक्नुहोस्।
spectacular	शानदार	आतसबाजी शानदार थियो।
spectator	दर्शक	प्रत्येक दर्शकले एउटा कार्यक्रम पुस्तिका प्राप्त गरे।
speculate	अनुमान गर्नु	विशेषज्ञहरूले कारणको बारेमा अनुमान गर्छन्।
speculation	अनुमान	लेखले अनुमानलाई प्रोत्साहित गर्यो।
spice	मसला	एक पटकमा एउटा मसला थप्नुहोस्।
spill	पोख्नु	जुस नपोख्नुहोस्।
spite	द्वेष	समस्याहरूको बावजुद उनी सफल भए।
spoil	बिगार्नु	धेरै नुनले सुप बिगार्न सक्छ।
spokesman	प्रवक्ता	प्रवक्ताले प्रश्नहरूको उत्तर दिए।
spokesperson	प्रवक्ता	प्रवक्ताले एउटा बयान पढे।
spokeswoman	महिला प्रवक्ता	महिला प्रवक्ताले प्रेसलाई सम्बोधन गरिन्।
sponsorship	प्रायोजन	टोलीलाई प्रायोजनको आवश्यकता छ।
sporting	खेलकुद सम्बन्धी	सहरले खेलकुद सम्बन्धी कार्यक्रमहरू आयोजना गर्छ।
stall	स्टल	बजारको स्टलले फलफूल बेच्छ।
stance	अडान	मन्त्रीले आफ्नो अडान परिवर्तन गरे।
starve	भोकमरीमा पर्नु	खानाबिना, जनावरहरू भोकमरीमा पर्न सक्छन्।
steadily	निरन्तर	कम्पनी निरन्तर बढ्दै गयो।
steam	बाफ	सुपबाट बाफ उड्यो।
stimulate	उत्तेजित गर्नु	उज्यालो रङहरूले रुचिलाई प्रोत्साहित गर्न सक्छन्।
