simplified	BG	example_BG
完成	завършвам; приключвам	Вече завърших домашните.
碗	купа; паничка	На масата има две купи.
万	десет хиляди; много	Този град има десет хиляди души.
忘记	забравям	Не забравяй да донесеш паспорта си.
为	за; поради	Радвам се за теб.
为了	за да; с цел	За изпита той преговаря всеки ден.
位	учтив броител за хора	Този учител е много известен.
文化	култура	Искам да разбера китайската култура.
西	запад	Банката е на запад от училището.
习惯	навик; свиквам	Свикнал съм да спортувам сутрин.
洗手间	тоалетна	Тоалетната е вдясно.
洗澡	къпя се; вземам душ	Вечер вземам душ.
夏	лято	Лятото е много горещо.
先	първо; преди	Ти яж първо.
相信	вярвам	Вярвам, че той ще дойде.
香蕉	банан	Купих три банана.
像	приличам на; като	Този облак прилича на птица.
向	към; посока	Моля, вървете наляво.
小心	внимателен; внимавам	Вали; внимавай по пътя.
校长	директор на училище	Директорът на училището е в офиса.
新闻	новини	Татко гледа новините всеки ден.
新鲜	свеж; пресен	Тези плодове са много пресни.
信用卡	кредитна карта	Мога ли да платя с кредитна карта?
行李箱	куфар	Куфарът ми е тежък.
熊猫	панда	Децата обичат да гледат панди.
需要	нуждая се; трябва	Нуждая се от твоята помощ.
选择	избирам; избор	Коя риза избираш?
要求	изисквам; моля	Учителят иска да пишем домашните внимателно.
爷爷	дядо по бащина линия; дядо	Дядо ходи в парка всеки ден.
一直	постоянно; през цялото време	Той те чака отдавна.
一定	със сигурност; непременно	Със сигурност ще дойда.
一共	общо	Колко струват тези книги общо?
一会儿	малко време; за момент	Моля, изчакайте ме малко.
一样	същият; еднакъв	Тези две чаши са с еднакъв размер.
以前	преди	Преди живеех в Пекин.
一般	обикновен; среден	Храната в този ресторант е средна.
一边	едната страна; докато	Той слуша музика, докато пише домашни.
音乐	музика	Харесвам китайска музика.
银行	банка	Банката е до големия магазин.
饮料	напитка	Тази напитка има добър вкус.
应该	трябва; би трябвало	Трябва да си почиваш повече.
影响	влияние; влияя	Времето ще повлияе на мача.
用	използвам	Използвам компютър, за да пиша домашни.
游戏	игра	Децата играят игри.
有名	известен	Този ресторант е много известен.
又	пак; отново	Той пак закъсня днес.
遇到	срещам; попадам на	Срещнах учителя на улицата.
元	юан; парична единица	Този речник струва петдесет юана.
愿意	желая; съгласен съм	Съгласен ли си да участваш?
月亮	луна	Луната тази вечер е ярка.
越	колкото повече... толкова повече...	Колкото повече уча китайски, толкова по-интересен става.
站	станция; стоя прав	Той стои прав до вратата.
张	броител за плоски предмети; лист	Моля, дайте ми карта.
长	раста	Децата растат бързо.
着急	тревожа се; притеснявам се	Не се притеснявай; асансьорът скоро ще дойде.
照顾	грижа се за	Тя се грижи за болната си баба.
照片	снимка	Тази снимка изглежда добре.
照相机	фотоапарат	Използвам фотоапарат, за да снимам.
283:只	само	Пия само една чаша чай.
284:只	броител за животни	Под масата има котка.
只有…才…	само ако... тогава...	Само ако преговаряш внимателно, ще се справиш добре на изпита.
中间	среда; между	Масата е в средата на стаята.
中文	китайски език; китайска писменост	Уча китайски всеки ден.
终于	най-накрая	Най-накрая пристигнахме.
种	вид; тип	Какъв вид напитка харесваш?
重要	важен	Паспортът е много важен.
周末	уикенд	Искам да отида в парка през уикенда.
主要	главен; основен	Основното му хоби е музиката.
注意	обръщам внимание; внимавам	Моля, обръщайте внимание на учителя.
自己	сам; себе си	Искам сам да напиша домашните.
自行车	велосипед; колело	Колелото ми е долу.
总是	винаги	Той винаги пристига рано в офиса.
嘴	уста	Моля, отворете устата си.
最后	последен; накрая	Накрая всички се съгласихме.
最近	наскоро; напоследък	Напоследък съм зает.
作业	домашна работа; задача	Още не съм завършил домашните.
