source_headword	TL	example_TL
dear	minamahal; mahal	Minamahal kong kaibigan, salamat.
December	Disyembre	Kaarawan ko sa Disyembre.
decide	magpasya	Magpasya ka na ngayon, pakiusap.
delicious	masarap	Masarap ang sopas na ito.
describe	ilarawan	Ilarawan mo ang kuwarto mo.
description	paglalarawan	Basahin mo ang maikling paglalarawan.
design	disenyo; idisenyo	Nagdidisenyo ako ng simpleng card.
desk	mesa	Nasa mesa ko ang libro.
detail	detalye	May nawawalang detalye.
dialogue	dayalogo	Basahin mo ngayon ang dayalogo.
dictionary	diksiyonaryo	Gumamit ka ng diksiyonaryo sa klase.
die	mamatay	Namamatay ang bulaklak nang walang tubig.
diet	diyeta; pagkain	May prutas sa diyeta ko.
difference	pagkakaiba	May isang pagkakaiba.
different	iba; magkaiba	Magkaiba ang mga pangalan namin.
difficult	mahirap	Mahirap ang tanong na ito.
dinner	hapunan	Handa na ang hapunan.
dirty	marumi	Marumi ang sapatos ko.
discuss	pag-usapan	Pag-uusapan namin ang plano.
dish	pinggan; putahe	Mainit ang pinggang ito.
do1	gawin	Ano ang ginagawa mo?
doctor	doktor	Abala ang doktor.
dog	aso	Tumatakbo sa labas ang aso.
dollar	dolyar	Isang dolyar ang halaga nito.
door	pinto	Isara mo ang pinto, pakiusap.
down	pababa; sa ibaba	Umupo ka rito sa ibaba.
downstairs	sa ibaba	Nasa ibaba ang kusina.
draw	gumuhit	Gumuhit ka ng maliit na bahay.
dress	damit; magsuot	Nakasuot siya ng pulang damit.
drink	inumin; uminom	Umiinom ako ng tubig.
drive	magmaneho	Nagmamaneho ako papunta sa trabaho.
driver	drayber	Humihinto rito ang drayber.
during	habang	Natutulog ako habang nasa flight.
DVD	DVD	Luma na ang DVD na ito.
each	bawat	May libro ang bawat bata.
ear	tainga	Malamig ang tainga ko.
early	maaga	Maaga akong gumigising sa umaga.
east	silangan	Sumisikat ang araw sa silangan.
easy	madali	Madali ang gawaing ito.
eat	kumain	Kumakain kami ng kanin sa tanghali.
egg	itlog	Kumakain ako ng itlog sa almusal.
eight	walo	May walo akong panulat.
eighteen	labing-walo	Labing-walo ang edad niya.
eighty	walumpu	Walumpu ang edad ng lolo ko.
elephant	elepante	Malaki ang elepante.
eleven	labing-isa	Nagsisimula ang klase sa labing-isa.
else	iba pa	Ano pa ang gusto mo?
email	email	Nagpapadala ako ng email.
end	wakas; tapusin	Maganda ang wakas ng kuwento.
enjoy	masiyahan	Nasisiyahan ako sa musika.
enough	sapat	May sapat akong oras.
euro	euro	Sampung euro ang halaga nito.
even	kahit	Kahit ang bata ay nakakaalam.
evening	gabi	Naglalakad kami sa gabi.
event	kaganapan; okasyon	Ngayong araw ang okasyon.
ever	kailanman	Nakapunta ka na ba kailanman sa Paris?
every	bawat	Nagbabasa ako araw-araw.
everybody	lahat	Handa na ang lahat.
everyone	lahat	Nakikinig sa akin ang lahat.
everything	lahat ng bagay	Nasa mesa ang lahat ng bagay.
exam	pagsusulit	Bukas ang pagsusulit.
example	halimbawa	Bigyan mo ako ng halimbawa.
excited	nasabik	Nasabik ang mga bata sa biyahe.
exciting	kapana-panabik	Kapana-panabik ang laro.
exercise	ehersisyo; mag-ehersisyo	Nag-eehersisyo ako sa umaga.
expensive	mahal	Mahal ang relo na ito.
explain	ipaliwanag	Ipinapaliwanag ng guro ang sagot.
extra	dagdag; ekstra	May dagdag akong susi.
eye	mata	Asul ang mga mata niya.
face	mukha	Hugasan mo ang mukha mo.
fact	katotohanan; impormasyon	Mahalagang impormasyon ito.
fall	mahulog	Nahuhulog ang mga dahon sa taglagas.
false	mali; hindi totoo	Mali ang sagot.
family	pamilya	Malaki ang pamilya ko.
famous	sikat	Sikat siyang mang-aawit.
fantastic	kahanga-hanga	Kahanga-hanga ang larawan.
far	malayo	Hindi malayo ang istasyon.
farm	bukid	Nakatira sila sa bukid.
farmer	magsasaka	Nagtatrabaho ang magsasaka sa bukid.
fast	mabilis	Mabilis tumakbo ang tren.
fat	mataba	Medyo mataba ang pusa.
father	ama; tatay	Guro ang tatay ko.
favourite	paborito	Isda ang paborito kong pagkain.
February	Pebrero	Maikling buwan ang Pebrero.
feel	maramdaman	Mabuti ang pakiramdam ko ngayon.
feeling	pakiramdam; damdamin	May maganda akong pakiramdam.
festival	pista; pagdiriwang	Kumakanta kami sa pista.
few	ilan; kakaunti	May kaunti akong pera.
fifteen	labinlima	May labinlimang estudyante sa klase.
fifth	ikalima	Nakatira siya sa ikalimang palapag.
fifty	limampu	Limampung piso ang tiket.
fill	punuin	Punuin mo ng tubig ang baso.
film	pelikula	Nanonood kami ng pelikula.
final	pangwakas; huli	Ito ang pangwakas na sagot.
find	hanapin; matagpuan	Nahanap ko ang susi ko.
fine	mabuti; maayos	Mabuti ako.
finish	tapusin	Tinatapos ko ang trabaho.
fire	apoy	Mainit ang apoy.
first	una	Sinasagot niya ang unang tanong.
fish	isda	Kumakain ako ng isda.
five	lima	May lima akong libro.
flat	apartment	Maliit ang apartment ko.
flight	flight; biyahe sa eroplano	Alas otso ng umaga ang flight namin.
floor	sahig; palapag	Nasa sahig ang bag.
flower	bulaklak	Maganda ang bulaklak na ito.
fly	lumipad	Lumilipad ang ibon sa langit.
follow	sundan	Sundan mo ako, pakiusap.
food	pagkain	Handa na ang pagkain.
foot	paa	Masakit ang paa niya.
football	futbol	Naglalaro kami ng futbol ngayon.
for	para sa	Para sa iyo ang regalong ito.
forget	kalimutan	Huwag mong kalimutan ang libro mo.
form	form; anyo	Punan mo ang form na ito.
forty	apatnapu	Apatnapung piso ang libro.
four	apat	May apat na tasa sa mesa.
fourteen	labing-apat	Labing-apat ang edad ng kapatid ko.
fourth	ikaapat	Nakaupo siya sa ikaapat na hanay.
free	libre; malaya	Libre ang tiket na ito.
Friday	Biyernes	May pagsusulit kami sa Biyernes.
friend	kaibigan	Nakatira rito ang kaibigan ko.
friendly	palakaibigan	Palakaibigan ang bagong guro.
from	mula sa	Mula ako sa Maynila.
front	harap	Nasa harap ng paaralan ang tindahan.
fruit	prutas	Kumakain ako ng prutas araw-araw.
full	puno	Puno ang bus.
fun	saya	Masaya ang laro.
funny	nakakatawa	Nakakatawa ang kuwento niya.
future	hinaharap	Gusto kong maging doktor sa hinaharap.
game	laro	Madali ang larong ito.
garden	hardin	May mga bulaklak sa hardin.
geography	heograpiya	Nag-aaral ako ng heograpiya.
get	makakuha; kumuha	Nakakuha ako ng bagong libro.
girl	babae	Kumakanta ang babae.
girlfriend	kasintahan	Nakatira sa lungsod ang kasintahan niya.
give	magbigay	Ibigay mo sa akin ang numero mo.
glass	baso; salamin	May tubig sa baso.
go	pumunta	Pupunta kami ngayon sa bahay.
good	mabuti; maganda	Maganda ang panahon ngayon.
goodbye	paalam	Paalam, magkita tayo bukas.
grandfather	lolo	Naglalakad ang lolo ko.
grandmother	lola	Nagluluto ang lola ko.
grandparent	lolo o lola	Malapit nakatira ang lolo at lola ko.
great	mahusay; dakila	Mahusay ang ideya mo.
green	berde	Berde ang damo.
grey	kulay-abo	Kulay-abo ang langit.
group	grupo	Maliit ang grupo namin.
grow	lumaki; tumubo	Mabilis lumaki ang puno.
guess	hulaan	Hulaan mo ang sagot.
guitar	gitara	Tumutugtog siya ng gitara.
gym	gym; himnasyo	Pumupunta ako sa gym.
hair	buhok	Mahaba ang buhok niya.
half	kalahati	Kumakain ako ng kalahating tinapay.
hand	kamay	Hugasan mo ang mga kamay mo.
happen	mangyari	Ano ang nangyayari rito?
happy	masaya	Masaya ako ngayon.
hard	mahirap; matigas	Mahirap ang gawaing ito.
hat	sumbrero	Nakasuot siya ng asul na sumbrero.
hate	kamuhian; ayawan	Ayoko ng kasinungalingan.
have	mayroon	Mayroon akong kotse.
have to modal	kailangan	Kailangan kong umalis ngayon.
he	siya	Kapatid ko siya.
head	ulo	Masakit ang ulo ko.
health	kalusugan	Mahalaga ang kalusugan.
healthy	malusog; masustansiya	Masustansiya ang pagkain na ito.
hear	marinig	Naririnig ko ang boses mo.
hello	kumusta	Kumusta, paano ka?
help	tulong; tumulong	Tulungan mo ako, pakiusap.
her	kanya; siya	Nakikita ko siya.
here	dito	Nandito ang libro.
hey	hoy	Hoy, pumunta ka rito.
hi	kumusta	Kumusta, ako si Rahul.
high	mataas	Mataas ang bundok.
him	siya; kanya	Kilala ko siya.
his	kanya; kanyang	Libro niya ito.
history	kasaysayan	Nag-aaral kami ng kasaysayan.
hobby	libangan	Pakikinig sa musika ang libangan ko.
holiday	bakasyon	May bakasyon kami bukas.
home	bahay; tahanan	Nasa bahay ako.
homework	takdang-aralin	Tinatapos ko ang takdang-aralin ko.
hope	asa; umasa	Umaasa akong darating ka.
horse	kabayo	Mabilis tumakbo ang kabayo.
hospital	ospital	Malapit ang ospital.
hot	mainit	Mainit ang tsaa.
hotel	hotel	Nananatili kami sa hotel.
hour	oras	Isang oras ang klase.
house	bahay	Malaki ang bahay nila.
how	paano	Paano ka pumapasok sa paaralan?
however	gayunpaman	Pagod ako, gayunpaman pupunta ako.
hundred	isang daan	May isang daang tao rito.
hungry	gutom	Gutom ako ngayon.
husband	asawa	Doktor ang asawa niya.
I	ako	Nag-aaral ako ng Ingles.
ice	yelo	Malamig ang yelo.
ice cream	sorbetes; ice cream	Kumakain ng sorbetes ang mga bata.
idea	ideya	Maganda ang ideya mo.
if	kung	Kung umulan, mananatili ako.
imagine	isipin	Isipin mo ang malaking bahay.
important	mahalaga	Mahalaga ang panuntunang ito.
improve	pagbutihin; umunlad	Pinagbubuti ko ang Ingles ko.
in	sa; nasa loob	Nasa loob ng bag ang libro.
include	isama	Kasama sa presyo ang pagkain.
information	impormasyon	Kailangan ko ng karagdagang impormasyon.
interest	interes; interes sa pera	May interes siya sa musika.
interested	interesado	Interesado ako sa kasaysayan.
interesting	kawili-wili	Kawili-wili ang libro.
internet	internet	Mabagal ang internet ngayon.
interview	panayam	May panayam ako sa Lunes.
into	papasok sa; sa loob	Pumapasok siya sa kuwarto.
introduce	ipakilala	Ipinapakilala kita sa kaibigan ko.
island	isla	Maliit ang isla.
it	ito	Telepono ko ito.
its	nito	Kinakain ng pusa ang pagkain nito.
jacket	dyaket	Nakasuot siya ng itim na dyaket.
January	Enero	Malamig ang panahon sa Enero.
jeans	maong	Nagsusuot ako ng asul na maong.
job	trabaho	May bago siyang trabaho.
join	sumali	Sumali ka sa grupo namin.
journey	paglalakbay	Mahaba ang paglalakbay.
juice	katas; juice	Umiinom ako ng katas ng kahel.
July	Hulyo	Mainit sa Hulyo.
June	Hunyo	Naglalakbay kami sa Hunyo.
just	lamang; ngayon lang	Tubig lamang ang gusto ko.
keep	itago; panatilihin	Itago mo rito ang susi.
key	susi	Nasaan ang susi ko?
kilometre	kilometro	Dalawang kilometro ang layo ng istasyon.
kind (type)	uri	Anong uri ng musika ang gusto mo?
kitchen	kusina	Nasa kusina si nanay.
know	alam; malaman	Alam ko ang sagot.
land	lupa; lumapag	Lumapag ang eroplano sa lupa.
language	wika	Isang wika ang Filipino.
large	malaki	May malaki akong bag.
last1 (final)	huli	Ito ang huling bus.
late	huli; nahuli	Nahuli ako ngayon.
later	mamaya	Tatawag ako mamaya.
laugh	tumawa	Malakas tumawa ang mga bata.
learn	matuto	Natututo ako ng bagong salita.
leave	umalis; iwan	Aalis kami ng bahay ngayon.
left	kaliwa; natira	Lumiko ka sa kaliwa.
leg	binti	Mahaba ang binti niya.
lesson	aralin	Madali ang aralin ngayon.
let	hayaan	Hayaan mo akong subukan.
letter	liham; titik	Sumusulat ako ng liham.
library	aklatan	Maraming libro sa aklatan.
lie1	humiga	Humiga ako sa kama.
life	buhay	Maganda ang buhay.
like (similar)	tulad ng	Tulad ng bag ko ang bag na ito.
like (find sb/sth pleasant)	magustuhan	Gusto ko ang kantang ito.
line	linya	Pumila ka sa linya.
lion	leon	Malaki ang leon.
list	listahan	May listahan ako ng bibilhin.
listen	makinig	Makinig ka nang mabuti.
little	maliit; kaunti	May kaunti akong oras.
live1	manirahan	Nakatira ako sa lungsod.
local	lokal	Pumupunta kami sa lokal na palengke.
long1	mahaba	Mahaba ang daan.
look	tumingin	Tumingin ka sa larawan.
lose	mawala; matalo	Nawawala ang panulat ko.
lot	marami	Marami akong trabaho.
love	mahalin; pag-ibig	Mahal ko ang pamilya ko.
lunch	tanghalian	Handa na ang tanghalian.
