simplified	TA	example_TA
不但…而且…	மட்டுமல்ல... மேலும்...	அவள் புத்திசாலி மட்டுமல்ல, மிகவும் உழைப்பாளியும் கூட.
菜单	உணவுப் பட்டியல்	தயவுசெய்து எனக்கு ஒரு உணவுப் பட்டியல் கொடுங்கள்.
参加	பங்கேற்பது	நான் இந்த கூட்டத்தில் பங்கேற்க விரும்புகிறேன்.
草	புல்	சின்ன நாய் புல் மேல் ஓடுகிறது.
层	மாடி; அடுக்கு	இந்த கட்டிடத்தில் மூன்று மாடிகள் உள்ளன.
差	மோசமான; வித்தியாசம்; குறைவு	இன்றைய வானிலை மோசமாக உள்ளது.
超市	சூப்பர் மார்க்கெட்	நான் ரொட்டி வாங்க சூப்பர் மார்க்கெட்டுக்குச் செல்கிறேன்.
衬衫	சட்டை	இந்த சட்டை மிகவும் சுத்தமாக இருக்கிறது.
城市	நகரம்	பெய்ஜிங் ஒரு பெரிய நகரம்.
成绩	மதிப்பெண்; முடிவு	அவருடைய கணித மதிப்பெண்கள் மிகவும் நல்லவை.
迟到	தாமதமாக வருதல்	வகுப்பிற்கு தாமதமாக வராதே.
除了	தவிர; கூடுதலாக	காபியைத் தவிர, எனக்கு தேநீரும் வேண்டும்.
船	படகு; கப்பல்	நாங்கள் படகில் அந்த நகரத்துக்குச் செல்கிறோம்.
春	வசந்த காலம்	வசந்த காலத்தில் நிறைய மலர்கள் இருக்கும்.
词典	அகராதி	இந்த அகராதி மிகவும் பயனுள்ளது.
聪明	புத்திசாலி	இந்த குழந்தை மிகவும் புத்திசாலி.
打扫	சுத்தம் செய்தல்	வார இறுதியில் நான் அறையை சுத்தம் செய்கிறேன்.
打算	திட்டம்; திட்டமிடுதல்	நாளைக்கு உன் திட்டம் என்ன?
带	கொண்டு வருதல்; எடுத்துச் செல்லுதல்	தயவுசெய்து உங்கள் கடவுச்சீட்டை கொண்டு வாருங்கள்.
担心	கவலைப்படுதல்	கவலைப்படாதீர்கள், நான் உங்களுக்கு உதவுவேன்.
蛋糕	கேக்	இந்த கேக் மிகவும் இனிப்பாக இருக்கிறது.
当然	நிச்சயமாக	நிச்சயமாக முடியும்.
地	வினையடைத் துகள்	அவள் மகிழ்ச்சியாக சிரித்தாள்.
灯	விளக்கு	தயவுசெய்து விளக்கை ஏற்றுங்கள்.
地方	இடம்	இந்த இடம் மிகவும் அமைதியானது.
地铁	மெட்ரோ ரயில்	நான் தினமும் மெட்ரோ ரயிலில் வேலைக்குச் செல்கிறேன்.
地图	வரைபடம்	நான் வரைபடத்தில் பள்ளியைத் தேடுகிறேன்.
电梯	மின்தூக்கி	மின்தூக்கி இடது பக்கத்தில் உள்ளது.
电子邮件	மின்னஞ்சல்	நான் ஆசிரியருக்கு மின்னஞ்சல் அனுப்புகிறேன்.
东	கிழக்கு	சூரியன் கிழக்கில் உதயமாகிறது.
冬	குளிர்காலம்	குளிர்காலத்தில் நான் சூடான தேநீர் குடிக்க விரும்புகிறேன்.
动物	விலங்கு	பாண்டா சீனாவில் பிரபலமான விலங்கு.
短	குறுகிய	இந்த கால்சட்டை மிகவும் குறுகியது.
段	பத்தி; பகுதி	தயவுசெய்து இந்த பத்தியை வாசியுங்கள்.
锻炼	உடற்பயிற்சி செய்தல்	நான் ஒவ்வொரு காலையிலும் உடற்பயிற்சி செய்கிறேன்.
多么	எவ்வளவு; எத்தனை	இங்குள்ள சூழல் எவ்வளவு நல்லது!
饿	பசி	எனக்கு பசி, ரொட்டி சாப்பிட வேண்டும்.
耳朵	காது	என் காது கொஞ்சம் வலிக்கிறது.
发	அனுப்புதல்; வெளியிடுதல்	மாலை நான் மின்னஞ்சல் அனுப்புகிறேன்.
发烧	காய்ச்சல் வருதல்	அவளுக்கு காய்ச்சல் இருப்பதால் பள்ளிக்குச் செல்ல முடியாது.
发现	கண்டுபிடித்தல்	இந்த முறை நல்லது என்று நான் கண்டுபிடித்தேன்.
方便	வசதியான	மெட்ரோவில் செல்வது மிகவும் வசதியாக உள்ளது.
放	வைத்தல்; விடுதல்	தயவுசெய்து புத்தகத்தை மேசையின் மேல் வை.
放心	கவலை இல்லாமல் இருப்பது	கவலைப்படாதீர்கள், நான் நேரத்திற்கு வருவேன்.
分	பகிர்தல்; பிரித்தல்	தயவுசெய்து கேக்கை எல்லோருக்கும் பகிருங்கள்.
复习	மீண்டும் படித்தல்	தேர்வுக்கு முன் நான் பாடங்களை மீண்டும் படிக்க வேண்டும்.
附近	அருகில்	அருகில் ஒரு உணவகம் உள்ளது.
干净	சுத்தமான	இந்த அறை மிகவும் சுத்தமாக இருக்கிறது.
感冒	சளி பிடித்தல்	எனக்கு சளி பிடித்துள்ளது, ஓய்வெடுக்க வேண்டும்.
感兴趣	ஆர்வம் கொள்ளுதல்	எனக்கு சீன மொழியில் மிகவும் ஆர்வம் உள்ளது.
刚才	சற்றுமுன்	சற்றுமுன் உனக்கு யார் தொலைபேசியில் அழைத்தார்?
个子	உயரம்; உடற்கட்டு	அவர் உயரமானவர்.
根据	அடிப்படையில்; படி	வரைபடத்தின் படி பள்ளி கிழக்கில் உள்ளது.
跟	உடன்; பின்தொடர்தல்	நான் நண்பருடன் பூங்காவிற்குச் செல்கிறேன்.
更	மேலும்; இன்னும்	இன்று நேற்று விட இன்னும் குளிராக இருக்கிறது.
公斤	கிலோகிராம்	இந்த ஆப்பிள்கள் ஒரு கிலோகிராம்.
公园	பூங்கா	குழந்தைகள் பூங்காவில் விளையாடுகிறார்கள்.
故事	கதை	தாத்தா எனக்கு கதை சொல்கிறார்.
刮风	காற்று வீசுதல்	இன்று காற்று வீசுகிறது, மிதிவண்டியில் போகாதே.
关	மூடுதல்; அணைத்தல்	தயவுசெய்து கதவை மூடு.
关系	உறவு; தொடர்பு	என் சக ஊழியருடன் எனக்கு நல்ல உறவு உள்ளது.
关心	அக்கறை காட்டுதல்	அம்மா என் உடல்நலத்தைப் பற்றி மிகவும் அக்கறை கொள்கிறார்.
关于	பற்றி	இந்த புத்தகம் சீன கலாச்சாரம் பற்றி.
国家	நாடு; அரசு	சீனா மிகவும் பெரிய நாடு.
过	அனுபவத் துகள்; முன்பு செய்திருத்தல்	நான் பெய்ஜிங்குக்குச் சென்றிருக்கிறேன்.
过去	கடந்த காலம்; முன்பு	முன்பு இங்கே மெட்ரோ இல்லை.
还是	அல்லது; இல்லையா	நீ தேநீர் குடிக்கிறாயா, அல்லது காபியா?
害怕	பயப்படுதல்	நான் தேர்வுக்கு பயப்படவில்லை.
黑板	கரும்பலகை	ஆசிரியர் கரும்பலகையில் சீன எழுத்துகளை எழுதுகிறார்.
后来	பின்னர்	பின்னர் நாங்கள் பூங்காவிற்குச் சென்றோம்.
护照	கடவுச்சீட்டு	தயவுசெய்து கடவுச்சீட்டை கொண்டு வாருங்கள்.
96:花	செலவு செய்தல்; செலவாகுதல்	தொலைபேசி வாங்க இரண்டு ஆயிரம் யுவான் செலவானது.
97:花	மலர்	மேசையின் மேல் ஒரு மலர் உள்ளது.
画	வரைதல்; ஓவியம்	என் தங்கை பாண்டா வரைய விரும்புகிறாள்.
坏	கெட்ட; பழுதான	என் கணினி பழுதாகிவிட்டது.
欢迎	வரவேற்பது	என் வீட்டிற்கு வரவேற்கிறேன்.
环境	சூழல்; நிலைமை	இந்த பள்ளியின் சூழல் மிகவும் நல்லது.
还	திருப்பித் தருதல்	தயவுசெய்து என் புத்தகத்தை நாளை திருப்பித் தா.
换	மாற்றுதல்; பரிமாற்றுதல்	நான் சட்டையை மாற்ற விரும்புகிறேன்.
黄河	மஞ்சள் நதி	மஞ்சள் நதி மிகவும் நீளமானது.
回答	பதில் அளித்தல்	தயவுசெய்து என் கேள்விக்கு பதில் அளியுங்கள்.
会议	கூட்டம்	கூட்டம் ஒன்பது மணிக்கு தொடங்குகிறது.
或者	அல்லது	நீ மெட்ரோவிலோ பேருந்திலோ செல்லலாம்.
几乎	கிட்டத்தட்ட	அவர் கிட்டத்தட்ட தினமும் உடற்பயிற்சி செய்கிறார்.
机会	வாய்ப்பு	இது ஒரு நல்ல வாய்ப்பு.
极	மிகவும்; அளவுக்கு மீறி	அவள் மிகவும் மகிழ்ச்சியாக இருக்கிறாள்.
季节	காலம்; பருவம்	இலையுதிர் காலம் எனக்கு மிகவும் பிடித்த பருவம்.
记得	நினைவில் வைத்தல்	கிரெடிட் கார்டை கொண்டு வர நினைவிருக்கிறதா?
检查	சோதித்தல்; பரிசோதித்தல்	மருத்துவர் என்னை பரிசோதிக்கிறார்.
简单	எளிய; சுலபமான	இந்த வாக்கியம் மிகவும் எளியது.
健康	உடல்நலம்; ஆரோக்கியமான	உடற்பயிற்சி உடல்நலத்திற்கு நல்லது.
见面	சந்தித்தல்	நாம் நாளை பள்ளியில் சந்திப்போம்.
讲	பேசுதல்; விளக்குதல்	ஆசிரியர் மிகவும் தெளிவாக விளக்குகிறார்.
教	கற்பித்தல்	அவள் எனக்கு சீன எழுத்துகள் எழுத கற்பிக்கிறார்.
脚	பாதம்	என் பாதம் கொஞ்சம் வலிக்கிறது.
角	மூலை; கோணம்	கடை தெருவின் மூலையில் உள்ளது.
接	வரவேற்கச் செல்லுதல்; பெறுதல்	நான் நண்பரை வரவேற்க விமான நிலையத்துக்குச் செல்கிறேன்.
街道	தெரு	இந்த தெரு மிகவும் சுத்தமாக இருக்கிறது.
结婚	திருமணம் செய்தல்	அவர்கள் அடுத்த ஆண்டு திருமணம் செய்கிறார்கள்.
结束	முடிவடைவது; முடித்தல்	போட்டி ஏற்கனவே முடிந்துவிட்டது.
节目	நிகழ்ச்சி	இந்த தொலைக்காட்சி நிகழ்ச்சி மிகவும் நல்லது.
节日	விழா; திருநாள்	வசந்த விழா முக்கியமான சீன விழா.
解决	தீர்த்தல்	இந்த பிரச்சினை ஏற்கனவே தீர்க்கப்பட்டுள்ளது.
借	கடன் வாங்குதல்; கடன் கொடுத்தல்	நான் உன் அகராதியை கடன் வாங்க விரும்புகிறேன்.
经常	அடிக்கடி	நான் அடிக்கடி நூலகத்திற்குச் செல்கிறேன்.
经过	கடந்து செல்லுதல்; செயல்முறை	நான் தினமும் இந்த பூங்காவை கடந்து செல்கிறேன்.
经理	மேலாளர்	மேலாளர் கூட்டத்தில் இருக்கிறார்.
久	நீண்ட நேரம்	நான் இங்கே நீண்ட காலமாக வாழ்கிறேன்.
旧	பழைய; பயன்படுத்தப்பட்ட	இந்த ஆடை மிகவும் பழையது.
句子	வாக்கியம்	தயவுசெய்து ஒரு வாக்கியம் எழுதுங்கள்.
决定	முடிவு; முடிவு செய்தல்	நான் சீன மொழி கற்க முடிவு செய்தேன்.
可爱	அழகான; அன்பான	இந்த பூனை மிகவும் அழகாக இருக்கிறது.
渴	தாகம்	எனக்கு தாகம், தண்ணீர் குடிக்க வேண்டும்.
刻	பதினைந்து நிமிடம்; தருணம்	இப்போது எட்டு மணி பதினைந்து நிமிடம்.
客人	விருந்தினர்; வாடிக்கையாளர்	இன்று எங்கள் வீட்டுக்கு ஒரு விருந்தினர் வந்தார்.
空调	குளிரூட்டி	தயவுசெய்து குளிரூட்டியை இயக்குங்கள்.
口	வாய்; அளவுச்சொல்	அவள் ஒரு குடி தண்ணீர் குடித்தாள்.
哭	அழுதல்	குழந்தை ஏன் அழுகிறது?
裤子	கால்சட்டை	இந்த கால்சட்டை புதியது.
筷子	சாப்பாட்டுக் குச்சிகள்	எனக்கு சாப்பாட்டுக் குச்சிகளால் சாப்பிட முடியும்.
蓝	நீலம்	வானம் நீலமாக இருக்கிறது.
老	மூத்த; பழைய	என் ஆசிரியர் வயதானவர் அல்ல.
离开	விட்டு செல்லுதல்	அவர் நாளை பெய்ஜிங்கை விட்டு செல்கிறார்.
礼物	பரிசு	இது உனக்கான பரிசு.
历史	வரலாறு	எனக்கு சீனாவின் வரலாறு பிடிக்கும்.
脸	முகம்	அவளுடைய முகம் மிகவும் சிவந்திருக்கிறது.
练习	பயிற்சி; பயிற்சி செய்தல்	தயவுசெய்து சீன மொழியில் பேசுவதை இன்னும் பயிற்சி செய்யுங்கள்.
辆	வாகனங்களுக்கான அளவுச்சொல்	கதவின் அருகில் ஒரு டாக்ஸி உள்ளது.
聊天	அரட்டை அடித்தல்	நான் நண்பருடன் அரட்டை அடிக்கிறேன்.
了解	புரிந்துகொள்ளுதல்; அறிதல்	நான் சீன கலாச்சாரத்தைப் புரிந்துகொள்ள விரும்புகிறேன்.
邻居	அண்டை வீட்டார்	என் அண்டை வீட்டார் மிகவும் அன்பானவர்.
留学	வெளிநாட்டில் படித்தல்	அவள் சீனாவில் படிக்கிறாள்.
楼	கட்டிடம்; மாடி	அலுவலகம் மூன்றாம் மாடியில் உள்ளது.
绿	பச்சை	வசந்தத்தில் மரங்கள் பச்சையாகின்றன.
马	குதிரை	அந்த குதிரை மிகவும் வேகமாக ஓடுகிறது.
马上	உடனே	நான் உடனே திரும்பி வருவேன்.
满意	திருப்தியான	இந்த அறையால் நான் மிகவும் திருப்தி அடைகிறேன்.
帽子	தொப்பி	இந்த தொப்பி மிகவும் அழகாக இருக்கிறது.
米	மீட்டர்; அரிசி	இந்த மேசை இரண்டு மீட்டர் நீளம்.
面包	ரொட்டி	காலை உணவுக்கு நான் ரொட்டி சாப்பிடுகிறேன்.
明白	புரிதல்; தெளிவான	நீ சொல்வது எனக்கு புரிகிறது.
拿	எடுத்தல்; பிடித்தல்	தயவுசெய்து எனக்காக ஒரு புத்தகம் எடு.
奶奶	பாட்டி	பாட்டி இசை கேட்க விரும்புகிறார்.
南	தெற்கு	பள்ளி நகரத்தின் தெற்கில் உள்ளது.
难	கடினமான	இந்த கேள்வி கடினமில்லை.
难过	வருத்தப்படுதல்	அவள் இன்று கொஞ்சம் வருத்தமாக இருக்கிறாள்.
年级	வகுப்பு நிலை; கல்வி ஆண்டு	என் தங்கை மூன்றாம் வகுப்பில் இருக்கிறாள்.
年轻	இளம்	இந்த மேலாளர் மிகவும் இளம்.
鸟	பறவை	மரத்தின் மேல் ஒரு பறவை உள்ளது.
努力	முயற்சி; உழைத்தல்	அவர் மிகவும் முயற்சி செய்து படிக்கிறார்.
爬山	மலை ஏறுதல்	இந்த வார இறுதியில் நாம் மலை ஏறப் போகிறோம்.
盘子	தட்டு	மேசையின் மேல் மூன்று தட்டுகள் உள்ளன.
胖	பருமன்	இந்த நாய் கொஞ்சம் பருமனாக இருக்கிறது.
啤酒	பீர்	அப்பா பீர் குடிப்பதில்லை.
皮鞋	தோல் காலணி	இந்த தோல் காலணி ஜோடி விலை உயர்ந்தது.
瓶子	பாட்டில்	பாட்டிலில் தண்ணீர் உள்ளது.
其实	உண்மையில்	உண்மையில் எனக்கு பீர் பிடிக்காது.
其他	மற்ற; வேறு	மற்ற வகுப்பு நண்பர்கள் எல்லோரும் வந்துவிட்டார்கள்.
奇怪	விசித்திரமான	இந்த சத்தம் மிகவும் விசித்திரமாக இருக்கிறது.
骑	ஓட்டுதல்; சவாரி செய்தல்	அவள் தினமும் மிதிவண்டியில் வேலைக்குச் செல்கிறாள்.
起飞	பறப்பதற்கு எழுதல்	விமானம் விரைவில் புறப்படும்.
起来	எழுதல்	தயவுசெய்து எழுந்திருங்கள்.
清楚	தெளிவான	நீ மிகவும் தெளிவாக பேசினாய்.
请假	விடுப்பு கேட்பது	அவளுக்கு சளி பிடித்துள்ளதால் விடுப்பு கேட்க வேண்டும்.
秋	இலையுதிர் காலம்	இலையுதிர் காலத்தில் வானிலை இனிமையாக இருக்கும்.
裙子	பாவாடை	இந்த பாவாடை மிகவும் அழகாக இருக்கிறது.
然后	பிறகு	நான் முதலில் சாப்பிடுகிறேன், பிறகு வீட்டுப்பாடம் செய்கிறேன்.
热情	உற்சாகமான; அன்பான	சீன நண்பர்கள் மிகவும் அன்பானவர்கள்.
认为	நினைத்தல்; கருதுதல்	இந்த முறை நல்லது என்று நான் நினைக்கிறேன்.
认真	கவனமான; தீவிரமான	தயவுசெய்து ஆசிரியரை கவனமாக கேளுங்கள்.
容易	எளிதான	இந்த சீன எழுத்தை எழுதுவது எளிது.
如果	என்றால்	மழை பெய்தால், நாம் மெட்ரோவில் செல்வோம்.
伞	குடை	மழை பெய்கிறது, தயவுசெய்து குடை எடு.
上网	இணையத்தில் செல்லுதல்	மாலையில் வரைபடம் பார்க்க நான் இணையத்தில் செல்கிறேன்.
声音	ஒலி; குரல்	உன் குரல் இனிமையாக கேட்கிறது.
生气	கோபப்படுதல்	கோபப்படாதே, அதை நான் நினைத்துச் செய்யவில்லை.
世界	உலகம்	உலகம் மிகவும் பெரியது.
试	முயற்சி செய்தல்	நான் இந்த தோல் காலணி ஜோடியை அணிந்து பார்க்க விரும்புகிறேன்.
瘦	மெலிந்த	அவர் முன்பை விட மெலிந்துள்ளார்.
叔叔	மாமா	மாமா என்னை காரில் பள்ளிக்குக் கொண்டு செல்கிறார்.
舒服	வசதியான; சுகமான	இந்த நாற்காலி வசதியாக இருக்கிறது.
数学	கணிதம்	கணித வகுப்பு சுவாரஸ்யமாக இருக்கிறது.
树	மரம்	வீட்டின் முன் ஒரு மரம் உள்ளது.
刷牙	பல் துலக்குதல்	நான் ஒவ்வொரு காலையிலும் பல் துலக்குகிறேன்.
双	ஜோடி	நான் ஒரு ஜோடி தோல் காலணி வாங்கினேன்.
水平	நிலை; திறன்	அவருடைய சீன மொழி நிலை உயர்ந்தது.
司机	ஓட்டுநர்	ஓட்டுநர் கதவின் அருகில் நம்மை காத்திருக்கிறார்.
太阳	சூரியன்	இன்று வெயில் மிகவும் கடுமையாக இருக்கிறது.
特别	குறிப்பாக; சிறப்பு	இந்த நிகழ்ச்சி குறிப்பாக சுவாரஸ்யமானது.
疼	வலித்தல்	என் பாதம் வலிக்கிறது.
提高	மேம்படுத்துதல்; உயர்த்துதல்	அதிகமாக பயிற்சி செய்தால் சீன மொழி நிலையை மேம்படுத்தலாம்.
体育	விளையாட்டு; உடற்கல்வி	எனக்கு உடற்கல்வி வகுப்பு பிடிக்கும்.
甜	இனிப்பு	இந்த பானம் மிகவும் இனிப்பாக இருக்கிறது.
条	நீண்ட பொருட்களுக்கான அளவுச்சொல்; பட்டை	நான் ஒரு பாவாடை வாங்கினேன்.
同事	சக ஊழியர்	என் சக ஊழியர் மிகவும் பிஸியாக இருக்கிறார்.
同意	ஒப்புக்கொள்வது	உன் முடிவுக்கு நான் ஒப்புக்கொள்கிறேன்.
头发	முடி	அவளுடைய முடி நீளமாக இருக்கிறது.
突然	திடீரென்று	அவர் திடீரென்று வெளியேறினார்.
图书馆	நூலகம்	நூலகம் இன்று திறந்திருப்பதில்லை.
腿	கால்	மலை ஏறிய பிறகு என் கால்கள் வலிக்கின்றன.
完成	முடித்தல்	நான் வீட்டுப்பாடத்தை ஏற்கனவே முடித்துவிட்டேன்.
碗	கிண்ணம்	மேசையின் மேல் இரண்டு கிண்ணங்கள் உள்ளன.
万	பத்தாயிரம்	இந்த நகரத்தில் பத்தாயிரம் பேர் உள்ளனர்.
忘记	மறத்தல்	கடவுச்சீட்டை கொண்டு வர மறக்காதே.
为	காக; காரணமாக	நான் உனக்காக மகிழ்ச்சியாக இருக்கிறேன்.
为了	காக; நோக்கத்திற்காக	தேர்வுக்காக அவள் தினமும் மீண்டும் படிக்கிறாள்.
位	மரியாதை அளவுச்சொல்	இந்த ஆசிரியர் மிகவும் பிரபலமானவர்.
文化	கலாச்சாரம்	நான் சீன கலாச்சாரத்தைப் புரிந்துகொள்ள விரும்புகிறேன்.
西	மேற்கு	வங்கி பள்ளியின் மேற்கில் உள்ளது.
习惯	பழக்கம்; பழகுதல்	நான் காலை உடற்பயிற்சி செய்ய பழகியிருக்கிறேன்.
洗手间	கழிவறை	கழிவறை வலது பக்கத்தில் உள்ளது.
洗澡	குளித்தல்	மாலையில் நான் குளிக்கிறேன்.
夏	கோடைகாலம்	கோடைகாலம் மிகவும் வெப்பமாக இருக்கும்.
先	முதலில்	நீ முதலில் சாப்பிடு.
相信	நம்புதல்	அவர் வருவார் என்று நான் நம்புகிறேன்.
香蕉	வாழைப்பழம்	நான் மூன்று வாழைப்பழங்கள் வாங்கினேன்.
像	போல்; ஒத்திருக்கிறது	இந்த மேகம் ஒரு பறவை போல இருக்கிறது.
向	நோக்கி; திசை	தயவுசெய்து இடப்பக்கம் செல்லுங்கள்.
小心	கவனமாக இருத்தல்	மழை பெய்கிறது, வழியில் கவனமாக இரு.
校长	தலைமை ஆசிரியர்	தலைமை ஆசிரியர் அலுவலகத்தில் இருக்கிறார்.
新闻	செய்தி	அப்பா தினமும் செய்தி பார்க்கிறார்.
新鲜	புதிய; பசுமையான	இந்த பழம் மிகவும் பசுமையாக உள்ளது.
信用卡	கிரெடிட் கார்டு	நான் கிரெடிட் கார்டால் பணம் செலுத்தலாமா?
行李箱	பயணப்பெட்டி	என் பயணப்பெட்டி கனமாக உள்ளது.
熊猫	பாண்டா	குழந்தைகள் பாண்டாக்களை பார்க்க விரும்புகிறார்கள்.
需要	தேவைப்படுதல்	எனக்கு உன் உதவி தேவை.
选择	தேர்வு செய்தல்; தேர்வு	நீ எந்த சட்டையைத் தேர்வு செய்கிறாய்?
要求	கோருதல்; தேவைக்கூறு	ஆசிரியர் வீட்டுப்பாடத்தை கவனமாக செய்ய வேண்டும் என்று கோருகிறார்.
爷爷	தாத்தா	தாத்தா தினமும் பூங்காவிற்குச் செல்கிறார்.
一直	தொடர்ந்து; எப்போதும்	அவர் நீண்ட நேரமாக உன்னை காத்திருக்கிறார்.
一定	கண்டிப்பாக; நிச்சயமாக	நான் கண்டிப்பாக வருவேன்.
一共	மொத்தம்	இந்த புத்தகங்கள் மொத்தம் எவ்வளவு?
一会儿	சிறிது நேரம்	தயவுசெய்து என்னை சிறிது நேரம் காத்திரு.
一样	ஒரே; அதே	இந்த இரண்டு கோப்பைகளும் ஒரே அளவு.
以前	முன்பு	நான் முன்பு பெய்ஜிங்கில் வாழ்ந்தேன்.
一般	சாதாரண; சராசரி	இந்த உணவகத்தின் உணவு சாதாரணமாக உள்ளது.
一边	ஒரு பக்கம்; அதே சமயம்	அவள் இசை கேட்கும்போது வீட்டுப்பாடம் செய்கிறாள்.
音乐	இசை	எனக்கு சீன இசை பிடிக்கும்.
银行	வங்கி	வங்கி சூப்பர் மார்க்கெட்டின் அருகில் உள்ளது.
饮料	பானம்	இந்த பானத்தின் சுவை நல்லது.
应该	வேண்டும்	நீ இன்னும் அதிகமாக ஓய்வெடுக்க வேண்டும்.
影响	பாதிப்பு; பாதித்தல்	வானிலை போட்டியை பாதிக்கும்.
用	பயன்படுத்துதல்	வீட்டுப்பாடம் செய்ய நான் கணினியை பயன்படுத்துகிறேன்.
游戏	விளையாட்டு	குழந்தைகள் ஒரு விளையாட்டு விளையாடுகிறார்கள்.
有名	பிரபலமான	இந்த உணவகம் மிகவும் பிரபலமானது.
又	மீண்டும்	அவர் இன்று மீண்டும் தாமதமாக வந்தார்.
遇到	சந்தித்தல்; எதிர்கொள்ளுதல்	நான் தெருவில் ஆசிரியரை சந்தித்தேன்.
元	யுவான்	இந்த அகராதி ஐம்பது யுவான்.
愿意	விரும்புதல்; சம்மதித்தல்	நீங்கள் பங்கேற்க விரும்புகிறீர்களா?
月亮	நிலா	இன்றிரவு நிலா பிரகாசமாக இருக்கிறது.
越	எவ்வளவு அதிகம்... அவ்வளவு அதிகம்...	சீன மொழி எவ்வளவு அதிகம் கற்கிறேனோ, அவ்வளவு அதிகம் சுவாரஸ்யமாகிறது.
站	நிலையம்; நின்றிருத்தல்	அவர் கதவின் அருகில் நின்றிருக்கிறார்.
张	தட்டையான பொருட்களுக்கான அளவுச்சொல்	தயவுசெய்து எனக்கு ஒரு வரைபடம் கொடுங்கள்.
长	வளர்தல்	குழந்தைகள் விரைவாக வளர்கிறார்கள்.
着急	அவசரப்படுதல்; கவலைப்படுதல்	கவலைப்படாதே, மின்தூக்கி விரைவில் வரும்.
照顾	கவனித்துக் கொள்ளுதல்	அவள் நோயுள்ள பாட்டியை கவனித்துக் கொள்கிறாள்.
照片	புகைப்படம்	இந்த புகைப்படம் நன்றாக தெரிகிறது.
照相机	கேமரா	நான் கேமராவில் புகைப்படங்கள் எடுக்கிறேன்.
283:只	மட்டும்	நான் ஒரு கோப்பை தேநீர் மட்டுமே குடிக்கிறேன்.
284:只	விலங்குகளுக்கான அளவுச்சொல்	மேசையின் கீழ் ஒரு பூனை உள்ளது.
只有…才…	மட்டுமே... அப்போதுதான்...	கவனமாக மீண்டும் படித்தால் மட்டுமே தேர்வில் நல்ல முடிவு பெற முடியும்.
中间	நடுவில்	மேசை அறையின் நடுவில் உள்ளது.
中文	சீன மொழி; சீன எழுத்து	நான் தினமும் சீன மொழி கற்கிறேன்.
终于	இறுதியாக	நாங்கள் இறுதியாக வந்தோம்.
种	வகை	உனக்கு எந்த வகை பானம் பிடிக்கும்?
重要	முக்கியமான	கடவுச்சீட்டு மிகவும் முக்கியமானது.
周末	வார இறுதி	வார இறுதியில் நான் பூங்காவிற்குச் செல்ல விரும்புகிறேன்.
主要	முக்கிய; பிரதான	அவளுடைய முக்கிய பொழுதுபோக்கு இசை.
注意	கவனம் செலுத்துதல்	தயவுசெய்து ஆசிரியரிடம் கவனம் செலுத்துங்கள்.
自己	தான்; தனக்கு	நான் வீட்டுப்பாடத்தை நானே செய்ய விரும்புகிறேன்.
自行车	மிதிவண்டி	என் மிதிவண்டி கீழே உள்ளது.
