source_headword	UZ	example_UZ
trip	safar; sayohat	Safar ertaga boshlanadi.
trousers	shim	Mening shimim qora.
true	rost; haqiqiy	Bu hikoya rost.
try	urinmoq; tatib ko'rmoq	Bu choyni tatib ko'ring.
T-shirt	futbolka	Men futbolka kiyaman.
Tuesday	seshanba	Biz seshanba kuni uchrashamiz.
turn	burilmoq; navbat	Bu yerda chapga buriling.
TV	televizor	Televizor ovozi baland.
twelve	o'n ikki	Menda o'n ikkita ruchka bor.
twenty	yigirma	Bu yerda yigirma talaba bor.
twice	ikki marta	Men haftada ikki marta suzaman.
two	ikki	Ikki kishi kutyapti.
type	tur; yozmoq	Sizga qanday musiqa turi kerak?
umbrella	soyabon	Soyabon oling.
uncle	amaki; tog'a	Mening amakim mehribon.
under	ostida	Sumka stol ostida.
understand	tushunmoq	Men savolni tushunaman.
university	universitet	Universitet yaqin.
until	gacha	Soat beshgacha kuting.
up	yuqoriga; turmoq	Hozir o'rningizdan turing.
upstairs	yuqori qavatda	Mening xonam yuqori qavatda.
us	bizni; bizga	Iltimos, bizga yordam bering.
use	foydalanmoq; foydalanish	Bu ruchkadan foydalaning.
useful	foydali	Bu xarita foydali.
usually	odatda	Men odatda uyga piyoda boraman.
vacation	ta'til	Bizning ta'til ertaga boshlanadi.
vegetable	sabzavot	Sabzi sabzavot.
very	juda	Xona juda tinch.
video	video	Bu videoni ko'ring.
village	qishloq	Qishloq kichik.
visit	tashrif buyurmoq	Biz xolamiznikiga boramiz.
visitor	mehmon; tashrifchi	Mehmon tashqarida kutmoqda.
wait	kutmoq	Iltimos, shu yerda kuting.
waiter	ofitsiant	Ofitsiant choy olib keladi.
wake	uyg'onmoq; uyg'otmoq	Men ertalab erta uyg'onaman.
walk	yurmoq	Biz maktabga piyoda boramiz.
wall	devor	Devor oq.
want	xohlamoq; kerak	Menga suv kerak.
warm	iliq	Xona iliq.
wash	yuvmoq	Qo'llaringizni yuving.
watch	ko'rmoq; soat	Men televizor ko'raman.
water	suv; suv bermoq	Biroz suv iching.
way	yo'l; usul	Bu yo'l qisqa.
we	biz	Biz ingliz tilini o'rganamiz.
wear	kiymoq	Men kurtka kiyaman.
weather	ob-havo	Ob-havo sovuq.
website	veb-sayt	Bu veb-sayt foydali.
Wednesday	chorshanba	Dars chorshanba kuni boshlanadi.
week	hafta	Bu hafta band.
weekend	dam olish kunlari	Dam olish kunlari ertaga boshlanadi.
welcome	xush kelibsiz; kutib olmoq	Sinfimizga xush kelibsiz.
well	yaxshi	U yaxshi qo'shiq aytadi.
west	g'arb	Quyosh g'arbda botadi.
what	nima	Bu nima?
when	qachon	Siz qachon o'qiysiz?
where	qayerda	Bekat qayerda?
which	qaysi	Qaysi sumka sizniki?
white	oq	Devor oq.
who	kim	Bu kim?
why	nima uchun	Nega kech qoldingiz?
wife	xotin; rafiqa	Uning xotini o'qituvchi.
will modal	kelasi zamon yordamchi so'zi	Men sizga yordam beraman.
win	yutmoq	Bizning jamoa yutishi mumkin.
window	deraza	Derazani oching.
wine	vino; uzum sharobi	Bu vino qizil.
winter	qish	Bu yerda qish sovuq.
with	bilan	Men bilan keling.
without	siz	Shakarsiz choy yaxshi.
woman	ayol	Ayol kitob o'qiydi.
wonderful	ajoyib	Manzara ajoyib.
word	so'z	Bitta so'z yozing.
work	ishlamoq; ish	Men uyda ishlayman.
worker	ishchi; xodim	Xodim band.
world	dunyo	Dunyo katta.
would modal	istardim; qilardi	Men choy istardim.
write	yozmoq	Ismingizni yozing.
writer	yozuvchi	Yozuvchi shu yerda yashaydi.
writing	yozuv; qo'l yozuvi	Uning qo'l yozuvi aniq.
wrong	noto'g'ri	Bu javob noto'g'ri.
yeah	ha	Ha, men kela olaman.
year	yil	Bu yil yaxshi.
yellow	sariq	Banan sariq.
yes	ha	Ha, men tushundim.
yesterday	kecha	Men kecha qo'ng'iroq qildim.
you	sen; siz	Sen mening do'stimsan.
young	yosh	Bola yosh.
your	sening; sizning	Sening sumkang shu yerda.
yourself	o'zing; o'zingiz	Choyni o'zingiz oling.
