source_headword	AZ	example_AZ
tear1	cırmaq	Sənədi cırmayın.
tear2	göz yaşı	Onun yanağından bir damla göz yaşı süzüldü.
temporary	müvəqqəti	Ofis müvəqqəti bir sığınacaqdır.
therapy	terapiya	Fiziki terapiya onun sağalmasına kömək etdi.
threat	təhdid	Mesajda təhdid var idi.
threaten	təhdid etmək	Fırtına məhsulları təhdid edə bilər.
thus	beləliklə	Yol bağlı idi; beləliklə, biz gözlədik.
tone	ton	Onun tonu sakit səslənirdi.
tough	çətin	Müsahibə çətin keçdi.
transfer	köçürmək	Onlar hər gecə məlumatları köçürürlər.
transform	dəyişdirmək	Yeni siyasət xidmətləri dəyişdirəcək.
transition	keçid	Keçid bir neçə ay çəkdi.
trial	məhkəmə	Məhkəmə gələn həftə başlayır.
tropical	tropik	Burada tropik fırtınalar tez-tez baş verir.
truly	həqiqətən	Köməyinizi həqiqətən qiymətləndirirəm.
trust	inam	İnam yaratmaq üçün vaxt lazımdır.
tune	melodiya	Qrup şən bir melodiya ifa etdi.
tunnel	tunel	Tunel çayın altından keçir.
ultimately	nəticədə	Nəticədə plan uğurlu oldu.
unconscious	huşsuz	Xəstə huşsuz qaldı.
unexpected	gözlənilməz	Gecikmə gözlənilməz idi.
unique	unikal	Hər bir dizayn unikaldır.
universe	kainat	Kainat genişlənir.
unknown	naməlum	Ad naməlum olaraq qalır.
upper	yuxarı	Yuxarı rəf boşdur.
upwards	yuxarıya	Tüstü yuxarıya doğru qalxdı.
urban	şəhər	Şəhər ərazilərinin daha yaxşı nəqliyyata ehtiyacı var.
urge	israrla tövsiyə etmək	Həkimlər insanları idman etməyə çağırırlar.
vary	dəyişmək	Qiymətlər bölgəyə görə dəyişir.
vast	geniş	Səhra geniş bir ərazini əhatə edir.
venue	məkan	Məkan beş yüz nəfər tutur.
via	vasitəsilə	Sənədi e-poçt vasitəsilə göndərin.
victory	qələbə	Komanda qələbəsini qeyd etdi.
violence	zorakılıq	Şəhər siyasi zorakılıqdan əziyyət çəkdi.
virtual	virtual	İclas virtualdır.
vision	baxış	Onun baxışı şirkəti formalaşdırdı.
visual	vizual	Hesabata vizual nümunələr daxildir.
vital	həyati vacib	Su həyat üçün vacibdir.
vitamin	vitamin	Portağallarda C vitamini var.
volume	səs	Səsi azaldın.
wage	əməkhaqqı	İşçilər daha yüksək əməkhaqqı tələb etdilər.
weakness	zəiflik	Planın bir zəif cəhəti var.
wealth	sərvət	Onun sərvəti ticarətdən gəlib.
wealthy	varlı	Varlı ailə muzeyi maliyyələşdirdi.
whereas	halbuki	O çayı sevir, halbuki mən qəhvəyə üstünlük verirəm.
wherever	harada	Özünüzü rahat hiss etdiyiniz yerdə əyləşin.
whisper	pıçıldamaq	Xahiş edirəm, mərasim zamanı pıçıldayın.
whom	kimi	Kimi dəvət etdiniz?
widely	geniş	Kitab geniş oxunur.
wildlife	vəhşi təbiət	Park yerli vəhşi təbiəti qoruyur.
willing	hazır	O, kömək etməyə hazırdır.
wind2	dolamaq	Kabeli makaraya dolayın.
wire	məftil	Məftil iki cihazı birləşdirir.
wise	müdrik	Bu müdrik bir seçim idi.
witness	şahid	Şahid qəzanı təsvir etdi.
wound	yara	Yaranı diqqətlə təmizləyin.
wrap	bükmək	Hədiyyəni kağıza bükün.
zone	zona	Bu zona nəqliyyat üçün bağlıdır.
