source_headword	NE	example_NE
marriage	विवाह	उनीहरूको विवाह तीस वर्ष टिक्यो।
meanwhile	त्यसैबीच	त्यसैबीच मैले रातको खाना पकाएँ।
measure	नाप्नु	टेबुललाई ध्यानपूर्वक नाप।
medium	मध्यम	मैले मध्यम पिज्जा अर्डर गरेँ।
mental	मानसिक	तनावले मानसिक स्वास्थ्यलाई असर गर्छ।
mess	अव्यवस्था	यो अव्यवस्था सफा गर।
mild	हल्का	सूपको स्वाद हल्का छ।
mine (hole in the ground)	खानी	खानी गत वर्ष बन्द भयो।
mix	मिसाउनु	अण्डालाई दूधसँग मिसाऊ।
mixture	मिश्रण	मिश्रण गाढा भयो।
mood	मुड	संगीतले उनको मुड बदल्यो।
mud	हिलो	उनका जुत्ता हिलोले ढाकिएका थिए।
murder	हत्या	हत्या राति भयो।
muscle	मांसपेशी	व्यायामले मांसपेशी बनाउँछ।
mystery	रहस्य	पुरानो घर एउटा रहस्य हो।
nail	नङ	मेरो एउटा नङ भाँचियो।
narrative	कथन	उपन्यासमा स्पष्ट कथन छ।
nation	राष्ट्र	पूरै राष्ट्रले उत्सव मनायो।
native	मातृ	स्पेनी उनको मातृ भाषा हो।
naturally	स्वाभाविक रूपमा	बालबालिका खेलमार्फत स्वाभाविक रूपमा सिक्छन्।
necessarily	अनिवार्य रूपमा	महँगो खाना अनिवार्य रूपमा राम्रो हुँदैन।
needle	सुई	सुई धेरै तीखो छ।
neighbourhood	छिमेक	उनीहरू शान्त छिमेकमा बस्छन्।
net	जाल	माछा मार्नेले आफ्नो जाल मर्मत गर्‍यो।
nor	न त	उनले न त मुस्कुराए न बोले।
northern	उत्तरी	उनीहरूले उत्तरी तट भ्रमण गरे।
nuclear	आणविक	बहस आणविक ऊर्जाबारे थियो।
obvious	स्पष्ट	जवाफ स्पष्ट थियो।
obviously	स्पष्ट रूपमा	स्पष्ट रूपमा हामीलाई अझ समय चाहिन्छ।
occasion	अवसर	यो विशेष अवसर हो।
occur	घट्नु	दुर्घटना जहाँसुकै घट्न सक्छ।
odd	अनौठो	त्यो अनौठो प्रश्न थियो।
official	आधिकारिक	आधिकारिक नतिजा आज आयो।
old-fashioned	पुरानो शैलीको	उनको फोन पुरानो शैलीको देखिन्छ।
operation	शल्यक्रिया	शल्यक्रिया दुई घण्टा चल्यो।
organized	व्यवस्थित	उनको डेस्क धेरै व्यवस्थित छ।
organizer	आयोजक	आयोजकले पाहुनालाई स्वागत गरे।
originally	मूल रूपमा	उनी मूल रूपमा क्यानडाबाट आएकी थिइन्।
ought modal	गर्नु पर्छ	तिमीले आराम गर्नु पर्छ।
ours	हाम्रो	यो टेबुल हाम्रो हो।
outdoor	बाहिरी	हामीले बाहिरी फर्निचर किनेका थियौँ।
outdoors	बाहिर	बालबालिकाले बाहिर खेल्नु पर्छ।
package	प्याकेज	प्याकेज आज बिहान आइपुग्यो।
painful	पीडादायी	काटिएको घाउ पीडादायी थियो।
pale	फिक्का	उनको अनुहार फिक्का देखिन्थ्यो।
pan	प्यान	पहिले प्यान तताऊ।
participate	भाग लिनु	सबैले भाग लिन सक्छन्।
particularly	विशेष गरी	मलाई यो गीत विशेष गरी मन पर्छ।
passion	जोश	संगीत उनको जोश हो।
path	बाटो	पार्क हुँदै बाटो पछ्याऊ।
payment	भुक्तानी	भुक्तानी भोलि गर्नुपर्नेछ।
peaceful	शान्त	बगैँचा शान्त छ।
percentage	प्रतिशत	सानो प्रतिशतले सहमति जनायो।
perfectly	पूर्ण रूपमा	योजना पूर्ण रूपमा सफल भयो।
performance	प्रदर्शन	उनको प्रदर्शन उत्कृष्ट थियो।
personally	व्यक्तिगत रूपमा	व्यक्तिगत रूपमा मलाई चिया मन पर्छ।
persuade	मनाउनु	के तिमी उसलाई सामेल हुन मनाउन सक्छौ।
photographer	फोटोग्राफर	फोटोग्राफरले धेरै तस्बिर खिचे।
photography	फोटोग्राफी	फोटोग्राफी उनको मनपर्ने सोख हो।
pin	पिन	नक्सामा पिन राख।
pipe	पाइप	पाइपले पानी बोक्छ।
planning	योजना बनाउने काम	योजना बनाउने कामले समय लिन्छ।
pleasant	रमाइलो	हामीले रमाइलो साँझ बितायौँ।
pleasure	आनन्द	तिमीलाई भेट्नु आनन्द थियो।
plenty	प्रशस्त	हामीसँग प्रशस्त समय छ।
plot	कथानक	कथानक पछ्याउन सजिलो थियो।
plus1	जोड	दुई जोड तीन पाँच हुन्छ।
poem	कविता	उनले छोटो कविता लेखिन्।
poet	कवि	कविले ठूलो स्वरमा पढे।
poetry	कविता	उनी आधुनिक कविता मन पराउँछन्।
poison	विष	विषलाई बालबालिकाबाट टाढा राख।
poisonous	विषालु	केही च्याउ विषालु हुन्छन्।
policy	नीति	कम्पनीले आफ्नो नीति परिवर्तन गर्‍यो।
political	राजनीतिक	भाषण राजनीतिक थियो।
politician	राजनीतिज्ञ	राजनीतिज्ञले प्रश्नहरूको जवाफ दिए।
politics	राजनीति	राजनीति जटिल हुन सक्छ।
port	बन्दरगाह	जहाज बन्दरगाहमा प्रवेश गर्‍यो।
portrait	चित्र	चित्र हलमा झुन्डिएको छ।
possibly	सायद	उनी सायद ढिलो आइपुग्नेछिन्।
pot	गमला	बिरुवालाई ठूलो गमला चाहिन्छ।
pour	खन्याउनु	दूध बिस्तारै खन्याऊ।
poverty	गरिबी	धेरै परिवार गरिबीमा बस्छन्।
powder	धुलो	धुलोलाई पानीमा थप।
powerful	शक्तिशाली	इन्जिन शक्तिशाली छ।
practical	व्यावहारिक	यो व्यावहारिक समाधान हो।
pray	प्रार्थना गर्नु	उनीहरू हरेक बिहान प्रार्थना गर्छन्।
prayer	प्रार्थना	उनले शान्त प्रार्थना भनिन्।
prediction	भविष्यवाणी	उनको भविष्यवाणी सही थियो।
prepared	तयार	म परीक्षाका लागि तयार छु।
presentation	प्रस्तुति	उनको प्रस्तुति स्पष्ट थियो।
press	थिच्नु	बटन एकपटक थिच।
pressure	दबाब	दबाबले स्वास्थ्यलाई असर गर्न सक्छ।
pretend	नाटक गर्नु	सुतिरहेको नाटक नगर।
previous	अघिल्लो	अघिल्लो पाठ सजिलो थियो।
previously	पहिले	हामी पहिले रोममा बस्थ्यौँ।
priest	पुजारी	पुजारीले नरम स्वरमा बोले।
primary	प्राथमिक	स्वास्थ्य हाम्रो प्राथमिक चिन्ता हो।
prince	राजकुमार	राजकुमार विद्यालय गए।
princess	राजकुमारी	राजकुमारीले निलो पोशाक लगाइन्।
printing	मुद्रण	रिपोर्ट मुद्रण गर्न केही मिनेट लाग्यो।
prisoner	कैदी	कैदी राति भाग्यो।
private	निजी	यो निजी कुराकानी हो।
producer	निर्माता	निर्मातालाई फिल्म मन पर्‍यो।
production	उत्पादन	उत्पादन अर्को हप्ता सुरु हुन्छ।
profession	पेशा	शिक्षण सम्मानित पेशा हो।
profit	नाफा	पसलले नाफा कमायो।
promote	प्रवर्धन गर्नु	उनीहरू स्वस्थ खानालाई प्रवर्धन गर्छन्।
proper	उचित	हाइकिङका लागि उचित जुत्ता लगाऊ।
properly	ठीकसँग	ढोका ठीकसँग बन्द गर।
property	सम्पत्ति	उनीहरूले नदी नजिक सम्पत्ति किने।
protest	विरोध	विरोध शान्तिपूर्वक सकियो।
proud	गर्वित	उनी आफ्नो छोरामा गर्वित थिइन्।
prove	साबित गर्नु	के तिमी आफ्नो जवाफ साबित गर्न सक्छौ।
punish	सजाय दिनु	शिक्षकले उनलाई सजाय दिएनन्।
punishment	सजाय	सजाय न्यायोचित जस्तो लाग्यो।
qualification	योग्यता	यस कामका लागि योग्यता चाहिन्छ।
qualified	योग्य	उनी योग्य नर्स हुन्।
qualify	योग्य हुनु	हाम्रो टोली योग्य हुन सक्छ।
queue	लाइन	हामी लामो लाइनमा कुर्‍यौँ।
quit	छोड्नु	उनले धूम्रपान छोड्ने निर्णय गरे।
quotation	उद्धरण	निबन्ध उद्धरणबाट सुरु हुन्छ।
quote	उद्धृत गर्नु	के म तिम्रा शब्द उद्धृत गर्न सक्छु।
race (people)	जाति	फारमले जातिबारे सोध्छ।
racing	दौड	त्यहाँ घोडा दौड लोकप्रिय छ।
range	दायरा	पसलले फराकिलो दायरा बेच्छ।
rare	दुर्लभ	यो चरा दुर्लभ छ।
rarely	विरलै	हामी विरलै बाहिर खान्छौँ।
reaction	प्रतिक्रिया	उनको प्रतिक्रियाले मलाई अचम्मित बनायो।
reality	वास्तविकता	वास्तविकता उनको सपनाभन्दा फरक थियो।
receipt	रसिद	रसिद राख।
recommendation	सिफारिस	सिफारिसका लागि धन्यवाद।
reference	सन्दर्भ	अन्त्यमा सन्दर्भ थप।
reflect	प्रतिबिम्बित गर्नु	ऐनाले प्रकाश प्रतिबिम्बित गर्न सक्छ।
regularly	नियमित रूपमा	उनी नियमित रूपमा व्यायाम गर्छिन्।
reject	अस्वीकार गर्नु	उनीहरूले प्रस्ताव अस्वीकार गर्न सक्छन्।
relate	सम्बन्धित हुनु	म त्यो कथासँग सम्बन्धित हुन सक्छु।
related	सम्बन्धित	दुई समस्या सम्बन्धित छन्।
relation	सम्बन्ध	उनीहरूबीच सम्बन्ध छ।
relative	सापेक्ष	गति सापेक्ष हुन्छ।
relaxed	आरामदायी	रातको खानापछि उनी आरामदायी महसुस गरे।
relaxing	आरामदायी	संगीत आरामदायी थियो।
release	रिलिज गर्नु	उनीहरूले फिल्म छिट्टै रिलिज गर्नेछन्।
reliable	विश्वसनीय	यो बस सामान्यतया विश्वसनीय छ।
religion	धर्म	धर्म उनको लागि महत्त्वपूर्ण छ।
religious	धार्मिक	उनीहरूले धार्मिक भवन भ्रमण गरे।
remain	रहनु	कृपया शान्त रहनुहोस्।
remind	सम्झाउनु	मलाई भोलि सम्झाऊ।
remote	टाढाको	उनीहरू टाढाको गाउँमा बस्छन्।
rent	भाडा	भाडा आज तिर्नुपर्नेछ।
repeated	दोहोरिएको	दोहोरिएका गल्तीले काम ढिलो बनायो।
represent	प्रतिनिधित्व गर्नु	ताराले आशाको प्रतिनिधित्व गर्छ।
require	आवश्यक पर्नु	यो कामले तालिम आवश्यक पार्नेछ।
reservation	आरक्षण	मैले आरक्षण गरेँ।
resource	स्रोत	पुस्तकालय उपयोगी स्रोत हो।
respect	सम्मान	आफ्ना सहपाठीलाई सम्मान गर।
responsibility	जिम्मेवारी	बाल हेरचाह ठूलो जिम्मेवारी हो।
responsible	जिम्मेवार	उनी टिकटहरूको लागि जिम्मेवार छिन्।
retire	अवकाश लिनु	मेरो बुबा छिट्टै अवकाश लिनुहुनेछ।
retired	अवकाशप्राप्त	उनी अवकाशप्राप्त शिक्षक हुन्।
revise	परिमार्जन गर्नु	आज राति आफ्नो निबन्ध परिमार्जन गर।
risk	जोखिम	वर्षाको जोखिम छ।
robot	रोबोट	रोबोटले भुइँ सफा गर्‍यो।
roll	गुडाउनु	बल मलाई गुडाऊ।
romantic	रोमान्टिक	उनीहरूले रोमान्टिक रातको खाना खाए।
rope	डोरी	डोरी कसिलो बाँध।
rough	खस्रो	सडक खस्रो थियो।
row1	पङ्क्ति	अगाडिको पङ्क्तिमा बस।
royal	राजकीय	राजकीय परिवार आइपुग्यो।
rugby	रग्बी	हामीले टेलिभिजनमा रग्बी हेर्‍यौँ।
safety	सुरक्षा	काममा सुरक्षा महत्त्वपूर्ण छ।
sailor	नाविक	नाविकले डुङ्गा मर्मत गर्‍यो।
sample	नमूना	नर्सले रगतको नमूना लिइन्।
sand	बालुवा	बालुवाले मेरा जुत्ता ढाक्यो।
scan	स्क्यान गर्नु	पहिले कागजात स्क्यान गर।
scientific	वैज्ञानिक	यो वैज्ञानिक विधि हो।
script	पटकथा	अभिनेताले पटकथा पढे।
sculpture	मूर्ति	मूर्ति बाहिर उभिएको छ।
secondary	दोस्रो	यो दोस्रो समस्या हो।
security	सुरक्षा	सुरक्षाले हाम्रो झोला जाँच्यो।
seed	बीउ	बीउ माटोमा रोप।
sensible	समझदार	त्यो समझदार विचार हो।
seriously	गम्भीर रूपमा	यो समस्या गम्भीर रूपमा लेऊ।
servant	नोकर	नोकरले ढोका खोल्यो।
set (put)	राख्नु	गिलासलाई टेबुलमा राख।
set (group)	सेट	यो सेटमा छ कप छन्।
setting	पृष्ठभूमि	कथाको पृष्ठभूमि शहर हो।
sex	लिङ्ग	फारमले उमेर र लिङ्ग सोध्छ।
sexual	यौन	कक्षाले यौन स्वास्थ्यबारे छलफल गर्‍यो।
sharp	तीखो	यो चक्कु तीखो छ।
shelf	तख्ता	किताब तख्तामा राख।
shell	खोल	खोल खाली थियो।
shift	कामको पालो	मेरो कामको पालो आठ बजे सुरु हुन्छ।
shine	चम्किनु	ताराहरू राति चम्किन्छन्।
shiny	चम्किलो	उनका जुत्ता चम्किला छन्।
shoot	खिच्नु	फोटोग्राफरले दृश्य खिच्नेछ।
shy	लजालु	उनी अपरिचितहरूसँग लजालु छन्।
sight	दृश्य	पहाड सुन्दर दृश्य थियो।
signal	संकेत	संकेत कमजोर थियो।
silent	मौन	कोठा मौन भयो।
silly	मूर्ख	त्यो मूर्ख गल्ती थियो।
similarity	समानता	स्पष्ट समानता छ।
similarly	त्यसैगरी	दोस्रो योजना त्यसैगरी काम गर्छ।
simply	साधारण रूपमा	साधारण रूपमा यो बटन थिच।
sink	डुब्नु	गह्रुंगा ढुंगा छिट्टै डुब्छन्।
slice	टुक्रा	मैले केकको एक टुक्रा खाएँ।
slightly	अलिकति	कोठा अलिकति तातो छ।
smart	स्मार्ट	उनले स्मार्ट ज्याकेट लगाइन्।
smooth	चिल्लो	सडक चिल्लो छ।
software	सफ्टवेयर	सफ्टवेयरलाई अपडेट चाहिन्छ।
soil	माटो	माटो सुक्खा छ।
solid	ठोस	भित्ता ठोस छ।
southern	दक्षिणी	उनीहरू दक्षिणी तटमा बस्छन्।
specifically	विशेष रूपमा	मैले विशेष रूपमा चिया मागेँ।
spending	खर्च	सरकारी खर्च बढ्यो।
spicy	मसालेदार	यो करी मसालेदार छ।
spirit	भावना	टोलीले ठूलो भावना देखायो।
spoken	बोलिने	बोलिने अंग्रेजी अभ्याससँग सुध्रिन्छ।
spot	ठाउँ	यो ठाउँ उत्तम छ।
spread	लगाउनु	रोटीमा बटर लगाऊ।
stadium	रङ्गशाला	रङ्गशाला भरिएको थियो।
staff	कर्मचारी	कर्मचारी सहयोगी थिए।
standard	मापदण्ड	मापदण्ड उच्च थियो।
statistic	तथ्याङ्क	यो तथ्याङ्क अचम्मको छ।
statue	प्रतिमा	प्रतिमा चोकमा उभिएको छ।
stick (push into/attach)	टाँस्नु	लेबललाई बक्समा टाँस।
stick (piece of wood)	लट्ठी	उनले एउटा लट्ठी उठाए।
