source_headword	SV	example_SV
mainly	främst	Gruppen består främst av studenter.
mall	ett köpcentrum	Vi träffades i köpcentrumet.
management	ledning	Bra ledning sparar tid.
marketing	marknadsföring	Marknadsföring hjälper till att sälja produkten.
marriage	ett äktenskap	Deras äktenskap varade i trettio år.
meanwhile	under tiden	Jag lagade middag under tiden.
measure	mäta	Mät bordet noggrant.
medium	medelstor	Jag beställde en medelstor pizza.
mental	mental	Stress påverkar mental hälsa.
mess	en röra	Städa upp den här röran.
mild	mild	Soppan har en mild smak.
mine (hole in the ground)	en gruva	Gruvan stängde förra året.
mix	blanda	Blanda äggen med mjölk.
mixture	en blandning	Blandningen blev tjock.
mood	humör	Musik förändrade hennes humör.
mud	lera	Hans skor var täckta av lera.
murder	ett mord	Mordet hände på natten.
muscle	en muskel	Träning bygger muskler.
mystery	ett mysterium	Det gamla huset är ett mysterium.
nail	en nagel	Jag bröt en nagel.
narrative	en berättelse	Romanen har en tydlig berättelse.
nation	en nation	Hela nationen firade.
native	modersmål	Spanska är hennes modersmål.
naturally	naturligt	Barn lär sig naturligt genom lek.
necessarily	nödvändigtvis	Dyr mat är inte nödvändigtvis bättre.
needle	en nål	Nålen är mycket vass.
neighbourhood	ett grannskap	De bor i ett lugnt grannskap.
net	ett nät	Fiskaren lagade sitt nät.
nor	inte heller	Han varken log eller talade.
northern	nordlig	De besökte den nordliga kusten.
nuclear	nukleär	Debatten handlade om kärnkraft.
obvious	uppenbar	Svaret var uppenbart.
obviously	uppenbarligen	Uppenbarligen behöver vi mer tid.
occasion	ett tillfälle	Detta är ett särskilt tillfälle.
occur	inträffa	Olyckor kan inträffa var som helst.
odd	konstig	Det var en konstig fråga.
official	officiell	Det officiella resultatet kom idag.
old-fashioned	gammaldags	Hennes telefon ser gammaldags ut.
operation	en operation	Operationen varade i två timmar.
organized	organiserad	Hennes skrivbord är mycket organiserat.
organizer	en arrangör	Arrangören välkomnade gästerna.
originally	ursprungligen	Hon kom ursprungligen från Kanada.
ought modal	borde	Du borde vila.
ours	vårt	Det här bordet är vårt.
outdoor	utomhus	Vi köpte utomhusmöbler.
outdoors	utomhus	Barn bör leka utomhus.
package	ett paket	Paketet kom i morse.
painful	smärtfullt	Skäret var smärtfullt.
pale	blek	Hans ansikte såg blekt ut.
pan	en panna	Värm pannan först.
participate	delta	Alla kan delta.
particularly	särskilt	Jag gillar särskilt den här låten.
passion	en passion	Musik är hennes passion.
path	en stig	Följ stigen genom parken.
payment	en betalning	Betalningen ska ske imorgon.
peaceful	fridfull	Trädgården är fridfull.
percentage	en procentandel	En liten procentandel höll med.
perfectly	perfekt	Planen fungerade perfekt.
performance	ett framträdande	Hennes framträdande var utmärkt.
personally	personligen	Jag föredrar personligen te.
persuade	övertala	Kan du övertala honom att gå med?
photographer	en fotograf	Fotografen tog många bilder.
photography	fotografering	Fotografering är hans favorithobby.
pin	en nål	Sätt en nål på kartan.
pipe	ett rör	Röret leder vatten.
planning	planering	Planering tar tid.
pleasant	trevlig	Vi hade en trevlig kväll.
pleasure	ett nöje	Det var ett nöje att träffa dig.
plenty	gott om	Vi har gott om tid.
plot	en handling	Handlingen var lätt att följa.
plus1	plus	Två plus tre är fem.
poem	en dikt	Hon skrev en kort dikt.
poet	en poet	Poeten läste högt.
poetry	poesi	Han tycker om modern poesi.
poison	gift	Håll gift borta från barn.
poisonous	giftig	Vissa svampar är giftiga.
policy	en policy	Företaget ändrade sin policy.
political	politisk	Talet var politiskt.
politician	en politiker	Politikern svarade på frågor.
politics	politik	Politik kan vara komplicerat.
port	en hamn	Fartyget gick in i hamnen.
portrait	ett porträtt	Porträttet hänger i hallen.
possibly	kanske	Hon kommer kanske sent.
pot	en kruka	Växten behöver en större kruka.
pour	hälla	Häll mjölken långsamt.
poverty	fattigdom	Många familjer lever i fattigdom.
powder	pulver	Tillsätt pulvret i vatten.
powerful	kraftfull	Motorn är kraftfull.
practical	praktisk	Detta är en praktisk lösning.
pray	be	De ber varje morgon.
prayer	en bön	Hon bad en tyst bön.
prediction	en förutsägelse	Hans förutsägelse var korrekt.
prepared	förberedd	Jag är förberedd för provet.
presentation	en presentation	Hennes presentation var tydlig.
press	trycka	Tryck på knappen en gång.
pressure	press	Press kan påverka din hälsa.
pretend	låtsas	Låtsas inte att du sover.
previous	föregående	Den föregående lektionen var lättare.
previously	tidigare	Vi bodde tidigare i Rom.
priest	en präst	Prästen talade mjukt.
primary	främsta	Hälsa är vår främsta oro.
prince	en prins	Prinsen besökte skolan.
princess	en prinsessa	Prinsessan bar en blå klänning.
printing	utskrift	Utskriften av rapporten tog några minuter.
prisoner	en fånge	Fången rymde på natten.
private	privat	Detta är ett privat samtal.
producer	en producent	Producenten gillade filmen.
production	produktion	Produktionen börjar nästa vecka.
profession	ett yrke	Undervisning är ett respekterat yrke.
profit	en vinst	Butiken gjorde en vinst.
promote	främja	De främjar hälsosam kost.
proper	lämplig	Ha på dig lämpliga skor för vandring.
properly	ordentligt	Stäng dörren ordentligt.
property	en fastighet	De köpte en fastighet nära floden.
protest	en protest	Protesten slutade fredligt.
proud	stolt	Hon kände sig stolt över sin son.
prove	bevisa	Kan du bevisa ditt svar?
punish	straffa	Läraren straffade honom inte.
punishment	ett straff	Straffet verkade rättvist.
qualification	en kvalifikation	Du behöver en kvalifikation för det här jobbet.
qualified	kvalificerad	Hon är en kvalificerad sjuksköterska.
qualify	kvalificera sig	Vårt lag kan kvalificera sig.
queue	en kö	Vi väntade i en lång kö.
quit	sluta	Han bestämde sig för att sluta röka.
quotation	ett citat	Uppsatsen börjar med ett citat.
quote	citera	Får jag citera dina ord?
race (people)	etnicitet	Formuläret frågar om etnicitet.
racing	hästkapplöpning	Hästkapplöpning är populärt där.
range	ett sortiment	Butiken säljer ett brett sortiment.
rare	sällsynt	Den här fågeln är sällsynt.
rarely	sällan	Vi äter sällan ute.
reaction	en reaktion	Hennes reaktion överraskade mig.
reality	verklighet	Verkligheten var annorlunda än hans dröm.
receipt	ett kvitto	Spara kvittot.
recommendation	en rekommendation	Tack för rekommendationen.
reference	en referens	Lägg till en referens i slutet.
reflect	reflektera	Spegeln kan reflektera ljus.
regularly	regelbundet	Hon tränar regelbundet.
reject	avvisa	De kan avvisa erbjudandet.
relate	känna igen sig	Jag kan känna igen mig i den berättelsen.
related	relaterad	De två problemen är relaterade.
relation	en relation	Det finns en relation mellan dem.
relative	relativ	Hastighet är relativ.
relaxed	avslappnad	Han kände sig avslappnad efter middagen.
relaxing	avkopplande	Musiken var avkopplande.
release	släppa	De kommer att släppa filmen snart.
reliable	pålitlig	Den här bussen är oftast pålitlig.
religion	religion	Religion är viktig för henne.
religious	religiös	De besökte en religiös byggnad.
remain	förbli	Förbli lugn, tack.
remind	påminna	Påminn mig imorgon.
remote	avlägsen	De bor i en avlägsen by.
rent	hyra	Hyran ska betalas idag.
repeated	upprepad	Upprepade misstag saktade ner arbetet.
represent	stå för	Stjärnan står för hopp.
require	kräva	Det här jobbet kräver utbildning.
reservation	en reservation	Jag gjorde en reservation.
resource	en resurs	Biblioteket är en användbar resurs.
respect	respektera	Respektera dina klasskamrater.
responsibility	ansvar	Barnomsorg är ett stort ansvar.
responsible	ansvarig	Hon är ansvarig för biljetterna.
retire	gå i pension	Min far ska snart gå i pension.
retired	pensionerad	Han är en pensionerad lärare.
revise	revidera	Revidera din uppsats ikväll.
risk	risk	Det finns risk för regn.
robot	en robot	Roboten rengjorde golvet.
roll	rulla	Rulla bollen till mig.
romantic	romantisk	De hade en romantisk middag.
rope	ett rep	Knyt repet hårt.
rough	ojämn	Vägen var ojämn.
row1	en rad	Sitt på främsta raden.
royal	kunglig	Den kungliga familjen anlände.
rugby	rugby	Vi tittade på rugby på tv.
safety	säkerhet	Säkerhet är viktigt på jobbet.
sailor	en sjöman	Sjömannen lagade båten.
sample	ett prov	Sjuksköterskan tog ett blodprov.
sand	sand	Sand täckte mina skor.
scan	skanna	Skanna dokumentet först.
scientific	vetenskaplig	Detta är en vetenskaplig metod.
script	ett manus	Skådespelaren läste manuset.
sculpture	en skulptur	Skulpturen står utanför.
secondary	sekundär	Detta är ett sekundärt problem.
security	säkerhet	Säkerheten kontrollerade våra väskor.
seed	ett frö	Plantera fröet i jorden.
sensible	förnuftig	Det är en förnuftig idé.
seriously	allvarligt	Ta det här problemet allvarligt.
servant	en tjänare	Tjänaren öppnade dörren.
set (put)	ställa	Ställ glaset på bordet.
set (group)	ett set	Det här setet innehåller sex koppar.
setting	en miljö	Berättelsen har en stadsmiljö.
sex	kön	Formuläret frågar efter ålder och kön.
sexual	sexuell	Klassen diskuterade sexuell hälsa.
sharp	vass	Den här kniven är vass.
shelf	en hylla	Ställ boken på hyllan.
shell	ett skal	Skalet var tomt.
shift	ett pass	Mitt pass börjar klockan åtta.
shine	skina	Stjärnorna skiner på natten.
shiny	glänsande	Hennes skor är glänsande.
shoot	fotografera	Fotografen ska fotografera scenen.
shy	blyg	Han är blyg med främlingar.
sight	en syn	Berget var en vacker syn.
signal	en signal	Signalen var svag.
silent	tyst	Rummet blev tyst.
silly	dum	Det var ett dumt misstag.
similarity	en likhet	Det finns en tydlig likhet.
similarly	på liknande sätt	Den andra planen fungerar på liknande sätt.
simply	bara	Tryck bara på den här knappen.
sink	sjunka	Tunga stenar sjunker snabbt.
slice	en skiva	Jag åt en skiva kaka.
slightly	något	Rummet är något varmare.
smart	stilig	Hon bar en stilig jacka.
smooth	jämn	Vägen är jämn.
software	programvara	Programvaran behöver en uppdatering.
soil	jord	Jorden är torr.
solid	solid	Väggen är solid.
southern	sydlig	De bor på den sydliga kusten.
specifically	specifikt	Jag bad specifikt om te.
spending	utgifter	Statens utgifter ökade.
spicy	kryddstark	Den här curryn är kryddstark.
spirit	laganda	Laget visade stor laganda.
spoken	talad	Talad engelska förbättras med övning.
spot	en plats	Den här platsen är perfekt.
spread	breda	Bred smör på brödet.
stadium	en arena	Arenan var full.
staff	personal	Personalen var hjälpsam.
standard	standard	Standarden var hög.
statistic	statistik	Den här statistiken är överraskande.
statue	en staty	Statyn står på torget.
stick (push into/attach)	klistra	Klistra etiketten på lådan.
stick (piece of wood)	en pinne	Han plockade upp en pinne.
