simplified	HR	example_HR
辫子	pletenica	Djevojčica ima dvije pletenice.
遍布	biti rasprostranjen	Ta biljka rasprostranjena je po cijeloj zemlji.
标本	uzorak; preparat	U muzeju su izloženi životinjski preparati.
标记	oznaka; označiti	Molim te, označi važne odlomke.
标题	naslov	Naslov ovog članka vrlo je privlačan.
表决	glasovati; odlučiti glasanjem	Predstavnici će glasovati o prijedlogu.
表态	izjasniti se	On još nije javno iznio svoj stav.
表彰	pohvaliti; nagraditi	Tvrtka je pohvalila izvrsne zaposlenike.
憋	suzdržavati; potiskivati	Suzdržavao je smijeh i nije ništa rekao.
别墅	vila	Kupili su vilu u predgrađu.
别致	poseban; osebujan	Uređenje ovog kafića vrlo je osebujno.
别扭	neugodan; nespretan	Ova rečenica zvuči malo nespretno.
濒临	biti na rubu	Ta je životinja na rubu izumiranja.
冰雹	tuča	Jučer poslijepodne padala je jaka tuča.
丙	treći; grupa C	Utakmica skupine C počinje poslijepodne.
并非	nije zapravo	Stvari nisu onakve kako zamišljaš.
并列	biti izjednačen; stajati usporedno	Ta su dva projekta izjednačena na prvom mjestu.
剥削	iskorištavanje; izrabljivati	U starom društvu postojalo je teško izrabljivanje.
拨	birati; dodijeliti	Molim te, nazovi ovaj telefonski broj.
播种	sijati	Seljaci počinju sijati u proljeće.
波浪	val	Na moru su se podigli veliki valovi.
波涛	veliki valovi	Brod je napredovao kroz velike valove.
伯母	tetka	Za vikend idem posjetiti tetku.
博大精深	širok i dubok	Kineska kultura je široka i duboka.
博览会	izložba; sajam	Međunarodni sajam privukao je mnoge tvrtke.
搏斗	boriti se	Policija se borila s kriminalcem.
薄弱	slab	Njegovi gramatički temelji prilično su slabi.
不顾	bez obzira na	Uletio je unutra bez obzira na opasnost.
不愧	biti dostojan naziva	On doista zaslužuje naziv iskusnog stručnjaka.
不料	neočekivano	Neočekivano, sastanak je iznenada otkazan.
不像话	nečuven; neprihvatljiv	Tako se ponašati prema gostima zaista je nečuveno.
不屑一顾	prezirno odbaciti	Te je glasine prezirno odbacio.
哺乳	dojiti	Majka doji bebu.
捕捉	uhvatiti; zabilježiti	Fotograf je zabilježio sjajan trenutak.
补偿	nadoknaditi	Tvrtka će ti nadoknaditi gubitak.
补救	ispraviti; popraviti	Još imamo vremena to ispraviti.
补贴	subvencija; subvencionirati	Vlada daje subvencije obiteljima s niskim prihodima.
不得已	nemati izbora	Rodni je kraj napustio samo zato što nije imao izbora.
不妨	slobodno; ne bi škodilo	Slobodno prvo poslušaj njegovo objašnjenje.
不敢当	ne zaslužujem pohvalu	Kad me tako hvalite, stvarno to ne zaslužujem.
不禁	ne moći se suzdržati	Kad je čuo vijest, nije se mogao suzdržati od smijeha.
不堪	nepodnošljiv	Buka ovdje je nepodnošljiva.
不可思议	nevjerojatan	Ovaj rezultat je zaista nevjerojatan.
不免	neizbježan	Kad je prvi put izašao na pozornicu, neizbježno je bio malo nervozan.
不时	s vremena na vrijeme	S vremena na vrijeme podigao bi pogled prema satu.
不惜	ne žaliti; ne oklijevati	Da bi spasio čovjeka, nije oklijevao riskirati.
不相上下	podjednak	Dvije su ekipe podjednake snage.
不言而喻	samo po sebi razumljivo	Važnost poštenja sama je po sebi razumljiva.
不由得	ne moći a da ne	Kad sam vidio staru fotografiju, nisam mogao a da se ne sjetim djetinjstva.
不择手段	birati sva sredstva	Za zaradu se služi svim sredstvima.
不止	više od	Sastanku je prisustvovalo više od sto ljudi.
布告	obavijest	Na školskim vratima bila je zalijepljena obavijest.
布局	raspored	Raspored ovog stana vrlo je razuman.
布置	urediti; zadati	Učitelj je zadao novu domaću zadaću.
步伐	korak; tempo	Skupina je napredovala u urednim koracima.
部署	rasporediti; uvesti	Tvrtka uvodi novi prodajni plan.
部位	mjesto; dio	Liječnik je pregledao ozlijeđeno mjesto.
才干	sposobnost	Ona je vrlo sposobna u upravljanju.
裁缝	krojač	Ovaj krojač ima vrlo dobru vještinu.
裁判	sudac; suditi	Sudac je objavio prekid utakmice.
裁员	otpuštati zaposlenike	Tvrtka je zbog gubitaka odlučila otpuštati zaposlenike.
财富	bogatstvo	Znanje je također vrsta bogatstva.
财务	financije	Financijski odjel provjerava račune.
财政	javne financije	Fiskalni prihodi ove su godine donekle porasli.
彩票	listić lutrije	Povremeno kupi listić lutrije.
采购	nabavljati	Tvrtka je poslala nekoga da nabavi opremu.
采集	prikupljati	Istraživači su u šumi prikupljali uzorke.
采纳	prihvatiti; usvojiti	Vodstvo je prihvatilo naš prijedlog.
参谋	savjetnik; savjetovati	Često savjetuje menadžera.
参照	ravnati se prema	Molim te, ispuni obrazac prema ovom formatu.
残疾	invaliditet; invalidan	Ova stanica pruža pomoć putnicima s invaliditetom.
残酷	okrutan	Rat je vrlo okrutan.
残留	ostati; zaostao	U šalici je još ostao miris kave.
残忍	okrutan; nemilosrdan	Zlostavljanje životinja je okrutno ponašanje.
灿烂	blistav	Pokazala je blistav osmijeh.
仓促	ishitren	Ta je odluka donesena previše ishitreno.
仓库	skladište	Roba je već dostavljena u skladište.
舱	kabina	Putnici ulaze u kabinu.
苍白	blijed	Lice mu je izgledalo vrlo blijedo.
操劳	naporno raditi; brinuti se	Majka se godinama trudila za ovu obitelj.
操练	vježbati; izvoditi vojnu vježbu	Vojnici svako jutro vježbaju.
操纵	upravljati; kontrolirati	Ovim strojem upravlja računalo.
操作	rukovati; upravljati	Molimo rukujte opremom prema uputama.
嘈杂	bučan	Na kolodvoru je vrlo bučno.
草案	nacrt	Odbor raspravlja o nacrtu.
草率	nepažljiv; brzoplet	Tako važna odluka ne smije biti brzopleta.
侧面	strana; bočni pogled	Sa strane ova zgrada izgleda viša.
测量	mjeriti; izmjeriti	Inženjer mjeri duljinu mosta.
策划	planirati; osmisliti	Oni su planirali veliko događanje.
策略	strategija	Ova strategija pomogla je tvrtki smanjiti troškove.
层出不穷	pojavljivati se jedan za drugim	Novi problemi stalno se pojavljuju jedan za drugim.
层次	struktura; razina	Struktura ovog članka vrlo je jasna.
差别	razlika	Između te dvije metode nema velike razlike.
插座	utičnica	U ovoj sobi nema dovoljno utičnica.
查获	zaplijeniti; otkriti	Carina je zaplijenila pošiljku krivotvorene robe.
刹那	tren; trenutak	U trenu su se sva svjetla ugasila.
岔	račvati se; odvojak	Automobili su se razdvojili na raskrižju ispred.
诧异	začuđen; iznenađen	Njegova je odluka sve jako iznenadila.
柴油	dizelsko gorivo	Ovaj kamion koristi dizelsko gorivo.
搀	podupirati; pridržavati	Medicinska sestra pridržavala je stariju osobu dok je ulazila u bolesničku sobu.
缠绕	omotavati se; ispreplesti se	Vinova loza omotava se oko grana.
馋	žudjeti za hranom	Kad je vidjelo tortu, dijete je malo poželjelo jesti.
产业	industrija; gospodarska grana	Turizam je ovdje važna gospodarska grana.
阐述	obrazložiti; izložiti	Profesor je detaljno obrazložio svoje stajalište.
颤抖	drhtati	Bilo joj je toliko hladno da joj je cijelo tijelo drhtalo.
昌盛	prosperitetan	Nadamo se da će zemlja biti prosperitetna i snažna.
偿还	otplatiti; vratiti	Na vrijeme je otplatio zajam.
尝试	pokušati	Možemo pokušati novu metodu.
场合	prilika; situacija	U takvoj prilici nije prikladno šaliti se.
场面	prizor; scena	Prizor na vjenčanju bio je vrlo živahan.
场所	mjesto; prostor	Ovo je javni prostor, molimo ne pušite.
敞开	širom otvoriti	Molim te, ostavi prozor neko vrijeme širom otvoren.
倡导	zagovarati	Škola zagovara zdrav način života.
倡议	inicijativa; predložiti	Ova ekološka inicijativa dobila je podršku.
畅通	prohodan; nesmetan	Kad je kiša prestala, cesta je opet postala prohodna.
畅销	dobro se prodavati	Ovaj se roman vrlo dobro prodaje.
超越	nadmašiti; premašiti	Napokon je nadmašio vlastiti rekord.
钞票	novčanica	U novčaniku je ostalo samo nekoliko novčanica.
嘲笑	rugati se	Ne rugaj se tuđim manama.
巢穴	brlog; gnijezdo	Lovac je otkrio životinjski brlog.
朝代	dinastija	Dinastija Tang jedna je dinastija u kineskoj povijesti.
潮流	trend	Mladi pomno prate modne trendove.
撤退	povući se	Postrojbe su se povukle nakon što su primile zapovijed.
撤销	ukinuti; opozvati	Sud je ukinuo prvotnu presudu.
沉淀	taložiti se	Mulj će se polako istaložiti.
沉闷	sparan; potišten	Danas je vrijeme vruće i sparno.
沉思	duboko razmišljati	Sjedio je pokraj prozora duboko zamišljen.
沉重	težak; ozbiljan	Ova je vijest svima teško pala.
沉着	smiran; pribran	Kad se suočiš s opasnošću, treba ostati smiren.
陈旧	zastario	Ovaj je stroj već vrlo zastario.
陈列	izložiti; prikazati	U izložbenoj dvorani izloženi su mnogi kulturni predmeti.
陈述	izjaviti; iznijeti	Molim te, jasno iznesi činjenice.
称心如意	zadovoljavajući; po volji	Ovaj posao mu je vrlo zadovoljavajući.
衬托	istaknuti; naglasiti	Bijeli zid ističe boju cvijeća.
称号	titula; naziv	Dobio je titulu izvrsnog učitelja.
乘	voziti se; uzeti	Svaki dan idem podzemnom željeznicom na posao.
呈现	poprimiti; prikazati	Nebo je poprimilo blijedocrvenu boju.
城堡	dvorac	Na vrhu brda nalazi se stari dvorac.
惩罚	kazniti	Škola će kazniti učenike koji varaju.
成本	trošak	Poskupljenje sirovina povećalo je troškove.
成交	sklopiti posao	Taj je poslovni dogovor napokon sklopljen.
成天	cijeli dan	On cijeli dan sjedi pred računalom.
成效	učinak; rezultat	Nova metoda upravljanja brzo je pokazala rezultate.
成心	namjerno	Nije te namjerno doveo u neugodnu situaciju.
成员	član	Svaki član mora prisustvovati sastanku.
承办	organizirati; preuzeti	Ta je tvrtka organizirala izložbu.
承包	ugovoriti; preuzeti	Oni su ugovorili ovaj projekt.
承诺	obećati; obveza	Obećao je završiti zadatak na vrijeme.
橙	naranča	Kupio sam nekoliko svježih naranči.
澄清	razjasniti	Upravitelj je izašao razjasniti nesporazum.
盛	zagrabiti; napuniti	Ona je gostu natočila zdjelu juhe.
诚挚	iskren	Primite moju iskrenu zahvalnost.
秤	vaga	Ova vaga nije baš točna.
吃苦	podnositi teškoće	Mladi bi trebali naučiti podnositi teškoće.
吃力	naporan; zahtjevan	Premještanje ove kutije vrlo je naporno.
持久	trajan; dugotrajan	Uspjeh zahtijeva dugotrajan trud.
迟钝	spor; trom	Njegove su reakcije u posljednje vrijeme pomalo spore.
迟缓	spor	Nakon kiše promet je postao spor.
迟疑	oklijevati	Oklijevala je trenutak prije nego što je odgovorila.
赤道	ekvator	U blizini ekvatora vruće je tijekom cijele godine.
赤字	deficit	Tvrtka je ove godine ostvarila deficit.
充当	služiti kao; djelovati kao	U projektu je služio kao koordinator.
充沛	obilan; pun energije	Djeca su puna energije.
充实	ispunjen; obogatiti	Ovo je iskustvo učinilo moj život ispunjenijim.
充足	dovoljan; obilan	Prije putovanja treba pripremiti dovoljno vode.
冲动	impuls; nagao poriv	Ne donosi odluku zbog trenutnog impulsa.
冲击	udar; utjecaj	Nova tehnologija snažno je utjecala na tradicionalne industrije.
冲突	sukob	Obje su strane nastojale izbjeći sukob.
崇拜	diviti se; obožavati	Mnogi mladi dive se ovom znanstveniku.
崇高	uzvišen	Dužnost liječnika je uzvišena.
崇敬	duboko poštovati	Svi učenici duboko poštuju ovog učitelja.
重叠	preklapati se	Ta se dva zadatka djelomično preklapaju.
稠密	gust	Ovdje je stanovništvo vrlo gusto.
筹备	pripremati	Oni pripremaju vjenčanje.
丑恶	ružan; odvratan	Razotkrio je ružnu istinu iza tog događaja.
出路	izlaz; put naprijed	Obrazovanje mladima može pružiti više puteva naprijed.
出卖	izdati; prodati	On ne bi izdao prijatelje.
出身	podrijetlo	Podrijetlom je iz obične obitelji.
出神	zaneseno; zaokupljeno	Slušala je glazbu potpuno zaneseno.
出息	obećavajuća budućnost	Ovo će dijete daleko dogurati.
初步	preliminaran; početni	Već smo postigli preliminarni sporazum.
除	osim; ukloniti	Svi su stigli osim njega.
储备	rezerve; spremiti	Tvrtka mora rezervirati više sredstava.
储存	pohraniti	Ovi će se podaci automatski pohraniti.
储蓄	štedjeti; ušteđevina	Svakog mjeseca štedi dio plaće.
处分	disciplinska kazna	Škola mu je izrekla ozbiljnu disciplinsku kaznu.
处境	situacija; položaj	Njihova je trenutna situacija vrlo teška.
处置	postupiti s; zbrinuti	Ovu staru opremu treba pravilno zbrinuti.
触犯	prekršiti; povrijediti	Takav postupak prekršit će zakon.
川流不息	neprekidno teći; stalna struja	Vozila na ulici neprekidno prolaze.
穿越	proći kroz; prijeći	Vlak je prošao kroz dugi tunel.
传达	prenijeti; priopćiti	Molim te, prenesi ovu vijest svima.
传单	letak	Volonteri su dijelili letke na ulici.
传授	prenositi znanje; podučavati	Učitelj je učenicima prenosio iskustvo.
船舶	plovilo; brod	U luci je usidreno mnogo plovila.
喘气	dahtati; hvatati dah	Nakon trčanja stalno je dahtao.
串	nizati; nanizati	Nanizala je perle u ogrlicu.
床单	plahta	Molim te, promijeni plahtu.
创立	osnovati	Oni su zajedno osnovali ovu tvrtku.
创新	inovirati; inovacija	Razvoj poduzeća zahtijeva stalne inovacije.
创业	pokrenuti posao	Mnogi mladi odlučuju pokrenuti posao.
创作	stvarati; pisati	Pisac stvara dugi roman.
吹牛	hvalisati se	Ne hvali se, pokaži dokaze.
吹捧	pretjerano hvaliti	Mediji su pretjerano hvalili ovaj proizvod.
炊烟	dim iz kuhinje	Uvečer se iz sela dizao dim iz kuhinja.
垂直	okomit	Ove su dvije linije međusobno okomite.
锤	čekić	Radnik je čekićem udarao po željeznoj ploči.
纯粹	čisto; isključivo	Njegova pomoć bila je isključivo iz dobre namjere.
纯洁	čist	Dječje srce je vrlo čisto.
慈善	dobrotvoran	Ova tvrtka često sudjeluje u dobrotvornim aktivnostima.
慈祥	blag; dobroćudan	Bakin osmijeh bio je vrlo blag.
磁带	magnetska vrpca; kazeta	Ova stara kazeta još se može reproducirati.
雌雄	mužjak i ženka	Mužjak i ženka ove ptice imaju različite boje.
伺候	posluživati; njegovati	Medicinska sestra pažljivo je njegovala pacijenta.
刺	trn; ubosti	Na grani ruže ima mnogo trnova.
次品	neispravan proizvod	Ovi se neispravni proizvodi ne smiju prodavati.
次序	redoslijed	Molim vas, stanite u red prema redoslijedu.
丛	skupina; grm	Pokraj ceste raste skupina divljeg cvijeća.
从容	smiren; pribran	Smireno je odgovorila na pitanje.
凑合	snaći se; biti dovoljno dobro	Soba nije velika, ali može poslužiti za stanovanje.
粗鲁	grub	On govori previše grubo.
窜	jurnuti; šmugnuti	Ta je mačka odjednom šmugnula u kuću.
摧残	opustošiti; uništavati	Dugotrajno onečišćenje opustošit će ovu šumu.
脆弱	krhak	Stakleni proizvodi vrlo su krhki.
搓	trljati	Protrljao je hladne ruke.
磋商	pregovarati; savjetovati se	Obje će strane nastaviti pregovore.
挫折	neuspjeh; prepreka	Svatko će naići na prepreke.
搭	voziti se; napraviti	Autobusom idemo do zračne luke.
搭档	partner	On je moj dugogodišnji poslovni partner.
搭配	slagati se; kombinirati	Ovaj kaput i hlače dobro se slažu.
答辩	obrana; odgovaranje	Student poslijediplomskog studija priprema obranu rada.
答复	odgovoriti; odgovor	Molim te, daj mi odgovor što prije.
达成	postići	Obje su strane napokon postigle sporazum.
打包	spakirati; zamotati	Konobar nam je spakirao ostatke hrane.
打官司	ići na sud; voditi parnicu	Zbog problema s ugovorom išli su na sud.
打击	udarac; pogoditi	Taj mu je neuspjeh bio velik udarac.
打架	tući se	Učenici koji se tuku u kampusu bit će disciplinski kažnjeni.
打量	odmjeriti	Pogledala me od glave do pete.
打猎	loviti	Ovdje je lov zabranjen.
打仗	ratovati	Nitko ne želi ratovati.
大不了	u najgorem slučaju	U najgorem slučaju pokušat ćemo opet sutra.
大臣	ministar	Kralj je pozvao nekoliko ministara.
大伙儿	svi	Svi čekaju tvoju odluku.
大肆	na veliko; bez zadrške	Trgovac je na veliko promovirao novi proizvod.
大体	uglavnom; u osnovi	Plan je uglavnom u redu.
大意	glavna ideja	Molim te, prvo reci glavnu ideju ovog članka.
大致	otprilike; ugrubo	Otprilike razumijem što se dogodilo.
歹徒	kriminalac	Policija je brzo uhvatila kriminalca.
代价	cijena; trošak	Uspjeh često zahtijeva plaćanje cijene.
代理	zastupati; privremeno obavljati	On privremeno obavlja posao menadžera.
带领	voditi	Učitelj je poveo učenike u posjet muzeju.
怠慢	zanemariti; zapostaviti	Ne smijemo zanemariti goste.
逮捕	uhititi	Policija je uhitila glavnog osumnjičenika.
担保	jamčiti; jamstvo	Banka traži da netko pruži jamstvo.
胆怯	bojažljiv	Na svom prvom govoru bio je malo bojažljiv.
淡季	niska sezona	Avionske karte jeftinije su u turističkoj niskoj sezoni.
淡水	slatka voda	Ova riba može živjeti samo u slatkoj vodi.
蛋白质	protein	Jaja sadrže mnogo proteina.
诞辰	godišnjica rođenja	Danas je godišnjica rođenja ovog pisca.
诞生	roditi se	Ta se ideja rodila tijekom rasprave.
当场	na licu mjesta	Na licu mjesta priznao je pogrešku.
当初	u početku; tada	U početku smo svi podržavali ovu odluku.
当代	suvremen	Suvremeno se društvo vrlo brzo mijenja.
当面	licem u lice	Probleme je najbolje jasno objasniti licem u lice.
当前	trenutan; sadašnji	Trenutno je najvažnije zajamčiti sigurnost.
当事人	uključena osoba	Policija ispituje uključenu osobu.
当务之急	najhitniji prioritet	Rješavanje stambenog problema najhitniji je prioritet.
当选	biti izabran	Uspješno je izabrana za predsjednicu.
党	stranka	Ova je stranka predložila novu politiku.
档案	dosje; evidencija	Škola je čuvala evidenciju učenika.
档次	razina; klasa	Ovaj je hotel visoke klase.
倒闭	propasti; zatvoriti se	Ta se mala trgovina zatvorila prošle godine.
导弹	projektil	Vijesti su izvijestile o testiranju projektila.
导航	navigacija	Molim te, uključi navigaciju na telefonu.
导向	orijentacija; usmjerenost	Obrazovna politika trebala bi biti usmjerena prema pravednosti.
捣乱	praviti probleme	Molim te, nemoj praviti probleme na satu.
盗窃	krađa; krasti	Trgovački centar pojačao je mjere za sprečavanje krađe.
稻谷	riža u zrnu	Poljoprivrednici žanju rižu.
得不偿失	ne isplatiti se	Kupnja loših materijala radi uštede ne isplati se.
得力	sposoban	On je sposoban pomoćnik menadžera.
得天独厚	iznimno povoljan; obdaren	Ovaj grad ima iznimno povoljne zemljopisne prednosti.
得罪	uvrijediti	Ne želim uvrijediti kolege zbog sitnice.
灯笼	fenjer	Za Proljetni festival na ulazu vise crveni fenjeri.
登录	prijaviti se	Prvo se prijavi na svoj račun.
登陆	iskrcati se; doći do kopna	Tajfun bi večeras mogao pogoditi obalno područje.
蹬	odgurnuti nogom	Snažno se odgurnuo nogom i bicikl se pokrenuo.
等候	čekati	Putnici čekaju u dvorani ukrcaj.
等级	razina	Ovaj softver ima različite razine članstva.
瞪	strijeljati pogledom	Ljutito me strijeljao pogledom.
堤坝	brana	Branu treba pažljivo pregledati nakon jake kiše.
敌视	neprijateljski gledati	Ne bismo trebali neprijateljski gledati na drukčija mišljenja.
抵达	stići	Zrakoplov je na vrijeme stigao u Peking.
抵抗	odupirati se	Seljani su se zajedno odupirali poplavi.
抵制	bojkotirati; odbijati	Potrošači su počeli bojkotirati nekvalitetne proizvode.
地步	stanje; mjera	Stvar još nije došla do tako ozbiljne mjere.
地势	teren	Ovdje je teren viši, pa se voda ne nakuplja lako.
地质	geologija	Stručnjaci istražuju lokalne geološke uvjete.
递增	postupno rasti	Prodaja je rasla tri mjeseca zaredom.
颠簸	trzati se; biti neravan	Planinska cesta je vrlo neravna, zato vozi oprezno.
颠倒	preokrenuti	Zamijenio si redoslijed dvaju brojeva.
典礼	svečanost	Svečanost dodjele diploma održat će se u auli.
典型	tipičan	Ovo je tipičan primjer uspjeha.
点缀	ukrasiti	Nekoliko malih cvjetova ukrašavalo je blagovaonski stol.
垫	podložiti; podloga	Molim te, stavi ovaj papir ispod čaše kao podlogu.
奠定	postaviti temelje	Ova je suradnja postavila temelje dugoročnog odnosa.
惦记	brinuti se; misliti s brigom	Majka se stalno brine za dijete koje je daleko.
电源	izvor napajanja	Prije izlaska isključi napajanje.
叼	držati u ustima	Taj pas drži kost u ustima.
雕刻	rezbariti; urezivati	Voli rezbariti uzorke u drvu.
雕塑	skulptura	U središtu trga nalazi se skulptura.
