source_headword	ES	example_ES
sir	señor	Señor, su bolsa está lista.
site	el sitio	Este sitio es seguro.
size	el tamaño	¿Qué tamaño necesitas?
ski	esquiar; el esquí	Esquiamos en invierno.
skiing	el esquí	Esquiar es divertido en invierno.
skin	la piel	Su piel está seca.
sky	el cielo	El cielo está despejado.
slowly	lentamente	Camina lentamente sobre el hielo.
smartphone	el teléfono inteligente	Mi teléfono inteligente es nuevo.
smell	oler; el olor	La sopa huele bien.
smile	sonreír; la sonrisa	Sonríe para la cámara.
smoke	el humo; fumar	El humo llenó la habitación.
smoking	fumar; el tabaquismo	Está prohibido fumar.
soap	el jabón	Usa jabón y agua.
soccer	el fútbol	El fútbol es popular aquí.
social	social	Este es un evento social.
society	la sociedad	La sociedad cambia con el tiempo.
sock	el calcetín	Falta un calcetín.
soft	suave	Esta manta es suave.
soldier	el soldado; la soldado	El soldado volvió a casa.
solution	la solución	Encontramos una solución.
solve	resolver	Resuelve este rompecabezas.
somewhere	en algún lugar	Ponlo en algún lugar seguro.
sort	el tipo; clasificar	¿Qué tipo quieres?
source	la fuente	Revisa la fuente primero.
speaker	el altavoz; el orador	El altavoz estaba fuerte.
specific	específico	Necesito una respuesta específica.
speech	el discurso	Su discurso fue corto.
speed	la velocidad	Reduce la velocidad aquí.
spider	la araña	Hay una araña en la pared.
spoon	la cuchara	Usa una cuchara para la sopa.
square	cuadrado; la plaza	Dibuja una caja cuadrada.
stage	el escenario; la etapa	La banda está en el escenario.
stair	el escalón	El escalón está roto.
stamp	el sello; la estampilla	Pon una estampilla en la carta.
state	el estado; declarar	Di tu nombre claramente.
steal	robar	No robes dinero.
step	el paso; el escalón	Da un paso adelante.
stomach	el estómago	Me duele el estómago.
stone	la piedra	La piedra es pesada.
store	la tienda; guardar	La tienda cierra temprano.
storm	la tormenta	Se acerca una tormenta.
straight	recto; directamente	Ve directamente a casa.
strange	extraño	Ese sonido es extraño.
strategy	la estrategia	Necesitamos una estrategia.
stress	el estrés	El trabajo puede causar estrés.
structure	la estructura	Esta estructura es fuerte.
stupid	tonto	Ese fue un error tonto.
succeed	tener éxito	Puedes tener éxito aquí.
successful	exitoso	Ella llegó a ser exitosa.
such	tal	Tal ayuda es útil.
suddenly	de repente	De repente, el perro salió corriendo.
suggest	sugerir	Sugiero un descanso corto.
suggestion	la sugerencia	Tu sugerencia es útil.
suit	el traje; quedar bien	Este traje es caro.
support	apoyar; el apoyo	Apoyamos a nuestro equipo.
suppose	suponer	Supongo que tienes razón.
surprise	la sorpresa; sorprender	La sorpresa la hizo feliz.
surprised	sorprendido	Ella estaba sorprendida hoy.
surprising	sorprendente	El resultado fue sorprendente.
survey	la encuesta	Por favor, completa la encuesta.
sweet	dulce	Este té está dulce.
symbol	el símbolo	Este símbolo significa peligro.
system	el sistema	El sistema funciona bien.
tablet	la tableta	Mi tableta está en el escritorio.
target	el objetivo; la diana	Golpea el objetivo con cuidado.
task	la tarea	Esta tarea es fácil.
taste	el sabor; probar	Prueba la sopa primero.
teaching	la enseñanza	La enseñanza es un trabajo difícil.
technology	la tecnología	La tecnología cambia rápidamente.
teenage	adolescente	Mi hermano adolescente estudia mucho.
temperature	la temperatura	La temperatura es baja.
term	el término; el semestre	Este semestre termina pronto.
themselves	ellos mismos; ellas mismas	Ellos mismos prepararon la cena.
thick	grueso	Este libro es grueso.
thief	el ladrón; la ladrona	El ladrón salió corriendo.
thin	delgado; fino	El papel es fino.
thinking	el pensamiento	Pensar lleva tiempo.
thought	el pensamiento	Tuve un pensamiento extraño.
throw	lanzar	Lanza la pelota suavemente.
tidy	ordenado; ordenar	Mantén tu cuarto ordenado.
tie	atar; la corbata	Átate los zapatos ahora.
tip	la propina; el consejo	Deja propina por el servicio.
tool	la herramienta	Usa la herramienta correcta.
top	la parte superior; superior	El estante superior está lleno.
touch	tocar; el toque	No toques el vaso.
tour	el tour; la excursión	Hicimos una excursión por la ciudad.
tourism	el turismo	El turismo ayuda a este pueblo.
towards	hacia	Camina hacia la estación.
towel	la toalla	Trae una toalla limpia.
tower	la torre	La torre es muy antigua.
toy	el juguete; de juguete	El coche de juguete es rojo.
track	la pista; el camino	El camino va hacia el norte.
tradition	la tradición	Esta tradición es antigua.
traditional	tradicional	Ella llevaba ropa tradicional.
trainer	el entrenador; la zapatilla	Mi entrenador me ayuda.
training	el entrenamiento	El entrenamiento empieza mañana.
transport	el transporte	El transporte público llega tarde.
traveller	el viajero; la viajera	El viajero pidió ayuda.
trouble	el problema	Tuvimos un problema ayer.
truck	el camión	El camión está afuera.
twin	el gemelo; la gemela	Mi hermana gemela es más alta.
typical	típico	Este es un día típico.
underground	subterráneo; bajo tierra	El tren va bajo tierra.
understanding	la comprensión	Tu comprensión es correcta.
unfortunately	desafortunadamente	Desafortunadamente, la tienda está cerrada.
unhappy	infeliz; descontento	Él parece infeliz.
uniform	el uniforme	Ella lleva uniforme escolar.
unit	la unidad	Esta unidad es pequeña.
united	unido	El equipo se mantuvo unido.
unusual	inusual	Ese sonido es inusual.
used to modal	solía; antes	Antes vivíamos aquí.
user	el usuario; la usuaria	Cada usuario tiene un número.
usual	usual	Tomé mi asiento usual.
valley	el valle	El valle es verde.
van	la furgoneta	La furgoneta está llena.
variety	la variedad	Necesitamos más variedad.
vehicle	el vehículo	Este vehículo es lento.
view	la vista; ver	La vista es hermosa.
virus	el virus	Un virus lo enfermó.
voice	la voz	Su voz es tranquila.
war	la guerra	La guerra terminó hace años.
washing	la ropa para lavar	La ropa está afuera.
wave	la ola; saludar	Una ola golpeó el barco.
weak	débil	Mis piernas se sienten débiles.
web	la web; internet	La página web está abierta.
wedding	la boda	La boda empieza pronto.
weight	el peso	Revisa el peso primero.
wet	mojado	Mis zapatos están mojados.
wheel	la rueda	La rueda está rota.
while	mientras; un rato	Espera aquí un rato.
whole	todo; entero	Me comí toda la manzana.
whose	de quién	¿De quién es este teléfono?
wide	ancho	La carretera es ancha.
wild	salvaje	Los animales salvajes viven aquí.
wind1	el viento	El viento es fuerte.
winner	el ganador; la ganadora	El ganador sonrió.
wish	el deseo; desear	Pide un deseo.
wood	la madera	La silla está hecha de madera.
wooden	de madera	La caja de madera es pesada.
working	laboral; de trabajo	El día laboral terminó.
worried	preocupado	Hoy me siento preocupado.
worry	preocuparse	No te preocupes ahora.
worse	peor	Este dolor es peor.
worst	el peor; la peor	Ese fue el peor día.
wow	vaya; guau	¡Vaya, eso es increíble!
yet	todavía; ya	¿Ya llegamos?
yours	tuyo; suyo	Este libro es tuyo.
zero	el cero	Cuenta hacia atrás hasta cero.
