source_headword	HU	example_HU
sack	kirúg	Az igazgatóság kirúghatja az edzőt.
sacred	szent	A templom szent.
sacrifice	áldozat	A szülők gyakran hoznak áldozatokat.
saint	szent	A templom egy helyi szentet tisztel.
sake	kedv	Az ő kedvéért maradt.
sanction	szankció	A szankció érintette a nemzetközi kereskedelmet.
say	beleszólás	Az alkalmazottaknak volt beleszólásuk a beosztásba.
scattered	szétszórt	Szétszórt papírok borították az íróasztalt.
sceptical	szkeptikus	Szkeptikus maradt az állítással kapcsolatban.
scope	hatókör	A projekt hatóköre kibővült.
screw	csavar	Óvatosan húzza meg a csavart.
scrutiny	vizsgálat	Az üzlet nyilvános vizsgálat elé nézett.
seal	lezár	Feladás előtt zárja le a borítékot.
secular	szekuláris	Az iskola világi tantervet követ.
seemingly	látszólag	A feladat látszólag egyszerű volt.
segment	szegmens	A végső szegmens rövidebb volt.
seize	lefoglal	A rendőrség lefoglalta a dokumentumokat.
seldom	ritkán	Ritkán hiányzik óráról.
selective	szelektív	A program rendkívül szelektív.
senator	szenátor	A szenátor támogatta a törvényjavaslatot.
sensation	szenzáció	A felfedezés szenzációt keltett.
sensitivity	érzékenység	A kérdés érzékenységet igényel.
sentiment	hangulat	A közhangulat gyorsan megváltozott.
separation	elválás	Az elválás nehéz volt.
serial	sorozat	Hiányzik a sorozatszám.
settlement	megállapodás	A megállapodás véget vetett a vitának.
set-up	beállítás	A beállítás egész délelőtt tartott.
sexuality	szexualitás	A kurzus az identitást és a szexualitást tárgyalja.
shareholder	részvényes	Egy részvényes kérdést tett fel az igazgatóságnak.
shatter	összetör	A hír összetörte az önbizalmát.
shed	megválik, leépít	A vállalat munkahelyeket fog leépíteni.
sheer	puszta, merő	Maga a méret mindenkit meglepett.
shipping	szállítás	A szállítási költségek növekedtek.
shoot	fotózás, forgatás	A fotózás korán véget ért.
shrink	összemegy, zsugorodik	Az ing összemenhet.
shrug	vállvonás	Egy kicsit megvonta a vállát.
sigh	sóhajt	Megkönnyebbülten sóhajtott.
simulate	szimulál	A szoftver képes szimulálni a forgalmat.
simulation	szimuláció	A szimuláció áradást jelzett előre.
simultaneously	egyszerre, egyidejűleg	Két riasztó szólalt meg egyszerre.
sin	bűn	A büszkeséget bűnnek tekintik.
situated	elhelyezkedő, található	A szálloda a belvárosban található.
sketch	vázlat	Készített egy gyors vázlatot.
skip	kihagy	Ne hagyd ki a reggelit.
slam	bevág, rácsap	Be tudja vágni az ajtót.
slap	rácsap, megüt	Ne csapj rá az asztalra.
slavery	rabszolgaság	A rabszolgaság alakította a régió történelmét.
slot	időpont, rés	Foglaljon időpontot online.
smash	összetör	A pohár darabokra tört a padlón.
snap	eltörik, elpattan	Az ág eltört a szélben.
soak	beáztat	Áztassa a babot egy éjszakán át.
soar	megugrik, szárnyal	Az üzemanyagárak az egekbe szökhetnek.
socialist	szocialista	A párt szocialista politikát támogat.
sole	egyedüli, egyetlen	Ő volt az egyedüli túlélő.
solely	kizárólag	A döntés kizárólag az övé volt.
solicitor	ügyvéd	Az ügyvéd előkészítette a szerződést.
solidarity	szolidaritás	A munkások szolidaritást vállaltak.
solo	szóló	Szólóalbumot adott ki.
sound	megalapozott, megbízható	A terv megalapozott és praktikus.
sovereignty	szuverenitás	Az egyezmény védte a nemzeti szuverenitást.
spam	spam, levélszemét	A levélszemét megtöltötte a beérkező levelek mappáját.
span	átível	A híd átível a folyón.
spark	kivált, kipattint	Egy apró megjegyzés vitát váltott ki.
specialized	specializált, szakosodott	A klinika szakellátást nyújt.
specification	specifikáció	A kialakítás minden specifikációnak megfelel.
specimen	minta, példány	A mintát biztonságosan tárolták.
spectacle	látványosság	A felvonulás élénk látványosság volt.
spectrum	spektrum	A vélemények széles spektrumot fednek le.
spell	időszak	A száraz időszak hetekig tartott.
sphere	szféra	A politika belépett a kulturális szférába.
spin	pörög, forog	A kerekek pörögni kezdtek.
spine	gerinc	A sérülés a gerincét érintette.
spotlight	reflektorfény	A botrány a reflektorfénybe állította.
spouse	házastárs	A házastársa részt vett a ceremónián.
spy	kém	A kém kódolt üzeneteket küldött.
squad	osztag, csapat	A mentőosztag gyorsan megérkezett.
squeeze	megszorít, présel	Óvatosan szorítsa meg a fogantyút.
stab	leszúr, szúr	A jelentés szúrt sebet írt le.
stability	stabilitás	A politika stabilitást hozott.
stabilize	stabilizál	A gyógyszer segített stabilizálni az állapotát.
stake	részesedés, tét	A befektetőknek részesedésük van itt.
standing	elismertség, hírnév	A párton belüli elismertsége nőtt.
stark	éles	Az eredmények éles ellentétet mutattak.
statistical	statisztikai	A tanulmány statisztikai módszereket használt.
steer	irányít	Megpróbálta irányítani a vitát.
stem	szár	A szár eltört a viharban.
stereotype	sztereotípia	A film megkérdőjelezett egy sztereotípiát.
stimulus	ösztönzés, stimulus	A csomag gazdasági ösztönzést nyújtott.
stir	kever	Lassan keverje a szószt.
storage	tárolás, raktározás	A létesítmény biztonságos tárolást kínál.
straightforward	egyértelmű, egyszerű	Az utasítások egyértelműek voltak.
strain	feszültség, megterhelés	A hosszú késés feszültséget okozott.
strand	tincs, szál	Egy hajtincs hullott le.
strategic	stratégiai	A vállalat stratégiai befektetést hajtott végre.
strip (long narrow piece)	csík	Vágjon egy keskeny papírcsíkot.
strip (remove clothes/a layer)	eltávolít, lecsupaszít	Óvatosan távolítsa el a régi festéket.
strive	törekszik	Kiválóságra törekszenek.
structural	szerkezeti	A hídnak szerkezeti sérülése van.
stumble	megbotlik	Megbotlott a lépcsőn.
stun	megdöbbent	A hír megdöbbentheti az embereket.
submission	benyújtás	A benyújtási határidő lejárt.
subscriber	feliratkozó, előfizető	Minden feliratkozó kap frissítéseket.
subscription	előfizetés	Az előfizetés automatikusan megújul.
subsidy	támogatás, szubvenció	A támogatás csökkentette az üzemanyagköltségeket.
substantial	jelentős	A projekt jelentős finanszírozást igényel.
substantially	jelentősen	Az ár jelentősen emelkedett.
substitute	helyettesítő, pótlék	Használjon tejet helyettesítőként.
substitution	helyettesítés	A helyettesítés megváltoztatta a receptet.
subtle	finom, árnyalt	A festmény finom részletekkel rendelkezik.
suburban	külvárosi	Egy külvárosi területre költöztek.
succession	sorozat, egymásután	A válság kudarcok sorozatát követte.
successive	egymást követő	Egymást követő kormányok hagyták figyelmen kívül a problémát.
successor	utód	Az utód hétfőn kezd.
suck	beszív	A gép be tudja szívni a port.
sue	beperel	Úgy döntött, hogy bepereli a vállalatot.
suicide	öngyilkosság	Az öngyilkosság megelőzéséhez folyamatos finanszírozásra van szükség.
suite	lakosztály	A szállodai lakosztály a folyóra nézett.
summit	csúcstalálkozó	A vezetők a csúcstalálkozón találkoztak.
superb	kiváló	Az előadás kiváló volt.
superior	felsőbbrendű, jobb	Az új modell jobb.
supervise	felügyel	Ő fogja felügyelni a gyakornokokat.
supervision	felügyelet	A gyerekeknek felnőtt felügyeletre van szükségük.
supervisor	felettes, vezető	Először kérdezze meg a felettesét.
supplement	kiegészítés, pótlék	A jelentés tartalmaz egy kiegészítést.
supportive	támogató	A családja támogató volt.
supposedly	állítólag	A fájlt állítólag törölték.
suppress	elfojt, elnyom	A rezsim megpróbálta elfojtani a tiltakozásokat.
supreme	legfelsőbb	A legfelsőbb bíróság tárgyalta az ügyet.
surge	hirtelen növekedés, túlfeszültség	Egy hirtelen túlfeszültség károsította a berendezést.
surgical	sebészeti	A betegnek sebészeti kezelésre van szüksége.
surplus	felesleg, többlet	A raktárban felesleg van.
surrender	megadja magát	A katonák beleegyeztek a megadásba.
surveillance	felügyelet, megfigyelés	Biztonsági kamerák rögzítették a bejáratot.
suspension	felfüggesztés	A felfüggesztés két hétig tartott.
suspicion	gyanú	A viselkedése gyanút keltett.
suspicious	gyanús	A csomag gyanúsnak tűnt.
sustain	fenntart	A projekt képes fenntartani a helyi munkahelyeket.
swing	leng, himbálózik	Az ajtó lengeni kezdett.
sword	kard	A kard a falon lógott.
symbolic	szimbolikus	A gesztus szimbolikus volt.
syndrome	szindróma	A szindróma a memóriát érinti.
synthesis	szintézis	A fejezet szintézist kínál.
systematic	szisztematikus	A felülvizsgálat szisztematikus volt.
tactic	taktika	A taktika gyorsan kudarcot vallott.
tactical	taktikai	A csapat taktikai változtatást hajtott végre.
taxpayer	adófizető	Az adófizetők pénzéből finanszírozták a hidat.
tempt	elcsábít, kísért	Az ajánlat elcsábíthatja a befektetőket.
tenant	bérlő	A bérlő korán kifizette a lakbért.
tender	gyengéd	Gyengéd mosolyt adott.
tenure	hivatali idő	A hivatali ideje hat évig tartott.
terminal	végzetes, terminális	A betegnek halálos betegsége volt.
terminate	felbont, megszüntet	A vállalat felmondhatja a szerződést.
terrain	terep	A terep nehéz volt.
terrific	fantasztikus, nagyszerű	A kilátás fantasztikus volt.
testify	tanúskodik	Beleegyezett, hogy tanúskodik.
testimony	tanúvallomás	A tanúvallomása részletes volt.
texture	textúra	A szövetnek durva textúrája van.
thankfully	szerencsére	Szerencsére senki sem sérült meg.
theatrical	teátrális	A beszéd teátrálisnak hangzott.
theology	teológia	Teológiát tanult az egyetemen.
theoretical	elméleti	A modell pusztán elméleti.
thereafter	azután, ezt követően	Ezután a szabályok megváltoztak.
thereby	ezáltal	A változtatás csökkentette a költségeket, ezáltal munkahelyeket mentett meg.
thoughtful	megfontolt, figyelmes	A válasza megfontolt volt.
thought-provoking	elgondolkodtató	A cikk elgondolkodtató volt.
thread	cérna, szál	A cérna könnyen elszakadt.
threshold	küszöb	A szavazás átlépte a küszöböt.
thrilled	izgatott, elragadtatott	Izgatott volt a hír hallatán.
thrive	virágzik, gyarapszik	A kisvállalkozások itt virágozhatnak.
tide	árapály, dagály	Az árapály gyorsan emelkedett.
tighten	megszorít, rögzít	Húzza meg szorosan a fedelet.
timber	faanyag	A ház helyi faanyagot használ.
timely	időszerű	A figyelmeztetés időszerű volt.
tobacco	dohány	A dohányértékesítés visszaesett.
tolerance	tolerancia	A politika toleranciára ösztönöz.
tolerate	megtűr, tolerál	Nem tűrhetjük a visszaéléseket.
toll	vám, kár	A vihar súlyos károkat okozott.
top	felülmúl, túlszárnyal	Az eladások felülmúlhatják a tavalyi rekordot.
torture	kínzás	Az egyezmény teljes mértékben tiltja a kínzást.
