source_headword	PT-BR	example_PT-BR
organize	organizar	Por favor, organize os arquivos.
original	original	Guarde o recibo original.
ourselves	nós mesmos	Nós cozinhamos o jantar sozinhos.
oven	o forno	O forno está quente.
owner	o dono	O dono abriu a loja.
pack	arrumar	Arrume sua bolsa agora.
pain	a dor	Sinto dor nas costas.
painter	o pintor	O pintor terminou a parede.
palace	o palácio	O palácio é antigo.
pants	a calça	Esta calça está comprida demais.
parking	o estacionamento	Estacionar é difícil aqui.
particular	específico	Preciso de um livro específico.
pass	passar	Me passe o sal.
passenger	o passageiro	Cada passageiro precisa de uma passagem.
patient	paciente	Seja paciente com crianças.
pattern	o padrão	Este padrão é simples.
peace	a paz	Todos queremos paz.
penny	o centavo	Encontrei um centavo.
per	por	Os ingressos custam dez dólares por pessoa.
per cent	por cento	Cinco por cento é pouco.
perform	apresentar	A banda vai se apresentar esta noite.
perhaps	talvez	Talvez ela esteja em casa.
permission	a permissão	Peça permissão primeiro.
personality	a personalidade	Ele tem uma personalidade amigável.
pet	o animal de estimação	Meu animal de estimação é um gato.
petrol	a gasolina	O carro precisa de gasolina.
physical	físico	Exercício físico ajuda a saúde.
physics	a física	Física é difícil.
pick	escolher	Escolha uma carta.
pilot	o piloto	O piloto falou com clareza.
planet	o planeta	A Terra é um planeta.
plastic	de plástico	Esta garrafa é de plástico.
plate	o prato	Coloque comida no prato.
platform	a plataforma	Espere na plataforma dois.
pleased	satisfeito	Estou satisfeito em conhecer você.
pocket	o bolso	A passagem está no meu bolso.
polite	educado	Seja educado com todos.
pollution	a poluição	A poluição prejudica o oceano.
pop	o pop	Eu gosto de música pop.
population	a população	A população está crescendo.
position	a posição	Mude sua posição.
possession	a posse	Este anel é minha posse.
possibility	a possibilidade	Há possibilidade de chuva.
poster	o cartaz	Coloque o cartaz na parede.
power	a energia	O computador precisa de energia.
predict	prever	Não podemos prever o tempo.
president	o presidente	O presidente fez um discurso.
prevent	prevenir	Lave as mãos para prevenir doenças.
print	imprimir	Imprima o documento.
printer	a impressora	A impressora está quebrada.
prison	a prisão	Ele foi para a prisão.
prize	o prêmio	Ela ganhou um prêmio.
process	o processo	O processo leva tempo.
produce	produzir	Fazendas produzem comida.
professional	profissional	Ela é uma dançarina profissional.
professor	o professor	O professor respondeu perguntas.
profile	o perfil	Atualize seu perfil.
program	o programa	O programa começa agora.
progress	o progresso	Fizemos progresso hoje.
promise	a promessa	Cumpra sua promessa.
pronounce	pronunciar	Por favor, pronuncie esta palavra.
protect	proteger	Proteja seus olhos.
provide	fornecer	Eles fornecem água grátis.
pub	o bar	Nós nos encontramos no bar.
public	público	O parque é público.
publish	publicar	Eles publicam uma revista.
pull	puxar	Puxe a porta.
purpose	o objetivo	Qual é o objetivo?
push	apertar	Aperte o botão.
quality	a qualidade	A qualidade é alta.
quantity	a quantidade	Verifique a quantidade.
queen	a rainha	A rainha acenou.
quietly	baixo	Fale baixo.
race (competition)	a corrida	A corrida começa em breve.
railway	a ferrovia	A ferrovia está fechada.
raise	levantar	Levante a mão.
rate	a tarifa	A tarifa do hotel é alta.
rather	bastante	Estou bastante cansado.
reach	alcançar	Você consegue alcançar a prateleira?
react	reagir	Como ele reagiu?
realize	perceber	Eu percebo meu erro.
receive	receber	Você recebeu minha mensagem?
recent	recente	Esta é uma foto recente.
recently	recentemente	Eu me mudei para cá recentemente.
reception	a recepção	A recepção é na segunda-feira.
recipe	a receita	Esta receita é fácil.
recognize	reconhecer	Eu reconheço aquela música.
recommend	recomendar	Eu recomendo este livro.
record	o registro	Mantenha um registro dos pagamentos.
recording	a gravação	A gravação soa clara.
recycle	reciclar	Recicle papel e plástico.
reduce	reduzir	Reduza o fogo.
refer	consultar	Consulte a página dois.
refuse1	recusar	Eu me recuso a mentir.
region	a região	Esta região é fria.
regular	regular	Ele é um cliente regular.
relationship	o relacionamento	O relacionamento deles é forte.
remove	tirar	Tire seus sapatos.
repair	consertar	Conserte a bicicleta hoje.
replace	substituir	Substitua a bateria velha.
reply	responder	Por favor, responda em breve.
reporter	o repórter	O repórter fez anotações.
request	o pedido	Eu fiz um pedido.
research	pesquisar	Nós pesquisamos a história local.
researcher	o pesquisador	O pesquisador verificou os dados.
respond	responder	Por favor, responda hoje.
response	a resposta	A resposta dela foi rápida.
rest (remaining part)	o resto	Coma o resto mais tarde.
rest (sleep/relax)	descansar	Você precisa descansar.
review	revisar	Revise suas anotações esta noite.
ring1	o anel	Ela usava um anel de ouro.
ring2	ligar	Me liga depois do almoço.
rise	subir	Os preços sobem todos os anos.
rock (stone)	a pedra	A pedra é pesada.
