simplified	ML	example_ML
悲观	നിരാശാവാദിയായ	അത്ര നിരാശാവാദിയായി ഇരിക്കരുത്.
背	മുതുക്	അവൻ വാതിലിനോട് മുതുക് തിരിച്ച് ഇരിക്കുന്നു.
背景	പശ്ചാത്തലം	ദയവായി നിങ്ങളുടെ പശ്ചാത്തലം ചുരുക്കമായി പരിചയപ്പെടുത്തൂ.
被子	കമ്പളി; പുതപ്പ്	പുതപ്പ് വളരെ ചൂടുള്ളതാണ്.
本科	ബിരുദപഠനം; ബിരുദതലം	അവൻ ഒരു ബിരുദ വിദ്യാർത്ഥിയാണ്.
本领	കഴിവ്	അവൻ ഒരു പുതിയ കഴിവ് പഠിച്ചു.
本质	സാരം; സ്വഭാവം	പ്രശ്നത്തിന്റെ സാരം വളരെ ലളിതമാണ്.
彼此	പരസ്പരം	നാം പരസ്പരം ബഹുമാനിക്കണം.
比例	അനുപാതം	ആൺകുട്ടികളുടെയും പെൺകുട്ടികളുടെയും അനുപാതം ഏകദേശം ഒരുപോലെയാണ്.
必然	അനിവാര്യമായ	കഠിനാധ്വാനം അനിവാര്യമായി ഫലം നൽകും.
必要	ആവശ്യമായ; അനിവാര്യമായ	വിഷമിക്കേണ്ട ആവശ്യമില്ല.
毕竟	എന്തായാലും; ഒടുവിൽ	എന്തായാലും, അവൻ ഇനിയും ഒരു കുട്ടിയാണ്.
避免	ഒഴിവാക്കുക	ദയവായി വൈകുന്നത് ഒഴിവാക്കുക.
编辑	തിരുത്തുക; എഡിറ്റർ	ഈ ലേഖനം തിരുത്താനുള്ള ഉത്തരവാദിത്വം അവനാണ്.
鞭炮	പടക്കം	വസന്തോത്സവത്തിൽ ചിലർ പടക്കം പൊട്ടിക്കുന്നു.
便	സൗകര്യപ്രദമായ; ഉടൻ	ഭക്ഷണം കഴിച്ച ശേഷം അവൻ ക്ലാസിലേക്ക് പോയി.
辩论	വാദപ്രതിവാദം	അവർ ഈ ചോദ്യത്തെക്കുറിച്ച് വാദപ്രതിവാദം നടത്തുന്നു.
标点	വിരാമചിഹ്നം	ദയവായി വിരാമചിഹ്നങ്ങൾ ശ്രദ്ധിക്കുക.
标志	അടയാളം; ചിഹ്നം	ചുവന്ന വിളക്ക് നിർത്താനുള്ള അടയാളമാണ്.
表达	പ്രകടിപ്പിക്കുക	അവൻ സ്വന്തം അഭിപ്രായം പ്രകടിപ്പിച്ചു.
表面	ഉപരിതലം	മേശയുടെ ഉപരിതലം വളരെ വൃത്തിയുള്ളതാണ്.
表明	വ്യക്തമാക്കുക; കാണിക്കുക	ഫലം അവൻ ശരിയാണെന്ന് കാണിക്കുന്നു.
表情	മുഖഭാവം	അവളുടെ മുഖഭാവം വളരെ ഗൗരവമുള്ളതാണ്.
表现	പ്രകടനം; പെരുമാറ്റം	ഇന്ന് അവൻ വളരെ നന്നായി പ്രകടനം കാഴ്ചവച്ചു.
冰激凌	ഐസ്‌ക്രീം	കുട്ടികൾക്ക് ഐസ്‌ക്രീം തിന്നാൻ ഇഷ്ടമാണ്.
病毒	വൈറസ്	ഈ തരത്തിലുള്ള വൈറസ് വളരെ വേഗത്തിൽ പടരുന്നു.
播放	പ്രക്ഷേപണം ചെയ്യുക; പ്ലേ ചെയ്യുക	ദയവായി ഈ പാട്ട് പ്ലേ ചെയ്യൂ.
玻璃	ഗ്ലാസ്	ഗ്ലാസ് കപ്പ് പൊട്ടി.
博物馆	മ്യൂസിയം	ഈ വാരാന്ത്യത്തിൽ നാം മ്യൂസിയത്തിലേക്ക് പോകുന്നു.
脖子	കഴുത്ത്	എന്റെ കഴുത്തിന് അല്പം വേദനയുണ്ട്.
不断	തുടർച്ചയായി	വിലകൾ തുടർച്ചയായി ഉയരുന്നു.
不见得	അങ്ങനെ ആവണമെന്നില്ല	ഇത് മോശം കാര്യമാവണമെന്നില്ല.
不耐烦	അക്ഷമ; അസഹിഷ്ണുത	നീണ്ടുനിന്ന കാത്തിരിപ്പിനു ശേഷം അവൻ അല്പം അക്ഷമനായി.
不要紧	പരവായില്ല; ഗൗരവമില്ല	പരവായില്ല, അതിന് പ്രശ്നമില്ല.
补充	കൂട്ടിച്ചേർക്കുക; പൂരിപ്പിക്കുക	എനിക്ക് ഒരു അഭിപ്രായം കൂടി ചേർക്കാൻ തോന്നുന്നു.
不安	അശാന്തമായ; ആശങ്കയുള്ള	ഈ വാർത്ത കേട്ട ശേഷം അവൾക്ക് ആശങ്ക തോന്നി.
不得了	വളരെ ഗുരുതരമായ; ഭയങ്കര	ഈ കാര്യം ശരിക്കും ഗുരുതരമാണ്.
不然	അല്ലെങ്കിൽ	വേഗം പോകൂ, അല്ലെങ്കിൽ വൈകും.
不如	ചെയ്യുന്നതിനെക്കാൾ നല്ലത്	വാഹനത്തിൽ പോകുന്നതിനെക്കാൾ നടക്കുന്നത് നല്ലതാണ്.
不足	മതിയാകാത്ത; കുറവ്	ഇവിടെ വെള്ളം മതിയാകുന്നില്ല.
布	തുണി	ഈ തുണി വളരെ മൃദുവാണ്.
步骤	ഘട്ടം; പടി	ദയവായി ഘട്ടങ്ങൾ അനുസരിച്ച് പ്രവർത്തിക്കുക.
部门	വിഭാഗം	ഞാൻ വിൽപ്പന വിഭാഗത്തിൽ ജോലി ചെയ്യുന്നു.
财产	സ്വത്ത്	ഈ വീട് അവന്റെ സ്വത്താണ്.
彩虹	മഴവിൽ	മഴ കഴിഞ്ഞ് മഴവിൽ പ്രത്യക്ഷപ്പെട്ടു.
踩	ചവിട്ടുക	പുല്ലിൽ ചവിട്ടരുത്.
采访	അഭിമുഖം നടത്തുക	റിപ്പോർട്ടർ ഡോക്ടറോട് അഭിമുഖം നടത്തുന്നു.
采取	സ്വീകരിക്കുക; നടപ്പാക്കുക	ഞങ്ങൾ ഒരു പുതിയ രീതി സ്വീകരിച്ചു.
参考	അവലംബിക്കുക; റഫറൻസ്	ദയവായി ഈ പുസ്തകം അവലംബിക്കുക.
参与	പങ്കെടുക്കുക	അവൻ പ്രവർത്തനങ്ങളിൽ സജീവമായി പങ്കെടുക്കുന്നു.
惭愧	ലജ്ജിതനായ; കുറ്റബോധമുള്ള	സ്വന്തം തെറ്റിനായി എനിക്ക് ലജ്ജ തോന്നുന്നു.
操场	കളിസ്ഥലം	വിദ്യാർത്ഥികൾ കളിസ്ഥലത്ത് ഓടുന്നു.
操心	ചിന്തിച്ച് വിഷമിക്കുക	എന്നെ കുറിച്ച് വിഷമിക്കേണ്ട.
册	പുസ്തകത്തിനുള്ള എണ്ണംപദം; ചെറുപുസ്തകം	ഞാൻ ഒരു പുസ്തകവാള്യം വാങ്ങി.
测验	പരീക്ഷ; ചെറുപരീക്ഷ	നാളെ ഒരു ചെറിയ പരീക്ഷയുണ്ട്.
曾经	ഒരിക്കൽ; മുമ്പ്	ഞാൻ ഒരിക്കൽ ബീജിംഗിൽ താമസിച്ചിരുന്നു.
叉子	ഫോർക്ക്	ഞാൻ ഫോർക്ക് ഉപയോഗിച്ച് സലാഡ് കഴിക്കുന്നു.
差距	വ്യത്യാസം; വിടവ്	നഗരങ്ങളുടെയും ഗ്രാമങ്ങളുടെയും ഇടയിൽ വ്യത്യാസമുണ്ട്.
插	ഇടുക; കുത്തിവെക്കുക	ദയവായി പൂക്കൾ പാത്രത്തിൽ ഇടൂ.
拆	പൊളിക്കുക; തുറക്കുക	തൊഴിലാളികൾ പഴയ വീട് പൊളിക്കുന്നു.
产品	ഉൽപ്പന്നം	ഈ ഉൽപ്പന്നത്തിന്റെ ഗുണമേന്മ വളരെ നല്ലതാണ്.
产生	ഉണ്ടാകുക; സൃഷ്ടിക്കുക	ഈ പ്രശ്നം ഒരു പുതിയ ഫലം ഉണ്ടാക്കി.
常识	സാമാന്യബോധം	ഇത് അടിസ്ഥാന സാമാന്യബോധമാണ്.
长途	ദീർഘദൂര	ദീർഘദൂര യാത്ര ക്ഷീണിപ്പിക്കുന്നതാണ്.
抄	പകർത്തുക	മറ്റുള്ളവരുടെ ഹോംവർക്ക് പകർത്തരുത്.
超级	സൂപ്പർ; അത്യധികം	ഇത് ഒരു സൂപ്പർ മാർക്കറ്റാണ്.
朝	വംശകാലം; രാജവംശം	താങ് രാജവംശം വളരെ പ്രശസ്തമാണ്.
潮湿	ഈർപ്പമുള്ള	തെക്കൻ പ്രദേശങ്ങളിലെ വേനൽക്കാലം വളരെ ഈർപ്പമുള്ളതാണ്.
吵	ശബ്ദമുള്ള; ശബ്ദമുണ്ടാക്കുക	പുറത്ത് വളരെ ശബ്ദമാണ്.
吵架	വഴക്കിടുക	അവർ വീണ്ടും വഴക്കിട്ടു.
炒	വറുക്കുക	അമ്മ ഭക്ഷണം വറുക്കുന്നു.
车库	ഗാരേജ്	കാർ ഗാരേജിൽ നിർത്തിയിരിക്കുന്നു.
车厢	ട്രെയിൻ ബോഗി	ഈ ട്രെയിൻ ബോഗി വളരെ ശാന്തമാണ്.
彻底	പൂർണ്ണമായി; സമഗ്രമായി	അവൻ പൂർണ്ണമായി മനസ്സിലാക്കി.
沉默	നിശ്ശബ്ദം; മിണ്ടാതിരിക്കുക	അവൻ മുഴുവൻ സമയവും മിണ്ടാതിരുന്നു.
趁	അവസരം ഉപയോഗിച്ച്	ഇനിയും ഇരുട്ടാകാത്തിരിക്കെ നമുക്ക് പുറപ്പെടാം.
称	തൂക്കുക; വിളിക്കുക	ദയവായി ഈ പാഴ്സൽ തൂക്കൂ.
称呼	വിളിപ്പേര്; വിളിക്കുന്ന രീതി	അവനെ എങ്ങനെ വിളിക്കണമെന്ന് എനിക്ക് അറിയില്ല.
称赞	പ്രശംസിക്കുക	അധ്യാപകൻ അവന്റെ പുരോഗതിയെ പ്രശംസിച്ചു.
成分	ഘടകം; ചേരുവ	ഈ മരുന്നിന്റെ ചേരുവകൾ ലളിതമാണ്.
成果	ഫലം; നേട്ടം	ഈ പദ്ധതിക്ക് ഫലം ലഭിച്ചു.
成就	നേട്ടം; വിജയം	അവന്റെ തൊഴിൽജീവിതത്തിൽ നിരവധി നേട്ടങ്ങളുണ്ട്.
成立	സ്ഥാപിക്കപ്പെടുക; സ്ഥാപിക്കുക	കമ്പനി കഴിഞ്ഞ വർഷം സ്ഥാപിക്കപ്പെട്ടു.
成人	മുതിർന്നവർ	മുതിർന്നവരുടെ ടിക്കറ്റ് കുട്ടികളുടെ ടിക്കറ്റിനെക്കാൾ വിലയേറിയതാണ്.
成熟	പക്വമായ; പഴുത്ത	ആപ്പിളുകൾ ഇതിനകം പഴുത്തിരിക്കുന്നു.
成语	ചൈനീസ് പഴഞ്ചൊല്ല്; പ്രയോഗം	ഈ പ്രയോഗം സാധാരണയായി ഉപയോഗിക്കുന്നു.
成长	വളരുക; വളർച്ച	കുട്ടി പതുക്കെ വളരുന്നു.
承担	ഉത്തരവാദിത്വം ഏറ്റെടുക്കുക	അവൻ ഉത്തരവാദിത്വം ഏറ്റെടുക്കാൻ തയ്യാറാണ്.
承认	സമ്മതിക്കുക; അംഗീകരിക്കുക	താൻ തെറ്റായിരുന്നെന്ന് അവൻ സമ്മതിച്ചു.
承受	സഹിക്കുക; താങ്ങുക	ഇത്ര വലിയ സമ്മർദ്ദം എനിക്ക് സഹിക്കാനാവില്ല.
程度	നില; അളവ്	അവന്റെ ചൈനീസ് നില വളരെ ഉയർന്നതാണ്.
程序	നടപടിക്രമം	ദയവായി നടപടിക്രമം അനുസരിച്ച് ഇത് കൈകാര്യം ചെയ്യുക.
诚恳	ആത്മാർത്ഥമായ	അവന്റെ സമീപനം വളരെ ആത്മാർത്ഥമാണ്.
吃亏	നഷ്ടം അനുഭവിക്കുക	വസ്തുക്കൾ വാങ്ങുന്നതിന് മുമ്പ് ശ്രദ്ധിച്ച് നോക്കൂ, നഷ്ടം വരാതിരിക്കട്ടെ.
持续	തുടരുക	മഴ മൂന്ന് ദിവസം തുടർന്നു.
池塘	കുളം	കുളത്തിൽ പല മീനുകളുണ്ട്.
迟早	ഒരുനാൾ; നേരത്തെയോ വൈകിയോ	നീ ഒരുനാൾ മനസ്സിലാക്കും.
尺子	അളവുകോൽ	ദയവായി അളവുകോൽ ഉപയോഗിച്ച് അളക്കൂ.
翅膀	ചിറക്	പക്ഷിയുടെ ചിറകിന് പരിക്കേറ്റിട്ടുണ്ട്.
充电器	ചാർജർ	എന്റെ ചാർജർ കേടായി.
充分	മുഴുവൻ; മതിയായ	ഞങ്ങൾ മതിയായ തയ്യാറെടുപ്പുകൾ നടത്തി.
充满	നിറഞ്ഞിരിക്കുക	മുറി ചിരിയാൽ നിറഞ്ഞിരുന്നു.
冲	കഴുകുക; വെള്ളത്തിൽ കഴുകിക്കളയുക	ദയവായി കപ്പ് വെള്ളത്തിൽ കഴുകൂ.
重复	ആവർത്തിക്കുക	ദയവായി അതേ തെറ്റ് ആവർത്തിക്കരുത്.
宠物	വളർത്തുമൃഗം	അവൾ ഒരു വളർത്തുനായയെ വളർത്തുന്നു.
抽屉	ഡ്രോയർ	താക്കോൽ ഡ്രോയറിലാണ്.
抽象	അമൂർത്തമായ	ഈ ആശയം വളരെ അമൂർത്തമാണ്.
丑	കുരൂപമായ	ഈ ഫോട്ടോ അല്പം കുരൂപമാണ്.
臭	ദുർഗന്ധമുള്ള	മാലിന്യത്തിന് ദുർഗന്ധമുണ്ട്.
出版	പ്രസിദ്ധീകരിക്കുക	ഈ പുസ്തകം കഴിഞ്ഞ വർഷം പ്രസിദ്ധീകരിച്ചു.
出口	പുറത്തേക്കുള്ള വഴി; കയറ്റുമതി	പുറത്തേക്കുള്ള വഴി മുന്നിലാണ്.
出色	മികവുറ്റ	അവളുടെ പ്രകടനം മികവുറ്റതാണ്.
出示	കാണിച്ചുതരുക	ദയവായി നിങ്ങളുടെ പാസ്‌പോർട്ട് കാണിക്കൂ.
出席	പങ്കെടുക്കുക; ഹാജരാകുക	അവൻ യോഗത്തിൽ പങ്കെടുക്കും.
初级	ആരംഭനിലയിലെ	ഞാൻ ആരംഭനില ക്ലാസിൽ ചൈനീസ് പഠിക്കുന്നു.
除非	അല്ലെങ്കിൽ മാത്രം; ഉണ്ടെങ്കിൽ മാത്രം	മഴ പെയ്യുന്നില്ലെങ്കിൽ നാം നാളെ മലകയറാൻ പോകും.
除夕	പുതുവത്സരത്തലേന്ന്	പുതുവത്സരത്തലേന്ന് നമ്മുടെ മുഴുവൻ കുടുംബവും കൂടെ ഭക്ഷണം കഴിക്കുന്നു.
处理	കൈകാര്യം ചെയ്യുക	ഞാൻ ഈ പ്രശ്നം കൈകാര്യം ചെയ്യും.
传播	പടരുക; പ്രചരിപ്പിക്കുക	ഈ വാർത്ത വളരെ വേഗത്തിൽ പടർന്നു.
传染	പകർന്നുപിടിക്കുക	ജലദോഷം എളുപ്പത്തിൽ പകരാം.
传说	ഐതിഹ്യം	ഇത് ഒരു പുരാതന ഐതിഹ്യമാണ്.
传统	പരമ്പരാഗതം; പാരമ്പര്യം	വസന്തോത്സവം ചൈനയിലെ പരമ്പരാഗത അവധിയാണ്.
窗帘	തിരശ്ശീല	ദയവായി തിരശ്ശീലകൾ തുറക്കൂ.
闯	അപകടമായി കടക്കുക; തിടുക്കത്തിൽ കയറുക	അവൻ അബദ്ധത്തിൽ ചുവന്ന സിഗ്നൽ കടന്നു.
创造	സൃഷ്ടിക്കുക	മനുഷ്യർ പുതിയ ഉപകരണങ്ങൾ സൃഷ്ടിച്ചു.
吹	കാറ്റടിക്കുക; ഊതുക	കാറ്റ് ശക്തമായി വീശുന്നു.
词汇	പദസഞ്ചയം	ഈ പദസഞ്ചയ ഇനം സാധാരണയായി ഉപയോഗിക്കുന്നു.
辞职	രാജിവെക്കുക	അവൻ രാജിവെക്കാൻ തീരുമാനിച്ചു.
此外	ഇതുകൂടാതെ	ഇതുകൂടാതെ, എനിക്ക് മറ്റൊരു ചോദ്യമുണ്ട്.
刺激	ഉത്തേജകമായ; ആവേശകരമായ	ഈ കളി വളരെ ആവേശകരമാണ്.
次要	ദ്വിതീയമായ	ഈ പ്രശ്നം ദ്വിതീയമാണ്.
匆忙	തിടുക്കം; തിരക്കിട്ട്	അവൻ തിടുക്കത്തിൽ വീട്ടിൽ നിന്ന് പുറപ്പെട്ടു.
从此	അന്നുമുതൽ	അന്നുമുതൽ അവൻ ദിവസവും വ്യായാമം ചെയ്തു.
从而	അങ്ങനെ; അതുവഴി	അവൻ കഠിനമായി പഠിച്ചു, അതുവഴി പരീക്ഷ പാസായി.
从前	മുമ്പ്; ഒരിക്കൽ	മുമ്പ് ഇവിടെ മെട്രോ ഉണ്ടായിരുന്നില്ല.
从事	ഏർപ്പെടുക; ജോലി ചെയ്യുക	അവൾ വിദ്യാഭ്യാസരംഗത്ത് ജോലി ചെയ്യുന്നു.
粗糙	കരടായ; പരുക്കൻ	ഈ പേപ്പർ വളരെ പരുക്കനാണ്.
促进	പ്രോത്സാഹിപ്പിക്കുക; മെച്ചപ്പെടുത്തുക	വ്യായാമം ആരോഗ്യത്തെ മെച്ചപ്പെടുത്താം.
促使	പ്രേരിപ്പിക്കുക	ഈ കാര്യം അവനെ തന്റെ പദ്ധതി മാറ്റാൻ പ്രേരിപ്പിച്ചു.
醋	വിനാഗിരി	ഭക്ഷണത്തിൽ വിനാഗിരി ചേർത്തു.
催	തിടുക്കപ്പെടുത്തുക; ഓർമ്മിപ്പിച്ച് സമ്മർദ്ദം ചെലുത്തുക	അമ്മ എന്നോട് വേഗം പുറത്തേക്ക് പോകാൻ പറഞ്ഞു.
存在	നിലനിൽക്കുക	ഈ പ്രശ്നം ഇപ്പോഴും നിലനിൽക്കുന്നു.
措施	നടപടി	സ്കൂൾ സുരക്ഷാ നടപടികൾ സ്വീകരിച്ചു.
答应	സമ്മതിക്കുക; വാഗ്ദാനം ചെയ്യുക	അവൻ എന്നെ സഹായിക്കാൻ സമ്മതിച്ചു.
达到	എത്തുക; കൈവരിക്കുക	അവന്റെ മാർക്കുകൾ നിലവാരത്തിലെത്തി.
打工	ഭാഗകാല ജോലി ചെയ്യുക	വേനലവധിയിൽ അവൻ ഒരു റെസ്റ്റോറന്റിൽ ഭാഗകാല ജോലി ചെയ്യുന്നു.
打交道	ഇടപെടുക	ഞാൻ പതിവായി ഉപഭോക്താക്കളുമായി ഇടപെടുന്നു.
打喷嚏	തുമ്മുക	അവന് ജലദോഷമുണ്ട്, തുടർച്ചയായി തുമ്മുന്നു.
打听	വിവരം അന്വേഷിക്കുക	എനിക്ക് ട്രെയിൻ ടിക്കറ്റിനെക്കുറിച്ച് അന്വേഷിക്കണം.
大方	ഉദാരമായ	പണം ചെലവഴിക്കുന്ന കാര്യത്തിൽ അവൾ വളരെ ഉദാരയാണ്.
大厦	വലിയ കെട്ടിടം	ആ വലിയ കെട്ടിടം വളരെ ഉയരമുള്ളതാണ്.
大象	ആന	കുട്ടികൾ മൃഗശാലയിൽ ആനകളെ നോക്കുന്നു.
大型	വലിയ തോതിലുള്ള	ഇവിടെ ഒരു വലിയ ഷോപ്പിംഗ് മാൾ പണിയും.
呆	താമസിക്കുക; മണ്ടത്തരം	അവൻ വീട്ടിൽ ഇരുന്ന് വായിക്കുന്നു.
代表	പ്രതിനിധീകരിക്കുക; പ്രതിനിധി	ഈ പൂവ് സൗഹൃദത്തെ പ്രതിനിധീകരിക്കുന്നു.
代替	പകരം വരുക	ഇന്ന് അവന്റെ പകരം ഞാൻ യോഗത്തിൽ പങ്കെടുക്കും.
待遇	ആനുകൂല്യം; വേതനപരിചരണം	ഈ കമ്പനിയിലെ ആനുകൂല്യങ്ങൾ നല്ലതാണ്.
贷款	വായ്പ	അവർ ഭവനവായ്പയ്ക്ക് അപേക്ഷിച്ചു.
单纯	ലളിതമായ	അവളുടെ ആശയം വളരെ ലളിതമാണ്.
单调	ഏകതാനമായ	ഈ ജോലി അല്പം ഏകതാനമാണ്.
单独	ഒറ്റയ്ക്ക്; പ്രത്യേകിച്ച്	എനിക്ക് നിങ്ങളോട് ഒറ്റയ്ക്ക് സംസാരിക്കണം.
单位	സ്ഥാപനം; അളവുകോൽ ഘടകം	അവൻ ഒരു പൊതുസ്ഥാപനത്തിൽ ജോലി ചെയ്യുന്നു.
单元	യൂണിറ്റ്; അധ്യായം	ഇന്ന് നാം മൂന്നാം യൂണിറ്റ് പഠിക്കുന്നു.
担任	ചുമതല വഹിക്കുക	ഈ പരിപാടിയുടെ ചുമതലയാളായി അവൾ പ്രവർത്തിക്കുന്നു.
耽误	വൈകിപ്പിക്കുക; സമയം നഷ്ടപ്പെടുത്തുക	എല്ലാവരുടെയും സമയം നഷ്ടപ്പെടുത്തരുത്.
胆小鬼	ഭീരു	അവനെ ഭീരു എന്ന് വിളിക്കരുത്.
淡	മങ്ങലായ; രുചികുറഞ്ഞ	ഈ സൂപ്പിന് അല്പം രുചി കുറവാണ്.
当地	പ്രാദേശിക	പ്രാദേശികർക്കെല്ലാം ഈ മാർക്കറ്റ് ഇഷ്ടമാണ്.
当心	ശ്രദ്ധിക്കുക	റോഡ് വഴുക്കലാണ്, ശ്രദ്ധിക്കൂ.
挡	തടയുക; മറയ്ക്കുക	ഈ കാർ പ്രവേശന കവാടം തടയുന്നു.
倒霉	ദുരദൃഷ്ടമുള്ള	ഇന്ന് ശരിക്കും ദുരദൃഷ്ടം; എന്റെ ഫോൺ നഷ്ടപ്പെട്ടു.
导演	സംവിധായകൻ	ഈ സംവിധായകൻ വളരെ പ്രശസ്തനാണ്.
导致	കാരണമാകുക	കനത്ത മഴ ഗതാഗതക്കുരുക്കിന് കാരണമായി.
岛屿	ദ്വീപ്	ഈ രാജ്യത്ത് പല ദ്വീപുകളുണ്ട്.
到达	എത്തിച്ചേരുക	ട്രെയിൻ സമയത്ത് ഷാങ്ഹായിൽ എത്തി.
道德	ധാർമ്മികത; നൈതികത	മനുഷ്യന് നൈതിക തത്വങ്ങൾ ഉണ്ടായിരിക്കണം.
道理	യുക്തി; കാര്യം	അവൻ പറഞ്ഞത് വളരെ യുക്തിയുള്ളതാണ്.
登记	രജിസ്റ്റർ ചെയ്യുക	ദയവായി ആദ്യം മുൻകൗണ്ടറിൽ രജിസ്റ്റർ ചെയ്യൂ.
等待	കാത്തിരിക്കുക	ഞങ്ങൾ ഫലത്തിനായി കാത്തിരിക്കുന്നു.
等于	തുല്യമാകുക	അഞ്ചും അഞ്ചും ചേർന്നാൽ പത്ത്.
滴	തുള്ളി	ഒരു വെള്ളത്തുള്ളി മേശയിൽ വീണു.
敌人	ശത്രു	അവർ ശത്രുക്കളല്ല.
的确	തീർച്ചയായും; ശരിക്കും	ഈ കാര്യം തീർച്ചയായും വളരെ പ്രധാനമാണ്.
地道	സ്വാഭാവികമായ; യഥാർത്ഥ	അവൻ യഥാർത്ഥ ബീജിംഗ് പ്രാദേശിക ഭാഷ സംസാരിക്കുന്നു.
地理	ഭൂഗോളം	എനിക്ക് ചൈനയുടെ ഭൂഗോളത്തിൽ വളരെ താൽപ്പര്യമുണ്ട്.
地区	പ്രദേശം	ഈ പ്രദേശത്ത് ശീതകാലത്ത് വളരെ തണുപ്പാണ്.
地毯	പരവതാനി	വസതിമുറിയിൽ ഒരു പരവതാനി വിരിച്ചിട്ടുണ്ട്.
地位	സ്ഥാനം; പദവി	സമൂഹത്തിൽ വിദ്യാഭ്യാസത്തിന് പ്രധാന സ്ഥാനം ഉണ്ട്.
地震	ഭൂകമ്പം	ഇന്നലെ രാത്രി ഇവിടെ ഭൂകമ്പം ഉണ്ടായി.
递	കൈമാറുക	ദയവായി ഈ കത്ത് അധ്യാപകനു കൈമാറൂ.
点心	ലഘുഭക്ഷണം; മധുരപലഹാരം	ഉച്ചതിരിഞ്ഞ് ഞങ്ങൾ ലഘുഭക്ഷണം കഴിച്ചു.
电池	ബാറ്ററി	ഈ കളിപ്പാട്ടത്തിന് രണ്ട് ബാറ്ററികൾ വേണം.
