hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
5024:险	险	险	危険だ; きわどい	山道は危険なので、少しゆっくり運転してください。	위험하다; 아슬아슬하다	산길이 위험하니 조금 천천히 운전하세요.	nguy hiểm; suýt nữa	Đường núi nguy hiểm, nên hãy lái xe chậm hơn một chút.	อันตราย; หวุดหวิด	ถนนบนเขาอันตราย ขับช้าลงหน่อยนะครับ	berbahaya; nyaris	Jalan gunung itu berbahaya, jadi pandulah sedikit perlahan.	berbahaya; nyaris	Jalan pegunungan itu berbahaya, jadi mengemudilah sedikit lebih pelan.
5026:限	限	限	制限する; 限る	一人につきチケットは二枚までに制限されている。	제한하다; 한정하다	한 사람당 표 두 장까지만 살 수 있다.	giới hạn; hạn chế	Mỗi người chỉ được mua tối đa hai vé.	จำกัด; กำหนดขอบเขต	แต่ละคนถูกจำกัดให้ซื้อบัตรได้สองใบ	menghadkan; mengehadkan	Setiap orang dihadkan untuk membeli dua tiket sahaja.	membatasi; membatasi hingga	Setiap orang dibatasi hanya boleh membeli dua tiket.
5027:线	线	线	線; 糸	この線に沿って切ってください。	선; 실	이 선을 따라 잘라 주세요.	đường; sợi chỉ	Vui lòng cắt theo đường này.	เส้น; ด้าย	กรุณาตัดตามเส้นนี้	garis; benang	Sila potong mengikut garisan ini.	garis; benang	Silakan potong mengikuti garis ini.
5028:现存	现存	现存	現存する; 現在残っている	現存する資料だけではこの結論を証明するには足りない。	현존하는; 현재 보존된	현존 자료만으로는 이 결론을 증명하기에 부족하다.	hiện còn; hiện được lưu giữ	Các tài liệu hiện có không đủ để chứng minh kết luận này.	ที่มีอยู่ในปัจจุบัน; ที่ยังคงเหลือ	เอกสารที่มีอยู่ในปัจจุบันยังไม่พอพิสูจน์ข้อสรุปนี้	yang masih ada; sedia ada	Bahan yang masih ada tidak cukup untuk membuktikan kesimpulan ini.	yang masih ada; yang tersimpan saat ini	Bahan yang ada saat ini belum cukup untuk membuktikan kesimpulan ini.
5029:限度	限度	限度	限度; 限界	彼の我慢はもう限界に達している。	한도; 한계	그의 인내심은 이미 한계에 이르렀다.	giới hạn; mức độ	Sự kiên nhẫn của anh ấy đã đến giới hạn.	ขีดจำกัด; ระดับจำกัด	ความอดทนของเขาถึงขีดจำกัดแล้ว	had; batasan	Kesabarannya sudah mencapai hadnya.	batas; batasan	Kesabarannya sudah mencapai batas.
5030:现货	现货	现货	在庫品; 現物	このスマートフォンは在庫があり、今日発送できる。	현물; 재고품	이 휴대폰은 재고가 있어서 오늘 발송할 수 있다.	hàng có sẵn	Điện thoại này có sẵn hàng và có thể gửi hôm nay.	สินค้าพร้อมส่ง; สินค้ามีสต็อก	โทรศัพท์รุ่นนี้มีของพร้อมส่งวันนี้	barang sedia ada; stok tersedia	Telefon ini ada stok dan boleh dihantar hari ini.	barang ready stock; stok tersedia	Ponsel ini tersedia stok dan bisa dikirim hari ini.
5033:限于	限于	限于	限られる	申込みは三十人に限られている。	-에 한정되다; 제한되다	신청 인원은 서른 명으로 제한된다.	giới hạn ở; chỉ trong	Việc đăng ký được giới hạn ở ba mươi người.	จำกัดอยู่ที่; จำกัดเฉพาะ	การลงทะเบียนจำกัดไว้ที่สามสิบคน	terhad kepada	Pendaftaran terhad kepada tiga puluh orang.	terbatas pada	Pendaftaran terbatas untuk tiga puluh orang.
5036:相传	相传	相传	伝えられるところでは	伝えられるところでは、この橋には三百年の歴史がある。	전해지기로는	전해지기로는 이 다리는 삼백 년의 역사를 가지고 있다.	theo truyền thuyết; tương truyền	Tương truyền cây cầu này có lịch sử ba trăm năm.	เล่ากันว่า; ตามตำนาน	เล่ากันว่าสะพานนี้มีประวัติสามร้อยปี	menurut cerita; dikatakan	Menurut cerita, jambatan ini mempunyai sejarah tiga ratus tahun.	konon; menurut cerita	Konon jembatan ini memiliki sejarah tiga ratus tahun.
5038:相连	相连	相连	つながっている	二つの都市は高速鉄道でつながっている。	서로 연결되다	두 도시는 고속철도로 연결되어 있다.	nối liền; liên kết	Hai thành phố được nối bằng đường sắt cao tốc.	เชื่อมต่อกัน	สองเมืองเชื่อมต่อกันด้วยรถไฟความเร็วสูง	bersambung; terhubung	Kedua-dua bandar itu dihubungkan oleh kereta api laju.	terhubung; tersambung	Kedua kota itu terhubung oleh kereta cepat.
5039:香水	香水	香水	香水; フレグランス	彼女は香りがとても強い香水が好きではない。	향수	그녀는 향이 너무 강한 향수를 좋아하지 않는다.	nước hoa	Cô ấy không thích nước hoa có mùi quá nồng.	น้ำหอม	เธอไม่ชอบน้ำหอมที่กลิ่นแรงมาก	minyak wangi	Dia tidak suka minyak wangi yang baunya terlalu kuat.	parfum	Dia tidak suka parfum yang aromanya terlalu kuat.
5052:小偷儿	小偷儿	小偷儿	泥棒; こそ泥	その泥棒はすぐ警察に捕まった。	도둑; 좀도둑	그 도둑은 곧 경찰에게 붙잡혔다.	kẻ trộm	Tên trộm đó nhanh chóng bị cảnh sát bắt.	ขโมย; หัวขโมย	ขโมยคนนั้นถูกตำรวจจับได้อย่างรวดเร็ว	pencuri	Pencuri itu segera ditangkap oleh polis.	pencuri	Pencuri itu segera ditangkap oleh polisi.
5053:笑容	笑容	笑容	笑顔	彼女の顔の笑顔で、みんな安心した。	미소; 웃는 얼굴	그녀 얼굴의 미소가 모두를 안심시켰다.	nụ cười	Nụ cười trên khuôn mặt cô ấy khiến mọi người yên tâm.	รอยยิ้ม	รอยยิ้มบนใบหน้าเธอทำให้ทุกคนสบายใจ	senyuman	Senyuman di wajahnya membuat semua orang berasa lega.	senyum; ekspresi tersenyum	Senyum di wajahnya membuat semua orang merasa tenang.
5054:效应	效应	效应	効果; 影響	この政策の効果はまだ観察する必要がある。	효과; 영향	이 정책의 효과는 아직 지켜봐야 한다.	hiệu ứng; tác động	Hiệu ứng của chính sách này vẫn cần được quan sát thêm.	ผลกระทบ; ผลลัพธ์	ผลของนโยบายนี้ยังต้องสังเกตต่อไป	kesan; impak	Kesan dasar ini masih perlu diperhatikan.	efek; dampak	Efek kebijakan ini masih perlu diamati.
5060:心爱	心爱	心爱	大切な; 愛用の	彼は旅行に大切なカメラを持って行った。	사랑하는; 아끼는	그는 여행에 아끼는 카메라를 가져갔다.	yêu quý; yêu thích	Anh ấy mang theo chiếc máy ảnh yêu quý trong chuyến đi.	ที่รัก; โปรดปราน	เขานำกล้องตัวโปรดไปเที่ยวด้วย	tersayang; kegemaran	Dia membawa kamera kesayangannya dalam perjalanan.	kesayangan; favorit	Dia membawa kamera kesayangannya dalam perjalanan.
5061:心底	心底	心底	心の底	彼女は心の底から先生に感謝した。	마음속 깊은 곳	그녀는 마음속 깊이 선생님께 감사했다.	tận đáy lòng	Cô ấy cảm ơn thầy giáo từ tận đáy lòng.	ก้นบึ้งของใจ	เธอขอบคุณครูจากก้นบึ้งของใจ	dasar hati	Dia berterima kasih kepada guru dari lubuk hatinya.	dasar hati	Dia berterima kasih kepada guru dari lubuk hatinya.
5062:新款	新款	新款	新型; 最新モデル	この店は新型の靴を入荷したばかりだ。	신형; 최신 스타일	이 가게는 새 디자인의 신발을 막 진열했다.	mẫu mới; kiểu mới	Cửa hàng này vừa bày bán một lô giày mẫu mới.	รุ่นใหม่; แบบใหม่	ร้านนี้เพิ่งนำรองเท้ารุ่นใหม่จำนวนหนึ่งขึ้นวางขาย	model baharu; gaya terkini	Kedai ini baru sahaja mempamerkan sekumpulan kasut model baharu.	model baru; gaya terbaru	Toko ini baru saja memajang sejumlah sepatu model baru.
5064:新媒体	新媒体	新媒体	新しいメディア; ニューメディア	新しいメディアは人々の情報取得の方法を変えた。	뉴미디어; 새로운 매체	뉴미디어는 사람들이 정보를 얻는 방식을 바꾸었다.	truyền thông mới	Truyền thông mới đã thay đổi cách mọi người tiếp nhận thông tin.	สื่อใหม่	สื่อใหม่เปลี่ยนวิธีที่ผู้คนรับข้อมูล	media baharu	Media baharu telah mengubah cara orang mendapatkan maklumat.	media baru	Media baru telah mengubah cara orang memperoleh informasi.
5065:心目	心目	心目	心の中; 考えの中	私の中で、彼女は優秀な作家だ。	마음속; 생각 속	내 마음속에서 그녀는 훌륭한 작가다.	trong lòng; trong suy nghĩ	Trong lòng tôi, cô ấy là một nhà văn xuất sắc.	ในใจ; ในความคิด	ในใจฉัน เธอเป็นนักเขียนที่ยอดเยี่ยม	dalam fikiran; dalam hati	Pada pandangan saya, dia seorang penulis yang cemerlang.	dalam benak; dalam hati	Dalam benak saya, dia adalah penulis yang sangat baik.
5066:新能源	新能源	新能源	新エネルギー	新エネルギー産業は急速に発展している。	신에너지	신에너지 산업이 빠르게 발전하고 있다.	năng lượng mới	Ngành năng lượng mới đang phát triển nhanh chóng.	พลังงานใหม่	อุตสาหกรรมพลังงานใหม่กำลังพัฒนาอย่างรวดเร็ว	tenaga baharu	Industri tenaga baharu sedang berkembang pesat.	energi baru	Industri energi baru berkembang pesat.
5069:新兴	新兴	新兴	新興の; 新しく起こった	新興産業は多くの若者を引きつけている。	신흥의; 새로 생긴	신흥 산업은 많은 젊은이를 끌어들였다.	mới nổi; mới hình thành	Các ngành mới nổi đã thu hút nhiều người trẻ.	เกิดใหม่; กำลังเติบโต	อุตสาหกรรมเกิดใหม่ดึงดูดคนหนุ่มสาวจำนวนมาก	baharu muncul; sedang berkembang	Industri baharu muncul telah menarik ramai orang muda.	baru muncul; berkembang	Industri yang baru muncul menarik banyak anak muda.
5071:心愿	心愿	心愿	願い; 心からの望み	彼女は長年抱いていた願いをついにかなえた。	소원; 마음속 바람	그녀는 여러 해 동안 품어 온 소원을 마침내 이루었다.	nguyện vọng; ước muốn trong lòng	Cuối cùng cô ấy đã thực hiện được nguyện vọng ấp ủ nhiều năm.	ความปรารถนา; ความใฝ่ฝัน	ในที่สุดเธอก็ทำความปรารถนาที่เก็บไว้มาหลายปีให้เป็นจริง	hasrat; keinginan hati	Akhirnya dia menunaikan hasrat yang disimpan bertahun-tahun.	keinginan; harapan hati	Akhirnya dia mewujudkan keinginan yang telah dipendam bertahun-tahun.
5075:兴起	兴起	兴起	興る; 台頭する	オンライン学習は多くの地域で台頭している。	일어나다; 부상하다	온라인 학습이 많은 지역에서 부상했다.	nổi lên; hình thành	Việc học trực tuyến đã nổi lên ở nhiều khu vực.	เกิดขึ้น; ได้รับความนิยม	การเรียนออนไลน์เกิดขึ้นในหลายพื้นที่	muncul; berkembang	Pembelajaran dalam talian telah berkembang di banyak wilayah.	muncul; berkembang	Pembelajaran daring telah muncul di banyak daerah.
5076:型号	型号	型号	型番; モデル	フォームにコンピューターの型番を書いてください。	모델명; 형번	양식에 컴퓨터 모델명을 적어 주세요.	mẫu máy; mã kiểu máy	Vui lòng ghi mẫu máy tính vào biểu mẫu.	รุ่น; หมายเลขรุ่น	กรุณาเขียนรุ่นคอมพิวเตอร์ลงในแบบฟอร์ม	model; nombor model	Sila tulis model komputer pada borang.	model; nomor model	Silakan tulis model komputer pada formulir.
5078:性价比	性价比	性价比	コストパフォーマンス; 費用対効果	このホテルはコストパフォーマンスがとても高い。	가성비	이 호텔은 가성비가 매우 좋다.	tỷ lệ giá trị so với giá; đáng tiền	Khách sạn này rất đáng tiền.	ความคุ้มค่า; อัตราส่วนคุณภาพต่อราคา	โรงแรมนี้คุ้มค่ามาก	nisbah harga dengan nilai; berbaloi	Hotel ini sangat berbaloi dengan harganya.	rasio harga dan kualitas; sepadan dengan harga	Hotel ini sangat sepadan dengan harganya.
5081:修订	修订	修订	改訂する; 修正する	編集者はこの教科書を改訂している。	수정하다; 개정하다	편집자가 이 교재를 수정하고 있다.	sửa đổi; hiệu đính	Biên tập viên đang sửa đổi giáo trình này.	แก้ไขปรับปรุง; ทบทวนแก้ไข	บรรณาธิการกำลังแก้ไขตำราเล่มนี้	menyemak semula; membaiki	Editor sedang menyemak semula buku teks ini.	merevisi; menyunting	Editor sedang merevisi buku ajar ini.
5083:袖子	袖子	袖子	袖	このコートの袖は少し長い。	소매	이 코트의 소매가 조금 길다.	tay áo	Tay áo của chiếc áo khoác này hơi dài.	แขนเสื้อ	แขนเสื้อโค้ตตัวนี้ยาวไปหน่อย	lengan baju	Lengan kot ini agak panjang.	lengan baju	Lengan mantel ini agak panjang.
5088:选修	选修	选修	選択科目として履修する	来学期、心理学を選択科目として履修したい。	선택 과목으로 수강하다	다음 학기에 심리학을 선택 과목으로 듣고 싶다.	học tự chọn	Học kỳ tới tôi muốn học tâm lý học như một môn tự chọn.	เลือกเรียนเป็นวิชาเลือก	เทอมหน้าฉันอยากเลือกเรียนจิตวิทยาเป็นวิชาเลือก	mengambil sebagai elektif	Semester depan saya mahu mengambil psikologi sebagai subjek elektif.	mengambil sebagai mata kuliah pilihan	Semester depan saya ingin mengambil psikologi sebagai mata kuliah pilihan.
5089:学会	学会	学会	学会; 協会	彼は地元の言語学会に入った。	학회; 협회	그는 지역 언어 학회에 가입했다.	hội học thuật; hiệp hội	Anh ấy tham gia hội ngôn ngữ học địa phương.	สมาคมวิชาการ; สมาคม	เขาเข้าร่วมสมาคมภาษาศาสตร์ท้องถิ่น	persatuan akademik; pertubuhan	Dia menyertai persatuan linguistik tempatan.	perhimpunan ilmiah; asosiasi	Dia bergabung dengan asosiasi linguistik setempat.
5092:学员	学员	学员	研修生; 受講生	研修クラスには二十人の受講生がいる。	수강생; 교육생	훈련반에는 교육생이 스무 명 있다.	học viên; người tham gia khóa học	Lớp đào tạo có hai mươi học viên.	ผู้เข้าอบรม; นักเรียนในคอร์ส	ในหลักสูตรฝึกอบรมมีผู้เข้าอบรมยี่สิบคน	pelatih; peserta kursus	Dalam kelas latihan itu ada dua puluh orang pelatih.	peserta pelatihan; siswa kursus	Di kelas pelatihan itu ada dua puluh peserta.
5093:血管	血管	血管	血管; 血の管	医師はこの血管をさらに検査する必要があると言った。	혈관	의사는 이 혈관을 추가로 검사해야 한다고 말했다.	mạch máu	Bác sĩ nói mạch máu này cần kiểm tra thêm.	หลอดเลือด	แพทย์บอกว่าหลอดเลือดเส้นนี้ต้องตรวจเพิ่มเติม	saluran darah	Doktor berkata saluran darah ini perlu diperiksa lagi.	pembuluh darah	Dokter mengatakan pembuluh darah ini perlu diperiksa lebih lanjut.
5094:血型	血型	血型	血液型	登録するときは血液型を記入する必要がある。	혈액형	등록할 때 혈액형을 적어야 한다.	nhóm máu	Khi đăng ký, cần điền nhóm máu.	กรุ๊ปเลือด	ตอนลงทะเบียนต้องกรอกกรุ๊ปเลือด	kumpulan darah	Semasa mendaftar, perlu mengisi kumpulan darah.	golongan darah	Saat mendaftar, perlu mengisi golongan darah.
5096:血液	血液	血液	血液; 血	運動は血液循環を促進できる。	혈액; 피	운동은 혈액 순환을 촉진할 수 있다.	máu	Tập thể dục có thể thúc đẩy tuần hoàn máu.	เลือด	การออกกำลังกายช่วยส่งเสริมการไหลเวียนของเลือด	darah	Senaman boleh melancarkan peredaran darah.	darah	Olahraga dapat memperlancar peredaran darah.
5098:寻求	寻求	寻求	探し求める; 求める	彼らはよりよい解決策を探し求めている。	찾다; 모색하다	그들은 더 나은 해결책을 찾고 있다.	tìm kiếm; mưu cầu	Họ đang tìm kiếm một giải pháp tốt hơn.	แสวงหา; มองหา	พวกเขากำลังมองหาวิธีแก้ปัญหาที่ดีกว่า	mencari; mengusahakan	Mereka sedang mencari penyelesaian yang lebih baik.	mencari; mengupayakan	Mereka sedang mencari solusi yang lebih baik.
5101:淹	淹	淹	水浸しにする; 浸かる	大雨で低い場所の道路が水浸しになった。	물에 잠기다; 침수시키다	큰비가 낮은 곳의 도로를 물에 잠기게 했다.	ngập; làm ngập	Mưa lớn làm con đường chỗ thấp bị ngập.	ท่วม; จมน้ำ	ฝนตกหนักทำให้ถนนบริเวณที่ต่ำถูกน้ำท่วม	menenggelamkan; dibanjiri	Hujan lebat membanjiri jalan di kawasan rendah.	membanjiri; terendam	Hujan deras membanjiri jalan di daerah rendah.
5103:严	严	严	厳しい; 厳格な	学校は試験の規律にとても厳しい。	엄격하다; 엄하다	학교는 시험 규율에 매우 엄격하다.	nghiêm; nghiêm khắc	Nhà trường rất nghiêm về kỷ luật thi cử.	เข้มงวด; รุนแรง	โรงเรียนเข้มงวดมากเรื่องวินัยการสอบ	ketat; tegas	Sekolah sangat tegas tentang disiplin peperiksaan.	ketat; tegas	Sekolah sangat ketat soal disiplin ujian.
5111:研讨	研讨	研讨	検討する; 研究討議する	専門家たちは新しい治療計画を検討している。	연구 토론하다; 검토하다	전문가들이 새로운 치료 계획을 논의하고 검토하고 있다.	thảo luận nghiên cứu; bàn thảo	Các chuyên gia đang thảo luận về một phương án điều trị mới.	หารือศึกษา; ประชุมอภิปราย	ผู้เชี่ยวชาญกำลังหารือแผนการรักษาใหม่	membincangkan dan mengkaji	Pakar sedang membincangkan pelan rawatan baharu.	membahas dan mengkaji	Para ahli sedang membahas rencana perawatan baru.
5113:言语	言语	言语	言葉; 発言	彼の言葉はとても誠実だった。	말; 언어	그의 말은 매우 진심이었다.	lời nói; ngôn ngữ	Lời nói của anh ấy rất chân thành.	คำพูด; ภาษา	คำพูดของเขาจริงใจมาก	kata-kata; pertuturan	Kata-katanya sangat ikhlas.	kata-kata; tuturan	Kata-katanya sangat tulus.
5114:炎症	炎症	炎症	炎症; 炎症反応	この薬は炎症を抑えることができる。	염증	이 약은 염증을 줄일 수 있다.	viêm; tình trạng viêm	Thuốc này có thể giảm viêm.	การอักเสบ	ยานี้สามารถลดการอักเสบได้	keradangan	Ubat ini boleh mengurangkan keradangan.	peradangan	Obat ini dapat mengurangi peradangan.
5116:眼看	眼看	眼看	まもなく; 目の前で	もうすぐ暗くなるので、戻ったほうがいい。	곧; 눈앞에서	곧 어두워지니 우리는 돌아가야 한다.	sắp; thấy rõ	Trời sắp tối rồi, nên chúng ta nên quay về.	กำลังจะ; เห็นอยู่ต่อหน้า	ใกล้จะมืดแล้ว เราควรกลับกันเถอะ	hampir; tidak lama lagi	Hari hampir gelap, jadi kita patut pulang.	segera; hampir	Sebentar lagi gelap, jadi kita sebaiknya kembali.
5120:仰	仰	仰	仰ぐ; 見上げる	子どもは星を見上げた。	우러러보다; 올려다보다	아이는 별을 올려다보았다.	ngẩng lên; nhìn lên	Đứa trẻ ngẩng lên nhìn các vì sao.	เงยหน้า; มองขึ้น	เด็กเงยหน้ามองดวงดาว	mendongak; memandang ke atas	Kanak-kanak itu mendongak melihat bintang.	menengadah; melihat ke atas	Anak itu menengadah melihat bintang-bintang.
5122:养老	养老	养老	老後に備える; 老人を養う	彼らは退職後の老後生活を計画している。	노후를 준비하다; 부양하다	그들은 은퇴 후의 노후 생활을 계획하고 있다.	dưỡng lão; chuẩn bị tuổi già	Họ đang lên kế hoạch cho cuộc sống tuổi già sau khi nghỉ hưu.	เตรียมชีวิตยามชรา; เลี้ยงดูผู้สูงอายุ	พวกเขากำลังวางแผนชีวิตหลังเกษียณในวัยชรา	menyara hari tua; menjaga warga tua	Mereka sedang merancang kehidupan hari tua selepas bersara.	menyiapkan hari tua; merawat lansia	Mereka sedang merencanakan kehidupan masa tua setelah pensiun.
5123:养老院	养老院	养老院	老人ホーム; 介護施設	この老人ホームは病院にとても近い。	요양원; 양로원	이 요양원은 병원과 매우 가깝다.	viện dưỡng lão	Viện dưỡng lão này rất gần bệnh viện.	บ้านพักคนชรา; สถานดูแลผู้สูงอายุ	บ้านพักคนชราแห่งนี้อยู่ใกล้โรงพยาบาลมาก	rumah orang tua; pusat jagaan warga emas	Rumah orang tua ini sangat dekat dengan hospital.	panti jompo; rumah lansia	Panti jompo ini sangat dekat dengan rumah sakit.
5125:样	样	样	種類; 型	彼は三種類のお菓子を買った。	종류; 모양	그는 간식 세 종류를 샀다.	loại; kiểu	Anh ấy mua ba loại đồ ăn vặt.	ชนิด; แบบ	เขาซื้อขนมสามชนิด	jenis; macam	Dia membeli tiga jenis snek.	jenis; macam	Dia membeli tiga jenis camilan.
5128:要么	要么	要么	あるいは; さもなければ	今出発するか、明日まで待つかのどちらかだ。	아니면; 또는	지금 떠나거나 아니면 내일까지 기다려라.	hoặc là; nếu không	Hoặc rời đi bây giờ, hoặc đợi đến ngày mai.	ไม่ก็; หรือไม่ก็	ไม่ก็ออกไปตอนนี้ หรือไม่ก็รอถึงพรุ่งนี้	sama ada; ataupun	Sama ada pergi sekarang atau tunggu sampai esok.	entah; atau	Entah pergi sekarang atau tunggu sampai besok.
5130:野	野	野	野生の; 荒れた	この山地には野の花がたくさんある。	야생의; 거친	이 산간 지역에는 야생화가 많다.	hoang dã; dại	Vùng núi này có nhiều hoa dại.	ป่า; ตามธรรมชาติ	บริเวณภูเขานี้มีดอกไม้ป่าจำนวนมาก	liar; tidak ditanam	Di kawasan gunung ini terdapat banyak bunga liar.	liar; tidak dibudidayakan	Di daerah pegunungan ini ada banyak bunga liar.
5131:也好	也好	也好	であれ; でもよい	行くにしても行かないにしても、私に知らせなければならない。	-이든; 그래도 좋다	가든 안 가든 나에게 말해야 한다.	dù... hay; cũng được	Dù bạn đi hay không, bạn cũng phải nói với tôi.	ไม่ว่าจะ...หรือ; ก็ได้	ไม่ว่าคุณจะไปหรือไม่ไป ก็ต้องบอกฉัน	baik... mahupun; pun boleh	Sama ada kamu pergi atau tidak, kamu mesti beritahu saya.	baik... maupun; boleh juga	Baik kamu pergi maupun tidak, kamu harus memberi tahu saya.
5132:野生	野生	野生	野生の	ここでは野生動物を捕まえることは禁止されている。	야생의	여기서는 야생 동물을 잡는 것이 금지되어 있다.	hoang dã; sống trong tự nhiên	Ở đây cấm bắt động vật hoang dã.	ป่า; ตามธรรมชาติ	ที่นี่ห้ามจับสัตว์ป่า	liar; hidup di alam liar	Di sini dilarang menangkap haiwan liar.	liar; hidup di alam liar	Di sini dilarang menangkap hewan liar.
5133:野外	野外	野外	野外; 屋外	学生たちは野外で植物を観察した。	야외; 현장	학생들은 야외에서 식물을 관찰했다.	ngoài trời; thực địa	Học sinh quan sát thực vật ngoài thực địa.	กลางแจ้ง; ภาคสนาม	นักเรียนสังเกตพืชในภาคสนาม	luar; lapangan	Pelajar memerhatikan tumbuhan di lapangan.	alam terbuka; lapangan	Para siswa mengamati tanaman di lapangan.
