simplified	KM	example_KM
爆发	ផ្ទុះឡើង	ភ្នំភ្លើងបានផ្ទុះឡើងភ្លាមៗ។
爆炸	ការផ្ទុះ	នៅមន្ទីរពិសោធន៍បានកើតមានការផ្ទុះ។
卑鄙	ថោកទាប	វិធីថោកទាបបែបនេះធ្វើឲ្យមនុស្សខឹងខ្លាំង។
悲哀	សោកសៅ	ពេលឮដំណឹងនេះ គាត់មានអារម្មណ៍សោកសៅណាស់។
悲惨	អាណោចអាធម	នោះជាប្រវត្តិសាស្ត្រដ៏អាណោចអាធមមួយ។
北极	ប៉ូលខាងជើង	អ្នកវិទ្យាសាស្ត្រធ្វើការស្រាវជ្រាវនៅប៉ូលខាងជើង។
备份	ចម្លងបម្រុងទុក	សូមចម្លងបម្រុងទុកឯកសារសំខាន់ៗជាមុន។
备忘录	កំណត់ហេតុរំលឹក	នាងបានសរសេរចំណុចសំខាន់ៗក្នុងកំណត់ហេតុរំលឹក។
背叛	ក្បត់	គាត់មិនអាចទទួលយកការក្បត់របស់មិត្តបានទេ។
背诵	ទន្ទេញ	សិស្សកំពុងទន្ទេញអត្ថបទមេរៀន។
被动	អកម្ម; ស្ថិតក្នុងភាពត្រូវគេដឹកនាំ	ក្នុងការចរចា យើងមិនគួរអកម្មពេកទេ។
被告	ចុងចោទ	ចុងចោទបានបដិសេធការចោទប្រកាន់ទាំងអស់។
贝壳	សំបកខ្យង	ក្មេងៗរើសសំបកខ្យងនៅមាត់សមុទ្រ។
奔波	រវល់ធ្វើដំណើរទៅមក	គាត់រវល់ធ្វើដំណើរទៅមកគ្រប់ទីកន្លែងសម្រាប់ការងារ។
奔驰	បើកលឿន; រត់លឿន	រថយន្តកំពុងបើកលឿនលើផ្លូវល្បឿនលឿន។
本能	សភាវគតិ	ការពារកូនគឺជាសភាវគតិរបស់ឪពុកម្តាយ។
本钱	ដើមទុន	ធ្វើអាជីវកម្មត្រូវការដើមទុន។
本人	ខ្លួនផ្ទាល់	ខ្លួនខ្ញុំផ្ទាល់សុខចិត្តទទួលខុសត្រូវ។
本身	ខ្លួនវា	ផែនការនេះខ្លួនវាមិនមានបញ្ហាទេ។
本事	សមត្ថភាព	គាត់មានសមត្ថភាពខ្លាំងណាស់។
笨拙	មិនរហ័សរហួន; ឆ្គាំឆ្គង	ចលនារបស់គាត់ឆ្គាំឆ្គងបន្តិច។
崩溃	ដួលរលំ; ខូចទាំងស្រុង	ប្រព័ន្ធបានខូចទាំងស្រុងភ្លាមៗ។
甭	មិនបាច់	រឿងនេះអ្នកមិនបាច់បារម្ភទេ។
蹦	លោត	កូនឆ្កែលោតទៅមកលើវាលស្មៅ។
迸发	ផ្ទុះចេញ	សំឡេងទះដៃបានផ្ទុះចេញពីហ្វូងមនុស្ស។
逼迫	បង្ខំ	ពួកគេបានបង្ខំគាត់ឲ្យចុះហត្ថលេខាលើកិច្ចសន្យា។
鼻涕	ទឹកសំបោរ	ក្មេងនោះផ្តាសាយ ហើយហូរទឹកសំបោរជាប់។
比方	ឧទាហរណ៍	ឧទាហរណ៍ យើងអាចសាកល្បងមួយខែជាមុន។
比喻	ការប្រៀបធៀប	ការប្រៀបធៀបនេះមានរូបភាពច្បាស់ណាស់។
比重	សមាមាត្រ	សមាមាត្រនៃឧស្សាហកម្មសេវាកម្មកាន់តែខ្ពស់ឡើង។
鄙视	មើលងាយ	កុំមើលងាយការខិតខំរបស់អ្នកដទៃ។
弊病	កំហុសរចនាសម្ព័ន្ធ; ជំងឺក្នុងប្រព័ន្ធ	ប្រព័ន្ធបែបនេះមានកំហុសរចនាសម្ព័ន្ធមិនតិចទេ។
弊端	ចំណុចខ្សោយ	ផែនការថ្មីបានដោះស្រាយចំណុចខ្សោយនៃប្រព័ន្ធចាស់។
臂	ដៃ	ដៃស្តាំរបស់គាត់រងរបួស។
闭塞	ដាច់ស្រយាល; មិនបើកចំហ	ភូមិភ្នំនេះកាលពីមុនមានការធ្វើដំណើរដាច់ស្រយាលណាស់។
编织	ត្បាញ	ជីដូនកំពុងត្បាញអាវរោមមួយ។
边疆	តំបន់ព្រំដែន	ទាហានជាច្រើនកំពុងការពារតំបន់ព្រំដែនរបស់មាតុភូមិ។
边界	ព្រំដែន	ប្រទេសទាំងពីរបានកំណត់ព្រំដែនឡើងវិញ។
边境	តំបន់ព្រំប្រទល់	តំបន់ព្រំប្រទល់បានបង្កើនការត្រួតពិនិត្យសុវត្ថិភាព។
边缘	គែម	កែវត្រូវបានដាក់នៅគែមតុ។
鞭策	ជំរុញលើកទឹកចិត្ត	ពាក្យរបស់គ្រូតែងតែជំរុញលើកទឹកចិត្តខ្ញុំ។
扁	សំប៉ែត	ប្រអប់នេះទូលាយហើយសំប៉ែត។
贬低	បន្ទាបតម្លៃ	កុំបន្ទាបតម្លៃការខិតខំរបស់អ្នកដទៃដោយចៃដន្យ។
贬义	អត្ថន័យអវិជ្ជមាន	ពាក្យនេះនៅទីនេះមានអត្ថន័យអវិជ្ជមាន។
便利	ងាយស្រួល	រថភ្លើងក្រោមដីធ្វើឲ្យការធ្វើដំណើរកាន់តែងាយស្រួល។
便条	ក្រដាសកំណត់សារ	គាត់បានទុកក្រដាសកំណត់សារមួយលើតុ។
便于	ងាយស្រួលសម្រាប់	ការរចនានេះងាយស្រួលសម្រាប់មនុស្សចាស់ប្រើ។
变故	ហេតុការណ៍មិននឹកស្មាន	ក្នុងគ្រួសារបានកើតមានហេតុការណ៍មិននឹកស្មានភ្លាមៗ។
变迁	ការប្រែប្រួល	ការប្រែប្រួលរបស់ទីក្រុងធ្វើឲ្យគាត់មានអារម្មណ៍ជាច្រើន។
变质	ខូចគុណភាព	ទឹកដោះគោទុកយូរនឹងខូចគុណភាព។
辨认	សម្គាល់ចេញ	ប៉ូលិសបានឲ្យគាត់សម្គាល់មនុស្សក្នុងរូបថត។
辩护	ការពារក្តី	មេធាវីការពារក្តីឲ្យចុងចោទ។
辩解	បកស្រាយការពារ	គាត់ព្យាយាមបកស្រាយការពារកំហុសរបស់ខ្លួន។
辩证	ដោយវិភាគទាំងពីរផ្នែក	យើងត្រូវមើលបញ្ហានេះដោយវិភាគទាំងពីរផ្នែក។
辫子	ចង្កៀងសក់	ក្មេងស្រីនោះចងចង្កៀងសក់ពីរ។
遍布	រីករាលដាលពេញ	រុក្ខជាតិនេះរីករាលដាលពេញប្រទេស។
标本	គំរូសំណាក	នៅសារមន្ទីរមានដាក់តាំងគំរូសំណាកសត្វ។
标记	សញ្ញាសម្គាល់	សូមធ្វើសញ្ញាសម្គាល់នៅក្បែរវគ្គសំខាន់ៗ។
标题	ចំណងជើង	ចំណងជើងអត្ថបទនេះទាក់ទាញណាស់។
表决	បោះឆ្នោតសម្រេច	តំណាងទាំងឡាយនឹងបោះឆ្នោតសម្រេចលើសំណើ។
表态	បង្ហាញជំហរ	គាត់នៅមិនទាន់បង្ហាញជំហរជាសាធារណៈទេ។
表彰	សរសើរលើកតម្កើង	ក្រុមហ៊ុនបានសរសើរលើកតម្កើងបុគ្គលិកឆ្នើម។
憋	ទប់ទល់; ទប់	គាត់ទប់សំណើច ហើយមិននិយាយ។
别墅	វីឡា	ពួកគេបានទិញវីឡាមួយនៅជាយក្រុង។
别致	ប្លែកស្អាត	ការតុបតែងហាងកាហ្វេនេះប្លែកស្អាតណាស់។
别扭	មិនរលូន; មិនស្រួលស្តាប់	ប្រយោគនេះស្តាប់ទៅមិនរលូនបន្តិច។
濒临	ជិតដល់	សត្វប្រភេទនេះជិតផុតពូជ។
冰雹	ព្រឹល	ម្សិលមិញរសៀលមានព្រឹលធ្លាក់ខ្លាំង។
丙	គ	ការប្រកួតក្រុមគនឹងចាប់ផ្តើមនៅរសៀល។
并非	មិនមែន	រឿងនេះមិនមែនដូចដែលអ្នកគិតទេ។
并列	ស្មើគ្នា	គម្រោងទាំងពីរនេះជាប់លេខមួយស្មើគ្នា។
剥削	កេងប្រវ័ញ្ច	សង្គមចាស់មានការកេងប្រវ័ញ្ចធ្ងន់ធ្ងរ។
拨	ចុចលេខ; បង្វិល	សូមចុចលេខទូរស័ព្ទនេះ។
播种	សាបព្រោះ	កសិករចាប់ផ្តើមសាបព្រោះនៅនិទាឃរដូវ។
波浪	រលក	លើផ្ទៃសមុទ្រមានរលកធំៗកំពុងកក្រើកឡើង។
波涛	រលកធំ	កប៉ាល់កំពុងធ្វើដំណើរទៅមុខក្នុងរលកធំៗ។
伯母	ម្តាយមីងធំ	ខ្ញុំនឹងទៅសួរសុខទុក្ខម្តាយមីងធំនៅចុងសប្តាហ៍។
博大精深	ទូលំទូលាយនិងជ្រាលជ្រៅ	វប្បធម៌ចិនទូលំទូលាយនិងជ្រាលជ្រៅ។
博览会	ពិព័រណ៍អន្តរជាតិ	ពិព័រណ៍អន្តរជាតិបានទាក់ទាញក្រុមហ៊ុនជាច្រើន។
搏斗	ប្រយុទ្ធគ្នា	ប៉ូលិសនិងជនល្មើសបានប្រយុទ្ធគ្នា។
薄弱	ខ្សោយ	មូលដ្ឋានវេយ្យាករណ៍របស់គាត់ខ្សោយជាងគេបន្តិច។
不顾	មិនខ្វល់ពី	គាត់មិនខ្វល់ពីគ្រោះថ្នាក់ ហើយរត់ចូលទៅ។
不愧	សមនឹងឈ្មោះជា	គាត់ពិតជាសមនឹងឈ្មោះជាអ្នកជំនាញមានបទពិសោធន៍។
不料	មិននឹកស្មានថា	មិននឹកស្មានថាកិច្ចប្រជុំត្រូវបានលុបចោលភ្លាមៗ។
不像话	មិនសមរម្យ	អ្នកធ្វើបែបនេះចំពោះភ្ញៀវមិនសមរម្យពេក។
不屑一顾	មិនយកចិត្តទុកដាក់សោះ	គាត់មិនយកចិត្តទុកដាក់សោះចំពោះពាក្យចចាមអារ៉ាមទាំងនេះ។
哺乳	បំបៅដោះ	ម្តាយកំពុងបំបៅដោះទារក។
捕捉	ចាប់យក	អ្នកថតរូបបានចាប់យកពេលវេលាដ៏អស្ចារ្យ។
补偿	សំណង; សងជំងឺចិត្ត	ក្រុមហ៊ុននឹងផ្តល់សំណងសម្រាប់ការខាតបង់របស់អ្នក។
补救	សង្គ្រោះកែតម្រូវ	យើងនៅទាន់ពេលសង្គ្រោះកែតម្រូវបាន។
补贴	ប្រាក់ឧបត្ថម្ភ	រដ្ឋាភិបាលផ្តល់ប្រាក់ឧបត្ថម្ភដល់គ្រួសារចំណូលទាប។
不得已	ចៀសមិនផុត	គាត់ចាកចេញពីស្រុកកំណើតដោយចៀសមិនផុត។
不妨	អាចសាកល្បង; មិនខូចអ្វីទេ	អ្នកអាចសាកល្បងស្តាប់ការពន្យល់របស់គាត់ជាមុន។
不敢当	មិនហ៊ានទទួល	អ្នកសរសើរខ្ញុំបែបនេះ ខ្ញុំពិតជាមិនហ៊ានទទួលទេ។
不禁	មិនអាចទប់បាន	ពេលឮដំណឹងនេះ គាត់មិនអាចទប់សំណើចបាន។
不堪	មិនអាចទ្រាំបាន	សំឡេងរំខាននៅទីនេះធ្វើឲ្យមនុស្សមិនអាចទ្រាំបាន។
不可思议	មិនគួរឲ្យជឿ	លទ្ធផលនេះពិតជាមិនគួរឲ្យជឿ។
不免	ចៀសមិនផុតនឹង	ឡើងឆាកលើកដំបូង គាត់ចៀសមិនផុតនឹងតានតឹងបន្តិច។
不时	ម្តងម្កាល	គាត់ម្តងម្កាលលើកក្បាលមើលនាឡិកា។
不惜	មិនស្ទាក់ស្ទើរ	ដើម្បីជួយមនុស្ស គាត់មិនស្ទាក់ស្ទើរនឹងប្រថុយគ្រោះថ្នាក់។
不相上下	ប្រហាក់ប្រហែលគ្នា	កម្លាំងក្រុមទាំងពីរប្រហាក់ប្រហែលគ្នា។
不言而喻	មិនចាំបាច់និយាយក៏យល់	សារៈសំខាន់នៃភាពស្មោះត្រង់មិនចាំបាច់និយាយក៏យល់។
不由得	ដោយមិនដឹងខ្លួន	ពេលឃើញរូបថតចាស់ៗ ខ្ញុំដោយមិនដឹងខ្លួនបាននឹកដល់កុមារភាព។
不择手段	មិនរើសវិធីសាស្ត្រ	ដើម្បីរកលុយ គាត់មិនរើសវិធីសាស្ត្រឡើយ។
不止	លើសពី	អ្នកចូលរួមកិច្ចប្រជុំលើសពីមួយរយនាក់។
布告	សេចក្តីជូនដំណឹង	នៅមាត់ទ្វារសាលាមានបិទសេចក្តីជូនដំណឹងមួយ។
布局	ការរៀបចំប្លង់	ការរៀបចំប្លង់ផ្ទះនេះសមហេតុផលណាស់។
布置	រៀបចំ; ចាត់ចែង	គ្រូបានចាត់ចែងកិច្ចការផ្ទះថ្មី។
步伐	ជំហានដើរ	ក្រុមបានដើរទៅមុខដោយជំហានដើររៀបរយ។
部署	រៀបចំដាក់ផែនការ	ក្រុមហ៊ុនកំពុងរៀបចំដាក់ផែនការលក់ថ្មី។
部位	ផ្នែក	វេជ្ជបណ្ឌិតបានពិនិត្យផ្នែកដែលរងរបួស។
才干	សមត្ថភាព	នាងមានសមត្ថភាពខ្លាំងក្នុងការគ្រប់គ្រង។
裁缝	ជាងកាត់ដេរ	ជាងកាត់ដេររូបនេះមានជំនាញល្អណាស់។
裁判	អាជ្ញាកណ្តាល	អាជ្ញាកណ្តាលបានប្រកាសផ្អាកការប្រកួត។
裁员	កាត់បន្ថយបុគ្គលិក	ក្រុមហ៊ុនសម្រេចកាត់បន្ថយបុគ្គលិកដោយសារខាតបង់។
财富	ទ្រព្យសម្បត្តិ	ចំណេះដឹងក៏ជាទ្រព្យសម្បត្តិមួយដែរ។
财务	ហិរញ្ញវត្ថុ	ផ្នែកហិរញ្ញវត្ថុកំពុងផ្ទៀងផ្ទាត់គណនី។
财政	ហិរញ្ញវត្ថុសាធារណៈ	ចំណូលហិរញ្ញវត្ថុសាធារណៈឆ្នាំនេះមានការកើនឡើង។
彩票	ឆ្នោត	គាត់ម្តងម្កាលទិញឆ្នោតមួយសន្លឹក។
采购	ទិញផ្គត់ផ្គង់	ក្រុមហ៊ុនបានចាត់មនុស្សទៅទិញផ្គត់ផ្គង់ឧបករណ៍។
采集	ប្រមូលយក	អ្នកស្រាវជ្រាវបានប្រមូលយកគំរូនៅក្នុងព្រៃ។
采纳	ទទួលយក	មេដឹកនាំបានទទួលយកសំណើរបស់យើង។
参谋	អ្នកប្រឹក្សា	គាត់ជាញឹកញាប់ធ្វើជាអ្នកប្រឹក្សាឲ្យអ្នកគ្រប់គ្រង។
参照	យោងតាម	សូមយោងតាមទម្រង់នេះដើម្បីបំពេញតារាង។
残疾	ពិការភាព	ស្ថានីយ៍នេះផ្តល់ជំនួយដល់អ្នកដំណើរមានពិការភាព។
残酷	ឃោរឃៅ	សង្គ្រាមឃោរឃៅខ្លាំងណាស់។
残留	នៅសល់	ក្នុងកែវនៅសល់ក្លិនកាហ្វេ។
残忍	សាហាវឃោរឃៅ	ការធ្វើបាបសត្វគឺជាអំពើសាហាវឃោរឃៅ។
灿烂	ភ្លឺស្រស់ស្អាត	នាងបានបង្ហាញស្នាមញញឹមភ្លឺស្រស់ស្អាត។
仓促	ប្រញាប់ពេក	ការសម្រេចចិត្តនេះធ្វើប្រញាប់ពេក។
仓库	ឃ្លាំង	ទំនិញត្រូវបានបញ្ជូនទៅឃ្លាំងរួចហើយ។
舱	បន្ទប់ក្នុងយាន	អ្នកដំណើរកំពុងចូលទៅក្នុងបន្ទប់យន្តហោះ។
苍白	ស្លេក	មុខរបស់គាត់មើលទៅស្លេក។
操劳	នឿយហត់ខំប្រឹង	ម្តាយបាននឿយហត់ខំប្រឹងសម្រាប់គ្រួសារនេះអស់ជាច្រើនឆ្នាំ។
操练	ហ្វឹកហាត់	ទាហានហ្វឹកហាត់រៀងរាល់ព្រឹក។
操纵	បញ្ជាឲ្យដំណើរការ; គ្រប់គ្រង	ម៉ាស៊ីននេះត្រូវបានបញ្ជាឲ្យដំណើរការដោយកុំព្យូទ័រ។
操作	ប្រតិបត្តិការ; ដំណើរការ	សូមដំណើរការឧបករណ៍តាមសេចក្តីណែនាំ។
嘈杂	អ៊ូអរ	នៅស្ថានីយ៍មានសំឡេងអ៊ូអរណាស់។
草案	សេចក្តីព្រាង	គណៈកម្មាធិការកំពុងពិភាក្សាសេចក្តីព្រាង។
草率	ប្រញាប់ប្រញាល់មិនប្រុងប្រយ័ត្ន	ការសម្រេចចិត្តសំខាន់បែបនេះមិនអាចធ្វើប្រញាប់ប្រញាល់មិនប្រុងប្រយ័ត្នបានទេ។
侧面	ផ្នែកចំហៀង	មើលពីផ្នែកចំហៀង អគារនេះកាន់តែខ្ពស់។
测量	វាស់វែង	វិស្វករកំពុងវាស់វែងប្រវែងស្ពាន។
策划	រៀបចំផែនការ	ពួកគេបានរៀបចំផែនការសកម្មភាពធំមួយ។
策略	យុទ្ធសាស្ត្រ	យុទ្ធសាស្ត្រនេះជួយក្រុមហ៊ុនកាត់បន្ថយថ្លៃដើម។
层出不穷	កើតឡើងជាបន្តបន្ទាប់មិនឈប់	បញ្ហាថ្មីៗកើតឡើងជាបន្តបន្ទាប់មិនឈប់។
层次	លំដាប់ថ្នាក់; រចនាសម្ព័ន្ធ	រចនាសម្ព័ន្ធអត្ថបទនេះច្បាស់ណាស់។
差别	ភាពខុសគ្នា	វិធីពីរនេះមានភាពខុសគ្នាមិនធំទេ។
插座	រន្ធភ្លើង	រន្ធភ្លើងក្នុងបន្ទប់នេះមិនគ្រប់គ្រាន់ប្រើទេ។
查获	រកឃើញនិងរឹបអូស	គយបានរកឃើញនិងរឹបអូសទំនិញក្លែងក្លាយមួយចំនួន។
刹那	ពេលភ្លាមៗ	ក្នុងពេលភ្លាមៗ ភ្លើងទាំងអស់បានរលត់។
岔	បែកផ្លូវ	រថយន្តបានបែកផ្លូវនៅចំណុចប្រសព្វខាងមុខ។
诧异	ភ្ញាក់ផ្អើលចម្លែកចិត្ត	ការសម្រេចចិត្តរបស់គាត់ធ្វើឲ្យមនុស្សគ្រប់គ្នាភ្ញាក់ផ្អើលចម្លែកចិត្ត។
柴油	ប្រេងម៉ាស៊ូត	ឡានដឹកទំនិញនេះប្រើប្រេងម៉ាស៊ូត។
搀	ជួយទប់ដើរ	អ្នកគិលានុបដ្ឋាយិកាជួយទប់មនុស្សចាស់ដើរចូលបន្ទប់អ្នកជំងឺ។
缠绕	រុំព័ទ្ធជាប់	វល្លិបានរុំព័ទ្ធជាប់លើមែកឈើ។
馋	ឃ្លានចង់ញ៉ាំ	ពេលឃើញនំខេក ក្មេងមានអារម្មណ៍ឃ្លានចង់ញ៉ាំបន្តិច។
产业	ឧស្សាហកម្ម	វិស័យទេសចរណ៍ជាឧស្សាហកម្មសំខាន់នៅទីនេះ។
阐述	ពន្យល់លម្អិត	សាស្ត្រាចារ្យបានពន្យល់លម្អិតអំពីទស្សនៈរបស់ខ្លួន។
颤抖	ញ័រ	នាងត្រជាក់រហូតរាងកាយទាំងមូលញ័រ។
昌盛	រុងរឿង	យើងសង្ឃឹមថាប្រទេសជាតិរុងរឿង។
偿还	សងវិញ	គាត់បានសងប្រាក់កម្ចីទាន់ពេល។
尝试	សាកល្បង	យើងអាចសាកល្បងវិធីថ្មី។
场合	ឱកាស; បរិបទ	បរិបទបែបនេះមិនសមស្របសម្រាប់លេងសើចទេ។
场面	ទិដ្ឋភាព	ទិដ្ឋភាពពិធីមង្គលការរស់រវើកណាស់។
场所	ទីកន្លែង	ទីនេះជាទីកន្លែងសាធារណៈ សូមកុំជក់បារី។
敞开	បើកទូលាយ	សូមបើកបង្អួចទូលាយមួយសន្ទុះ។
