source_headword	RU	example_RU
angel	ангел	Ребенок был в костюме ангела.
anonymous	анонимный	Жалоба была анонимной.
apparatus	аппарат	Лабораторный аппарат нуждается в чистке.
appealing	привлекательный	Предложение выглядит привлекательным для студентов.
appetite	аппетит	Упражнения усилили его аппетит.
applaud	аплодировать	Публика начала громко аплодировать.
applicable	применимый	Скидка применима сегодня.
appoint	назначать	Правление назначит директора.
appreciation	признательность	Она выразила признательность за их помощь.
arbitrary	произвольный	Крайний срок показался сотрудникам произвольным.
architectural	архитектурный	Город охраняет свое архитектурное наследие.
archive	архив	В архиве хранятся старые фотографии.
arena	арена	Дебаты перешли на публичную арену.
arguably	возможно	Возможно, это его лучший роман.
arm	вооружать	Охранники вооружат конвой.
array	множество	Магазин предлагает множество инструментов.
articulate	формулировать	Она может ясно формулировать сложные идеи.
ash	пепел	Пепел покрыл машину после пожара.
aspiration	стремление	Ее стремление - стать хирургом.
aspire	стремиться	Многие студенты стремятся учиться за границей.
assassination	убийство	Убийство изменило политику страны.
assault	нападение	Нападение произошло возле станции.
assemble	собирать	Рабочие собирают мебель вручную.
assembly	собрание	Школьное собрание начинается в девять.
assert	отстаивать	Он пытался отстоять свой авторитет.
assertion	утверждение	Ее утверждение удивило комиссию.
assurance	гарантия	Менеджер дал гарантию поддержки.
asylum	убежище	Семья попросила убежище на границе.
atrocity	зверство	В фильме рассказывалось о военном зверстве.
attain	достигать	Немногие бегуны достигают такой скорости.
attendance	посещаемость	Посещаемость улучшилась после объявления.
attorney	адвокат	Адвокат допросил свидетеля.
attribute	приписывать	Ученые приписывают этот рост загрязнению.
audit	аудит	Аудит выявил несколько ошибок.
authentic	аутентичный	В ресторане подают аутентичную региональную еду.
authorize	санкционировать	Только менеджеры могут санкционировать возврат средств.
auto	авто	Автомобильная промышленность быстро изменилась.
autonomy	автономия	Регион хочет большей автономии.
availability	доступность	Наличие мест ограничено.
await	ожидать	Несколько сообщений ожидают вашего ответа.
backdrop	фон	Горы образовывали живописный фон.
backing	поддержка	Предложение получило поддержку избирателей.
backup	резервная копия	Система ежедневно создает резервную копию.
bail	залог	Судья назначил залог в полдень.
ballot	бюллетень	Каждый избиратель получил бюллетень.
banner	баннер	Баннер висел над входом.
bare	голый	В комнате были голые стены.
barrel	бочка	Бочка была полна воды.
bass1	бас	Бас звучал глубоко и тепло.
battlefield	поле боя	Старое поле боя стало мемориалом.
bay	залив	Деревня расположена у тихой бухты.
beam	балка	Стальная балка поддерживает крышу.
beast	зверь	В истории описывается свирепый зверь.
behalf	от имени	Она выступала от имени своей команды.
beloved	любимый	Любимый учитель сегодня ушел на пенсию.
bench	скамейка	Они сидели на деревянной скамейке.
benchmark	эталон	Тест стал эталоном для отрасли.
beneath	под	Документы были под папкой.
beneficiary	бенефициар	Ее сын был главным бенефициаром.
betray	предавать	Не предавай доверие друга.
bind	связывать	Соглашение свяжет обе компании.
biography	биография	Его биография разошлась большим тиражом.
bishop	епископ	Епископ посетил деревенскую церковь.
bizarre	странный	У фильма был странный конец.
blade	лезвие	Лезвие перерезало веревку.
blast	взрыв	Взрыв выбил окна поблизости.
bleed	кровоточить	Порез начал сильно кровоточить.
blend	смешивать	Смешивайте соус до однородности.
bless	благословлять	Священник благословит дом.
blessing	благословение	Наличие поддержки было благословением.
boast	хвастаться	Он любит хвастаться деньгами.
bonus	премия	Сотрудники получили праздничную премию.
boom	бум	Город пережил строительный бум.
bounce	отскакивать	Мяч может отскакивать очень высоко.
boundary	граница	Река обозначает границу.
bow1	поклон	Актер отвесил глубокий поклон.
breach	нарушение	Нарушение привело к утечке личных данных.
breakdown	разбивка	В отчете содержится разбивка затрат.
breakthrough	прорыв	Открытие стало крупным прорывом.
breed	размножаться	Эти птицы размножаются весной.
broadband	широкополосный интернет	Офису нужен более быстрый широкополосный интернет.
browser	браузер	Обновите браузер перед входом в систему.
brutal	жестокий	Нападение было жестоким и внезапным.
buck	доллар	Билет стоит десять баксов.
buddy	приятель	Его приятель ждал на улице.
buffer	буфер	Деревья создают шумовой буфер.
bulk	основная масса	Они покупали рис оптом.
burden	бремя	Долг стал тяжелым бременем.
bureaucracy	бюрократия	Бюрократия задержала выдачу разрешения.
burial	погребение	Погребение состоялось на рассвете.
burst	лопнуть	Труба может лопнуть под давлением.
cabinet	кабинет министров	Кабинет министров одобрил план.
calculation	вычисление	Вычисление заняло несколько минут.
canvas	холст	Художник писал на большом холсте.
capability	возможность	Устройство имеет возможность беспроводного подключения.
capitalism	капитализм	Капитализм сформировал современную экономику.
capitalist	капиталистический	Капиталистическая система поощряет частные инвестиции.
cargo	груз	Корабль перевозил медицинский груз.
carriage	вагон	Вагон поезда был почти пуст.
carve	вырезать	Он будет аккуратно вырезать по дереву.
casino	казино	Казино открылось рядом с отелем.
casualty	пострадавший	В результате аварии был один пострадавший.
catalogue	каталог	В каталоге перечислен каждый продукт.
cater	обслуживать	Ресторан может обслуживать крупные мероприятия.
cattle	скот	Скот пасся у реки.
caution	осторожность	Соблюдайте осторожность на обледенелых дорогах.
cautious	осторожный	На этой неделе инвесторы остаются осторожными.
cease	прекращать	Фабрика скоро прекратит производство.
cemetery	кладбище	С кладбища открывается вид на море.
chamber	зал	Во время голосования в зале стояла тишина.
chaos	хаос	Задержка вызвала хаос в аэропорту.
characterize	характеризовать	Эксперты характеризуют план как рискованный.
charm	очарование	Город обладает очарованием старины.
charter	хартия	Хартия защищает основные права.
chronic	хронический	Он страдает от хронической боли в спине.
chunk	кусок	Отрежьте кусок сыра.
circulate	распространять	Пожалуйста, распространите повестку дня сегодня.
circulation	тираж	Тираж газеты резко упал.
citizenship	гражданство	Она подала заявление на получение французского гражданства.
civic	гражданский	На встрече присутствовали городские лидеры.
civilian	мирный житель	Несколько домов мирных жителей были повреждены.
clarity	ясность	Диаграмма добавила ясности отчету.
clash	столкновение	Столкновение началось после марша.
classification	классификация	Классификация зависит от размера.
cling	липнуть	Мокрая одежда липнет к коже.
clinical	клинический	Клинические испытания начнутся в следующем месяце.
closure	завершение	Семья хотела чувства завершенности после этого дела.
cluster	группа	Рядом стояла группа домов.
coalition	коалиция	Коалиция потеряла большинство.
coastal	прибрежный	Прибрежные деревни подготовились к наводнению.
cocktail	коктейль	Она заказала фруктовый коктейль.
cognitive	когнитивный	Когнитивные навыки улучшаются с практикой.
coincide	совпадать	Фестиваль совпадет с выпускным.
collaborate	сотрудничать	Команды сотрудничают в разработке программного обеспечения.
collaboration	сотрудничество	Их сотрудничество принесло сильные результаты.
collective	коллективный	Это решение было плодом коллективных усилий.
collision	столкновение	Столкновение перекрыло шоссе.
colonial	колониальный	Здание имеет колониальную архитектуру.
columnist	колумнист	Колумнист раскритиковал эту политику.
combat	бой	Солдаты тренировались для боя.
commence	начинать	Церемония начнется в полдень.
commentary	комментарий	Комментарий к матчу был живым.
commentator	комментатор	Комментатор объяснил решение.
commerce	коммерция	Интернет-торговля росла быстро.
commissioner	комиссар	Комиссар объявил новые правила.
commodity	товар	Пшеница — важный товар.
communist	коммунистический	Коммунистическая партия провела собрание.
companion	компаньон	Ее собака — верный компаньон.
comparable	сопоставимый	Эти два города сопоставимы по размеру.
compassion	сострадание	Медсестра проявила огромное сострадание.
compel	вынуждать	Улики могут вынудить дать ответ.
compelling	убедительный	Документальный фильм привел убедительные доводы.
compensate	компенсировать	Компания выплатит компенсацию пострадавшим клиентам.
compensation	компенсация	Рабочие требовали справедливой компенсации.
competence	компетентность	Тест измеряет профессиональную компетентность.
competent	компетентный	Она компетентный инженер.
compile	собирать	Исследователи собирают данные из больниц.
complement	дополнять	Вино дополнит еду.
complexity	сложность	У проекта неожиданная сложность.
compliance	соблюдение	Аудит проверил соблюдение законов.
complication	осложнение	У операции было одно осложнение.
comply	соблюдать	Компании должны соблюдать правила.
composition	композиция	Композиция включает скрипку и фортепиано.
compromise	компромисс	Компромисс удовлетворил обе стороны.
compute	вычислять	Программа может вычислить общую сумму.
conceal	скрывать	Он пытался скрыть повреждение.
concede	признавать	Министр отказался признать поражение.
conceive	придумывать	Они не смогли придумать план лучше.
conception	представление	Фильм изменил мое представление об истории.
concession	уступка	Компания пошла на одну уступку.
condemn	осуждать	Лидеры публично осуждают это нападение.
confer	даровать	Эта награда дарует престиж.
confession	признание	Его признание удивило суд.
configuration	конфигурация	Конфигурация управляет доступом к сети.
confine	ограничивать	Правила ограничивают нахождение собак этой зоной.
confirmation	подтверждение	Мы получили подтверждение по электронной почте.
confront	противостоять	Она решила встретить проблему лицом к лицу.
confrontation	конфронтация	Конфронтация закончилась без насилия.
congratulate	поздравлять	Я позвонил, чтобы поздравить сестру.
congregation	прихожане	Прихожане пели вместе.
congressional	относящийся к конгрессу	Слушания в конгрессе длились часами.
conquer	завоевывать	Команда надеется завоевать рынок.
conscience	совесть	Его совесть не позволила бы лгать.
consciousness	сознание	Авария повлияла на его сознание.
consecutive	последовательный	Она выиграла три матча подряд.
consensus	консенсус	Комитет быстро достиг консенсуса.
consent	согласие	Требуется письменное согласие.
conserve	экономить	Мы экономим воду во время засухи.
consistency	последовательность	В изучении языка важна последовательность.
consolidate	объединять	Компания объединит два офиса.
constituency	избирательный округ	Кандидат посетил каждый избирательный округ.
constitute	составлять	Женщины составляют половину комитета.
constitution	конституция	Конституция гарантирует свободу слова.
constitutional	конституционный	Суд рассмотрел конституционные права.
constraint	ограничение	Бюджетное ограничение сдерживало проект.
consultation	консультация	Консультация длилась две недели.
contemplate	обдумывать	Она сделала паузу, чтобы обдумать предложение.
contempt	презрение	Он проявил презрение к правилам.
contend	бороться	Несколько фирм борются за контракт.
contender	претендент	Она сильный претендент.
content2	довольный	Он был доволен результатом.
contention	разногласие	Главное разногласие касается финансирования.
continually	постоянно	Система постоянно проверяет наличие ошибок.
contractor	подрядчик	Подрядчик отремонтировал крышу.
contradiction	противоречие	Его заявление содержало противоречие.
contrary	противоположный	Противоположные улики изменили ход дела.
contributor	соавтор	Она постоянный соавтор.
conversion	конвертация	В результате конвертации доллары превратились в евро.
convict	признавать виновным	Присяжные могут признать подозреваемого виновным.
conviction	осуждение	Его приговор шокировал публику.
cooperate	сотрудничать	Пожалуйста, сотрудничайте со следствием.
cooperative	готовый к сотрудничеству	Персонал был спокоен и готов к сотрудничеству.
coordinate	координировать	Они координируют доставки каждое утро.
coordination	координация	Хорошая координация сэкономила время.
coordinator	координатор	Координатор распределил каждую задачу.
cop	полицейский	Полицейский стоял возле участка.
copper	медь	Труба сделана из меди.
copyright	авторское право	Изображение защищено авторским правом.
correction	исправление	Учитель сделал одно исправление.
correlate	коррелировать	Высокий уровень стресса может коррелировать с болезнями.
correlation	корреляция	Исследование обнаружило сильную корреляцию.
correspond	соответствовать	Эти цифры соответствуют этикеткам.
correspondence	переписка	Их переписка длилась годами.
correspondent	корреспондент	Корреспондент вел репортаж из Каира.
corresponding	соответствующий	Каждая кнопка имеет соответствующий индикатор.
corrupt	коррумпированный	Коррумпированный чиновник принял деньги.
corruption	коррупция	Коррупция подорвала доверие общества.
costly	дорогой	Эта ошибка дорого обошлась команде.
councillor	член совета	Член совета ответил на вопросы жителей.
counselling	психологическая помощь	Она получала психологическую помощь после аварии.
counsellor	консультант	Консультант помогал новым студентам.
counter (argue against)	возражать	Она попыталась возразить на его аргумент.
counterpart	коллега	Он встретился со своим японским коллегой.
countless	бесчисленный	Бесчисленные добровольцы присоединились к поискам.
coup	переворот	Переворот отстранил президента от власти.
courtesy	вежливость	Она поблагодарила их за вежливость.
