source_headword	DA	example_DA
occupation	et erhverv	Skriv venligst dit erhverv her.
occupy	at optage	Familien vil flytte ind i lejligheden.
offender	en lovovertræder	Lovovertræderen undskyldte i retten.
ongoing	igangværende	Efterforskningen er igangværende.
openly	åbent	Hun talte åbent om sin frygt.
opera	en opera	Vi så en opera i Milano.
operator	en operatør	Operatøren forbandt opkaldet.
optimistic	optimistisk	Hun føler sig optimistisk omkring fremtiden.
orchestra	et orkester	Orkesteret spillede svagt.
organic	økologisk	De købte økologiske grøntsager.
outfit	et outfit	Hendes outfit passede til anledningen.
output	et output	Maskinens output steg.
outstanding	fremragende	Hans præstation var fremragende.
overcome	at overvinde	De overvinder problemer sammen.
overnight	natten over	Pakken ankom natten over.
overseas	oversøisk	Han fandt arbejde oversøisk.
ownership	et ejerskab	Ejerskabet af jorden ændrede sig.
oxygen	en ilt	Planter producerer ilt.
packet	en pakke	Åbn pakken forsigtigt.
palm	en håndflade	Hold mønten i din håndflade.
panic	en panik	Panik spredte sig gennem folkemængden.
parade	en parade	Paraden startede ved middagstid.
parallel	parallel	Vejene løber parallelt.
participation	en deltagelse	Deltagelsen i klassen forbedredes.
partnership	et partnerskab	Partnerskabet hjalp begge virksomheder.
part-time	deltids	Hun fandt et deltidsjob.
passionate	lidenskabelig	Han er lidenskabelig omkring musik.
password	et kodeord	Vælg et stærkt kodeord.
patience	en tålmodighed	At undervise små børn kræver tålmodighed.
pause	en pause	Sæt videoen på pause nu.
peer	en ligemand	Gruppepres påvirkede hans valg.
penalty	en straf	Spilleren fik en straf.
perceive	at opfatte	Folk opfatter risiko forskelligt.
perception	en opfattelse	Hans opfattelse af fare ændrede sig.
permanently	permanent	Butikken lukkede permanent.
pill	en pille	Tag en pille efter morgenmad.
pity	en skam	Det er en skam.
placement	en placering	Placeringen af sofaen betyder noget.
portion	en portion	Server en lille portion ris.
potentially	potentielt	Denne ændring er potentielt nyttig.
precede	at gå forud for	Mørke skyer går ofte forud for regn.
precious	dyrebar	Ringen er dyrebar.
precise	præcis	Instruktionerne var præcise.
precisely	præcist	Mål afstanden præcist.
predictable	forudsigelig	Slutningen var forudsigelig.
preference	en præference	Hun udtrykte en præference for te.
pride	en stolthed	Han følte stolthed efter at have gennemført.
primarily	primært	Kurset er primært online.
principal	en rektor	Rektoren hilste på nye elever.
prior	forudgående	Vi har brug for forudgående godkendelse.
probability	en sandsynlighed	Sandsynligheden for regn er høj.
probable	sandsynlig	Regn er sandsynligt i aften.
proceed	at fortsætte	Fortsæt venligst til det næste rum.
programming	en programmering	Programmering kræver øvelse.
progressive	progressiv	Politikken var progressiv for sin tid.
prohibit	at forbyde	Reglerne forbyder rygning.
promising	lovende	Resultaterne ser lovende ud.
promotion	en forfremmelse	Hun fik en forfremmelse på arbejdet.
prompt	hurtig	Det hurtige svar sparede tid.
proportion	en andel	En stor andel stemte ja.
protein	et protein	Bønner indeholder protein.
protester	en demonstrant	Demonstranten holdt et skilt.
psychological	psykologisk	Ulykken forårsagede psykologisk stress.
publicity	en publicitet	Begivenheden fik publicitet.
publishing	et forlag	Hun arbejder i forlagsbranchen.
punk	en punk	Punkmusik blev populært der.
purely	rent	Valget var rent praktisk.
pursuit	en jagt	Han fortsatte sin jagt på retfærdighed.
puzzle	et puslespil	Puslespillet tog en time.
questionnaire	et spørgeskema	Udfyld venligst spørgeskemaet.
racial	race-	Rapporten diskuterede raceulighed.
racism	en racisme	Racisme skader samfund.
racist	racistisk	Kommentaren var racistisk.
radiation	en stråling	Stråling kan beskadige celler.
rail	et gelænder	Hold i gelænderet på trappen.
random	tilfældig	Computeren valgte et tilfældigt tal.
rat	en rotte	En rotte løb bag skraldespandene.
rating	en bedømmelse	Hotellet har en høj bedømmelse.
reasonably	rimeligt	Værelset var rimeligt rent.
rebuild	at genopbygge	De vil genopbygge broen.
receiver	en modtager	Modtageren greb bolden.
recession	en recession	Recessionen reducerede forbruget.
reckon	at regne med	Jeg regner med, at toget er forsinket.
recognition	en anerkendelse	Hun fik anerkendelse for sit arbejde.
recovery	en bedring	Bedringen tog flere uger.
recruit	at rekruttere	Virksomheden vil rekruttere ingeniører.
recruitment	en rekruttering	Rekrutteringen begynder næste mandag.
referee	en dommer	Dommeren stoppede kampen.
refugee	en flyktning	Flyktningen fandt et sikkert hjem.
registration	en registrering	Registreringen lukker på fredag.
regulate	at regulere	Loven vil regulere emissioner.
reinforce	at forstærke	Ekstra bjælker forstærker taget.
relieve	at lindre	Medicin kan lindre smerte.
relieved	lettet	Hun følte sig lettet efter opkaldet.
remarkable	bemærkelsesværdig	Bedringen var bemærkelsesværdig.
remarkably	bemærkelsesværdigt	Han kom sig bemærkelsesværdigt hurtigt.
reporting	en rapportering	Nøjagtig rapportering betyder noget.
resign	at sige op	Lederen vil sige op i morgen.
resolution	en opløsning	Skærmen har høj opløsning.
restore	at restaurere	Arbejdere restaurerer det gamle maleri.
restrict	at begrænse	Reglerne begrænser parkering.
restriction	en restriktion	Restriktionen slutter i morgen.
retail	en detailhandel	Detailhandlen steg.
retirement	en pension	Hun planlagde sin pension nøje.
revenue	en indtægt	Billetindtægterne betalte for reparationerne.
revision	en repetition	Repetition hjalp før eksamenen.
ridiculous	latterlig	Prisen var latterlig.
risky	risikabel	Planen virkede risikabel.
rival	en rival	Vores rival åbnede en ny butik.
rob	at røve	Mændene forsøgte at røve banken.
robbery	et røveri	Røveriet skete om natten.
rocket	en raket	Raketten blev opsendt med succes.
romance	en romance	Romanen inkluderer en romance.
rose	en rose	En rød rose voksede ved hegnet.
roughly	cirka	Cirka tyve mennesker deltog.
ruin	at ødelægge	Regnen kan ødelægge skovturen.
satisfaction	en tilfredshed	Kundetilfredsheden blev forbedret.
scandal	en skandale	Skandalen beskadigede hans karriere.
scare	en forskrækkelse	Den høje lyd gav mig en forskrækkelse.
scenario	et scenarie	Det værste scenarie er usandsynlig.
scholar	en forsker	Forskeren studerede gamle tekster.
scholarship	et stipendium	Hun vandt et stipendium.
scratch	en ridse	Katten efterlod en ridse.
screening	en screening	Hospitalet tilbyder kræftscreening.
seeker	en ansøger	Jobansøgeren sendte ansøgninger.
seminar	et seminar	Seminaret starter klokken ni.
settler	en bosætter	Bosætteren byggede en lille gård.
severely	alvorligt	Stormen beskadigede vejene alvorligt.
sexy	sexet	Kjolen blev anset for sexet.
shocking	chokerende	Nyheden var chokerende.
shore	en kyst	Vi gik langs kysten.
shortage	en mangel	Byen stod over for en vandmangel.
shortly	kort efter	Bussen ankom kort efter middag.
short-term	kortsigtet	Planen har kortsigtede fordele.
sibling	en søskende	Hver søskende fik en gave.
signature	en underskrift	Tilføj venligst din underskrift.
significance	en betydning	Opdagelsen har stor betydning.
skilled	faglært	Faglærte arbejdere reparerede taget.
slogan	et slogan	Kampagnen brugte et simpelt slogan.
so-called	såkaldt	Den såkaldte ekspert begik fejl.
somehow	på en eller anden måde	På en eller anden måde forsvandt nøglerne.
sometime	engang	Besøg os engang i næste uge.
sophisticated	sofistikeret	Softwaren er sofistikeret.
spare	ekstra	Vi har en ekstra nøgle.
specialize	at specialisere sig	Læger specialiserer sig inden for forskellige områder.
specify	at specificere	Specificer venligst din ankomsttid.
spectacular	spektakulær	Fyrværkeriet var spektakulært.
spectator	en tilskuer	Hver tilskuer modtog et program.
speculate	at spekulere	Eksperter spekulerer på årsagen.
speculation	en spekulation	Artiklen opmuntrede til spekulation.
spice	et krydderi	Tilføj ét krydderi ad gangen.
spill	at spilde	Spild ikke juicen.
spite	en trods	Han havde succes på trods af problemer.
spoil	at ødelægge	For meget salt kan ødelægge suppen.
spokesman	en talsmand	Talsmanden besvarede spørgsmål.
spokesperson	en talsperson	Talspersonen læste en udtalelse.
spokeswoman	en talskvinde	Talskvinden henvendte sig til pressen.
sponsorship	et sponsorat	Holdet har brug for sponsorat.
sporting	sports-	Byen er vært for sportsbegivenheder.
stall	en bod	Markedsboden sælger frugt.
stance	en holdning	Ministeren ændrede sin holdning.
starve	at sulte	Uden mad kan dyr sulte.
steadily	støt	Virksomheden voksede støt.
steam	en damp	Damp steg op fra suppen.
stimulate	at stimulere	Lyse farver kan stimulere interesse.
