simplified	CS	example_CS
播放	přehrát; vysílat	Pusť tuhle píseň.
玻璃	sklo	Sklenice se rozbila.
博物馆	muzeum	O víkendu půjdeme do muzea.
脖子	krk	Trochu mě bolí krk.
不断	neustále	Ceny neustále rostou.
不见得	nemusí nutně	To nemusí být špatná věc.
不耐烦	netrpělivý	Po dlouhém čekání začal být trochu netrpělivý.
不要紧	to nevadí; není to vážné	To nic, nevadí.
补充	doplnit	Chci doplnit jeden názor.
不安	neklidný	Po vyslechnutí té zprávy se cítil neklidně.
不得了	vážný; hrozný	Tato věc je opravdu vážná.
不然	jinak	Rychle vyraz, jinak přijdeš pozdě.
不如	je lepší	Je lepší jít pěšky než jet autem.
不足	nedostatečný	Tady není dost vody.
布	látka	Tato látka je velmi měkká.
步骤	krok; postup	Postupuj podle jednotlivých kroků.
部门	oddělení	Pracuji v obchodním oddělení.
财产	majetek	Tento dům je jeho majetek.
彩虹	duha	Po dešti se objevila duha.
踩	šlápnout	Nešlapej na trávník.
采访	udělat rozhovor	Novinář dělá rozhovor s lékařem.
采取	přijmout; použít	Přijali jsme novou metodu.
参考	použít jako referenci	Podívej se do této knihy jako do reference.
参与	účastnit se	Aktivně se účastní aktivit.
惭愧	stydět se	Stydím se za svou chybu.
操场	hřiště	Studenti běhají na hřišti.
操心	dělat si starosti	Nedělej si o mě starosti.
册	svazek	Koupil jsem jeden svazek knihy.
测验	test	Zítra bude krátký test.
曾经	kdysi; dříve	Dříve jsem bydlel v Pekingu.
叉子	vidlička	Jím salát vidličkou.
差距	rozdíl; propast	Mezi městem a venkovem je rozdíl.
插	vložit; zastrčit	Dej květiny do vázy.
拆	rozebrat; zbourat	Dělníci bourají starý dům.
产品	výrobek	Kvalita tohoto výrobku je velmi dobrá.
产生	vzniknout; vyvolat	Tato otázka vyvolala nový dopad.
常识	základní znalost; zdravý rozum	To je základní zdravý rozum.
长途	dálkový	Dálkové cestování je únavné.
抄	opsat; kopírovat	Neopisuj domácí úkoly ostatních.
超级	super; velmi	Tohle je supermarket.
朝	dynastie	Dynastie Tang je velmi slavná.
潮湿	vlhký	Léto na jihu je velmi vlhké.
吵	hlučný	Venku je velký hluk.
吵架	hádat se	Zase se pohádali.
炒	smažit; restovat	Maminka smaží jídlo.
车库	garáž	Auto je zaparkované v garáži.
车厢	vagon	Tento vlakový vagon je velmi tichý.
彻底	důkladný; úplně	Pochopil tu věc úplně.
沉默	mlčet	Celou dobu mlčel.
趁	využít příležitosti; dokud	Odejdi, dokud ještě není tma.
称	vážit; nazývat	Zvaž tento balík.
称呼	oslovovat	Nevím, jak ho mám oslovovat.
称赞	chválit	Učitel pochválil jeho pokrok.
成分	složka; složení	Složení tohoto léku je jednoduché.
成果	výsledek	Tento projekt dosáhl výsledků.
成就	úspěch	Ve své kariéře má mnoho úspěchů.
成立	založit	Firma byla založena loni.
成人	dospělý	Vstupenky pro dospělé jsou dražší než dětské.
成熟	zralý	Jablka už jsou zralá.
成语	idiom	Tento idiom se používá často.
成长	růst	Dítě postupně roste.
承担	převzít odpovědnost	Je ochoten převzít odpovědnost.
承认	přiznat	Přiznal, že se mýlil.
承受	snést; vydržet	Nesnesu tak velký tlak.
程度	úroveň; stupeň	Jeho úroveň čínštiny je vysoká.
程序	postup; procedura	Vyřiďte to prosím podle daného postupu.
诚恳	upřímný	Jeho postoj je velmi upřímný.
吃亏	utrpět ztrátu; prodělat	Před nákupem si vše dobře prohlédni, ať neproděláš.
持续	pokračovat	Déšť trval tři dny.
池塘	rybník	V rybníku je hodně ryb.
迟早	dříve nebo později	Dříve nebo později to pochopíš.
尺子	pravítko	Změřte to prosím pravítkem.
翅膀	křídlo	Pták má poraněné křídlo.
充电器	nabíječka	Moje nabíječka se rozbila.
充分	dostatečný	Udělali jsme dostatečné přípravy.
充满	být plný	Prostor byl plný smíchu.
冲	opláchnout	Opláchněte prosím hrnek vodou.
重复	opakovat	Neopakujte prosím stejnou chybu.
宠物	domácí mazlíček	Chová doma psa jako mazlíčka.
抽屉	zásuvka	Klíč je v zásuvce.
抽象	abstraktní	Ten pojem je příliš abstraktní.
丑	ošklivý	Ta fotka je trochu ošklivá.
臭	páchnoucí	Odpadky hrozně páchnou.
出版	vydat	Tato kniha vyšla loni.
出口	východ	Východ je vpředu.
出色	vynikající	Její výkon byl vynikající.
出示	předložit	Předložte prosím svůj pas.
出席	zúčastnit se	Zúčastní se schůze.
初级	začátečnický	Učím se čínsky v začátečnické třídě.
除非	pokud ne; ledaže	Pokud nebude pršet, zítra půjdeme na túru.
除夕	předvečer Nového roku	V předvečer Nového roku jí celá naše rodina společně.
处理	vyřešit; zpracovat	Tento problém vyřeším.
传播	šířit se	Ta zpráva se rozšířila velmi rychle.
传染	nakazit se; být nakažlivý	Rýma se snadno přenáší.
传说	legenda	To je stará legenda.
传统	tradiční	Jarní svátky jsou tradičním čínským svátkem.
窗帘	závěs	Odtáhněte prosím závěsy.
闯	projet na červenou	Neopatrně projel na červenou.
创造	vytvořit	Lidé vytvořili nové nástroje.
吹	foukat	Vítr silně fouká.
词汇	slovní zásoba; slovíčko	Toto slovíčko se používá velmi často.
辞职	dát výpověď	Rozhodl se dát výpověď.
此外	kromě toho	Kromě toho mám ještě jednu otázku.
刺激	vzrušující	Ta hra je velmi vzrušující.
次要	vedlejší	Tento problém je vedlejší.
匆忙	ve spěchu	Odešel z domu ve spěchu.
从此	od té doby	Od té doby každý den cvičil.
从而	tím; díky tomu	Pilně se učil, a tak složil zkoušku.
从前	dříve	Dříve tady metro nebylo.
从事	věnovat se; pracovat v	Pracuje ve školství.
粗糙	drsný	Tento list papíru je velmi drsný.
促进	podporovat	Cvičení podporuje zdraví.
促使	přimět	Tato věc ho přiměla změnit plán.
醋	ocet	Do jídla se přidal ocet.
催	pobízet	Maminka mě pobízela, abych rychle vyšel ven.
存在	existovat	Tento problém stále existuje.
措施	opatření	Škola přijala bezpečnostní opatření.
答应	souhlasit; slíbit	Souhlasil, že mi pomůže.
达到	dosáhnout	Jeho výsledky dosáhly požadované úrovně.
打工	brigádně pracovat	O letních prázdninách pracuje brigádně v restauraci.
打交道	jednat s	Často jednám se zákazníky.
打喷嚏	kýchat	Je nachlazený a pořád kýchá.
打听	zeptat se; informovat se	Chtěl bych se zeptat na lístky na vlak.
大方	štědrý	Je velmi štědrá, pokud jde o peníze.
大厦	výšková budova	Ta výšková budova je velmi vysoká.
大象	slon	Děti se v zoo dívají na slony.
大型	velký; rozsáhlý	Tady se má postavit velké obchodní centrum.
呆	zůstat	Zůstal doma a četl si.
代表	zastupovat; představovat	Tato květina představuje přátelství.
代替	nahradit; místo	Dnes půjdu na schůzi místo něj.
待遇	benefity; podmínky	Zaměstnanecké benefity v této firmě jsou dobré.
贷款	půjčka; úvěr	Požádali o úvěr na bydlení.
单纯	jednoduchý	Její myšlenka je velmi jednoduchá.
单调	jednotvárný	Tato práce je trochu jednotvárná.
单独	o samotě; sám	Chci si s tebou promluvit o samotě.
单位	jednotka; instituce	Pracuje ve veřejné instituci.
单元	lekce; jednotka	Dnes se učíme třetí lekci.
担任	zastávat funkci	Ona má na starosti tuto akci.
耽误	zdržet; promarnit	Nezdržujte prosím všechny.
胆小鬼	zbabělec	Neříkej mu zbabělec.
淡	nevýrazný	Tato polévka je trochu nevýrazná.
当地	místní	Místní lidé mají tento trh rádi.
当心	dávat pozor	Silnice je kluzká, dávej pozor.
挡	blokovat	Toto auto blokuje vchod.
倒霉	mít smůlu	Dnes mám opravdu smůlu, ztratil jsem telefon.
导演	režisér	Tento režisér je velmi slavný.
导致	způsobit	Silný déšť způsobil dopravní zácpu.
岛屿	ostrov	Tato země má mnoho ostrovů.
到达	dorazit	Vlak dorazil do Šanghaje včas.
道德	morálka	Člověk by měl mít morální zásady.
道理	smysl; důvod	To, co řekl, dává velký smysl.
登记	zaregistrovat se	Nejprve se prosím zaregistrujte na recepci.
等待	čekat	Čekáme na výsledek.
等于	rovnat se	Pět plus pět se rovná deset.
滴	kapka	Na stůl spadla kapka vody.
敌人	nepřítel	Nejsou to nepřátelé.
的确	opravdu	Tato věc je opravdu velmi důležitá.
地道	autentický	Mluví autentickým pekingským dialektem.
地理	zeměpis	Velmi mě zajímá zeměpis Číny.
地区	oblast	V této oblasti je v zimě velká zima.
地毯	koberec	V obývacím pokoji je položený koberec.
地位	postavení	Vzdělání má ve společnosti důležité postavení.
地震	zemětřesení	Včera večer tady bylo zemětřesení.
递	podat	Podejte prosím tento dopis učiteli.
点心	svačina; zákusek	Odpoledne jsme měli svačinu.
电池	baterie	Tato hračka potřebuje dvě baterie.
电台	rozhlasová stanice	Dělá pořad v rozhlasové stanici.
钓	chytat ryby	Dědeček rád chodí chytat ryby k řece.
顶	kus; vršek	Má na sobě černý klobouk.
冻	zmrznout	Venku je taková zima, že voda zmrzla.
动画片	animovaný film	Děti se dívají na animované filmy.
洞	díra	Ve zdi je malá díra.
豆腐	tofu	Toto tofu je výborné.
逗	rozesmát; škádlit	Jeho slova všechny rozesmála.
独立	samostatný	Chce žít samostatně.
独特	jedinečný	Toto město má jedinečnou kulturu.
度过	strávit	Strávili jsme dovolenou u moře.
断	přetrhnout se	Tento provaz se přetrhl.
堆	hromada	Na stole leží hromada dokumentů.
兑换	vyměnit	Chtěl bych si vyměnit nějaké jüany.
对比	porovnat	Porovnejte prosím tyto dva plány.
对待	zacházet s	Měli bychom se všemi zacházet spravedlivě.
对方	druhá strana	Nejprve si prosím vyslechněte názor druhé strany.
对手	soupeř	Jeho soupeř je velmi silný.
对象	objekt; cílová skupina	Zkoumanou skupinou jsou vysokoškoláci.
吨	tuna	Tento nákladní vůz uveze tři tuny zboží.
蹲	dřepět	Dřepí na zemi a hledá klíče.
顿	jídlo; krátká chvíle	Večeřeli jsme spolu.
多亏	díky	Díky tvé pomoci jsem úkol dokončil.
多余	zbytečný	Tato věta je zbytečná.
朵	květ; kus	Na stole leží jedna květina.
躲藏	schovávat se	Koťátko se schovává pod postelí.
恶劣	špatný; drsný	Dnešní počasí je velmi špatné.
耳环	náušnice	Má na sobě pár náušnic.
发表	vyjádřit; publikovat	Na schůzi vyjádřil svůj názor.
发愁	dělat si starosti	Nedělej si starosti kvůli takové maličkosti.
发达	rozvinutý	Doprava v tomto městě je dobře rozvinutá.
发抖	třást se	Třese se zimou.
发挥	uplatnit; využít	Použijte prosím svou představivost.
发明	vynález	Elektrické světlo je důležitý vynález.
发票	faktura	Vystavte mi prosím fakturu.
发言	promluvit	Promluvil na schůzi.
罚款	pokuta	Za nedovolené parkování se platí pokuta.
法院	soud	Tento případ byl předán soudu.
翻	otočit	Otočte prosím knihu na desátou stránku.
繁荣	prosperovat	Ekonomika postupně začíná prosperovat.
反而	naopak	Nezlobil se, naopak se zasmál.
反复	opakovaně	Tuto větu je třeba opakovaně procvičovat.
反应	reakce	Jeho reakce je rychlá.
反映	odrážet	Tato zpráva odráží skutečnou situaci.
反正	každopádně	Každopádně mám zítra čas.
范围	rozsah	Nepřekračujte prosím tento rozsah.
方	čtverec; směr	Nakreslete prosím na papír čtverec.
方案	plán	Tento plán je poměrně rozumný.
方式	způsob	Tento způsob učení je velmi účinný.
妨碍	bránit	Nebraňte prosím ostatním v práci.
仿佛	jako by	Vypadá, jako by věděl všechno.
非	musí; bez	Bez tebe se tato věc neobejde.
肥皂	mýdlo	Při mytí rukou je třeba používat mýdlo.
废话	nesmysly	Méně řečí, rychle začněme.
分别	rozejít se	Rozešli se na nádraží.
分布	být rozmístěn	Tyto obchody jsou rozmístěné po celém městě.
分配	přidělit	Učitel zadal nový úkol.
分手	rozejít se	Rozešli se loni.
分析	analyzovat	Musíme analyzovat příčiny.
纷纷	jeden po druhém	Všichni jeden po druhém vyjádřili souhlas.
奋斗	usilovat	Mladí lidé by měli usilovat o své sny.
疯狂	šílený	Fanoušci šíleně jásali.
风格	styl	Styl této restaurace je velmi osobitý.
风景	krajina	Krajina na hoře je krásná.
风俗	zvyk	Každé místo má své vlastní zvyky.
风险	riziko	Investování s sebou nese určité riziko.
讽刺	satirizovat	Tento článek satirizoval společenské problémy.
否定	popřít	Popřel toto tvrzení.
否认	popírat	Popřel, že udělal chybu.
幅	kus; obraz	Na zdi visí obraz.
扶	podpírat; pomoci	Pomozte prosím staršímu člověku přejít silnici.
服装	oblečení	Tento obchod prodává dětské oblečení.
辅导	doučovat	Učitel po vyučování doučuje studenty.
复制	zkopírovat	Zkopírujte prosím tento dokument.
妇女	žena	Tato nemocnice poskytuje služby ženám.
改革	reforma	Škola provádí reformu výuky.
改进	zlepšit	Musíme zlepšit kvalitu služeb.
改善	zlepšit	Cvičení může zlepšit spánek.
改正	opravit	Opravte prosím chyby včas.
概括	shrnout	Shrňte prosím obsah článku.
概念	pojem	Tento pojem není moc snadné pochopit.
盖	přikrýt; víčko	Přikryjte prosím hrnek pořádně.
干脆	prostě	Prostě dnes nechoď.
干燥	suchý	Zimy na severu jsou velmi suché.
感激	být vděčný	Jsem ti za pomoc velmi vděčný.
感受	pocit	Dokážu pochopit tvoje pocity.
感想	dojem; myšlenka	Promluv prosím o svých dojmech.
赶紧	pospíšit si	Je už pozdě, pospěšme si a pojďme.
赶快	rychle	Rychle zavři dveře.
干活儿	pracovat	Pracuje na dvoře.
钢铁	ocel	Tento most je z oceli.
高档	luxusní	Tohle je luxusní hotel.
高级	pokročilý	Zapsala se do pokročilého kurzu čínštiny.
搞	pořádat; dělat	Jakou akci pořádáš?
告别	rozloučit se	Na letišti jsme se rozloučili s přítelem.
格外	obzvlášť	Dnešní nebe je obzvlášť modré.
隔壁	vedle	Ve vedlejším bytě bydlí učitel.
个别	jednotlivý; někteří	Někteří studenti ještě neodevzdali úkol.
个人	osobní	To je můj osobní názor.
个性	osobnost	Má výraznou osobnost.
各自	každý sám	Každý dokončí svůj vlastní úkol.
根	kus; kořen	Pod stolem je jeden kabel.
根本	vůbec	Tento problém vůbec není těžký.
公布	oznámit	Škola oznámila výsledky zkoušky.
公开	veřejný	Tato schůze je veřejná.
公平	spravedlivý	Soutěž by měla být spravedlivá.
公寓	byt	Pronajala si malý byt.
公元	našeho letopočtu	Letos je rok 2026 našeho letopočtu.
公主	princezna	Holčička má ráda příběhy o princeznách.
功能	funkce	Tento software má mnoho funkcí.
工厂	továrna	Tato továrna vyrábí auta.
工程师	inženýr	Můj starší bratr je inženýr.
工具	nástroj	Na opravu kola jsou potřeba nástroje.
工人	dělník	Dělníci opravují silnici.
工业	průmysl	Toto město je založeno hlavně na průmyslu.
恭喜	gratulovat	Gratuluji ti ke složení zkoušky.
贡献	přínos; přispět	Přispěl firmě svou prací.
沟通	komunikace	Dobrá komunikace je velmi důležitá.
构成	tvořit	Tyto části tvoří celek.
姑姑	teta z otcovy strany	O víkendu půjdu navštívit tetu.
姑娘	dívka; mladá žena	Ta mladá žena je velmi ochotná.
古代	starověk	Ve starověku nebyly mobilní telefony.
古典	klasický	Mám rád klasickou hudbu.
股票	akcie	Koupil nějaké akcie.
骨头	kost	Tato kost je velmi tvrdá.
鼓舞	povzbudit	Tato zpráva je velmi povzbudivá.
鼓掌	tleskat	Diváci tleskali hercům.
固定	pevný; stálý	Mám pevnou pracovní dobu.
挂号	zaregistrovat se k lékaři	Před návštěvou lékaře je třeba se zaregistrovat.
乖	hodný	Toto dítě je velmi hodné.
拐弯	odbočit	Na křižovatce před vámi odbočte doprava.
怪不得	není divu	Není divu, že jsi tak unavený.
关闭	vypnout; zavřít	Před odchodem prosím vypněte počítač.
官	úředník	Je to mladý úředník.
观察	pozorovat	Lékař sleduje stav pacienta.
观点	názor	Souhlasím s tvým názorem.
观念	představa	Představy mladých lidí se mění.
管子	trubka	Tato trubka teče.
冠军	šampion	Vyhrála soutěž a stala se šampionkou.
光滑	hladký	Povrch tohoto stolu je velmi hladký.
光临	navštívit; přijít	Budeme rádi, když nás příště znovu navštívíte.
光明	světlý; jasný	Budoucnost je světlá.
光盘	disk	Uložte prosím materiály na disk.
广场	náměstí	Na náměstí je hodně lidí.
广大	široký; početný	Tuto zprávu uvítalo mnoho studentů.
广泛	široký	Tato kniha má široký vliv.
归纳	shrnout	Učitel nám pomohl shrnout hlavní body.
规矩	pravidla	Děti by měly znát pravidla.
规律	pravidelný řád	Život by měl mít pravidelný rytmus.
规模	rozsah	Tato firma je velmi rozsáhlá.
规则	pravidlo	Pravidla soutěže jsou velmi jasná.
柜台	pult	Zaplaťte prosím u pultu.
滚	vřít	Voda už vře.
锅	hrnec	V hrnci je horká polévka.
国庆节	státní svátek	Na státní svátek máme volno.
国王	král	Král žije v paláci.
果然	podle očekávání	Dorazil včas, přesně podle očekávání.
果实	plod	Strom je plný plodů.
过分	přehnaný	Jeho požadavek je trochu přehnaný.
过敏	být alergický	Jsem alergický na pyl.
过期	projít; vypršet	Tato lahev mléka už je prošlá.
哈	ha	Ha, konečně tomu rozumím.
海关	celnice	Na celnici jsme stáli ve frontě na kontrolu.
海鲜	mořské plody	Mořské plody v této restauraci jsou velmi čerstvé.
喊	křičet	Nekřičte ve třídě nahlas.
行业	odvětví	Cestovní ruch se rychle rozvíjí.
豪华	luxusní	Bydlí v luxusním hotelu.
好客	pohostinný	Místní lidé jsou velmi pohostinní.
好奇	zvědavý	Děti jsou velmi zvědavé na svět.
何必	proč by	Proč se zlobit kvůli maličkosti?
何况	natož; navíc	Dnes je zima, a navíc prší.
合法	legální	Tato smlouva je legální.
合理	rozumný	Tato cena je rozumná.
合同	smlouva	Podepsali smlouvu.
合影	společná fotografie	Při promoci jsme si udělali společnou fotografii.
合作	spolupracovat	Projekt jsme dokončili spoluprací.
和平	mír	Každý doufá v mír.
核心	jádro	Důvěra je jádrem spolupráce.
恨	litovat; nenávidět	Lituje, že nezačal dříve pracovat tvrději.
猴子	opice	V zoo je několik opic.
后背	záda	Trochu ho bolí záda.
后果	následky	Musíš zvážit následky.
呼吸	dýchat	Zhluboka se nadechněte.
忽然	náhle	Obloha náhle potemněla.
忽视	přehlížet	Nepřehlížej tento problém.
壶	konvice	Na stole je konvice čaje.
糊涂	zmatený	Dnes jsem trochu zmatený.
胡说	mluvit nesmysly	Nemluv nesmysly, to není pravda.
胡同	hutong; ulička	V Pekingu je mnoho starých hutongů.
蝴蝶	motýl	Na zahradě je motýl.
花生	arašíd	Rád jí arašídy.
华裔	čínského původu	Je spisovatelka čínského původu.
滑	kluzký	Podlaha je kluzká, dávej pozor.
划	veslovat	Při plavbě lodí má na starosti veslování.
化学	chemie	Na univerzitě studovala chemii.
话题	téma	Toto téma je velmi zajímavé.
怀念	stýskat si	Velmi se mi stýská po univerzitním životě.
怀孕	být těhotná	Je ve třetím měsíci těhotenství.
缓解	zmírnit	Odpočinek může zmírnit stres.
幻想	fantazírovat	Často fantazíruje o cestě do vesmíru.
慌张	panikařit	Když narazíš na problém, nepanikař.
黄金	zlato	Cena zlata zase stoupla.
恢复	zotavovat se	Jeho tělo se zotavuje.
挥	mávat	Zamávla rukou.
灰	šedý	Nebe je šedé.
灰尘	prach	Na stole je hodně prachu.
灰心	ztratit odvahu	Neztrácej odvahu, ani když neuspěješ.
汇率	směnný kurz	Jaký je dnes směnný kurz?
婚礼	svatba	Jejich svatba byla velmi jednoduchá.
婚姻	manželství	Manželství vyžaduje vzájemné porozumění.
活跃	aktivní	Ve třídě je velmi aktivní.
伙伴	partner; druh	Je můj nejlepší partner.
火柴	zápalka	V krabičce zůstala jen jedna zápalka.
或许	možná	Možná bude zítra pršet.
基本	základní	To jsou základní požadavky.
机器	stroj	Tento stroj je rozbitý.
激烈	intenzivní	Soutěž byla velmi intenzivní.
肌肉	sval	Po cvičení mě trochu bolí svaly.
及格	složit zkoušku	Tuto zkoušku složil.
急忙	spěšně	Spěšně vyběhl ze třídy.
急诊	pohotovost	Pacienta převezli na pohotovost.
极其	mimořádně	Tento problém je mimořádně důležitý.
集合	shromáždit se	Sejděte se prosím v osm hodin u vchodu.
集体	kolektivní	Je to kolektivní akce.
集中	soustředit se	Při hodině se musíš soustředit.
寂寞	osamělý	Žít sám může být někdy osamělé.
系领带	vázat kravatu	Každý den si před prací váže kravatu.
纪录	rekord	Překonal školní rekord.
纪律	disciplína	Disciplína ve třídě je velmi důležitá.
纪念	připomenout si	Vyfotili jsme se, abychom si tento den připomněli.
计算	vypočítat	Vypočítejte prosím celkové náklady.
记录	zapsat	Zapište prosím obsah schůze.
记忆	vzpomínka	Tato vzpomínka je velmi cenná.
嘉宾	host	Dnešním hostem je spisovatel.
夹子	sponka; klip	Přichyťte prosím dokumenty sponkou.
家庭	rodina	Rodina je pro děti velmi důležitá.
家务	domácí práce	O víkendu musím dělat domácí práce.
家乡	rodné město	Velmi se mi stýská po rodném městě.
假如	pokud	Pokud bude zítra pršet, nepůjdeme.
假设	předpokládat	Představ si, že jsi učitel; co bys udělal?
假装	předstírat	Předstíral, že neslyšel.
甲	strana A	Strana A musí zaplatit včas.
价值	hodnota	Tato kniha má velkou hodnotu.
嫁	provdat se	Příští rok se provdá za svého přítele.
驾驶	řídit	Při řízení auta je třeba řídit opatrně.
兼职	brigáda; práce na částečný úvazek	Večer pracuje na částečný úvazek.
坚决	rozhodný	S tímto rozhodnutím rozhodně nesouhlasí.
坚强	silný	Je to silný člověk.
肩膀	rameno	Má zraněné rameno.
艰巨	náročný	Je to náročný úkol.
艰苦	těžký	Prošli těžkým životem.
剪刀	nůžky	Podej mi prosím nůžky.
捡	sebrat	Sebral peněženku ze země.
简历	životopis	Před hledáním práce si připrav životopis.
简直	prostě	Ta zpráva je prostě šokující.
健身	cvičit	Chodí cvičit třikrát týdně.
建立	založit; navázat	Navázali jsme nový vztah.
建设	výstavba	Městská výstavba se rychle rozvíjí.
建筑	budova	Tato budova má osobitý styl.
键盘	klávesnice	Moje klávesnice potřebuje vyčistit.
讲究	dbát na	Číňané hodně dbají na jídlo.
讲座	přednáška	Dnes večer je přednáška o čínštině.
酱油	sójová omáčka	Do jídla přidej trochu sójové omáčky.
交换	vyměnit si	Vyměnili jsme si telefonní čísla.
交际	komunikace	Při učení jazyka je třeba procvičovat i komunikaci.
交往	chodit spolu; stýkat se	Chodí spolu dva roky.
浇	zalévat	Zalévejte prosím květiny každý den.
胶水	lepidlo	Fotku jsem přilepil lepidlem.
狡猾	mazaný	Ta liška je velmi mazaná.
角度	úhel; hledisko	Podívejme se na problém z jiného úhlu.
教材	učebnice	Tato učebnice je velmi praktická.
教练	trenér	Trenér vyžaduje, abychom přišli včas.
教训	ponaučení	Tento neúspěch je ponaučení.
接触	kontakt	Poprvé jsem se setkal s čínskou kulturou.
接待	přijmout hosty	Firma zařídila někoho, kdo přijme hosty.
接近	blížit se	Jarní svátky se blíží.
结实	pevný	Tento kufr je velmi pevný.
阶段	fáze	Studium je rozdělené do tří fází.
结构	struktura	Tento článek má jasnou strukturu.
结合	spojit	Studium by se mělo spojit s praxí.
结论	závěr	Jeho závěr je velmi přesvědčivý.
结账	zaplatit účet	Po jídle jsme šli zaplatit účet.
节省	ušetřit	Jízda metrem může ušetřit čas.
借口	výmluva	Přestaň se vymlouvat.
届	ročník	Je to třetí ročník soutěže.
戒	přestat; varovat	Lékař mu doporučil přestat kouřit.
戒指	prsten	Má na sobě prsten.
金属	kov	Železo je druh kovu.
尽快	co nejdříve	Odpovězte prosím na e-mail co nejdříve.
紧急	naléhavý	Je to naléhavá situace.
谨慎	opatrný	Před investováním buď opatrný.
尽力	snažit se ze všech sil	Budu se ti snažit ze všech sil pomoci.
尽量	pokusit se co nejvíce	Zkus prosím přijít co nejdříve.
近代	moderní doba	V moderní Číně došlo k mnoha změnám.
进步	zlepšení	Jeho čínština se rychle zlepšuje.
进口	dovážený	Toto auto je dovážené.
精力	energie	Děti mají hodně energie.
精神	nálada; duch	Dnes je v dobré náladě.
经典	klasický	Je to klasický film.
经商	podnikat	Jeho otec podniká v zahraničí.
经营	provozovat	Provozuje malý obchod.
酒吧	bar	Večer šli do baru.
救	zachránit	Lékař mu zachránil život.
救护车	sanitka	Sanitka přijela rychle.
舅舅	strýc z matčiny strany	Můj strýc z matčiny strany bydlí v Nankingu.
居然	nečekaně	Nečekaně zapomněl na vlastní narozeniny.
桔子	mandarinka	Na stole je několik mandarinek.
俱乐部	klub	Vstoupila do plaveckého klubu.
具备	mít	Má manažerské zkušenosti.
具体	konkrétní	Řekněte to prosím trochu konkrétněji.
巨大	obrovský	Tento projekt vyžaduje obrovskou investici.
据说	prý	Prý se už vrátil do své země.
捐	darovat	Všichni jsou ochotni darovat peníze.
决赛	finále	Zítra je fotbalové finále.
决心	odhodlání	Rozhodl se naučit dobře čínsky.
绝对	absolutně	Na tuto věc se absolutně nesmí zapomenout.
角色	role	Ve filmu hraje důležitou roli.
军事	vojenský	Velmi se zajímá o vojenské dějiny.
均匀	rovnoměrný	Naneste prosím barvu rovnoměrně.
卡车	nákladní auto	U vchodu stojí nákladní auto.
