source_headword	BG	example_BG
spicy	пикантен	Това къри е пикантно.
spirit	дух	Отборът показа голям дух.
spoken	говорим	Говоримият английски се подобрява с практика.
spot	място	Това място е идеално.
spread	намазвам	Намажи масло върху хляба.
stadium	стадион	Стадионът беше пълен.
staff	персонал	Персоналът беше любезен.
standard	стандарт	Стандартът беше висок.
statistic	статистика	Тази статистика е изненадваща.
statue	статуя	Статуята стои на площада.
stick (push into/attach)	залепвам	Залепи етикета върху кутията.
stick (piece of wood)	пръчка	Той вдигна пръчка.
