simplified	PT	example_PT
乘坐	apanhar; viajar em	Bem-vindo a este voo.
成功	o sucesso; ter sucesso	O esforço é a garantia do sucesso.
成为	tornar-se	Desde pequeno queria ser polícia.
诚实	honesto; a honestidade	As pessoas honestas merecem o nosso respeito.
吃惊	surpreender-se; ficar espantado	Ele ficou muito surpreendido ao ouvir a notícia.
重新	de novo; outra vez	Ele repetiu o assunto mais uma vez.
抽烟	fumar	Desculpe, não é permitido fumar no hospital.
出差	ir em viagem de negócios	O pai está em viagem de negócios há mais de um mês.
出发	partir; sair	Parti de Pequim para Xangai.
出生	nascer	Nasci numa cidade pequena.
出现	aparecer; surgir	Apareceram muitos problemas no nosso trabalho.
厨房	a cozinha	A faca de fruta está na cozinha.
传真	o fax	Por favor, envia-me um fax.
窗户	a janela	Já limpei as janelas.
词语	a palavra; a expressão	Por favor, usa estas palavras para dizer algumas frases.
从来	sempre; nunca antes	Nunca o vi.
粗心	descuidado; distraído	És muito descuidado.
存	guardar; depositar; existir	Depositei o dinheiro no banco.
错误	o erro; errado	Obrigado por apontares o meu erro.
答案	a resposta; a solução	A tua resposta está correta.
打扮	arranjar-se; vestir-se	Ela arranjou-se de forma simples e saiu.
打扰	incomodar; interromper	Desculpa incomodar-te por um momento.
打印	imprimir	Estes materiais já foram impressos.
打招呼	cumprimentar	Ele cumprimentou-me com um sorriso.
打折	fazer desconto	Antes da Festa da Primavera, os centros comerciais fazem descontos.
打针	dar uma injeção; levar uma injeção	O filho tem muito medo de injeções.
大概	provavelmente; aproximadamente	Provavelmente ele não vem.
大使馆	a embaixada	Amanhã vou à embaixada pedir o visto.
大约	aproximadamente; cerca de	Ele tem cerca de trinta anos.
大夫	o médico; a médica	Doutor Li, estará no hospital amanhã de manhã?
戴	usar; pôr	Ele usa estes óculos pretos.
当	ser; servir como	Quero ser médico.
当时	naquele momento; então	Não me lembro da situação daquele momento.
刀	a faca	A faca de fruta está na cozinha.
导游	o guia turístico; a guia turística	A minha irmã mais velha é guia turística.
倒	cair; derrubar	O vento forte derrubou a árvore.
到处	em todo o lado; por toda a parte	No parque há flores por toda a parte.
到底	afinal; exatamente	O que significa esta frase?
道歉	pedir desculpa; desculpar-se	Já lhe pedi desculpa.
得	ter de; precisar de	Amanhã tenho exame, por isso tenho de me deitar cedo.
得意	orgulhoso de si; satisfeito	Todos estão muito orgulhosos do sucesso do trabalho.
登机牌	o cartão de embarque	Por favor, pega no teu cartão de embarque e prepara-te para embarcar.
等	etc.; e assim por diante	Na mesa há frutas como maçãs, bananas e assim por diante.
低	baixo	Mais alto, agora está demasiado baixo.
底	o fundo; a base	O fundo do copo está limpo.
地点	o lugar; o local	O local da reunião é na sala de reuniões do terceiro andar.
地球	a Terra; o planeta	A maior parte da superfície da Terra é oceano.
地址	a morada; o endereço	Por favor, escreve a tua morada.
掉	cair; deixar cair	A chave caiu no chão.
调查	investigar; a investigação	A polícia está a investigar.
丢	perder; deitar fora	Perdeste a mochila?
动作	o movimento; a ação	Vou ensinar-te a dançar; os movimentos são muito simples.
堵车	o engarrafamento; o trânsito	Eu estava na estrada e voltou a haver engarrafamento.
肚子	a barriga; o estômago	Dói-me o estômago.
短信	a mensagem de texto; o SMS	Se acontecer alguma coisa, manda-me uma mensagem ou liga-me.
对话	o diálogo	Este diálogo é bastante simples; consigo entendê-lo.
对面	em frente; o lado oposto	Vivo mesmo em frente à escola.
对于	quanto a; em relação a	Tenho uma opinião diferente sobre esta questão.
儿童	a criança; as crianças	As crianças com menos de um metro e vinte podem comprar bilhete infantil.
而	e; mas; enquanto	Esta peça de roupa é barata e bonita.
发生	acontecer; ocorrer	A situação mudou muito.
发展	desenvolver-se; o desenvolvimento	A economia desenvolveu-se rapidamente nos últimos anos.
法律	a lei; o direito	Na universidade estudo direito.
翻译	traduzir; o tradutor	Por favor, traduz este artigo para chinês.
烦恼	a preocupação; preocupar-se	Não te preocupes mais com isto.
反对	opor-se; ser contra	Todos se opõem a este plano.
方法	o método; a maneira	Com certeza encontraremos uma solução para o problema.
方面	o aspeto; o campo	O pai gosta de ler livros de história.
方向	a direção	É esta a direção? Acho que nos perdemos.
房东	o senhorio; a senhoria	O meu senhorio é muito simpático e ajuda-me muitas vezes.
放弃	desistir; abandonar	Desisti da oportunidade de estudar no estrangeiro.
放暑假	ter férias de verão	Amanhã começam as férias de verão.
放松	relaxar; descontrair	O exame acabou; precisamos de relaxar.
份	a cópia; a porção; o exemplar	Por favor, envia-me um fax.
丰富	rico; abundante	Ler pode enriquecer a nossa vida.
否则	caso contrário; senão	Vamos agora; caso contrário chegaremos atrasados.
符合	corresponder a; estar de acordo com	Ela corresponde muito bem aos nossos critérios de contratação.
付款	pagar; o pagamento	As compras podem ser pagas online.
复印	fotocopiar	Por favor, faz duas cópias deste material.
复杂	complicado; complexo	Este é um problema técnico complexo.
富	rico	A vida das pessoas está a ficar mais rica.
父亲	o pai	O meu pai tem oitenta e três anos este ano.
负责	ser responsável; encarregar-se	O Xiao Li é muito responsável.
改变	mudar; alterar	Mudei o meu plano.
干杯	brindar; saúde	Boas festas a todos, saúde!
感动	comover; emocionado	As palavras dele comoveram-me muito.
感觉	sentir; a sensação	Hoje sinto um pouco de frio.
感情	o sentimento; a relação	A relação entre eles é muito boa.
感谢	agradecer; o agradecimento	Obrigado pela tua ajuda.
敢	atrever-se; ter coragem	Não me atrevo a ir sem companhia.
赶	apressar-se; alcançar	Obrigado por vires ajudar-me a tempo.
干	fazer; trabalhar	O que estás a fazer?
刚	acabar de; mesmo agora	Por favor, perdoa o que acabei de dizer.
高速公路	a autoestrada	Aqui foi construída uma nova autoestrada.
胳膊	o braço	Dói-lhe um pouco o braço.
各	cada; todo	No supermercado há frutas de todos os tipos.
公里	o quilómetro	A distância entre as duas cidades é de trezentos quilómetros.
功夫	o kung fu; a habilidade	Ultimamente estou a aprender kung fu chinês.
工资	o salário; o ordenado	O novo trabalho dele é bem pago.
共同	comum; conjunto	Temos um objetivo comum.
够	ser suficiente; bastante	Hoje está bastante frio.
购物	as compras; fazer compras	As compras podem ser pagas online.
估计	estimar; supor	Suponho que já tenham chegado ao aeroporto.
鼓励	encorajar; incentivar	Os pais devem encorajar mais os filhos.
故意	de propósito; intencionalmente	Desculpa, não o fiz de propósito.
顾客	o cliente; a cliente	Os clientes diminuíram um terço.
挂	pendurar; desligar	Por favor, não desligues.
关键	a chave; o ponto crucial	Esse não é o ponto crucial do problema.
观众	o público; os espectadores	Olá, amigos diante da televisão.
管理	gerir; administrar	Quem gere esta casa agora?
光	a luz; a claridade	A luz do sol está muito forte hoje.
广播	a rádio; a emissão	O avô está a ouvir rádio.
广告	o anúncio; a publicidade	Vi o vosso anúncio no jornal.
逛	passear; dar uma volta	Vamos dar uma volta ao centro comercial este fim de semana.
规定	a regra; estipular	A escola tem as suas próprias regras.
国籍	a nacionalidade	Por favor, escreve a tua nacionalidade no formulário.
国际	internacional	Esta é uma reunião internacional.
果汁	o sumo de fruta	Gostaria de beber um copo de sumo.
过程	o processo	O processo de aprendizagem é importante.
海洋	o oceano	A maior parte da superfície da Terra é oceano.
害羞	tímido; envergonhar-se	Da primeira vez que subiu ao palco, estava um pouco tímida.
寒假	as férias de inverno	Quero viajar para o sul durante as férias de inverno.
汗	o suor	Está calor; limpa o suor com uma toalha.
航班	o voo	Bem-vindo a este voo.
好处	o benefício; a vantagem	Ler mais tem muitos benefícios.
好像	parecer; como se	Parece que há um mal-entendido entre nós.
号码	o número	Por favor, dá-me o teu número de telefone.
合格	qualificado; dentro do padrão	Este produto cumpre o padrão de qualidade.
合适	adequado; apropriado	Este par de sapatos fica-me bem.
盒子	a caixa	A caixa está vazia, não há nada lá dentro.
厚	grosso	Este livro é grosso.
后悔	arrepender-se	Arrependo-me de não te ter dito antes.
互联网	a Internet	A Internet trouxe muita comodidade à vida das pessoas.
互相	mutuamente; um ao outro	Nós os dois devemos apoiar-nos mutuamente.
护士	o enfermeiro; a enfermeira	A enfermeira está a dar uma injeção ao paciente.
怀疑	suspeitar; duvidar	Suspeito que ele se tenha esquecido da reunião de hoje.
回忆	recordar; a recordação	Muitas vezes recordamos coisas da infância.
活动	a atividade; mexer-se	Fui ao parque mexer-me um pouco.
活泼	vivo; animado	Esta criança é muito vivaz.
火	o fogo	O fogo é perigoso, tem cuidado.
获得	obter; receber	Não podes ficar demasiado orgulhoso do sucesso.
基础	a base; o fundamento	Por favor, faz uma alteração com base no original.
激动	emocionado; emocionante	Esta notícia é realmente emocionante.
积极	ativo; positivo	Ele estuda chinês de forma ativa.
积累	acumular; a acumulação	Ele acumulou muita experiência no trabalho.
即使	mesmo que; ainda que	Não desistas mesmo que encontres dificuldades.
及时	a tempo; oportuno	Esta chuva veio mesmo a tempo.
寄	enviar pelo correio	A tua carta chegou.
技术	a tecnologia; a técnica	Este é um problema técnico complexo.
既然	já que; visto que	Já que estás aqui, vamos comer juntos.
继续	continuar; prosseguir	Ele manifestou vontade de continuar a trabalhar na empresa.
计划	o plano; planear	Mudei o meu plano.
记者	o jornalista; a jornalista	O jornalista está a entrevistar o diretor da escola.
加班	fazer horas extra	Esta semana fizemos horas extra quase todos os dias.
加油站	a bomba de gasolina; a estação de serviço	Há uma bomba de gasolina perto da tua casa?
家具	os móveis	Trocámos os móveis depois da mudança.
假	falso; artificial	Este bilhete é falso.
价格	o preço	Desde o ano passado, o preço dos carros tem vindo a descer.
坚持	insistir; perseverar	Ele sempre insistiu na sua opinião.
减肥	emagrecer; perder peso	Corro todos os dias para emagrecer.
减少	reduzir; diminuir	Os clientes diminuíram um terço.
建议	sugerir; a sugestão	Sugiro tirar um dia de folga amanhã.
将来	o futuro; no futuro	Que trabalho pensas fazer no futuro?
奖金	o bónus; o prémio em dinheiro	No fim do ano recebemos um bónus.
降低	reduzir; baixar	O outono chegou e a temperatura começa a baixar.
降落	aterrar	O avião vai aterrar em breve.
交	entregar; pagar; fazer amizade	Fiz muitos amigos chineses.
交流	trocar; o intercâmbio	Os intercâmbios culturais entre países estão a tornar-se cada vez mais ricos.
交通	o transporte; o trânsito	Os transportes aqui são convenientes.
郊区	a periferia; os arredores	Ele vive na periferia da cidade.
骄傲	orgulhoso; arrogante	Não podes ficar demasiado orgulhoso do sucesso.
饺子	os jiaozi; os ravioli chineses	Os chineses comem jiaozi durante a Festa da Primavera.
教授	o professor; a professora	Ele é professor universitário.
教育	educar; a educação	É preciso educar as crianças para serem pacientes.
接受	aceitar	Aceito todas as tuas opiniões.
接着	continuar; depois	Ele pensou durante algum tempo e depois escreveu.
结果	o resultado	Viste o jogo? Qual foi o resultado?
节	a festa; o feriado	Que feriado é hoje?
节约	poupar; economizar	Por favor, poupa água.
解释	explicar; a explicação	Ele explicou a razão com muita clareza.
尽管	apesar de; embora	Embora o conheça há muito tempo, não o compreendo.
紧张	nervoso; tenso	Ele estava nervoso para a primeira atuação.
禁止	proibir; interditar	É proibido fumar aqui.
进行	realizar; estar em curso	O jogo ainda está em curso.
京剧	a ópera de Pequim	Ela é uma atriz famosa da ópera de Pequim.
精彩	esplêndido; fantástico	A atuação de hoje foi fantástica!
经济	a economia; económico	A economia desenvolveu-se rapidamente nos últimos anos.
经历	a experiência; passar por	Ela escreveu um artigo sobre a sua experiência de viagem.
经验	a experiência	Ele é um professor experiente.
景色	a paisagem; a vista	Ao pôr do sol, a paisagem à beira-mar é muito bonita.
警察	a polícia; o polícia	A polícia está a investigar.
竞争	competir; a competição	Ele é muito confiante e gosta de competir com os outros.
竟然	inesperadamente; surpreendentemente	Nunca pensei que ele fosse uma pessoa assim.
镜子	o espelho	Desculpa, parti o espelho.
究竟	afinal; exatamente	Porque estás a chorar?
举	levantar; erguer; citar	Por favor, levanta a mão para responder à pergunta.
举办	organizar; realizar	Este evento é organizado por nós.
举行	realizar; ter lugar	A reunião será realizada às duas.
拒绝	recusar; rejeitar	Ele recusou o convite de todos.
聚会	a festa; a reunião	Amanhã há uma festa. Queres participar?
距离	a distância; estar distante	A minha casa fica longe da empresa.
开玩笑	brincar; fazer uma piada	Estás a brincar?
开心	estar feliz; divertir-se	A minha irmã sorriu feliz.
看法	a opinião; o ponto de vista	Ele sempre insistiu na sua opinião.
烤鸭	o pato assado	O pato assado de Pequim é famoso.
考虑	considerar; pensar bem	Vou considerar seriamente esta questão.
棵	classificador para árvores e plantas	Aquela árvore é alta e grande.
科学	a ciência; científico	Na escola, ele aprendeu muitos conhecimentos científicos.
咳嗽	tossir; a tosse	Ele está constipado e tosse muito.
可怜	pobre; digno de pena	Esta criança não consegue encontrar a casa, coitadinha.
可是	mas; porém	Embora eu queira muito ir, não tenho mesmo tempo.
可惜	que pena; é uma pena	É uma pena que não possas vir à nossa festa.
客厅	a sala de estar	O pai está a ver televisão na sala de estar.
肯定	ter a certeza; certamente	Voltarei certamente antes das cinco.
空	vazio; livre	Este quarto está vazio.
空气	o ar	O ar no parque é muito fresco.
恐怕	recear; temo que	Receio que vá chover, trouxeste guarda-chuva?
苦	amargo; duro	Esta chávena de café é muito amarga.
矿泉水	a água mineral	Comprei duas garrafas de água mineral.
困	com sono; cansado	Estou com sono e quero ir dormir.
困难	a dificuldade; difícil	Esta tarefa é muito difícil para mim.
垃圾桶	o caixote do lixo	Na rua há muitos caixotes do lixo.
拉	puxar; pegar pela mão	A mãe pegou na mão da filha.
辣	picante	Não estou habituado a comer pratos demasiado picantes.
来不及	não ir a tempo	Esta manhã levantei-me tarde e não tive tempo de tomar o pequeno-almoço.
来得及	ainda ir a tempo	O filme só começa às nove e meia, por isso ainda há tempo.
来自	vir de; ser de	Sou da província de Shandong.
懒	preguiçoso	O meu gato é muito preguiçoso e dorme a tarde toda.
浪费	desperdiçar; o desperdício	Isto é apenas uma perda de tempo.
浪漫	romântico	Este livro conta uma história de amor romântica.
老虎	o tigre	Sempre que vou ao jardim zoológico, o que o meu filho mais gosta de ver é o tigre.
冷静	calmo; acalmar-se	Não te excites, por favor acalma-te.
理发	o corte de cabelo; cortar o cabelo	Quando vais cortar o cabelo?
理解	compreender; entender	Consegues compreender esta pergunta?
理想	o ideal; o sonho	Qual é a tua carreira ideal?
礼拜天	o domingo	Estás livre este domingo?
礼貌	a cortesia; as boas maneiras	Esta criança é muito educada.
例如	por exemplo; tal como	Gosto de desporto, por exemplo correr e nadar.
力气	a força	Depois de andar tanto, estava demasiado cansado para ter força.
厉害	grave; forte; difícil de suportar	Ele esteve muito doente e foi hospitalizado.
俩	dois; ambos	Nós os dois somos bons amigos.
联系	o contacto; contactar	Ainda manténs contacto com os teus colegas da universidade?
连	ligar; até	Porque te esqueceste de mim?
凉快	fresco; agradavelmente fresco	O tempo no outono é muito fresco.
零钱	os trocos; o dinheiro miúdo	Pode trocar-me algum dinheiro em trocos?
另外	além disso; outro	Quero falar contigo sobre outra coisa.
流利	fluente	Falas chinês fluentemente.
流行	popular; estar na moda	Muitos jovens gostam de música pop.
留	ficar; deixar	Por favor, deixa o teu número de telefone.
旅行	viajar; a viagem	Planeamos viajar para Yunnan no verão.
乱	desordenado; confuso	O cachorrinho desarrumou o quarto.
律师	o advogado; a advogada	A minha mãe é advogada.
麻烦	o incómodo; problemático	Podes ajudar-me a ir buscar uma chávena?
马虎	descuidado; pouco rigoroso	Um pouco de descuido pode causar erros.
满	cheio; completo	O copo está cheio.
毛	o pelo; a pelagem	O pelo deste gato é branco.
毛巾	a toalha	Está calor; limpa o suor com uma toalha.
美丽	bonito; belo	Ela é realmente uma rapariga bonita.
梦	o sonho	Este é realmente um sonho interessante!
迷路	perder-se	Ele perdeu-se na floresta.
密码	a palavra-passe; o código	Esqueci-me da palavra-passe do cartão de crédito.
免费	grátis; gratuito	Neste restaurante, as bebidas são grátis.
秒	o segundo	Por favor, espera por mim dez segundos.
民族	o grupo étnico; a nacionalidade	A China é um país multiétnico.
母亲	a mãe	Permite-me apresentar: esta é a minha mãe.
目的	o objetivo; o propósito	Não compreendo o objetivo dele ao fazer isto.
耐心	a paciência; paciente	É preciso educar as crianças para serem pacientes.
难道	será que; por acaso	Será que estes pratos não são saborosos?
难受	sentir-se mal; estar indisposto	Estou constipado e sinto-me mal.
内	dentro; interior	Por favor, conclui a tarefa dentro de três dias.
内容	o conteúdo	O conteúdo deste artigo é muito interessante.
能力	a capacidade; a habilidade	A capacidade de trabalho dele é forte.
年龄	a idade	Perguntar casualmente a idade de alguém é indelicado.
弄	fazer; tratar; arranjar	O cachorrinho desarrumou o quarto.
暖和	quente; ameno	A primavera chegou e o tempo está a ficar mais quente.
偶尔	ocasionalmente; de vez em quando	Vejo-a ocasionalmente na escola.
排队	fazer fila	As pessoas que compram bilhetes estão a fazer fila.
排列	dispor; organizar	Por favor, dispõe estas caixas por ordem da maior para a mais pequena.
判断	julgar; o julgamento	O teu julgamento está completamente correto.
陪	acompanhar; fazer companhia	Quando estou triste, estás sempre ao meu lado.
批评	criticar; a crítica	Os professores raramente me criticam.
皮肤	a pele	A mãe presta muita atenção a proteger a pele.
脾气	o feitio; o temperamento	Ele tem bom feitio e nunca se zanga.
篇	o texto; classificador para escritos	Li este artigo muitas vezes.
骗	enganar; mentir	Não te menti, ele veio mesmo.
乒乓球	o ténis de mesa; o pingue-pongue	Quem quer participar num jogo de ténis de mesa?
平时	normalmente; no dia a dia	Ela raramente faz exercício.
破	partido; danificado	Desculpa, parti o espelho.
葡萄	a uva	As uvas custam cinco yuans por meio quilo.
普遍	comum; geral	Este problema é comum.
普通话	o mandarim; o putonghua	Falas mandarim muito bem.
其次	em segundo lugar; depois	A segurança vem primeiro, e a velocidade vem em segundo lugar.
其中	entre estes; entre eles	Na nossa turma há vinte alunos, cinco dos quais vêm do estrangeiro.
气候	o clima	Consegues adaptar-te ao clima do norte?
千万	absolutamente; dez milhões	Não te esqueças de modo nenhum da reunião de amanhã.
签证	o visto	Amanhã vou à embaixada pedir o visto.
敲	bater; tocar	Alguém está a bater à porta, vai ver quem é.
桥	a ponte	Há uma pequena ponte sobre o rio.
巧克力	o chocolate	Adoro chocolate acima de tudo.
亲戚	o parente	A maioria dos meus parentes vive em Pequim.
轻	leve; fácil	Esta caixa é leve.
轻松	relaxado; fácil	Este trabalho não é fácil para ele.
情况	a situação; as circunstâncias	A situação mudou muito.
穷	pobre; esgotado	Embora o idoso seja muito pobre, vive feliz.
区别	a diferença; distinguir	Há alguma diferença entre estes dois materiais?
取	tirar; levantar	Vou ao banco levantar dinheiro.
全部	tudo; inteiro	A música é tudo para mim.
缺点	o defeito; o ponto fraco	Não se deve comparar os próprios defeitos com as qualidades dos outros.
缺少	faltar; a falta	Vê o que ainda falta, eu compro agora.
却	mas; no entanto	Tenho muita coisa para dizer, mas quando fico nervoso não consigo falar.
确实	de facto; realmente	Este método é realmente bom.
然而	contudo; porém	Passei muito tempo a ler este livro, mas ainda não o terminei.
热闹	animado; movimentado	A rua é muito animada.
任何	qualquer; seja qual for	A mãe conhece-me melhor do que qualquer pessoa.
任务	a tarefa; a missão	Oitenta por cento da tarefa está concluída.
扔	deitar fora; atirar	Por favor, deita o lixo no caixote do lixo.
仍然	ainda; mesmo assim	Hoje continua a estar bom tempo.
日记	o diário	A filha ganhou o hábito de escrever no diário todos os dias.
入口	a entrada	Estou à tua espera à entrada do edifício.
散步	passear; dar um passeio	Durante o passeio, o cãozinho seguiu-me sempre.
森林	a floresta	Esta floresta é muito grande.
沙发	o sofá	Por favor, sente-se no sofá um pouco; vou servir-lhe uma chávena de chá.
伤心	triste; ficar triste	Depois de ouvir a notícia, fiquei muito triste.
商量	discutir; combinar	Chegaste mesmo a tempo; vamos discutir isto.
稍微	um pouco; ligeiramente	Um pequeno descuido já pode causar erros.
勺子	a colher; a concha	Desculpa, deixei cair a colher no chão.
社会	a sociedade	Todos se preocupam muito com estes problemas sociais.
深	profundo; fundo	Há uma amizade profunda entre nós.
申请	solicitar; o pedido	Solicitei um cartão de crédito ao banco.
甚至	até; mesmo	Todos se divertiram tanto que até se esqueceram das horas.
生活	a vida; viver	Na vida há sempre algumas preocupações.
生命	a vida	Ele considerava a arte mais importante do que a própria vida.
生意	o negócio	O negócio dele está cada vez maior.
省	a província	Venho da província de Shandong.
剩	restar; sobrar	Só restam duas maçãs.
失败	falhar; o fracasso	Embora tenha passado por muitos fracassos, nunca desisto.
失望	desiludido; desapontado	Estou muito desiludido com ele.
师傅	mestre; senhor	Desculpe, como chego ao cinema?
十分	muito; extremamente	Ela faz as coisas com muito cuidado.
实际	real; prático	Ele usou um exemplo prático para explicar este problema.
实在	realmente; de facto	Estou mesmo demasiado cansado.
使	fazer; levar a	As palavras dele comoveram-me muito.
使用	usar; utilizar	Os chineses geralmente usam pauzinhos para comer.
世纪	o século	Agora estamos no século XXI.
是否	se; se sim ou não	Ainda não tenho bem a certeza se ele pode vir.
适合	adequado; servir	A roupa verde não me fica muito bem.
适应	adaptar-se	Consegues adaptar-te ao clima do norte?
收	receber; recolher	Recebi a tua carta.
收入	o rendimento	O rendimento dele é mais alto do que antes.
收拾	arrumar; fazer as malas	Estou a fazer as malas.
首都	a capital	A capital da China é Pequim.
首先	primeiro; antes de mais	Primeiro é preciso descansar bem; só depois se pode trabalhar bem.
受不了	não aguentar; insuportável	O tempo está demasiado quente; não aguento.
受到	receber; ser alvo de	O romance dele foi bem recebido pelos leitores.
售货员	o vendedor; a vendedora	Trabalho como vendedor num centro comercial.
输	perder	Perdemos este jogo.
熟悉	estar familiarizado; conhecer bem	Conheço-os todos muito bem.
数量	a quantidade	O número de pessoas inscritas é muito grande.
数字	o número; o algarismo	Por favor, escreve os números com clareza.
帅	bonito; elegante	Hoje ele está vestido de forma muito elegante.
顺便	de passagem; já agora	No caminho do trabalho para casa, aproveitei para comprar alguns legumes.
顺利	correr bem; sem problemas	A competição decorreu sem problemas.
顺序	a ordem	Por favor, não baralhes a ordem.
说明	explicar; a explicação	Ele explicou a todos a razão deste assunto.
硕士	o mestrado; mestre	Estou a fazer o mestrado na universidade.
死	morrer; morto	Esta árvore já morreu.
塑料袋	o saco de plástico	Para proteger o ambiente, por favor, não uses sacos de plástico.
速度	a velocidade	Ele corre mesmo depressa!
酸	ácido; azedo	As uvas que compraste estão um pouco azedas.
随便	à vontade; como quiserem	Por favor, sentem-se onde quiserem.
随着	com; à medida que	Com o desenvolvimento da economia, a vida das pessoas melhorou muito.
孙子	o neto	O avô gosta muito do neto.
所有	todo; todos	Todos acharam que ele estava errado.
台	classificador para aparelhos; plataforma	Este computador foi comprado recentemente.
抬	levantar; carregar	Eles levaram a carteira para a sala de aula.
态度	a atitude	A atitude do empregado para com os clientes é muito boa.
弹钢琴	tocar piano	Comecei a aprender piano aos quatro anos.
谈	falar; conversar	Ainda quero falar contigo sobre outra coisa.
汤	a sopa	A sopa não está salgada; vamos pôr mais um pouco de sal.
糖	o açúcar; o rebuçado	Apetece-me comer um rebuçado.
躺	deitar-se; estar deitado	Ela adormeceu deitada na cama.
趟	vez; viagem	Fui uma vez a Pequim no mês passado.
讨论	discutir	Vamos fazer uma reunião para discutir isso.
讨厌	detestar; irritante	Este tempo é mesmo irritante.
特点	a característica	A característica deste restaurante é que os pratos são muito frescos.
提	levantar; carregar	Por favor, levanta este saco.
提供	fornecer; proporcionar	A biblioteca proporciona a todos um ambiente tranquilo de leitura.
提前	antecipadamente; antes do prazo	Concluímos a tarefa antes do prazo.
提醒	lembrar; avisar	Já o lembrei, mas ele mesmo assim esqueceu-se.
填空	preencher espaços em branco	Esta é uma pergunta de preencher espaços em branco.
条件	a condição	Ela corresponde muito bem aos nossos requisitos de recrutamento.
停	parar; estacionar	O carro parou.
挺	bastante; muito	Este livro é bastante bom.
通过	passar; por meio de	Já passei no exame.
通知	avisar; notificar	Por favor, avisa todos para virem à reunião.
同情	a compaixão; simpatizar	Tenho muita pena dele.
同时	ao mesmo tempo	Ele ouve música enquanto faz os trabalhos de casa.
推	empurrar	O meu carro avariou; podes ajudar-me a empurrá-lo?
推迟	adiar; atrasar	A hora de partida do avião atrasou-se 20 minutos.
脱	tirar; despir	O quarto está quente; tira o casaco.
袜子	as meias	Lavei as meias.
完全	completamente; total	O teu julgamento está completamente correto.
往往	frequentemente; muitas vezes	Aos domingos, ele costuma ir passear no parque.
网球	o ténis	Só recentemente comecei a aprender a jogar ténis.
网站	o site; a página web	Há muitos materiais de chinês neste site.
危险	perigoso; o perigo	É perigoso subir a montanha sozinho à noite.
卫生间	a casa de banho	Com licença, onde fica a casa de banho?
味道	o sabor; o cheiro	Os pães recheados deste restaurante têm um sabor muito bom.
温度	a temperatura	Ao entrar o inverno, a temperatura fica cada vez mais baixa.
文章	o artigo; o texto	A parte mais importante do artigo é o terceiro parágrafo.
污染	a poluição	Hoje em dia, a poluição ambiental está cada vez mais grave.
无	sem; não ter	As palavras dele não têm fundamento.
无聊	aborrecido; sem graça	Este programa é um pouco aborrecido.
