reign	The king's reign lasted decades.
rejection	The rejection hurt her confidence.
relevance	The data has limited relevance.
reliability	Reliability matters in emergency systems.
reluctant	He was reluctant to speak.
remainder	The remainder went to charity.
remains	The remains were carefully examined.
remedy	The law provides a remedy.
reminder	The email was a useful reminder.
removal	The removal of barriers helped trade.
render	The mistake rendered the contract invalid.
renew	Renew your passport soon.
renowned	She is renowned for her research.
rental	The rental includes insurance.
replacement	The replacement part arrived today.
reportedly	The minister reportedly resigned yesterday.
representation	Fair representation remains important.
reproduce	These plants reproduce quickly.
reproduction	Digital reproduction improved access.
republic	The republic held elections.
resemble	The two designs closely resemble each other.
reside	They reside near the border.
residence	His official residence is guarded.
residential	The area is mostly residential.
residue	The cleaner left a sticky residue.
resignation	Her resignation shocked the board.
resistance	Resistance to change was strong.
respective	They returned to their respective offices.
respectively	The scores were 80 and 90, respectively.
restoration	Restoration of the building took years.
restraint	The police showed restraint.
resume	Classes resume next week.
retreat	The army began a retreat.
retrieve	She retrieved the file.
revelation	The revelation damaged his reputation.
revenge	He wanted revenge for the insult.
reverse	The court reversed the decision.
revival	The town saw an economic revival.
revive	The festival helped revive local traditions.
revolutionary	The invention was revolutionary.
rhetoric	His rhetoric sounded aggressive.
rifle	The rifle was stored securely.
riot	The riot lasted several hours.
rip	Rip the paper carefully.
ritual	The ritual marks the harvest.
robust	The system is robust.
rock	The explosion rocked the village.
rod	The curtain hangs from a rod.
rotate	Rotate the handle slowly.
rotation	Crop rotation protects the soil.
ruling	The court issued a ruling.
rumour	The rumour spread quickly.
sack	The board may sack the coach.
sacred	The temple is sacred.
sacrifice	Parents often make sacrifices.
saint	The church honors a local saint.
sake	He stayed for her sake.
sanction	The sanction affected international trade.
say	Employees had a say in scheduling.
scattered	Scattered papers covered the desk.
sceptical	She remained sceptical of the claim.
scope	The project scope expanded.
screw	Tighten the screw carefully.
scrutiny	The deal faced public scrutiny.
seal	Seal the envelope before posting.
secular	The school follows a secular curriculum.
seemingly	The task was seemingly simple.
segment	The final segment was shorter.
seize	Police seized the documents.
seldom	She seldom misses a class.
selective	The program is highly selective.
senator	The senator supported the bill.
sensation	The discovery caused a sensation.
sensitivity	The issue requires sensitivity.
sentiment	Public sentiment shifted quickly.
separation	The separation was difficult.
serial	The serial number is missing.
settlement	The settlement ended the dispute.
set-up	The set-up took all morning.
sexuality	The course discusses identity and sexuality.
shareholder	A shareholder questioned the board.
shatter	The news shattered his confidence.
shed	The company will shed jobs.
sheer	The sheer size surprised everyone.
shipping	Shipping costs increased.
shoot	The photo shoot ended early.
shrink	The shirt may shrink.
shrug	She gave a small shrug.
sigh	He sighed with relief.
simulate	The software can simulate traffic.
simulation	The simulation predicted flooding.
simultaneously	Two alarms rang simultaneously.
sin	Pride is considered a sin.
situated	The hotel is situated downtown.
sketch	She made a quick sketch.
skip	Do not skip breakfast.
slam	He can slam the door.
slap	Do not slap the table.
slavery	Slavery shaped the region's history.
slot	Book a time slot online.
smash	The glass smashed on the floor.
snap	The branch snapped in the wind.
soak	Soak the beans overnight.
soar	Fuel prices may soar.
socialist	The party supports socialist policies.
sole	He was the sole survivor.
solely	The decision was solely his.
solicitor	The solicitor prepared the contract.
solidarity	Workers expressed solidarity.
solo	She released a solo album.
sound	The plan is sound and practical.
sovereignty	The treaty protected national sovereignty.
spam	Spam filled the inbox.
span	The bridge spans the river.
spark	A small remark sparked debate.
specialized	The clinic provides specialized care.
specification	The design meets every specification.
specimen	The specimen was stored safely.
spectacle	The parade was a vivid spectacle.
spectrum	Opinions cover a wide spectrum.
spell	The dry spell lasted weeks.
sphere	Politics entered the cultural sphere.
spin	The wheels began to spin.
spine	The injury affected his spine.
spotlight	The scandal put him in the spotlight.
spouse	Her spouse attended the ceremony.
spy	The spy sent coded messages.
squad	The rescue squad arrived fast.
squeeze	Squeeze the handle gently.
stab	The report described a stab wound.
stability	The policy brought stability.
stabilize	The medicine helped stabilize him.
stake	Investors have a stake here.
standing	Her standing in the party rose.
stark	The results showed a stark contrast.
statistical	The study used statistical methods.
steer	He tried to steer the debate.
stem	The stem broke in the storm.
stereotype	The film challenged a stereotype.
stimulus	The package provided economic stimulus.
stir	Stir the sauce slowly.
storage	The facility offers secure storage.
straightforward	The instructions were straightforward.
strain	The long delay caused strain.
strand	A strand of hair fell.
strategic	The company made a strategic investment.
strip (long narrow piece)	Cut a narrow strip of paper.
strip (remove clothes/a layer)	Strip the old paint carefully.
strive	They strive for excellence.
structural	The bridge has structural damage.
stumble	He stumbled on the stairs.
stun	The news can stun people.
submission	The deadline for submission passed.
subscriber	Each subscriber receives updates.
subscription	The subscription renews automatically.
subsidy	The subsidy lowered fuel costs.
substantial	The project needs substantial funding.
substantially	The price increased substantially.
substitute	Use milk as a substitute.
substitution	The substitution changed the recipe.
subtle	The painting has subtle details.
suburban	They moved to a suburban area.
succession	The crisis followed a succession of failures.
successive	Successive governments ignored the issue.
successor	The successor will start Monday.
suck	The machine can suck dust.
sue	She decided to sue the company.
suicide	Suicide prevention needs sustained funding.
suite	The hotel suite overlooked the river.
summit	Leaders met at the summit.
superb	The performance was superb.
superior	The new model is superior.
supervise	She will supervise the trainees.
supervision	Children need adult supervision.
supervisor	Ask your supervisor first.
supplement	The report includes a supplement.
supportive	Her family was supportive.
supposedly	The file was supposedly deleted.
suppress	The regime tried to suppress protests.
supreme	The supreme court heard the case.
surge	A sudden surge damaged the equipment.
surgical	The patient needs surgical treatment.
surplus	The warehouse has a surplus.
surrender	The soldiers agreed to surrender.
surveillance	Surveillance cameras recorded the entrance.
suspension	The suspension lasted two weeks.
suspicion	His behavior raised suspicion.
suspicious	The package looked suspicious.
sustain	The project can sustain local jobs.
swing	The door began to swing.
sword	The sword hung on the wall.
symbolic	The gesture was symbolic.
syndrome	The syndrome affects memory.
synthesis	The chapter offers a synthesis.
systematic	The review was systematic.
tactic	The tactic failed quickly.
tactical	The team made a tactical change.
taxpayer	Taxpayer money funded the bridge.
tempt	The offer may tempt investors.
tenant	The tenant paid rent early.
tender	She gave a tender smile.
tenure	His tenure lasted six years.
terminal	The patient had a terminal illness.
terminate	The company may terminate the contract.
terrain	The terrain was difficult.
terrific	The view was terrific.
testify	She agreed to testify.
testimony	His testimony was detailed.
texture	The fabric has a rough texture.
thankfully	Thankfully, nobody was injured.
theatrical	The speech sounded theatrical.
theology	He studied theology at university.
theoretical	The model is purely theoretical.
thereafter	Thereafter, the rules changed.
thereby	The change reduced costs, thereby saving jobs.
thoughtful	Her response was thoughtful.
thought-provoking	The article was thought-provoking.
thread	The thread broke easily.
threshold	The vote crossed the threshold.
thrilled	She was thrilled by the news.
thrive	Small businesses can thrive here.
tide	The tide rose quickly.
tighten	Tighten the lid firmly.
timber	The house uses local timber.
timely	The warning was timely.
tobacco	Tobacco sales declined.
tolerance	The policy encourages tolerance.
tolerate	We cannot tolerate abuse.
toll	The storm took a heavy toll.
top	Sales may top last year's record.
torture	The treaty bans torture absolutely.
