simplified	RO	example_RO
报仇	a se răzbuna	Nu vrea să se răzbune, vrea doar să o ia de la capăt.
报答	a răsplăti	Îți voi răsplăti ajutorul prin fapte.
报复	o răzbunare	Răzbunarea nu va face decât să adâncească conflictul.
报警	a anunța poliția	După ce descoperi un incendiu, trebuie să anunți imediat poliția.
报销	a deconta	Cheltuielile de călătorie pot fi decontate.
抱负	o ambiție	A avut ambiții mari încă din copilărie.
暴力	o violență	Ne opunem violenței sub orice formă.
暴露	a ieși la iveală	Această problemă a ieșit treptat la iveală.
曝光	o expunere	După ce această fotografie a fost expusă public, a atras atenția.
爆发	a izbucni	Vulcanul a izbucnit brusc.
爆炸	o explozie	În laborator a avut loc o explozie.
卑鄙	josnic	Această metodă josnică îi înfurie pe oameni.
悲哀	trist	După ce a auzit vestea, s-a simțit foarte trist.
悲惨	trajic	Aceea a fost o perioadă tragică din istorie.
北极	Arctica	Oamenii de știință fac cercetări în Arctica.
备份	o copie de rezervă	Te rog să faci mai întâi o copie de rezervă a fișierelor importante.
备忘录	un memorandum	Ea a notat punctele-cheie în memorandum.
背叛	o trădare	Nu a putut accepta trădarea prietenului său.
背诵	a recita	Elevii recită textul.
被动	pasiv	În negocieri nu putem fi prea pasivi.
被告	un inculpat	Inculpatul a negat toate acuzațiile.
贝壳	o scoică	Copilul a adunat scoici pe malul mării.
奔波	a alerga peste tot	Aleargă peste tot pentru muncă.
奔驰	a goni	Mașina gonea pe autostradă.
本能	un instinct	Protejarea copilului este un instinct al părinților.
本钱	un capital	Pentru a face afaceri este nevoie de capital.
本人	eu însumi	Eu însumi sunt dispus să-mi asum responsabilitatea.
本身	în sine	Planul în sine nu are nicio problemă.
本事	o abilitate	Este foarte capabil.
笨拙	stângaci	Mișcările lui sunt puțin stângace.
崩溃	a se prăbuși	Sistemul s-a prăbușit brusc.
甭	nu este nevoie	Nu este nevoie să-ți faci griji pentru asta.
蹦	a sări	Cățelul sărea de colo-colo pe iarbă.
迸发	a izbucni	Aplauzele au izbucnit din mulțime.
逼迫	a forța	L-au forțat să semneze contractul.
鼻涕	secreții nazale	Copilul este răcit și îi curge mereu nasul.
比方	de exemplu	De exemplu, putem încerca mai întâi o lună.
比喻	o metaforă	Această metaforă este foarte sugestivă.
比重	o proporție	Ponderea sectorului serviciilor este tot mai mare.
鄙视	a disprețui	Nu disprețui eforturile altora.
弊病	o problemă	Acest sistem are destul de multe probleme.
弊端	un neajuns	Noul plan a rezolvat neajunsurile vechiului sistem.
臂	un braț	Brațul lui drept a fost rănit.
闭塞	izolat	Transportul în acest sat de munte era odinioară foarte izolat.
编织	a tricota	Bunica tricotează un pulover.
边疆	o frontieră	Mulți soldați apără frontiera țării.
边界	o graniță	Cele două țări au redesenat granița.
边境	o zonă de frontieră	Zonele de frontieră au întărit controalele de securitate.
边缘	o margine	Cana este pusă pe marginea mesei.
鞭策	a impulsiona	Cuvintele profesorului m-au impulsionat mereu.
扁	plat	Această cutie este lată și plată.
贬低	a desconsidera	Nu desconsidera fără motiv eforturile altora.
贬义	o conotație negativă	Acest cuvânt are aici o conotație negativă.
便利	convenabil	Metroul face deplasarea mai convenabilă.
便条	un bilet	El a lăsat un bilet pe masă.
便于	convenabil pentru	Acest design este convenabil pentru folosirea de către vârstnici.
变故	un necaz neașteptat	În familie s-a produs brusc un necaz neașteptat.
变迁	o schimbare	Schimbările orașului l-au emoționat mult.
变质	a se altera	Laptele se alterează dacă este lăsat prea mult timp.
辨认	a identifica	Poliția i-a cerut să identifice persoana din fotografie.
辩护	a apăra	Avocatul l-a apărat pe inculpat.
辩解	a justifica	A încercat să-și justifice greșeala.
辩证	dialectic	Trebuie să privim această problemă dialectic.
辫子	o cosiță	Fetița are două cosițe.
遍布	a fi răspândit	Această plantă este răspândită în toată țara.
标本	un specimen	În muzeu sunt expuse specimene de animale.
标记	un semn	Te rog să faci semne lângă paragrafele importante.
标题	un titlu	Titlul acestui articol este foarte atrăgător.
表决	a vota	Reprezentanții vor vota propunerea.
表态	a-și exprima poziția	Încă nu și-a exprimat public poziția.
表彰	a recompensa	Compania i-a recompensat pe angajații remarcabili.
憋	a-și reține	Și-a reținut râsul și nu a spus nimic.
别墅	o vilă	Au cumpărat o vilă în suburbii.
别致	distinctiv	Decorul acestei cafenele este foarte distinctiv.
别扭	stânjenitor	Această frază sună puțin stânjenitor.
濒临	pe punctul de	Acest animal este pe punctul de dispariție.
冰雹	o grindină	Ieri după-amiază a căzut grindină puternică.
丙	C	Meciul grupei C începe după-amiază.
并非	nu este deloc	Lucrurile nu sunt deloc așa cum îți imaginezi.
并列	la egalitate	Cele două proiecte sunt la egalitate pe primul loc.
剥削	o exploatare	În vechea societate exista o exploatare gravă.
拨	a forma	Te rog să formezi acest număr de telefon.
播种	a semăna	Țăranii încep să semene primăvara.
波浪	un val	Valuri uriașe s-au ridicat pe mare.
波涛	talazuri	Barca înainta prin talazuri.
伯母	o mătușă	În weekend o voi vizita pe mătușa mea.
博大精深	vast și profund	Cultura chineză este vastă și profundă.
博览会	o expoziție	Expoziția internațională a atras multe companii.
搏斗	a se lupta	Poliția s-a luptat cu infractorul.
薄弱	slab	Baza lui gramaticală este relativ slabă.
不顾	fără a ține cont de	A intrat în grabă fără a ține cont de pericol.
不愧	a merita pe deplin	Merită pe deplin să fie numit expert cu experiență.
不料	pe neașteptate	Pe neașteptate, ședința a fost anulată brusc.
不像话	scandalos	Este scandalos să tratezi oaspeții așa.
不屑一顾	a disprețui	A disprețuit aceste zvonuri.
哺乳	a alăpta	Mama alăptează bebelușul.
捕捉	a surprinde	Fotograful a surprins un moment minunat.
补偿	a compensa	Compania îți va compensa pierderea.
补救	a remedia	Încă mai avem timp să remediem situația.
补贴	o subvenție	Guvernul acordă subvenții familiilor cu venituri mici.
不得已	neavând de ales	A plecat din orașul natal doar pentru că nu avea de ales.
不妨	nu ar strica	Nu ar strica să-i asculți mai întâi explicația.
不敢当	nu merit	Chiar nu merit asemenea laude din partea dumneavoastră.
不禁	a nu se putea abține	Când a auzit vestea, nu s-a putut abține să nu râdă.
不堪	de nesuportat	Zgomotul de aici este de nesuportat.
不可思议	de necrezut	Acest rezultat este cu adevărat de necrezut.
不免	inevitabil	Pe scenă pentru prima dată, era inevitabil puțin emoționat.
不时	din când în când	Din când în când ridica privirea spre ceas.
不惜	a nu ezita	Pentru a salva pe cineva, nu a ezitat să riște.
不相上下	la același nivel	Cele două echipe sunt la același nivel.
不言而喻	de la sine înțeles	Importanța onestității este de la sine înțeleasă.
不由得	a nu se putea abține	Văzând fotografia veche, nu s-a putut abține să nu se gândească la copilărie.
不择手段	fără scrupule	Pentru a câștiga bani, folosește orice mijloace, fără scrupule.
不止	mai mult de	La ședință au participat mai mult de o sută de persoane.
布告	un anunț	La poarta școlii a fost lipit un anunț.
布局	o dispunere	Dispunerea acestui apartament este foarte rezonabilă.
布置	a atribui	Profesorul a atribuit teme noi.
步伐	un pas	Echipa a înaintat cu pași ordonați.
部署	a desfășura	Compania desfășoară un nou plan de vânzări.
部位	o zonă	Medicul a examinat zona rănită.
才干	o competență	Ea este foarte competentă în management.
裁缝	un croitor	Acest croitor este foarte priceput.
裁判	un arbitru	Arbitrul a anunțat întreruperea meciului.
裁员	a concedia personal	Compania a decis să concedieze personal din cauza pierderilor.
财富	o avere	Cunoașterea este și ea o formă de avere.
财务	finanțe	Departamentul financiar verifică conturile.
财政	fiscal	Veniturile fiscale au crescut într-o anumită măsură anul acesta.
彩票	un bilet de loterie	El cumpără ocazional un bilet de loterie.
采购	a achiziționa	Compania a trimis pe cineva să achiziționeze echipamente.
采集	a colecta	Cercetătorii au colectat probe în pădure.
采纳	a adopta	Conducerea a adoptat sugestia noastră.
参谋	a consilia	El îl consiliază adesea pe manager.
参照	a consulta	Te rog să completezi formularul conform acestui format.
残疾	dizabilitate	Această stație oferă ajutor pasagerilor cu dizabilități.
残酷	crud	Războiul este foarte crud.
残留	a rămâne	În ceașcă încă a rămas miros de cafea.
残忍	cruz	Abuzarea animalelor este un comportament crud.
灿烂	strălucitor	Ea a afișat un zâmbet strălucitor.
仓促	pripit	Această decizie a fost luată prea pripit.
仓库	un depozit	Mărfurile au fost deja livrate la depozit.
舱	o cabină	Pasagerii intră în cabina avionului.
苍白	palid	Fața lui părea foarte palidă.
操劳	a munci din greu	Mama a muncit din greu pentru această familie mulți ani.
操练	a se antrena	Soldații se antrenează în fiecare dimineață.
操纵	a controla	Această mașină este controlată de computer.
操作	a opera	Te rog să operezi echipamentul conform instrucțiunilor.
嘈杂	zgomotos	În gară este foarte zgomotos.
草案	un proiect de document	Comitetul discută proiectul de document.
草率	neglijent	O decizie atât de importantă nu poate fi luată neglijent.
侧面	o parte laterală	Văzută din lateral, această clădire pare mai înaltă.
测量	a măsura	Inginerul măsoară lungimea podului.
策划	a planifica	Ei au planificat un eveniment de amploare.
策略	o strategie	Această strategie a ajutat compania să reducă costurile.
层出不穷	a apărea neîncetat	Probleme noi apar neîncetat una după alta.
层次	o structură	Structura acestui articol este foarte clară.
差别	o diferență	Nu este mare diferență între cele două metode.
插座	o priză	În această cameră nu sunt destule prize.
查获	a confisca	Vama a confiscat un lot de produse false.
刹那	o clipă	Într-o clipă, toate luminile s-au stins.
岔	o ramificație	Mașinile s-au despărțit la intersecția din față.
诧异	uimit	Decizia lui i-a uimit foarte mult pe toți.
柴油	motorină	Acest camion folosește motorină.
搀	a sprijini	Infirmiera l-a sprijinit pe bătrân să intre în salon.
缠绕	a se înfășura	Vrejii se înfășoară în jurul ramurilor.
馋	a pofti	Văzând prăjitura, copilului i s-a făcut poftă.
产业	o industrie	Turismul este o industrie importantă aici.
阐述	a expune	Profesorul și-a expus punctul de vedere în detaliu.
颤抖	a tremura	Era atât de frig, încât tremura din tot corpul.
昌盛	prosper	Sperăm ca țara să fie prosperă și înfloritoare.
偿还	a rambursa	El a rambursat împrumutul la timp.
尝试	a încerca	Putem încerca o metodă nouă.
场合	o ocazie	O astfel de ocazie nu este potrivită pentru glume.
场面	o scenă	Scena nunții era foarte animată.
场所	un loc	Acesta este un loc public; vă rugăm să nu fumați.
敞开	a deschide larg	Te rog să lași fereastra larg deschisă pentru o vreme.
倡导	a promova	Școala promovează un stil de viață sănătos.
倡议	o inițiativă	Această inițiativă de protecție a mediului a primit sprijin.
畅通	liber	După ce ploaia s-a oprit, drumul a devenit liber.
畅销	a se vinde foarte bine	Acest roman se vinde foarte bine.
超越	a depăși	În cele din urmă, și-a depășit propriul record.
钞票	o bancnotă	În portofel mai rămăseseră doar câteva bancnote.
嘲笑	a lua în râs	Nu lua în râs defectele altora.
巢穴	un bârlog	Vânătorul a descoperit bârlogul animalului.
朝代	o dinastie	Dinastia Tang este o dinastie din istoria Chinei.
潮流	o tendință	Tinerii acordă multă atenție tendințelor modei.
撤退	a se retrage	Trupele s-au retras după ce au primit ordinul.
撤销	a anula	Curtea a anulat hotărârea inițială.
沉淀	a se depune	Nămolul se va depune treptat.
沉闷	apăsător	Vremea de astăzi este caldă și apăsătoare.
沉思	a medita	Stătea la fereastră și medita.
沉重	greu	Această veste i-a făcut pe toți să se simtă apăsați.
沉着	calm	În fața pericolului trebuie să rămâi calm.
陈旧	învechit	Această mașinărie este deja foarte învechită.
陈列	a expune	În sala de expoziție sunt expuse multe relicve culturale.
陈述	a declara	Te rog să declari faptele clar.
称心如意	mulțumitor	Acest loc de muncă este foarte mulțumitor pentru el.
衬托	a scoate în evidență	Peretele alb scoate în evidență culoarea florilor.
称号	un titlu	A primit titlul de profesor remarcabil.
乘	a lua	Iau metroul la serviciu în fiecare zi.
呈现	a căpăta	Cerul a căpătat o nuanță ușor roșiatică.
城堡	un castel	Pe vârful muntelui se află un castel vechi.
惩罚	a pedepsi	Școala îi va pedepsi pe elevii care copiază.
成本	un cost	Creșterea prețului materiilor prime a mărit costul.
成交	a încheia o tranzacție	Această tranzacție a fost în sfârșit încheiată.
成天	toată ziua	Stă toată ziua în fața computerului.
成效	un rezultat	Noua metodă de management a arătat curând rezultate.
成心	intenționat	Nu a vrut intenționat să te pună într-o situație dificilă.
成员	un membru	Fiecare membru trebuie să participe la ședință.
承办	a organiza	Această companie a organizat expoziția.
承包	a contracta	Ei au contractat acest proiect.
承诺	a promite	El a promis să termine sarcina la timp.
橙	o portocală	Am cumpărat câteva portocale proaspete.
澄清	a clarifica	Managerul a ieșit să clarifice neînțelegerea.
盛	a turna	Ea a turnat un bol de supă pentru oaspete.
诚挚	sincer	Te rog să accepți mulțumirile mele sincere.
秤	un cântar	Acest cântar nu este foarte precis.
吃苦	a suporta greutăți	Tinerii ar trebui să învețe să suporte greutăți.
吃力	a necesita efort	Mutarea acestei cutii necesită mult efort.
持久	durabil	Succesul cere un efort durabil.
迟钝	încet la reacții	În ultima vreme, reacțiile lui au fost cam lente.
迟缓	lent	După ploaie, traficul a devenit lent.
迟疑	a ezita	Ea a ezitat o clipă înainte să răspundă.
赤道	ecuator	Lângă ecuator este cald tot anul.
赤字	un deficit	Compania a înregistrat un deficit anul acesta.
充当	a servi drept	El a servit drept coordonator în proiect.
充沛	abundent	Copiii au foarte multă energie.
充实	împlinit	Această experiență mi-a făcut viața mai împlinită.
充足	suficient	Înainte de călătorie trebuie să pregătești suficientă apă.
冲动	un impuls	Nu lua o decizie dintr-un impuls de moment.
冲击	a afecta	Noile tehnologii au afectat industriile tradiționale.
冲突	un conflict	Ambele părți au încercat să evite conflictul.
崇拜	a admira	Mulți tineri îl admiră pe acest om de știință.
崇高	nobil	Datoria medicului este nobilă.
崇敬	a respecta profund	Studenții îl respectă profund pe acest profesor.
重叠	a se suprapune	Aceste două sarcini se suprapun parțial.
稠密	dens	Populația de aici este foarte densă.
筹备	a pregăti	Ei pregătesc nunta.
丑恶	urât	A dezvăluit adevărul urât din spatele incidentului.
出路	o cale de ieșire	Educația le poate oferi tinerilor mai multe căi de ieșire.
出卖	a trăda	El nu și-ar trăda prietenii.
出身	origine familială	El provine dintr-o familie obișnuită.
出神	absorbită	Ea era absorbită de muzică.
出息	un viitor promițător	Acest copil va avea un viitor promițător.
初步	preliminar	Am ajuns deja la un acord preliminar.
除	a exclude	În afară de el, toți au sosit.
储备	a rezerva	Compania trebuie să rezerve mai multe fonduri.
储存	a stoca	Aceste date vor fi stocate automat.
储蓄	a economisi	El economisește în fiecare lună o parte din salariu.
处分	o sancțiune disciplinară	Școala i-a dat o sancțiune disciplinară severă.
处境	o situație dificilă	Situația lor actuală este foarte dificilă.
处置	a gestiona	Acest echipament vechi trebuie gestionat corespunzător.
触犯	a încălca	A face asta va încălca legea.
川流不息	flux neîntrerupt	Vehiculele de pe stradă curg într-un flux neîntrerupt.
穿越	a traversa	Trenul a traversat tunelul lung.
传达	a transmite	Te rog să transmiți acest mesaj tuturor.
传单	un pliant	Voluntarii au împărțit pliante pe stradă.
传授	a transmite	Profesorul le-a transmis experiență elevilor.
船舶	o navă	În port sunt acostate multe nave.
喘气	a gâfâi	După alergare, continua să gâfâie.
串	a înșira	Ea a înșirat mărgelele într-un colier.
床单	un cearșaf	Te rog să schimbi cearșaful.
创立	a fonda	Ei au fondat împreună această companie.
创新	o inovație	Dezvoltarea întreprinderii cere inovație continuă.
创业	a începe o afacere	Mulți tineri aleg să înceapă o afacere.
创作	a crea	Scriitorul creează un roman de lungă întindere.
吹牛	a se lăuda	Nu te lăuda; arată dovezile.
吹捧	a lăuda exagerat	Mass-media a lăudat exagerat acest produs.
炊烟	fum de gătit	Seara, din sat s-a ridicat fum de gătit.
垂直	vertical	Aceste două linii sunt perpendiculare una pe cealaltă.
锤	un ciocan	Muncitorul a lovit placa de fier cu un ciocan.
纯粹	pur	Ajutorul lui a fost pur din bunăvoință.
纯洁	pur	Inima unui copil este foarte pură.
慈善	caritate	Această companie participă adesea la activități de caritate.
慈祥	blând	Zâmbetul bunicii era foarte blând.
磁带	o casetă	Această casetă veche încă poate fi redată.
雌雄	mascul și femelă	Masculul și femela acestei păsări au culori diferite.
伺候	a îngriji	Infirmiera a îngrijit pacientul cu atenție.
刺	un spin	Pe ramura trandafirului sunt mulți spini.
次品	produse defecte	Aceste produse defecte nu pot fi vândute.
次序	o ordine	Te rog să stați la rând în ordine.
丛	un grup	Pe marginea drumului este un grup de flori sălbatice.
从容	calm	Ea a răspuns calm la întrebare.
凑合	a se descurca	Camera nu este mare, dar e suficient de bună pentru locuit.
粗鲁	nepoliticos	Vorbește prea nepoliticos.
窜	a țâșni	Pisica aceea a țâșnit brusc în casă.
摧残	a devasta	Poluarea pe termen lung va devasta această pădure.
脆弱	fragil	Produsele din sticlă sunt foarte fragile.
搓	a freca	Și-a frecat mâinile reci.
磋商	a negocia	Cele două părți vor continua negocierile.
挫折	un eșec	Fiecare om întâmpină eșecuri.
搭	a lua	Luăm autobuzul spre aeroport.
搭档	un partener	El este partenerul meu de lucru de mulți ani.
搭配	a se potrivi	Această jachetă se potrivește bine cu pantalonii.
答辩	o susținere	Studentul masterand se pregătește pentru susținerea tezei.
答复	un răspuns	Te rog să-mi dai un răspuns cât mai repede.
达成	a ajunge la	Cele două părți au ajuns în cele din urmă la un acord.
打包	a împacheta	Chelnerul ne-a împachetat resturile de mâncare.
打官司	a merge în instanță	Ei au mers în instanță din cauza unei probleme de contract.
打击	o lovitură	Acest eșec a fost o lovitură mare pentru el.
打架	a se bate	Elevii care se bat în campus vor fi sancționați.
打量	a cerceta cu privirea	Ea m-a cercetat cu privirea de sus până jos.
打猎	a vâna	Vânătoarea este interzisă aici.
打仗	a merge la război	Nimeni nu vrea să meargă la război.
大不了	în cel mai rău caz	În cel mai rău caz, încercăm din nou mâine.
大臣	un ministru	Regele a convocat câțiva miniștri.
大伙儿	toată lumea	Toată lumea așteaptă decizia ta.
大肆	pe scară largă	Comerciantul a promovat noul produs pe scară largă.
大体	în linii mari	Planul este în linii mari fără probleme.
大意	ideea principală	Te rog să explici mai întâi ideea principală a acestui articol.
大致	aproximativ	Am înțeles aproximativ ce s-a întâmplat.
歹徒	un infractor	Poliția l-a prins rapid pe infractor.
代价	un preț	Succesul cere adesea plata unui preț.
代理	a înlocui	El îl înlocuiește temporar pe manager.
带领	a conduce	Profesorul i-a condus pe elevi să viziteze muzeul.
怠慢	a neglija	Nu trebuie să neglijăm oaspeții.
逮捕	a aresta	Poliția l-a arestat pe principalul suspect.
担保	o garanție	Banca cere ca cineva să ofere o garanție.
胆怯	timid	La primul discurs era puțin timid.
淡季	extrasezon	Biletele de avion sunt mai ieftine în extrasezonul turistic.
淡水	apă dulce	Acest tip de pește poate trăi doar în apă dulce.
蛋白质	o proteină	Ouăle conțin proteine din belșug.
诞辰	aniversarea nașterii	Astăzi este aniversarea nașterii acestui scriitor.
诞生	a lua naștere	Această idee a luat naștere în timpul discuției.
当场	pe loc	Și-a recunoscut greșeala pe loc.
当初	la început	La început, noi toți am susținut această decizie.
当代	contemporan	Societatea contemporană se schimbă foarte repede.
当面	față în față	Este mai bine să explici problemele clar față în față.
当前	actual	În prezent, cel mai important este să garantăm siguranța.
当事人	o parte implicată	Poliția întreabă partea implicată.
当务之急	prioritatea principală	Rezolvarea problemei locuințelor este prioritatea principală.
当选	a fi ales	Ea a fost aleasă cu succes președintă.
党	un partid	Acest partid a propus o politică nouă.
档案	un dosar	Școala a păstrat dosarele elevilor.
档次	un nivel	Acest hotel este de un nivel înalt.
倒闭	a se închide	Acel mic magazin s-a închis anul trecut.
导弹	o rachetă	Știrile au relatat despre testul cu rachetă.
导航	navigație	Te rog să pornești navigația pe telefon.
导向	o orientare	Politica educațională ar trebui să fie orientată spre echitate.
捣乱	a face probleme	Te rog să nu faci probleme la curs.
盗窃	un furt	Centrul comercial a întărit măsurile pentru a preveni furtul.
稻谷	orez pe câmp	Țăranii recoltează orezul de pe câmp.
得不偿失	a nu merita	Cumpărarea de materiale slabe pentru a economisi bani nu merită.
得力	capabil	El este un asistent capabil al managerului.
得天独厚	avantajat în mod unic	Acest oraș are avantaje geografice unice.
得罪	a ofensa	Nu vreau să ofensez colegii din cauza unui lucru mărunt.
灯笼	un felinar	În timpul Festivalului Primăverii, la intrare atârnă felinare roșii.
登录	a se autentifica	Te rog să te autentifici mai întâi în cont.
登陆	a ajunge pe uscat	Taifunul ar putea ajunge pe coasta în această seară.
蹬	a apăsa cu piciorul	El a apăsat tare cu piciorul, iar bicicleta s-a pus în mișcare.
等候	a aștepta	Pasagerii așteaptă în sală îmbarcarea.
等级	un nivel	Acest software are niveluri diferite de abonament.
瞪	a se holba	El s-a holbat furios la mine.
堤坝	un baraj	Barajul trebuie inspectat cu atenție după ploaia puternică.
敌视	ostil	Nu ar trebui să fim ostili față de opinii diferite.
抵达	a sosi	Avionul a sosit la Beijing la timp.
抵抗	a rezista	Sătenii au rezistat împreună inundației.
抵制	a boicota	Consumatorii au început să boicoteze produsele de proastă calitate.
地步	o situație	Problema nu a ajuns încă într-o situație atât de gravă.
地势	relief	Relieful de aici este înalt, așa că apa nu se acumulează ușor.
地质	geologie	Experții investighează condițiile geologice locale.
递增	a crește treptat	Vânzările au crescut treptat timp de trei luni consecutive.
颠簸	a se zdruncina	Drumul de munte este zdruncinat, așa că trebuie să conduci cu grijă.
颠倒	a inversa	Ai inversat ordinea celor două numere.
典礼	o ceremonie	Ceremonia de absolvire va avea loc în auditoriu.
典型	tipic	Acesta este un caz tipic de succes.
点缀	a împodobi	Câteva flori mici au împodobit masa.
垫	un suport	Te rog să pui această foaie de hârtie sub ceașcă.
奠定	a pune bazele	Această cooperare a pus bazele unei relații pe termen lung.
惦记	a-și face griji	Mama își face mereu griji pentru copilul aflat departe.
电源	o sursă de alimentare	Te rog să oprești sursa de alimentare înainte de plecare.
叼	a ține în gură	Câinele acela ține un os în gură.
雕刻	a sculpta	Lui îi place să sculpteze modele în lemn.
雕塑	o sculptură	În centrul pieței se află o sculptură.
吊	a ridica	Muncitorii au folosit o mașină ca să ridice grinda de oțel.
调动	a transfera	Compania l-a transferat să lucreze la Shanghai.
跌	a scădea	Prețul acțiunilor a scăzut din nou astăzi.
丁	un cubuleț	Rețeta spune să tai cartofii în cubulețe.
叮嘱	a reaminti insistent	Profesorul ne-a reamintit insistent să fim atenți la siguranță.
盯	a fixa cu privirea	Te rog să nu-i fixezi mereu pe alții cu privirea.
定期	periodic	Medicul l-a sfătuit să facă periodic controale medicale.
定义	o definiție	Te rog să explici mai întâi definiția acestui concept.
丢人	rușinos	A minți în public este cu adevărat rușinos.
丢三落四	uituc	El este mereu uituc și adesea își uită cheile când pleacă.
东道主	o gazdă	Ca gazde, ar trebui să avem grijă de oaspeți.
东张西望	a privi în jur	Nu privi în jur în timpul orei.
董事长	președintele consiliului de administrație	Președintele consiliului de administrație a participat astăzi la ședință.
冻结	a îngheța	Banca a înghețat temporar acest cont.
动荡	instabil	Această regiune a rămas instabilă mult timp din cauza războiului.
动机	un motiv	Poliția investighează motivul lui.
动静	un zgomot	În cameră nu se auzea nici cel mai mic zgomot.
动力	o motivație	Interesul este motivația învățării.
动脉	o arteră	Medicul i-a examinat artera.
动身	a porni la drum	Vom porni la drum spre aeroport mâine dimineață devreme.
动手	a sări la bătaie	Problema nu este încă clară, așa că nimeni nu ar trebui să sară la bătaie.
动态	o evoluție	Te rog să urmărești evoluția proiectului.
动员	a mobiliza	Școala a mobilizat elevii să participe la activități de voluntariat.
栋	o clădire	Această clădire are douăzeci de etaje.
兜	un buzunar	El a pus cheile în buzunarul hainei.
陡峭	abrupt	Acest drum de munte este foarte abrupt.
斗争	o luptă	Ei duc o luptă pentru protejarea mediului.
督促	a îndemna	Managerul i-a îndemnat pe toți să termine sarcina la timp.
毒品	droguri	Vama a confiscat un lot de droguri.
独裁	dictatură	Oamenii se opun dictaturii.
堵塞	a bloca	Gunoiul a blocat canalizarea.
赌博	a juca jocuri de noroc	Jocurile de noroc pot aduce consecințe grave.
杜绝	a pune capăt	Compania cere să se pună capăt risipei.
端	a ține	El a intrat ținând o ceașcă de ceai fierbinte.
端午节	Festivalul Bărcilor Dragon	Mâncăm zongzi la Festivalul Bărcilor Dragon.
端正	a corecta	Elevii ar trebui să-și corecteze atitudinea față de învățare.
短促	scurt	El a scos un oftat scurt.
断定	a stabili	Încă nu se poate stabili cine are dreptate și cine greșește.
断绝	a întrerupe	După accident, satul a întrerupt contactul cu lumea exterioară.
