simplified	BN	example_BN
报道	সংবাদ প্রতিবেদন; প্রতিবেদন করা	সংবাদে ঘটনাটি প্রতিবেদন করা হয়েছে।
报告	প্রতিবেদন; রিপোর্ট করা	সে প্রতিবেদন দিচ্ছে।
报社	সংবাদপত্র অফিস	সে একটি সংবাদপত্র অফিসে কাজ করে।
抱怨	অভিযোগ করা	সে সব সময় কাজ বেশি বলে অভিযোগ করে।
悲观	হতাশাবাদী	এত হতাশাবাদী হয়ো না।
背	পিঠ	সে দরজার দিকে পিঠ দিয়ে বসে আছে।
背景	পটভূমি	দয়া করে আপনার পটভূমি সংক্ষেপে পরিচয় করিয়ে দিন।
被子	লেপ; কম্বল	লেপটি খুব উষ্ণ।
本科	স্নাতক পর্যায়	সে স্নাতক পর্যায়ের শিক্ষার্থী।
本领	দক্ষতা; ক্ষমতা	সে একটি নতুন দক্ষতা শিখেছে।
本质	সারমর্ম; প্রকৃতি	সমস্যার সারমর্ম খুব সহজ।
彼此	পরস্পর; একে অপর	আমাদের পরস্পরকে সম্মান করা উচিত।
比例	অনুপাত	পুরুষ ও নারীর অনুপাত প্রায় একই।
必然	অবশ্যম্ভাবী; নিশ্চিত	পরিশ্রম অবশ্যম্ভাবীভাবে ফল আনে।
必要	প্রয়োজনীয়	চিন্তা করার দরকার নেই।
毕竟	শেষ পর্যন্ত; যাই হোক	যাই হোক, সে এখনো শিশু।
避免	এড়ানো; প্রতিরোধ করা	দয়া করে দেরি করা এড়িয়ে চলুন।
编辑	সম্পাদনা করা; সম্পাদক	সে এই প্রবন্ধটি সম্পাদনার দায়িত্বে আছে।
鞭炮	পটকা	বসন্ত উৎসবের সময় কেউ কেউ পটকা ফোটায়।
便	তখনই; সুবিধাজনক	খাওয়া শেষ করে সে তখনই ক্লাসে গেল।
辩论	বিতর্ক; বিতর্ক করা	তারা এই প্রশ্ন নিয়ে বিতর্ক করছে।
标点	যতি চিহ্ন	দয়া করে যতি চিহ্নের দিকে খেয়াল রাখুন।
标志	চিহ্ন; প্রতীক	লাল বাতি থামার চিহ্ন।
表达	প্রকাশ করা	সে নিজের মত প্রকাশ করেছে।
表面	পৃষ্ঠ; বাহির	টেবিলের পৃষ্ঠ খুব পরিষ্কার।
表明	দেখানো; স্পষ্ট করা	ফলাফল দেখায় যে সে ঠিক।
表情	মুখভঙ্গি; অভিব্যক্তি	তার মুখভঙ্গি খুব গম্ভীর।
表现	প্রদর্শন; আচরণ করা	আজ তার পারফরম্যান্স খুব ভালো।
冰激凌	আইসক্রিম	শিশুরা আইসক্রিম খেতে পছন্দ করে।
病毒	ভাইরাস	এই ধরনের ভাইরাস খুব দ্রুত ছড়ায়।
播放	চালানো; সম্প্রচার করা	দয়া করে এই গানটি চালান।
玻璃	কাচ	কাচের গ্লাসটি ভেঙে গেছে।
博物馆	জাদুঘর	আমরা সপ্তাহান্তে জাদুঘরে যাব।
脖子	ঘাড়	আমার ঘাড়ে একটু ব্যথা করছে।
不断	অবিরত; ক্রমাগত	দাম ক্রমাগত বাড়ছে।
不见得	অবশ্যই নয়	এটি অবশ্যই খারাপ ব্যাপার নয়।
不耐烦	অধৈর্য	অনেকক্ষণ অপেক্ষা করে সে একটু অধৈর্য হয়ে গেল।
不要紧	কোনো সমস্যা নয়; গুরুতর নয়	ঠিক আছে, কোনো সমস্যা নয়।
补充	যোগ করা; পরিপূরক করা	আমি একটি মতামত যোগ করতে চাই।
不安	অস্বস্তি; অশান্ত	এই খবর শুনে সে অস্বস্তি বোধ করল।
不得了	ভীষণ গুরুতর; অসাধারণ	এই ব্যাপারটি সত্যিই গুরুতর।
不然	না হলে; অন্যথায়	তাড়াতাড়ি চলো, না হলে দেরি হবে।
不如	তার চেয়ে ভালো; সমান নয়	গাড়িতে যাওয়ার চেয়ে হাঁটা ভালো।
不足	অপর্যাপ্ত; ঘাটতি	এখানে পানি পর্যাপ্ত নয়।
布	কাপড়	এই কাপড়ের টুকরোটি খুব নরম।
步骤	ধাপ; পদ্ধতি	দয়া করে ধাপ অনুযায়ী কাজ করুন।
部门	বিভাগ	আমি বিক্রয় বিভাগে কাজ করি।
财产	সম্পত্তি	এই বাড়িটি তার সম্পত্তি।
彩虹	রংধনু	বৃষ্টির পরে রংধনু দেখা দিল।
踩	পা দেওয়া; মাড়ানো	ঘাসের ওপর পা দিও না।
采访	সাক্ষাৎকার নেওয়া	সাংবাদিক ডাক্তারটির সাক্ষাৎকার নিচ্ছেন।
采取	গ্রহণ করা; প্রয়োগ করা	আমরা একটি নতুন পদ্ধতি গ্রহণ করেছি।
参考	রেফারেন্স; দেখে নেওয়া	দয়া করে এই বইটি দেখে নিন।
参与	অংশগ্রহণ করা	সে সক্রিয়ভাবে কার্যক্রমে অংশগ্রহণ করে।
惭愧	লজ্জিত	আমি নিজের ভুলের জন্য লজ্জিত বোধ করছি।
操场	খেলার মাঠ	শিক্ষার্থীরা খেলার মাঠে দৌড়াচ্ছে।
操心	চিন্তা করা	আমার জন্য চিন্তা করো না।
册	খণ্ড; বইয়ের গণনাবাচক	আমি একটি বইয়ের খণ্ড কিনেছি।
测验	পরীক্ষা; ছোট পরীক্ষা	আগামীকাল একটি ছোট পরীক্ষা আছে।
曾经	একসময়; আগে	আমি একসময় বেইজিংয়ে থাকতাম।
叉子	কাঁটা চামচ	আমি কাঁটা চামচ দিয়ে সালাদ খাই।
差距	ব্যবধান; ফারাক	শহর ও গ্রামের মধ্যে ব্যবধান আছে।
插	ঢোকানো; গুঁজে দেওয়া	দয়া করে ফুলগুলো ফুলদানিতে রাখুন।
拆	খোলা; ভেঙে ফেলা	শ্রমিকরা পুরোনো বাড়ি ভেঙে ফেলছে।
产品	পণ্য	এই পণ্যের মান খুব ভালো।
产生	উৎপন্ন হওয়া; সৃষ্টি হওয়া	এই সমস্যাটি নতুন প্রভাব সৃষ্টি করেছে।
常识	সাধারণ জ্ঞান	এটি মৌলিক সাধারণ জ্ঞান।
长途	দীর্ঘপথ; দূরপাল্লার	দূরপাল্লার ভ্রমণ ক্লান্তিকর।
抄	নকল করা	দয়া করে অন্যের বাড়ির কাজ নকল করো না।
超级	অতি; সুপার	এটি একটি সুপারমার্কেট।
朝	রাজবংশ; দরবার	তাং রাজবংশ খুব বিখ্যাত।
潮湿	স্যাঁতসেঁতে; আর্দ্র	দক্ষিণের গ্রীষ্ম খুব আর্দ্র।
吵	শোরগোল করা; কোলাহলপূর্ণ	বাইরে খুব শোরগোল।
吵架	ঝগড়া করা	তারা আবার ঝগড়া করেছে।
炒	ভাজা; নেড়ে ভাজা	মা সবজি ভাজছেন।
车库	গ্যারেজ	গাড়িটি গ্যারেজে রাখা আছে।
车厢	রেলের কামরা	এই কামরাটি খুব শান্ত।
彻底	সম্পূর্ণ; পুঙ্খানুপুঙ্খ	সে বিষয়টি সম্পূর্ণ বুঝেছে।
沉默	নীরবতা; নীরব থাকা	সে পুরো সময় নীরব ছিল।
趁	সুযোগে; যতক্ষণ	অন্ধকার হওয়ার আগে আমরা চলি।
称	ওজন করা; বলা	দয়া করে এই পার্সেলটি ওজন করুন।
称呼	সম্বোধন করা; সম্বোধন	তাকে কীভাবে সম্বোধন করব, আমি জানি না।
称赞	প্রশংসা করা	শিক্ষক তার উন্নতির প্রশংসা করেছেন।
成分	উপাদান	এই ওষুধের উপাদান খুব সহজ।
成果	ফলাফল; অর্জন	এই প্রকল্প ফলাফল অর্জন করেছে।
成就	অর্জন; সাফল্য	সে কর্মজীবনে অনেক অর্জন করেছে।
成立	প্রতিষ্ঠা করা; প্রতিষ্ঠিত হওয়া	কোম্পানিটি গত বছর প্রতিষ্ঠিত হয়েছে।
成人	প্রাপ্তবয়স্ক	প্রাপ্তবয়স্কদের টিকিট শিশুদের টিকিটের চেয়ে দামি।
成熟	পরিপক্ব; পাকা	আপেলগুলো ইতিমধ্যেই পেকে গেছে।
成语	বাগধারা; প্রবচন	এই বাগধারাটি খুব প্রচলিত।
成长	বড় হওয়া; বৃদ্ধি	শিশুটি ধীরে ধীরে বড় হচ্ছে।
承担	দায়িত্ব নেওয়া; বহন করা	সে দায়িত্ব নিতে রাজি।
承认	স্বীকার করা	সে স্বীকার করেছে যে সে ভুল করেছে।
承受	সহ্য করা; বহন করা	আমি এত বড় চাপ সহ্য করতে পারি না।
程度	স্তর; মাত্রা	তার চীনা ভাষার স্তর খুব উঁচু।
程序	প্রক্রিয়া; পদ্ধতি	দয়া করে প্রক্রিয়া অনুযায়ী কাজটি সম্পন্ন করুন।
诚恳	আন্তরিক; সৎ	তার মনোভাব খুব আন্তরিক।
吃亏	ক্ষতিগ্রস্ত হওয়া; ঠকে যাওয়া	জিনিস কেনার আগে ভালো করে দেখো, যাতে ঠকে না যাও।
持续	চলতে থাকা; অব্যাহত থাকা	বৃষ্টি তিন দিন ধরে চলেছে।
池塘	পুকুর	পুকুরে অনেক মাছ আছে।
迟早	শিগগির বা পরে	তুমি শিগগির বা পরে বুঝবে।
尺子	রুলার; মাপার স্কেল	দয়া করে রুলার দিয়ে মেপে দেখুন।
翅膀	ডানা	পাখিটির ডানা আহত হয়েছে।
充电器	চার্জার	আমার চার্জার নষ্ট হয়ে গেছে।
充分	পর্যাপ্ত; পূর্ণ	আমরা পর্যাপ্ত প্রস্তুতি নিয়েছি।
充满	ভরে থাকা	ঘরটি হাসির শব্দে ভরে উঠেছিল।
冲	ধুয়ে নেওয়া; পানিতে ধোয়া	দয়া করে কাপটি পানি দিয়ে ধুয়ে নিন।
重复	পুনরাবৃত্তি করা	দয়া করে একই ভুল পুনরাবৃত্তি করবেন না।
宠物	পোষা প্রাণী	সে একটি পোষা কুকুর রাখে।
抽屉	ড্রয়ার	চাবিটি ড্রয়ারের ভেতরে আছে।
抽象	বিমূর্ত	এই ধারণাটি খুব বিমূর্ত।
丑	কুৎসিত	এই ছবিটি একটু কুৎসিত।
臭	দুর্গন্ধযুক্ত	আবর্জনা থেকে খুব দুর্গন্ধ আসছে।
出版	প্রকাশ করা; প্রকাশিত হওয়া	এই বইটি গত বছর প্রকাশিত হয়েছে।
出口	প্রস্থানপথ; রপ্তানি	প্রস্থানপথ সামনে।
出色	চমৎকার; অসাধারণ	তার পারফরম্যান্স খুব চমৎকার।
出示	দেখানো; প্রদর্শন করা	দয়া করে আপনার পাসপোর্ট দেখান।
出席	উপস্থিত থাকা	সে সভায় উপস্থিত থাকবে।
初级	প্রাথমিক; নবীন স্তর	আমি প্রাথমিক শ্রেণিতে চীনা ভাষা শিখছি।
除非	যদি না	বৃষ্টি না হলে আমরা কাল পাহাড়ে হাঁটতে যাব।
除夕	নববর্ষের আগের রাত	নববর্ষের আগের রাতে আমাদের পুরো পরিবার একসঙ্গে খায়।
处理	সমাধান করা; সামলানো	আমি এই সমস্যাটি সামলাব।
传播	ছড়িয়ে দেওয়া; ছড়িয়ে পড়া	এই খবর খুব দ্রুত ছড়িয়ে পড়েছে।
传染	সংক্রমিত হওয়া; ছোঁয়াচে হওয়া	সর্দি সহজে ছড়ায়।
传说	কিংবদন্তি	এটি একটি প্রাচীন কিংবদন্তি।
传统	ঐতিহ্য; ঐতিহ্যবাহী	বসন্ত উৎসব চীনের ঐতিহ্যবাহী উৎসব।
窗帘	পর্দা	দয়া করে পর্দা খুলে দিন।
闯	হঠাৎ ঢুকে পড়া; নিয়ম ভাঙা	সে অসাবধানে লাল বাতি অমান্য করেছে।
创造	সৃষ্টি করা	মানুষ নতুন সরঞ্জাম সৃষ্টি করেছে।
吹	ফুঁ দেওয়া; বয়ে যাওয়া	বাতাস খুব জোরে বইছে।
词汇	শব্দভাণ্ডার; শব্দ	এই শব্দটি খুব প্রচলিত।
辞职	পদত্যাগ করা	সে পদত্যাগ করার সিদ্ধান্ত নিয়েছে।
此外	এ ছাড়া; পাশাপাশি	এ ছাড়া, আমার আরেকটি প্রশ্ন আছে।
刺激	উত্তেজনাপূর্ণ; উদ্দীপিত করা	এই খেলাটি খুব উত্তেজনাপূর্ণ।
次要	গৌণ	এই সমস্যাটি গৌণ।
匆忙	তাড়াহুড়ো করে	সে তাড়াহুড়ো করে বাড়ি থেকে বেরিয়ে গেল।
从此	তারপর থেকে	তারপর থেকে সে প্রতিদিন ব্যায়াম করে।
从而	ফলে; এর ফলে	সে মন দিয়ে পড়েছে, ফলে পরীক্ষায় পাস করেছে।
从前	আগে; একসময়	আগে এখানে পাতালরেল ছিল না।
从事	নিয়োজিত থাকা; কাজ করা	সে শিক্ষা ক্ষেত্রে কাজ করে।
粗糙	রুক্ষ; খসখসে	এই কাগজটি খুব খসখসে।
促进	উন্নত করা; সহায়তা করা	ব্যায়াম স্বাস্থ্য উন্নত করতে পারে।
促使	প্ররোচিত করা; বাধ্য করা	এই ঘটনা তাকে পরিকল্পনা বদলাতে বাধ্য করেছে।
醋	ভিনেগার	তরকারিতে ভিনেগার দেওয়া হয়েছে।
催	তাগাদা দেওয়া	মা আমাকে তাড়াতাড়ি বেরোতে তাগাদা দিলেন।
存在	অস্তিত্ব থাকা	এই সমস্যা এখনো আছে।
措施	ব্যবস্থা; পদক্ষেপ	স্কুল নিরাপত্তা ব্যবস্থা নিয়েছে।
答应	রাজি হওয়া; প্রতিশ্রুতি দেওয়া	সে আমাকে সাহায্য করতে রাজি হয়েছে।
达到	পৌঁছানো; অর্জন করা	তার নম্বর মানদণ্ডে পৌঁছেছে।
打工	খণ্ডকালীন কাজ করা	গ্রীষ্মের ছুটিতে সে রেস্তোরাঁয় খণ্ডকালীন কাজ করে।
打交道	লেনদেন করা; মেলামেশা করা	আমি প্রায়ই গ্রাহকদের সঙ্গে কাজ করি।
打喷嚏	হাঁচি দেওয়া	তার সর্দি হয়েছে, সে বারবার হাঁচি দিচ্ছে।
打听	খোঁজ নেওয়া	আমি ট্রেনের টিকিট সম্পর্কে একটু খোঁজ নিতে চাই।
大方	উদার; রুচিসম্মত	সে টাকা খরচে খুব উদার।
大厦	বড় ভবন	ওই বড় ভবনটি খুব উঁচু।
大象	হাতি	শিশুরা চিড়িয়াখানায় হাতি দেখছে।
大型	বড় আকারের	এখানে একটি বড় শপিং মল বানানো হবে।
呆	থাকা; বোকার মতো	সে বাড়িতে থেকে বই পড়ছে।
代表	প্রতিনিধিত্ব করা; প্রতিনিধি	এই ফুল বন্ধুত্বের প্রতিনিধিত্ব করে।
代替	বদলে; পরিবর্তে	আজ আমি তার বদলে সভায় যাব।
待遇	সুবিধা; বেতন-ভাতা	এই কোম্পানির সুবিধা ভালো।
贷款	ঋণ	তারা বাড়ির ঋণের জন্য আবেদন করেছে।
单纯	সরল; বিশুদ্ধ	তার ভাবনা খুব সরল।
单调	একঘেয়ে	এই কাজটি একটু একঘেয়ে।
单独	একা; আলাদাভাবে	আমি তোমার সঙ্গে একা কথা বলতে চাই।
单位	একক; প্রতিষ্ঠান	সে একটি সরকারি প্রতিষ্ঠানে কাজ করে।
单元	ইউনিট; অধ্যায়	আজ আমরা তৃতীয় ইউনিট পড়ছি।
担任	দায়িত্ব পালন করা	সে এই কার্যক্রমের দায়িত্বপ্রাপ্ত ব্যক্তি হিসেবে কাজ করছে।
耽误	দেরি করানো; সময় নষ্ট করা	সবার সময় নষ্ট করো না।
胆小鬼	ভীতু লোক	তাকে ভীতু বলো না।
淡	ফিকে; কম স্বাদের	এই স্যুপটি একটু ফিকে।
当地	স্থানীয়	স্থানীয় মানুষ সবাই এই বাজার পছন্দ করে।
当心	সাবধান হওয়া	রাস্তা পিচ্ছিল, একটু সাবধানে চল।
挡	আটকে দেওয়া	এই গাড়িটি দরজার মুখ আটকে রেখেছে।
倒霉	দুর্ভাগা; দুর্ভাগ্য হওয়া	আজ সত্যিই দুর্ভাগ্য, ফোন হারিয়ে গেছে।
导演	পরিচালক; পরিচালনা করা	এই পরিচালক খুব বিখ্যাত।
导致	কারণ হওয়া; ঘটানো	ভারী বৃষ্টির কারণে যানজট হয়েছে।
岛屿	দ্বীপ	এই দেশে অনেক দ্বীপ আছে।
到达	পৌঁছানো	ট্রেন সময়মতো সাংহাই পৌঁছেছে।
道德	নৈতিকতা	মানুষের নৈতিকতা থাকা উচিত।
道理	যুক্তি; অর্থ	তার কথায় অনেক যুক্তি আছে।
登记	নিবন্ধন করা	দয়া করে আগে সামনের ডেস্কে নিবন্ধন করুন।
等待	অপেক্ষা করা	আমরা ফলাফলের অপেক্ষায় আছি।
等于	সমান হওয়া	পাঁচ যোগ পাঁচ দশের সমান।
滴	ফোঁটা; টপটপ করা	এক ফোঁটা পানি টেবিলে পড়ল।
敌人	শত্রু	তারা শত্রু নয়।
的确	সত্যিই; নিশ্চয়ই	এই ব্যাপারটি সত্যিই খুব গুরুত্বপূর্ণ।
地道	খাঁটি; আসল	সে খাঁটি বেইজিং উপভাষায় কথা বলে।
地理	ভূগোল	চীনের ভূগোলে আমার খুব আগ্রহ আছে।
地区	অঞ্চল	এই অঞ্চলে শীতে খুব ঠান্ডা পড়ে।
地毯	কার্পেট	বসার ঘরে একটি কার্পেট পাতা আছে।
地位	মর্যাদা; অবস্থান	সমাজে শিক্ষার গুরুত্বপূর্ণ অবস্থান আছে।
地震	ভূমিকম্প	গত রাতে এখানে ভূমিকম্প হয়েছে।
递	হাতে দেওয়া; পৌঁছে দেওয়া	দয়া করে এই চিঠিটি শিক্ষককে দিয়ে দিন।
点心	হালকা খাবার; মিষ্টান্ন	বিকেলে আমরা হালকা খাবার খেয়েছি।
电池	ব্যাটারি	এই খেলনাটির দুইটি ব্যাটারি দরকার।
电台	রেডিও স্টেশন	সে রেডিও স্টেশনে অনুষ্ঠান করে।
钓	মাছ ধরা	দাদু নদীর ধারে মাছ ধরতে যেতে পছন্দ করেন।
顶	চূড়া; টুপি গণনাবাচক	সে একটি কালো টুপি পরেছে।
冻	জমে যাওয়া; ঠান্ডায় জমা	বাইরে এত ঠান্ডা যে পানি জমে গেছে।
动画片	কার্টুন; অ্যানিমেশন	শিশুরা কার্টুন দেখছে।
洞	গর্ত; গুহা	দেয়ালে একটি ছোট গর্ত আছে।
豆腐	তোফু	এই তোফুর পদটি খুব সুস্বাদু।
逗	মজা করে হাসানো; খেপানো	তার কথা সবাইকে হাসিয়ে দিল।
独立	স্বাধীন	সে স্বাধীনভাবে থাকতে চায়।
独特	অনন্য; বিশেষ	এই শহরের অনন্য সংস্কৃতি আছে।
度过	কাটানো; পার করা	আমরা সমুদ্রের ধারে ছুটি কাটিয়েছি।
断	ছিঁড়ে যাওয়া; ভেঙে যাওয়া	এই দড়িটি ছিঁড়ে গেছে।
堆	স্তূপ করা; স্তূপ	টেবিলে অনেক নথি স্তূপ করে রাখা আছে।
兑换	বদলানো; মুদ্রা বিনিময় করা	আমি কিছু রেনমিনবি বদলাতে চাই।
对比	তুলনা করা; বৈপরীত্য	দয়া করে এই দুইটি পরিকল্পনা তুলনা করুন।
对待	আচরণ করা	আমাদের সবার সঙ্গে ন্যায্য আচরণ করা উচিত।
对方	অন্য পক্ষ	দয়া করে আগে অন্য পক্ষের মতামত শুনুন।
对手	প্রতিদ্বন্দ্বী	তার প্রতিদ্বন্দ্বী খুব শক্তিশালী।
对象	বিষয়; লক্ষ্য ব্যক্তি	গবেষণার বিষয় বিশ্ববিদ্যালয়ের শিক্ষার্থীরা।
吨	টন	এই ট্রাকটি তিন টন মাল বহন করতে পারে।
蹲	উবু হয়ে বসা	সে মাটিতে উবু হয়ে চাবি খুঁজছে।
顿	বার; এক বেলা	আমরা একসঙ্গে এক বেলা রাতের খাবার খেয়েছি।
多亏	সৌভাগ্যক্রমে; ধন্যবাদ	তোমার সাহায্যের জন্যই আমি কাজটি শেষ করতে পেরেছি।
多余	অপ্রয়োজনীয়; বাড়তি	এই বাক্যটি অপ্রয়োজনীয়।
朵	ফুলের গণনাবাচক শব্দ	টেবিলের ওপর একটি ফুল রাখা আছে।
躲藏	লুকিয়ে থাকা	বিড়ালছানাটি বিছানার নিচে লুকিয়ে আছে।
恶劣	খুব খারাপ; নিকৃষ্ট	আজকের আবহাওয়া খুব খারাপ।
耳环	কানের দুল	সে এক জোড়া কানের দুল পরেছে।
发表	প্রকাশ করা; মত প্রকাশ করা	সে সভায় নিজের মত প্রকাশ করেছে।
发愁	চিন্তিত হওয়া	এই ছোট ব্যাপার নিয়ে চিন্তা করো না।
发达	উন্নত	এই শহরের পরিবহন খুব উন্নত।
发抖	কাঁপা	সে ঠান্ডায় কাঁপছে।
发挥	ব্যবহার করা; প্রকাশ করা	দয়া করে সবাই নিজের কল্পনাশক্তি ব্যবহার করুন।
发明	আবিষ্কার; আবিষ্কার করা	বৈদ্যুতিক বাতি একটি গুরুত্বপূর্ণ আবিষ্কার।
发票	চালান; রসিদ	দয়া করে আমাকে একটি চালান দিন।
发言	বক্তব্য দেওয়া	সে সভায় বক্তব্য দিয়েছে।
罚款	জরিমানা	নিয়ম ভেঙে গাড়ি পার্ক করলে জরিমানা হবে।
法院	আদালত	এই মামলাটি আদালতের হাতে দেওয়া হয়েছে।
翻	উল্টানো; পাতা ওলটানো	দয়া করে বইটি দশ নম্বর পৃষ্ঠায় খুলুন।
繁荣	সমৃদ্ধ; উন্নতিশীল	অর্থনীতি ধীরে ধীরে সমৃদ্ধ হচ্ছে।
反而	বরং; উল্টো	সে রাগ করেনি, বরং হেসেছে।
反复	বারবার	এই বাক্যটি বারবার অনুশীলন করতে হবে।
反应	প্রতিক্রিয়া	তার প্রতিক্রিয়া খুব দ্রুত।
反映	প্রতিফলিত করা	এই প্রতিবেদন বাস্তব পরিস্থিতি প্রতিফলিত করে।
反正	যাই হোক	যাই হোক, কাল আমার সময় আছে।
范围	সীমা; পরিসর	দয়া করে এই সীমার বাইরে যাবেন না।
方	চৌকো; বর্গ	দয়া করে কাগজে একটি বর্গক্ষেত্র আঁকুন।
方案	পরিকল্পনা; প্রস্তাব	এই পরিকল্পনাটি তুলনামূলকভাবে যুক্তিসংগত।
方式	পদ্ধতি; ধরন	এই পড়ার পদ্ধতিটি খুব কার্যকর।
妨碍	বাধা দেওয়া	দয়া করে অন্যের কাজে বাধা দেবেন না।
仿佛	মনে হয় যেন	মনে হয় যেন সে সবকিছু জানে।
非	না; অবশ্যই	এই কাজ তোমাকে ছাড়া করা যাবে না।
肥皂	সাবান	হাত ধোয়ার সময় সাবান ব্যবহার করতে হবে।
废话	ফালতু কথা	ফালতু কথা কম বলো, তাড়াতাড়ি শুরু করো।
分别	বিদায় নেওয়া; আলাদা হওয়া	তারা স্টেশনে বিদায় নিয়েছে।
分布	ছড়িয়ে থাকা; বণ্টিত হওয়া	এই দোকানগুলো শহরের নানা জায়গায় ছড়িয়ে আছে।
分配	বণ্টন করা; দায়িত্ব দেওয়া	শিক্ষক নতুন কাজ বণ্টন করেছেন।
分手	সম্পর্ক ভেঙে যাওয়া	তারা গত বছর সম্পর্ক ভেঙেছে।
分析	বিশ্লেষণ করা	আমাদের কারণগুলো বিশ্লেষণ করতে হবে।
纷纷	একের পর এক	সবাই একের পর এক সম্মতি জানিয়েছে।
奋斗	সংগ্রাম করা; চেষ্টা করা	তরুণদের স্বপ্নের জন্য সংগ্রাম করা উচিত।
疯狂	উন্মত্ত; পাগলাটে	ভক্তরা উন্মত্তভাবে উল্লাস করছিল।
风格	শৈলী; ধরন	এই রেস্তোরাঁর শৈলী খুব বিশেষ।
风景	দৃশ্য; প্রাকৃতিক দৃশ্য	পাহাড়ের দৃশ্য খুব সুন্দর।
风俗	রীতি; প্রথা	প্রতিটি জায়গার নিজস্ব রীতি আছে।
风险	ঝুঁকি	বিনিয়োগে কিছু ঝুঁকি থাকে।
讽刺	ব্যঙ্গ করা	এই প্রবন্ধটি সামাজিক সমস্যাকে ব্যঙ্গ করেছে।
否定	অস্বীকার করা; নাকচ করা	সে এই বক্তব্য নাকচ করেছে।
否认	অস্বীকার করা	সে স্বীকার করেনি যে সে ভুল করেছে।
幅	ছবি বা কাপড়ের গণনাবাচক শব্দ	দেয়ালে একটি ছবি ঝুলছে।
扶	ধরে সাহায্য করা	দয়া করে বৃদ্ধ মানুষটিকে রাস্তা পার হতে সাহায্য করুন।
服装	পোশাক	এই দোকানে শিশুদের পোশাক বিক্রি হয়।
辅导	পড়াশোনায় সহায়তা করা; টিউশন দেওয়া	শিক্ষক ক্লাসের পরে শিক্ষার্থীদের পড়াশোনায় সাহায্য করেন।
复制	নকল করা; কপি করা	দয়া করে এই নথিটি কপি করুন।
妇女	নারী	এই হাসপাতাল নারীদের জন্য সেবা দেয়।
改革	সংস্কার	স্কুলে শিক্ষাব্যবস্থার সংস্কার চলছে।
改进	উন্নত করা	আমাদের সেবার মান উন্নত করতে হবে।
改善	উন্নত করা	ব্যায়াম ঘুম উন্নত করতে পারে।
改正	সংশোধন করা	দয়া করে ভুলগুলো সময়মতো সংশোধন করুন।
概括	সারসংক্ষেপ করা	দয়া করে প্রবন্ধের বিষয়বস্তু সংক্ষেপে বলুন।
概念	ধারণা	এই ধারণাটি বুঝতে খুব সহজ নয়।
盖	ঢাকা; ঢাকনা	দয়া করে কাপটি ভালো করে ঢেকে দিন।
干脆	সরাসরি; বরং	তুমি বরং আজ যেও না।
干燥	শুষ্ক	উত্তরের শীত খুব শুষ্ক।
感激	কৃতজ্ঞ হওয়া	তোমার সাহায্যের জন্য আমি খুব কৃতজ্ঞ।
感受	অনুভূতি; অনুভব করা	আমি তোমার অনুভূতি বুঝতে পারি।
感想	ভাবনা; অনুভব	দয়া করে তোমার ভাবনা বলো।
