source_headword	ET	example_ET
perfectly	täiuslikult	Plaan toimis täiuslikult.
performance	esitus	Tema esitus oli suurepärane.
personally	isiklikult	Isiklikult eelistan teed.
persuade	veenma	Kas sa suudad teda liituma veenda?
photographer	fotograaf	Fotograaf tegi palju pilte.
photography	fotograafia	Fotograafia on tema lemmikhobi.
pin	nööpnõel	Pane kaardile nööpnõel.
pipe	toru	Toru juhib vett.
planning	planeerimine	Planeerimine võtab aega.
pleasant	meeldiv	Meil oli meeldiv õhtu.
pleasure	rõõm	Oli rõõm sinuga kohtuda.
plenty	palju	Meil on palju aega.
plot	süžee	Süžee oli lihtne jälgida.
plus1	pluss	Kaks pluss kolm on viis.
poem	luuletus	Ta kirjutas lühikese luuletuse.
poet	luuletaja	Luuletaja luges valjusti.
poetry	luule	Talle meeldib kaasaegne luule.
poison	mürk	Hoia mürk lastest eemal.
poisonous	mürgine	Mõned seened on mürgised.
policy	poliitika	Ettevõte muutis oma poliitikat.
political	poliitiline	Kõne oli poliitiline.
politician	poliitik	Poliitik vastas küsimustele.
politics	poliitika	Poliitika võib olla keeruline.
port	sadam	Laev sisenes sadamasse.
portrait	portree	Portree ripub saalis.
possibly	võib-olla	Ta jõuab võib-olla hilja.
pot	pott	Taim vajab suuremat potti.
pour	valama	Vala piim aeglaselt.
poverty	vaesus	Paljud pered elavad vaesuses.
powder	pulber	Lisa pulber veele.
powerful	võimas	Mootor on võimas.
practical	praktiline	See on praktiline lahendus.
pray	palvetama	Nad palvetavad igal hommikul.
prayer	palve	Ta ütles vaikse palve.
prediction	ennustus	Tema ennustus oli õige.
prepared	valmis	Olen eksamiks valmis.
presentation	esitlus	Tema esitlus oli selge.
press	vajutama	Vajuta nuppu üks kord.
pressure	surve	Surve võib mõjutada tervist.
pretend	teesklema	Ära teeskle, et magad.
previous	eelmine	Eelmine tund oli lihtsam.
previously	varem	Varem elasime Roomas.
priest	preester	Preester rääkis vaikselt.
primary	peamine	Tervis on meie peamine mure.
prince	prints	Prints külastas kooli.
princess	printsess	Printsess kandis sinist kleiti.
printing	trükkimine	Aruande trükkimine võttis minuteid.
prisoner	vang	Vang põgenes öösel.
private	privaatne	See on privaatne vestlus.
producer	produtsent	Produtsendile meeldis film.
production	tootmine	Tootmine algab järgmisel nädalal.
profession	elukutse	Õpetamine on austatud elukutse.
profit	kasum	Pood teenis kasumit.
promote	edendama	Nad edendavad tervislikku toitumist.
proper	korralik	Kanna matkamiseks korralikke jalanõusid.
properly	korralikult	Sulge uks korralikult.
property	kinnisvara	Nad ostsid jõe lähedal kinnisvara.
protest	protest	Protest lõppes rahumeelselt.
proud	uhke	Ta tundis poja üle uhkust.
prove	tõestama	Kas sa saad oma vastust tõestada?
punish	karistama	Õpetaja ei karistanud teda.
punishment	karistus	Karistus tundus õiglane.
qualification	kvalifikatsioon	Selle töö jaoks on vaja kvalifikatsiooni.
qualified	kvalifitseeritud	Ta on kvalifitseeritud õde.
qualify	kvalifitseeruma	Meie meeskond võib kvalifitseeruda.
queue	järjekord	Ootasime pikas järjekorras.
quit	loobuma	Ta otsustas suitsetamisest loobuda.
quotation	tsitaat	Essee algab tsitaadiga.
quote	tsiteerima	Kas võin sinu sõnu tsiteerida?
race (people)	rass	Vorm küsib rassi kohta.
racing	võidusõit	Hobuste võidusõit on seal populaarne.
range	valik	Pood müüb laia valikut.
rare	haruldane	See lind on haruldane.
rarely	harva	Me sööme harva väljas.
reaction	reaktsioon	Tema reaktsioon üllatas mind.
reality	reaalsus	Reaalsus erines tema unistusest.
receipt	kviitung	Hoia kviitung alles.
recommendation	soovitus	Aitäh soovituse eest.
reference	viide	Lisa lõppu viide.
reflect	peegeldama	Peegel võib valgust peegeldada.
regularly	regulaarselt	Ta teeb regulaarselt trenni.
reject	tagasi lükkama	Nad võivad pakkumise tagasi lükata.
relate	suhestuma	Ma suudan selle looga suhestuda.
related	seotud	Need kaks probleemi on seotud.
relation	seos	Nende vahel on seos.
relative	suhteline	Kiirus on suhteline.
relaxed	lõõgastunud	Ta tundis end pärast õhtusööki lõõgastunult.
relaxing	lõõgastav	Muusika oli lõõgastav.
release	välja andma	Nad annavad filmi varsti välja.
reliable	usaldusväärne	See buss on tavaliselt usaldusväärne.
religion	religioon	Religioon on talle tähtis.
religious	religioosne	Nad külastasid religioosset hoonet.
remain	jääma	Palun jää rahulikuks.
remind	meelde tuletama	Tuleta mulle homme meelde.
remote	kõrvaline	Nad elavad kõrvalises külas.
rent	üür	Üür tuleb täna maksta.
repeated	korduv	Korduvad vead aeglustasid tööd.
represent	sümboliseerima	Täht sümboliseerib lootust.
require	nõudma	See töö nõuab koolitust.
reservation	broneering	Tegin broneeringu.
resource	ressurss	Raamatukogu on kasulik ressurss.
respect	austama	Austa oma klassikaaslasi.
responsibility	vastutus	Lastehoid on suur vastutus.
responsible	vastutav	Ta vastutab piletite eest.
retire	pensionile jääma	Mu isa jääb varsti pensionile.
retired	pensionil	Ta on pensionil õpetaja.
revise	üle vaatama	Vaata oma essee täna õhtul üle.
risk	oht	On vihmaoht.
robot	robot	Robot puhastas põrandat.
roll	veeretama	Veereta pall mulle.
romantic	romantiline	Neil oli romantiline õhtusöök.
rope	köis	Seo köis kõvasti kinni.
rough	konarlik	Tee oli konarlik.
row1	rida	Istu esimesse ritta.
royal	kuninglik	Kuninglik perekond saabus.
rugby	ragbi	Vaatasime televiisorist ragbit.
safety	ohutus	Ohutus on tööl tähtis.
sailor	meremees	Meremees parandas paati.
sample	proov	Õde võttis vereproovi.
sand	liiv	Liiv kattis mu kingad.
scan	skannima	Skanni dokument kõigepealt.
scientific	teaduslik	See on teaduslik meetod.
script	käsikiri	Näitleja luges käsikirja.
sculpture	skulptuur	Skulptuur seisab väljas.
secondary	teisene	See on teisene probleem.
security	turvakontroll	Turvakontroll kontrollis meie kotte.
seed	seeme	Istuta seeme mulda.
sensible	mõistlik	See on mõistlik idee.
seriously	tõsiselt	Võta seda probleemi tõsiselt.
servant	teenija	Teenija avas ukse.
set (put)	asetama	Aseta klaas lauale.
set (group)	komplekt	See komplekt sisaldab kuut tassi.
setting	tegevuspaik	Loo tegevuspaik on linn.
sex	sugu	Vorm küsib vanust ja sugu.
sexual	seksuaalne	Tunnis arutati seksuaaltervist.
sharp	terav	See nuga on terav.
shelf	riiul	Pane raamat riiulile.
shell	kest	Kest oli tühi.
shift	vahetus	Minu vahetus algab kell kaheksa.
shine	särama	Tähed säravad öösel.
shiny	läikiv	Tema kingad on läikivad.
shoot	pildistama	Fotograaf pildistab stseeni.
shy	häbelik	Ta on võõrastega häbelik.
sight	vaatepilt	Mägi oli ilus vaatepilt.
signal	signaal	Signaal oli nõrk.
silent	vaikne	Tuba jäi vaikseks.
silly	rumal	See oli rumal viga.
similarity	sarnasus	On selge sarnasus.
similarly	sarnaselt	Teine plaan toimib sarnaselt.
simply	lihtsalt	Vajuta lihtsalt seda nuppu.
sink	vajuma	Rasked kivid vajuvad kiiresti.
slice	viil	Sõin viilu kooki.
slightly	veidi	Tuba on veidi soojem.
smart	elegantne	Ta kandis elegantset jakki.
smooth	sile	Tee on sile.
software	tarkvara	Tarkvara vajab uuendust.
soil	muld	Muld on kuiv.
solid	tugev	Sein on tugev.
southern	lõunapoolne	Nad elavad lõunapoolsel rannikul.
specifically	konkreetselt	Küsisin konkreetselt teed.
spending	kulutused	Valitsuse kulutused suurenesid.
spicy	vürtsikas	See karri on vürtsikas.
spirit	vaim	Meeskond näitas suurt vaimu.
spoken	suuline	Suuline inglise keel paraneb harjutamisega.
spot	koht	See koht on ideaalne.
spread	määrima	Määri võid leivale.
stadium	staadion	Staadion oli täis.
staff	personal	Personal oli abivalmis.
standard	standard	Standard oli kõrge.
statistic	statistika	See statistika on üllatav.
statue	kuju	Kuju seisab väljakul.
stick (push into/attach)	kleepima	Kleebi silt kasti peale.
stick (piece of wood)	kepp	Ta korjas kepi üles.
