source_headword	ID	example_ID
brave	berani	Pria berani itu menyelamatkan anak itu.
breath	napas	Tarik napas dalam-dalam.
breathe	bernapas	Saya tidak dapat bernapas dalam asap ini.
breathing	pernapasan	Pernapasannya lambat.
bride	pengantin perempuan	Pengantin perempuan itu memakai gaun putih.
bubble	gelembung	Sebuah gelembung mengapung di atas gelas.
bury	mengubur	Mereka mengubur kotak itu di pasir.
calm	tenang	Tetap tenang selama ujian.
campaign	kampanye	Kampanye itu mengumpulkan uang untuk sekolah.
campus	kampus	Siswa tinggal dekat kampus.
candidate	kandidat	Setiap kandidat menjawab tiga pertanyaan.
cap	topi	Dia memakai topi bisbol.
captain	kapten	Kapten berbicara kepada tim.
careless	ceroboh	Kesalahan ceroboh membuat kami kehilangan waktu.
category	kategori	Pilih kategori yang benar.
ceiling	langit-langit	Langit-langit itu dicat putih.
celebration	perayaan	Perayaan itu berlangsung sepanjang malam.
central	pusat	Hotel itu memiliki lokasi pusat.
ceremony	upacara	Upacara itu dimulai pada siang hari.
chain	rantai	Dia memakai rantai perak.
challenge	tantangan	Proyek ini adalah tantangan nyata.
champion	juara	Juara itu berterima kasih kepada pelatihnya.
channel	saluran	Tolong ganti saluran itu.
chapter	bab	Baca bab berikutnya malam ini.
charge	biaya	Tidak ada biaya untuk anak-anak.
cheat	menyontek	Jangan menyontek dalam ujian.
cheerful	ceria	Dia terdengar ceria pagi ini.
chemical	kimia	Bau kimia itu kuat.
chest	dada	Dadanya sakit setelah berlari.
childhood	masa kecil	Saya mengingat rumah masa kecil saya.
claim	mengklaim	Mereka mengklaim produk itu aman.
clause	klausa	Klausa ini mengubah makna.
click	klik	Klik tombol biru itu.
client	klien	Klien itu meminta lebih banyak detail.
cloth	kain	Lap meja dengan kain ini.
clue	petunjuk	Petunjuk itu membantu kami menyelesaikannya.
coal	batu bara	Kereta tua itu menggunakan batu bara.
coin	koin	Dia menemukan koin di lantai.
collection	koleksi	Koleksi perangkonya besar.
coloured	berwarna	Dia memakai syal berwarna.
combine	menggabungkan	Gabungkan tepung dan air.
commercial	komersial	Jeda komersial itu berlangsung lima menit.
commit	berkomitmen	Kami harus berkomitmen pada rencana itu.
communication	komunikasi	Komunikasi yang baik mencegah kesalahan.
comparison	perbandingan	Perbandingan ini berguna.
competitive	kompetitif	Pasar itu sangat kompetitif.
competitor	pesaing	Pesaing utama kami menurunkan harga.
complaint	keluhan	Dia membuat keluhan tentang kebisingan.
complex	rumit	Instruksi itu terlalu rumit.
concentrate	berkonsentrasi	Saya tidak bisa berkonsentrasi dengan musik menyala.
conclude	menyimpulkan	Kami menyimpulkan rapat sekarang.
conclusion	kesimpulan	Kesimpulannya tampak masuk akal.
confident	percaya diri	Dia merasa percaya diri sebelum wawancara.
confirm	mengonfirmasi	Tolong konfirmasi alamat surel kamu.
confuse	membingungkan	Dua nama ini membingungkan saya.
confused	bingung	Saya merasa bingung oleh peta itu.
connection	koneksi	Koneksi internet itu lambat.
consequence	konsekuensi	Kurang tidur memiliki konsekuensi.
consist	terdiri	Hidangan itu terdiri dari tiga sajian.
consume	mengonsumsi	Mobil besar mengonsumsi lebih banyak bahan bakar.
consumer	konsumen	Konsumen menginginkan informasi yang jelas.
contact	menghubungi	Hubungi saya setelah makan siang.
container	wadah	Masukkan sup ke dalam wadah.
content1	konten	Konten kursus itu berguna.
continuous	terus-menerus	Mesin itu membuat suara terus-menerus.
contrast	kontras	Kontras antara mereka jelas.
convenient	nyaman	Stasiun itu sangat nyaman.
convince	meyakinkan	Dia meyakinkannya untuk mencoba lagi.
costume	kostum	Dia memakai kostum bajak laut.
cottage	pondok	Mereka menyewa pondok kecil.
cotton	katun	Kemeja ini terbuat dari katun.
countryside	pedesaan	Kami berjalan melewati pedesaan.
court	pengadilan	Kasus itu dibawa ke pengadilan.
covered	tertutup	Meja itu tertutup kertas.
cruel	kejam	Tertawa seperti itu kejam.
cultural	budaya	Museum itu menawarkan acara budaya.
currency	mata uang	Mata uang setempat adalah euro.
current	saat ini	Situasi saat ini sulit.
currently	saat ini	Dia saat ini belajar di luar negeri.
curtain	tirai	Tutup tirai pada malam hari.
custom	adat	Adat ini sangat tua.
damage	kerusakan	Badai itu menyebabkan kerusakan serius.
decade	dekade	Mereka tinggal di sana selama satu dekade.
decorate	mendekorasi	Kami mendekorasi ruangan itu bersama.
define	mendefinisikan	Bisakah kamu mendefinisikan istilah ini?
definite	pasti	Kami membutuhkan jawaban yang pasti.
definition	definisi	Tulis definisi itu di buku catatan kamu.
deliver	mengantar	Mereka mengantar makanan ke rumah kami.
departure	keberangkatan	Waktu keberangkatan berubah.
despite	meskipun	Meskipun hujan, kami berjalan.
destination	tujuan	Paris adalah tujuan akhir mereka.
determine	menentukan	Tes menentukan tingkat kamu.
determined	bertekad	Dia bertekad untuk berhasil.
development	pembangunan	Pembangunan kota itu cepat.
diagram	diagram	Gambarlah diagram sederhana.
diamond	berlian	Cincin itu memiliki berlian kecil.
difficulty	kesulitan	Dia mengalami kesulitan membuka pintu.
directly	secara langsung	Tolong bicara secara langsung kepada saya.
dirt	kotoran	Sepatunya tertutup kotoran.
disadvantage	kerugian	Perjalanan panjang itu adalah kerugian.
disappointed	kecewa	Dia merasa kecewa dengan hasil itu.
disappointing	mengecewakan	Akhir cerita itu mengecewakan.
discount	diskon	Siswa mendapat diskon di sini.
dislike	tidak suka	Saya tidak suka musik yang sangat keras.
divide	membagi	Bagi kue itu menjadi beberapa potong.
documentary	dokumenter	Kami menonton dokumenter tentang luar angkasa.
donate	menyumbangkan	Banyak orang menyumbangkan pakaian lama.
doubt	keraguan	Saya tidak punya keraguan tentang itu.
dressed	berpakaian	Dia berpakaian hitam.
drum	drum	Drum itu terdengar di seluruh ruangan.
drunk	mabuk	Pengemudi itu mabuk.
due	jatuh tempo	Laporan itu jatuh tempo besok.
dust	debu	Debu menutupi buku-buku lama.
duty	tugas	Menolong adalah tugas saya.
earthquake	gempa bumi	Gempa bumi itu merusak jembatan.
eastern	timur	Pantai timur berangin.
economic	ekonomi	Negara itu menghadapi masalah ekonomi.
economy	ekonomi	Ekonomi tumbuh tahun ini.
edge	tepi	Berdirilah jauh dari tepi.
editor	editor	Editor memeriksa artikel itu.
educate	mendidik	Sekolah mendidik kaum muda.
educated	berpendidikan	Dia sangat berpendidikan.
educational	edukatif	Permainan itu edukatif.
effective	efektif	Obat ini efektif.
effectively	dengan efektif	Dia menjelaskan aturan itu dengan efektif.
effort	upaya	Upaya kamu membuat perbedaan.
election	pemilihan umum	Hasil pemilihan umum itu ketat.
element	unsur	Kepercayaan adalah unsur penting.
embarrassed	malu	Dia merasa malu setelah jatuh.
embarrassing	memalukan	Itu kesalahan yang memalukan.
emergency	darurat	Hubungi nomor ini dalam keadaan darurat.
emotion	emosi	Rasa takut adalah emosi yang kuat.
employment	pekerjaan	Pekerjaan meningkat bulan ini.
encourage	mendorong	Guru mendorong siswa untuk membaca.
enemy	musuh	Kedua negara itu adalah musuh.
engaged	bertunangan	Mereka bertunangan musim semi lalu.
engineering	teknik	Dia belajar teknik di universitas.
entertain	menghibur	Penyanyi itu akan menghibur para tamu.
entertainment	hiburan	Kota itu menawarkan hiburan malam.
entrance	pintu masuk	Temui saya di pintu masuk.
entry	masuk	Masuk gratis untuk anak-anak.
environmental	lingkungan	Kami membahas masalah lingkungan.
episode	episode	Episode terakhir itu menarik.
equal	setara	Mereka menerima upah yang setara.
equally	sama rata	Pekerjaan itu dibagi sama rata.
escape	melarikan diri	Para tahanan mencoba melarikan diri.
essential	penting	Air penting untuk kehidupan.
eventually	akhirnya	Akhirnya, kami menemukan hotel itu.
examine	memeriksa	Dokter memeriksa lengan saya.
exchange	pertukaran	Kami melakukan pertukaran di toko.
excitement	kegembiraan	Permainan itu penuh kegembiraan.
exhibition	pameran	Pameran seni itu dibuka besok.
expand	berkembang	Perusahaan itu berencana berkembang.
expected	diperkirakan	Biaya yang diperkirakan tinggi.
expedition	ekspedisi	Ekspedisi itu menyeberangi gurun.
experienced	berpengalaman	Dia perawat berpengalaman.
explode	meledak	Botol itu dapat meledak karena panas.
explore	menjelajahi	Kami menjelajahi kota tua itu.
explosion	ledakan	Ledakan itu memecahkan beberapa jendela.
export	ekspor	Kopi adalah ekspor penting.
fairly	cukup	Ujian itu cukup mudah.
familiar	akrab	Wajahnya tampak akrab.
fancy	ingin	Apakah kamu ingin kopi?
fascinating	menarik	Cerita itu menarik.
fashionable	modis	Sepatu itu modis.
fasten	mengencangkan	Kencangkan sabuk pengaman kamu.
favour	bantuan	Bisakah kamu membantu saya?
fence	pagar	Pagar itu mengelilingi kebun.
fighting	pertempuran	Pertempuran berhenti saat fajar.
file	file	Simpan file itu sebelum menutup.
financial	keuangan	Dia membutuhkan nasihat keuangan.
fitness	kebugaran	Berlari meningkatkan kebugaran kamu.
fixed	tetap	Harga itu tetap.
flag	bendera	Bendera itu berkibar di atas sekolah.
flood	banjir	Banjir itu merusak banyak rumah.
flour	tepung	Tambahkan tepung ke mangkuk.
flow	mengalir	Sungai itu mengalir melalui kota.
fold	melipat	Lipat kertas itu menjadi dua.
folk	rakyat	Musik rakyat memenuhi aula.
force	kekuatan	Angin itu memiliki kekuatan besar.
forever	selamanya	Saya akan mengingat ini selamanya.
frame	bingkai	Foto itu membutuhkan bingkai.
freeze	membeku	Air akan membeku semalaman.
frequently	sering	Dia sering mengunjungi orang tuanya.
friendship	persahabatan	Persahabatan mereka berlangsung bertahun-tahun.
frighten	menakuti	Suara keras menakuti bayi itu.
frightened	takut	Anak itu tampak takut.
frightening	menakutkan	Badai itu menakutkan.
frozen	beku	Danau itu beku.
fry	menggoreng	Goreng bawang selama lima menit.
fuel	bahan bakar	Mobil itu membutuhkan lebih banyak bahan bakar.
function	fungsi	Tombol ini memiliki satu fungsi.
fur	bulu	Kucing itu memiliki bulu lembut.
garage	garasi	Mobil itu berada di garasi.
gather	berkumpul	Kami berkumpul di sekitar meja.
generally	umumnya	Dia umumnya datang lebih awal.
generation	generasi	Setiap generasi menghadapi masalah baru.
generous	dermawan	Dia dermawan dengan waktunya.
gentle	lembut	Gunakan suara yang lembut.
gentleman	pria	Pria itu membuka pintu.
ghost	hantu	Cerita itu menyebut hantu.
giant	raksasa	Layar raksasa memenuhi panggung.
glad	senang	Saya senang kamu datang.
global	global	Perubahan iklim adalah isu global.
glove	sarung tangan	Saya kehilangan satu sarung tangan.
goods	barang	Barang itu datang terlambat.
grade	nilai	Dia mendapat nilai tinggi.
graduate	lulusan	Dia lulusan baru.
grain	butir	Sebutir beras jatuh.
grateful	berterima kasih	Saya berterima kasih atas dukungan kamu.
growth	pertumbuhan	Tanaman itu menunjukkan pertumbuhan stabil.
guard	penjaga	Penjaga memeriksa tiket kami.
guilty	bersalah	Dia merasa bersalah karena berbohong.
hang	menggantung	Gantung mantel kamu di sini.
happiness	kebahagiaan	Uang tidak dapat membeli kebahagiaan.
hardly	hampir tidak	Saya hampir tidak bisa mendengar kamu.
headline	judul utama	Judul utama itu menarik perhatian saya.
heating	pemanas	Pemanas berhenti bekerja.
heavily	deras	Hujan turun deras sepanjang malam.
helicopter	helikopter	Sebuah helikopter mendarat di dekat sini.
highlight	menyoroti	Tolong soroti ide utama.
highly	sangat	Dia sangat dihormati.
hire	menyewa	Kami perlu menyewa mobil.
historic	bersejarah	Kami mengunjungi bangunan bersejarah.
historical	sejarah	Dia menyukai novel sejarah.
honest	jujur	Tolong berikan jawaban yang jujur.
horrible	mengerikan	Bau itu mengerikan.
horror	horor	Dia menikmati film horor.
host	tuan rumah	Tuan rumah menyambut setiap tamu.
