source_headword	KM	example_KM
speaker	អ្នកនិយាយ	អ្នកនិយាយមានសំឡេងខ្លាំង។
specific	ជាក់លាក់	ខ្ញុំត្រូវការចម្លើយជាក់លាក់។
speech	សុន្ទរកថា	សុន្ទរកថារបស់នាងខ្លី។
speed	ល្បឿន	បន្ថយល្បឿនរបស់អ្នកនៅទីនេះ។
spider	ពីងពាង	មានពីងពាងលើជញ្ជាំង។
spoon	ស្លាបព្រា	ប្រើស្លាបព្រាសម្រាប់ស៊ុប។
square	ការ៉េ	គូរប្រអប់ការ៉េមួយ។
stage	ឆាក	ក្រុមតន្ត្រីនៅលើឆាក។
stair	ជណ្តើរ	ជណ្តើរខូច។
stamp	តែម	ដាក់តែមលើសំបុត្រ។
state	ថ្លែង	ថ្លែងឈ្មោះរបស់អ្នកឱ្យច្បាស់។
steal	លួច	កុំលួចលុយ។
step	ជំហាន	ដើរទៅមុខមួយជំហាន។
stomach	ក្រពះ	ក្រពះរបស់ខ្ញុំឈឺ។
stone	ថ្ម	ថ្មនេះធ្ងន់។
store	ហាង	ហាងបិទមុន។
storm	ព្យុះ	ព្យុះកំពុងមក។
straight	ត្រង់	ទៅផ្ទះត្រង់ៗ។
strange	ចម្លែក	សំឡេងនោះចម្លែក។
strategy	យុទ្ធសាស្ត្រ	យើងត្រូវការយុទ្ធសាស្ត្រ។
stress	ភាពតានតឹង	ការងារអាចបង្កភាពតានតឹង។
structure	រចនាសម្ព័ន្ធ	រចនាសម្ព័ន្ធនេះរឹងមាំ។
stupid	ល្ងង់	នោះជាកំហុសល្ងង់មួយ។
succeed	ជោគជ័យ	អ្នកអាចជោគជ័យនៅទីនេះ។
successful	ជោគជ័យ	នាងបានក្លាយជាជោគជ័យ។
such	ដូច្នេះ	ជំនួយដូច្នេះមានប្រយោជន៍។
suddenly	ភ្លាមៗ	ភ្លាមៗឆ្កែរត់ចេញទៅ។
suggest	ណែនាំ	ខ្ញុំណែនាំឱ្យសម្រាកខ្លីមួយ។
suggestion	សំណើ	សំណើរបស់អ្នកមានប្រយោជន៍។
suit	ឈុតសម្លៀកបំពាក់	ឈុតសម្លៀកបំពាក់នេះថ្លៃ។
support	គាំទ្រ	យើងគាំទ្រក្រុមរបស់យើង។
suppose	គិតថា	ខ្ញុំគិតថាអ្នកត្រឹមត្រូវ។
surprise	ការភ្ញាក់ផ្អើល	ការភ្ញាក់ផ្អើលធ្វើឱ្យនាងសប្បាយ។
surprised	ភ្ញាក់ផ្អើល	នាងភ្ញាក់ផ្អើលថ្ងៃនេះ។
surprising	គួរឱ្យភ្ញាក់ផ្អើល	លទ្ធផលនេះគួរឱ្យភ្ញាក់ផ្អើល។
survey	ការស្ទង់មតិ	សូមបំពេញការស្ទង់មតិ។
sweet	ផ្អែម	តែនេះផ្អែម។
symbol	និមិត្តសញ្ញា	និមិត្តសញ្ញានេះមានន័យថាគ្រោះថ្នាក់។
system	ប្រព័ន្ធ	ប្រព័ន្ធដំណើរការល្អ។
tablet	ថេប្លេត	ថេប្លេតរបស់ខ្ញុំនៅលើតុ។
target	គោលដៅ	បាញ់គោលដៅដោយប្រុងប្រយ័ត្ន។
task	ភារកិច្ច	ភារកិច្ចនេះងាយ។
taste	ភ្លក់	ភ្លក់ស៊ុបមុន។
teaching	ការបង្រៀន	ការបង្រៀនជាការងារលំបាក។
technology	បច្ចេកវិទ្យា	បច្ចេកវិទ្យាផ្លាស់ប្តូរយ៉ាងលឿន។
teenage	វ័យជំទង់	ប្អូនប្រុសវ័យជំទង់របស់ខ្ញុំរៀនខ្លាំង។
temperature	សីតុណ្ហភាព	សីតុណ្ហភាពទាប។
term	វគ្គ	វគ្គនេះនឹងបញ្ចប់ឆាប់ៗ។
themselves	ខ្លួនឯង	ពួកគេចម្អិនអាហារពេលល្ងាចដោយខ្លួនឯង។
thick	ក្រាស់	សៀវភៅនេះក្រាស់។
thief	ចោរ	ចោររត់ចេញទៅ។
thin	ស្តើង	ក្រដាសនេះស្តើង។
thinking	ការគិត	ការគិតត្រូវការពេលវេលា។
thought	គំនិត	ខ្ញុំមានគំនិតចម្លែកមួយ។
throw	បោះ	បោះបាល់ថ្នមៗ។
tidy	រៀបរយ	រក្សាបន្ទប់របស់អ្នកឱ្យរៀបរយ។
tie	ចង	ចងស្បែកជើងរបស់អ្នកឥឡូវនេះ។
tip	ប្រាក់បន្ថែម	ទុកប្រាក់បន្ថែមសម្រាប់សេវាកម្ម។
tool	ឧបករណ៍	ប្រើឧបករណ៍ត្រឹមត្រូវ។
top	ខាងលើ	ធ្នើខាងលើពេញ។
touch	ប៉ះ	កុំប៉ះកញ្ចក់។
tour	ដំណើរកម្សាន្ត	យើងបានទៅដំណើរកម្សាន្តក្នុងទីក្រុង។
tourism	ទេសចរណ៍	ទេសចរណ៍ជួយទីក្រុងនេះ។
towards	ឆ្ពោះទៅ	ដើរឆ្ពោះទៅស្ថានីយ។
towel	កន្សែង	យកកន្សែងស្អាតមួយមក។
tower	ប៉ម	ប៉មនេះចាស់ណាស់។
toy	ប្រដាប់ក្មេងលេង	ឡានប្រដាប់ក្មេងលេងពណ៌ក្រហម។
track	ផ្លូវលំ	ផ្លូវលំទៅខាងជើង។
tradition	ប្រពៃណី	ប្រពៃណីនេះចាស់។
traditional	ប្រពៃណី	នាងពាក់សម្លៀកបំពាក់ប្រពៃណី។
trainer	គ្រូបង្វឹក	គ្រូបង្វឹករបស់ខ្ញុំជួយបាន។
training	ការបណ្តុះបណ្តាល	ការបណ្តុះបណ្តាលចាប់ផ្តើមថ្ងៃស្អែក។
transport	ការដឹកជញ្ជូន	ការដឹកជញ្ជូនសាធារណៈយឺត។
traveller	អ្នកធ្វើដំណើរ	អ្នកធ្វើដំណើរសុំជំនួយ។
trouble	បញ្ហា	យើងមានបញ្ហាម្សិលមិញ។
truck	ឡានដឹកទំនិញ	ឡានដឹកទំនិញនៅខាងក្រៅ។
twin	កូនភ្លោះ	ប្អូនស្រីភ្លោះរបស់ខ្ញុំខ្ពស់ជាង។
typical	ធម្មតា	នេះជាថ្ងៃធម្មតា។
underground	ក្រោមដី	រថភ្លើងរត់ក្រោមដី។
understanding	ការយល់ដឹង	ការយល់ដឹងរបស់អ្នកត្រឹមត្រូវ។
unfortunately	ជាអកុសល	ជាអកុសលហាងបានបិទ។
unhappy	មិនសប្បាយ	គាត់មើលទៅមិនសប្បាយ។
uniform	ឯកសណ្ឋាន	នាងពាក់ឯកសណ្ឋានសាលា។
unit	ឯកតា	ឯកតានេះតូច។
united	រួបរួម	ក្រុមនៅតែរួបរួម។
unusual	មិនធម្មតា	សំឡេងនោះមិនធម្មតា។
used to modal	ធ្លាប់	យើងធ្លាប់រស់នៅទីនេះ។
user	អ្នកប្រើ	អ្នកប្រើម្នាក់ៗមានលេខមួយ។
usual	ធម្មតា	ខ្ញុំបានយកកៅអីធម្មតារបស់ខ្ញុំ។
valley	ជ្រលងភ្នំ	ជ្រលងភ្នំពណ៌បៃតង។
van	រថយន្តវ៉ាន់	រថយន្តវ៉ាន់ពេញ។
variety	ភាពចម្រុះ	យើងត្រូវការភាពចម្រុះបន្ថែម។
vehicle	យានយន្ត	យានយន្តនេះយឺត។
view	ទេសភាព	ទេសភាពស្អាត។
virus	វីរុស	វីរុសមួយធ្វើឱ្យគាត់ឈឺ។
voice	សំឡេង	សំឡេងរបស់នាងស្ងាត់។
war	សង្គ្រាម	សង្គ្រាមបានបញ្ចប់ច្រើនឆ្នាំមុន។
washing	ការបោកគក់	ការបោកគក់នៅខាងក្រៅ។
wave	រលក	រលកបោកកប៉ាល់។
weak	ខ្សោយ	ជើងរបស់ខ្ញុំមានអារម្មណ៍ខ្សោយ។
web	បណ្តាញ	ទំព័របណ្តាញបើកហើយ។
wedding	ពិធីមង្គលការ	ពិធីមង្គលការចាប់ផ្តើមឆាប់ៗ។
weight	ទម្ងន់	ពិនិត្យទម្ងន់មុន។
wet	សើម	ស្បែកជើងរបស់ខ្ញុំសើម។
wheel	កង់	កង់ខូច។
while	មួយភ្លែត	រង់ចាំនៅទីនេះមួយភ្លែត។
whole	ទាំងមូល	ខ្ញុំបានញ៉ាំផ្លែប៉ោមទាំងមូល។
whose	របស់អ្នកណា	ទូរស័ព្ទនេះរបស់អ្នកណា?
wide	ទូលាយ	ផ្លូវនេះទូលាយ។
wild	ព្រៃ	សត្វព្រៃរស់នៅទីនេះ។
wind1	ខ្យល់	ខ្យល់ខ្លាំង។
winner	អ្នកឈ្នះ	អ្នកឈ្នះញញឹម។
wish	បំណង	ធ្វើបំណងមួយ។
wood	ឈើ	កៅអីធ្វើពីឈើ។
wooden	ធ្វើពីឈើ	ប្រអប់ធ្វើពីឈើធ្ងន់។
working	ការងារ	ថ្ងៃការងារបានបញ្ចប់។
worried	បារម្ភ	ខ្ញុំមានអារម្មណ៍បារម្ភថ្ងៃនេះ។
worry	បារម្ភ	កុំបារម្ភឥឡូវនេះ។
worse	អាក្រក់ជាង	ការឈឺនេះអាក្រក់ជាងមុន។
worst	អាក្រក់បំផុត	នោះជាថ្ងៃអាក្រក់បំផុត។
wow	វ៉ោវ	វ៉ោវនោះអស្ចារ្យណាស់!
yet	នៅឡើយ	តើយើងទៅដល់ហើយឬនៅ?
yours	របស់អ្នក	សៀវភៅនេះជារបស់អ្នក។
zero	សូន្យ	រាប់ថយក្រោយដល់សូន្យ។
