source_headword	HR	example_HR
intensive	intenzivan	Završili su intenzivni jezični trening.
intent	namjera	Njegovu je namjeru bilo teško dokazati.
interactive	interaktivan	Muzej ima interaktivne izložbe.
interface	sučelje	Sučeljem je lako navigirati.
interfere	ometati	Ne ometajte istragu.
interference	smetnja	Smetnja signala prekinula je poziv.
interim	privremen	Privremeno izvješće stiže sutra.
interior	unutarnji	Unutarnje zidove treba obojiti.
intermediate	srednji	Pridružila se srednjoj grupi.
intervene	intervenirati	Policija je morala brzo intervenirati.
intervention	intervencija	Rana intervencija pomogla je pacijentu.
intimate	intiman	Održali su intimnu obiteljsku ceremoniju.
intriguing	intrigantan	Podaci su otkrili intrigantan uzorak.
investigator	istražitelj	Istražitelj je ispitao svakog svjedoka.
invisible	nevidljiv	Plin je nevidljiv i opasan.
invoke	pozvati se	Odvjetnik se pokušao pozvati na presedan.
involvement	uključenost	Njegova uključenost ostala je nejasna.
ironic	ironičan	Ironičan komentar sve je nasmijao.
ironically	ironično	Ironično, ruta je trajala duže.
irony	ironija	Ironija je svima bila očita.
irrelevant	nebitan	Taj je detalj ovdje nebitan.
isolation	izolacija	Izolacija može naštetiti mentalnom zdravlju.
judicial	sudski	Sudska revizija počinje u ponedjeljak.
junction	raskrižje	Skrenite lijevo na raskrižju.
jurisdiction	nadležnost	Sud ima ograničenu nadležnost.
just	pravedan	Sudac je donio pravednu odluku.
justification	opravdanje	Trebamo jasno opravdanje za potrošnju.
kidnap	oteti	Kriminalci su pokušali oteti diplomata.
kidney	bubreg	Njezina funkcija bubrega se poboljšala.
kingdom	kraljevstvo	Kraljevstvo se proširilo pod njegovom vladavinom.
lad	mladić	Mladić je nosio torbe.
landlord	stanodavac	Stanodavac je popravio grijanje.
landmark	znamenitost	Toranj je postao gradska znamenitost.
lap	krilo	Dijete joj je sjedilo u krilu.
large-scale	velikih razmjera	Grad je planirao popravke velikih razmjera.
laser	laser	Laser je izmjerio udaljenost.
latter	potonji	Potonja se opcija čini sigurnijom.
lawn	travnjak	Djeca su se igrala na travnjaku.
lawsuit	tužba	Tvrtka se nagodila oko tužbe.
layout	raspored	Raspored stranice izgleda jasnije.
leak	curenje	Curenje cijevi poplavilo je kuhinju.
leap	skok	Prodaja je napravila iznenadan skok.
legacy	nasljeđe	Njezino nasljeđe oblikovalo je sveučilište.
legendary	legendaran	Legendarni pjevač vratio se na pozornicu.
legislation	zakonodavstvo	Novo zakonodavstvo štiti stanare.
legislative	zakonodavni	Zakonodavni odbor sastao se danas.
legislature	zakonodavno tijelo	Zakonodavno tijelo odobrilo je proračun.
legitimate	legitiman	Izrazili su legitimne zabrinutosti.
lengthy	dugotrajan	Dugotrajna rasprava odgodila je glasanje.
lesbian	lezbijski	Lezbijska aktivistica govorila je na forumu.
lesser	manji	Odaberite manji rizik.
lethal	smrtonosan	Kemikalija može biti smrtonosna.
liable	odgovoran	Vozači su odgovorni za štetu.
liberal	liberalan	On podržava liberalne socijalne politike.
liberation	oslobođenje	Oslobođenje je promijenilo budućnost zemlje.
liberty	sloboda	Zakon štiti osobnu slobodu.
license	licencirati	Država bi mogla licencirati nove klinike.
lifelong	doživotan	Tamo je stekla doživotne prijatelje.
likelihood	vjerojatnost	Vjerojatnost kiše se povećala.
limb	ud	Ozlijeđeni ud je sporo zacijeljivao.
linear	linearan	Grafikon pokazuje linearan trend.
line-up	postava	Festivalska postava uključuje lokalne bendove.
linger	zadržati se	Miris se može zadržati satima.
listing	oglas	Oglas za stan je izgledao točno.
literacy	pismenost	Programi opismenjavanja odraslih su se proširili.
liver	jetra	Jetra filtrira štetne tvari.
lobby	predvorje	Predvorje je bilo prepuno nakon podneva.
log	dnevnik	Sustav vodi dnevni dnevnik.
logic	logika	Logika njegovog argumenta je zakazala.
long-standing	dugogodišnji	Riješili su dugogodišnji spor.
long-time	dugogodišnji	Ona je dugogodišnja volonterka.
loom	nadvijati se	Tamni oblaci nadvijaju se nad dolinom.
loop	petlja	Staza čini petlju.
loyalty	odanost	Njegova odanost impresionirala je tim.
machinery	strojevi	Tvornica je instalirala nove strojeve.
magical	čaroban	Vrt je noću izgledao čarobno.
magistrate	sudac	Sudac je saslušao slučaj.
magnetic	magnetski	Magnetsko polje utjecalo je na kompas.
magnitude	razmjer	Razmjer štete bio je jasan.
mainland	kopno	Trajekt povezuje otoke s kopnom.
mainstream	glavna struja	Ideja je ušla u glavnu struju politike.
maintenance	održavanje	Redovito održavanje sprječava kvarove.
mandate	mandat	Predsjednik je ustvrdio da ima snažan mandat.
mandatory	obvezan	Prisustvovanje je obvezno za pripravnike.
manifest	očitovati se	Simptomi se mogu očitovati nakon nekoliko tjedana.
manipulate	manipulirati	Nemojte manipulirati rezultatima ankete.
manipulation	manipulacija	Manipulacija podacima je otkrivena.
manuscript	rukopis	Izdavač je prihvatio njezin rukopis.
march	marširati	Prosvjednici će marširati centrom grada.
marginal	marginalan	Promjena je donijela marginalne koristi.
marine	morski	Morski život treba čistu vodu.
marketplace	tržište	Internetsko tržište se brzo proširilo.
mask	maska	Radnici moraju nositi masku.
massacre	masakr	Masakr je šokirao cijelu regiju.
mathematical	matematički	Matematički model predvidio je potražnju.
mature	zreo	Odrasla stabla pružaju hlad.
maximize	maksimizirati	Ažuriranje će maksimizirati trajanje baterije.
meaningful	smislen	Imali su smislen razgovor.
meantime	međuvrijeme	U međuvremenu, pričekajte vani.
medieval	srednjovjekovni	Dvorac ima srednjovjekovne zidine.
meditation	meditacija	Svakodnevna meditacija smiruje njezin um.
melody	melodija	Melodija mi je ostala u glavi.
memo	dopis	Dopis je pojasnio politiku.
memoir	memoari	Njezini memoari opisuju dječje progonstvo.
memorial	spomenik	Spomenik odaje počast lokalnim vojnicima.
mentor	mentor	Njezin je mentor pregledao prijedlog.
merchant	trgovac	Trgovac je prodavao svilu i začine.
mercy	milost	Sudac je pokazao milost.
mere	puki	Puki pogled otkrio je pogrešku.
merely	samo	Samo je ponovila upute.
merge	spojiti se	Dvije će se tvrtke spojiti.
merger	spajanje	Spajanje je stvorilo veću banku.
merit	vrijednost	Prijedlog ima jasnu vrijednost.
methodology	metodologija	Studija objašnjava svoju metodologiju.
midst	središte	Radili su usred kaosa.
migration	migracija	Sezonska migracija utječe na lokalne poslove.
militant	militantan	Militantna skupina odbila je pregovore.
militia	milicija	Milicija je kontrolirala cestu.
mill	mlin	Stari mlin postao je muzej.
minimal	minimalan	Plan zahtijeva minimalan trud.
minimize	minimizirati	Moramo smanjiti nepotreban rizik na minimum.
mining	rudarstvo	Rudarstvo je uništilo riječnu dolinu.
ministry	ministarstvo	Ministarstvo je objavilo nova pravila.
minute2	sićušan	Na staklu se pojavila sićušna pukotina.
miracle	čudo	Njegov se oporavak činio kao čudo.
misery	bijeda	Izbjeglice su podnijele godine bijede.
misleading	zavaravajući	Obmanjujući grafikon zbunio je čitatelje.
missile	projektil	Ispitivanje projektila podiglo je tenzije.
mob	rulja	Bijesna rulja blokirala je promet.
mobility	mobilnost	Bolji autobusi poboljšavaju urbanu mobilnost.
mobilize	mobilizirati	Vođe brzo mobiliziraju volontere.
moderate	umjeren	Kandidat ima umjerena stajališta.
modification	izmjena	Dizajn treba jednu izmjenu.
momentum	zamah	Kampanja je brzo dobila na zamahu.
monk	redovnik	Redovnik je živio u tišini.
monopoly	monopol	Tvrtka je imala monopol.
morality	moral	Tečaj ispituje javni moral.
motive	motiv	Policija je ispitala njegov motiv.
motorist	vozač	Vozač se zaustavio na crvenom svjetlu.
municipal	komunalni	Komunalne usluge su se poboljšale ove godine.
mutual	uzajaman	Postigli su obostrani dogovor.
namely	naime	Ostaje jedan problem, naime financiranje.
nationwide	širom zemlje	Štrajk je uzrokovao kašnjenja diljem zemlje.
naval	pomorski	Pomorska baza zatvorena je prošle godine.
neglect	zanemariti	Nemojte zanemariti osnovnu sigurnost.
neighbouring	susjedni	Susjedni gradovi dijelili su bolnicu.
nest	gnijezdo	Ptica je savila gnijezdo.
net	neto	Neto dobit je naglo porasla.
newsletter	bilten	Bilten stiže svakog petka.
niche	niša	Tvrtka je pronašla profitabilnu nišu.
noble	plemenit	Njezina plemenita gesta sve je impresionirala.
nod	kimnuti	Molim vas, kimnite ako razumijete.
nominate	nominirati	Predložit će novog predsjednika.
nomination	nominacija	Njezina je nominacija iznenadila odbor.
nominee	kandidat	Kandidat je odgovorio na teška pitanja.
nonetheless	ipak	Ipak, plan je krenuo naprijed.
non-profit	neprofitni	Radi za neprofitnu kliniku.
nonsense	besmislica	Ta glasina je potpuna besmislica.
noon	podne	Sastanak počinje u podne.
notable	značajan	Izvješće je pokazalo značajan napredak.
notably	značajno	Značajno, troškovi su pali u svibnju.
notify	obavijestiti	Molimo obavijestite osoblje prije odlaska.
notorious	zloglasan	Cesta je zloglasna po nesrećama.
novel	nov	Predložili su novo rješenje.
nursery	jaslice	Jaslice brinu o dojenčadi.
objection	prigovor	Odvjetnik je uložio prigovor.
oblige	obvezati	Pravila obvezuju vozače da stanu.
obsess	biti opsjednut	Nemojte se opsjedati malim pogreškama.
obsession	opsesija	Njegova opsesija naštetila je njegovom poslu.
occasional	povremen	Očekuju se povremena kašnjenja.
occurrence	pojava	Takva pojava je rijetka.
odds	izgledi	Izgledi za uspjeh su se poboljšali.
offering	ponuda	Sveučilište je proširilo svoju ponudu.
offspring	potomak	Lisica je štitila svoje potomke.
operational	operativan	Novi sustav je operativan.
opt	odlučiti se	Mnogi se studenti odlučuju za online nastavu.
optical	optički	Optičku leću treba očistiti.
optimism	optimizam	Optimizam se vratio nakon objave.
oral	usmeni	Usmeni ispit počinje sutra.
organizational	organizacijski	Organizacijske promjene počele su odmah.
orientation	orijentacija	Radionica je obuhvatila orijentaciju zaposlenika.
originate	potjecati	Mnoge tradicije potječu iz ruralnih sela.
outbreak	izbijanje	Izbijanje se proširilo gradom.
outing	izlet	Razred je uživao u izletu u muzej.
outlet	prodajno mjesto	Prodajno mjesto prodaje odjeću s popustom.
outlook	izgledi	Gospodarski izgledi ostaju nesigurni.
outrage	ogorčenje	Odluka je izazvala ogorčenje javnosti.
outsider	autsajder	Kao autsajder, primijetila je probleme.
overlook	previdjeti	Nemojte previdjeti manje detalje.
overly	pretjerano	Upute su bile pretjerano složene.
oversee	nadgledati	Ona će nadgledati projekt.
overturn	poništiti	Sud može poništiti presudu.
overwhelm	preplaviti	Previše informacija može preplaviti učenike.
overwhelming	neoboriv	Dokazi su bili neoborivi.
pad	jastučić	Koristite jastučić za zaštitu koljena.
parameter	parametar	Prilagođavajte jedan po jedan parametar.
parental	roditeljski	Roditeljska podrška poboljšala je prisustvo.
parish	župa	Župa je organizirala humanitarnu večeru.
parliamentary	parlamentarni	Parlamentarna rasprava trajala je satima.
partial	djelomičan	Izvješće je dalo djelomičan odgovor.
partially	djelomično	Prozor je bio djelomično otvoren.
passing	smrt	Njezina smrt bila je iznenadna.
passive	pasivan	Pasivni investitori prihvatili su stabilne povrate.
pastor	pastor	Pastor je posjetio obitelj.
patch	zakrpa	Jakni treba mala zakrpa.
patent	patent	Tvrtka je prijavila patent.
pathway	put	Put vodi do certifikacije.
patrol	patrolirati	Policija patrolira područjem noću.
patron	pokrovitelj	Muzej je zahvalio svom pokrovitelju.
peak	vrhunac	Potražnja je dosegla zimski vrhunac.
peasant	seljak	Seljak je posjedovao malo zemlje.
peculiar	neobičan	Soba je imala neobičan miris.
persist	potrajati	Simptomi mogu potrajati danima.
persistent	uporan	Uporan kašalj zahtijeva pažnju.
personnel	osoblje	Dosjei osoblja su povjerljivi.
petition	peticija	Peticija je prikupila tisuće potpisa.
philosopher	filozof	Filozof je preispitivao uobičajene pretpostavke.
philosophical	filozofski	Rasprava je postala filozofska.
physician	liječnik	Liječnik je naručio krvne pretrage.
pioneer	pionir	Postala je pionir u medicini.
pipeline	cjevovod	Cjevovod provodi plin pod zemljom.
pirate	gusar	Gusarski brod pojavio se blizu obale.
pit	jama	Radnici su iskopali duboku jamu.
plea	molba	Njegova molba za pomoć je ignorirana.
plead	izjasniti se	Osumnjičeni će se izjasniti krivim.
pledge	obećati	Obećavaju podršku reformama.
plug	uključiti	Uključite kabel u utičnicu.
plunge	pasti	Cijene bi mogle pasti nakon skandala.
pole	stup	Zastava je visjela na stupu.
poll	anketa	Anketa je pokazala promjenu mišljenja.
pond	ribnjak	Patke su prešle zaleđeni ribnjak.
pop	puknuti	Baloni puknu blizu oštrih predmeta.
portfolio	portfelj	Njezin portfelj uključuje nekoliko startupa.
portray	prikazati	Film će prikazati ruralni život.
postpone	odgoditi	Odlučili su odgoditi saslušanje.
post-war	poslijeratni	Poslijeratno stanovanje bilo je hitno potrebno.
practitioner	praktičar	Praktičar je objasnio liječenje.
preach	propovijedati	Svećenik će propovijedati u nedjelju.
precedent	presedan	Presuda je postavila važan presedan.
precision	preciznost	Stroj reže s preciznošću.
predator	grabežljivac	Grabežljivac je čekao kraj rijeke.
predecessor	prethodnik	Njezin prethodnik ostavio je detaljne bilješke.
predominantly	pretežno	Područje je pretežno stambeno.
pregnancy	trudnoća	Trudnoća zahtijeva redovitu medicinsku skrb.
prejudice	predrasuda	Kampanja je osporavala rasne predrasude.
preliminary	preliminaran	Preliminarni rezultati izgledaju obećavajuće.
premier	premijer	Premijer se danas obratio parlamentu.
premise	premisa	Argument počiva na lažnoj premisi.
premium	premija	Kupci su plaćali premiju za brzinu.
prescribe	propisati	Liječnici pažljivo propisuju antibiotike.
prescription	recept	Recept istječe sljedeći mjesec.
presently	trenutno	Ona je trenutno nedostupna.
preservation	očuvanje	Očuvanje štiti povijesne zgrade.
preside	predsjedavati	Sudac će predsjedavati suđenjem.
presidency	predsjedništvo	Njegovo je predsjedništvo trajalo osam godina.
presidential	predsjednički	Predsjednički izbori privukli su pažnju.
prestigious	prestižan	Osvojila je prestižnu stipendiju.
presumably	vjerojatno	Ured je vjerojatno danas zatvoren.
presume	pretpostaviti	Pretpostavljamo da su dokumenti autentični.
prevail	prevladati	Zdrav razum trebao bi prevladati.
prevalence	raširenost	Raširenost astme se povećala.
prevention	prevencija	Prevencija je jeftinija od popravka.
