simplified	HR	example_HR
见面	sresti se	Sutra ćemo se naći u školi.
讲	objasniti; govoriti	Učitelj objašnjava vrlo jasno.
教	podučavati; učiti nekoga	On me uči pisati kineske znakove.
脚	stopalo; noga	Stopalo me malo boli.
角	kut	Trgovina je na uglu ulice.
接	dočekati; primiti; odgovoriti	Idem na zračnu luku dočekati prijatelja.
街道	ulica	Ova ulica je vrlo čista.
结婚	vjenčati se	Oni će se vjenčati sljedeće godine.
结束	završiti	Utakmica je već završila.
节目	emisija	Ova televizijska emisija je vrlo dobra.
节日	blagdan; festival	Blagdan proljeća važan je kineski blagdan.
解决	riješiti	Ovaj problem je već riješen.
借	posuditi; dati na posudbu	Želim posuditi tvoj rječnik.
经常	često	Često idem u knjižnicu.
经过	proći kroz; proces	Svaki dan prolazim kroz ovaj park.
经理	direktor; voditelj	Direktor je na sastanku.
久	dugo vremena	Ovdje živim već dugo.
旧	star; rabljen	Ovaj komad odjeće je vrlo star.
句子	rečenica	Molim vas, napišite jednu rečenicu.
决定	odlučiti; odluka	Odlučio sam učiti kineski.
可爱	sladak; drag	Ova mačka je vrlo slatka.
渴	žedan	Žedan sam i želim piti vodu.
刻	četvrt sata; trenutak	Osam je i petnaest.
客人	gost; kupac	Danas nam je kući došao gost.
空调	klima-uređaj	Molim vas, uključite klima-uređaj.
口	usta; gutljaj; brojač za ljude ili životinje	On je popio gutljaj vode.
哭	plakati	Zašto dijete plače?
裤子	hlače	Ove hlače su nove.
筷子	štapići za jelo	Mogu jesti štapićima za jelo.
蓝	plav	Nebo je plavo.
老	star; stariji	Moj učitelj nije star.
离开	otići; napustiti	On sutra odlazi iz Pekinga.
礼物	dar; poklon	Ovo je dar za tebe.
历史	povijest	Volim kinesku povijest.
脸	lice	Njezino lice je vrlo crveno.
练习	vježbati; vježba	Molim vas, više vježbajte govoriti kineski.
辆	brojač za vozila	Na vratima je taksi.
聊天	razgovarati; čavrljati	Razgovaram s prijateljem.
了解	razumjeti; saznati	Želim razumjeti kinesku kulturu.
邻居	susjed	Moj susjed je vrlo srdačan.
留学	studirati u inozemstvu	Ona studira u Kini.
楼	zgrada; kat	Ured je na trećem katu.
绿	zelen	U proljeće su stabla postala zelena.
马	konj	Onaj konj trči vrlo brzo.
马上	odmah	Odmah se vraćam.
满意	zadovoljan	Vrlo sam zadovoljan ovom sobom.
帽子	šešir; kapa	Ovaj šešir je vrlo lijep.
米	metar; riža	Ovaj stol je dug dva metra.
面包	kruh	Jedem kruh za doručak.
明白	razumjeti; jasno	Razumijem što želiš reći.
拿	uzeti; držati	Molim vas, uzmite jednu knjigu za mene.
奶奶	baka po ocu; baka	Baka voli slušati glazbu.
南	jug	Škola je na jugu grada.
难	težak; teško	Ovo pitanje nije teško.
难过	tužan; žalostan	Ona je danas malo tužna.
年级	razred; školska godina	Moja mlađa sestra je u trećem razredu.
年轻	mlad	Ovaj direktor je vrlo mlad.
鸟	ptica	Na stablu je ptica.
努力	napor; truditi se	On vrlo marljivo uči.
爬山	penjati se na planinu; planinariti	Ovog vikenda idemo planinariti.
盘子	tanjur; pladanj	Na stolu su tri tanjura.
胖	debeo; punašan	Ovaj pas je malo debeo.
啤酒	pivo	Tata ne pije pivo.
皮鞋	kožne cipele	Ovaj par kožnih cipela je skup.
瓶子	boca	U boci je voda.
其实	zapravo	Zapravo ne volim pivo.
其他	drugi; ostali	Ostali učenici svi su došli.
奇怪	čudan	Ovaj zvuk je vrlo čudan.
骑	jahati; voziti	On svaki dan vozi bicikl na posao.
起飞	poletjeti	Zrakoplov će uskoro poletjeti.
起来	ustati; prema gore	Molim vas, ustanite.
清楚	jasan; jasno	Govorio si vrlo jasno.
请假	tražiti slobodno	On je prehlađen i mora tražiti slobodno.
秋	jesen	Vrijeme u jesen je ugodno.
裙子	suknja	Ova suknja je vrlo lijepa.
然后	zatim; nakon toga	Prvo jedem, zatim pišem zadaću.
热情	srdačan; oduševljen	Kineski prijatelji su vrlo srdačni.
认为	smatrati; misliti	Smatram da je ova metoda dobra.
认真	ozbiljan; pažljiv	Molim vas, pažljivo slušajte učitelja.
容易	lagan; jednostavan	Ovaj kineski znak lako je napisati.
如果	ako	Ako bude padala kiša, uzet ćemo podzemnu željeznicu.
伞	kišobran	Pada kiša; molim te, ponesi kišobran.
上网	ići na mrežu; biti na mreži	Navečer idem na mrežu provjeriti kartu.
声音	glas; zvuk	Tvoj glas zvuči lijepo.
生气	ljut; naljutiti se	Ne ljuti se; nisam to učinio namjerno.
世界	svijet	Svijet je vrlo velik.
试	probati; pokušati	Želim probati ovaj par kožnih cipela.
瘦	mršav	On je mršaviji nego prije.
叔叔	stric; ujak	Stric me vozi u školu.
舒服	udoban; osjećati se dobro	Ova stolica je udobna.
数学	matematika	Sat matematike je zanimljiv.
树	stablo	Ispred kuće je stablo.
刷牙	prati zube	Svako jutro perem zube.
双	par; dvostruk	Kupio sam par kožnih cipela.
水平	razina; mjerilo	Njegova razina kineskog je visoka.
司机	vozač	Vozač nas čeka na vratima.
太阳	sunce	Danas je sunce jako.
特别	osobito; poseban	Ova emisija je osobito zanimljiva.
疼	boljeti; bolan	Boli me noga.
提高	povisiti; poboljšati	Više vježbe može poboljšati razinu kineskog.
体育	sport; tjelesni odgoj	Volim sat sporta.
甜	sladak	Ovo piće je preslatko.
条	brojač za duge predmete; komad	Kupio sam suknju.
同事	kolega	Moj kolega je vrlo zauzet.
同意	slagati se	Slažem se s tvojom odlukom.
头发	kosa	Njezina kosa je duga.
突然	iznenadan; iznenada	On je iznenada otišao.
图书馆	knjižnica	Knjižnica danas nije otvorena.
腿	noga	Nakon penjanja na planinu bole me noge.
完成	dovršiti; završiti	Već sam dovršio zadaću.
碗	zdjela	Na stolu su dvije zdjele.
万	deset tisuća; mnogo	Ovaj grad ima deset tisuća ljudi.
忘记	zaboraviti	Ne zaboravi ponijeti putovnicu.
为	za; zbog	Sretan sam zbog tebe.
为了	radi; kako bi	Radi ispita on ponavlja svaki dan.
位	uljudni brojač za ljude	Ovaj učitelj je vrlo poznat.
文化	kultura	Želim razumjeti kinesku kulturu.
西	zapad	Banka je zapadno od škole.
习惯	navika; naviknuti se	Navikao sam vježbati ujutro.
洗手间	toalet; zahod	Toalet je desno.
洗澡	tuširati se; kupati se	Tuširam se navečer.
夏	ljeto	Ljeto je vrlo vruće.
先	prvo; prije	Ti jedi prvo.
相信	vjerovati	Vjerujem da će on doći.
香蕉	banana	Kupio sam tri banane.
像	sličiti; biti kao	Ovaj oblak sliči ptici.
向	prema; smjer	Molim vas, idite lijevo.
小心	pažljiv; paziti	Pada kiša; pazi na cesti.
校长	ravnatelj škole	Ravnatelj škole je u uredu.
新闻	vijesti	Tata svaki dan gleda vijesti.
新鲜	svjež	Ovo voće je vrlo svježe.
信用卡	kreditna kartica	Mogu li platiti kreditnom karticom?
行李箱	kovčeg	Moj kovčeg je težak.
熊猫	panda	Djeca vole gledati pande.
需要	trebati; biti potrebno	Trebam tvoju pomoć.
选择	odabrati; izbor	Koju košulju biraš?
要求	zahtijevati; tražiti	Učitelj traži da pažljivo pišemo zadaću.
爷爷	djed po ocu; djed	Djed svaki dan ide u park.
一直	stalno; neprekidno	On te već dugo čeka.
一定	sigurno; svakako	Sigurno ću doći.
一共	ukupno	Koliko ukupno koštaju ove knjige?
一会儿	malo vremena; trenutak	Molim vas, pričekajte me malo.
一样	isti; jednak	Ove dvije šalice iste su veličine.
以前	prije; nekada	Prije sam živio u Pekingu.
一般	običan; prosječan	Hrana u ovom restoranu je prosječna.
一边	jedna strana; dok	On sluša glazbu dok piše zadaću.
音乐	glazba	Volim kinesku glazbu.
银行	banka	Banka je pokraj velike trgovine.
饮料	piće	Ovo piće ima dobar okus.
应该	trebati; trebalo bi	Trebao bi se više odmarati.
影响	utjecaj; utjecati	Vrijeme će utjecati na utakmicu.
用	koristiti	Koristim računalo za pisanje zadaće.
游戏	igra	Djeca igraju igre.
有名	poznat	Ovaj restoran je vrlo poznat.
又	opet; ponovno	On je danas opet zakasnio.
遇到	sresti; naići na	Sreo sam učitelja na ulici.
元	juan; novčana jedinica	Ovaj rječnik košta pedeset juana.
愿意	htjeti; biti spreman	Jesi li spreman sudjelovati?
月亮	mjesec	Mjesec je večeras sjajan.
越	što više... to više...	Što više učim kineski, to postaje zanimljiviji.
站	stanica; stajati	On stoji na vratima.
张	brojač za plosnate predmete; list	Molim vas, dajte mi kartu.
长	rasti	Djeca brzo rastu.
着急	brinuti se; biti nervozan	Ne brini, lift će uskoro doći.
照顾	brinuti se za	Ona se brine za bolesnu baku.
照片	fotografija	Ova fotografija dobro izgleda.
照相机	fotoaparat	Koristim fotoaparat za fotografiranje.
283:只	samo	Pijem samo jednu šalicu čaja.
284:只	brojač za životinje	Pod stolom je mačka.
只有…才…	samo ako... onda...	Samo ako pažljivo ponoviš gradivo, dobro ćeš proći na ispitu.
中间	sredina; između	Stol je u sredini sobe.
中文	kineski jezik; kinesko pismo	Učim kineski svaki dan.
终于	napokon	Napokon smo stigli.
种	vrsta; tip	Koju vrstu pića voliš?
重要	važan	Putovnica je vrlo važna.
周末	vikend	Želim ići u park za vikend.
主要	glavni; osnovni	Njegov glavni hobi je glazba.
注意	obratiti pozornost; paziti	Molim vas, obratite pozornost na učitelja.
自己	sam; sebe	Želim sam napisati zadaću.
自行车	bicikl	Moj bicikl je dolje.
总是	uvijek	On uvijek rano stiže u ured.
嘴	usta	Molim vas, otvorite usta.
最后	posljednji; na kraju	Na kraju smo se svi složili.
最近	nedavno; u zadnje vrijeme	U zadnje vrijeme sam zauzet.
作业	zadaća; domaća zadaća	Još nisam završio zadaću.
