simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
房间	pokój	Ten pokój jest duży.	de kamer	Deze kamer is groot.	ett rum	Det här rummet är stort.	et rom	Dette rommet er stort.
非常	bardzo; niezwykle	Dziś jest bardzo zimno.	heel; zeer	Vandaag is het heel koud.	mycket; väldigt	I dag är det mycket kallt.	veldig; svært	I dag er det veldig kaldt.
服务员	kelner; kelnerka; obsługa	Kelner jest w restauracji.	de ober; de bediende	De ober is in het restaurant.	en servitör; en servitris	Servitören är i restaurangen.	en servitør	Servitøren er i restauranten.
高	wysoki	On jest wysoki.	hoog; lang	Hij is lang.	hög; lång	Han är lång.	høy; lang	Han er høy.
告诉	powiedzieć	Proszę mi powiedzieć.	vertellen	Vertel het mij alstublieft.	berätta	Säg det till mig, är du snäll.	å fortelle	Vær så snill å fortelle meg.
哥哥	starszy brat	Mój starszy brat pracuje.	de oudere broer	Mijn oudere broer werkt.	en storebror	Min storebror arbetar.	en storebror	Storebroren min jobber.
给	dawać; dla	Daję ci książkę.	geven; aan	Ik geef je een boek.	ge; till	Jag ger dig en bok.	å gi; til	Jeg gir deg en bok.
公共汽车	autobus	Jadę autobusem do pracy.	de bus	Ik neem de bus naar mijn werk.	en buss	Jag tar bussen till jobbet.	en buss	Jeg tar bussen til jobben.
公斤	kilogram	Kupuję kilogram jabłek.	de kilo; het kilogram	Ik koop een kilo appels.	ett kilo; ett kilogram	Jag köper ett kilo äpplen.	en kilo; et kilogram	Jeg kjøper en kilo epler.
公司	firma	Pracuję w firmie.	het bedrijf	Ik werk bij een bedrijf.	ett företag	Jag arbetar på ett företag.	et firma; et selskap	Jeg jobber i et firma.
贵	drogi	Ten zegarek jest drogi.	duur	Dit horloge is duur.	dyr	Den här klockan är dyr.	dyr	Denne klokken er dyr.
过	partykuła doświadczenia	Byłem w Chinach.	ervaringspartikel	Ik ben in China geweest.	erfarenhetspartikel	Jag har varit i Kina.	erfaringspartikkel	Jeg har vært i Kina.
还	nadal; też	On nadal jest w szkole.	nog; ook	Hij is nog op school.	fortfarande; också	Han är fortfarande i skolan.	fortsatt; også	Han er fortsatt på skolen.
孩子	dziecko	To dziecko jest bardzo szczęśliwe.	het kind	Dit kind is erg blij.	ett barn	Det här barnet är väldigt glatt.	et barn	Dette barnet er veldig glad.
好吃	smaczny	To danie jest bardzo smaczne.	lekker	Dit gerecht is erg lekker.	god; välsmakande	Den här rätten är mycket god.	god; velsmakende	Denne retten er veldig god.
号	numer; data	Dziś jest ósmy.	het nummer; de datum	Vandaag is het de achtste.	ett nummer; datum	I dag är det den åttonde.	et nummer; dato	I dag er det den åttende.
黑	czarny	Ten kot jest czarny.	zwart	Deze kat is zwart.	svart	Den här katten är svart.	svart	Denne katten er svart.
红	czerwony	Lubię czerwone jabłka.	rood	Ik hou van rode appels.	röd	Jag tycker om röda äpplen.	rød	Jeg liker røde epler.
欢迎	witać; witamy	Witamy w Pekinie.	verwelkomen; welkom	Welkom in Beijing.	välkomna; välkommen	Välkommen till Peking.	å ønske velkommen; velkommen	Velkommen til Beijing.
回答	odpowiadać; odpowiedź	Proszę odpowiedzieć na to pytanie.	antwoorden; het antwoord	Beantwoord deze vraag alstublieft.	svara; ett svar	Svara på den här frågan, är du snäll.	å svare; et svar	Vær så snill å svare på dette spørsmålet.
机场	lotnisko	Lotnisko jest daleko stąd.	de luchthaven; het vliegveld	Het vliegveld is ver hiervandaan.	en flygplats	Flygplatsen ligger långt härifrån.	en flyplass	Flyplassen er langt herfra.
鸡蛋	jajko	Jem jajka.	het ei	Ik eet eieren.	ett ägg	Jag äter ägg.	et egg	Jeg spiser egg.
件	klasyfikator do ubrań i rzeczy	Kupiłem jedną sztukę ubrania.	het maatwoord voor kleding en dingen	Ik heb één kledingstuk gekocht.	ett måttsord för kläder och saker	Jag köpte ett klädesplagg.	en klassifikator for klær og ting	Jeg kjøpte ett klesplagg.
教室	sala lekcyjna	Uczniowie są w sali lekcyjnej.	het klaslokaal	De leerlingen zijn in het klaslokaal.	ett klassrum	Eleverna är i klassrummet.	et klasserom	Elevene er i klasserommet.
姐姐	starsza siostra	Moja starsza siostra jest lekarką.	de oudere zus	Mijn oudere zus is dokter.	en storasyster	Min storasyster är läkare.	en storesøster	Storesøsteren min er lege.
介绍	przedstawiać; prezentować	Przedstawiam mojego przyjaciela.	voorstellen; introduceren	Ik stel mijn vriend voor.	presentera; introducera	Jag presenterar min vän.	å presentere; å introdusere	Jeg presenterer vennen min.
进	wchodzić	Proszę wejść.	binnenkomen; binnengaan	Kom binnen alstublieft.	gå in; komma in	Kom in, är du snäll.	å gå inn; å komme inn	Vær så snill å komme inn.
近	blisko	Szkoła jest blisko domu.	dichtbij	De school is dicht bij huis.	nära	Skolan ligger nära hemmet.	nær	Skolen ligger nær hjemmet.
就	właśnie; zaraz; wtedy	Zaraz pójdę.	meteen; dan; precies	Ik ga nu meteen.	genast; då; just	Jag går nu direkt.	med en gang; da; akkurat	Jeg går med en gang.
觉得	sądzić; czuć	Myślę, że to danie jest smaczne.	vinden; voelen	Ik vind dit gerecht lekker.	tycka; känna	Jag tycker att den här rätten är god.	å synes; å føle	Jeg synes denne retten er god.
咖啡	kawa	Piję kawę.	de koffie	Ik drink koffie.	kaffe	Jag dricker kaffe.	kaffe	Jeg drikker kaffe.
开始	zaczynać; początek	Egzamin już się zaczął.	beginnen; het begin	Het examen is al begonnen.	börja; en början	Provet har börjat.	å begynne; en begynnelse	Eksamenen har begynt.
考试	egzamin; test	Jutro jest egzamin.	het examen; de toets	Er is morgen een examen.	ett prov; en tenta	Det är prov i morgon.	en eksamen; en prøve	Det er eksamen i morgen.
可能	może; możliwy	On może być w domu.	misschien; mogelijk	Hij is misschien thuis.	kanske; möjlig	Han kanske är hemma.	kanskje; mulig	Han er kanskje hjemme.
可以	móc; wolno	Czy mogę pójść?	kunnen; mogen	Mag ik gaan?	kunna; få	Får jag gå?	å kunne; å få lov	Kan jeg gå?
课	lekcja; zajęcia	Dziś są zajęcia z chińskiego.	de les	Vandaag is er Chinese les.	en lektion	I dag har vi lektion i kinesiska.	en time; en leksjon	I dag har vi kinesisktime.
快	szybki; wkrótce	On chodzi bardzo szybko.	snel; binnenkort	Hij loopt heel snel.	snabb; snart	Han går mycket snabbt.	rask; snart	Han går veldig fort.
快乐	szczęśliwy	Wszystkiego najlepszego z okazji urodzin.	blij; gelukkig	Gefeliciteerd met je verjaardag.	glad; lycklig	Grattis på födelsedagen.	glad; lykkelig	Gratulerer med dagen.
累	zmęczony	Jestem bardzo zmęczony.	moe	Ik ben erg moe.	trött	Jag är mycket trött.	trøtt	Jeg er veldig trøtt.
离	z dala od; od	Szkoła nie jest daleko od domu.	van; verwijderd van	De school is niet ver van huis.	från; ifrån	Skolan ligger inte långt hemifrån.	fra; borte fra	Skolen er ikke langt hjemmefra.
两	dwa; dwoje	Mam dwoje dzieci.	twee	Ik heb twee kinderen.	två	Jag har två barn.	to	Jeg har to barn.
路	droga; ulica	Ta droga jest długa.	de weg	Deze weg is lang.	en väg	Den här vägen är lång.	en vei	Denne veien er lang.
旅游	podróżować; podróż	Chcę pojechać do Chin.	reizen; de reis	Ik wil naar China reizen.	resa; en resa	Jag vill resa till Kina.	å reise; en reise	Jeg vil reise til Kina.
卖	sprzedawać	Ten sklep sprzedaje jabłka.	verkopen	Deze winkel verkoopt appels.	sälja	Den här affären säljer äpplen.	å selge	Denne butikken selger epler.
慢	wolny; powolny	Proszę trochę wolniej.	langzaam	Doe alstublieft wat langzamer.	långsam	Ta det lite långsammare, är du snäll.	langsom; sakte	Litt saktere, vær så snill.
忙	zajęty	Dziś jestem zajęty.	druk	Ik heb het vandaag druk.	upptagen	I dag är jag upptagen.	travel	I dag er jeg travel.
每	każdy; co	Uczę się chińskiego codziennie.	elke; ieder	Ik leer elke dag Chinees.	varje	Jag lär mig kinesiska varje dag.	hver	Jeg lærer kinesisk hver dag.
妹妹	młodsza siostra	Moja młodsza siostra ogląda telewizję.	het jongere zusje; de jongere zus	Mijn jongere zus kijkt tv.	en lillasyster	Min lillasyster tittar på tv.	en lillesøster	Lillesøsteren min ser på TV.
门	drzwi; brama	Drzwi się otworzyły.	de deur; de poort	De deur is opengegaan.	en dörr; en port	Dörren har öppnats.	en dør; en port	Døren har åpnet seg.
男人	mężczyzna	Ten mężczyzna jest nauczycielem.	de man	Deze man is leraar.	en man	Den här mannen är lärare.	en mann	Denne mannen er lærer.
您	pan; pani; państwo	Dzień dobry.	u; beleefde aanspreekvorm	Hallo.	ni; hövligt tilltal	Hej.	De; høflig tiltale	Hei.
牛奶	mleko	Piję mleko.	de melk	Ik drink melk.	mjölk	Jag dricker mjölk.	melk	Jeg drikker melk.
女人	kobieta	Tamta kobieta jest lekarką.	de vrouw	Die vrouw is dokter.	en kvinna	Den där kvinnan är läkare.	en kvinne	Den kvinnen er lege.
旁边	obok	Obok szkoły jest sklep.	naast; ernaast	Er is een winkel naast de school.	bredvid; vid sidan av	Det finns en affär bredvid skolan.	ved siden av	Det er en butikk ved siden av skolen.
跑步	biegać; jogging	Biegam rano.	hardlopen; joggen	Ik hardloop 's ochtends.	springa; jogga	Jag springer på morgonen.	å løpe; å jogge	Jeg løper om morgenen.
便宜	tani	To jabłko jest tanie.	goedkoop	Deze appel is goedkoop.	billig	Det här äpplet är billigt.	billig	Dette eplet er billig.
票	bilet	Kupuję bilet.	het kaartje; het ticket	Ik koop een kaartje.	en biljett	Jag köper en biljett.	en billett	Jeg kjøper en billett.
妻子	żona	Moja żona jest nauczycielką.	de vrouw; de echtgenote	Mijn vrouw is lerares.	en fru; en hustru	Min fru är lärare.	en kone; en hustru	Kona mi er lærer.
起床	wstawać	Wstaję o szóstej rano.	opstaan	Ik sta om zes uur 's ochtends op.	stiga upp; gå upp	Jag går upp klockan sex på morgonen.	å stå opp	Jeg står opp klokken seks om morgenen.
千	tysiąc	Ten rower kosztuje tysiąc juanów.	duizend	Deze fiets kost duizend yuan.	tusen	Den här cykeln kostar tusen yuan.	tusen	Denne sykkelen koster tusen yuan.
晴	słoneczny	Dziś jest słonecznie.	zonnig; helder	Vandaag is het zonnig.	solig; klar	I dag är det soligt.	solrik; klar	I dag er det sol.
去年	zeszły rok	W zeszłym roku byłem w Pekinie.	vorig jaar	Ik was vorig jaar in Beijing.	förra året	Jag var i Peking förra året.	i fjor	Jeg var i Beijing i fjor.
让	pozwalać; kazać	Mama pozwala mi się uczyć.	laten; toestaan	Mama laat mij studeren.	låta; tillåta	Mamma låter mig studera.	å la; å tillate	Mamma lar meg studere.
上班	iść do pracy	Idę do pracy o ósmej.	naar het werk gaan	Ik ga om acht uur naar mijn werk.	gå till jobbet	Jag går till jobbet klockan åtta.	å gå på jobb	Jeg går på jobb klokken åtte.
身体	ciało; zdrowie	On jest zdrowy.	het lichaam; de gezondheid	Zijn gezondheid is goed.	en kropp; hälsa	Hans hälsa är god.	en kropp; helse	Helsen hans er god.
生病	zachorować	On zachorował.	ziek worden	Hij is ziek geworden.	bli sjuk	Han blev sjuk.	å bli syk	Han ble syk.
生日	urodziny	Dziś są moje urodziny.	de verjaardag	Vandaag is mijn verjaardag.	en födelsedag	I dag är det min födelsedag.	en bursdag	I dag er det bursdagen min.
时间	czas	Nie mam czasu.	de tijd	Ik heb geen tijd.	tid	Jag har inte tid.	tid	Jeg har ikke tid.
事情	sprawa; rzecz	Mam coś do zrobienia.	de zaak; het ding	Ik heb iets te doen.	en sak; ett ärende	Jag har något att göra.	en sak; noe	Jeg har noe å gjøre.
手表	zegarek	Ten zegarek jest nowy.	het horloge	Dit horloge is nieuw.	en klocka	Den här klockan är ny.	en klokke	Denne klokken er ny.
手机	telefon komórkowy	Mój telefon leży na stole.	de mobiele telefoon	Mijn telefoon ligt op tafel.	en mobiltelefon	Min mobil ligger på bordet.	en mobiltelefon	Mobiltelefonen min ligger på bordet.
送	wysyłać; dawać w prezencie	Daję ci książkę.	sturen; cadeau geven	Ik geef je een boek.	skicka; ge bort	Jag ger dig en bok.	å sende; å gi bort	Jeg gir deg en bok.
所以	więc; dlatego	Dziś pada deszcz, więc nie idę.	dus; daarom	Het regent vandaag, dus ik ga niet.	så; därför	Det regnar i dag, så jag går inte.	så; derfor	Det regner i dag, så jeg går ikke.
它	ono; to	To jest mój kot.	het; dat	Dat is mijn kat.	den; det	Det är min katt.	den; det	Det er katten min.
踢足球	grać w piłkę nożną	Oni grają w piłkę nożną.	voetballen	Zij voetballen.	spela fotboll	De spelar fotboll.	å spille fotball	De spiller fotball.
题	pytanie; zadanie	To pytanie nie jest poprawne.	de vraag; de opgave	Deze vraag is niet goed.	en fråga; en uppgift	Den här frågan är inte rätt.	et spørsmål; en oppgave	Dette spørsmålet er ikke riktig.
跳舞	tańczyć	Ona lubi tańczyć.	dansen	Zij danst graag.	dansa	Hon tycker om att dansa.	å danse	Hun liker å danse.
外	na zewnątrz; zewnętrzny	On jest na zewnątrz przed drzwiami.	buiten; de buitenkant	Hij staat buiten voor de deur.	ute; utsida	Han är ute framför dörren.	ute; utsiden	Han er ute foran døren.
完	skończyć	Skończyłem.	afmaken; klaar zijn	Ik ben klaar.	avsluta; bli klar	Jag är klar.	å bli ferdig; å fullføre	Jeg er ferdig.
玩	bawić się; grać	Dziecko się bawi.	spelen; plezier hebben	Het kind speelt.	leka; spela	Barnet leker.	å leke; å spille	Barnet leker.
晚上	wieczór; noc	Wieczorem oglądam film.	de avond; de nacht	's Avonds kijk ik een film.	en kväll; en natt	På kvällen tittar jag på film.	en kveld; en natt	Om kvelden ser jeg en film.
为什么	dlaczego	Dlaczego nie idziesz?	waarom	Waarom ga je niet?	varför	Varför går du inte?	hvorfor	Hvorfor går du ikke?
问	pytać	Pytam nauczyciela.	vragen	Ik vraag het aan de leraar.	fråga	Jag frågar läraren.	å spørre	Jeg spør læreren.
问题	pytanie; problem	Mam pytanie.	de vraag; het probleem	Ik heb een vraag.	en fråga; ett problem	Jag har en fråga.	et spørsmål; et problem	Jeg har et spørsmål.
西瓜	arbuz	Jem arbuza.	de watermeloen	Ik eet watermeloen.	en vattenmelon	Jag äter vattenmelon.	en vannmelon	Jeg spiser vannmelon.
希望	mieć nadzieję; nadzieja	Mam nadzieję, że przyjdziesz.	hopen; de hoop	Ik hoop dat je komt.	hoppas; ett hopp	Jag hoppas att du kommer.	å håpe; et håp	Jeg håper at du kommer.
洗	myć; prać	Piorę ubrania.	wassen	Ik was kleren.	tvätta	Jag tvättar kläder.	å vaske	Jeg vasker klær.
向	w kierunku; ku	On idzie w moją stronę.	naar; in de richting van	Hij loopt naar mij toe.	mot; åt	Han går mot mig.	mot; i retning av	Han går mot meg.
小时	godzina	Uczę się przez dwie godziny.	het uur	Ik studeer twee uur.	en timme	Jag studerar i två timmar.	en time	Jeg studerer i to timer.
笑	uśmiechać się; śmiać się	Ona się uśmiechnęła.	glimlachen; lachen	Zij glimlachte.	le; skratta	Hon log.	å smile; å le	Hun smilte.
新	nowy	To jest nowa książka.	nieuw	Dit is een nieuw boek.	ny	Det här är en ny bok.	ny	Dette er en ny bok.
姓	nazwisko; mieć nazwisko	Jak masz na nazwisko?	de achternaam; heten	Wat is uw achternaam?	ett efternamn; heta	Vad heter du i efternamn?	et etternavn; å hete	Hva er etternavnet ditt?
休息	odpoczywać	Chcę odpocząć.	rusten	Ik wil rusten.	vila	Jag vill vila.	å hvile	Jeg vil hvile.
雪	śnieg	Dziś pada śnieg.	de sneeuw	Het sneeuwt vandaag.	snö	Det snöar i dag.	snø	Det snør i dag.
颜色	kolor	Lubię ten kolor.	de kleur	Ik hou van deze kleur.	en färg	Jag tycker om den här färgen.	en farge	Jeg liker denne fargen.
眼睛	oko; oczy	Ona ma duże oczy.	het oog	Ze heeft grote ogen.	ett öga	Hon har stora ögon.	et øye	Hun har store øyne.
羊肉	baranina; jagnięcina	Nie jem baraniny.	het lamsvlees; het schapenvlees	Ik eet geen lamsvlees.	lammkött; fårkött	Jag äter inte lammkött.	lammekjøtt; fårekjøtt	Jeg spiser ikke lammekjøtt.
药	lekarstwo	On bierze lekarstwo.	het medicijn	Hij neemt medicijnen.	medicin	Han tar medicin.	medisin	Han tar medisin.
要	chcieć; musieć	Chcę napić się wody.	willen; moeten	Ik wil water drinken.	vilja; behöva	Jag vill dricka vatten.	å ville; å måtte	Jeg vil drikke vann.
也	też; także	Ja też pójdę.	ook	Ik ga ook.	också	Jag går också.	også	Jeg går også.
已经	już	Już dotarłem.	al	Ik ben al aangekomen.	redan	Jag har redan kommit fram.	allerede	Jeg er allerede fremme.
一起	razem	Idziemy razem.	samen	We gaan samen.	tillsammans	Vi går tillsammans.	sammen	Vi går sammen.
意思	znaczenie; sens	Co znaczy ten znak?	de betekenis; de bedoeling	Wat betekent dit teken?	en betydelse; en mening	Vad betyder det här tecknet?	en betydning; en mening	Hva betyr dette tegnet?
阴	pochmurny	Dziś jest pochmurno.	bewolkt; somber	Vandaag is het bewolkt.	mulen; molnig	I dag är det mulet.	overskyet; skyet	I dag er det overskyet.
因为	ponieważ; bo	Ponieważ pada deszcz, nie idę.	omdat; want	Omdat het regent, ga ik niet.	eftersom; för att	Eftersom det regnar går jag inte.	fordi; siden	Fordi det regner, går jeg ikke.
游泳	pływać	Umiem pływać.	zwemmen	Ik kan zwemmen.	simma	Jag kan simma.	å svømme	Jeg kan svømme.
右边	prawa strona	Sklep jest po prawej stronie.	de rechterkant; rechts	De winkel is aan de rechterkant.	höger sida; till höger	Affären ligger på höger sida.	høyre side; til høyre	Butikken ligger på høyre side.
鱼	ryba	Jem rybę.	de vis	Ik eet vis.	en fisk	Jag äter fisk.	en fisk	Jeg spiser fisk.
元	juan; jednostka waluty	Ten kubek kosztuje dziesięć juanów.	de yuan; munteenheid	Deze beker kost tien yuan.	en yuan; en valutaenhet	Den här koppen kostar tio yuan.	en yuan; en valutaenhet	Denne koppen koster ti yuan.
远	daleko	Lotnisko jest daleko.	ver	Het vliegveld is ver.	långt bort	Flygplatsen ligger långt bort.	langt	Flyplassen er langt unna.
运动	sport; ćwiczenia	Lubię ćwiczyć.	de sport; de lichaamsbeweging	Ik hou van sporten.	sport; motion	Jag tycker om att motionera.	sport; mosjon	Jeg liker å mosjonere.
再	znowu; ponownie	Jutro przyjdę znowu.	weer; opnieuw	Ik kom morgen weer.	igen; på nytt	Jag kommer igen i morgon.	igjen; på nytt	Jeg kommer igjen i morgen.
早上	rano; poranek	Rano piję herbatę.	de ochtend	's Ochtends drink ik thee.	en morgon; på morgonen	På morgonen dricker jag te.	en morgen; om morgenen	Om morgenen drikker jeg te.
张	klasyfikator do płaskich przedmiotów	Kupiłem jeden bilet.	het maatwoord voor platte dingen	Ik heb één kaartje gekocht.	ett måttsord för platta föremål	Jag köpte en biljett.	en klassifikator for flate ting	Jeg kjøpte en billett.
丈夫	mąż	Jej mąż jest lekarzem.	de man; de echtgenoot	Haar man is dokter.	en man; en make	Hennes man är läkare.	en mann; en ektemann	Mannen hennes er lege.
找	szukać; znaleźć	Szukam przyjaciela.	zoeken; vinden	Ik zoek een vriend.	leta efter; hitta	Jag letar efter en vän.	å lete etter; å finne	Jeg leter etter en venn.
着	partykuła stanu ciągłego	Drzwi są otwarte.	partikel voor voortdurende toestand	De deur staat open.	partikel för pågående tillstånd	Dörren är öppen.	partikkel for vedvarende tilstand	Døren står åpen.
真	naprawdę; prawdziwy	Ta książka jest naprawdę dobra.	echt; werkelijk	Dit boek is echt goed.	verkligen; sann	Den här boken är verkligen bra.	virkelig; sann	Denne boken er virkelig god.
正在	właśnie; być w trakcie	On ogląda telewizję.	bezig zijn met	Hij is tv aan het kijken.	hålla på att	Han tittar på tv just nu.	holde på å	Han ser på TV akkurat nå.
知道	wiedzieć	Nie wiem.	weten	Ik weet het niet.	veta	Jag vet inte.	å vite	Jeg vet ikke.
准备	przygotowywać; przygotowanie	Przygotowuję się do egzaminu.	zich voorbereiden; de voorbereiding	Ik bereid me voor op het examen.	förbereda; en förberedelse	Jag förbereder mig för provet.	å forberede; en forberedelse	Jeg forbereder meg til eksamen.
自行车	rower	Mój rower jest nowy.	de fiets	Mijn fiets is nieuw.	en cykel	Min cykel är ny.	en sykkel	Sykkelen min er ny.
走	iść; chodzić	Idę pieszo do domu.	lopen; gaan	Ik loop naar huis.	gå	Jag går hem.	å gå	Jeg går hjem.
最	najbardziej; naj-	On jest najwyższy.	meest; -st	Hij is de langste.	mest; -ast	Han är längst.	mest; -est	Han er høyest.
左边	lewa strona	Szkoła jest po lewej stronie.	de linkerkant; links	De school is aan de linkerkant.	vänster sida; till vänster	Skolan ligger på vänster sida.	venstre side; til venstre	Skolen ligger på venstre side.
