source_headword	TH	example_TH
announcement	ประกาศ	ประกาศนั้นทำให้ทุกคนประหลาดใจ.
annoy	รบกวน	เพลงดังอาจรบกวนเพื่อนบ้าน.
annoyed	รำคาญ	เขาดูรำคาญหลังความล่าช้า.
annoying	น่ารำคาญ	เสียงนั้นน่ารำคาญจริงๆ.
apart	ห่างกัน	บ้านอยู่ห่างกันสองเมตร.
apologize	ขอโทษ	ฉันขอโทษที่มาสาย.
application	ใบสมัคร	กรุณากรอกใบสมัครออนไลน์.
appointment	นัดหมาย	ฉันมีนัดหมอฟันพรุ่งนี้.
appreciate	ซาบซึ้ง	ฉันซาบซึ้งในความช่วยเหลือของคุณ.
approximately	ประมาณ	การเดินใช้เวลาประมาณยี่สิบนาที.
arrest	จับกุม	ตำรวจจับกุมคนขับรถ.
arrival	การมาถึง	การมาถึงของเราช้ากว่าที่คาด.
assignment	งานที่ได้รับมอบหมาย	งานที่ได้รับมอบหมายต้องส่งวันศุกร์.
assist	ช่วยเหลือ	พยาบาลช่วยเหลือแพทย์.
atmosphere	บรรยากาศ	คาเฟ่มีบรรยากาศผ่อนคลาย.
attach	แนบ	แนบไฟล์ไปกับอีเมลของคุณ.
attitude	ทัศนคติ	ทัศนคติของเธอเปลี่ยนหลังการประชุม.
attract	ดึงดูด	ดอกไม้สีสดดึงดูดผึ้ง.
attraction	สถานที่ท่องเที่ยว	ปราสาทเป็นสถานที่ท่องเที่ยวยอดนิยม.
authority	หน่วยงาน	หน่วยงานท้องถิ่นซ่อมถนน.
aware	ตระหนัก	เธอตระหนักถึงความเสี่ยง.
backwards	ถอยหลัง	เขาเดินถอยหลังอย่างระมัดระวัง.
bake	อบ	ฉันอบขนมปังทุกวันอาทิตย์.
balance	การทรงตัว	รองเท้าดีช่วยการทรงตัวของคุณ.
ban	ห้าม	เมืองจะห้ามรถยนต์.
bank (river)	ริมฝั่งแม่น้ำ	เรานั่งบนริมฝั่งแม่น้ำ.
base	ฐาน	ทีมกลับไปที่ฐาน.
basic	พื้นฐาน	ทุกคนต้องการทักษะคอมพิวเตอร์พื้นฐาน.
basis	พื้นฐาน	ความไว้วางใจเป็นพื้นฐานของมิตรภาพ.
battery	แบตเตอรี่	แบตเตอรี่โทรศัพท์ของฉันเหลือน้อย.
battle	การต่อสู้	การต่อสู้ยืดเยื้อตลอดคืน.
beauty	ความงาม	เราชื่นชมความงามของภูเขา.
bee	ผึ้ง	ผึ้งตัวหนึ่งเกาะบนดอกไม้.
belief	ความเชื่อ	ความเชื่อของเขาให้ความกล้าแก่เขา.
bell	ระฆัง	ระฆังโรงเรียนดังลั่น.
bend	งอ	งอเข่าเมื่อคุณยกของ.
bite	กัด	สุนัขอาจกัดคนแปลกหน้า.
block	กีดขวาง	ต้นไม้ล้มกีดขวางถนน.
bomb	ระเบิด	ระเบิดทำให้อาคารหลายหลังเสียหาย.
border	ชายแดน	พวกเขาข้ามชายแดนตอนกลางคืน.
bother	รบกวน	กรุณาอย่ารบกวนน้องสาวของคุณ.
branch	กิ่งไม้	กิ่งไม้หักในพายุ.
brand	ยี่ห้อ	ยี่ห้อนี้เป็นที่นิยมกับนักเรียน.
brave	กล้าหาญ	ชายกล้าหาญช่วยเด็กไว้.
breath	ลมหายใจ	หายใจเข้าลึกๆ.
breathe	หายใจ	วันนี้ฉันหายใจไม่ได้.
breathing	การหายใจ	การหายใจของเธอช้า.
bride	เจ้าสาว	เจ้าสาวสวมชุดสีขาว.
bubble	ฟอง	ฟองลอยอยู่เหนือแก้ว.
bury	ฝัง	พวกเขาฝังกล่องไว้ในทราย.
calm	สงบ	ใจเย็นระหว่างการสอบ.
campaign	แคมเปญ	แคมเปญระดมเงินให้โรงเรียน.
campus	วิทยาเขต	นักเรียนอยู่ใกล้วิทยาเขต.
candidate	ผู้สมัคร	ผู้สมัครแต่ละคนตอบสามคำถาม.
cap	หมวกแก๊ป	เขาสวมหมวกเบสบอล.
captain	กัปตัน	กัปตันพูดกับทีม.
careless	ประมาท	ความผิดพลาดที่ประมาททำให้เราเสียเวลา.
category	หมวดหมู่	เลือกหมวดหมู่ที่ถูกต้อง.
ceiling	เพดาน	เพดานถูกทาสีขาว.
celebration	การเฉลิมฉลอง	การเฉลิมฉลองดำเนินไปตลอดเย็น.
central	ใจกลาง	โรงแรมมีทำเลใจกลางเมือง.
ceremony	พิธี	พิธีเริ่มตอนเที่ยง.
chain	โซ่; สร้อย	เธอสวมสร้อยเงิน.
challenge	ความท้าทาย	โครงการนี้เป็นความท้าทายจริงๆ.
champion	แชมป์	แชมป์ขอบคุณโค้ชของเธอ.
channel	ช่อง	กรุณาเปลี่ยนช่อง.
chapter	บท	อ่านบทต่อไปคืนนี้.
charge	ค่าธรรมเนียม	เด็กไม่มีค่าธรรมเนียม.
cheat	โกง	อย่าโกงในการทดสอบ.
cheerful	ร่าเริง	เช้านี้เธอฟังดูร่าเริง.
chemical	สารเคมี	กลิ่นสารเคมีแรงมาก.
chest	หน้าอก	หน้าอกของเขาเจ็บหลังวิ่ง.
childhood	วัยเด็ก	ฉันจำบ้านในวัยเด็กของฉันได้.
claim	อ้าง	พวกเขาอ้างว่าสินค้าปลอดภัย.
clause	อนุประโยค; ข้อกำหนด	ข้อกำหนดนี้เปลี่ยนความหมาย.
click	คลิก	คลิกปุ่มสีน้ำเงิน.
client	ลูกค้า	ลูกค้าขอรายละเอียดเพิ่มเติม.
cloth	ผ้า	เช็ดโต๊ะด้วยผ้าผืนนี้.
clue	เบาะแส	เบาะแสช่วยให้เราแก้ปัญหาได้.
coal	ถ่านหิน	รถไฟเก่าใช้ถ่านหิน.
coin	เหรียญ	เขาพบเหรียญบนพื้น.
collection	คอลเลกชัน	คอลเลกชันแสตมป์ของเธอใหญ่มาก.
coloured	มีสี	เธอสวมผ้าพันคอมีสี.
combine	ผสม	ผสมแป้งกับน้ำ.
commercial	โฆษณา	ช่วงโฆษณายาวห้านาที.
commit	มุ่งมั่น	เราต้องมุ่งมั่นกับแผน.
communication	การสื่อสาร	การสื่อสารที่ดีป้องกันความผิดพลาด.
comparison	การเปรียบเทียบ	การเปรียบเทียบนี้มีประโยชน์.
competitive	แข่งขันสูง	ตลาดนี้แข่งขันสูงมาก.
competitor	คู่แข่ง	คู่แข่งหลักของเราลดราคา.
complaint	คำร้องเรียน	เธอยื่นคำร้องเรียนเรื่องเสียงดัง.
complex	ซับซ้อน	คำแนะนำซับซ้อนเกินไป.
concentrate	มีสมาธิ	ฉันมีสมาธิไม่ได้เมื่อมีเพลง.
conclude	สรุป	เราสรุปการประชุมตอนนี้.
conclusion	ข้อสรุป	ข้อสรุปของเขาดูสมเหตุสมผล.
confident	มั่นใจ	เธอรู้สึกมั่นใจก่อนสัมภาษณ์.
confirm	ยืนยัน	กรุณายืนยันที่อยู่อีเมลของคุณ.
confuse	ทำให้สับสน	สองชื่อนี้ทำให้ฉันสับสน.
confused	สับสน	ฉันรู้สึกสับสนกับแผนที่.
connection	การเชื่อมต่อ	การเชื่อมต่ออินเทอร์เน็ตช้า.
consequence	ผลที่ตามมา	การนอนน้อยมีผลที่ตามมา.
consist	ประกอบด้วย	มื้ออาหารประกอบด้วยสามคอร์ส.
consume	บริโภค	รถใหญ่บริโภคน้ำมันมากกว่า.
consumer	ผู้บริโภค	ผู้บริโภคต้องการข้อมูลที่ชัดเจน.
contact	ติดต่อ	ติดต่อฉันหลังอาหารกลางวัน.
container	ภาชนะ	ใส่ซุปในภาชนะ.
content1	เนื้อหา	เนื้อหาของหลักสูตรมีประโยชน์.
continuous	ต่อเนื่อง	เครื่องจักรส่งเสียงต่อเนื่อง.
contrast	ความแตกต่าง	ความแตกต่างระหว่างพวกเขาชัดเจน.
convenient	สะดวก	สถานีสะดวกมาก.
convince	โน้มน้าว	เธอโน้มน้าวให้เขาลองอีกครั้ง.
costume	ชุดแต่งกาย	เขาสวมชุดโจรสลัด.
cottage	กระท่อม	พวกเขาเช่ากระท่อมเล็กๆ.
cotton	ฝ้าย	เสื้อตัวนี้ทำจากฝ้าย.
countryside	ชนบท	เราเดินผ่านชนบท.
court	ศาล	คดีไปถึงศาล.
covered	ถูกปกคลุม	โต๊ะถูกปกคลุมด้วยเอกสาร.
cruel	โหดร้าย	การหัวเราะเยาะนั้นโหดร้าย.
cultural	ทางวัฒนธรรม	พิพิธภัณฑ์จัดกิจกรรมทางวัฒนธรรม.
currency	สกุลเงิน	สกุลเงินท้องถิ่นคือยูโร.
current	ปัจจุบัน	สถานการณ์ปัจจุบันยากลำบาก.
currently	ขณะนี้	ขณะนี้เธอกำลังเรียนต่างประเทศ.
curtain	ผ้าม่าน	ปิดผ้าม่านตอนกลางคืน.
custom	ธรรมเนียม	ธรรมเนียมนี้เก่าแก่มาก.
damage	ความเสียหาย	พายุทำให้เกิดความเสียหายร้ายแรง.
decade	ทศวรรษ	พวกเขาอยู่ที่นั่นมาหนึ่งทศวรรษ.
decorate	ตกแต่ง	เราตกแต่งห้องด้วยกัน.
define	นิยาม	คุณนิยามคำนี้ได้ไหม.
definite	แน่นอน	เราต้องการคำตอบที่แน่นอน.
definition	คำนิยาม	เขียนคำนิยามลงในสมุดของคุณ.
deliver	ส่งมอบ	พวกเขาส่งอาหารถึงบ้านเรา.
departure	การออกเดินทาง	เวลาออกเดินทางเปลี่ยนแล้ว.
despite	แม้ว่า	แม้ฝนตกเราก็เดิน.
destination	จุดหมายปลายทาง	ปารีสเป็นจุดหมายปลายทางสุดท้ายของพวกเขา.
determine	กำหนด	การทดสอบกำหนดระดับของคุณ.
determined	มุ่งมั่น	เธอมุ่งมั่นที่จะประสบความสำเร็จ.
development	การพัฒนา	การพัฒนาของเมืองรวดเร็ว.
diagram	แผนภาพ	วาดแผนภาพง่ายๆ.
diamond	เพชร	แหวนมีเพชรเม็ดเล็ก.
difficulty	ความยากลำบาก	เขามีความยากลำบากในการเปิดประตู.
directly	โดยตรง	กรุณาพูดกับฉันโดยตรง.
dirt	สิ่งสกปรก	รองเท้าของเขาถูกปกคลุมด้วยสิ่งสกปรก.
disadvantage	ข้อเสีย	การเดินทางไกลเป็นข้อเสีย.
disappointed	ผิดหวัง	เธอรู้สึกผิดหวังกับผลลัพธ์.
disappointing	น่าผิดหวัง	ตอนจบน่าผิดหวัง.
discount	ส่วนลด	นักเรียนได้ส่วนลดที่นี่.
dislike	ไม่ชอบ	ฉันไม่ชอบเพลงที่ดังมาก.
divide	แบ่ง	แบ่งเค้กเป็นชิ้นๆ.
documentary	สารคดี	เราดูสารคดีเกี่ยวกับอวกาศ.
donate	บริจาค	หลายคนบริจาคเสื้อผ้าเก่า.
doubt	ความสงสัย	ฉันไม่มีความสงสัยเกี่ยวกับเรื่องนั้น.
dressed	แต่งตัว	เขาแต่งตัวด้วยสีดำ.
drum	กลอง	เสียงกลองดังไปทั่วห้อง.
drunk	เมา	คนขับเมา.
due	ครบกำหนด	รายงานครบกำหนดพรุ่งนี้.
dust	ฝุ่น	ฝุ่นปกคลุมหนังสือเก่า.
duty	หน้าที่	เป็นหน้าที่ของฉันที่จะช่วย.
earthquake	แผ่นดินไหว	แผ่นดินไหวทำให้สะพานเสียหาย.
eastern	ทางตะวันออก	ชายฝั่งตะวันออกมีลมแรง.
economic	ทางเศรษฐกิจ	ประเทศเผชิญปัญหาทางเศรษฐกิจ.
economy	เศรษฐกิจ	เศรษฐกิจเติบโตในปีนี้.
edge	ขอบ	ยืนให้ห่างจากขอบ.
editor	บรรณาธิการ	บรรณาธิการตรวจบทความ.
educate	ให้การศึกษา	โรงเรียนให้การศึกษาแก่คนหนุ่มสาว.
educated	มีการศึกษา	เธอมีการศึกษาสูง.
educational	ทางการศึกษา	เกมนี้มีคุณค่าทางการศึกษา.
effective	มีประสิทธิผล	ยานี้มีประสิทธิผล.
effectively	อย่างมีประสิทธิผล	เธออธิบายกฎอย่างมีประสิทธิผล.
effort	ความพยายาม	ความพยายามของคุณสร้างความแตกต่าง.
election	การเลือกตั้ง	ผลการเลือกตั้งสูสี.
element	องค์ประกอบ	ความไว้วางใจเป็นองค์ประกอบสำคัญ.
embarrassed	อาย	เขารู้สึกอายหลังจากล้ม.
embarrassing	น่าอาย	นั่นเป็นความผิดพลาดที่น่าอาย.
emergency	เหตุฉุกเฉิน	โทรเบอร์นี้ในเหตุฉุกเฉิน.
emotion	อารมณ์	ความกลัวเป็นอารมณ์ที่รุนแรง.
employment	การจ้างงาน	การจ้างงานเพิ่มขึ้นในเดือนนี้.
encourage	ให้กำลังใจ	ครูให้กำลังใจนักเรียนให้อ่าน.
enemy	ศัตรู	สองประเทศเคยเป็นศัตรูกัน.
engaged	หมั้น	พวกเขาหมั้นกันเมื่อฤดูใบไม้ผลิที่แล้ว.
engineering	วิศวกรรม	เธอเรียนวิศวกรรมที่มหาวิทยาลัย.
entertain	ให้ความบันเทิง	นักร้องจะให้ความบันเทิงแก่แขก.
entertainment	ความบันเทิง	เมืองมีความบันเทิงยามค่ำคืน.
entrance	ทางเข้า	พบฉันที่ทางเข้า.
entry	การเข้า	เด็กเข้าได้ฟรี.
environmental	ด้านสิ่งแวดล้อม	เราพูดคุยเรื่องปัญหาด้านสิ่งแวดล้อม.
episode	ตอน	ตอนสุดท้ายน่าตื่นเต้น.
equal	เท่าเทียม	พวกเขาได้รับค่าจ้างเท่าเทียมกัน.
equally	อย่างเท่าเทียม	งานถูกแบ่งอย่างเท่าเทียม.
escape	หลบหนี	นักโทษพยายามหลบหนี.
essential	จำเป็น	น้ำจำเป็นต่อชีวิต.
eventually	ในที่สุด	ในที่สุดเราก็พบโรงแรม.
examine	ตรวจ	แพทย์ตรวจแขนของฉัน.
exchange	แลกเปลี่ยน	เราแลกเปลี่ยนที่ร้าน.
excitement	ความตื่นเต้น	เกมเต็มไปด้วยความตื่นเต้น.
exhibition	นิทรรศการ	นิทรรศการศิลปะเปิดพรุ่งนี้.
expand	ขยาย	บริษัทวางแผนจะขยาย.
expected	คาดไว้	ค่าใช้จ่ายที่คาดไว้สูง.
expedition	การเดินทางสำรวจ	การเดินทางสำรวจข้ามทะเลทราย.
experienced	มีประสบการณ์	เธอเป็นพยาบาลที่มีประสบการณ์.
explode	ระเบิด	ขวดอาจระเบิดเมื่อโดนความร้อน.
explore	สำรวจ	เราสำรวจเมืองเก่า.
explosion	การระเบิด	การระเบิดทำให้หน้าต่างหลายบานแตก.
export	สินค้าส่งออก; ส่งออก	กาแฟเป็นสินค้าส่งออกสำคัญ.
fairly	ค่อนข้าง	ข้อสอบค่อนข้างง่าย.
familiar	คุ้นเคย	ใบหน้าของเธอดูคุ้นเคย.
fancy	อยากได้; หรู	คุณอยากดื่มกาแฟไหม.
fascinating	น่าหลงใหล	เรื่องราวน่าหลงใหล.
fashionable	ทันสมัย	รองเท้าคู่นั้นทันสมัย.
fasten	รัด	รัดเข็มขัดนิรภัยของคุณ.
favour	ความช่วยเหลือ	คุณช่วยฉันสักอย่างได้ไหม.
fence	รั้ว	รั้วล้อมรอบสวน.
fighting	การต่อสู้	การต่อสู้หยุดลงตอนรุ่งสาง.
file	ไฟล์	บันทึกไฟล์ก่อนปิด.
financial	ทางการเงิน	เธอต้องการคำแนะนำทางการเงิน.
fitness	สมรรถภาพ	การวิ่งช่วยพัฒนาสมรรถภาพของคุณ.
fixed	ตายตัว	ราคาตายตัว.
flag	ธง	ธงโบกอยู่เหนือโรงเรียน.
flood	น้ำท่วม	น้ำท่วมทำให้บ้านหลายหลังเสียหาย.
flour	แป้ง	เติมแป้งลงในชาม.
flow	ไหล	แม่น้ำไหลผ่านเมือง.
fold	พับ	พับกระดาษครึ่งหนึ่ง.
folk	พื้นบ้าน	ดนตรีพื้นบ้านดังทั่วห้องโถง.
force	แรง	ลมมีแรงมาก.
forever	ตลอดไป	ฉันจะจดจำสิ่งนี้ตลอดไป.
frame	กรอบ	รูปถ่ายต้องการกรอบ.
freeze	แข็งตัว	น้ำจะแข็งตัวในคืนนี้.
frequently	บ่อยครั้ง	เขาไปเยี่ยมพ่อแม่บ่อยครั้ง.
friendship	มิตรภาพ	มิตรภาพของพวกเขายาวนานหลายปี.
frighten	ทำให้กลัว	เสียงดังทำให้ทารกกลัว.
frightened	ตกใจกลัว	เด็กดูตกใจกลัว.
frightening	น่ากลัว	พายุน่ากลัว.
frozen	แข็งเป็นน้ำแข็ง	ทะเลสาบแข็งเป็นน้ำแข็ง.
fry	ทอด	ทอดหัวหอมห้านาที.
fuel	เชื้อเพลิง	รถต้องการเชื้อเพลิงเพิ่ม.
function	หน้าที่	ปุ่มนี้มีหน้าที่เดียว.
fur	ขนสัตว์	แมวมีขนนุ่ม.
garage	โรงรถ	รถอยู่ในโรงรถ.
gather	รวมตัว	เรารวมตัวรอบโต๊ะ.
generally	โดยทั่วไป	โดยทั่วไปเธอมาถึงเร็ว.
generation	รุ่น; เจเนอเรชัน	แต่ละรุ่นเผชิญปัญหาใหม่.
generous	ใจกว้าง	เขาใจกว้างกับเวลาของเขา.
gentle	อ่อนโยน	ใช้น้ำเสียงอ่อนโยน.
gentleman	สุภาพบุรุษ	สุภาพบุรุษคนนั้นเปิดประตู.
ghost	ผี	เรื่องราวกล่าวถึงผี.
giant	ยักษ์; ใหญ่มาก	จอยักษ์เต็มเวที.
glad	ดีใจ	ฉันดีใจที่คุณมา.
global	ทั่วโลก	การเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาทั่วโลก.
glove	ถุงมือ	ฉันทำถุงมือหายข้างหนึ่ง.
goods	สินค้า	สินค้ามาถึงช้า.
grade	คะแนน	เธอได้คะแนนสูง.
graduate	บัณฑิต	เขาเป็นบัณฑิตใหม่.
grain	เมล็ด	เมล็ดข้าวตกลงมา.
grateful	รู้สึกขอบคุณ	ฉันรู้สึกขอบคุณสำหรับการสนับสนุนของคุณ.
growth	การเติบโต	ต้นไม้แสดงการเติบโตอย่างมั่นคง.
guard	ยาม	ยามตรวจตั๋วของเรา.
guilty	รู้สึกผิด	เขารู้สึกผิดที่โกหก.
hang	แขวน	แขวนเสื้อโค้ตของคุณไว้ที่นี่.
happiness	ความสุข	เงินซื้อความสุขไม่ได้.
hardly	แทบจะไม่	ฉันแทบจะไม่ได้ยินคุณ.
headline	พาดหัวข่าว	พาดหัวข่าวดึงดูดความสนใจของฉัน.
heating	เครื่องทำความร้อน	เครื่องทำความร้อนหยุดทำงาน.
heavily	อย่างหนัก	ฝนตกหนักตลอดคืน.
helicopter	เฮลิคอปเตอร์	เฮลิคอปเตอร์ลงจอดใกล้ๆ.
highlight	เน้น	กรุณาเน้นใจความหลัก.
highly	อย่างมาก	เธอได้รับความเคารพอย่างมาก.
hire	เช่า	เราต้องเช่ารถ.
historic	มีความสำคัญทางประวัติศาสตร์	เราไปเยี่ยมอาคารที่มีความสำคัญทางประวัติศาสตร์.
historical	ทางประวัติศาสตร์	เธอชอบนวนิยายทางประวัติศาสตร์.
honest	ซื่อสัตย์	กรุณาให้คำตอบที่ซื่อสัตย์.
horrible	แย่มาก	กลิ่นนั้นแย่มาก.
horror	สยองขวัญ	เขาชอบภาพยนตร์สยองขวัญ.
host	เจ้าภาพ	เจ้าภาพต้อนรับแขกทุกคน.
