hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
538:不但	不但	不但	ne samo	On ne govori samo kineski nego i engleski.	ne samo	Ne govori samo kitajsko, ampak tudi angleško.	ne tik	Jis moka ne tik kinų, bet ir anglų kalbą.	ne tikai	Viņš prot ne tikai ķīniešu, bet arī angļu valodu.	mitte ainult	Ta oskab mitte ainult hiina, vaid ka inglise keelt.	ekki aðeins	Hann talar ekki aðeins kínversku heldur líka ensku.
539:不见	不见	不见	ne videti; nestati	Dugo se nismo videli, kako si u poslednje vreme?	ne videti; izginiti	Dolgo se nisva videla, kako si zadnje čase?	nematyti; dingti	Seniai nesimatėme, kaip tau pastaruoju metu sekasi?	neredzēt; pazust	Sen neesam tikušies, kā tev pēdējā laikā klājas?	mitte nägema; kaduma	Pole ammu näinud, kuidas sul viimasel ajal läheb?	sjást ekki; hverfa	Langt síðan við sáumst, hvernig hefurðu haft það?
540:不用	不用	不用	nema potrebe; ne koristiti	Ne moraš da me čekaš.	ni treba; ne uporabljati	Ni ti me treba čakati.	nereikia; nenaudoti	Tau nereikia manęs laukti.	nevajag; nelietot	Tev nav jāgaida mani.	pole vaja; mitte kasutama	Sul pole vaja mind oodata.	þarf ekki; nota ekki	Þú þarft ekki að bíða eftir mér.
541:不同	不同	不同	različit	Imamo različite ideje.	različen	Imamo različne zamisli.	skirtingas	Turime skirtingų minčių.	atšķirīgs	Mums ir atšķirīgas domas.	erinev	Meil on erinevad mõtted.	mismunandi	Við höfum mismunandi hugmyndir.
542:不久	不久	不久	uskoro; nedugo	Nedugo zatim preselio se u Šangaj.	kmalu; nedolgo	Kmalu zatem se je preselil v Šanghaj.	netrukus; neilgai	Netrukus po to jis persikėlė į Šanchajų.	drīz; neilgi	Drīz pēc tam viņš pārcēlās uz Šanhaju.	varsti; mitte kaua	Peagi pärast seda kolis ta Shanghaisse.	brátt; ekki lengi	Skömmu síðar flutti hann til Sjanghæ.
543:不行	不行	不行	ne može; nije u redu	Danas ne može, imam čas.	ne gre; ni v redu	Danes ne gre, imam pouk.	negalima; netinka	Šiandien netinka, turiu pamoką.	neder; nav iespējams	Šodien neder, man ir nodarbība.	ei sobi; ei ole võimalik	Täna ei sobi, mul on tund.	gengur ekki; ekki í lagi	Það gengur ekki í dag, ég er með tíma.
544:才1	才1	才	tek; tek sada	Tek sada razumem.	šele; šele zdaj	Šele zdaj razumem.	tik; tik dabar	Tik dabar suprantu.	tikai; tikai tagad	Tikai tagad saprotu.	alles; alles nüüd	Alles nüüd saan aru.	fyrst; fyrst núna	Fyrst núna skil ég.
548:草地	草地	草地	trava; travnjak	Deca se igraju na travnjaku.	trava; trata	Otroci se igrajo na trati.	žolė; veja	Vaikai žaidžia ant vejos.	zāle; mauriņš	Bērni spēlējas uz zāliena.	rohi; muru	Lapsed mängivad murul.	gras; grasflöt	Börnin leika sér á grasflötinni.
550:查	查	查	proveriti; potražiti	Želim da proverim cenu karte.	preveriti; poiskati	Želim preveriti ceno vozovnice.	tikrinti; ieškoti	Noriu patikrinti bilieto kainą.	pārbaudīt; uzmeklēt	Es gribu pārbaudīt biļetes cenu.	kontrollima; otsima	Tahan pileti hinda kontrollida.	athuga; fletta upp	Ég vil athuga miðaverðið.
554:常	常	常	često	On često ide u tu knjižaru.	pogosto	Pogosto gre v tisto knjigarno.	dažnai	Jis dažnai eina į tą knygyną.	bieži	Viņš bieži iet uz to grāmatnīcu.	sageli	Ta käib sageli selles raamatupoes.	oft	Hann fer oft í þessa bókabúð.
555:常见	常见	常见	čest; uobičajen	Ovo je čest problem.	pogost; običajen	To je pogosta težava.	dažnas; įprastas	Tai dažna problema.	bieži sastopams	Tā ir bieži sastopama problēma.	tavaline; sageli esinev	See on tavaline probleem.	algengur	Þetta er algengt vandamál.
556:常用	常用	常用	često korišćen	Telefon je često korišćen alat.	pogosto rabljen	Telefon je pogosto uporabljeno orodje.	dažnai naudojamas	Telefonas yra dažnai naudojamas įrankis.	bieži lietots	Tālrunis ir bieži lietots rīks.	sageli kasutatav	Telefon on sageli kasutatav tööriist.	oft notaður	Sími er oft notað verkfæri.
557:常常	常常	常常	često; učestalo	Često čitam uveče.	pogosto; velikokrat	Pogosto berem zvečer.	dažnai; nuolat	Aš dažnai skaitau vakare.	bieži; regulāri	Es bieži lasu vakarā.	sageli; tihti	Loen sageli õhtuti.	oft; tíðum	Ég les oft á kvöldin.
564:出院	出院	出院	izaći iz bolnice	On danas može da izađe iz bolnice.	oditi iz bolnišnice	Danes lahko gre iz bolnišnice.	išrašyti iš ligoninės	Šiandien jis gali būti išrašytas iš ligoninės.	izrakstīties no slimnīcas	Šodien viņš var izrakstīties no slimnīcas.	haiglast välja saama	Ta võib täna haiglast välja saada.	útskrifast af sjúkrahúsi	Hann getur útskrifast af sjúkrahúsinu í dag.
565:初中	初中	初中	niža srednja škola	Moja mlađa sestra uči u nižoj srednjoj školi.	nižja srednja šola	Moja mlajša sestra hodi v nižjo srednjo šolo.	pagrindinė mokykla	Mano jaunesnioji sesuo mokosi pagrindinėje mokykloje.	pamatskola	Mana jaunākā māsa mācās pamatskolā.	põhikool	Mu noorem õde õpib põhikoolis.	unglingaskóli	Yngri systir mín er í unglingaskóla.
568:春天	春天	春天	proleće	Došlo je proleće i cveće je procvetalo.	pomlad	Prišla je pomlad in rože so zacvetele.	pavasaris	Atėjo pavasaris ir pražydo gėlės.	pavasaris	Ir atnācis pavasaris, un puķes uzziedējušas.	kevad	Kevad on tulnud ja lilled on õide puhkenud.	vor	Vorið er komið og blómin hafa sprungið út.
574:大人	大人	大人	odrasla osoba	Odrasli razgovaraju u dnevnoj sobi.	odrasla oseba	Odrasli se pogovarjajo v dnevni sobi.	suaugęs žmogus	Suaugusieji kalbasi svetainėje.	pieaugušais	Pieaugušie sarunājas viesistabā.	täiskasvanu	Täiskasvanud vestlevad elutoas.	fullorðinn	Fullorðna fólkið spjallar í stofunni.
575:大小	大小	大小	veličina	Ova dva komada odeće su iste veličine.	velikost	Ti dve oblačili sta enake velikosti.	dydis	Šie du drabužiai yra tokio pat dydžio.	izmērs	Šiem diviem apģērba gabaliem ir vienāds izmērs.	suurus	Need kaks riideeset on sama suurusega.	stærð	Þessar tvær flíkur eru í sömu stærð.
576:大熊猫	大熊猫	大熊猫	džinovska panda	Džinovska panda jede bambus.	velika panda	Velika panda je bambus.	didžioji panda	Didžioji panda valgo bambuką.	lielā panda	Lielā panda ēd bambusu.	hiidpanda	Hiidpanda sööb bambust.	risapanda	Risapandan borðar bambus.
577:大衣	大衣	大衣	kaput	Hladno je, pa sam obukao kaput.	plašč	Mraz je, zato sem oblekel plašč.	paltas	Šalta, todėl apsivilkau paltą.	mētelis	Ir auksti, tāpēc uzvilku mēteli.	mantel	On külm, nii et panin mantli selga.	frakki; yfirhöfn	Það er kalt, svo ég fór í yfirhöfn.
583:得	得	得	dobiti; steći	On je marljivo učio i konačno dobio visok rezultat.	dobiti; pridobiti	Marljivo se je učil in končno dobil visoko oceno.	gauti; įgyti	Jis stropiai mokėsi ir galiausiai gavo aukštą balą.	iegūt; dabūt	Viņš cītīgi mācījās un beidzot ieguva augstu vērtējumu.	saama; omandama	Ta õppis hoolega ja sai lõpuks kõrge hinde.	fá; öðlast	Hann lærði mikið og fékk loks háa einkunn.
584:得到	得到	得到	dobiti; primiti	Dobio sam pomoć od nastavnika.	dobiti; prejeti	Prejel sem učiteljevo pomoč.	gauti; sulaukti	Gavau mokytojo pagalbą.	saņemt; iegūt	Es saņēmu skolotāja palīdzību.	saama; vastu võtma	Sain õpetajalt abi.	fá; hljóta	Ég fékk hjálp frá kennaranum.
585:得分	得分	得分	osvojiti poene; rezultat	U ovoj utakmici on je osvojio najviše poena.	doseči točke; rezultat	Na tej tekmi je dosegel največ točk.	pelnyti taškus; rezultatas	Šiose rungtynėse jis pelnė daugiausia taškų.	gūt punktus; rezultāts	Šajā spēlē viņš guva visvairāk punktu.	punkte saama; skoor	Selles mängus sai ta kõige rohkem punkte.	skora; stig	Í þessum leik skoraði hann flest stig.
586:的话	的话	的话	ako; u tom slučaju	Ako imaš vremena, idemo zajedno.	če; v tem primeru	Če imaš čas, pojdiva skupaj.	jeigu; tokiu atveju	Jeigu turi laiko, eikime kartu.	ja; tādā gadījumā	Ja tev ir laiks, iesim kopā.	kui; sel juhul	Kui sul on aega, lähme koos.	ef; þá	Ef þú hefur tíma, förum saman.
589:地	地	地	zemlja; tlo	Na ovom komadu zemlje može da se sadi povrće.	zemlja; tla	Na tem kosu zemlje lahko sadimo zelenjavo.	žemė; gruntas	Šiame žemės sklype galima auginti daržoves.	zeme; grunts	Šajā zemes gabalā var audzēt dārzeņus.	maa; pinnas	Sellel maalapil saab köögivilju kasvatada.	land; jörð	Á þessum jarðskika má rækta grænmeti.
593:电	电	电	struja; električna energija	U sobi nema struje.	elektrika	V sobi ni elektrike.	elektra	Kambaryje nebėra elektros.	elektrība	Istabā nav elektrības.	elekter	Toas pole elektrit.	rafmagn	Það er ekkert rafmagn í herberginu.
595:电子书	电子书	电子书	elektronska knjiga	Čitam elektronske knjige na telefonu.	elektronska knjiga	Na telefonu berem elektronske knjige.	elektroninė knyga	Skaitau elektronines knygas telefone.	elektroniskā grāmata	Es lasu elektroniskās grāmatas telefonā.	e-raamat	Loen telefonist e-raamatuid.	rafbók	Ég les rafbækur í símanum.
598:东北	东北	东北	severoistok	Moja kuća je na severoistoku grada.	severovzhod	Moj dom je na severovzhodu mesta.	šiaurės rytai	Mano namai yra miesto šiaurės rytuose.	ziemeļaustrumi	Manas mājas ir pilsētas ziemeļaustrumos.	kirde	Mu kodu on linna kirdeosas.	norðaustur	Heimili mitt er í norðausturhluta borgarinnar.
599:东方	东方	东方	istok; Orijent	Sunce izlazi na istoku.	vzhod; Orient	Sonce vzhaja na vzhodu.	rytai; Rytai	Saulė teka iš rytų.	austrumi; Austrumi	Saule lec austrumos.	ida; Idamaad	Päike tõuseb idast.	austur; Austurlönd	Sólin rís í austri.
600:东南	东南	东南	jugoistok	Škola je na jugoistoku grada.	jugovzhod	Šola je na jugovzhodu mesta.	pietryčiai	Mokykla yra miesto pietryčiuose.	dienvidaustrumi	Skola ir pilsētas dienvidaustrumos.	kagu	Kool on linna kaguosas.	suðaustur	Skólinn er í suðausturhluta borgarinnar.
601:冬天	冬天	冬天	zima	Zimi je ovde veoma hladno.	zima	Pozimi je tukaj zelo mrzlo.	žiema	Žiemą čia labai šalta.	ziema	Ziemā šeit ir ļoti auksti.	talv	Talvel on siin väga külm.	vetur	Á veturna er mjög kalt hér.
602:懂得	懂得	懂得	znati; razumeti	On zna da brine o drugima.	znati; razumeti	Zna skrbeti za druge.	žinoti; suprasti	Jis moka rūpintis kitais.	prast; saprast	Viņš prot rūpēties par citiem.	teadma; mõistma	Ta oskab teiste eest hoolitseda.	kunna; skilja	Hann kann að hugsa um aðra.
604:动物园	动物园	动物园	zoološki vrt	Za vikend idemo u zoološki vrt.	živalski vrt	Za konec tedna gremo v živalski vrt.	zoologijos sodas	Savaitgalį einame į zoologijos sodą.	zooloģiskais dārzs	Nedēļas nogalē iesim uz zooloģisko dārzu.	loomaaed	Nädalavahetusel läheme loomaaeda.	dýragarður	Um helgina förum við í dýragarðinn.
606:短裤	短裤	短裤	šorts; kratke pantalone	Leti često nosim šorts.	kratke hlače	Poleti pogosto nosim kratke hlače.	šortai; trumpos kelnės	Vasarą dažnai dėviu šortus.	šorti; īsās bikses	Vasarā es bieži valkāju šortus.	lühikesed püksid	Suvel kannan sageli lühikesi pükse.	stuttbuxur	Á sumrin geng ég oft í stuttbuxum.
611:而且	而且	而且	i; osim toga	Ova prodavnica je jeftina i usluga je dobra.	in; poleg tega	Ta trgovina je poceni in storitev je dobra.	ir; be to	Ši parduotuvė pigi, be to, aptarnavimas geras.	un; turklāt	Šis veikals ir lēts, un apkalpošana ir laba.	ja; pealegi	See pood on odav ja teenindus on hea.	og; þar að auki	Þessi búð er ódýr og þjónustan er góð.
613:耳机	耳机	耳机	slušalice	Moje slušalice su na stolu.	slušalke	Moje slušalke so na mizi.	ausinės	Mano ausinės yra ant stalo.	austiņas	Manas austiņas ir uz galda.	kõrvaklapid	Mu kõrvaklapid on laual.	heyrnartól	Heyrnartólin mín eru á borðinu.
620:方便面	方便面	方便面	instant rezanci	Ponekad jedem instant rezance.	instant rezanci	Občasno jem instant rezance.	greitai paruošiami makaronai	Kartais valgau greitai paruošiamus makaronus.	ātri pagatavojamās nūdeles	Es reizēm ēdu ātri pagatavojamās nūdeles.	kiirnuudlid	Söön vahel kiirnuudleid.	skyndinúðlur	Ég borða stundum skyndinúðlur.
623:房子	房子	房子	kuća; stan	Ovaj stan je vrlo čist.	hiša; stanovanje	To stanovanje je zelo čisto.	namas; butas	Šis butas labai švarus.	māja; dzīvoklis	Šis dzīvoklis ir ļoti tīrs.	maja; korter	See korter on väga puhas.	hús; íbúð	Þessi íbúð er mjög hrein.
625:放假	放假	放假	imati slobodne dane	Sledeće nedelje imamo tri slobodna dana.	imeti počitnice	Naslednji teden imamo tri proste dni.	turėti atostogas	Kitą savaitę turime tris laisvas dienas.	būt brīvdienām	Nākamnedēļ mums ir trīs brīvas dienas.	puhkust saama; vaba olema	Järgmisel nädalal on meil kolm vaba päeva.	fá frí; vera í fríi	Í næstu viku eigum við þrjá frídaga.
627:放学	放学	放学	završiti nastavu	Posle nastave idem u biblioteku.	končati pouk	Po pouku grem v knjižnico.	baigtis pamokoms	Po pamokų einu į biblioteką.	beigties stundām	Pēc stundām es eju uz bibliotēku.	koolipäev lõpeb	Pärast kooli lähen raamatukokku.	skóla lýkur	Eftir skóla fer ég á bókasafnið.
628:分开	分开	分开	razdvojiti; odvojiti	Molim te, odvoji ove knjige.	ločiti; razdeliti	Prosim, loči te knjige.	atskirti; padalyti	Prašau atskirti šias knygas.	atdalīt; sadalīt	Lūdzu, atdali šīs grāmatas.	eraldama; lahku panema	Palun eralda need raamatud.	aðskilja; skipta	Vinsamlegast aðskildu þessar bækur.
629:风	风	风	vetar	Danas duva jak vetar.	veter	Danes močno piha veter.	vėjas	Šiandien pučia stiprus vėjas.	vējš	Šodien pūš stiprs vējš.	tuul	Täna puhub tugev tuul.	vindur	Það er mikill vindur í dag.
630:封	封	封	brojna reč za pisma	Dobio sam jedno pismo.	števnik za pisma	Prejel sem eno pismo.	skaičiuojamasis žodis laiškams	Gavau vieną laišką.	skaitītājvārds vēstulēm	Es saņēmu vienu vēstuli.	kirjade loendussõna	Sain ühe kirja.	töluorð fyrir bréf	Ég fékk eitt bréf.
631:夫妻	夫妻	夫妻	muž i žena; bračni par	Ovaj bračni par je veoma ljubazan.	mož in žena; par	Ta par je zelo prijazen.	vyras ir žmona; pora	Ši pora labai draugiška.	vīrs un sieva; pāris	Šis pāris ir ļoti draudzīgs.	abikaasad; paar	See paar on väga sõbralik.	hjón; par	Þessi hjón eru mjög vingjarnleg.
632:服务	服务	服务	usluživati; usluga	Usluga u ovom restoranu je veoma dobra.	streči; storitev	Storitev v tej restavraciji je zelo dobra.	aptarnauti; paslauga	Šiame restorane aptarnavimas labai geras.	apkalpot; pakalpojums	Šajā restorānā apkalpošana ir ļoti laba.	teenindama; teenus	Selles restoranis on teenindus väga hea.	þjóna; þjónusta	Þjónustan á þessum veitingastað er mjög góð.
635:该1	该1	该	trebati; vreme je	Trebalo bi sada da krenemo.	morati; čas je	Zdaj bi morali iti.	turėti; reikėti	Mums jau metas eiti.	vajadzētu; laiks	Mums tagad vajadzētu doties.	peaks; aeg on	Peaksime nüüd minema.	ætti; tími til	Við ættum að fara núna.
638:感到	感到	感到	osećati	Osećam se malo umorno.	čutiti	Počutim se malo utrujeno.	jausti	Jaučiuosi šiek tiek pavargęs.	just	Es jūtos mazliet noguris.	tundma	Tunnen end veidi väsinuna.	finna fyrir; líða	Ég finn fyrir smá þreytu.
643:刚刚	刚刚	刚刚	upravo sada	On je upravo izašao iz učionice.	pravkar	Pravkar je odšel iz učilnice.	ką tik	Jis ką tik išėjo iš klasės.	tikko	Viņš tikko izgāja no klases.	äsja	Ta lahkus äsja klassiruumist.	rétt í þessu	Hann fór rétt í þessu úr kennslustofunni.
644:高铁	高铁	高铁	brza železnica; brzi voz	Sutra idem brzim vozom u Peking.	hitra železnica; hitri vlak	Jutri grem s hitrim vlakom v Peking.	greitasis geležinkelis; greitasis traukinys	Rytoj važiuosiu greituoju traukiniu į Pekiną.	ātrgaitas dzelzceļš; ātrvilciens	Rīt braukšu ar ātrvilcienu uz Pekinu.	kiirraudtee; kiirrong	Homme sõidan kiirrongiga Pekingisse.	hraðlest; hraðbrautarlest	Á morgun tek ég hraðlest til Peking.
649:工作日	工作日	工作日	radni dan	Radnim danima ustajem u sedam ujutru.	delovni dan	Ob delovnikih vstanem ob sedmih zjutraj.	darbo diena	Darbo dienomis keliuosi septintą ryto.	darba diena	Darba dienās es ceļos septiņos no rīta.	tööpäev	Tööpäeviti tõusen hommikul kell seitse.	vinnudagur	Á vinnudögum fer ég á fætur klukkan sjö að morgni.
651:刮	刮	刮	duvati; strugati	Napolju duva jak vetar.	pihati; strgati	Zunaj močno piha veter.	pūsti; gramdyti	Lauke pučia stiprus vėjas.	pūst; skrāpēt	Ārā pūš stiprs vējš.	puhuma; kraapima	Õues puhub tugev tuul.	blása; skafa	Úti blæs sterkur vindur.
653:关机	关机	关机	isključiti; ugasiti	Molim vas, isključite telefon tokom časa.	izklopiti	Med poukom prosim izklopite telefon.	išjungti	Per pamoką prašau išjungti telefoną.	izslēgt	Lūdzu, stundas laikā izslēdziet telefonu.	välja lülitama	Palun lülitage tundide ajal telefon välja.	slökkva á; loka	Vinsamlegast slökktu á símanum í tíma.
657:关注	关注	关注	obratiti pažnju na; pratiti	Veoma obraćam pažnju na učenje svog deteta.	posvečati pozornost; spremljati	Zelo spremljam otrokovo učenje.	skirti dėmesį; sekti	Skiriu daug dėmesio savo vaiko mokslams.	pievērst uzmanību; sekot	Es ļoti pievēršu uzmanību bērna mācībām.	tähelepanu pöörama; jälgima	Pööran palju tähelepanu oma lapse õppimisele.	veita athygli; fylgjast með	Ég fylgist vel með námi barnsins míns.
659:过节	过节	过节	slavi­ti praznik	Kada slavimo praznik, kod kuće je veoma živo.	praznovati	Ko praznujemo, je doma zelo živahno.	švęsti šventę	Per šventes namuose būna labai gyva.	svinēt svētkus	Svētkos mājās ir ļoti dzīvīgi.	pühi tähistama	Pühade ajal on kodus väga elav.	halda hátíð	Þegar við höldum hátíð er mjög líflegt heima.
661:海	海	海	more	Želim da putujem na more.	morje	Želim potovati na morje.	jūra	Noriu keliauti prie jūros.	jūra	Es gribu ceļot uz jūrmalu.	meri	Tahan mere äärde reisida.	sjór; haf	Mig langar að ferðast að sjónum.
663:好多	好多	好多	mnogo; puno	U prodavnici ima mnogo novih knjiga.	veliko; mnogo	V trgovini je veliko novih knjig.	daug	Parduotuvėje yra daug naujų knygų.	daudz	Veikalā ir daudz jaunu grāmatu.	palju	Poes on palju uusi raamatuid.	mikið; margir	Í búðinni eru margar nýjar bækur.
664:好久	好久	好久	dugo vremena	Dugo se nismo videli.	dolgo časa	Dolgo se nismo videli.	ilgai; ilgas laikas	Seniai nesimatėme.	ilgs laiks	Sen neesam tikušies.	kaua aega	Me pole ammu näinud.	lengi; langur tími	Við höfum ekki sést lengi.
667:河	河	河	reka	Ova reka je veoma široka.	reka	Ta reka je zelo široka.	upė	Ši upė labai plati.	upe	Šī upe ir ļoti plata.	jõgi	See jõgi on väga lai.	á	Þessi á er mjög breið.
670:红绿灯	红绿灯	红绿灯	semafor	Kada prelaziš ulicu, gledaj semafor.	semafor	Ko prečkaš cesto, poglej semafor.	šviesoforas	Eidamas per gatvę žiūrėk į šviesoforą.	luksofors	Šķērsojot ceļu, skaties uz luksoforu.	valgusfoor	Teed ületades vaata valgusfoori.	umferðarljós	Horfðu á umferðarljósið þegar þú ferð yfir götuna.
672:后年	后年	后年	preksledeća godina; godina posle sledeće	Preksledeće godine želim da idem u Kinu na učenje.	leto po naslednjem	Leto po naslednjem želim študirati na Kitajskem.	metai po kitų metų	Po kitų metų noriu vykti į Kiniją mokytis.	aiznākamais gads	Aiznākamgad gribu doties mācīties uz Ķīnu.	ülejärgmine aasta	Ülejärgmisel aastal tahan minna Hiinasse õppima.	þarnæsta ár; árið eftir næsta ár	Þarnæsta ár vil ég fara til Kína að læra.
673:后天	后天	后天	prekosutra	Prekosutra imamo ispit.	pojutrišnjem	Pojutrišnjem imamo izpit.	poryt	Poryt turime egzaminą.	parīt	Parīt mums ir eksāmens.	ülehomme	Ülehomme on meil eksam.	eftirmorgun	Við erum með próf eftirmorgun.
675:花园	花园	花园	vrt	U vrtu ima mnogo cveća.	vrt	Na vrtu je veliko rož.	sodas	Sode yra daug gėlių.	dārzs	Dārzā ir daudz ziedu.	aed	Aias on palju lilli.	garður	Í garðinum eru mörg blóm.
676:画家	画家	画家	slikar; umetnik	Ovaj slikar je veoma poznat.	slikar; umetnik	Ta slikar je zelo znan.	tapytojas; dailininkas	Šis tapytojas labai garsus.	gleznotājs; mākslinieks	Šis gleznotājs ir ļoti slavens.	maalikunstnik; kunstnik	See maalikunstnik on väga tuntud.	málari; listamaður	Þessi málari er mjög frægur.
681:黄色	黄色	黄色	žuta boja	Kupio sam žutu majicu.	rumena barva	Kupil sem rumen zgornji del.	geltona spalva	Nusipirkau geltoną viršutinį drabužį.	dzeltena krāsa	Es nopirku dzeltenu augšdaļu.	kollane värv	Ostsin kollase ülaosa.	gulur litur	Ég keypti gula peysu.
685:或	或	或	ili	Možeš ići autobusom ili peške.	ali	Lahko greš z avtobusom ali peš.	arba	Gali važiuoti automobiliu arba eiti pėsčiomis.	vai	Tu vari braukt ar mašīnu vai iet kājām.	või	Võid minna autoga või jalgsi.	eða	Þú getur farið með bíl eða gengið.
687:鸡	鸡	鸡	pile; kokoška	Baka kod kuće gaji nekoliko kokošaka.	kokoš; piščanec	Babica doma redi nekaj kokoši.	višta; viščiukas	Močiutės namuose laiko kelias vištas.	vista	Vecmāmiņas mājās audzē dažas vistas.	kana	Vanaema perel on mitu kana.	kjúklingur; hæna	Amma heldur nokkrar hænur heima.
691:急	急	急	uznemiren; hitan	Ne žuri, autobus još nije stigao.	nujen; zaskrbljen	Ne skrbi, avtobus še ni prišel.	skubus; neramus	Neskubėk, autobusas dar neatvažiavo.	steidzams; satraukts	Nesteidzies, autobuss vēl nav atbraucis.	kiire; ärev	Ära muretse, buss pole veel tulnud.	brýnn; áhyggjufullur	Ekki flýta þér, bíllinn er ekki kominn enn.
692:记	记	记	zapamtiti; zapisati	Molim te, zapiši moj telefon.	zapomniti si; zapisati	Prosim, zapiši mojo telefonsko številko.	atsiminti; užrašyti	Prašau užsirašyti mano telefono numerį.	atcerēties; pierakstīt	Lūdzu, pieraksti manu tālruņa numuru.	meeles pidama; üles kirjutama	Palun kirjuta mu telefoninumber üles.	muna; skrifa niður	Vinsamlegast skrifaðu símanúmerið mitt niður.
