hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
1033:表	表	表	ဖောင်; ဇယား; နာရီ	ကျေးဇူးပြု၍ ဒီဖောင်ကို အပြီးဖြည့်ပါ။	សំណុំបែបបទ; តារាង; នាឡិកា	សូមបំពេញសំណុំបែបបទនេះឱ្យរួច។	ແບບຟອມ; ຕາຕະລາງ; ໂມງ	ກະລຸນາຕື່ມແບບຟອມນີ້ໃຫ້ສຳເລັດ.	फारम; तालिका; घडी	कृपया यो फारम पूरा भर्नुहोस्।
1039:并	并	并	တကယ်တော့; လည်း	တကယ်တော့ ကျွန်တော် မပင်ပန်းဘူး။	ពិតប្រាកដ; ក៏	តាមពិត ខ្ញុំមិនមានអារម្មណ៍ហត់ទេ។	ແທ້ຈິງແລ້ວ; ແລະ	ແທ້ຈິງແລ້ວ ຂ້ອຍບໍ່ຮູ້ສຶກເມື່ອຍ.	वास्तवमा; साथै	वास्तवमा मलाई थकाइ लागेको छैन।
1043:不必	不必	不必	မလိုအပ်ပါ	မင်း အခုဖြေစရာ မလိုပါဘူး။	មិនចាំបាច់	អ្នកមិនចាំបាច់ឆ្លើយឥឡូវនេះទេ។	ບໍ່ຈຳເປັນ	ເຈົ້າບໍ່ຈຳເປັນຕ້ອງຕອບດຽວນີ້.	आवश्यक छैन	तिमीले अहिले जवाफ दिनु आवश्यक छैन।
1044:不便	不便	不便	အဆင်မပြေသော	ဒီနေရာမှာ ကားရပ်ဖို့ အဆင်မပြေဘူး။	មិនងាយស្រួល	នៅទីនេះចតឡានមិនងាយស្រួលទេ។	ບໍ່ສະດວກ	ຈອດລົດຢູ່ທີ່ນີ້ບໍ່ສະດວກ.	असुविधाजनक	यहाँ गाडी पार्क गर्न असुविधाजनक छ।
1046:不够	不够	不够	မလုံလောက်ပါ	ဒီကုလားထိုင်တွေက လူတိုင်းထိုင်ဖို့ မလုံလောက်ဘူး။	មិនគ្រប់គ្រាន់	កៅអីទាំងនេះមិនគ្រប់គ្រាន់សម្រាប់មនុស្សគ្រប់គ្នាអង្គុយទេ។	ບໍ່ພຽງພໍ	ເກົ້າອີ້ເຫຼົ່ານີ້ບໍ່ພຽງພໍໃຫ້ທຸກຄົນນັ່ງ.	पर्याप्त छैन	यी कुर्सीहरू सबैलाई बस्न पर्याप्त छैनन्।
1048:不论	不论	不论	ဘယ်လိုပဲဖြစ်ဖြစ်	ရာသီဥတု ဘယ်လိုပဲဖြစ်ဖြစ် ကျွန်တော်တို့ ထွက်ခွာမယ်။	ទោះបីជា	អាកាសធាតុយ៉ាងណាក៏ដោយ យើងនឹងចេញដំណើរ។	ບໍ່ວ່າ	ບໍ່ວ່າອາກາດເປັນແນວໃດ ພວກເຮົາກໍຈະອອກເດີນທາງ.	जस्तो भए पनि	मौसम जस्तो भए पनि हामी निस्कन्छौँ।
1049:步	步	步	ခြေလှမ်း	သူက ရှေ့ကို ခြေလှမ်းတစ်လှမ်း လှမ်းခဲ့တယ်။	ជំហាន	គាត់បានដើរទៅមុខមួយជំហាន។	ກ້າວ	ລາວກ້າວໄປຂ້າງໜ້າໜຶ່ງກ້າວ.	कदम	उसले अगाडि एक कदम चाल्यो।
1050:部	部	部	ရုပ်ရှင်/စာအုပ်အတွက် ရေတွက်စကား; ဌာန	ဒီရုပ်ရှင်က အရမ်းစိတ်ဝင်စားဖို့ကောင်းတယ်။	ពាក្យរាប់សម្រាប់ភាពយន្តឬសៀវភៅ; នាយកដ្ឋាន	ភាពយន្តនេះគួរឱ្យចាប់អារម្មណ៍ណាស់។	ລັກສະນະນາມສຳລັບຮູບເງົາຫຼືປຶ້ມ; ພະແນກ	ຮູບເງົາເລື່ອງນີ້ໜ້າສົນໃຈຫຼາຍ.	चलचित्र/पुस्तकको गणक; विभाग	यो चलचित्र धेरै रोचक छ।
1054:不光	不光	不光	သာမက	ကလေးတွေသာမက လူကြီးတွေလည်း ဒီဂိမ်းကို ကြိုက်ကြတယ်။	មិនត្រឹមតែ	មិនត្រឹមតែកុមារទេ មនុស្សធំក៏ចូលចិត្តល្បែងនេះដែរ។	ບໍ່ພຽງແຕ່	ບໍ່ພຽງແຕ່ເດັກນ້ອຍ ຜູ້ໃຫຍ່ກໍມັກເກມນີ້.	मात्र होइन	बालबालिका मात्र होइन, वयस्कहरू पनि यो खेल मन पराउँछन्।
1056:不满	不满	不满	မကျေနပ်သော	သူက ဒီရလဒ်အပေါ် အလွန်မကျေနပ်ဘူး။	មិនពេញចិត្ត	គាត់មិនពេញចិត្តនឹងលទ្ធផលនេះខ្លាំងណាស់។	ບໍ່ພໍໃຈ	ລາວບໍ່ພໍໃຈກັບຜົນນີ້ຫຼາຍ.	असन्तुष्ट	ऊ यो नतिजासँग धेरै असन्तुष्ट छ।
1063:参赛	参赛	参赛	ပြိုင်ပွဲဝင်သည်	ကျွန်တော်တို့အတန်းက လူငါးယောက် ပြိုင်ပွဲဝင်မယ်။	ចូលរួមប្រកួត	ថ្នាក់របស់យើងមានមនុស្សប្រាំនាក់ចូលរួមប្រកួត។	ເຂົ້າແຂ່ງຂັນ	ຫ້ອງຮຽນຂອງພວກເຮົາມີຫ້າຄົນເຂົ້າແຂ່ງຂັນ.	प्रतियोगितामा भाग लिनु	हाम्रो कक्षाबाट पाँच जना प्रतियोगितामा भाग लिँदै छन्।
1067:查看	查看	查看	စစ်ဆေးကြည့်သည်	ဆရာက ကျောင်းသားစာရင်းကို စစ်ဆေးကြည့်နေတယ်။	ពិនិត្យមើល	គ្រូកំពុងពិនិត្យមើលបញ្ជីសិស្ស។	ກວດເບິ່ງ	ຄູກຳລັງກວດເບິ່ງລາຍຊື່ນັກຮຽນ.	जाँच्नु; हेर्नु	शिक्षक विद्यार्थीहरूको सूची जाँच्दै छन्।
1068:茶叶	茶叶	茶叶	လက်ဖက်ရွက်	ဒီဆိုင်က လက်ဖက်ရွက်တွေ လတ်ဆတ်တယ်။	ស្លឹកតែ	ស្លឹកតែក្នុងហាងនេះស្រស់ណាស់។	ໃບຊາ	ໃບຊາຂອງຮ້ານນີ້ສົດຫຼາຍ.	चियापत्ती	यो पसलको चियापत्ती ताजा छ।
1069:查找	查找	查找	ရှာဖွေသည်	ကျွန်တော် အင်တာနက်မှာ အချက်အလက်ရှာဖွေနေတယ်။	ស្វែងរក	ខ្ញុំកំពុងស្វែងរកព័ត៌មានលើអ៊ីនធឺណិត។	ຄົ້ນຫາ	ຂ້ອຍກຳລັງຄົ້ນຫາຂໍ້ມູນຢູ່ໃນອິນເຕີເນັດ.	खोज्नु	म इन्टरनेटमा जानकारी खोज्दै छु।
1070:差点儿	差点儿	差点儿	နီးပါး	ကျွန်တော် ဘတ်စ်ကားကို နီးပါး လွတ်သွားခဲ့တယ်။	ស្ទើរតែ	ខ្ញុំស្ទើរតែខកខានឡានក្រុង។	ເກືອບ	ຂ້ອຍເກືອບພາດລົດເມ.	झण्डै	म झण्डै बस छुटाएँ।
1072:厂	厂	厂	စက်ရုံ	ဒီစက်ရုံက ဖုန်းတွေ ထုတ်လုပ်တယ်။	រោងចក្រ	រោងចក្រនេះផលិតទូរស័ព្ទដៃ។	ໂຮງງານ	ໂຮງງານນີ້ຜະລິດໂທລະສັບມືຖື.	कारखाना	यो कारखानाले मोबाइल फोन बनाउँछ।
1075:车速	车速	车速	ယာဉ်အမြန်နှုန်း	မိုးရွာတဲ့နေ့မှာ ယာဉ်အမြန်နှုန်းကို နည်းနည်းလျှော့သင့်တယ်။	ល្បឿនយានយន្ត	ថ្ងៃភ្លៀង ល្បឿនយានយន្តគួរតែយឺតបន្តិច។	ຄວາມໄວລົດ	ມື້ຝົນຕົກຄວາມໄວລົດຄວນຊ້າລົງໜ້ອຍໜຶ່ງ.	सवारी गति	पानी परेको दिन सवारी गति अलि कम हुनुपर्छ।
1076:车位	车位	车位	ကားရပ်နေရာ	အောက်ထပ်မှာ ကားရပ်နေရာတစ်ခု ကျန်သေးတယ်။	កន្លែងចតឡាន	ជាន់ក្រោមនៅសល់កន្លែងចតឡានមួយទៀត។	ບ່ອນຈອດລົດ	ຂ້າງລຸ່ມຍັງມີບ່ອນຈອດລົດອີກໜຶ່ງ.	पार्किङ ठाउँ	तल अझै एउटा पार्किङ ठाउँ बाँकी छ।
1077:城	城	城	မြို့	ဒီမြို့မှာ လမ်းဟောင်းတွေ အများကြီးရှိတယ်။	ទីក្រុង; ក្រុង	ទីក្រុងនេះមានផ្លូវចាស់ៗជាច្រើន។	ເມືອງ	ເມືອງນີ້ມີຖະໜົນເກົ່າຫຼາຍສາຍ.	सहर; नगर	यो सहरमा धेरै पुराना सडक छन्।
1080:乘客	乘客	乘客	ခရီးသည်	ခရီးသည်များ ကျေးဇူးပြု၍ နောက်တံခါးကနေ ဆင်းပါ။	អ្នកដំណើរ	អ្នកដំណើរសូមចុះតាមទ្វារខាងក្រោយ។	ຜູ້ໂດຍສານ	ຜູ້ໂດຍສານກະລຸນາລົງທາງປະຕູຫຼັງ.	यात्रु	यात्रुहरू, कृपया पछाडिको ढोकाबाट ओर्लनुहोस्।
1085:迟	迟	迟	နောက်ကျသော	သူ ဒီနေ့ နည်းနည်းနောက်ကျပြီး ရောက်လာတယ်။	យឺត	ថ្ងៃនេះគាត់មកយឺតបន្តិច។	ຊ້າ	ມື້ນີ້ລາວມາຊ້າໜ້ອຍໜຶ່ງ.	ढिलो	ऊ आज अलि ढिलो आइपुग्यो।
1086:重	重	重	ထပ်မံ; ပြန်လည်	ဒီစာစီစာကုံးကို တစ်ခေါက်ပြန်ရေးဖို့ လိုတယ်။	ម្តងទៀត; ដដែលៗ	អត្ថបទនេះត្រូវសរសេរឡើងវិញម្តងទៀត។	ອີກຄັ້ງ; ຊ້ຳໆ	ບົດຄວາມນີ້ຕ້ອງຂຽນໃໝ່ອີກຄັ້ງ.	फेरि; दोहोर्‍याएर	यो निबन्ध फेरि एकपटक लेख्नुपर्छ।
1091:出行	出行	出行	ခရီးသွားသည်; အပြင်ထွက်သည်	အားလပ်ရက်တွေမှာ ခရီးသွားသူများစွာရှိတယ်။	ធ្វើដំណើរ; ចេញទៅក្រៅ	ថ្ងៃឈប់សម្រាកមានមនុស្សជាច្រើនធ្វើដំណើរ។	ເດີນທາງ; ອອກໄປ	ໃນມື້ພັກມີຄົນເດີນທາງຫຼາຍ.	यात्रा गर्नु; बाहिर जानु	बिदामा धेरै मानिसहरू यात्रा गर्छन्।
1092:出租	出租	出租	ငှားရမ်းပေးသည်	ဒီတိုက်ခန်းကို ငှားရမ်းပေးနိုင်တယ်။	ជួលចេញ	អាផាតមិននេះអាចជួលចេញបាន។	ໃຫ້ເຊົ່າ	ຫ້ອງຊຸດນີ້ສາມາດໃຫ້ເຊົ່າໄດ້.	भाडामा दिनु	यो अपार्टमेन्ट भाडामा दिन सकिन्छ।
1094:厨师	厨师	厨师	စားဖိုမှူး	ဒီစားဖိုမှူးက ဟင်းချက်တာ အလွန်မြန်တယ်။	ចុងភៅ	ចុងភៅរូបនេះធ្វើម្ហូបលឿនណាស់។	ພໍ່ຄົວ; ແມ່ຄົວ	ພໍ່ຄົວຄົນນີ້ເຮັດອາຫານໄວຫຼາຍ.	शेफ; भान्से	यो शेफले खाना धेरै छिटो पकाउँछ।
1095:窗	窗	窗	ပြတင်းပေါက်	ကျေးဇူးပြု၍ ပြတင်းပေါက်ကို နည်းနည်းဖွင့်ပါ။	បង្អួច	សូមបើកបង្អួចបន្តិច។	ປ່ອງຢ້ຽມ	ກະລຸນາເປີດປ່ອງຢ້ຽມໜ້ອຍໜຶ່ງ.	झ्याल	कृपया झ्याल अलि खोल्नुहोस्।
1099:此	此	此	ဤ; ဒီနေရာ	ဒီနေရာမှာ ကားရပ်ခွင့်မရှိပါ။	នេះ; ទីនេះ	ទីនេះហាមចតឡាន។	ນີ້; ທີ່ນີ້	ທີ່ນີ້ຫ້າມຈອດລົດ.	यो; यहाँ	यहाँ पार्किङ निषेध छ।
1100:此次	此次	此次	ဒီတစ်ကြိမ်	ဒီတစ်ကြိမ်အစည်းအဝေးက အရေးကြီးတယ်။	លើកនេះ	កិច្ចប្រជុំលើកនេះសំខាន់ណាស់។	ຄັ້ງນີ້	ການປະຊຸມຄັ້ງນີ້ສຳຄັນຫຼາຍ.	यस पटक	यस पटकको बैठक धेरै महत्त्वपूर्ण छ।
1104:从中	从中	从中	အဲဒီထဲက; ထိုအရာထဲမှ	သူ အဲဒီထဲက အများကြီး သင်ယူခဲ့တယ်။	ពីក្នុងនោះ	គាត់បានរៀនបានច្រើនពីក្នុងនោះ។	ຈາກໃນນັ້ນ	ລາວໄດ້ຮຽນຮູ້ຫຼາຍຈາກໃນນັ້ນ.	त्यसबाट; तीमध्येबाट	उसले त्यसबाट धेरै कुरा सिक्यो।
1105:粗	粗	粗	ထူသော; ကြမ်းသော	ဒီကြိုးက အတော်ထူတယ်။	ក្រាស់; រដុប	ខ្សែនេះក្រាស់គួរសម។	ໜາ; ຫຍາບ	ເຊືອກເສັ້ນນີ້ຄ່ອນຂ້າງໜາ.	बाक्लो; खस्रो	यो डोरी तुलनात्मक रूपमा बाक्लो छ।
1107:村	村	村	ရွာ	အဘွားက ရွာငယ်တစ်ရွာမှာ နေတယ်။	ភូមិ	យាយរស់នៅក្នុងភូមិតូចមួយ។	ບ້ານ	ແມ່ຕູ້ອາໄສຢູ່ບ້ານນ້ອຍໜຶ່ງ.	गाउँ	हजुरआमा एउटा सानो गाउँमा बस्नुहुन्छ।
1109:错过	错过	错过	လွတ်သွားသည်	မနက်ဖြန်ပြိုင်ပွဲကို မလွတ်သွားစေနဲ့။	ខកខាន	កុំខកខានការប្រកួតថ្ងៃស្អែក។	ພາດ	ຢ່າພາດການແຂ່ງຂັນມື້ອື່ນ.	छुटाउनु	भोलिको खेल नछुटाउनु।
1112:答	答	答	ဖြေသည်	သူ ဒီမေးခွန်းကို အလွန်မြန်မြန် ဖြေထုတ်ခဲ့တယ်။	ឆ្លើយ	គាត់ឆ្លើយសំណួរនេះបានយ៉ាងលឿន។	ຕອບ	ລາວຕອບຄຳຖາມນີ້ໄດ້ໄວຫຼາຍ.	जवाफ दिनु	उसले यो प्रश्न धेरै छिटो जवाफ दियो।
1116:打败	打败	打败	အနိုင်ယူသည်	နောက်ဆုံးမှာ သူတို့က အင်အားကြီးအသင်းကို အနိုင်ယူခဲ့တယ်။	ឈ្នះ; កម្ចាត់	ចុងក្រោយពួកគេបានឈ្នះក្រុមខ្លាំង។	ເອົາຊະນະ	ສຸດທ້າຍພວກເຂົາເອົາຊະນະທີມແຂງໄດ້.	हराउनु; पराजित गर्नु	अन्ततः उनीहरूले बलियो टोलीलाई हराए।
1120:打印机	打印机	打印机	ပရင်တာ	ရုံးထဲက ပရင်တာ ပျက်နေတယ်။	ម៉ាស៊ីនព្រីន	ម៉ាស៊ីនព្រីនក្នុងការិយាល័យខូចហើយ។	ເຄື່ອງພິມ	ເຄື່ອງພິມໃນຫ້ອງການເສຍແລ້ວ.	प्रिन्टर	कार्यालयको प्रिन्टर बिग्रिएको छ।
1123:大巴	大巴	大巴	ခရီးဝေးဘတ်စ်ကား	ကျွန်တော်တို့ ခရီးဝေးဘတ်စ်ကားစီးပြီး လေဆိပ်ကို သွားမယ်။	រថយន្តក្រុងធំ	យើងជិះរថយន្តក្រុងធំទៅព្រលានយន្តហោះ។	ລົດເມໃຫຍ່	ພວກເຮົາຂຶ້ນລົດເມໃຫຍ່ໄປສະໜາມບິນ.	लामो दूरीको बस	हामी लामो दूरीको बस चढेर विमानस्थल जान्छौँ।
1124:大大	大大	大大	အလွန်; များစွာ	ဒီလှုပ်ရှားမှုက စိတ်ဝင်စားမှုကို အလွန်တိုးစေခဲ့တယ်။	យ៉ាងខ្លាំង	សកម្មភាពនេះបានបង្កើនចំណាប់អារម្មណ៍យ៉ាងខ្លាំង។	ຢ່າງຫຼາຍ	ກິດຈະກຳນີ້ເພີ່ມຄວາມສົນໃຈຢ່າງຫຼາຍ.	धेरै; निकै	यस गतिविधिले रुचि धेरै बढायो।
1126:大量	大量	大量	များပြားသော ပမာဏ	စူပါမားကက်ထဲမှာ လတ်ဆတ်တဲ့အသီးများ များပြားစွာရှိတယ်။	ចំនួនច្រើន	ក្នុងផ្សារទំនើបមានផ្លែឈើស្រស់ចំនួនច្រើន។	ຈຳນວນຫຼາຍ	ໃນຊູເປີມາເກັດມີໝາກໄມ້ສົດຈຳນວນຫຼາຍ.	ठूलो परिमाण	सुपरमार्केटमा ताजा फलफूल ठूलो परिमाणमा छन्।
1127:大赛	大赛	大赛	ပြိုင်ပွဲကြီး	ကျောင်းက လာမယ့်အပတ်မှာ တရုတ်ဘာသာပြိုင်ပွဲကြီး ကျင်းပမယ်။	ការប្រកួតធំ	សាលានឹងរៀបចំការប្រកួតភាសាចិននៅសប្តាហ៍ក្រោយ។	ການແຂ່ງຂັນໃຫຍ່	ໂຮງຮຽນຈະຈັດການແຂ່ງຂັນພາສາຈີນໃນອາທິດໜ້າ.	ठूलो प्रतियोगिता	विद्यालयले अर्को हप्ता चिनियाँ भाषा प्रतियोगिता आयोजना गर्नेछ।
1128:大厅	大厅	大厅	ခန်းမ; ဧည့်ခန်းမ	ဧည့်သည်တွေက ဧည့်ခန်းမထဲမှာ ကားကို စောင့်နေကြတယ်။	សាលធំ; កន្លែងរង់ចាំ	ភ្ញៀវកំពុងរង់ចាំរថយន្តនៅសាលធំ។	ຫ້ອງໂຖງ; ລັອບບີ້	ແຂກກຳລັງລໍຖ້າລົດຢູ່ຫ້ອງໂຖງ.	हल; लबी	अतिथिहरू लबीमा गाडी पर्खिरहेका छन्।
1130:大自然	大自然	大自然	သဘာဝ	ကလေးတွေက သဘာဝထဲမှာ ကစားရတာ ကြိုက်ကြတယ်။	ធម្មជាតិ	កុមារចូលចិត្តលេងក្នុងធម្មជាតិ។	ທຳມະຊາດ	ເດັກນ້ອຍມັກຫຼິ້ນຢູ່ໃນທຳມະຊາດ.	प्रकृति	बालबालिकाहरू प्रकृतिमा खेल्न मन पराउँछन्।
1131:待	待	待	နေသည်; တည်းသည်	သူ အိမ်မှာ တစ်နေ့လုံး နေခဲ့တယ်။	ស្នាក់នៅ; នៅ	គាត់នៅផ្ទះពេញមួយថ្ងៃ។	ຢູ່; ພັກ	ລາວຢູ່ບ້ານໝົດມື້.	बस्नु; रहनु	ऊ घरमा एक दिनभरि बस्यो।
1133:袋子	袋子	袋子	အိတ်	ကျေးဇူးပြု၍ အသီးတွေကို အိတ်ထဲ ထည့်ပါ။	ថង់	សូមដាក់ផ្លែឈើចូលក្នុងថង់។	ຖົງ	ກະລຸນາເອົາໝາກໄມ້ໃສ່ໃນຖົງ.	झोला	कृपया फलफूल झोलामा राख्नुहोस्।
1140:道	道	道	မေးခွန်းအတွက် ရေတွက်စကား; လမ်း	ဒီမေးခွန်းက မခက်ဘူး။	ពាក្យរាប់សម្រាប់សំណួរ; ផ្លូវ	សំណួរនេះមិនពិបាកទេ។	ລັກສະນະນາມສຳລັບຄຳຖາມ; ຖະໜົນ	ຄຳຖາມນີ້ບໍ່ຍາກ.	प्रश्नको गणक; बाटो	यो प्रश्न गाह्रो छैन।
1142:到来	到来	到来	ရောက်လာသည်; ရောက်လာခြင်း	နွေဦးရောက်လာတာက လူတွေကို ပျော်ရွှင်စေတယ်။	មកដល់; ការមកដល់	ការមកដល់នៃនិទាឃរដូវធ្វើឱ្យមនុស្សសប្បាយចិត្ត។	ມາຮອດ; ການມາຮອດ	ການມາຮອດຂອງລະດູບານໃໝ່ເຮັດໃຫ້ຄົນດີໃຈ.	आगमन; आइपुग्नु	वसन्तको आगमनले मानिसलाई खुसी बनाउँछ।
1143:道路	道路	道路	လမ်း	ဒီလမ်းက ရွာဆီကို သွားတယ်။	ផ្លូវ	ផ្លូវនេះនាំទៅកាន់ភូមិ។	ຖະໜົນ	ຖະໜົນສາຍນີ້ນຳໄປຫາບ້ານ.	सडक	यो सडक गाउँतिर जान्छ।
1146:登机	登机	登机	လေယာဉ်တက်သည်	ကျေးဇူးပြု၍ နာရီဝက်စောပြီး လေယာဉ်တက်ပါ။	ឡើងយន្តហោះ	សូមឡើងយន្តហោះមុនកន្លះម៉ោង។	ຂຶ້ນເຮືອບິນ	ກະລຸນາຂຶ້ນເຮືອບິນລ່ວງໜ້າເຄິ່ງຊົ່ວໂມງ.	विमान चढ्नु	कृपया आधा घण्टा अगाडि विमान चढ्नुहोस्।
1148:等到	等到	等到	စောင့်ပြီးမှ	မိုးတိတ်တဲ့အထိ စောင့်ပြီးမှ ကျွန်တော်တို့ ထွက်မယ်။	រង់ចាំរហូតដល់	រង់ចាំរហូតដល់ភ្លៀងឈប់ ហើយយើងនឹងចេញដំណើរ។	ລໍຖ້າຈົນຮອດ	ລໍຖ້າຈົນຝົນຢຸດແລ້ວພວກເຮົາຄ່ອຍໄປ.	पर्खेर पछि	पानी रोकिएपछि हामी निस्कन्छौँ।
1150:低价	低价	低价	ဈေးနိမ့်	ဒီဆိုင်က ဈေးနိမ့် လေယာဉ်လက်မှတ်တွေ မကြာခဏ ရောင်းတယ်။	តម្លៃទាប	ហាងនេះជាញឹកញាប់លក់សំបុត្រយន្តហោះតម្លៃទាប។	ລາຄາຕ່ຳ	ຮ້ານນີ້ມັກຂາຍປີ້ຍົນລາຄາຕ່ຳ.	कम मूल्य	यो पसलले प्रायः कम मूल्यका हवाई टिकट बेच्छ।
1151:低温	低温	低温	အပူချိန်နိမ့်	အပူချိန်နိမ့်တဲ့ရာသီဥတုမှာ အဝတ်ပိုဝတ်သင့်တယ်။	សីតុណ្ហភាពទាប	អាកាសធាតុសីតុណ្ហភាពទាប គួរពាក់អាវបន្ថែម។	ອຸນຫະພູມຕ່ຳ	ໃນອາກາດອຸນຫະພູມຕ່ຳ ຄວນໃສ່ເສື້ອຫຼາຍຂຶ້ນ.	कम तापक्रम	कम तापक्रमको मौसममा बढी लुगा लगाउनुपर्छ।
1152:低于	低于	低于	ထက်နိမ့်သည်	ဒီနေ့ အပူချိန်က မနေ့ကထက် နိမ့်တယ်။	ទាបជាង	សីតុណ្ហភាពថ្ងៃនេះទាបជាងម្សិលមិញ។	ຕ່ຳກວ່າ	ອຸນຫະພູມມື້ນີ້ຕ່ຳກວ່າມື້ວານ.	भन्दा कम हुनु	आजको तापक्रम हिजोको भन्दा कम छ।
