source_headword	KM	example_KM
eye	ភ្នែក	ភ្នែករបស់នាងពណ៌ខៀវ។
face	មុខ	លាងមុខរបស់អ្នក។
fact	ការពិត; ព័ត៌មាន	នេះជាព័ត៌មានសំខាន់។
fall	ធ្លាក់	ស្លឹកឈើធ្លាក់នៅរដូវស្លឹកឈើជ្រុះ។
false	មិនពិត; ខុស	ចម្លើយខុស។
family	គ្រួសារ	គ្រួសារខ្ញុំធំ។
famous	ល្បី	គាត់ជាអ្នកចម្រៀងល្បី។
fantastic	អស្ចារ្យ	រូបភាពនេះអស្ចារ្យ។
far	ឆ្ងាយ	ស្ថានីយ៍មិនឆ្ងាយទេ។
farm	កសិដ្ឋាន	ពួកគេរស់នៅលើកសិដ្ឋាន។
farmer	កសិករ	កសិករធ្វើការនៅវាល។
fast	លឿន	រថភ្លើងទៅលឿន។
fat	ធាត់	ឆ្មាធាត់បន្តិច។
father	ឪពុក; ប៉ា	ប៉ាខ្ញុំជាគ្រូ។
favourite	ដែលចូលចិត្តបំផុត	ត្រីជាអាហារដែលខ្ញុំចូលចិត្តបំផុត។
February	ខែកុម្ភៈ	ខែកុម្ភៈជាខែខ្លី។
feel	មានអារម្មណ៍	ថ្ងៃនេះខ្ញុំមានអារម្មណ៍ល្អ។
feeling	អារម្មណ៍	ខ្ញុំមានអារម្មណ៍ល្អ។
festival	ពិធីបុណ្យ	យើងច្រៀងនៅពិធីបុណ្យ។
few	បន្តិច; មួយចំនួន	ខ្ញុំមានប្រាក់បន្តិច។
fifteen	ដប់ប្រាំ	មានសិស្សដប់ប្រាំនាក់ក្នុងថ្នាក់។
fifth	ទីប្រាំ	គាត់រស់នៅជាន់ទីប្រាំ។
fifty	ហាសិប	សំបុត្រមានតម្លៃហាសិបរៀល។
fill	បំពេញ	បំពេញកែវដោយទឹក។
film	ខ្សែភាពយន្ត	យើងមើលខ្សែភាពយន្តមួយ។
final	ចុងក្រោយ	នេះជាចម្លើយចុងក្រោយ។
find	រកឃើញ	ខ្ញុំរកឃើញសោរបស់ខ្ញុំ។
fine	ល្អ; សុខសប្បាយ	ខ្ញុំសុខសប្បាយ។
finish	បញ្ចប់	ខ្ញុំបញ្ចប់ការងារ។
fire	ភ្លើង	ភ្លើងក្តៅ។
first	ដំបូង; ទីមួយ	គាត់ឆ្លើយសំណួរទីមួយ។
fish	ត្រី	ខ្ញុំញ៉ាំត្រី។
five	ប្រាំ	ខ្ញុំមានសៀវភៅប្រាំ។
flat	អាផាតមិន	អាផាតមិនរបស់ខ្ញុំតូច។
flight	ជើងហោះហើរ	ជើងហោះហើររបស់យើងនៅម៉ោងប្រាំបីព្រឹក។
floor	កម្រាល; ជាន់	កាបូបនៅលើកម្រាល។
flower	ផ្កា	ផ្កានេះស្អាត។
fly	ហោះ	បក្សីហោះនៅលើមេឃ។
follow	តាម	សូមតាមខ្ញុំ។
food	អាហារ	អាហាររួចរាល់ហើយ។
foot	ជើង	ជើងរបស់គាត់ឈឺ។
football	បាល់ទាត់	យើងលេងបាល់ទាត់ថ្ងៃនេះ។
for	សម្រាប់	អំណោយនេះសម្រាប់អ្នក។
forget	ភ្លេច	កុំភ្លេចសៀវភៅរបស់អ្នក។
form	សំណុំបែបបទ; ទម្រង់	បំពេញសំណុំបែបបទនេះ។
forty	សែសិប	សៀវភៅមានតម្លៃសែសិបរៀល។
four	បួន	មានពែងបួននៅលើតុ។
fourteen	ដប់បួន	ប្អូនស្រីខ្ញុំអាយុដប់បួនឆ្នាំ។
fourth	ទីបួន	គាត់អង្គុយនៅជួរទីបួន។
free	ឥតគិតថ្លៃ; សេរី	សំបុត្រនេះឥតគិតថ្លៃ។
Friday	ថ្ងៃសុក្រ	យើងមានការប្រឡងនៅថ្ងៃសុក្រ។
friend	មិត្តភក្តិ	មិត្តភក្តិខ្ញុំរស់នៅទីនេះ។
friendly	រួសរាយ	គ្រូថ្មីរួសរាយ។
from	ពី	ខ្ញុំមកពីភ្នំពេញ។
front	ខាងមុខ	ហាងនៅខាងមុខសាលា។
fruit	ផ្លែឈើ	ខ្ញុំញ៉ាំផ្លែឈើរាល់ថ្ងៃ។
full	ពេញ	ឡានក្រុងពេញ។
fun	ភាពសប្បាយ	ល្បែងនេះសប្បាយ។
funny	កំប្លែង	រឿងរបស់គាត់កំប្លែង។
future	អនាគត	ខ្ញុំចង់ក្លាយជាគ្រូពេទ្យនៅអនាគត។
game	ល្បែង	ល្បែងនេះងាយស្រួល។
garden	សួនច្បារ	មានផ្កានៅក្នុងសួនច្បារ។
geography	ភូមិសាស្ត្រ	ខ្ញុំរៀនភូមិសាស្ត្រ។
get	ទទួល; យក	ខ្ញុំទទួលសៀវភៅថ្មីមួយ។
girl	ក្មេងស្រី	ក្មេងស្រីច្រៀង។
girlfriend	មិត្តស្រី	មិត្តស្រីរបស់គាត់រស់នៅក្នុងទីក្រុង។
give	ឱ្យ	ឱ្យលេខទូរស័ព្ទរបស់អ្នកមកខ្ញុំ។
glass	កែវ; កញ្ចក់	មានទឹកក្នុងកែវ។
go	ទៅ	យើងទៅផ្ទះឥឡូវនេះ។
good	ល្អ	អាកាសធាតុល្អថ្ងៃនេះ។
goodbye	លាហើយ	លាហើយ ជួបគ្នាថ្ងៃស្អែក។
grandfather	ជីតា	ជីតារបស់ខ្ញុំកំពុងដើរ។
grandmother	ជីដូន	ជីដូនរបស់ខ្ញុំកំពុងចម្អិន។
grandparent	ជីដូនជីតា	ជីដូនជីតារបស់ខ្ញុំនៅជិត។
great	អស្ចារ្យ; ធំធេង	គំនិតរបស់អ្នកអស្ចារ្យ។
green	បៃតង	ស្មៅពណ៌បៃតង។
grey	ប្រផេះ	មេឃពណ៌ប្រផេះ។
group	ក្រុម	ក្រុមរបស់យើងតូច។
grow	លូតលាស់	ដើមឈើលូតលាស់លឿន។
guess	ទាយ	ទាយចម្លើយ។
guitar	ហ្គីតា	គាត់លេងហ្គីតា។
gym	កន្លែងហាត់ប្រាណ	ខ្ញុំទៅកន្លែងហាត់ប្រាណ។
hair	សក់	សក់របស់នាងវែង។
half	ពាក់កណ្តាល	ខ្ញុំញ៉ាំនំប៉័ងពាក់កណ្តាល។
hand	ដៃ	លាងដៃរបស់អ្នក។
happen	កើតឡើង	មានអ្វីកើតឡើងនៅទីនេះ?
happy	រីករាយ	ថ្ងៃនេះខ្ញុំរីករាយ។
hard	ពិបាក; រឹង	ការងារនេះពិបាក។
hat	មួក	គាត់ពាក់មួកពណ៌ខៀវ។
hate	ស្អប់	ខ្ញុំស្អប់ការកុហក។
have	មាន	ខ្ញុំមានឡានមួយ។
have to modal	ត្រូវតែ	ខ្ញុំត្រូវតែទៅឥឡូវនេះ។
he	គាត់	គាត់ជាបងប្រុសរបស់ខ្ញុំ។
head	ក្បាល	ក្បាលខ្ញុំឈឺ។
health	សុខភាព	សុខភាពសំខាន់។
healthy	មានសុខភាពល្អ	អាហារនេះមានសុខភាពល្អ។
hear	ឮ	ខ្ញុំឮសំឡេងរបស់អ្នក។
hello	សួស្តី	សួស្តី អ្នកសុខសប្បាយទេ?
help	ជំនួយ; ជួយ	សូមជួយខ្ញុំ។
her	របស់នាង; នាង	ខ្ញុំឃើញនាង។
here	ទីនេះ	សៀវភៅនៅទីនេះ។
hey	ហេ	ហេ មកទីនេះ។
hi	សួស្តី	សួស្តី ខ្ញុំឈ្មោះរ៉ាហុល។
high	ខ្ពស់	ភ្នំខ្ពស់។
him	គាត់	ខ្ញុំស្គាល់គាត់។
his	របស់គាត់	នេះជាសៀវភៅរបស់គាត់។
history	ប្រវត្តិសាស្ត្រ	យើងរៀនប្រវត្តិសាស្ត្រ។
hobby	ចំណង់ចំណូលចិត្ត	ចំណង់ចំណូលចិត្តខ្ញុំគឺស្តាប់តន្ត្រី។
holiday	ថ្ងៃឈប់សម្រាក	យើងមានថ្ងៃឈប់សម្រាកថ្ងៃស្អែក។
home	ផ្ទះ	ខ្ញុំនៅផ្ទះ។
homework	កិច្ចការផ្ទះ	ខ្ញុំបញ្ចប់កិច្ចការផ្ទះ។
hope	សង្ឃឹម; ក្តីសង្ឃឹម	ខ្ញុំសង្ឃឹមថាអ្នកនឹងមក។
horse	សេះ	សេះរត់លឿន។
hospital	មន្ទីរពេទ្យ	មន្ទីរពេទ្យនៅជិត។
hot	ក្តៅ	តែក្តៅ។
hotel	សណ្ឋាគារ	យើងស្នាក់នៅសណ្ឋាគារ។
hour	ម៉ោង	ថ្នាក់មានរយៈពេលមួយម៉ោង។
house	ផ្ទះ	ផ្ទះរបស់ពួកគេធំ។
how	យ៉ាងដូចម្តេច	អ្នកទៅសាលាយ៉ាងដូចម្តេច?
however	ទោះយ៉ាងណា	ខ្ញុំនឿយហត់ទោះយ៉ាងណាខ្ញុំនឹងទៅ។
hundred	មួយរយ	មានមនុស្សមួយរយនាក់នៅទីនេះ។
hungry	ឃ្លាន	ឥឡូវខ្ញុំឃ្លាន។
husband	ប្តី	ប្តីរបស់នាងជាគ្រូពេទ្យ។
I	ខ្ញុំ	ខ្ញុំរៀនភាសាអង់គ្លេស។
ice	ទឹកកក	ទឹកកកត្រជាក់។
ice cream	ការ៉េម	កុមារញ៉ាំការ៉េម។
idea	គំនិត	គំនិតរបស់អ្នកល្អ។
if	ប្រសិនបើ	ប្រសិនបើភ្លៀង ខ្ញុំនឹងនៅផ្ទះ។
imagine	ស្រមៃ	ស្រមៃផ្ទះធំមួយ។
important	សំខាន់	ច្បាប់នេះសំខាន់។
improve	ធ្វើឱ្យប្រសើរ	ខ្ញុំធ្វើឱ្យភាសាអង់គ្លេសរបស់ខ្ញុំប្រសើរ។
in	នៅក្នុង	សៀវភៅនៅក្នុងកាបូប។
include	រួមបញ្ចូល	តម្លៃរួមបញ្ចូលអាហារ។
information	ព័ត៌មាន	ខ្ញុំត្រូវការព័ត៌មានបន្ថែម។
interest	ចំណាប់អារម្មណ៍; ការប្រាក់	គាត់មានចំណាប់អារម្មណ៍លើតន្ត្រី។
interested	ចាប់អារម្មណ៍	ខ្ញុំចាប់អារម្មណ៍លើប្រវត្តិសាស្ត្រ។
interesting	គួរឱ្យចាប់អារម្មណ៍	សៀវភៅនេះគួរឱ្យចាប់អារម្មណ៍។
internet	អ៊ីនធឺណិត	អ៊ីនធឺណិតយឺតថ្ងៃនេះ។
interview	សម្ភាសន៍	ខ្ញុំមានសម្ភាសន៍នៅថ្ងៃចន្ទ។
into	ចូលក្នុង	គាត់ចូលក្នុងបន្ទប់។
introduce	ណែនាំ	ខ្ញុំណែនាំអ្នកឱ្យស្គាល់មិត្តខ្ញុំ។
island	កោះ	កោះនេះតូច។
it	វា	វាជាទូរស័ព្ទរបស់ខ្ញុំ។
its	របស់វា	ឆ្មាស៊ីអាហាររបស់វា។
jacket	អាវក្រៅ	គាត់ពាក់អាវក្រៅពណ៌ខ្មៅ។
January	ខែមករា	អាកាសធាតុត្រជាក់នៅខែមករា។
jeans	ខោខូវប៊យ	ខ្ញុំពាក់ខោខូវប៊យពណ៌ខៀវ។
job	ការងារ	គាត់មានការងារថ្មី។
join	ចូលរួម	ចូលរួមក្រុមរបស់យើង។
journey	ដំណើរ	ដំណើរនេះវែង។
juice	ទឹកផ្លែឈើ	ខ្ញុំផឹកទឹកក្រូច។
July	ខែកក្កដា	ខែកក្កដាក្តៅ។
June	ខែមិថុនា	យើងធ្វើដំណើរនៅខែមិថុនា។
just	គ្រាន់តែ; ទើបតែ	ខ្ញុំគ្រាន់តែចង់បានទឹក។
keep	រក្សា; ទុក	ទុកសោនៅទីនេះ។
key	សោ; គន្លឹះ	សោរបស់ខ្ញុំនៅឯណា?
kilometre	គីឡូម៉ែត្រ	ស្ថានីយ៍ឆ្ងាយពីរគីឡូម៉ែត្រ។
kind (type)	ប្រភេទ	អ្នកចូលចិត្តតន្ត្រីប្រភេទណា?
kitchen	ផ្ទះបាយ	ម៉ាក់នៅក្នុងផ្ទះបាយ។
know	ដឹង	ខ្ញុំដឹងចម្លើយ។
land	ដី; ចុះចត	យន្តហោះចុះចតលើដី។
language	ភាសា	ភាសាខ្មែរជាភាសាមួយ។
large	ធំ	ខ្ញុំមានកាបូបធំមួយ។
last1 (final)	ចុងក្រោយ	នេះជាឡានក្រុងចុងក្រោយ។
late	យឺត	ថ្ងៃនេះខ្ញុំមកយឺត។
later	ពេលក្រោយ	ខ្ញុំនឹងទូរស័ព្ទពេលក្រោយ។
laugh	សើច	កុមារសើចខ្លាំង។
learn	រៀន	ខ្ញុំរៀនពាក្យថ្មី។
leave	ចាកចេញ; ទុក	យើងចាកចេញពីផ្ទះឥឡូវនេះ។
left	ខាងឆ្វេង; នៅសល់	បត់ទៅខាងឆ្វេង។
leg	ជើង	ជើងរបស់គាត់វែង។
lesson	មេរៀន	មេរៀនថ្ងៃនេះងាយស្រួល។
let	អនុញ្ញាត	អនុញ្ញាតឱ្យខ្ញុំសាកល្បង។
letter	សំបុត្រ; អក្សរ	ខ្ញុំសរសេរសំបុត្រមួយ។
library	បណ្ណាល័យ	មានសៀវភៅច្រើននៅបណ្ណាល័យ។
lie1	ដេក	សូមដេកលើគ្រែ។
life	ជីវិត	ជីវិតស្រស់ស្អាត។
like (similar)	ដូច	កាបូបនេះដូចកាបូបរបស់ខ្ញុំ។
like (find sb/sth pleasant)	ចូលចិត្ត	ខ្ញុំចូលចិត្តបទចម្រៀងនេះ។
line	ជួរ; បន្ទាត់	ឈរនៅក្នុងជួរ។
lion	សិង្ហ	សិង្ហធំ។
list	បញ្ជី	ខ្ញុំមានបញ្ជីទិញទំនិញ។
listen	ស្តាប់	សូមស្តាប់ដោយយកចិត្តទុកដាក់។
little	តូច; បន្តិច	ខ្ញុំមានពេលបន្តិច។
live1	រស់នៅ	ខ្ញុំរស់នៅក្នុងទីក្រុង។
local	មូលដ្ឋាន	យើងទៅផ្សារមូលដ្ឋាន។
long1	វែង	ផ្លូវវែង។
look	មើល	មើលរូបភាព។
lose	បាត់; ចាញ់	ប៊ិចរបស់ខ្ញុំបាត់។
lot	ច្រើន	ខ្ញុំមានការងារច្រើន។
love	ស្រឡាញ់; សេចក្ដីស្រឡាញ់	ខ្ញុំស្រឡាញ់គ្រួសាររបស់ខ្ញុំ។
lunch	អាហារថ្ងៃត្រង់	អាហារថ្ងៃត្រង់រួចរាល់ហើយ។
