simplified	FI	example_FI
不愧	olla nimensä veroinen	Hän on todella nimensä veroinen kokenut asiantuntija
不料	odottamatta	Odottamatta kokous peruttiin äkkiä
不像话	törkeä	On törkeää kohdella vieraita näin
不屑一顾	torjua halveksien	Hän torjui nämä huhut halveksien
哺乳	imettää	Äiti imettää vauvaa
捕捉	tallentaa	Valokuvaaja tallensi hienon hetken
补偿	korvata	Yhtiö korvaa tappiosi
补救	korjata	Meillä on vielä aikaa korjata asia
补贴	tuki	Hallitus myöntää tukia pienituloisille perheille
不得已	ei olla muuta vaihtoehtoa	Hän lähti kotiseudultaan vain koska hänellä ei ollut muuta vaihtoehtoa
不妨	voisi hyvin	Voisit hyvin kuunnella ensin hänen selityksensä
不敢当	en ansaitse sitä	Kun kehutte minua näin, en todella ansaitse sitä
不禁	ei voinut olla nauramatta	Kuultuaan uutisen hän ei voinut olla nauramatta
不堪	sietämätön	Täällä oleva melu on sietämätöntä
不可思议	uskomaton	Tämä tulos on todella uskomaton
不免	väistämättä	Ensimmäistä kertaa lavalla hän oli väistämättä hieman hermostunut
不时	aina välillä	Hän nosti aina välillä katseensa kelloon
不惜	olla epäröimättä	Pelastaakseen ihmisen hän oli epäröimättä valmis ottamaan riskin
不相上下	tasaväkinen	Nämä kaksi joukkuetta ovat tasaväkisiä
不言而喻	selvä sanomattakin	Rehellisyyden tärkeys on selvä sanomattakin
不由得	ei voinut olla	Muistellessaan vanhaa kuvaa hän ei voinut olla ajattelematta lapsuutta
不择手段	kaikin keinoin	Hän käyttää kaikin keinoin rahaa ansaitakseen
不止	yli	Kokoukseen osallistui yli sata ihmistä
布告	ilmoitus	Koulun portille kiinnitettiin ilmoitus
布局	pohjaratkaisu	Tämän asunnon pohjaratkaisu on hyvin järkevä
布置	antaa	Opettaja antoi uuden kotitehtävän
步伐	askel	Joukkue eteni tasaisin askelin
部署	ottaa käyttöön	Yhtiö ottaa käyttöön uutta myyntisuunnitelmaa
部位	kohta	Lääkäri tutki loukkaantuneen kohdan
才干	pätevyys	Hänellä on paljon pätevyyttä johtamisessa
裁缝	räätäli	Tällä räätälillä on erittäin hyvä käsityötaito
裁判	tuomari	Tuomari ilmoitti ottelun keskeytyvän
裁员	irtisanoa työntekijöitä	Yhtiö päätti irtisanoa työntekijöitä tappioiden vuoksi
财富	rikkaus	Tieto on myös eräänlainen rikkaus
财务	talousosasto	Talousosasto tarkistaa tilejä
财政	julkinen talous	Julkisen talouden tulot ovat kasvaneet tänä vuonna jonkin verran
彩票	arpalippu	Hän ostaa silloin tällöin arpalipun
采购	hankkia	Yhtiö lähetti jonkun hankkimaan laitteita
采集	kerätä	Tutkijat keräsivät näytteitä metsässä
采纳	hyväksyä	Johtaja hyväksyi ehdotuksemme
参谋	neuvoa	Hän neuvoo usein johtajaa
参照	noudattaa	Täytä lomake tämän muodon mukaan
残疾	vammainen	Tämä asema tarjoaa apua vammaisille matkustajille
残酷	julma	Sota on hyvin julma
残留	jäädä jäljelle	Kuppiin jäi vielä kahvin tuoksua
残忍	julma	Eläinten kaltoinkohtelu on julmaa käytöstä
灿烂	säteilevä	Hän näytti säteilevän hymyn
仓促	hätäinen	Tämä päätös tehtiin liian hätäisesti
仓库	varasto	Tavarat on jo toimitettu varastoon
舱	hytti	Matkustajat astuvat lentokoneen hyttiin
苍白	kalpea	Hänen kasvonsa näyttivät hyvin kalpeilta
操劳	raataa	Äiti on raadannut tämän perheen eteen monta vuotta
操练	harjoitella	Sotilaat harjoittelevat joka aamu
操纵	ohjata	Tätä konetta ohjataan tietokoneella
操作	käyttää	Käytä laitetta ohjeiden mukaan
嘈杂	meluisa	Asemalla on hyvin meluisaa
草案	luonnos	Valiokunta käsittelee parhaillaan luonnosta
草率	hätiköity	Näin tärkeää päätöstä ei saa tehdä hätiköiden
侧面	sivupuoli	Sivulta katsottuna rakennus näyttää korkeammalta
测量	mitata	Insinööri mittaa sillan pituutta
策划	suunnitella	He suunnittelivat suuren tapahtuman
策略	strategia	Tämä strategia auttoi yritystä pienentämään kustannuksia
层出不穷	ilmaantua jatkuvasti	Uusia ongelmia ilmaantuu jatkuvasti
层次	rakenne	Tämän artikkelin rakenne on hyvin selkeä
差别	ero	Näiden kahden menetelmän välillä ei ole suurta eroa
插座	pistorasia	Tässä huoneessa ei ole tarpeeksi pistorasioita
查获	takavarikoida	Tulli takavarikoi erän väärennettyjä tuotteita
刹那	hetki	Hetkessä kaikki valot sammuivat
岔	haarautuma	Autot haarautuivat edessä olevassa risteyksessä
诧异	hämmästynyt	Hänen päätöksensä teki kaikki hyvin hämmästyneiksi
柴油	diesel	Tämä kuorma-auto käyttää dieseliä
搀	taluttaa käsivarresta	Hoitaja talutti vanhuksen osastolle
缠绕	kietoutua	Köynnökset kietoutuvat oksien ympärille
馋	tehdä mieli	Kakun nähdessään lapsen alkoi tehdä mieli makeaa
产业	toimiala	Matkailu on täällä tärkeä toimiala
阐述	selittää perusteellisesti	Professori selitti näkemyksensä yksityiskohtaisesti
颤抖	vapista	Hän vapisi kauttaaltaan kylmästä
昌盛	kukoistava	Toivomme maan olevan vauras ja kukoistava
偿还	maksaa takaisin	Hän maksoi lainan takaisin ajallaan
尝试	kokeilla	Voimme kokeilla uutta menetelmää
场合	tilaisuus	Tällaisessa tilaisuudessa ei sovi vitsailla
场面	tilanne	Häiden tunnelma oli hyvin vilkas
场所	paikka	Tämä on julkinen paikka, älä tupakoi
敞开	avata apposen auki	Jätä ikkuna hetkeksi apposen auki
倡导	kannattaa	Koulu kannattaa terveellistä elämäntapaa
倡议	aloite	Tämä ympäristöaloite sai tukea
畅通	esteetön	Sateen lakattua tie oli taas esteetön
畅销	myydä hyvin	Tämä romaani myy erittäin hyvin
超越	ylittää	Hän ylitti lopulta oman ennätyksensä
钞票	seteli	Lompakossa oli jäljellä vain muutama seteli
嘲笑	pilkata	Älä pilkkaa toisten puutteita
巢穴	pesä	Metsästäjä löysi eläimen pesän
朝代	dynastia	Tang-dynastia on yksi Kiinan historian dynastioista
潮流	trendi	Nuoret seuraavat tarkasti muotitrendejä
撤退	vetäytyä	Joukot vetäytyivät saatuaan käskyn
撤销	kumota	Tuomioistuin kumosi alkuperäisen tuomion
沉淀	laskeutua	Liete laskeutuu vähitellen pohjaan
沉闷	tukahduttava	Sää on tänään kuuma ja tukahduttava
沉思	mietiskellä	Hän istui ikkunan ääressä mietiskelemässä
沉重	raskas	Tämä uutinen teki kaikkien mielialasta raskaan
沉着	tyyni	Vaaran edessä pitää pysyä tyynenä
陈旧	vanhentunut	Tämä kone on jo hyvin vanhentunut
陈列	asettaa näytteille	Näyttelysalissa on esillä paljon kulttuuriesineitä
陈述	esittää	Esitä tosiasiat selkeästi
称心如意	mieluinen	Tämä työ on hänelle hyvin mieluinen
衬托	korostaa	Valkoinen seinä korostaa kukkien väriä
称号	arvonimi	Hän sai erinomaisen opettajan arvonimen
乘	kulkea	Kuljen metrolla töihin joka päivä
呈现	näyttäytyä	Taivas näyttäytyi hennon punaisena
城堡	linna	Vuoren huipulla on vanha linna
惩罚	rangaista	Koulu rankaisee lunttaavia oppilaita
成本	kustannus	Raaka-aineiden kallistuminen nosti kustannuksia
成交	tehdä kauppa	Tämä kauppa saatiin lopulta päätökseen
成天	koko päivän	Hän istuu koko päivän tietokoneen ääressä
成效	tulos	Uusi johtamistapa alkoi pian tuottaa tuloksia
成心	tahallaan	Hän ei nolannut sinua tahallaan
成员	jäsen	Jokaisen jäsenen on osallistuttava kokoukseen
承办	järjestää	Tämä yritys järjesti näyttelyn
承包	ottaa urakaksi	He ottivat tämän hankkeen urakaksi
承诺	luvata	Hän lupasi saada tehtävän valmiiksi ajoissa
橙	appelsiini	Ostin muutaman tuoreen appelsiinin
澄清	selventää	Johtaja tuli selventämään väärinkäsitystä
盛	annostella	Hän annosteli vieraalle kulhollisen keittoa
诚挚	vilpitön	Ole hyvä ja ota vastaan vilpittömät kiitokseni
秤	vaaka	Tämä vaaka ei ole kovin tarkka
吃苦	kestää vaikeuksia	Nuorten pitäisi oppia kestämään vaikeuksia
吃力	vaivalloinen	Tämän laatikon siirtäminen on hyvin vaivalloista
持久	kestävä	Menestys vaatii kestävää ponnistelua
迟钝	hidas reagoimaan	Hänen reaktionsa ovat viime aikoina olleet hieman hitaita
迟缓	hidas	Liikenne hidastui sateen jälkeen
迟疑	epäröidä	Hän epäröi hetken ennen vastaamista
赤道	päiväntasaaja	Päiväntasaajan lähellä on kuuma ympäri vuoden
赤字	alijäämä	Yritykselle syntyi tänä vuonna alijäämä
充当	toimia jonakin	Hän toimi hankkeessa koordinaattorina
充沛	energinen	Lapset ovat täynnä energiaa
充实	antoisa	Tämä kokemus teki elämästäni antoisampaa
充足	riittävä	Varaa matkalle riittävästi vettä
冲动	hetken mielijohde	Älä tee päätöstä hetken mielijohteesta
冲击	ravistella	Uusi teknologia ravisteli perinteisiä aloja
冲突	konflikti	Molemmat osapuolet yrittivät välttää konfliktin
崇拜	ihailla	Monet nuoret ihailevat tätä tiedemiestä
崇高	ylevä	Lääkärin tehtävä on ylevä
崇敬	kunnioittaa suuresti	Oppilaat kunnioittavat tätä opettajaa suuresti
重叠	mennä päällekkäin	Nämä kaksi tehtävää menevät osittain päällekkäin
稠密	tiheä	Täällä väestö on hyvin tiheää
筹备	valmistella	He valmistelevat häitä
丑恶	ruma	Hän paljasti tapahtuman ruman totuuden
出路	mahdollisuus	Koulutus voi antaa nuorille enemmän mahdollisuuksia
出卖	pettää	Hän ei pettäisi ystäviään
出身	tausta	Hän on lähtöisin tavallisesta perheestä
出神	uppoutunut	Hän uppoutui musiikin kuunteluun
出息	tulevaisuudennäkymät	Tällä lapsella on lupaava tulevaisuus
初步	alustava	Olemme päässeet alustavaan sopimukseen
除	lukuun ottamatta	Kaikki ovat saapuneet häntä lukuun ottamatta
储备	varata	Yrityksen täytyy varata enemmän varoja
储存	tallentaa	Nämä tiedot tallennetaan automaattisesti
储蓄	säästää	Hän säästää osan palkastaan joka kuukausi
处分	kurinpitoseuraamus	Koulu antoi hänelle ankaran kurinpitoseuraamuksen
处境	tilanne	Heidän nykyinen tilanteensa on hyvin vaikea
处置	käsitellä	Nämä vanhat laitteet täytyy käsitellä asianmukaisesti
触犯	rikkoa	Näin tekeminen rikkoo lakia
川流不息	jatkuva virta	Kadulla autot kulkevat jatkuvana virtana
穿越	kulkea läpi	Juna kulki pitkän tunnelin läpi
传达	välittää	Välitä tämä viesti kaikille
传单	lehtinen	Vapaaehtoiset jakoivat lehtisiä kadulla
传授	opettaa	Opettaja opetti oppilaille kokemukseen perustuvia neuvoja
船舶	alus	Satamassa on paljon aluksia
喘气	huohottaa	Hän huohotti pitkään juoksun jälkeen
串	pujottaa	Hän pujotti helmet kaulakoruksi
床单	lakana	Vaihda lakana, ole hyvä
创立	perustaa	He perustivat tämän yrityksen yhdessä
创新	innovaatio	Yrityksen kehitys vaatii jatkuvaa innovaatiota
创业	perustaa yritys	Monet nuoret päättävät perustaa yrityksen
创作	luoda	Kirjailija luo parhaillaan pitkää romaania
吹牛	kerskua	Älä kersku, näytä todisteet
吹捧	ylistää liikaa	Media ylisti tätä tuotetta liikaa
炊烟	ruoanlaittosavu	Illalla kylästä nousi ruoanlaittosavua
垂直	pystysuora	Nämä kaksi viivaa ovat kohtisuorassa toisiaan vastaan
锤	vasara	Työntekijä löi rautalevyä vasaralla
纯粹	pelkästään	Hänen apunsa perustui pelkästään hyvään tahtoon
纯洁	puhdas	Lapsen sydän on hyvin puhdas
慈善	hyväntekeväisyys	Tämä yritys osallistuu usein hyväntekeväisyystoimintaan
慈祥	lempeä	Isoäidin hymy on hyvin lempeä
磁带	kasetti	Tätä vanhaa kasettia voi vielä soittaa
雌雄	koiras ja naaras	Tämän lintulajin koiraalla ja naaraalla on eri värit
伺候	hoitaa	Hoitaja hoiti potilasta huolellisesti
刺	piikki	Ruusun oksassa on paljon piikkejä
次品	viallinen tuote	Näitä viallisia tuotteita ei voi myydä
次序	järjestys	Asettukaa jonoon järjestyksen mukaan
丛	ryhmä	Tien varrella on ryhmä luonnonkukkia
从容	rauhallinen	Hän vastasi kysymykseen rauhallisesti
凑合	kelvata	Huone ei ole suuri, mutta siinä kelpaa asua
粗鲁	töykeä	Hän puhuu liian töykeästi
窜	syöksähtää	Se kissa syöksähti yhtäkkiä sisään
摧残	tuhota	Pitkäaikainen saastuminen tuhoaa tämän metsän
脆弱	hauras	Lasiesineet ovat hyvin hauraita
搓	hieroa	Hän hieroi kylmiä käsiään
磋商	neuvotella	Molemmat osapuolet jatkavat neuvotteluja
挫折	takaisku	Jokainen kohtaa takaiskuja
搭	ottaa	Otamme bussin lentokentälle
搭档	työpari	Hän on ollut työparini monta vuotta
搭配	sopia yhteen	Tämä takki ja housut sopivat hyvin yhteen
答辩	väitöstilaisuus	Jatko-opiskelija valmistautuu tutkielmansa väitöstilaisuuteen
答复	vastaus	Anna minulle vastaus mahdollisimman pian
达成	saavuttaa	Osapuolet saavuttivat lopulta sopimuksen
打包	pakata	Tarjoilija pakkasi meille ruoantähteet mukaan
打官司	käydä oikeutta	He kävivät oikeutta sopimusriidan vuoksi
打击	isku	Tämä epäonnistuminen oli hänelle suuri isku
打架	tapella	Koulussa tappelevia oppilaita rangaistaan
打量	tarkastella	Hän tarkasteli minua päästä varpaisiin
打猎	metsästää	Täällä metsästäminen on kielletty
打仗	sotia	Kukaan ei halua sotia
大不了	pahimmassa tapauksessa	Pahimmassa tapauksessa yritämme huomenna uudelleen
大臣	ministeri	Kuningas kutsui luokseen useita ministereitä
大伙儿	kaikki	Kaikki odottavat päätöstäsi
大肆	laajamittaisesti	Kauppias mainosti uutta tuotetta laajamittaisesti
大体	pääpiirteissään	Suunnitelmassa ei pääpiirteissään ole ongelmaa
大意	pääajatus	Kerro ensin tämän artikkelin pääajatus
大致	suunnilleen	Ymmärrän suunnilleen, mitä tapahtui
歹徒	rikollinen	Poliisi sai rikollisen nopeasti kiinni
代价	hinta	Menestys vaatii usein hinnan maksamista
代理	toimia sijaisena	Hän toimii väliaikaisesti johtajan sijaisena
带领	johtaa	Opettaja johdatti oppilaat museovierailulle
怠慢	laiminlyödä	Emme saa laiminlyödä vieraita
逮捕	pidättää	Poliisi pidätti pääepäillyn
担保	taata	Pankki vaatii jonkun takaajaksi
胆怯	arka	Ensimmäisessä puheessaan hän oli hieman arka
淡季	hiljainen kausi	Lentoliput ovat halvempia matkailun hiljaisena kautena
淡水	makea vesi	Tämä kalalaji voi elää vain makeassa vedessä
蛋白质	proteiini	Kananmunissa on runsaasti proteiinia
诞辰	syntymäpäivä	Tänään on tämän kirjailijan syntymäpäivän vuosipäivä
诞生	syntyä	Tämä ajatus syntyi keskustelun aikana
当场	paikan päällä	Hän myönsi virheensä paikan päällä
当初	alun perin	Alun perin me kaikki tuimme tätä päätöstä
当代	nykyaikainen	Nykyaikainen yhteiskunta muuttuu hyvin nopeasti
当面	kasvotusten	Ongelmat on parasta selvittää kasvotusten
当前	tällä hetkellä	Tällä hetkellä tärkeintä on varmistaa turvallisuus
当事人	asianosainen	Poliisi kuulustelee asianosaista
当务之急	kiireellisin asia	Asunto-ongelman ratkaiseminen on kiireellisin asia
当选	tulla valituksi	Hän tuli sujuvasti valituksi puheenjohtajaksi
党	puolue	Tämä puolue esitti uuden politiikan
档案	arkisto	Koulu säilytti oppilaiden arkistotiedot
档次	taso	Tämän hotellin taso on korkea
倒闭	mennä konkurssiin	Se pieni kauppa meni konkurssiin viime vuonna
导弹	ohjus	Uutiset kertoivat ohjuskokeesta
导航	navigointi	Avaa puhelimen navigointi
导向	suuntautuminen	Koulutuspolitiikan pitäisi suuntautua oikeudenmukaisuuteen
捣乱	häiriköidä	Älä häiriköi oppitunnilla
盗窃	varkaus	Kauppakeskus vahvisti toimia varkauksien estämiseksi
稻谷	riisisato	Viljelijät korjaavat riisisatoa
得不偿失	ei kannata	Huonojen materiaalien ostaminen säästön vuoksi ei kannata
得力	pätevä	Hän on johtajan pätevä avustaja
得天独厚	ainutlaatuisen suotuisa	Tällä kaupungilla on ainutlaatuisen suotuisat maantieteelliset edut
得罪	loukata	En halua loukata työtovereita pikkuasian takia
灯笼	lyhty	Kevätjuhlan aikaan ovella roikkuu punaisia lyhtyjä
登录	kirjautua sisään	Kirjaudu ensin sisään tilillesi
登陆	nousta maihin	Taifuuni saattaa nousta maihin rannikkoalueella tänä iltana
蹬	polkaista	Hän polkaisi voimakkaasti, ja pyörä lähti liikkeelle
等候	odottaa	Matkustajat odottavat hallissa koneeseen nousua
等级	taso	Tässä ohjelmistossa on eri jäsenyystasoja
瞪	tuijottaa vihaisesti	Hän tuijotti minua vihaisesti
堤坝	pato	Rankkasateen jälkeen pato täytyy tarkastaa huolellisesti
敌视	suhtautua vihamielisesti	Meidän ei pitäisi suhtautua eri mielipiteisiin vihamielisesti
抵达	saapua	Lentokone saapui Pekingiin ajoissa
抵抗	vastustaa	Kyläläiset vastustivat tulvaa yhdessä
抵制	boikotoida	Kuluttajat alkoivat boikotoida huonolaatuisia tuotteita
地步	tilanne	Asia ei ole vielä niin vakavassa tilanteessa
地势	maastonmuoto	Täällä maasto on korkeaa, joten vesi ei kerry helposti
地质	geologia	Asiantuntijat tutkivat paikallisia geologisia oloja
递增	kasvaa vähitellen	Myynti kasvoi kolmen kuukauden ajan peräkkäin
颠簸	kuoppainen	Vuoristotie on hyvin kuoppainen, joten aja varovasti
颠倒	kääntää nurinpäin	Sinulla meni kahden numeron järjestys nurinpäin
典礼	seremonia	Valmistujaisseremonia pidetään juhlasalissa
典型	tyypillinen	Tämä on tyypillinen onnistunut tapaus
点缀	koristaa	Muutama pieni kukka koristi ruokapöytää
垫	alusta	Laita tämä paperi kupin alle alustaksi
奠定	luoda perusta	Tämä yhteistyö loi perustan pitkäaikaiselle suhteelle
惦记	olla huolissaan	Äiti on aina huolissaan kaukana olevasta lapsestaan
电源	virtalähde	Sammuta virta ennen lähtöä
叼	pitää suussa	Koira pitää luuta suussaan
雕刻	kaivertaa	Hän pitää kuvioiden kaivertamisesta puuhun
雕塑	veistos	Aukion keskellä on veistos
吊	nostaa	Työntekijät nostivat teräspalkin koneella
调动	siirtää	Yritys siirsi hänet töihin Shanghaihin
