source_headword	ES	example_ES
nor	ni	Él no sonrió ni habló.
northern	del norte	Ellos visitaron la costa del norte.
nuclear	nuclear	El debate trató sobre la energía nuclear.
obvious	obvio	La respuesta era obvia.
obviously	obviamente	Obviamente, necesitamos más tiempo.
occasion	la ocasión	Esta es una ocasión especial.
occur	ocurrir	Los accidentes pueden ocurrir en cualquier lugar.
odd	extraño	Fue una pregunta extraña.
official	oficial	El resultado oficial llegó hoy.
old-fashioned	pasado de moda	Su teléfono parece pasado de moda.
operation	la operación	La operación duró dos horas.
organized	organizado	Su escritorio está muy organizado.
organizer	el organizador	El organizador recibió a los invitados.
originally	originalmente	Ella vino originalmente de Canadá.
ought modal	deberías	Deberías descansar.
ours	nuestro	Esta mesa es nuestra.
outdoor	al aire libre	Compramos muebles de exterior.
outdoors	al aire libre	Los niños deberían jugar al aire libre.
package	el paquete	El paquete llegó esta mañana.
painful	doloroso	El corte fue doloroso.
pale	pálido	Su cara se veía pálida.
pan	la sartén	Calienta la sartén primero.
participate	participar	Todos pueden participar.
particularly	particularmente	Me gusta particularmente esta canción.
passion	la pasión	La música es su pasión.
path	el sendero	Sigue el sendero por el parque.
payment	el pago	El pago vence mañana.
peaceful	pacífico	El jardín es pacífico.
percentage	el porcentaje	Un pequeño porcentaje estuvo de acuerdo.
perfectly	perfectamente	El plan funcionó perfectamente.
performance	la actuación	Su actuación fue excelente.
personally	personalmente	Personalmente prefiero el té.
persuade	persuadir	¿Puedes persuadirlo para que se una?
photographer	el fotógrafo	El fotógrafo tomó muchas fotos.
photography	la fotografía	La fotografía es su pasatiempo favorito.
pin	el alfiler	Pon un alfiler en el mapa.
pipe	la tubería	La tubería transporta agua.
planning	la planificación	La planificación lleva tiempo.
pleasant	agradable	Tuvimos una tarde agradable.
pleasure	el placer	Fue un placer conocerte.
plenty	mucho	Tenemos mucho tiempo.
plot	la trama	La trama era fácil de seguir.
plus1	más	Dos más tres son cinco.
poem	el poema	Ella escribió un poema corto.
poet	el poeta	El poeta leyó en voz alta.
poetry	la poesía	Él disfruta la poesía moderna.
poison	el veneno	Mantén el veneno lejos de los niños.
poisonous	venenoso	Algunos hongos son venenosos.
policy	la política	La empresa cambió su política.
political	político	El discurso fue político.
politician	el político	El político respondió preguntas.
politics	la política	La política puede ser complicada.
port	el puerto	El barco entró en el puerto.
portrait	el retrato	El retrato cuelga en el pasillo.
possibly	posiblemente	Ella posiblemente llegue tarde.
pot	la maceta	La planta necesita una maceta más grande.
pour	verter	Vierte la leche lentamente.
poverty	la pobreza	Muchas familias viven en pobreza.
powder	el polvo	Añade el polvo al agua.
powerful	poderoso	El motor es poderoso.
practical	práctico	Esta es una solución práctica.
pray	rezar	Ellos rezan cada mañana.
prayer	la oración	Ella dijo una oración tranquila.
prediction	la predicción	Su predicción fue correcta.
prepared	preparado	Estoy preparado para el examen.
presentation	la presentación	Su presentación fue clara.
press	presionar	Presiona el botón una vez.
pressure	la presión	La presión puede afectar tu salud.
pretend	fingir	No finjas estar dormido.
previous	anterior	La lección anterior fue más fácil.
previously	anteriormente	Anteriormente vivimos en Roma.
priest	el sacerdote	El sacerdote habló suavemente.
primary	principal	La salud es nuestra preocupación principal.
prince	el príncipe	El príncipe visitó la escuela.
princess	la princesa	La princesa llevaba un vestido azul.
printing	la impresión	Imprimir el informe tomó unos minutos.
prisoner	el prisionero	El prisionero escapó de noche.
private	privado	Esta es una conversación privada.
producer	el productor	Al productor le gustó la película.
production	la producción	La producción empieza la próxima semana.
profession	la profesión	La enseñanza es una profesión respetada.
profit	la ganancia	La tienda obtuvo una ganancia.
promote	promover	Ellos promueven la alimentación saludable.
proper	adecuado	Usa zapatos adecuados para caminar.
properly	correctamente	Cierra la puerta correctamente.
property	la propiedad	Ellos compraron una propiedad cerca del río.
protest	la protesta	La protesta terminó pacíficamente.
proud	orgulloso	Ella se sintió orgullosa de su hijo.
prove	probar	¿Puedes probar tu respuesta?
punish	castigar	El profesor no lo castigó.
punishment	el castigo	El castigo parecía justo.
qualification	la cualificación	Necesitas una cualificación para este trabajo.
qualified	cualificado	Ella es una enfermera cualificada.
qualify	clasificar	Nuestro equipo puede clasificar.
queue	la fila	Esperamos en una fila larga.
quit	dejar	Él decidió dejar de fumar.
quotation	la cita	El ensayo comienza con una cita.
quote	citar	¿Puedo citar tus palabras?
race (people)	la raza	El formulario pregunta por la raza.
racing	las carreras	Las carreras de caballos son populares allí.
range	la gama	La tienda vende una amplia gama.
rare	raro	Este pájaro es raro.
rarely	rara vez	Rara vez comemos fuera.
reaction	la reacción	Su reacción me sorprendió.
reality	la realidad	La realidad era diferente de su sueño.
receipt	el recibo	Guarda el recibo.
recommendation	la recomendación	Gracias por la recomendación.
reference	la referencia	Añade una referencia al final.
reflect	reflejar	El espejo puede reflejar la luz.
regularly	regularmente	Ella hace ejercicio regularmente.
reject	rechazar	Ellos pueden rechazar la oferta.
relate	identificarse	Puedo identificarme con esa historia.
related	relacionado	Los dos problemas están relacionados.
relation	la relación	Hay una relación entre ellos.
relative	relativo	La velocidad es relativa.
relaxed	relajado	Él se sintió relajado después de cenar.
relaxing	relajante	La música era relajante.
release	estrenar	Ellos estrenarán la película pronto.
reliable	fiable	Este autobús suele ser fiable.
religion	la religión	La religión es importante para ella.
religious	religioso	Ellos visitaron un edificio religioso.
remain	permanecer	Por favor, permanece tranquilo.
remind	recordar	Recuérdamelo mañana.
remote	remoto	Ellos viven en una aldea remota.
rent	el alquiler	El alquiler vence hoy.
repeated	repetido	Los errores repetidos retrasaron el trabajo.
represent	representar	La estrella representa la esperanza.
require	requerir	Este trabajo requerirá capacitación.
reservation	la reserva	Hice una reserva.
resource	el recurso	La biblioteca es un recurso útil.
respect	el respeto	Respeta a tus compañeros.
responsibility	la responsabilidad	El cuidado infantil es una gran responsabilidad.
responsible	responsable	Ella es responsable de las entradas.
retire	jubilarse	Mi padre se jubilará pronto.
retired	jubilado	Él es un profesor jubilado.
revise	revisar	Revisa tu ensayo esta noche.
risk	el riesgo	Hay riesgo de lluvia.
robot	el robot	El robot limpió el piso.
roll	rodar	Rueda la pelota hacia mí.
romantic	romántico	Tuvieron una cena romántica.
rope	la cuerda	Ata la cuerda con fuerza.
rough	irregular	El camino estaba irregular.
row1	la fila	Siéntate en la fila delantera.
royal	real	La familia real llegó.
rugby	el rugby	Vimos rugby en la televisión.
safety	la seguridad	La seguridad es importante en el trabajo.
sailor	el marinero	El marinero reparó el barco.
sample	la muestra	La enfermera tomó una muestra de sangre.
sand	la arena	La arena cubrió mis zapatos.
scan	escanear	Escanea el documento primero.
scientific	científico	Este es un método científico.
script	el guion	El actor leyó el guion.
sculpture	la escultura	La escultura está afuera.
secondary	secundario	Este es un problema secundario.
security	la seguridad	Seguridad revisó nuestras bolsas.
seed	la semilla	Planta la semilla en la tierra.
sensible	sensato	Esa es una idea sensata.
seriously	en serio	Toma este problema en serio.
servant	el sirviente	El sirviente abrió la puerta.
set (put)	poner	Pon el vaso sobre la mesa.
set (group)	el juego	Este juego incluye seis tazas.
setting	el escenario	La historia tiene un escenario urbano.
sex	el sexo	El formulario pide edad y sexo.
sexual	sexual	La clase habló de salud sexual.
sharp	afilado	Este cuchillo está afilado.
shelf	el estante	Pon el libro en el estante.
shell	la concha	La concha estaba vacía.
shift	el turno	Mi turno empieza a las ocho.
shine	brillar	Las estrellas brillan de noche.
shiny	brillante	Sus zapatos son brillantes.
shoot	fotografiar	El fotógrafo fotografiará la escena.
shy	tímido	Él es tímido con desconocidos.
sight	la vista	La montaña era una vista hermosa.
signal	la señal	La señal era débil.
silent	silencioso	La habitación quedó silenciosa.
silly	tonto	Fue un error tonto.
similarity	la similitud	Hay una similitud clara.
similarly	de manera similar	El segundo plan funciona de manera similar.
simply	simplemente	Simplemente presiona este botón.
sink	hundirse	Las piedras pesadas se hunden rápido.
slice	la rebanada	Comí una rebanada de pastel.
slightly	ligeramente	La habitación está ligeramente más cálida.
smart	elegante	Ella llevaba una chaqueta elegante.
smooth	liso	El camino es liso.
software	el software	El software necesita una actualización.
soil	la tierra	La tierra está seca.
solid	sólido	La pared es sólida.
southern	del sur	Ellos viven en la costa del sur.
specifically	específicamente	Pedí específicamente té.
spending	el gasto	El gasto del gobierno aumentó.
spicy	picante	Este curry es picante.
spirit	el espíritu	El equipo mostró gran espíritu.
spoken	hablado	El inglés hablado mejora con la práctica.
spot	el lugar	Este lugar es perfecto.
spread	untar	Unta mantequilla en el pan.
stadium	el estadio	El estadio estaba lleno.
staff	el personal	El personal fue servicial.
standard	el estándar	El estándar era alto.
statistic	la estadística	Esta estadística es sorprendente.
statue	la estatua	La estatua está en la plaza.
stick (push into/attach)	pegar	Pega la etiqueta en la caja.
stick (piece of wood)	el palo	Él recogió un palo.
