source_headword	RU	example_RU
relevance	актуальность	Эти данные имеют ограниченную актуальность.
reliability	надежность	В аварийных системах важна надежность.
reluctant	неохотный	Он не хотел говорить.
remainder	остаток	Остаток пошел на благотворительность.
remains	останки	Останки были тщательно изучены.
remedy	средство правовой защиты	Закон предусматривает средство правовой защиты.
reminder	напоминание	Это электронное письмо было полезным напоминанием.
removal	устранение	Устранение барьеров способствовало торговле.
render	делать	Эта ошибка сделала контракт недействительным.
renew	продлить	Поскорее продлите свой паспорт.
renowned	известный	Она известна своими исследованиями.
rental	аренда	В стоимость аренды входит страховка.
replacement	замена	Запасная часть прибыла сегодня.
reportedly	как сообщается	Как сообщается, министр ушел в отставку вчера.
representation	представительство	Справедливое представительство остается важным.
reproduce	размножаться	Эти растения быстро размножаются.
reproduction	воспроизведение	Цифровое воспроизведение улучшило доступ.
republic	республика	В республике прошли выборы.
resemble	походить на	Оба дизайна очень похожи друг на друга.
reside	проживать	Они проживают недалеко от границы.
residence	резиденция	Его официальная резиденция охраняется.
residential	жилой	Этот район в основном жилой.
residue	осадок	Чистящее средство оставило липкий осадок.
resignation	отставка	Ее отставка шокировала совет директоров.
resistance	сопротивление	Сопротивление переменам было сильным.
respective	соответственный	Они вернулись в свои соответствующие офисы.
respectively	соответственно	Оценки составили 80 и 90 соответственно.
restoration	реставрация	Реставрация здания заняла годы.
restraint	сдержанность	Полиция проявила сдержанность.
resume	возобновляться	Занятия возобновятся на следующей неделе.
retreat	отступление	Армия начала отступление.
retrieve	извлекать	Она извлекла файл.
revelation	откровение	Это откровение нанесло ущерб его репутации.
revenge	месть	Он хотел отомстить за оскорбление.
reverse	отменять	Суд отменил решение.
revival	возрождение	В городе началось экономическое возрождение.
revive	возрождать	Фестиваль помог возродить местные традиции.
revolutionary	революционный	Это изобретение было революционным.
rhetoric	риторика	Его риторика звучала агрессивно.
rifle	винтовка	Винтовка хранилась в надежном месте.
riot	бунт	Бунт длился несколько часов.
rip	рвать	Осторожно разорвите бумагу.
ritual	ритуал	Этот ритуал знаменует сбор урожая.
robust	надежный	Это надежная система.
rock	сотрясать	Взрыв потряс деревню.
rod	карниз	Занавеска висит на карнизе.
rotate	вращать	Медленно вращайте ручку.
rotation	севооборот	Севооборот защищает почву.
ruling	постановление	Суд вынес постановление.
rumour	слух	Слух быстро распространился.
sack	увольнять	Правление может уволить тренера.
sacred	священный	Этот храм священный.
sacrifice	жертва	Родители часто идут на жертвы.
saint	святой	Церковь чтит местного святого.
sake	ради	Он остался ради нее.
sanction	санкция	Санкция повлияла на международную торговлю.
say	право голоса	Сотрудники имели право голоса при составлении графика.
scattered	разбросанный	Разбросанные бумаги покрывали стол.
sceptical	скептически настроенный	Она по-прежнему скептически относилась к этому заявлению.
scope	масштаб	Масштаб проекта расширился.
screw	винт	Аккуратно затяните винт.
scrutiny	внимательное изучение	Сделка подверглась внимательному изучению общественности.
seal	запечатывать	Запечатайте конверт перед отправкой.
secular	светский	Школа следует светской учебной программе.
seemingly	на первый взгляд	Задача казалась на первый взгляд простой.
segment	сегмент	Последний сегмент был короче.
seize	изымать	Полиция изъяла документы.
seldom	редко	Она редко пропускает занятия.
selective	избирательный	Программа очень избирательна.
senator	сенатор	Сенатор поддержал законопроект.
sensation	сенсация	Открытие произвело сенсацию.
sensitivity	деликатность	Этот вопрос требует деликатности.
sentiment	настроения	Общественные настроения быстро изменились.
separation	разделение	Расставание было трудным.
serial	серийный	Серийный номер отсутствует.
settlement	соглашение	Соглашение положило конец спору.
set-up	настройка	Настройка заняла все утро.
sexuality	сексуальность	В курсе обсуждаются идентичность и сексуальность.
shareholder	акционер	Акционер задал вопрос совету директоров.
shatter	разрушить	Эта новость разрушила его уверенность.
shed	сократить	Компания сократит рабочие места.
sheer	абсолютный	Абсолютный размер удивил всех.
shipping	доставка	Стоимость доставки увеличилась.
shoot	съемка	Фотосессия закончилась рано.
shrink	сесть	Рубашка может сесть.
shrug	пожать плечами	Она слегка пожала плечами.
sigh	вздохнуть	Он с облегчением вздохнул.
simulate	моделировать	Программа может моделировать дорожное движение.
simulation	моделирование	Моделирование предсказало наводнение.
simultaneously	одновременно	Две сигнализации сработали одновременно.
sin	грех	Гордыня считается грехом.
situated	расположенный	Отель расположен в центре города.
sketch	набросок	Она сделала быстрый набросок.
skip	пропускать	Не пропускайте завтрак.
slam	захлопнуть	Он может захлопнуть дверь.
slap	шлепать	Не шлепайте по столу.
slavery	рабство	Рабство сформировало историю региона.
slot	слот	Забронируйте временной слот онлайн.
smash	разбиться	Стакан разбился об пол.
snap	сломаться	Ветка сломалась на ветру.
soak	замачивать	Замочите фасоль на ночь.
soar	стремительно расти	Цены на топливо могут взлететь.
socialist	социалистический	Партия поддерживает социалистическую политику.
sole	единственный	Он был единственным выжившим.
solely	исключительно	Это решение было исключительно его.
solicitor	адвокат	Адвокат подготовил контракт.
solidarity	солидарность	Рабочие выразили солидарность.
solo	сольный	Она выпустила сольный альбом.
sound	здравый	План разумный и практичный.
sovereignty	суверенитет	Договор защищал национальный суверенитет.
spam	спам	Спам заполнил почтовый ящик.
span	пересекать	Мост пересекает реку.
spark	спровоцировать	Небольшое замечание спровоцировало дискуссию.
specialized	специализированный	Клиника предоставляет специализированную помощь.
specification	спецификация	Дизайн соответствует каждой спецификации.
specimen	образец	Образец хранился в безопасном месте.
spectacle	зрелище	Парад был ярким зрелищем.
spectrum	спектр	Мнения охватывают широкий спектр.
spell	период	Засушливый период длился неделями.
sphere	сфера	Политика вошла в культурную сферу.
spin	крутиться	Колеса начали крутиться.
spine	позвоночник	Травма затронула его позвоночник.
spotlight	центр внимания	Скандал поставил его в центр внимания.
spouse	супруг	Ее супруг присутствовал на церемонии.
spy	шпион	Шпион отправлял закодированные сообщения.
squad	отряд	Спасательный отряд прибыл быстро.
squeeze	сжимать	Осторожно сожмите ручку.
stab	наносить удар ножом	В отчете описывалось ножевое ранение.
stability	стабильность	Эта политика принесла стабильность.
stabilize	стабилизировать	Лекарство помогло стабилизировать его состояние.
stake	доля	У инвесторов здесь есть доля.
standing	положение	Ее положение в партии укрепилось.
stark	резкий	Результаты показали разительный контраст.
statistical	статистический	В исследовании использовались статистические методы.
steer	направлять	Он попытался направить дискуссию.
stem	стебель	Стебель сломался во время бури.
stereotype	стереотип	Фильм бросил вызов стереотипу.
stimulus	стимул	Пакет мер обеспечил экономический стимул.
stir	перемешивать	Медленно перемешайте соус.
storage	хранение	Предприятие предлагает безопасное хранение.
straightforward	простой	Инструкции были простыми.
strain	напряжение	Долгая задержка вызвала напряжение.
strand	прядь	Упала прядь волос.
strategic	стратегический	Компания сделала стратегическую инвестицию.
strip (long narrow piece)	полоска	Отрежьте узкую полоску бумаги.
strip (remove clothes/a layer)	снимать	Аккуратно снимите старую краску.
strive	стремиться	Они стремятся к совершенству.
structural	структурный	У моста структурные повреждения.
stumble	споткнуться	Он споткнулся на лестнице.
stun	ошеломлять	Эта новость может ошеломить людей.
submission	подача	Крайний срок подачи прошел.
subscriber	подписчик	Каждый подписчик получает обновления.
subscription	подписка	Подписка продлевается автоматически.
subsidy	субсидия	Субсидия снизила стоимость топлива.
substantial	значительный	Проекту нужно значительное финансирование.
substantially	существенно	Цена существенно выросла.
substitute	заменитель	Используйте молоко в качестве заменителя.
substitution	замена	Замена изменила рецепт.
subtle	тонкий	На картине есть тонкие детали.
suburban	пригородный	Они переехали в пригородный район.
succession	череда	Кризис последовал за чередой неудач.
successive	последующий	Последующие правительства игнорировали эту проблему.
successor	преемник	Преемник приступит к работе в понедельник.
suck	всасывать	Машина может всасывать пыль.
sue	подать в суд	Она решила подать в суд на компанию.
suicide	самоубийство	Предотвращение самоубийств требует постоянного финансирования.
suite	номер люкс	Номер люкс в отеле выходил на реку.
summit	саммит	Лидеры встретились на саммите.
superb	превосходный	Выступление было превосходным.
superior	превосходящий	Новая модель превосходит старую.
supervise	руководить	Она будет руководить стажерами.
supervision	присмотр	Детям нужен присмотр взрослых.
supervisor	руководитель	Сначала спросите своего руководителя.
supplement	дополнение	Отчет включает в себя дополнение.
supportive	поддерживающий	Ее семья поддерживала ее.
supposedly	якобы	Файл был якобы удален.
suppress	подавлять	Режим пытался подавить протесты.
supreme	верховный	Верховный суд рассмотрел дело.
surge	скачок	Внезапный скачок напряжения повредил оборудование.
surgical	хирургический	Пациенту требуется хирургическое лечение.
surplus	излишек	На складе есть излишек.
surrender	сдаваться	Солдаты согласились сдаться.
surveillance	наблюдение	Камеры видеонаблюдения записали вход.
suspension	приостановка	Приостановка длилась две недели.
suspicion	подозрение	Его поведение вызвало подозрение.
suspicious	подозрительный	Посылка выглядела подозрительно.
sustain	поддерживать	Проект может поддерживать местные рабочие места.
swing	раскачиваться	Дверь начала раскачиваться.
sword	меч	Меч висел на стене.
symbolic	символический	Этот жест был символическим.
syndrome	синдром	Этот синдром влияет на память.
synthesis	синтез	В главе предлагается синтез.
systematic	систематический	Обзор был систематическим.
tactic	тактика	Тактика быстро провалилась.
tactical	тактический	Команда сделала тактическое изменение.
taxpayer	налогоплательщик	Деньги налогоплательщиков профинансировали строительство моста.
tempt	привлекать	Это предложение может привлечь инвесторов.
tenant	арендатор	Арендатор заплатил за аренду заранее.
tender	нежный	Она нежно улыбнулась.
tenure	срок полномочий	Срок его полномочий длился шесть лет.
terminal	неизлечимый	У пациента было неизлечимое заболевание.
terminate	расторгнуть	Компания может расторгнуть контракт.
terrain	местность	Местность была труднопроходимой.
terrific	потрясающий	Вид был потрясающим.
testify	давать показания	Она согласилась дать показания.
testimony	показания	Его показания были подробными.
texture	текстура	Ткань имеет грубую текстуру.
thankfully	к счастью	К счастью, никто не пострадал.
theatrical	театральный	Речь звучала театрально.
theology	теология	Он изучал теологию в университете.
theoretical	теоретический	Эта модель сугубо теоретическая.
thereafter	после этого	После этого правила изменились.
thereby	тем самым	Изменение снизило расходы, тем самым сохранив рабочие места.
thoughtful	вдумчивый	Ее ответ был продуманным.
thought-provoking	наводящий на размышления	Статья наводила на размышления.
thread	нитка	Нитка легко порвалась.
threshold	порог	Голосование преодолело порог.
thrilled	в восторге	Она была в восторге от этой новости.
thrive	процветать	Малый бизнес может процветать здесь.
tide	прилив	Прилив поднялся быстро.
tighten	затянуть	Плотно затяните крышку.
timber	древесина	В доме используется местная древесина.
timely	своевременный	Предупреждение было своевременным.
tobacco	табак	Продажи табака снизились.
tolerance	толерантность	Эта политика поощряет толерантность.
tolerate	терпеть	Мы не можем терпеть жестокое обращение.
toll	урон	Шторм нанес тяжелый урон.
top	превысить	Продажи могут превысить прошлогодний рекорд.
torture	пытка	Договор абсолютно запрещает пытки.
