source_headword	PT	example_PT
might modal	poder; talvez	Pode chover mais tarde.
mind	a mente; a opinião	Mudei de ideias.
mine (belongs to me)	meu; minha	Este livro é meu.
mirror	o espelho	Olha no espelho.
missing	em falta; desaparecido	As minhas chaves desapareceram.
mobile	o telemóvel	O meu telemóvel está na mesa.
monkey	o macaco	O macaco subiu à árvore.
moon	a Lua	A Lua está brilhante.
mostly	maioritariamente	A turma está maioritariamente calma.
motorcycle	a mota	Ele anda de mota.
movement	o movimento	Vi movimento nas árvores.
musical	musical	Este é um filme musical.
musician	o músico	O músico tocou guitarra.
myself	eu próprio; eu mesmo	Fiz isto eu mesmo.
narrow	estreito	A estrada é estreita.
national	nacional	É feriado nacional.
nature	a natureza	Adoro a natureza.
nearly	quase	Estamos quase lá.
necessary	necessário	Isto é necessário?
neck	o pescoço	Dói-me o pescoço.
neither	nenhum dos dois	Nenhuma resposta está correta.
nervous	nervoso	Ela sente-se nervosa.
network	a rede	A rede está em baixo.
noise	o ruído; o barulho	Ouvi um barulho alto.
noisy	barulhento	A rua é barulhenta.
none	nenhum	Nenhum deles veio.
normal	normal	Isto é normal.
normally	normalmente	Normalmente acordo cedo.
notice	notar; o aviso	Reparaste no sinal?
novel	o romance	Ela escreveu um romance.
nowhere	em nenhum lugar	Não há onde sentar.
nut	a noz; a porca	A noz é dura.
ocean	o oceano	O oceano é profundo.
offer	a oferta; a proposta	Aceitei a oferta.
officer	o agente; o oficial	O agente verificou o meu bilhete.
oil	o óleo; o azeite	Adiciona óleo à frigideira.
onto	para cima de; sobre	Põe isto na prateleira.
opportunity	a oportunidade	Esta é uma boa oportunidade.
option	a opção	Escolhe a melhor opção.
ordinary	comum; normal	Foi um dia comum.
organization	a organização	A organização ajuda estudantes.
organize	organizar	Por favor, organiza os ficheiros.
original	original	Guarda o recibo original.
ourselves	nós próprios	Cozinhámos o jantar nós próprios.
oven	o forno	O forno está quente.
owner	o dono	O dono abriu a loja.
pack	arrumar; fazer a mala	Faz a mala agora.
pain	a dor	Sinto dor nas costas.
painter	o pintor	O pintor terminou a parede.
palace	o palácio	O palácio é antigo.
pants	as calças	Estas calças são compridas demais.
parking	o estacionamento	Estacionar é difícil aqui.
particular	específico	Preciso de um livro específico.
pass	passar	Passa-me o sal.
passenger	o passageiro	Cada passageiro precisa de um bilhete.
patient	paciente	Sê paciente com as crianças.
pattern	o padrão	Este padrão é simples.
peace	a paz	Todos queremos paz.
penny	o cêntimo	Encontrei um cêntimo.
per	por	Os bilhetes custam dez dólares por pessoa.
per cent	por cento	Cinco por cento é pouco.
perform	atuar; executar	A banda vai atuar hoje à noite.
perhaps	talvez	Talvez ela esteja em casa.
permission	a permissão	Pede permissão primeiro.
personality	a personalidade	Ele tem uma personalidade simpática.
pet	o animal de estimação	O meu animal de estimação é um gato.
petrol	a gasolina	O carro precisa de gasolina.
physical	físico	O exercício físico ajuda a saúde.
physics	a física	A física é difícil.
pick	escolher	Escolhe uma carta.
pilot	o piloto	O piloto falou claramente.
planet	o planeta	A Terra é um planeta.
plastic	o plástico; de plástico	Esta garrafa é de plástico.
plate	o prato	Põe a comida no prato.
platform	a plataforma	Espera na plataforma dois.
pleased	satisfeito; contente	Tenho prazer em conhecer-te.
pocket	o bolso	O bilhete está no meu bolso.
polite	educado	Sê educado com todos.
pollution	a poluição	A poluição prejudica o oceano.
pop	pop; a música pop	Gosto de música pop.
population	a população	A população está a crescer.
position	a posição	Muda a tua posição.
possession	a posse; o bem	Este anel pertence-me.
possibility	a possibilidade	Há possibilidade de chuva.
poster	o cartaz	Põe o cartaz na parede.
power	a energia; o poder	O computador precisa de energia.
predict	prever	Não conseguimos prever o tempo.
president	o presidente; a presidente	O presidente fez um discurso.
prevent	prevenir; evitar	Lava as mãos para prevenir doenças.
print	imprimir	Imprime o documento.
printer	a impressora	A impressora está avariada.
prison	a prisão	Ele foi para a prisão.
prize	o prémio	Ela ganhou um prémio.
process	o processo	O processo leva tempo.
produce	produzir	As quintas produzem alimentos.
professional	profissional	Ela é uma bailarina profissional.
professor	o professor; a professora	O professor respondeu às perguntas.
profile	o perfil	Atualiza o teu perfil.
program	o programa	O programa começa agora.
progress	o progresso	Fizemos progresso hoje.
promise	a promessa; prometer	Mantém a tua promessa.
pronounce	pronunciar	Por favor, pronuncia esta palavra.
protect	proteger	Protege os teus olhos.
provide	fornecer	Eles fornecem água gratuita.
pub	o pub; o bar	Encontrámo-nos no pub.
public	público	O parque é público.
publish	publicar	Eles publicam uma revista.
pull	puxar	Puxa a porta.
purpose	o propósito; a finalidade	Qual é o propósito?
push	empurrar	Carrega no botão.
quality	a qualidade	A qualidade é alta.
quantity	a quantidade	Verifica a quantidade.
queen	a rainha	A rainha acenou.
quietly	baixo; em silêncio	Fala baixo.
race (competition)	a corrida	A corrida começa em breve.
railway	a linha férrea	A linha férrea está fechada.
raise	levantar; aumentar	Levanta a mão.
rate	a tarifa; a taxa	A tarifa do hotel é alta.
rather	bastante	Estou bastante cansado.
reach	alcançar	Consegues alcançar a prateleira?
react	reagir	Como é que ele reagiu?
realize	perceber; dar-se conta	Percebo o meu erro.
receive	receber	Recebeste a minha mensagem?
recent	recente	Esta é uma fotografia recente.
recently	recentemente	Mudei-me recentemente para aqui.
reception	a receção	A receção é na segunda-feira.
recipe	a receita	Esta receita é fácil.
recognize	reconhecer	Reconheço essa canção.
recommend	recomendar	Recomendo este livro.
record	o registo; registar	Mantém um registo dos pagamentos.
recording	a gravação	A gravação soa nítida.
recycle	reciclar	Recicla papel e plástico.
reduce	reduzir	Reduz o lume.
refer	consultar; referir	Consulta a página dois.
refuse1	recusar	Recuso-me a mentir.
region	a região	Esta região é fria.
regular	regular; habitual	Ele é um cliente habitual.
relationship	a relação; o relacionamento	A relação deles é forte.
remove	tirar; remover	Tira os sapatos.
repair	reparar; a reparação	Repara a bicicleta hoje.
replace	substituir	Substitui a bateria velha.
reply	responder	Responde em breve, por favor.
reporter	o repórter	O repórter tomou notas.
request	o pedido; pedir	Fiz um pedido.
research	a investigação; investigar	Investigamos a história local.
researcher	o investigador	O investigador verificou os dados.
respond	responder	Por favor, responde hoje.
response	a resposta	A resposta dela foi rápida.
rest (remaining part)	o resto	Come o resto mais tarde.
rest (sleep/relax)	descansar; o descanso	Precisas de descansar.
review	rever; a revisão	Revê as tuas notas hoje à noite.
ring1	o anel	Ela usava um anel de ouro.
ring2	telefonar; ligar	Telefona-me depois do almoço.
rise	subir; aumentar	Os preços sobem todos os anos.
rock (stone)	a pedra; a rocha	A pedra é pesada.
