source_headword	SR	example_SR
author	autor	Autor je napisao ovu knjigu.
available	dostupan; raspoloživ	Hrana je sada dostupna.
average	prosečan; prosek	Prosečan rezultat je bio dobar.
avoid	izbegavati	Izbegavaj prometan put.
award	nagrada	Ona je osvojila nagradu.
awful	užasan	Vreme je bilo užasno.
background	pozadina; poreklo	Slika ima tamnu pozadinu.
badly	loše	On je danas igrao loše.
bar	bar	Sreli smo se u hotelskom baru.
baseball	bejzbol	Bejzbol je ovde popularan.
based	zasnovan	Film je zasnovan na knjizi.
basketball	košarka	Igramo košarku posle škole.
bean	pasulj; zrno	Ovo zrno pasulja je zeleno.
bear (animal)	medved	Medved živi u šumi.
beat	pobediti; tući	Naš tim može da ih pobedi.
beef	govedina	Jeo sam govedinu za večeru.
behave	ponašati se	Molim te, ponašaj se na času.
behaviour	ponašanje	Njegovo ponašanje je bilo pristojno.
belong	pripadati	Ove cipele pripadaju meni.
belt	kaiš	Njegov kaiš je crn.
benefit	korist; dobrobit	Vežbanje ima pravu korist.
billion	milijarda	Milijarda je ogroman broj.
bin	kanta; korpa	Stavi papir u korpu.
biology	biologija	Biologija je moj najbolji predmet.
birth	rođenje	Njeno rođenje je bilo u maju.
biscuit	keks	Ona jede keks.
bit	malo; komadić	Treba mi još malo vremena.
blank	prazan; praznina	Napiši ime u prazno mesto.
blood	krv	Krv je crvena.
blow	duvati	Vetar može jako da duva.
board	tabla; daska	Napiši to na tabli.
boil	kuvati; prokuvati	Prvo prokuvaj vodu.
bone	kost	Pas ima kost.
borrow	pozajmiti	Mogu li da pozajmim tvoju olovku?
boss	šef	Moj šef je prijateljski raspoložen.
bottom	dno; donji deo	Potpiši se na dnu.
bowl	činija	Činija je puna.
brain	mozak	Tvoj mozak treba odmor.
bridge	most	Most je star.
bright	svetao; bistar	Soba je svetla.
brilliant	sjajan; odličan	Ta ideja je sjajna.
broken	slomljen; pokvaren	Stolica je slomljena.
brush	četka; četkati	Operi zube sada.
burn	goreti; izgoreti	Nemoj da spališ hleb.
businessman	poslovni čovek	Poslovni čovek je stigao rano.
button	dugme	Pritisni crveno dugme.
camp	kamp; kampovati	Kampujemo blizu jezera.
camping	kampovanje	Kampovanje je zabavno leti.
can2	konzerva	Pažljivo otvori konzervu.
care	briga; nega	Brini se o svom zdravlju.
careful	pažljiv	Budi pažljiv na stepenicama.
carefully	pažljivo	Pažljivo pročitaj pitanje.
carpet	tepih	Tepih je mekan.
cartoon	crtani film	Ovaj crtani film je smešan.
case	slučaj; kutija	Stavi to u kutiju.
cash	gotovina	Platio sam gotovinom.
castle	zamak	Zamak je veoma star.
catch	uhvatiti	Uhvati loptu sada.
cause	uzrok; prouzrokovati	Kiša može da prouzrokuje probleme.
celebrate	slaviti; proslaviti	Slavimo moj rođendan.
celebrity	poznata ličnost	Poznata ličnost je bila veoma ljubazna.
certain	siguran; određen	Siguran sam u ovo.
certainly	sigurno; svakako	Sigurno ću pomoći.
chance	prilika; šansa	Imaš priliku.
character	lik; karakter	Ovaj lik je hrabar.
charity	humanitarna organizacija; dobročinstvo	Organizacija pomaže deci.
chat	razgovarati; razgovor	Razgovaramo posle časa.
chef	kuvar	Kuvar je napravio supu.
chemistry	hemija	Hemija mi je teška.
chip	čips; komadić	Ovaj čips je slan.
choice	izbor	Ovaj izbor je važan.
church	crkva	Crkva je blizu ovde.
cigarette	cigareta	Cigareta je loša za zdravlje.
circle	krug	Nacrtaj krug ovde.
classical	klasičan	Volim klasičnu muziku.
clear	jasan	Odgovor je jasan.
clearly	jasno	Govori jasno, molim te.
clever	pametan	Ona je pametno dete.
climate	klima	Klima se menja.
close2	blizu; blizak	Moja škola je blizu kuće.
closed	zatvoren	Prodavnica je zatvorena.
clothing	odeća	Topla odeća je korisna.
cloud	oblak	Oblak pokriva sunce.
coach	trener; autobus	Trener je pomogao timu.
coast	obala	Vozili smo se uz obalu.
code	kod; šifra	Unesi kod ovde.
colleague	kolega	Moj kolega me je pozvao.
collect	skupljati; kolekcionirati	Skupljam stare kartice.
column	kolona	Pročitaj prvu kolonu.
comedy	komedija	Ova komedija je smešna.
comfortable	udoban	Ova stolica je udobna.
comment	komentar	Ostavi komentar ispod.
communicate	komunicirati	Komuniciramo imejlom.
community	zajednica	Naša zajednica je prijateljska.
compete	takmičiti se	Takmiče se svake godine.
competition	takmičenje	Takmičenje počinje sutra.
complain	žaliti se	Nemoj ponovo da se žališ.
completely	potpuno	Potpuno se slažem s tobom.
condition	stanje; uslov	Auto je u dobrom stanju.
conference	konferencija	Konferencija počinje u devet.
connect	povezati	Poveži telefon sa računarom.
connected	povezan	Te dve ideje su povezane.
consider	razmotriti	Molim te, razmotri moju ideju.
contain	sadržati	Ova kutija sadrži knjige.
context	kontekst	Kontekst ti pomaže da razumeš.
continent	kontinent	Kontinent je veoma velik.
continue	nastaviti	Nastavi da čitaš, molim te.
control	kontrola; kontrolisati	Pažljivo kontroliši brzinu.
cooker	šporet	Šporet je čist.
copy	kopija; kopirati	Napravi kopiju za mene.
corner	ugao	Sedi u ugao.
correctly	tačno; ispravno	Napiši odgovor tačno.
count	brojati	Prebroj knjige.
couple	par; nekoliko	Par je stigao rano.
cover	pokriti; naslovnica	Pokrij činiju.
crazy	lud	Ova ideja zvuči ludo.
creative	kreativan	Ona ima kreativnu ideju.
credit	kredit; kreditna kartica	Platio sam kreditnom karticom.
crime	zločin; kriminal	Kriminal je ozbiljan problem.
criminal	kriminalac; zločinac	Kriminalac je brzo otišao.
cross	preći; krst	Pažljivo pređi ulicu.
crowd	gomila; mnoštvo	Gomila je čekala napolju.
crowded	prepun	Voz je bio prepun.
cry	plakati	Nemoj da plačeš sada.
cupboard	ormar	Šolje su u ormaru.
curly	kovrdžav	Ona ima kovrdžavu kosu.
cycle	voziti bicikl; ciklus	Vozim bicikl do škole.
daily	dnevni; svakodnevno	Svakodnevno čitam vesti.
danger	opasnost	Znak pokazuje opasnost.
data	podaci	Podaci su korisni.
dead	mrtav; uveo	Biljka je mrtva.
deal	dogovor; ponuda	Ovo je dobra ponuda.
death	smrt	Smrt je teška tema.
decision	odluka	Donesi odluku danas.
deep	dubok	Voda je duboka.
definitely	definitivno; svakako	Svakako želim čaj.
degree	stepen; diploma	Moja diploma je iz istorije.
dentist	zubar	Zubar mi je pregledao zube.
department	odeljenje; odsek	Odeljenje za cipele je gore.
depend	zavisiti	To zavisi od vremena.
desert	pustinja	Pustinja je veoma suva.
designer	dizajner	Dizajner je napravio ovu haljinu.
destroy	uništiti	Nemoj uništiti datoteku.
detective	detektiv	Detektiv je pronašao ključ.
develop	razvijati	Oni razvijaju novu aplikaciju.
device	uređaj	Ovaj uređaj je koristan.
diary	dnevnik	Ona piše u svoj dnevnik.
differently	drugačije	Radimo to drugačije.
digital	digitalan	Ovo je digitalni fotoaparat.
direct	direktan; neposredan	Uzmi direktan voz.
direction	smer	Hodaj u ovom smeru.
director	direktor; režiser	Režiseru se svideo film.
disagree	ne slagati se	Ne slažem se s tom idejom.
disappear	nestati	Sunce će uskoro nestati.
disaster	katastrofa	Oluja je bila katastrofa.
discover	otkriti	Oni otkrivaju novo ostrvo.
discovery	otkriće	Otkriće je promenilo nauku.
discussion	rasprava	Rasprava se završila rano.
disease	bolest	Ova bolest je ozbiljna.
distance	udaljenost	Udaljenost je kratka.
divorced	razveden	Njeni roditelji su razvedeni.
document	dokument	Sačuvaj ovaj dokument sada.
double	dvostruk	Treba mi dvokrevetna soba.
download	preuzeti; preuzimanje	Preuzmi aplikaciju danas.
drama	drama	Drama počinje večeras.
drawing	crtež	Njen crtež je lep.
dream	san; sanjati	Imao sam čudan san.
driving	vožnja	Vožnja noću je teška.
drop	ispustiti; kap	Nemoj ispustiti čašu.
drug	lek; droga	Lek mu je pomogao.
dry	suv	Peškir je suv.
earn	zaraditi	Zarađujem novac na poslu.
earth	Zemlja; zemlja	Zemlja je okrugla.
easily	lako	Ona lako uči.
education	obrazovanje	Obrazovanje je važno.
effect	efekat; učinak	Učinak je bio jasan.
either	bilo koji; ili	Bilo koji odgovor je dobar.
electric	električan	Ovaj automobil je električan.
electrical	električni	Električni sistem je bezbedan.
electricity	struja; električna energija	Struja je ovde skupa.
electronic	elektronski	Ova elektronska karta radi.
employ	zaposliti	Oni zapošljavaju pet ljudi.
employee	zaposleni	Zaposleni mnogo radi.
employer	poslodavac	Moj poslodavac je pravedan.
empty	prazan	Soba je prazna.
ending	završetak	Završetak je bio iznenađujući.
energy	energija	Danas nemam energije.
engine	motor	Motor je glasan.
engineer	inženjer	Inženjer je popravio most.
enormous	ogroman	Zgrada je ogromna.
enter	ući; uneti	Uđi u sobu tiho.
environment	životna sredina	Čuvaj životnu sredinu.
equipment	oprema	Ova oprema je skupa.
error	greška	Pronašao sam grešku.
especially	posebno	Posebno volim ovu pesmu.
essay	esej	Napiši esej večeras.
everyday	svakodnevni	Ovo je svakodnevni engleski.
everywhere	svuda	Cveće raste svuda.
evidence	dokaz	Dokaz je jasan.
exact	tačan	Daj tačan broj.
exactly	tačno	To je tačno.
excellent	odličan	Tvoj rad je odličan.
except	osim	Svi su došli osim mene.
exist	postojati	Da li ova adresa postoji?
expect	očekivati	Očekujem kišu sutra.
experience	iskustvo	Imam iskustva s decom.
experiment	eksperiment	Eksperiment je dobro uspeo.
expert	stručnjak	Pitaj stručnjaka za pomoć.
explanation	objašnjenje	Njeno objašnjenje je bilo jasno.
express	izraziti	Molim te, izrazi svoje mišljenje.
expression	izraz	Ovaj izraz je čest.
extreme	ekstreman	Vrućina je bila ekstremna.
extremely	izuzetno	Izuzetno je hladno.
factor	faktor; činilac	Cena je jedan činilac.
factory	fabrika	Fabrika se zatvara u pet.
fail	ne uspeti; pasti	Nisam pao.
fair	pošten; pravedan	Cena je pravedna.
fan	ventilator; obožavalac	Uključi ventilator.
farming	poljoprivreda	Poljoprivreda je težak posao.
fashion	moda	Moda se menja svake godine.
fear	strah	Strah može da zaustavi ljude.
feature	karakteristika; funkcija	Ovaj telefon ima korisnu funkciju.
feed	hraniti	Nahrani mačku sada.
female	ženski; žena	Sportistkinja je pobedila.
fiction	fikcija; beletristika	Ona čita beletristiku uveče.
field	polje; oblast	Polje je zeleno.
fight	boriti se; svađa	Previše se svađaju.
figure	figura; brojka	Pogledaj figuru.
finally	napokon	Napokon smo stigli kući.
finger	prst	Boli me prst.
firstly	prvo	Prvo pročitaj pitanje.
fishing	pecanje; ribolov	Pecanje je ovde popularno.
fit	odgovarati; pristajati	Ove cipele mi dobro pristaju.
fix	popraviti	Popravi slomljenu stolicu.
flu	grip	Imam grip.
flying	letenje	Letenje je brzo.
focus	usredsrediti se; fokus	Usredsredi se na ovaj zadatak.
following	sledeći	Pročitaj sledeću rečenicu.
foreign	strani	Ona govori strani jezik.
forest	šuma	Šuma je tiha.
fork	viljuška	Upotrebi viljušku.
formal	formalan; služben	Ovo pismo je službeno.
fortunately	na sreću	Na sreću, niko nije povređen.
forward	napred	Kreći se polako napred.
fresh	svež	Hleb je svež.
