source_headword	KM	example_KM
aside	នៅមួយឡែក	នាងបានឈានជើងទៅម្ខាងដើម្បីឱ្យគាត់ដើរកាត់។
asset	ទ្រព្យសកម្ម	បទពិសោធន៍គឺជាទ្រព្យសកម្មដ៏មានតម្លៃ។
assign	ចាត់តាំង	គ្រូបានដាក់កិច្ចការផ្ទះនៅថ្ងៃនេះ។
assistance	ជំនួយ	សូមសួរយកជំនួយពីបុគ្គលិក។
assumption	ការសន្មត	ការសន្មតនោះអាចនឹងខុស។
assure	ធានាអះអាង	ខ្ញុំធានាប្រាប់អ្នកថាទ្វារត្រូវបានចាក់សោ។
astonishing	ដែលគួរឱ្យភ្ញាក់ផ្អើល	ទិដ្ឋភាពពីច្រាំងថ្មចោទគួរឱ្យភ្ញាក់ផ្អើលណាស់។
attachment	ឯកសារភ្ជាប់	អ៊ីមែលមានរួមបញ្ចូលឯកសារភ្ជាប់។
auction	ការដេញថ្លៃ	គំនូរនេះត្រូវបានលក់ក្នុងការដេញថ្លៃ។
audio	សំឡេង	ការថតសំឡេងនេះស្តាប់ទៅច្បាស់ល្អ។
automatic	ស្វ័យប្រវត្តិ	ទ្វារមានសោដោយស្វ័យប្រវត្តិ។
automatically	ដោយស្វ័យប្រវត្តិ	ភ្លើងបើកដោយស្វ័យប្រវត្តិ។
awareness	ការយល់ដឹង	យុទ្ធនាការនេះបានលើកកម្ពស់ការយល់ដឹងជាសាធារណៈ។
awkward	ឆ្គង	ភាពស្ងៀមស្ងាត់ធ្វើឱ្យមានអារម្មណ៍ឆ្គង។
badge	ផ្លាកសញ្ញា	ភ្ញៀវត្រូវតែពាក់ស្លាកឈ្មោះ។
balanced	មានតុល្យភាព	របបអាហារដែលមានតុល្យភាពរួមមានបន្លែ។
ballet	របាំបាឡេ	នាងរៀនរបាំបាឡេក្រោយចេញពីសាលា។
balloon	ប៉េងប៉ោង	ប៉េងប៉ោងបានអណ្តែតនៅពីលើតុ។
barely	សឹងតែមិន	គាត់ស្ទើរតែមិនបានឮការប្រកាសនោះទេ។
bargain	ការតថ្លៃ	អាវធំនោះគឺជារបស់ដែលថោកមែនទែន។
basement	បន្ទប់ក្រោមដី	ប្រអប់ទាំងនោះនៅក្នុងបន្ទប់ក្រោមដី។
basket	កន្ត្រក	នាងបានដាក់ផ្លែប៉ោមចូលក្នុងកន្ត្រក។
bat	សត្វប្រចៀវ	សត្វប្រចៀវបានហើរចេញពីរូងភ្នំ។
beneficial	ដែលមានប្រយោជន៍	ការហាត់ប្រាណជាប្រចាំមានប្រយោជន៍សម្រាប់សុខភាព។
beside	នៅក្បែរ	អំពូលភ្លើងឈរនៅក្បែរសាឡុង។
besides	លើសពីនេះទៅទៀត	ក្រៅពីគណិតវិទ្យាគាត់សិក្សាគីមីវិទ្យា។
bias	ភាពលំអៀង	អត្ថបទនេះបានបង្ហាញពីភាពលម្អៀងយ៉ាងច្បាស់។
bid	ការដេញថ្លៃ	ក្រុមហ៊ុនបានធ្វើការដេញថ្លៃខ្ពស់ជាងនេះ។
biological	ជីវសាស្រ្ត	ការធ្វើតេស្តជីវសាស្ត្របានបញ្ជាក់ពីលទ្ធផល។
blanket	ភួយ	ក្មេងនោះបានដេកដណ្ដប់ភួយ។
blow	ការវាយប្រហារ	ការវាយយ៉ាងខ្លាំងបានធ្វើឱ្យបង្អួចបែក។
bold	ក្លាហាន	ចំណងជើងបានប្រើអក្សរធំដិត។
bombing	ការទម្លាក់គ្រាប់បែក	ការទម្លាក់គ្រាប់បែកបានបំផ្លាញអគារជាច្រើន។
booking	ការកក់	ខ្ញុំបានបញ្ជាក់ពីការកក់សណ្ឋាគារ។
boost	បង្កើន	ជ័យជម្នះបានបង្កើនទំនុកចិត្តរបស់ក្រុម។
bound	ចង	កញ្ចប់នោះត្រូវបានចងដោយខ្សែ។
brick	ឥដ្ឋ	ជញ្ជាំងត្រូវបានធ្វើពីឥដ្ឋ។
briefly	ដោយសង្ខេប	នាងបាននិយាយយ៉ាងខ្លីបន្ទាប់ពីអាហារថ្ងៃត្រង់។
broadcaster	អ្នកផ្សាយ	អ្នកផ្សាយព័ត៌មានបានសម្ភាសន៍អភិបាលក្រុង។
broadly	ជាទូទៅ	ផែនការទាំងពីរមានភាពស្រដៀងគ្នាជារួម។
bug	កំហុសក្នុងកម្មវិធី	កម្មវិធីបានគាំងដោយសារតែកំហុស។
cabin	កាប៊ីន	យើងស្នាក់នៅក្នុងផ្ទះតូចមួយ។
canal	ប្រឡាយ	ទូកបានធ្វើដំណើរយឺតៗតាមប្រឡាយទឹក។
candle	ទៀន	ទៀនបានឆេះនៅលើតុ។
carbon	កាបូន	ដើមឈើស្រូបយកកាបូនពីខ្យល់។
casual	ធម្មតា	គាត់ស្លៀកសម្លៀកបំពាក់ធម្មតាទៅធ្វើការ។
cave	រូងភ្នំ	អ្នកឡើងភ្នំបានចូលទៅក្នុងរូងភ្នំ។
certainty	ភាពប្រាកដប្រជា	យើងមិនអាចដឹងដោយភាពប្រាកដប្រជាបានទេ។
certificate	វិញ្ញាបនបត្រ	នាងទទួលបានវិញ្ញាបនបត្របណ្តុះបណ្តាល។
challenging	ដែលមានការប្រកួតប្រជែង	វគ្គសិក្សានេះមានបញ្ហាប្រឈមប៉ុន្តែមានប្រយោជន៍។
championship	ជើងឯក	ក្រុមរបស់យើងបានឈានដល់វគ្គផ្តាច់ព្រ័ត្រនៃការប្រកួតជើងឯក។
charming	គួរឱ្យទាក់ទាញ	ផ្លូវចាស់មើលទៅគួរឱ្យទាក់ទាញ។
chase	ដេញតាម	ឆ្កែបានដេញតាមបាល់។
cheek	ថ្ពាល់	ទឹកភ្នែកបានហូរចុះមកលើថ្ពាល់របស់នាង។
cheer	អបអរ	ហ្វូងមនុស្សបានចាប់ផ្តើមស្រែកហ៊ោលឺៗ។
choir	ក្រុមចម្រៀង	ក្រុមចម្រៀងបានច្រៀងយ៉ាងពិរោះ។
chop	កាប់	ចិញ្ច្រាំខ្ទឹមបារាំងជាដុំតូចៗ។
circuit	សៀគ្វី	អ្នករត់បានបញ្ចប់ផ្លូវប្រណាំង។
civilization	អរិយធម៌	អរិយធម៌បុរាណបានបង្កើតតំបន់នេះ។
clarify	បំភ្លឺ	សូមបញ្ជាក់ពីចំណុចចុងក្រោយ។
classify	ចាត់ថ្នាក់	អ្នកវិទ្យាសាស្ត្រចាត់ថ្នាក់សត្វតាមប្រភេទ។
clerk	ស្មៀន	ស្មៀនបានបោះពុម្ពបង្កាន់ដៃ។
cliff	ច្រាំងចោត	ផ្លូវបញ្ចប់នៅជិតច្រាំងចោទ។
clinic	គ្លីនិក	គ្លីនិកបើកនៅម៉ោងប្រាំបី។
clip	ឃ្លីប	នាងបានភ្ជាប់ប្រដាប់ខ្ទាស់ទៅនឹងក្រដាស។
coincidence	ការចៃដន្យ	ការជួបគាត់នៅទីនោះគឺជាការចៃដន្យ។
collector	អ្នកប្រមូល	អ្នកប្រមូលបានទិញកាក់កម្រ។
colony	អាណានិគម	ស្រមោចបានសាងសង់សំបុកធំមួយ។
colourful	ចម្រុះពណ៌	ទីផ្សារមានភាពភ្លឺស្វាងនិងចម្រុះពណ៌។
comic	រឿងកំប្លែង	ឈុតកំប្លែងបានធ្វើឱ្យយើងសើច។
commander	មេបញ្ជាការ	មេបញ្ជាការបានផ្តល់បទបញ្ជាច្បាស់លាស់។
comparative	ប្រៀបធៀប	អត្ថបទនេះប្រើទិន្នន័យប្រៀបធៀប។
completion	ការបញ្ចប់	ស្ពាននេះជិតរួចរាល់ហើយ។
compose	តែង	គាត់នឹងតែងភ្លេងសម្រាប់ភាពយន្តនេះ។
composer	អ្នកនិពន្ធបទភ្លេង	អ្នកតែងភ្លេងបានសរសេរបទចម្រៀងថ្មីមួយ។
compound	សមាសធាតុ	សមាសធាតុនេះមានសារធាតុគីមីពីរ។
comprehensive	ទូលំទូលាយ	សៀវភៅណែនាំផ្តល់នូវការណែនាំគ្រប់ជ្រុងជ្រោយ។
comprise	រួមមាន	ក្រុមនេះរួមមានសមាជិកប្រាំនាក់។
compulsory	កាតព្វកិច្ច	ការចូលរួមគឺជាកាតព្វកិច្ចសម្រាប់ថ្នាក់នេះ។
concrete	បេតុង	កម្រាលឥដ្ឋធ្វើពីបេតុង។
confess	សារភាព	គាត់បានសារភាពកំហុសប្រាប់គ្រូរបស់គាត់។
confusion	ភាពច្របូកច្របល់	ការពន្យារពេលបណ្តាលឱ្យមានភាពច្របូកច្របល់។
consequently	អាស្រ័យហេតុនេះ	ភ្លៀងបានធ្លាក់ហេតុដូច្នេះហើយការប្រកួតបានបញ្ឈប់។
conservation	ការអភិរក្ស	ការអភិរក្សការពារសត្វកម្រ។
considerable	គួរឱ្យកត់សម្គាល់	ការជួសជុលចំណាយពេលគួរឱ្យកត់សម្គាល់។
considerably	យ៉ាងខ្លាំង	តម្លៃបានកើនឡើងយ៉ាងខ្លាំងនៅឆ្នាំនេះ។
consistently	ជាប្រចាំ	នាងធ្វើបានល្អជាប់លាប់។
conspiracy	ការឃុបឃិត	ប៉ូលីសបានស៊ើបអង្កេតការសមគំនិតនេះ។
consult	ពិគ្រោះយោបល់	សូមពិគ្រោះជាមួយគ្រូពេទ្យមុនពេលលេបថ្នាំ។
consultant	អ្នកប្រឹក្សាយោបល់	អ្នកប្រឹក្សាយោបល់បានស្នើឱ្យមានយុទ្ធសាស្ត្រថ្មីមួយ។
consumption	ការប្រើប្រាស់	ការប្រើប្រាស់ថាមពលបានធ្លាក់ចុះកាលពីខែមុន។
controversial	ដែលចម្រូងចម្រាស	គោលនយោបាយនេះនៅតែចម្រូងចម្រាស។
controversy	ភាពចម្រូងចម្រាស	ការសម្រេចចិត្តនេះបង្កឱ្យមានភាពចម្រូងចម្រាស។
convenience	ភាពងាយស្រួល	ហាងនេះផ្តល់នូវភាពងាយស្រួលយ៉ាងខ្លាំង។
convention	អនុសញ្ញា	សន្និបាតប្រចាំឆ្នាំចាប់ផ្តើមនៅថ្ងៃច័ន្ទ។
conventional	តាមបែបប្រពៃណី	គាត់បានជ្រើសរើសការរចនាតាមបែបប្រពៃណី។
convey	បញ្ជូន	សារនេះបង្ហាញពីក្តីអាណិតអាសូរ។
convincing	ដែលគួរឱ្យជឿ	ការពន្យល់របស់នាងគួរឱ្យជឿ។
cope	ទប់ទល់	នាងបានរៀនទប់ទល់នឹងភាពតានតឹង។
corporation	សាជីវកម្ម	សាជីវកម្មនេះបានបើកការិយាល័យថ្មីមួយ។
corridor	ច្រករបៀង	ច្រករបៀងគឺតូចចង្អៀតនិងស្ងាត់។
counter (long flat surface)	បញ្ជរ	កូនសោរនៅលើបញ្ជរផ្ទះបាយ។
coverage	ការគ្របដណ្តប់	ការផ្សាយព័ត៌មានមានរយៈពេលពេញមួយល្ងាច។
crack	ស្នាមប្រេះ	ស្នាមប្រេះមួយបានលេចឡើងនៅលើជញ្ជាំង។
craft	សិប្បកម្ម	នាងលក់សិប្បកម្មធ្វើដោយដៃតាមអ៊ីនធឺណិត។
creativity	ភាពច្នៃប្រឌិត	ភាពច្នៃប្រឌិតជួយដោះស្រាយបញ្ហា។
critically	យ៉ាងម៉ត់ចត់	អត្ថបទនេះមានសារៈសំខាន់យ៉ាងខ្លាំង។
cruise	ដំណើរកម្សាន្តតាមកប៉ាល់	ពួកគេបានកក់នាវាទេសចរណ៍ទៅកាន់ប្រទេសក្រិក។
cue	សញ្ញា	តួសម្តែងបានខកខានសញ្ញារបស់គាត់។
curious	ដែលចង់ដឹងចង់ឃើញ	ក្មេងនេះចង់ដឹងចង់ឃើញអំពីលំហអាកាស។
curriculum	កម្មវិធីសិក្សា	សាលាបានធ្វើបច្ចុប្បន្នភាពកម្មវិធីសិក្សារបស់ខ្លួន។
cute	គួរឱ្យស្រលាញ់	កូនឆ្កែមើលទៅគួរឱ្យស្រលាញ់។
dairy	ផលិតផលទឹកដោះគោ	កសិដ្ឋាននេះផលិតផលិតផលទឹកដោះគោ។
dare	ហ៊ាន	ខ្ញុំហ៊ានឱ្យអ្នកសាកល្បងវា។
darkness	ភាពងងឹត	បន្ទប់ពោរពេញទៅដោយភាពងងឹត។
database	មូលដ្ឋានទិន្នន័យ	មូលដ្ឋានទិន្នន័យរក្សាទុកកំណត់ត្រាអតិថិជន។
deadline	ថ្ងៃកំណត់	កាលបរិច្ឆេទផុតកំណត់គឺថ្ងៃសុក្រ។
deadly	ដែលបណ្តាលឱ្យស្លាប់	ពស់នេះមានពិសដែលបណ្តាលឱ្យស្លាប់។
dealer	អ្នកលក់	អ្នកលក់ឡានបានផ្តល់ការបញ្ចុះតម្លៃ។
deck	នាវាក្រាល	កៅអីគឺនៅលើរានហាល។
defender	អ្នកការពារ	ខ្សែការពារបានរារាំងការទាត់បាល់នោះ។
delete	លុប	លុបសារចាស់នោះចោល។
democracy	លទ្ធិប្រជាធិបតេយ្យ	លទ្ធិប្រជាធិបតេយ្យអាស្រ័យលើការបោះឆ្នោតដោយសេរី។
democratic	តាមបែបប្រជាធិបតេយ្យ	ការបោះឆ្នោតបានធ្វើតាមច្បាប់ប្រជាធិបតេយ្យ។
demonstration	ការធ្វើបាតុកម្ម	សិស្សបានចូលរួមក្នុងបាតុកម្មមួយ។
depart	ចាកចេញ	រថភ្លើងនឹងចេញដំណើរនៅពេលថ្ងៃត្រង់។
dependent	ដែលពឹងផ្អែក	កុមារគឺពឹងផ្អែកលើមនុស្សពេញវ័យ។
deposit	ប្រាក់កក់	នាងបានបង់ប្រាក់កក់សម្រាប់ផ្ទះល្វែង។
depression	ជំងឺបាក់ទឹកចិត្ត	ជំងឺបាក់ទឹកចិត្តទាមទារការគាំទ្រពីអ្នកជំនាញ។
derive	ទាញយក	ពាក្យជាច្រើនក្លាយមកពីភាសាឡាតាំង។
desperately	យ៉ាងអស់សង្ឃឹម	គាត់ត្រូវការទឹកយ៉ាងខ្លាំង។
destruction	ការបំផ្លិចបំផ្លាញ	ព្យុះនេះបានបង្កឱ្យមានការបំផ្លិចបំផ្លាញយ៉ាងទូលំទូលាយ។
determination	ការប្តេជ្ញាចិត្ត	ការតាំងចិត្តរបស់នាងបានធ្វើឱ្យគ្រូបង្វឹកចាប់អារម្មណ៍។
devote	លះបង់	នាងលះបង់ចុងសប្តាហ៍ដើម្បីសិក្សា។
differ	ខុសគ្នា	មតិរបស់ពួកគេខុសគ្នាយ៉ាងខ្លាំង។
disability	ពិការភាព	អគារនេះមានផ្លូវសម្រាប់ជនពិការ។
disabled	ពិការ	អត្តពលិកពិការបានឈ្នះមេដាយ។
disagreement	ការមិនយល់ស្រប	កិច្ចប្រជុំបានបញ្ចប់ដោយការមិនយល់ស្រប។
disappoint	ធ្វើឱ្យខកចិត្ត	លទ្ធផលនេះអាចធ្វើឱ្យអ្នកគាំទ្រខកចិត្ត។
disappointment	ការខកចិត្ត	គាត់មានអារម្មណ៍ខកចិត្តយ៉ាងខ្លាំង។
discourage	ធ្វើឱ្យបាក់ទឹកចិត្ត	កុំបំបាក់ទឹកចិត្តអ្នកសិក្សាវ័យក្មេង។
disorder	ភាពមិនរៀបរយ	គ្រូពេទ្យបានធ្វើរោគវិនិច្ឆ័យឃើញភាពមិនប្រក្រតីនៃការគេង។
distant	ឆ្ងាយ	ភ្នំមើលទៅឆ្ងាយ។
distinct	ដាច់ដោយឡែក	សំឡេងទាំងពីរគឺផ្សេងគ្នា។
distinguish	បែងចែក	តើអ្នកអាចបែងចែកពណ៌ទាំងនេះបានទេ?
distract	បង្វែរអារម្មណ៍	សំឡេងរំខានអាចរំខានអារម្មណ៍សិស្ស។
disturb	រំខាន	សូមកុំរំខានអ្នកជំងឺ។
dive	ការមុជទឹក	ពួកគេនឹងមុជទឹកនៅក្បែរថ្មប៉ប្រះទឹក។
diverse	ចម្រុះ	ទីក្រុងនេះមានវប្បធម៌ចម្រុះ។
diversity	ភាពចម្រុះ	យើងអបអរសាទរភាពចម្រុះនៃវប្បធម៌។
divorce	ការលែងលះ	ការលែងលះគឺជារឿងពិបាកសម្រាប់មនុស្សគ្រប់គ្នា។
dominant	ដែលគ្របដណ្តប់	ក្រុមដែលខ្លាំងជាងគេបានគ្រប់គ្រងការប្រកួត។
donation	ការបរិច្ចាគ	អង្គការសប្បុរសធម៌ទទួលបានអំណោយមួយ។
dot	ចំណុច	ដាក់ចំណុចមួយនៅក្រោយលេខ។
downtown	កណ្តាលទីក្រុង	យើងបានជួបគ្នានៅកណ្តាលទីក្រុងបន្ទាប់ពីធ្វើការ។
dramatically	យ៉ាងខ្លាំង	តម្លៃបានធ្លាក់ចុះយ៉ាងខ្លាំង។
drought	គ្រោះរាំងស្ងួត	គ្រោះរាំងស្ងួតបានធ្វើឱ្យខូចខាតដំណាំ។
dull	គួរឱ្យធុញ	ការបង្រៀនគឺគួរឱ្យធុញណាស់។
dump	បោះចោល	កុំចោលសំរាមនៅទីនេះ។
duration	រយៈពេល	រយៈពេលនៃការហោះហើរគឺបីម៉ោង។
dynamic	សកម្ម	ថ្នាក់រៀនមានភាពសកម្ម។
economics	សេដ្ឋកិច្ច	នាងសិក្សាមុខវិជ្ជាសេដ្ឋកិច្ចវិទ្យានៅសាកលវិទ្យាល័យ។
economist	សេដ្ឋវិទូ	សេដ្ឋវិទូបានព្យាករណ៍ពីកំណើនយឺត។
editorial	វិចារណកថា	អត្ថបទវិចារណកថាបានរិះគន់ច្បាប់នេះ។
efficiently	យ៉ាងមានប្រសិទ្ធភាព	ក្រុមការងារបានធ្វើការយ៉ាងមានប្រសិទ្ធភាព។
elbow	កែងដៃ	គាត់បានធ្វើឱ្យរបួសកែងដៃរបស់គាត់។
electronics	គ្រឿងអេឡិចត្រូនិក	ហាងនេះលក់គ្រឿងអេឡិចត្រូនិក។
elegant	ស្រស់ស្អាត	រ៉ូបនោះមើលទៅស្រស់ស្អាត។
elementary	ជាមូលដ្ឋាន	សៀវភៅនេះពន្យល់ពីវេយ្យាករណ៍មូលដ្ឋាន។
eliminate	លុបបំបាត់	ក្រុមនេះបានលុបបំបាត់កំហុសជាច្រើន។
embrace	ទទួលយក	នាងបានទទួលយកគំនិតថ្មី។
emission	ការបញ្ចេញ	កម្រិតនៃការបញ្ចេញឧស្ម័នរថយន្តបានធ្លាក់ចុះ។
emotionally	តាមផ្លូវអារម្មណ៍	គាត់បាននិយាយដោយរំជួលចិត្តអំពីគ្រួសាររបស់គាត់។
empire	ចក្រភព	ចក្រភពនេះមានរយៈពេលជាច្រើនសតវត្សរ៍។
enjoyable	គួរឱ្យរីករាយ	ការធ្វើដំណើរនេះគឺគួរឱ្យសប្បាយ។
entertaining	កម្សាន្ត	ការសម្ដែងនេះគឺផ្ដល់ការកម្សាន្ត។
entrepreneur	សហគ្រិន	សហគ្រិននោះបានបើកហាងកាហ្វេមួយ។
envelope	ស្រោមសំបុត្រ	ដាក់សំបុត្រទៅក្នុងស្រោមសំបុត្រ។
equip	បំពាក់	សាលានឹងបំពាក់បន្ទប់ពិសោធន៍។
equivalent	អ្វីដែលស្មើគ្នា	មួយដុល្លារមិនមានតម្លៃសមមូលនៅទីនេះទេ។
era	សម័យកាល	ការរកឃើញនេះបានចាប់ផ្តើមសម័យកាលថ្មីមួយ។
erupt	ផ្ទុះឡើង	ភ្នំភ្លើងអាចនឹងផ្ទុះក្នុងពេលឆាប់ៗនេះ។
essentially	ជាសំខាន់	វិធីសាស្ត្រទាំងពីរគឺដូចគ្នាជាមូលដ្ឋាន។
ethic	ក្រមសីលធម៌	ក្រមសីលធម៌ការងាររបស់គាត់គឺខ្លាំង។
ethnic	ជនជាតិភាគតិច	ពិធីបុណ្យនេះប្រារព្ធប្រពៃណីជនជាតិភាគតិច។
evaluation	ការវាយតម្លៃ	វគ្គសិក្សានេះរួមមានការវាយតម្លៃចុងក្រោយ។
evident	ជាក់ស្តែង	ភាពភ័យព្រួយរបស់គាត់គឺជាក់ស្តែង។
evolution	ការវិវត្ត	ការវិវត្តពន្យល់ពីការផ្លាស់ប្តូរជីវសាស្ត្រជាច្រើន។
evolve	វិវត្ត	ភាសាវិវត្តទៅតាមពេលវេលា។
exceed	លើសពី	តម្រូវការអាចលើសពីការផ្គត់ផ្គង់។
exception	ការលើកលែង	មានការលើកលែងមួយ។
excessive	ហួសហេតុ	សំឡេងរំខានហួសហេតុរំខានដល់អ្នកជិតខាង។
exclude	ដកចេញ	បញ្ជីនេះដកចេញកម្មករបណ្តោះអាសន្ន។
exhibit	ការតាំងពិព័រណ៍	សារមន្ទីរនឹងតាំងពិព័រណ៍រូបថតកម្រ។
exit	ច្រកចេញ	ច្រកចេញគឺនៅខាងក្រោយឆាក។
exotic	ចម្លែក	ហាងនេះលក់ផ្លែឈើប្លែកៗ។
expansion	ការពង្រីក	ក្រុមហ៊ុនបានរៀបចំផែនការការពង្រីក។
expertise	ជំនាញ	ជំនាញរបស់នាងបានកែលម្អគម្រោងនេះ។
exploit	កេងប្រវ័ញ្ច	ឧក្រិដ្ឋជនកេងប្រវ័ញ្ចពាក្យសម្ងាត់ខ្សោយ។
exposure	ការបង្ហាញ	ការប្រឈមមុខនឹងពន្លឺព្រះអាទិត្យអាចបំផ្លាញស្បែក។
extension	ការពន្យារ	ការពន្យារពេលកំណត់បានជួយដល់មនុស្សគ្រប់គ្នា។
extensive	ទូលំទូលាយ	បណ្ណាល័យមានធនធានទូលំទូលាយ។
extensively	យ៉ាងទូលំទូលាយ	ប្រធានបទនេះត្រូវបានសិក្សាយ៉ាងទូលំទូលាយ។
extract	ការដកស្រង់	សារធាតុចម្រាញ់វ៉ានីឡាផ្តល់នូវរសជាតិ។
fabric	ក្រណាត់	ក្រណាត់នេះមានអារម្មណ៍ទន់។
fabulous	អស្ចារ្យ	អាហារនេះគឺអស្ចារ្យណាស់។
failed	បរាជ័យ	ការប៉ុនប៉ងដែលបរាជ័យបានបង្រៀនយើងអ្វីមួយ។
fake	ក្លែងក្លាយ	គេហទំព័រនេះលក់សំបុត្រក្លែងក្លាយ។
fame	កេរ្តិ៍ឈ្មោះ	កិត្តិនាមបានផ្លាស់ប្តូរជីវិតឯកជនរបស់គាត់។
fantasy	រវើរវាយ	ប្រលោមលោកនេះគឺជារឿងរវើរវាយ។
fare	ថ្លៃធ្វើដំណើរ	ថ្លៃធ្វើដំណើរតាមឡានក្រុងបានកើនឡើង។
federal	សហព័ន្ធ	រដ្ឋាភិបាលសហព័ន្ធបានប្រកាសពីការផ្តល់មូលនិធិ។
fever	គ្រុនក្តៅ	ក្មេងនេះមានគ្រុនក្តៅ។
firefighter	អ្នកពន្លត់អគ្គិភ័យ	អ្នកពន្លត់អគ្គិភ័យបានជួយសង្គ្រោះឆ្កែ។
firework	កាំជ្រួច	កាំជ្រួចមួយបានផ្ទុះនៅពីលើសួនច្បារ។
firm	រឹងមាំ	ពូកនេះគឺរឹង។
firmly	យ៉ាងមុតមាំ	នាងបានបិទទ្វារយ៉ាងតឹង។
flavour	រសជាតិ	ស៊ុបនេះមានរសជាតិឆ្ងាញ់។
fond	ចូលចិត្ត	គាត់ចូលចិត្តតន្ត្រីហ្សាស។
fool	មនុស្សល្ងីល្ងើ	កុំធ្វើខ្លួនដូចមនុស្សល្ងីល្ងើ។
forbid	ហាមឃាត់	ច្បាប់ហាមឃាត់ការជក់បារីនៅទីនេះ។
forecast	ការព្យាករណ៍	ការព្យាករណ៍ថាមានភ្លៀងធ្លាក់។
format	ទម្រង់	សូមប្រើទម្រង់ឯកសារឱ្យបានត្រឹមត្រូវ។
formation	ការបង្កើត	ការកកើតពពកផ្លាស់ប្តូរយ៉ាងលឿន។
formerly	ពីមុន	អគារនេះពីមុនជាសាលារៀន។
