simplified	TL	example_TL
明白	maunawaan; malinaw	Naiintindihan ko ang ibig mong sabihin.
拿	kumuha; hawakan; dalhin	Pakikuha ako ng isang libro.
奶奶	lola	Mahilig makinig ng musika si Lola.
南	timog	Nasa timog ng lungsod ang paaralan.
难	mahirap	Hindi mahirap ang tanong na ito.
难过	malungkot	Medyo malungkot siya ngayon.
年级	baitang; grado	Nasa ikatlong baitang ang nakababata kong kapatid.
年轻	bata; kabataan	Bata pa ang tagapamahalang ito.
鸟	ibon	May isang ibon sa puno.
努力	magsikap; pagsisikap	Masipag siyang mag-aral.
爬山	umakyat ng bundok; mag-hiking	Aakyat kami ng bundok sa katapusan ng linggo.
盘子	plato	May tatlong plato sa mesa.
胖	mataba; mabilog	Medyo mataba ang asong ito.
啤酒	serbesa	Hindi umiinom ng serbesa si Tatay.
皮鞋	sapatos na balat	Mahal ang pares ng sapatos na balat na ito.
瓶子	bote	May tubig sa bote.
其实	talaga; sa totoo lang	Sa totoo lang, ayaw ko ng serbesa.
其他	iba; iba pa	Dumating na ang iba pang kaklase.
奇怪	kakaiba; kataka-taka	Kakaiba ang tunog na ito.
骑	sumakay; magbisikleta	Araw-araw siyang nagbibisikleta papunta sa trabaho.
起飞	lumipad; umalis sa lupa	Pa-lipad na ang eroplano.
起来	tumayo; bumangon	Pakitayo.
清楚	malinaw	Malinaw kang nagsalita.
请假	humingi ng leave; magpaalam lumiban	Sipon siya kaya kailangan niyang magpaalam lumiban.
秋	taglagas	Maginhawa ang panahon sa taglagas.
裙子	palda	Maganda ang paldang ito.
然后	pagkatapos; saka	Kumakain muna ako, saka gumagawa ng takdang-aralin.
热情	magiliw; masigasig	Magiliw ang mga kaibigang Tsino.
认为	isipin; maniwala	Sa tingin ko, maganda ang paraang ito.
认真	seryoso; maingat	Pakinggan mong mabuti ang paliwanag ng guro.
容易	madali	Madaling isulat ang karakter na Tsino na ito.
如果	kung	Kung uulan, sasakay kami ng subway.
伞	payong	Umuulan, pakidalhin ang payong.
上网	mag-internet; online	Sa gabi, nag-iinternet ako para tingnan ang mapa.
声音	tinig; tunog	Maganda pakinggan ang boses mo.
生气	magalit	Huwag kang magalit, hindi ko sinasadya.
世界	mundo	Malaki ang mundo.
试	subukan	Gusto kong sukatin ang pares ng sapatos na balat na ito.
瘦	payat	Pumayat siya kaysa dati.
叔叔	tiyo; tito	Hinatid ako ng tito ko sa paaralan gamit ang kotse.
舒服	komportable	Komportable ang upuang ito.
数学	matematika	Interesante ang klase sa matematika.
树	puno	May isang puno sa harap ng bahay.
刷牙	magsipilyo	Nagsisipilyo ako tuwing umaga.
双	pares; kambal	Bumili ako ng isang pares ng sapatos na balat.
水平	antas; lebel	Mataas ang antas niya sa wikang Tsino.
司机	drayber	Naghihintay sa amin ang drayber sa may pinto.
太阳	araw	Matindi ang sikat ng araw ngayon.
特别	espesyal; lalo na	Lalo nang interesante ang programang ito.
疼	sumakit; masakit	Masakit ang binti ko.
提高	pataasin; pagbutihin	Maraming pagsasanay ang makapagpapabuti ng antas sa Tsino.
体育	palakasan; pisikal na edukasyon	Gusto ko ang klase sa palakasan.
甜	matamis	Masyadong matamis ang inuming ito.
条	panukat para sa mahaba o patag na bagay; artikulo	Bumili ako ng isang palda.
同事	katrabaho	Abala ang katrabaho ko.
同意	sumang-ayon	Sumasang-ayon ako sa desisyon mo.
头发	buhok	Mahaba ang buhok niya.
突然	bigla	Bigla siyang umalis.
图书馆	aklatan	Hindi bukas ang aklatan ngayon.
腿	binti	Matapos umakyat ng bundok, masakit ang mga binti ko.
完成	tapusin; makumpleto	Natapos ko na ang takdang-aralin.
碗	mangkok	May dalawang mangkok sa mesa.
万	sampung libo	May sampung libong tao sa lungsod na ito.
忘记	makalimot	Huwag kalimutang dalhin ang pasaporte.
为	para sa; dahil sa	Masaya ako para sa iyo.
为了	para sa; upang	Para sa pagsusulit, nagrerepaso siya araw-araw.
位	magalang na panukat para sa tao	Sikat ang gurong ito.
文化	kultura	Gusto kong maunawaan ang kulturang Tsino.
西	kanluran	Nasa kanluran ng paaralan ang bangko.
习惯	ugali; masanay	Nasanay akong mag-ehersisyo sa umaga.
洗手间	banyo; palikuran	Nasa kanan ang banyo.
洗澡	maligo	Naliligo ako sa gabi.
夏	tag-init	Mainit ang tag-init.
先	muna; una	Kumain ka muna.
相信	maniwala	Naniniwala akong darating siya.
香蕉	saging	Bumili ako ng tatlong saging.
像	magmukhang; parang	Parang isang ibon ang ulap na ito.
向	patungo sa; direksiyon	Pakilakad pakaliwa.
小心	mag-ingat	Umuulan, mag-ingat ka sa daan.
校长	principal; punong-guro	Nasa opisina ang punong-guro.
新闻	balita	Araw-araw nanonood ng balita si Tatay.
新鲜	sariwa	Sariwa ang prutas na ito.
信用卡	kard pangkredito	Maaari ba akong magbayad gamit ang kard pangkredito?
行李箱	maleta	Mabigat ang maleta ko.
熊猫	panda	Mahilig manood ng panda ang mga bata.
需要	kailanganin	Kailangan ko ang tulong mo.
选择	pumili; pagpili	Aling polo ang pipiliin mo?
要求	hilingin; kailanganin	Hinihiling ng guro na gawin namin nang mabuti ang takdang-aralin.
爷爷	lolo	Araw-araw pumupunta sa parke si Lolo.
一直	palagi; tuloy-tuloy	Tuloy-tuloy ka niyang hinihintay.
一定	tiyak; siguradong	Siguradong darating ako.
一共	kabuuan; lahat-lahat	Magkano lahat ang mga librong ito?
一会儿	sandali	Pakihintay ako sandali.
一样	pareho	Pareho ang laki ng dalawang tasang ito.
以前	dati; noon	Dati akong nakatira sa Beijing.
一般	karaniwan; pangkaraniwan	Karaniwan lang ang pagkain sa restawrang ito.
一边	isang panig; habang	Habang nakikinig siya ng musika, gumagawa siya ng takdang-aralin.
音乐	musika	Gusto ko ang musikang Tsino.
银行	bangko	Nasa tabi ng malaking tindahan ang bangko.
饮料	inumin	Masarap ang inuming ito.
应该	dapat; nararapat	Dapat kang magpahinga pa.
影响	epekto; makaapekto	Makaaapekto ang panahon sa laban.
用	gamitin	Gumagamit ako ng kompyuter sa paggawa ng takdang-aralin.
游戏	laro	Naglalaro ang mga bata.
有名	sikat; kilala	Sikat ang restawrang ito.
又	muli; na naman	Nahuli na naman siya ngayon.
遇到	makasalubong; makatagpo	Nakasalubong ko ang guro sa kalye.
元	yuan	Limampung yuan ang diksyunaryong ito.
愿意	handang; pumayag	Handa ka bang sumali?
月亮	buwan	Maliwanag ang buwan ngayong gabi.
越	habang… lalong…	Habang mas nag-aaral ako ng Tsino, lalo itong nagiging interesante.
站	istasyon; tumayo	Nakatayo siya sa may pinto.
张	panukat para sa patag na bagay; piraso	Pakibigyan ako ng isang mapa.
长	lumaki; tumubo	Mabilis lumaki ang mga bata.
着急	mag-alala; mabalisa	Huwag kang mag-alala, darating na ang asensor.
照顾	alagaan	Inaalagaan niya ang maysakit na lola.
照片	litrato; larawan	Maganda ang litratong ito.
照相机	kamera	Gumagamit ako ng kamera sa pagkuha ng litrato.
283:只	lamang; lang	Isang tasa lang ng tsaa ang iniinom ko.
284:只	panukat para sa hayop	May isang pusa sa ilalim ng mesa.
只有…才…	tanging… saka lamang…	Tanging sa maingat na pagrerepaso saka lamang gaganda ang resulta sa pagsusulit.
中间	gitna	Nasa gitna ng kuwarto ang mesa.
中文	wikang Tsino; sulating Tsino	Araw-araw akong nag-aaral ng Tsino.
终于	sa wakas	Sa wakas, nakarating kami.
种	uri; klase	Anong uri ng inumin ang gusto mo?
重要	mahalaga	Napakahalaga ng pasaporte.
周末	katapusan ng linggo	Gusto kong pumunta sa parke sa katapusan ng linggo.
主要	pangunahin; pangunahing	Pangunahing libangan niya ang musika.
注意	pansinin; mag-ingat	Pakipakinggan nang mabuti ang guro.
自己	sarili	Gusto kong gawin ang takdang-aralin nang mag-isa.
自行车	bisikleta	Nasa ibaba ang bisikleta ko.
总是	palagi	Palagi siyang maagang dumarating sa opisina.
嘴	bibig	Pakibuka ang bibig.
最后	huli; sa wakas	Sa huli, sumang-ayon kaming lahat.
最近	kamakailan; nitong mga araw	Nitong mga araw, abala ako.
作业	takdang-aralin; gawain	Hindi ko pa natatapos ang takdang-aralin.
