simplified	KA	example_KA
传统	ტრადიცია; ტრადიციული	გაზაფხულის დღესასწაული ჩინეთის ტრადიციული დღესასწაულია.
窗帘	ფარდა	გთხოვთ, ფარდები გადაწიოთ.
闯	შეჭრა; წესის დარღვევით გავლა	მან შემთხვევით წითელ შუქზე გაიარა.
创造	შექმნა	ადამიანებმა ახალი იარაღები შექმნეს.
吹	ქროლა; დაბერვა	ქარი ძლიერად ქრის.
词汇	ლექსიკა; სიტყვათა მარაგი	ეს სიტყვა ხშირად გამოიყენება.
辞职	სამსახურიდან წასვლა	მან სამსახურიდან წასვლა გადაწყვიტა.
此外	გარდა ამისა	გარდა ამისა, კიდევ ერთი კითხვა მაქვს.
刺激	ამაღელვებელი; სტიმული	ეს თამაში ძალიან ამაღელვებელია.
次要	მეორეხარისხოვანი	ეს საკითხი მეორეხარისხოვანია.
匆忙	აჩქარებული; ნაჩქარევი	ის სახლიდან ნაჩქარევად წავიდა.
从此	ამის შემდეგ; მას შემდეგ	ამის შემდეგ ის ყოველდღე ვარჯიშობდა.
从而	ამით; შედეგად	მან გულმოდგინედ ისწავლა და შედეგად გამოცდა ჩააბარა.
从前	ადრე; უწინ	ადრე აქ მეტრო არ იყო.
从事	საქმიანობა; დაკავება	ის განათლების სფეროში მუშაობს.
粗糙	უხეში; ხორკლიანი	ეს ქაღალდი ძალიან უხეშია.
促进	ხელშეწყობა; განვითარება	ვარჯიში ჯანმრთელობას უწყობს ხელს.
促使	ბიძგის მიცემა; წაქეზება	ამ ამბავმა მას გეგმის შეცვლისკენ უბიძგა.
醋	ძმარი	კერძს ძმარი დაემატა.
催	დაჩქარება; აჩქარება	დედამ მთხოვა, სწრაფად გავსულიყავი.
存在	არსებობა	ეს პრობლემა ჯერ კიდევ არსებობს.
措施	ზომა; ღონისძიება	სკოლამ უსაფრთხოების ზომები მიიღო.
答应	დათანხმება; დაპირება	ის დამთანხმდა, რომ დამეხმარებოდა.
达到	მიღწევა	მისმა შედეგებმა სტანდარტს მიაღწია.
打工	ნახევარ განაკვეთზე მუშაობა	ის ზაფხულის არდადეგებზე რესტორანში მუშაობს.
打交道	საქმის დაჭერა; ურთიერთობა	კლიენტებთან ხშირად მაქვს საქმე.
打喷嚏	ცემინება	ის გაციებულია და სულ აცემინებს.
打听	გამოკითხვა; კითხვა	მინდა მატარებლის ბილეთებზე ვიკითხო.
大方	გულუხვი	ის ფულის ხარჯვაში ძალიან გულუხვია.
大厦	დიდი შენობა	ის დიდი შენობა ძალიან მაღალია.
大象	სპილო	ბავშვები ზოოპარკში სპილოს უყურებენ.
大型	მსხვილი; ფართომასშტაბიანი	აქ დიდი სავაჭრო ცენტრი აშენდება.
呆	დარჩენა; გახევებული	ის სახლში დარჩა და წიგნს კითხულობს.
代表	წარმომადგენელი; გამოხატვა	ეს ყვავილი მეგობრობას გამოხატავს.
代替	შეცვლა; მაგივრად ყოფნა	დღეს მის მაგივრად შეხვედრას მე დავესწრები.
待遇	პირობები; ანაზღაურება	ამ კომპანიაში სამუშაო პირობები კარგია.
贷款	სესხი	მათ საცხოვრებლის სესხზე განაცხადი შეიტანეს.
单纯	მარტივი; გულუბრყვილო	მისი აზრი ძალიან მარტივია.
单调	ერთფეროვანი	ეს სამუშაო ცოტა ერთფეროვანია.
单独	მარტო; ცალკე	მინდა შენთან ცალკე ვილაპარაკო.
单位	ერთეული; დაწესებულება	ის საჯარო დაწესებულებაში მუშაობს.
单元	თავი; განყოფილება	დღეს მესამე თავს ვსწავლობთ.
担任	პასუხისმგებლობის აღება; თანამდებობის დაკავება	ის ამ ღონისძიებაზე პასუხისმგებელი პირია.
耽误	დაყოვნება; დროის დაკარგვა	ნუ დაკარგავ ყველას დროს.
胆小鬼	მშიშარა	მას მშიშარა ნუ დაუძახებ.
淡	უგემური; სუსტი	ეს წვნიანი ცოტა უგემურია.
当地	ადგილობრივი	ადგილობრივებს ეს ბაზარი ძალიან მოსწონთ.
当心	ფრთხილად ყოფნა	გზა სრიალაა, ფრთხილად იყავი.
挡	დაბრკოლება; გადაღობვა	ეს მანქანა შესასვლელს ფარავს.
倒霉	უიღბლო; იღბალი არ ჰქონდეს	დღეს ძალიან უიღბლო დღეა, ტელეფონი დავკარგე.
导演	რეჟისორი	ეს რეჟისორი ძალიან ცნობილია.
导致	გამოწვევა; მიზეზი გახდომა	ძლიერმა წვიმამ საცობი გამოიწვია.
岛屿	კუნძული	ამ ქვეყანას ბევრი კუნძული აქვს.
到达	ჩამოსვლა; მიღწევა	მატარებელი შანხაიში დროულად ჩავიდა.
道德	ზნეობა; მორალი	ადამიანს ზნეობრივი პრინციპები უნდა ჰქონდეს.
道理	აზრი; ლოგიკა	მის ნათქვამში დიდი აზრია.
登记	რეგისტრაცია	გთხოვთ, ჯერ მისაღებში დარეგისტრირდეთ.
等待	ლოდინი	ჩვენ შედეგს ველოდებით.
等于	ტოლია	ხუთს რომ ხუთი დავუმატოთ, ათია.
滴	წვეთი	მაგიდაზე ერთი წვეთი წყალი დაეცა.
敌人	მტერი	ისინი მტრები არ არიან.
的确	მართლაც; ნამდვილად	ეს საქმე მართლაც ძალიან მნიშვნელოვანია.
地道	ნამდვილი; ავთენტური	ის ავთენტურ პეკინურ დიალექტზე ლაპარაკობს.
地理	გეოგრაფია	ჩინეთის გეოგრაფია ძალიან მაინტერესებს.
地区	რეგიონი; რაიონი	ამ რეგიონში ზამთარში ძალიან ცივა.
地毯	ხალიჩა	მისაღებ ოთახში ხალიჩა არის დაგებული.
地位	ადგილი; სტატუსი	განათლებას საზოგადოებაში მნიშვნელოვანი ადგილი აქვს.
地震	მიწისძვრა	წუხელ აქ მიწისძვრა მოხდა.
递	მიწოდება; გადაცემა	გთხოვთ, ეს წერილი მასწავლებელს გადასცეთ.
点心	სასუსნავი; მსუბუქი ნუგბარი	ნაშუადღევს სასუსნავი ვჭამეთ.
电池	ელემენტი	ამ სათამაშოს ორი ელემენტი სჭირდება.
电台	რადიოსადგური	ის რადიოსადგურში გადაცემას უძღვება.
钓	ანკესით თევზაობა	ბაბუას მდინარის პირას თევზაობა უყვარს.
顶	ზედა ნაწილი; ქუდის სათვლელი სიტყვა	მას შავი ქუდი ახურავს.
冻	გაყინვა	გარეთ ისე ცივა, წყალიც კი გაიყინა.
动画片	მულტფილმი	ბავშვები მულტფილმს უყურებენ.
洞	ხვრელი; გამოქვაბული	კედელში პატარა ხვრელია.
豆腐	ტოფუ	ეს ტოფუს კერძი ძალიან გემრიელია.
逗	გაცინება; გაღიზიანება	მისმა სიტყვებმა ყველა გააცინა.
独立	დამოუკიდებელი	მას დამოუკიდებლად ცხოვრება სურს.
独特	უნიკალური; თავისებური	ამ ქალაქს უნიკალური კულტურა აქვს.
度过	გატარება	არდადეგები ზღვის პირას გავატარეთ.
断	გაწყვეტა; გატეხვა	ეს თოკი გაწყდა.
堆	დაგროვება; გროვა	მაგიდაზე ბევრი დოკუმენტია დაგროვილი.
兑换	გადაცვლა; გაცვლა	ცოტა იუანის გადაცვლა მინდა.
对比	შედარება	გთხოვთ, ეს ორი გეგმა შეადაროთ.
对待	მოპყრობა	ყველას სამართლიანად უნდა მოვექცეთ.
对方	მეორე მხარე	გთხოვთ, ჯერ მეორე მხარის აზრი მოისმინოთ.
对手	მოწინააღმდეგე	მისი მოწინააღმდეგე ძალიან ძლიერია.
对象	ობიექტი; სამიზნე	კვლევის ობიექტი უნივერსიტეტის სტუდენტები არიან.
吨	ტონა	ამ სატვირთოს სამი ტონა ტვირთის გადატანა შეუძლია.
蹲	ჩაცუცქვა	ის მიწაზე ჩაიცუცქა და გასაღებებს ეძებს.
顿	საჭმლის ულუფის სათვლელი სიტყვა	ერთად ვივახშმეთ.
多亏	წყალობით; მადლობა	შენი დახმარების წყალობით დავალება დავასრულე.
多余	ზედმეტი	ეს წინადადება ზედმეტია.
朵	ყვავილის სათვლელი სიტყვა	მაგიდაზე ერთი ყვავილი დევს.
躲藏	დამალვა	კნუტი საწოლის ქვეშ დაიმალა.
恶劣	ძალიან ცუდი	დღეს ამინდი ძალიან ცუდია.
耳环	საყურე	მას ერთი წყვილი საყურე უკეთია.
发表	გამოთქმა; გამოქვეყნება	მან შეხვედრაზე თავისი აზრი გამოთქვა.
发愁	დარდი; წუხილი	ამ პატარა საქმეზე ნუ იდარდებ.
发达	განვითარებული	ამ ქალაქში ტრანსპორტი კარგად არის განვითარებული.
发抖	კანკალი	ის სიცივისგან კანკალებს.
发挥	გამოყენება; გამოვლენა	გთხოვთ, თქვენი წარმოსახვა გამოიყენოთ.
发明	გამოგონება	ელექტრო ნათურა მნიშვნელოვანი გამოგონებაა.
发票	ანგარიშფაქტურა; ქვითარი	გთხოვთ, ანგარიშფაქტურა გამომიწეროთ.
发言	სიტყვით გამოსვლა	მან შეხვედრაზე სიტყვით გამოვიდა.
罚款	ჯარიმა	არასწორი პარკირებისთვის ჯარიმაა.
法院	სასამართლო	ეს საქმე სასამართლოს გადაეცა.
翻	გადაშლა; გადაბრუნება	გთხოვთ, წიგნი მეათე გვერდზე გადაშალოთ.
繁荣	აყვავება; კეთილდღეობა	ეკონომიკა ნელ-ნელა ყვავის.
反而	პირიქით	ის არ გაბრაზდა, პირიქით, გაიცინა.
反复	განმეორებით	ეს წინადადება განმეორებით უნდა ივარჯიშო.
反应	რეაქცია	მისი რეაქცია სწრაფია.
反映	ასახვა	ეს ანგარიში რეალურ მდგომარეობას ასახავს.
反正	ყოველ შემთხვევაში; მაინც	ყოველ შემთხვევაში, ხვალ დრო მაქვს.
范围	ფარგლები; დიაპაზონი	გთხოვთ, ამ ფარგლებს არ გასცდეთ.
方	კვადრატი	გთხოვთ, ქაღალდზე კვადრატი დახატოთ.
方案	გეგმა; წინადადება	ეს გეგმა საკმაოდ გონივრულია.
方式	ხერხი; მეთოდი	სწავლის ეს მეთოდი ძალიან ეფექტურია.
妨碍	ხელის შეშლა	გთხოვთ, სხვებს მუშაობაში ხელს ნუ შეუშლით.
仿佛	თითქოს	ის თითქოს ყველაფერს იცნობს.
非	აუცილებლად; გარეშე არ	ეს საქმე შენ გარეშე ვერ გაკეთდება.
肥皂	საპონი	ხელების დაბანისას საპონი გამოიყენეთ.
废话	უაზრო ლაპარაკი	უაზრო ლაპარაკს თავი დაანებე და მალე დაიწყე.
分别	დაშორება; გარჩევა	ისინი სადგურზე დაშორდნენ.
分布	განაწილება; გავრცელება	ეს მაღაზიები მთელ ქალაქშია განაწილებული.
分配	განაწილება; დავალება	მასწავლებელმა ახალი დავალება გაანაწილა.
分手	დაშორება	ისინი შარშან დაშორდნენ.
分析	ანალიზი; გაანალიზება	მიზეზები უნდა გავაანალიზოთ.
纷纷	ერთმანეთის მიყოლებით	ყველამ ერთმანეთის მიყოლებით თანხმობა გამოხატა.
奋斗	ბრძოლა; მისწრაფება	ახალგაზრდებმა ოცნებებისთვის უნდა იბრძოლონ.
疯狂	გიჟური; თავშეუკავებლად	გულშემატკივრები გიჟურად ყვიროდნენ.
风格	სტილი	ამ რესტორნის სტილი ძალიან განსაკუთრებულია.
风景	პეიზაჟი; ხედი	მთაზე ხედი ძალიან ლამაზია.
风俗	წეს-ჩვეულება	ყველა ადგილს თავისი წეს-ჩვეულება აქვს.
风险	რისკი	ინვესტიციას გარკვეული რისკი ახლავს.
讽刺	სატირა; დაცინვა	ამ სტატიამ საზოგადოებრივი პრობლემები გააშარჟა.
否定	უარყოფა	მან ეს მოსაზრება უარყო.
否认	უარყოფა; არაღიარება	მან უარყო, რომ შეცდომა დაუშვა.
幅	სურათის სათვლელი სიტყვა	კედელზე ერთი ნახატია დაკიდებული.
扶	დახმარება; შეშველება	გთხოვთ, მოხუცს გზის გადაკვეთაში დაეხმაროთ.
服装	ტანსაცმელი	ეს მაღაზია საბავშვო ტანსაცმელს ყიდის.
辅导	რეპეტიტორობა; დახმარება სწავლაში	მასწავლებელი გაკვეთილის შემდეგ მოსწავლეებს ეხმარება.
复制	კოპირება	გთხოვთ, ეს დოკუმენტი დააკოპიროთ.
妇女	ქალი; ქალები	ეს საავადმყოფო ქალებს მომსახურებას უწევს.
改革	რეფორმა	სკოლა სასწავლო რეფორმას ატარებს.
改进	გაუმჯობესება	მომსახურების ხარისხი უნდა გავაუმჯობესოთ.
改善	გაუმჯობესება	ვარჯიშს ძილის გაუმჯობესება შეუძლია.
改正	გამოსწორება	გთხოვთ, შეცდომები დროულად გამოასწოროთ.
概括	შეჯამება; მოკლედ გადმოცემა	გთხოვთ, სტატიის შინაარსი მოკლედ შეაჯამოთ.
概念	ცნება; კონცეფცია	ეს ცნება ადვილად გასაგები არ არის.
盖	დაფარვა; თავსახური	გთხოვთ, ჭიქას კარგად დაახუროთ.
干脆	ჯობია; პირდაპირ	ჯობია, დღეს აღარ წახვიდე.
干燥	მშრალი	ჩრდილოეთში ზამთარი ძალიან მშრალია.
感激	მადლიერი	შენი დახმარებისთვის ძალიან მადლიერი ვარ.
感受	გრძნობა; განცდა	შენი გრძნობების გაგება შემიძლია.
感想	შთაბეჭდილება; აზრი	გთხოვთ, თქვენს შთაბეჭდილებებზე ისაუბროთ.
赶紧	აჩქარება	დაგვიანებულია, მალე წავიდეთ.
赶快	სწრაფად; დაუყოვნებლივ	კარი სწრაფად დახურეთ.
干活儿	მუშაობა; ხელით შრომა	ის ეზოში მუშაობს.
钢铁	ფოლადი	ეს ხიდი ფოლადისგან არის გაკეთებული.
高档	მაღალი კლასის	ეს მაღალი კლასის სასტუმროა.
高级	მაღალი დონე; მოწინავე	ის ჩინურის მაღალი დონის ჯგუფში შევიდა.
搞	კეთება; ორგანიზება	რა ღონისძიებას აწყობ?
告别	დამშვიდობება	აეროპორტში მეგობარს დავემშვიდობეთ.
格外	განსაკუთრებით	დღეს ცა განსაკუთრებით ლურჯია.
隔壁	მეზობელი; გვერდით	გვერდით ერთი მასწავლებელი ცხოვრობს.
个别	ცალკეული; ზოგიერთი	ზოგიერთ სტუდენტს დავალება ჯერ არ ჩაუბარებია.
个人	პირადი; ინდივიდუალური	ეს ჩემი პირადი მოსაზრებაა.
个性	პიროვნება; ხასიათი	მას გამოკვეთილი ხასიათი აქვს.
各自	თითოეული; თავის-თავად	ყველა თავის დავალებას ასრულებს.
根	ფესვი; გრძელი საგნის სათვლელი სიტყვა	მაგიდის ქვეშ ერთი მავთულია.
根本	საერთოდ; ძირითადი	ეს პრობლემა საერთოდ არ არის რთული.
公布	გამოცხადება	სკოლამ გამოცდის შედეგები გამოაცხადა.
公开	საჯარო; ღია	ეს შეხვედრა საჯაროა.
公平	სამართლიანი	შეჯიბრი სამართლიანი უნდა იყოს.
公寓	ბინა	მან პატარა ბინა იქირავა.
公元	ჩვენი ერა	ახლა ჩვენი ერის ორი ათას ოცდამეექვსე წელია.
公主	პრინცესა	პატარა გოგონას პრინცესების ამბები უყვარს.
功能	ფუნქცია	ამ პროგრამას ბევრი ფუნქცია აქვს.
工厂	ქარხანა	ეს ქარხანა მანქანებს აწარმოებს.
工程师	ინჟინერი	ჩემი უფროსი ძმა ინჟინერია.
工具	ხელსაწყო	ველოსიპედის შესაკეთებლად ხელსაწყოებია საჭირო.
工人	მუშა	მუშები გზას აკეთებენ.
工业	მრეწველობა	ეს ქალაქი ძირითადად მრეწველობაზეა დაფუძნებული.
恭喜	მილოცვა	გილოცავ გამოცდის ჩაბარებას.
贡献	წვლილი	მან კომპანიაში წვლილი შეიტანა.
沟通	კომუნიკაცია; ურთიერთობა	კარგი კომუნიკაცია ძალიან მნიშვნელოვანია.
构成	შედგენა; ჩამოყალიბება	ეს ნაწილები ერთ მთლიანობას ქმნის.
姑姑	მამის და	შაბათ-კვირას მამის დას მოვინახულებ.
姑娘	გოგონა; ახალგაზრდა ქალი	ის გოგონა ძალიან გულისხმიერია.
古代	ძველი დრო	ძველ დროში მობილური ტელეფონები არ იყო.
古典	კლასიკური	კლასიკური მუსიკა მიყვარს.
股票	აქცია	მან რამდენიმე აქცია იყიდა.
骨头	ძვალი	ეს ძვალი ძალიან მაგარია.
鼓舞	გამხნევება	ეს ამბავი ძალიან გამამხნევებელია.
鼓掌	ტაშის დაკვრა	მაყურებლებმა მსახიობებს ტაში დაუკრეს.
固定	ფიქსირებული; მუდმივი	ჩემი სამუშაო დრო ფიქსირებულია.
挂号	რეგისტრაცია ექიმთან	ექიმთან მისვლამდე ჯერ რეგისტრაციაა საჭირო.
乖	დამჯერი	ეს ბავშვი ძალიან დამჯერია.
拐弯	მოხვევა	წინ გზაჯვარედინზე მარჯვნივ მოუხვიეთ.
