source_headword	MY	example_MY
objective	ရည်ရွယ်ချက်	ကျွန်ုပ်တို့၏ ရည်ရွယ်ချက်မှာ အမှိုက်ကို လျှော့ချရန်ဖြစ်သည်။
obligation	တာဝန်	မိဘများတွင် ကလေးများကို ကာကွယ်ရန် တာဝန်ရှိသည်။
observation	စောင့်ကြည့်လေ့လာခြင်း	သူ၏ စောင့်ကြည့်လေ့လာခြင်းက ဆွေးနွေးမှုကို ပြောင်းလဲစေခဲ့သည်။
observe	စောင့်ကြည့်သည်	သိပ္ပံပညာရှင်များသည် နွေဦးတိုင်းတွင် ငှက်များကို စောင့်ကြည့်ကြသည်။
obtain	ရယူသည်	သင်သည် စာဖြင့်ရေးသားထားသော ခွင့်ပြုချက်ကို ရယူရမည်။
occasionally	တစ်ခါတစ်ရံ	သူမသည် တစ်ခါတစ်ရံ အိမ်မှ အလုပ်လုပ်သည်။
offence	စော်ကားမှု	မှတ်ချက်သည် ကြီးလေးသော စော်ကားမှုကို ဖြစ်စေခဲ့သည်။
offend	စော်ကားသည်	ကျွန်တော် ဘယ်သူ့ကိုမှ စော်ကားဖို့ မရည်ရွယ်ပါဘူး။
offensive	စော်ကားသော	ပိုစတာတွင် စော်ကားသော စကားလုံးများ ပါဝင်သည်။
opening	လစ်လပ်သောနေရာ	အလုပ်အကိုင် လစ်လပ်သောနေရာသည် လျှောက်ထားသူများစွာကို ဆွဲဆောင်ခဲ့သည်။
operate	လည်ပတ်သည်	စက်သည် အလိုအလျောက် လည်ပတ်နိုင်သည်။
opponent	ပြိုင်ဘက်	သူမ၏ ပြိုင်ဘက်က မူဝါဒကို ဝေဖန်ခဲ့သည်။
oppose	ကန့်ကွက်သည်	ဒေသခံများစွာက အစီအစဉ်ကို ကန့်ကွက်ကြသည်။
opposed	ဆန့်ကျင်သော	အဖွဲ့များသည် ဆန့်ကျင်သော အမြင်များကို ကိုင်စွဲထားကြသည်။
opposition	ဆန့်ကျင်မှု	အဆိုပြုချက်သည် ပြင်းထန်သော ဆန့်ကျင်မှုနှင့် ရင်ဆိုင်ခဲ့ရသည်။
organ	ကိုယ်အင်္ဂါအစိတ်အပိုင်း	နှလုံးသည် အရေးပါသော ကိုယ်အင်္ဂါအစိတ်အပိုင်းတစ်ခုဖြစ်သည်။
origin	မူလအစ	မီး၏ မူလအစကို မသိရသေးပါ။
otherwise	သို့မဟုတ်လျှင်	ယခုထွက်သွားပါ၊ သို့မဟုတ်လျှင် သင်နောက်ကျလိမ့်မည်။
outcome	ရလဒ်	ရလဒ်က လူတိုင်းကို အံ့သြစေခဲ့သည်။
outer	အပြင်ဘက်	အပြင်ဘက်နံရံကို ပြုပြင်ရန် လိုအပ်သည်။
outline	အကြမ်းဖျင်း	သင့်အဓိကအကြောင်းပြချက်ကို အကြမ်းဖျင်းဖော်ပြပါ။
overall	ယေဘုယျအားဖြင့်	ယေဘုယျအားဖြင့် ရလဒ်သည် အပြုသဘောဆောင်ပါသည်။
owe	အကြွေးတင်သည်	ကျွန်တော် သင့်ကို တောင်းပန်ဖို့ လိုပါတယ်။
pace	အရှိန်	ပုံမှန်အရှိန်ဖြင့် လမ်းလျှောက်ပါ။
panel	အဖွဲ့	အဖွဲ့သည် ရာသီဥတုမူဝါဒကို ဆွေးနွေးခဲ့သည်။
parliament	လွှတ်တော်	လွှတ်တော်က ဥပဒေသစ်ကို အတည်ပြုခဲ့သည်။
participant	ပါဝင်သူ	ပါဝင်သူတိုင်းသည် ဖောင်ပေါ်တွင် လက်မှတ်ရေးထိုးခဲ့သည်။
partly	တစ်စိတ်တစ်ပိုင်း	နှောင့်နှေးမှုသည် တစ်စိတ်တစ်ပိုင်း ကျွန်ုပ်တို့၏အမှားဖြစ်သည်။
passage	စာပိုဒ်	မဖြေဆိုမီ စာပိုဒ်ကို ဖတ်ပါ။
pension1	ပင်စင်	သူ၏ ပင်စင်သည် အငြိမ်းစားယူပြီးနောက် သူ့ကို ထောက်ပံ့ပေးသည်။
permanent	အမြဲတမ်း	၎င်းတို့သည် အမြဲတမ်းဖြေရှင်းချက်တစ်ခု လိုအပ်သည်။
permit	ခွင့်ပြုသည်	စည်းကမ်းများသည် ကာလတိုလည်ပတ်မှုများကို ခွင့်ပြုသည်။
perspective	အမြင်	သူမ၏အမြင်ကို မြင်အောင်ကြိုးစားပါ။
phase	အဆင့်	စီမံကိန်းသည် ၎င်း၏ နောက်ဆုံးအဆင့်သို့ ဝင်ရောက်ခဲ့သည်။
phenomenon	ဖြစ်ရပ်	ဤဖြစ်ရပ်သည် ယဉ်ကျေးမှုများစွာတွင် ဖြစ်ပေါ်သည်။
philosophy	ဒဿနိကဗေဒ	သူမ၏ဒဿနသည် လက်တွေ့ကျသောလုပ်ဆောင်မှုကို တန်ဖိုးထားသည်။
pile	အပုံ	စာရွက်တစ်ပုံသည် စားပွဲကို ဖုံးလွှမ်းထားသည်။
pitch	ကွင်း	အသင်းသည် ကွင်းကို ဂရုတစိုက် ပြင်ဆင်ခဲ့သည်။
plain	ရှင်းလင်းသော	လမ်းညွှန်ချက်များသည် ရှင်းလင်းပြီး တိုက်ရိုက်ဖြစ်သည်။
pointed	ရည်ရွယ်ချက်ရှိသော	သူသည် ထိမိသော မှတ်ချက်တစ်ခုပေးခဲ့သည်။
popularity	လူကြိုက်များမှု	အဆိုတော်သည် အွန်လိုင်းတွင် လူကြိုက်များမှု ရရှိခဲ့သည်။
pose	ဖြစ်စေသည်	ထိုမေးခွန်းသည် ပြဿနာတစ်ခုကို ဖြစ်စေနိုင်သည်။
possess	ပိုင်ဆိုင်သည်	ကျောင်းသားအနည်းငယ်သာ ထိုစွမ်းရည်ကို ပိုင်ဆိုင်ကြသည်။
potential	အလားအလာ	ထိုအကြံဥာဏ်တွင် တကယ့်အလားအလာရှိသည်။
praise	ချီးမွမ်းခြင်း	ဆရာသည် ရိုးသားသော ချီးမွမ်းမှုကို ပေးခဲ့သည်။
pregnant	ကိုယ်ဝန်ဆောင်	သူမသည် ကိုယ်ဝန်ခြောက်လရှိနေပြီ။
preparation	ပြင်ဆင်မှု	ကောင်းမွန်သော ပြင်ဆင်မှုက စိတ်ဖိစီးမှုကို လျှော့ချပေးသည်။
presence	ရှိနေခြင်း	သူရှိနေခြင်းက အခြေအနေကို ပြောင်းလဲသွားစေသည်။
preserve	ထိန်းသိမ်းသည်	ဤသမိုင်းဝင် အဆောက်အအုံကို ကျွန်ုပ်တို့ ထိန်းသိမ်းရမည်။
prime	အဓိက	အဓိကအကြောင်းရင်းမှာ အစီအစဉ်ဆွဲမှု ညံ့ဖျင်းခြင်းဖြစ်သည်။
principle	မူဝါဒ	ဆုံးဖြတ်ချက်သည် ရှင်းလင်းသော မူဝါဒတစ်ခုကို လိုက်နာခဲ့သည်။
priority	ဦးစားပေး	ဘေးကင်းလုံခြုံရေးသည် ကျွန်ုပ်တို့၏ ပထမဆုံး ဦးစားပေးဖြစ်သည်။
privacy	သီးသန့်တည်ရှိမှု	ဖောက်သည်များသည် အွန်လိုင်းတွင် သီးသန့်တည်ရှိမှုကို မျှော်လင့်ကြသည်။
procedure	လုပ်ငန်းစဉ်	လုပ်ငန်းစဉ်သည် မိနစ်သုံးဆယ် ကြာသည်။
proof	သက်သေပြချက်	မလုပ်ဆောင်မီ သက်သေလိုအပ်သည်။
proposal	အဆိုပြုချက်	အဆိုပြုချက်တွင် အသေးစိတ်ပိုလိုအပ်သည်။
propose	အဆိုပြုသည်	ကျွန်ုပ်သည် အခြားဖြေရှင်းနည်းတစ်ခုကို အဆိုပြုပါသည်။
prospect	အလားအလာ	ကျရှုံးနိုင်ခြေရှိခြင်းက သူတို့ကို စိုးရိမ်စေခဲ့သည်။
protection	အကာအကွယ်	ဦးထုပ်သည် အခြေခံ အကာအကွယ်ကို ပေးသည်။
psychologist	စိတ်ပညာရှင်	စိတ်ပညာရှင်က စစ်ဆေးမှုရလဒ်များကို ရှင်းပြခဲ့သည်။
psychology	စိတ်ပညာ	သူမသည် တက္ကသိုလ်တွင် စိတ်ပညာကို လေ့လာနေသည်။
publication	စာစောင်	စာစောင်သည် လူထု၏အာရုံစိုက်မှုကို ဆွဲဆောင်နိုင်ခဲ့သည်။
pupil	ကျောင်းသား	ကျောင်းသားတိုင်း ပြဋ္ဌာန်းစာအုပ်အသစ်တစ်အုပ် ရရှိခဲ့ကြသည်။
purchase	ဝယ်ယူသည်	သူတို့သည် လစဉ် ပစ္စည်းများ ဝယ်ယူကြသည်။
pure	သန့်စင်သော	ရေသည် သန့်စင်ပြီး အေးမြသည်။
pursue	လိုက်စားသည်	သူသည် ဆေးဘက်ဆိုင်ရာ အသက်မွေးဝမ်းကျောင်းတစ်ခုကို လိုက်စားလိမ့်မည်။
rank	ရာထူး	သူမသည် အကြီးတန်းရာထူးကို ရယူထားသည်။
rapid	မြန်ဆန်သော	နိုင်ငံသည် မြန်ဆန်သော တိုးတက်မှုကို မြင်တွေ့ခဲ့ရသည်။
rapidly	လျင်မြန်စွာ	ယခုနှစ်တွင် စျေးနှုန်းများ လျင်မြန်စွာ မြင့်တက်လာခဲ့သည်။
raw	အစိမ်း	စားဖိုမှူးသည် ဟင်းသီးဟင်းရွက်စိမ်းများကို ပြင်ဆင်ခဲ့သည်။
realistic	လက်တွေ့ကျသော	လက်တွေ့ကျသော နောက်ဆုံးရက်ကို သတ်မှတ်ပါ။
reasonable	ကျိုးကြောင်းဆီလျော်သော	၎င်းသည် ကျိုးကြောင်းဆီလျော်သော တောင်းဆိုမှုတစ်ခုဟု ထင်ရသည်။
recall	မှတ်မိသည်	သူ၏ စကားလုံးအတိအကျကို ကျွန်ုပ် မှတ်မိသည်။
recover	ပြန်လည်ကောင်းမွန်သည်	သူမသည် ကုသမှုခံယူပြီးနောက် ပြန်လည်ကောင်းမွန်လာမည်ဖြစ်သည်။
reduction	လျှော့ချခြင်း	လျှော့ချခြင်းက ငွေကို သက်သာစေသည်။
regard	မှတ်ယူသည်	လူအများက သူမကို ရိုးသားသူအဖြစ် မှတ်ယူကြသည်။
regional	ဒေသဆိုင်ရာ	ဒေသဆိုင်ရာရုံးခွဲသည် ယနေ့ ပိတ်ထားသည်။
register	စာရင်းပေးသွင်းသည်	ကျေးဇူးပြု၍ ညီလာခံမစမီ စာရင်းပေးသွင်းပါ။
regret	နောင်တရသည်	ကျွန်ုပ်၏ အစောပိုင်းဆုံးဖြတ်ချက်ကို နောင်တရမိသည်။
regulation	စည်းမျဉ်း	စည်းမျဉ်းအသစ်သည် ယာဉ်မောင်းအားလုံးကို သက်ရောက်မှုရှိသည်။
relatively	အတော်အသင့်	စာမေးပွဲသည် အတော်အသင့် လွယ်ကူသည်။
relevant	သက်ဆိုင်သော	သက်ဆိုင်သော အသေးစိတ်အချက်အလက်များကိုသာ ရွေးချယ်ပါ။
relief	စိတ်သက်သာရာရခြင်း	သတင်းက ကြီးမားသော စိတ်သက်သာရာရမှုကို ဆောင်ကြဉ်းပေးခဲ့သည်။
rely	အားကိုးသည်	ကလေးများသည် လူကြီးများ၏ ပံ့ပိုးမှုကို အားကိုးကြသည်။
remark	မှတ်ချက်	သူ၏မှတ်ချက်က ဆွေးနွေးမှုကို အဆုံးသတ်စေခဲ့သည်။
representative	ကိုယ်စားလှယ်	ကိုယ်စားလှယ်သည် ဒေသခံ အလုပ်သမားများနှင့် တွေ့ဆုံခဲ့သည်။
reputation	ဂုဏ်သတင်း	ဟိုတယ်တွင် ကောင်းသောဂုဏ်သတင်းရှိသည်။
requirement	လိုအပ်ချက်	အတွေ့အကြုံသည် အခြေခံ လိုအပ်ချက်ဖြစ်သည်။
rescue	ကယ်ဆယ်သည်	၎င်းတို့သည် ရေကြီးမှုမှ လူများကို ကယ်ဆယ်သည်။
reserve	သီးသန့်ဖယ်ထားသည်	ကျွန်ုပ်တို့သည် ဧည့်သည်များအတွက် ထိုင်ခုံများကို သီးသန့်ဖယ်ထားသည်။
resident	နေထိုင်သူ	နေထိုင်သူတိုင်း အကြောင်းကြားစာ လက်ခံရရှိခဲ့သည်။
resist	တွန်းလှန်သည်	ဖိအားကို တွန်းလှန်သည်။
resolve	ဖြေရှင်းသည်	သူတို့က အငြင်းပွားမှုကို ငြိမ်းချမ်းစွာ ဖြေရှင်းခဲ့သည်။
resort	အပန်းဖြေစခန်း	ကျွန်းအပန်းဖြေစခန်းကို မေလတွင် ဖွင့်လှစ်ခဲ့သည်။
retain	ဆက်လက်ထိန်းသိမ်းထားသည်	ကုမ္ပဏီသည် ဝန်ထမ်းများကို ဆက်လက်ထိန်းသိမ်းထားလိုသည်။
reveal	ဖော်ထုတ်သည်	အစီရင်ခံစာက အမှန်တရားကို ဖော်ထုတ်လိမ့်မည်။
revolution	တော်လှန်ရေး	တော်လှန်ရေးက တိုင်းပြည်ကို ပြောင်းလဲစေခဲ့သည်။
reward	ဆု	ကြိုးစားအားထုတ်မှုက ဆုတစ်ခုနှင့် ထိုက်တန်သည်။
rhythm	စည်းချက်	သီချင်းတွင် ပုံမှန်စည်းချက်တစ်ခု ရှိသည်။
rid	ဖယ်ရှားသည်	ထိုဖိုင်အဟောင်းများကို ဖယ်ရှားလိုက်ပါ။
root	အရင်းအမြစ်	ပြဿနာ၏ အရင်းအမြစ်မှာ ငွေဖြစ်သည်။
rub	ပွတ်တိုက်သည်	မျက်နှာပြင်ကို အဝတ်တစ်ခုဖြင့် ပွတ်တိုက်ပါ။
rubber	ရော်ဘာ	ရော်ဘာတံဆိပ်က ယိုစိမ့်မှုများကို တားဆီးပေးသည်။
rural	ကျေးလက်	ကျေးလက်ကျောင်းများစွာသည် အကူအညီ လိုအပ်နေသည်။
rush	အလျင်စလိုလုပ်သည်	ဤဆုံးဖြတ်ချက်ကို အလျင်စလို မလုပ်ပါနှင့်။
satellite	ဂြိုဟ်တု	ဂြိုဟ်တုက ပုံအသစ်များကို ပေးပို့ခဲ့သည်။
satisfied	ကျေနပ်သော	ဖောက်သည်သည် ကျေနပ်ပုံရသည်။
satisfy	ကျေနပ်စေသည်	အဖြေက သူ့ကို မကျေနပ်စေခဲ့ပါ။
saving	စုဆောင်းခြင်း	စွမ်းအင်ချွေတာခြင်းသည် လစဉ်ကုန်ကျစရိတ်များကို လျော့ကျစေသည်။
scale	ပမာဏ	ပျက်စီးဆုံးရှုံးမှု ပမာဏမှာ ကြီးမားလှသည်။
scheme	အစီအစဉ်	အဆိုပါအစီအစဉ်က လူငယ်လုပ်သားများကို ကူညီပေးသည်။
scream	အော်ဟစ်သည်	သူတို့သည် အပြင်ဘက်တွင် အော်သံတစ်ခုကို ကြားခဲ့ရသည်။
sector	ကဏ္ဍ	နည်းပညာကဏ္ဍသည် တိုးတက်လျက်ရှိသည်။
secure	လုံခြုံစေသည်	တံခါးကို သော့ခတ်ပြီး လုံခြုံစေသည်။
seek	ရှာဖွေသည်	သူတို့က ကျွမ်းကျင်သူများထံမှ အကြံဉာဏ်များကို ရှာဖွေကြသည်။
select	ရွေးချယ်သည်	အကောင်းဆုံးရွေးချယ်မှုကို ရွေးချယ်ပါ။
selection	ရွေးချယ်စရာ	စတိုးဆိုင်တွင် ကျယ်ပြန့်သော ရွေးချယ်စရာများကို ပေးဆောင်ထားသည်။
self	မိမိကိုယ်ကို	သူမက သူမ၏ အစစ်အမှန် ကိုယ်ရည်ကိုယ်သွေးကို ပြသခဲ့သည်။
senior	အကြီးတန်း	အကြီးတန်း ဆရာဝန်တစ်ဦးက လူနာကို စစ်ဆေးခဲ့သည်။
sensitive	အကဲဆတ်သော	ဤအကြောင်းအရာသည် အလွန် အကဲဆတ်သည်။
sequence	အစဉ်လိုက်	အဆင့်များ၏ အစီအစဉ်အတိုင်း လိုက်နာပါ။
session	အစည်းအဝေး	လေ့ကျင့်ရေးအစီအစဉ်သည် မွန်းတည့်ချိန်တွင် စတင်သည်။
settle	ပြေလည်စေသည်	သူတို့က အငြင်းပွားမှုကို လျင်မြန်စွာ ဖြေရှင်းခဲ့သည်။
severe	ပြင်းထန်သော	မုန်တိုင်းကြောင့် ပြင်းထန်သော ရေကြီးမှုများ ဖြစ်ပေါ်ခဲ့သည်။
shade	အရိပ်	အရိပ်ထဲတွင် ထိုင်ပါ။
shadow	အရိပ်	အရိပ်တစ်ခုက ပြတင်းပေါက်ကို ဖြတ်သွားသည်။
shallow	တိမ်သော	ဤနေရာတွင် ရေကန်က တိမ်သည်။
shame	ရှက်ရွံ့ခြင်း	လိမ်ပြောပြီးနောက် သူ ရှက်ရွံ့သွားသည်။
shelter	ခိုလှုံရာ	ကျောင်းက အရေးပေါ် ခိုလှုံရာကို ပံ့ပိုးပေးခဲ့သည်။
shock	တုန်လှုပ်ခြင်း	ဆုံးဖြတ်ချက်က တုန်လှုပ်စရာ ဖြစ်ခဲ့သည်။
shocked	တုန်လှုပ်သော	သူမသည် သတင်းကြောင့် တုန်လှုပ်သွားပုံရသည်။
shooting	ပစ်ခတ်မှု	ဘူတာရုံအနီးတွင် ပစ်ခတ်မှု ဖြစ်ပွားခဲ့သည်။
shot	ပစ်ခတ်ချက်	အနိုင်ရသော ပစ်ခတ်ချက်က လူတိုင်းကို အံ့သြစေခဲ့သည်။
significant	အရေးပါသော	ရှာဖွေတွေ့ရှိမှုသည် အရေးပါခဲ့သည်။
significantly	သိသိသာသာ	ပြီးခဲ့သည့်နှစ်က ကုန်ကျစရိတ်များ သိသိသာသာ တိုးလာသည်။
silence	တိတ်ဆိတ်ခြင်း	အခန်းထဲတွင် တိတ်ဆိတ်သွားသည်။
silk	ပိုးသား	ဂါဝန်ကို ပိုးသားဖြင့် ပြုလုပ်ထားသည်။
sincere	ရိုးသားသော	ကျွန်ုပ်၏ရိုးသားသော ကျေးဇူးတင်စကားကို လက်ခံပါ။
slave	ကျွန်	ဥပဒေက ကျွန်တိုင်းကို လွတ်မြောက်စေခဲ့သည်။
slide	လျှောချသည်	ကလေးသည် လျှောပေါ်မှ ဆင်းသွားသည်။
slight	အနည်းငယ်	အနည်းငယ် နှောင့်နှေးမှုရှိခဲ့သည်။
slip	ချော်ကျသည်	စိုစွတ်နေသော ကြမ်းပြင်ပေါ်တွင် မချော်ကျပါစေနှင့်။
slope	ဆင်ခြေလျှော	လမ်းသည် မတ်စောက်သော ဆင်ခြေလျှောအတိုင်း ဖြစ်သည်။
solar	နေရောင်ခြည်စွမ်းအင်သုံး	အိမ်သည် နေရောင်ခြည်စွမ်းအင်ကို အသုံးပြုသည်။
somewhat	အတန်ငယ်	ညွှန်ကြားချက်များသည် အတန်ငယ် ရှုပ်ထွေးနေသည်။
soul	ဝိညာဉ်	ဂီတက သူမ၏ဝိညာဉ်ကို မြှင့်တင်ပေးခဲ့သည်။
specialist	အထူးကု	အထူးကုက လူနာကို စစ်ဆေးခဲ့သည်။
