hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
533:宾馆	宾馆	宾馆	တည်းခိုခန်း; ဟိုတယ်	ကျွန်တော်တို့ လေဆိပ်အနီးက ဟိုတယ်မှာ တည်းတယ်။	សណ្ឋាគារ; ផ្ទះសំណាក់	យើងស្នាក់នៅសណ្ឋាគារជិតព្រលានយន្តហោះ។	ໂຮງແຮມ; ບ້ານພັກ	ພວກເຮົາພັກຢູ່ໂຮງແຮມໃກ້ສະໜາມບິນ.	होटल; अतिथिगृह	हामी विमानस्थल नजिकको होटलमा बसेका छौँ।
534:冰	冰	冰	ရေခဲ	ခွက်ထဲမှာ ရေခဲရှိတယ်။	ទឹកកក	ក្នុងពែងមានទឹកកក។	ນ້ຳກ້ອນ	ໃນຈອກມີນ້ຳກ້ອນ.	बरफ	कपमा बरफ छ।
537:病人	病人	病人	လူနာ; နေမကောင်းသူ	ဆရာဝန်က လူနာကို စစ်ဆေးနေတယ်။	អ្នកជំងឺ	គ្រូពេទ្យកំពុងពិនិត្យអ្នកជំងឺ។	ຄົນເຈັບ; ຜູ້ປ່ວຍ	ທ່ານໝໍກຳລັງກວດຄົນເຈັບ.	बिरामी; रोगी	डाक्टरले बिरामी जाँच्दै छन्।
538:不但	不但	不但	သာမက	သူက တရုတ်စကားသာမက အင်္ဂလိပ်လည်း ပြောတတ်တယ်။	មិនត្រឹមតែ	គាត់និយាយភាសាចិនមិនត្រឹមតែបានទេ ថែមទាំងនិយាយអង់គ្លេសបានផង។	ບໍ່ພຽງແຕ່	ລາວບໍ່ພຽງແຕ່ເວົ້າພາສາຈີນໄດ້ ແຕ່ຍັງເວົ້າອັງກິດໄດ້.	मात्र होइन	ऊ चिनियाँ मात्र होइन, अंग्रेजी पनि बोल्न सक्छ।
539:不见	不见	不见	မတွေ့ရ; ပျောက်သွားသည်	မတွေ့တာကြာပြီ၊ မကြာသေးခင်က ဘယ်လိုနေလဲ။	មិនឃើញ; បាត់	យូរហើយមិនបានជួប តើថ្មីៗនេះអ្នកសុខសប្បាយទេ?	ບໍ່ເຫັນ; ຫາຍໄປ	ບໍ່ໄດ້ພົບກັນດົນແລ້ວ ຊ່ວງນີ້ເຈົ້າເປັນແນວໃດ?	नदेखिनु; हराउनु	धेरै समय भेटिएन, हालै कस्तो छ?
540:不用	不用	不用	မလိုပါ; မသုံးပါ	မင်း ကျွန်တော့်ကို စောင့်စရာမလိုဘူး။	មិនចាំបាច់; មិនប្រើ	អ្នកមិនចាំបាច់រង់ចាំខ្ញុំទេ។	ບໍ່ຈຳເປັນ; ບໍ່ໃຊ້	ເຈົ້າບໍ່ຈຳເປັນຕ້ອງລໍຂ້ອຍ.	आवश्यक छैन; प्रयोग नगर्नु	तिमीले मलाई पर्खनु पर्दैन।
541:不同	不同	不同	မတူသော	ကျွန်တော်တို့မှာ မတူတဲ့ အတွေးတွေရှိတယ်။	ខុសគ្នា	យើងមានគំនិតខុសគ្នា។	ແຕກຕ່າງ	ພວກເຮົາມີຄວາມຄິດແຕກຕ່າງກັນ.	फरक	हामीसँग फरक विचार छन्।
542:不久	不久	不久	မကြာမီ; မကြာခင်	မကြာခင်နောက်မှာ သူ ရှန်ဟိုင်းကို ပြောင်းသွားတယ်။	មិនយូរប៉ុន្មាន	មិនយូរប៉ុន្មាន គាត់បានផ្លាស់ទៅសៀងហៃ។	ບໍ່ດົນ; ບໍ່ດົນຫຼາຍ	ບໍ່ດົນຫຼັງຈາກນັ້ນ ລາວຍ້າຍໄປຊຽງໄຮ້.	धेरै पछि होइन; चाँडै	त्यसको केही समयपछि ऊ सांघाई सर्‍यो।
543:不行	不行	不行	မဖြစ်နိုင်; မရဘူး	ဒီနေ့မရဘူး၊ ကျွန်တော့်မှာ အတန်းရှိတယ်။	មិនបាន; មិនអាច	ថ្ងៃនេះមិនបានទេ ខ្ញុំមានថ្នាក់។	ບໍ່ໄດ້; ບໍ່ເໝາະ	ມື້ນີ້ບໍ່ໄດ້ ຂ້ອຍມີຫ້ອງຮຽນ.	हुँदैन; सम्भव छैन	आज हुँदैन, मेरो कक्षा छ।
544:才1	才1	才	အခုမှ; ထိုအခါမှ	အခုမှ နားလည်တယ်။	ទើបតែ; ទើប	ខ្ញុំទើបតែយល់ឥឡូវនេះ។	ຈຶ່ງ; ພຽງແຕ່ຕອນນີ້	ຂ້ອຍຈຶ່ງເຂົ້າໃຈຕອນນີ້.	तब मात्र; अहिले मात्र	मैले अहिले मात्र बुझेँ।
548:草地	草地	草地	မြက်ခင်း	ကလေးတွေ မြက်ခင်းပေါ်မှာ ကစားနေတယ်။	វាលស្មៅ; ស្មៅ	កុមារកំពុងលេងលើវាលស្មៅ។	ສະໜາມຫຍ້າ	ເດັກນ້ອຍກຳລັງຫຼິ້ນຢູ່ສະໜາມຫຍ້າ.	घाँसे मैदान; लन	बालबालिका घाँसे मैदानमा खेलिरहेका छन्।
550:查	查	查	စစ်ဆေးသည်; ရှာကြည့်သည်	လက်မှတ်စျေးကို စစ်ကြည့်ချင်တယ်။	ពិនិត្យ; ស្វែងរក	ខ្ញុំចង់ពិនិត្យតម្លៃសំបុត្រ។	ກວດ; ຄົ້ນຫາ	ຂ້ອຍຢາກກວດລາຄາປີ້.	जाँच्नु; खोज्नु	म टिकटको मूल्य जाँच्न चाहन्छु।
554:常	常	常	မကြာခဏ	သူက အဲဒီစာအုပ်ဆိုင်ကို မကြာခဏ သွားတယ်။	ញឹកញាប់	គាត់ទៅហាងសៀវភៅនោះញឹកញាប់។	ເລື້ອຍໆ	ລາວໄປຮ້ານປຶ້ມນັ້ນເລື້ອຍໆ.	अक्सर	ऊ त्यो पुस्तक पसलमा अक्सर जान्छ।
555:常见	常见	常见	တွေ့နေကျ; အများအားဖြင့်တွေ့ရသော	ဒါက တွေ့နေကျ ပြဿနာတစ်ခုပါ။	ជារឿយៗឃើញ; ធម្មតា	នេះជាបញ្ហាធម្មតាមួយ។	ພົບເຫັນເລື້ອຍ; ທົ່ວໄປ	ນີ້ແມ່ນບັນຫາທົ່ວໄປ.	सामान्य; प्रायः देखिने	यो एउटा सामान्य समस्या हो।
556:常用	常用	常用	မကြာခဏသုံးသော	ဖုန်းက မကြာခဏသုံးတဲ့ ကိရိယာတစ်ခုပါ။	ប្រើញឹកញាប់	ទូរស័ព្ទជាឧបករណ៍ដែលប្រើញឹកញាប់។	ໃຊ້ເລື້ອຍໆ	ໂທລະສັບແມ່ນເຄື່ອງມືທີ່ໃຊ້ເລື້ອຍໆ.	धेरै प्रयोग हुने	फोन धेरै प्रयोग हुने साधन हो।
557:常常	常常	常常	မကြာခဏ; ခဏခဏ	ညနေမှာ စာအုပ်ကို မကြာခဏ ဖတ်တယ်။	ញឹកញាប់; ជាញឹកញាប់	ខ្ញុំអានសៀវភៅនៅពេលល្ងាចញឹកញាប់។	ເລື້ອຍໆ; ບ່ອຍໆ	ຂ້ອຍອ່ານປຶ້ມຕອນແລງເລື້ອຍໆ.	अक्सर; बारम्बार	म साँझमा अक्सर किताब पढ्छु।
564:出院	出院	出院	ဆေးရုံကဆင်းသည်	သူ ဒီနေ့ ဆေးရုံက ဆင်းနိုင်ပြီ။	ចេញពីមន្ទីរពេទ្យ	គាត់អាចចេញពីមន្ទីរពេទ្យថ្ងៃនេះបានហើយ។	ອອກຈາກໂຮງໝໍ	ມື້ນີ້ລາວອອກຈາກໂຮງໝໍໄດ້ແລ້ວ.	अस्पतालबाट डिस्चार्ज हुनु	ऊ आज अस्पतालबाट डिस्चार्ज हुन सक्छ।
565:初中	初中	初中	အလယ်တန်းကျောင်း	ကျွန်တော့်ညီမ အလယ်တန်းကျောင်းမှာ တက်နေတယ်။	អនុវិទ្យាល័យ	ប្អូនស្រីខ្ញុំរៀននៅអនុវិទ្យាល័យ។	ໂຮງຮຽນມັດທະຍົມຕົ້ນ	ນ້ອງສາວຂອງຂ້ອຍຮຽນຢູ່ໂຮງຮຽນມັດທະຍົມຕົ້ນ.	निम्न माध्यमिक विद्यालय	मेरी बहिनी निम्न माध्यमिक विद्यालयमा पढ्छे।
568:春天	春天	春天	နွေဦး	နွေဦးရောက်လာပြီ၊ ပန်းတွေ ပွင့်ကုန်ပြီ။	និទាឃរដូវ	និទាឃរដូវមកដល់ហើយ ផ្កាបានរីកហើយ។	ລະດູໃບໄມ້ປົ່ງ	ລະດູໃບໄມ້ປົ່ງມາແລ້ວ ດອກໄມ້ບານແລ້ວ.	वसन्त	वसन्त आएको छ, फूलहरू फुलेका छन्।
574:大人	大人	大人	လူကြီး	လူကြီးတွေ ဧည့်ခန်းမှာ စကားပြောနေကြတယ်။	មនុស្សពេញវ័យ	មនុស្សពេញវ័យកំពុងជជែកគ្នានៅបន្ទប់ទទួលភ្ញៀវ។	ຜູ້ໃຫຍ່	ຜູ້ໃຫຍ່ກຳລັງລົມກັນຢູ່ຫ້ອງຮັບແຂກ.	वयस्क; ठूलो मान्छे	वयस्कहरू बैठक कोठामा कुरा गर्दै छन्।
575:大小	大小	大小	အရွယ်အစား	ဒီအဝတ်နှစ်ထည်ရဲ့ အရွယ်အစားတူတယ်။	ទំហំ	សម្លៀកបំពាក់ទាំងពីរនេះមានទំហំដូចគ្នា។	ຂະໜາດ	ເສື້ອຜ້າສອງຊິ້ນນີ້ຂະໜາດເທົ່າກັນ.	आकार	यी दुई कपडाको आकार एउटै छ।
576:大熊猫	大熊猫	大熊猫	ပန်ဒါဝက်ဝံကြီး	ပန်ဒါဝက်ဝံကြီးက ဝါးစားနေတယ်။	ខ្លាឃ្មុំផេនដាធំ	ខ្លាឃ្មុំផេនដាធំកំពុងស៊ីឫស្សី។	ແພນດາໃຫຍ່	ແພນດາໃຫຍ່ກຳລັງກິນໄມ້ໄຜ່.	ठूलो पान्डा	ठूलो पान्डाले बाँस खाइरहेको छ।
577:大衣	大衣	大衣	ကုတ်အင်္ကျီရှည်	အေးလာလို့ ကုတ်အင်္ကျီရှည် ဝတ်လိုက်တယ်။	អាវធំវែង	អាកាសធាតុត្រជាក់ ខ្ញុំបានពាក់អាវធំវែង។	ເສື້ອຄຸມຍາວ	ອາກາດໜາວ ຂ້ອຍໃສ່ເສື້ອຄຸມຍາວ.	लामो कोट	चिसो भयो, त्यसैले मैले लामो कोट लगाएँ।
583:得	得	得	ရသည်; ရယူသည်	သူ ကြိုးစားလေ့လာပြီး နောက်ဆုံး အမှတ်မြင့်ရခဲ့တယ်။	ទទួលបាន; បាន	គាត់ខិតខំរៀន ហើយចុងក្រោយបានពិន្ទុខ្ពស់។	ໄດ້ຮັບ; ໄດ້	ລາວຕັ້ງໃຈຮຽນ ແລະສຸດທ້າຍໄດ້ຄະແນນສູງ.	पाउनु; हासिल गर्नु	उसले मेहनत गरेर पढ्यो र अन्ततः उच्च अंक पायो।
584:得到	得到	得到	ရရှိသည်; လက်ခံရရှိသည်	ကျွန်တော် ဆရာရဲ့အကူအညီကို ရရှိခဲ့တယ်။	ទទួលបាន	ខ្ញុំទទួលបានជំនួយពីគ្រូ។	ໄດ້ຮັບ	ຂ້ອຍໄດ້ຮັບຄວາມຊ່ວຍເຫຼືອຈາກຄູ.	पाउनु; प्राप्त गर्नु	मैले शिक्षकको सहयोग पाएँ।
585:得分	得分	得分	အမှတ်ရသည်; ရမှတ်	ဒီပွဲမှာ သူ အမှတ်အများဆုံးရတယ်။	រកពិន្ទុ; ពិន្ទុ	ក្នុងការប្រកួតនេះគាត់រកពិន្ទុខ្ពស់បំផុត។	ໄດ້ຄະແນນ; ຄະແນນ	ໃນເກມນີ້ລາວໄດ້ຄະແນນຫຼາຍທີ່ສຸດ.	अंक ल्याउनु; स्कोर	यो खेलमा उसले सबैभन्दा धेरै अंक ल्यायो।
586:的话	的话	的话	ဆိုရင်; အဲဒီလိုဆို	မင်းမှာ အချိန်ရှိရင် အတူသွားကြမယ်။	ប្រសិនបើ; បើដូច្នោះ	ប្រសិនបើអ្នកមានពេល យើងទៅជាមួយគ្នា។	ຖ້າ; ຖ້າເປັນແນວນັ້ນ	ຖ້າເຈົ້າມີເວລາ ພວກເຮົາໄປນຳກັນ.	यदि; त्यसो भए	तिमीसँग समय छ भने हामी सँगै जाऔँ।
589:地	地	地	မြေ; မြေပြင်	ဒီမြေကွက်မှာ ဟင်းသီးဟင်းရွက်စိုက်လို့ရတယ်။	ដី; ផ្ទៃដី	ដីបំណែកនេះអាចដាំបន្លែបាន។	ດິນ; ພື້ນດິນ	ດິນຕອນນີ້ປູກຜັກໄດ້.	जग्गा; जमिन	यो जमिनमा तरकारी रोप्न सकिन्छ।
593:电	电	电	လျှပ်စစ်	အခန်းထဲမှာ လျှပ်စစ်မရှိတော့ဘူး။	អគ្គិសនី	ក្នុងបន្ទប់គ្មានអគ្គិសនីទេ។	ໄຟຟ້າ	ໃນຫ້ອງບໍ່ມີໄຟຟ້າແລ້ວ.	बिजुली	कोठामा बिजुली छैन।
595:电子书	电子书	电子书	အီလက်ထရွန်နစ်စာအုပ်	ဖုန်းပေါ်မှာ အီလက်ထရွန်နစ်စာအုပ် ဖတ်တယ်။	សៀវភៅអេឡិចត្រូនិក	ខ្ញុំអានសៀវភៅអេឡិចត្រូនិកលើទូរស័ព្ទ។	ປຶ້ມອິເລັກໂຕຣນິກ	ຂ້ອຍອ່ານປຶ້ມອິເລັກໂຕຣນິກໃນໂທລະສັບ.	ई-पुस्तक	म फोनमा ई-पुस्तक पढ्छु।
598:东北	东北	东北	အရှေ့မြောက်	ကျွန်တော့်အိမ်က မြို့ရဲ့ အရှေ့မြောက်ဘက်မှာရှိတယ်။	ឦសាន	ផ្ទះខ្ញុំនៅភាគឦសាននៃទីក្រុង។	ທິດຕາເວັນອອກເໜືອ	ບ້ານຂ້ອຍຢູ່ທາງຕາເວັນອອກເໜືອຂອງເມືອງ.	उत्तर-पूर्व	मेरो घर सहरको उत्तर-पूर्वमा छ।
599:东方	东方	东方	အရှေ့; အရှေ့တိုင်း	နေရောင်က အရှေ့ဘက်က ထွက်တယ်။	ខាងកើត; បូព៌ា	ព្រះអាទិត្យរះពីខាងកើត។	ທິດຕາເວັນອອກ; ຕາເວັນອອກ	ດວງອາທິດຂຶ້ນຈາກທິດຕາເວັນອອກ.	पूर्व; पूर्वी संसार	सूर्य पूर्वबाट उदाउँछ।
600:东南	东南	东南	အရှေ့တောင်	ကျောင်းက မြို့ရဲ့ အရှေ့တောင်ဘက်မှာရှိတယ်။	អាគ្នេយ៍	សាលានៅភាគអាគ្នេយ៍នៃទីក្រុង។	ທິດຕາເວັນອອກໃຕ້	ໂຮງຮຽນຢູ່ທາງຕາເວັນອອກໃຕ້ຂອງເມືອງ.	दक्षिण-पूर्व	विद्यालय सहरको दक्षिण-पूर्वमा छ।
601:冬天	冬天	冬天	ဆောင်းရာသီ	ဆောင်းရာသီမှာ ဒီမှာ အရမ်းအေးတယ်။	រដូវរងា	រដូវរងានៅទីនេះត្រជាក់ខ្លាំង។	ລະດູໜາວ	ລະດູໜາວທີ່ນີ້ໜາວຫຼາຍ.	जाडो; शीत ऋतु	जाडोमा यहाँ धेरै चिसो हुन्छ।
602:懂得	懂得	懂得	သိနားလည်သည်	သူက တခြားသူတွေကို စောင့်ရှောက်တတ်တယ်။	ដឹង; យល់	គាត់ដឹងរបៀបថែរក្សាអ្នកដទៃ។	ຮູ້; ເຂົ້າໃຈ	ລາວຮູ້ວິທີດູແລຄົນອື່ນ.	जान्नु; बुझ्नु	उसले अरूको हेरचाह गर्न जान्छ।
604:动物园	动物园	动物园	တိရစ္ဆာန်ဥယျာဉ်	အပတ်ကုန်မှာ တိရစ္ဆာန်ဥယျာဉ်ကို သွားမယ်။	សួនសត្វ	ចុងសប្តាហ៍យើងទៅសួនសត្វ។	ສວນສັດ	ທ້າຍອາທິດພວກເຮົາຈະໄປສວນສັດ.	चिडियाखाना	सप्ताहान्तमा हामी चिडियाखाना जान्छौँ।
606:短裤	短裤	短裤	ဘောင်းဘီတို	နွေရာသီမှာ ဘောင်းဘီတိုကို မကြာခဏ ဝတ်တယ်။	ខោខ្លី	រដូវក្តៅខ្ញុំពាក់ខោខ្លីញឹកញាប់។	ໂສ້ງຂາສັ້ນ	ລະດູຮ້ອນຂ້ອຍໃສ່ໂສ້ງຂາສັ້ນເລື້ອຍໆ.	हाफ पाइन्ट; छोटो पाइन्ट	गर्मीमा म प्रायः हाफ पाइन्ट लगाउँछु।
611:而且	而且	而且	ထို့အပြင်; ပြီးတော့	ဒီဆိုင်က စျေးချိုပြီး ဝန်ဆောင်မှုလည်း ကောင်းတယ်။	ហើយ; លើសពីនេះ	ហាងនេះថោក ហើយសេវាក៏ល្អ។	ແລະ; ນອກຈາກນັ້ນ	ຮ້ານນີ້ຖືກ ແລະບໍລິການດີ.	र; साथै	यो पसल सस्तो छ र सेवा पनि राम्रो छ।
613:耳机	耳机	耳机	နားကြပ်	ကျွန်တော့်နားကြပ်က စားပွဲပေါ်မှာရှိတယ်။	កាសស្តាប់ត្រចៀក	កាសរបស់ខ្ញុំនៅលើតុ។	ຫູຟັງ	ຫູຟັງຂອງຂ້ອຍຢູ່ເທິງໂຕະ.	इयरफोन; हेडफोन	मेरो इयरफोन टेबलमा छ।
620:方便面	方便面	方便面	အသင့်စားခေါက်ဆွဲ	တစ်ခါတစ်လေ အသင့်စားခေါက်ဆွဲ စားတယ်။	មីកញ្ចប់	ខ្ញុំញ៉ាំមីកញ្ចប់ម្តងម្កាល។	ໝີ່ສຳເລັດຮູບ	ຂ້ອຍກິນໝີ່ສຳເລັດຮູບເປັນບາງຄັ້ງ.	तुरुन्त पकाइने चाउचाउ	म कहिलेकाहीँ तुरुन्त पकाइने चाउचाउ खान्छु।
623:房子	房子	房子	အိမ်; တိုက်ခန်း	ဒီတိုက်ခန်းက အရမ်းသန့်ရှင်းတယ်။	ផ្ទះ; អាផាតមិន	អាផាតមិននេះស្អាតណាស់។	ເຮືອນ; ຫ້ອງພັກ	ຫ້ອງພັກນີ້ສະອາດຫຼາຍ.	घर; अपार्टमेन्ट	यो अपार्टमेन्ट धेरै सफा छ।
625:放假	放假	放假	အားလပ်ရက်ရသည်	နောက်အပတ်မှာ သုံးရက်အားလပ်တယ်။	មានថ្ងៃឈប់សម្រាក	សប្តាហ៍ក្រោយយើងឈប់សម្រាកបីថ្ងៃ។	ມີວັນພັກ	ອາທິດໜ້າພວກເຮົາພັກສາມມື້.	बिदा हुनु	अर्को हप्ता हामीलाई तीन दिन बिदा छ।
627:放学	放学	放学	ကျောင်းဆင်းသည်	ကျောင်းဆင်းပြီးနောက် စာကြည့်တိုက်ကို သွားတယ်။	ចេញពីសាលា	បន្ទាប់ពីចេញពីសាលា ខ្ញុំទៅបណ្ណាល័យ។	ເລີກຮຽນ	ຫຼັງເລີກຮຽນ ຂ້ອຍໄປຫໍສະໝຸດ.	विद्यालय छुट्टी हुनु	विद्यालय छुट्टी भएपछि म पुस्तकालय जान्छु।
628:分开	分开	分开	ခွဲထားသည်	ဒီစာအုပ်တွေကို ခွဲထားပေးပါ။	បំបែក; ដាក់ដាច់	សូមបំបែកសៀវភៅទាំងនេះ។	ແຍກອອກ	ກະລຸນາແຍກປຶ້ມເຫຼົ່ານີ້ອອກ.	छुट्याउनु	कृपया यी किताबहरू छुट्याइदेऊ।
629:风	风	风	လေ	ဒီနေ့ လေပြင်းတယ်။	ខ្យល់	ថ្ងៃនេះខ្យល់ខ្លាំង។	ລົມ	ມື້ນີ້ລົມແຮງ.	हावा	आज हावा धेरै चलेको छ।
630:封	封	封	စာအတွက် ရေတွက်စကားလုံး	စာတစ်စောင် ရခဲ့တယ်။	ពាក្យរាប់សម្រាប់សំបុត្រ	ខ្ញុំបានទទួលសំបុត្រមួយច្បាប់។	ຄຳລັກສະນະນາມສຳລັບຈົດໝາຍ	ຂ້ອຍໄດ້ຮັບຈົດໝາຍໜຶ່ງສະບັບ.	चिठीका लागि गणनावाचक शब्द	मैले एउटा चिठी पाएँ।
631:夫妻	夫妻	夫妻	လင်မယား; ဇနီးမောင်နှံ	ဒီဇနီးမောင်နှံက အရမ်းဖော်ရွေတယ်။	ប្តីប្រពន្ធ; គូស្វាមីភរិយា	គូស្វាមីភរិយានេះរួសរាយណាស់។	ຜົວເມຍ; ຄູ່ສົມລົດ	ຜົວເມຍຄູ່ນີ້ໃຈດີຫຼາຍ.	श्रीमान्-श्रीमती; दम्पती	यो दम्पती धेरै मैत्रीपूर्ण छ।
632:服务	服务	服务	ဝန်ဆောင်မှုပေးသည်; ဝန်ဆောင်မှု	ဒီစားသောက်ဆိုင်ရဲ့ ဝန်ဆောင်မှုက အရမ်းကောင်းတယ်။	សេវាកម្ម; បម្រើ	សេវាកម្មនៅភោជនីយដ្ឋាននេះល្អណាស់។	ບໍລິການ; ໃຫ້ບໍລິການ	ບໍລິການຂອງຮ້ານອາຫານນີ້ດີຫຼາຍ.	सेवा गर्नु; सेवा	यो रेस्टुरेन्टको सेवा धेरै राम्रो छ।
635:该1	该1	该	သင့်သည်; အချိန်တန်ပြီ	ကျွန်တော်တို့ အခု သွားသင့်ပြီ။	គួរ; ដល់ពេល	យើងគួរចេញទៅឥឡូវនេះ។	ຄວນ; ຮອດເວລາ	ພວກເຮົາຄວນໄປດຽວນີ້.	गर्नुपर्छ; समय भयो	हामी अब जानुपर्छ।
638:感到	感到	感到	ခံစားရသည်	နည်းနည်း ပင်ပန်းတယ်လို့ ခံစားရတယ်။	មានអារម្មណ៍	ខ្ញុំមានអារម្មណ៍នឿយហត់បន្តិច។	ຮູ້ສຶກ	ຂ້ອຍຮູ້ສຶກເມື່ອຍນ້ອຍໜຶ່ງ.	महसुस गर्नु	मलाई अलि थाकेको महसुस हुन्छ।
643:刚刚	刚刚	刚刚	အခုပဲ	သူ အခုပဲ အတန်းခန်းက ထွက်သွားတယ်။	ទើបតែ	គាត់ទើបតែចេញពីថ្នាក់រៀន។	ຫາກໍ່; ດຽວນີ້	ລາວຫາກໍ່ອອກຈາກຫ້ອງຮຽນ.	अहिले भर्खर	ऊ अहिले भर्खर कक्षाबाट निस्कियो।
644:高铁	高铁	高铁	အမြန်ရထား	မနက်ဖြန် အမြန်ရထားနဲ့ ပေကျင်းကို သွားမယ်။	រថភ្លើងល្បឿនលឿន	ស្អែកខ្ញុំនឹងជិះរថភ្លើងល្បឿនលឿនទៅប៉េកាំង។	ລົດໄຟຄວາມໄວສູງ	ມື້ອື່ນຂ້ອຍຈະນັ່ງລົດໄຟຄວາມໄວສູງໄປປັກກິ່ງ.	तीव्र रेल	म भोलि तीव्र रेलबाट बेइजिङ जान्छु।
649:工作日	工作日	工作日	အလုပ်ရက်	အလုပ်ရက်တွေမှာ မနက်ခုနစ်နာရီထတယ်။	ថ្ងៃធ្វើការ	ថ្ងៃធ្វើការខ្ញុំក្រោកម៉ោងប្រាំពីរព្រឹក។	ມື້ເຮັດວຽກ	ມື້ເຮັດວຽກຂ້ອຍຕື່ນເຈັດໂມງເຊົ້າ.	काम गर्ने दिन	काम गर्ने दिनमा म बिहान सात बजे उठ्छु।
