source_headword	KN	example_KN
serve	ಬಡಿಸು	ಅವರು ಮಧ್ಯಾಹ್ನ ಊಟ ಬಡಿಸುತ್ತಾರೆ.
service	ಸೇವೆ	ಸೇವೆ ವೇಗವಾಗಿತ್ತು.
several	ಹಲವಾರು	ಹಲವಾರು ವಿದ್ಯಾರ್ಥಿಗಳು ಬೇಗ ಬಂದರು.
shake	ಕುಲುಕು	ಮೊದಲು ಬಾಟಲಿಯನ್ನು ಕುಲುಕು.
shall modal	ಮಾಡೋಣವೇ	ನಾವು ಈಗ ಆರಂಭಿಸೋಣವೇ?
shape	ಆಕಾರ	ಒಂದು ಚೌಕ ಆಕಾರ ಬಿಡಿಸು.
sheet	ಹಾಸಿಗೆ ಚಾದರ	ಹಾಸಿಗೆ ಚಾದರವನ್ನು ಹಾಸಿಗೆಯ ಮೇಲೆ ಇಡು.
ship	ಹಡಗು	ಹಡಗು ಇಂದು ಹೊರಟಿತು.
shoulder	ಭುಜ	ನನ್ನ ಭುಜ ನೋಯುತ್ತಿದೆ.
shout	ಕಿರುಚು	ತರಗತಿಯಲ್ಲಿ ಕಿರುಚಬೇಡ.
shut	ಮುಚ್ಚು	ದಯವಿಟ್ಟು ಕಿಟಕಿಯನ್ನು ಮುಚ್ಚು.
side	ಬದಿ	ಈ ಬದಿಯಲ್ಲಿ ಕುಳಿತುಕೋ.
sign	ಸಂಕೇತ	ಸಂಕೇತವನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಓದು.
silver	ಬೆಳ್ಳಿ	ಬೆಳ್ಳಿ ಹೊಳೆಯುವ ಲೋಹ.
simple	ಸರಳ	ಈ ವ್ಯಾಯಾಮ ಸರಳವಾಗಿದೆ.
since	ಇಂದ	ನಾನು ಮಧ್ಯಾಹ್ನದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ.
singing	ಹಾಡುವುದು	ಹಾಡುವುದು ನನಗೆ ವಿಶ್ರಾಂತಿ ಕೊಡುತ್ತದೆ.
single	ಒಂದು	ನಾನು ಒಂದು ಟಿಕೆಟ್ ಕೊಂಡೆ.
sir	ಸರ್	ಸರ್, ನಿಮ್ಮ ಚೀಲ ಸಿದ್ಧವಾಗಿದೆ.
site	ತಾಣ	ಈ ತಾಣ ಸುರಕ್ಷಿತವಾಗಿದೆ.
size	ಗಾತ್ರ	ನಿನಗೆ ಯಾವ ಗಾತ್ರ ಬೇಕು?
ski	ಸ್ಕೀ ಮಾಡು	ನಾವು ಚಳಿಗಾಲದಲ್ಲಿ ಸ್ಕೀ ಮಾಡುತ್ತೇವೆ.
skiing	ಸ್ಕೀ ಮಾಡುವುದು	ಚಳಿಗಾಲದಲ್ಲಿ ಸ್ಕೀ ಮಾಡುವುದು ಮೋಜು.
skin	ಚರ್ಮ	ಅವಳ ಚರ್ಮ ಒಣಗಿದಂತೆ ಅನಿಸುತ್ತದೆ.
sky	ಆಕಾಶ	ಆಕಾಶ ಸ್ಪಷ್ಟವಾಗಿದೆ.
slowly	ನಿಧಾನವಾಗಿ	ಹಿಮದ ಮೇಲೆ ನಿಧಾನವಾಗಿ ನಡೆ.
smartphone	ಸ್ಮಾರ್ಟ್ ಫೋನ್	ನನ್ನ ಸ್ಮಾರ್ಟ್ ಫೋನ್ ಹೊಸದು.
smell	ವಾಸನೆ ಬರು	ಸೂಪ್ ಚೆನ್ನಾಗಿ ವಾಸನೆ ಬರುತ್ತಿದೆ.
smile	ನಗು	ಕ್ಯಾಮೆರಾಗಾಗಿ ನಗು.
smoke	ಹೊಗೆ	ಹೊಗೆ ಕೊಠಡಿಯನ್ನು ತುಂಬಿತು.
smoking	ಧೂಮಪಾನ	ಧೂಮಪಾನಕ್ಕೆ ಅನುಮತಿ ಇಲ್ಲ.
soap	ಸಾಬೂನು	ಸಾಬೂನು ಮತ್ತು ನೀರು ಬಳಸು.
soccer	ಸಾಕರ್	ಸಾಕರ್ ಇಲ್ಲಿ ಜನಪ್ರಿಯವಾಗಿದೆ.
social	ಸಾಮಾಜಿಕ	ಇದು ಒಂದು ಸಾಮಾಜಿಕ ಕಾರ್ಯಕ್ರಮ.
society	ಸಮಾಜ	ಸಮಾಜ ಕಾಲದೊಂದಿಗೆ ಬದಲಾಗುತ್ತದೆ.
sock	ಮೊಜೆ	ಒಂದು ಮೊಜೆ ಕಾಣೆಯಾಗಿದೆ.
soft	ಮೃದುವಾದ	ಈ ಹಾಸಿಗೆ ಕಂಬಳಿ ಮೃದುವಾಗಿದೆ.
soldier	ಸೈನಿಕ	ಸೈನಿಕ ಮನೆಗೆ ಬಂದನು.
solution	ಪರಿಹಾರ	ನಾವು ಒಂದು ಪರಿಹಾರ ಕಂಡುಕೊಂಡೆವು.
solve	ಪರಿಹರಿಸು	ಈ ಪಜಲ್ ಪರಿಹರಿಸು.
somewhere	ಎಲ್ಲಾದರೂ	ಅದನ್ನು ಎಲ್ಲಾದರೂ ಸುರಕ್ಷಿತವಾಗಿ ಇಡು.
sort	ರೀತಿ	ನಿನಗೆ ಯಾವ ರೀತಿ ಬೇಕು?
source	ಮೂಲ	ಮೊದಲು ಮೂಲವನ್ನು ಪರಿಶೀಲಿಸು.
speaker	ಭಾಷಣಕಾರ	ಭಾಷಣಕಾರ ಜೋರಾಗಿ ಮಾತನಾಡಿದರು.
specific	ನಿರ್ದಿಷ್ಟ	ನನಗೆ ನಿರ್ದಿಷ್ಟ ಉತ್ತರ ಬೇಕು.
speech	ಭಾಷಣ	ಅವಳ ಭಾಷಣ ಚಿಕ್ಕದಾಗಿತ್ತು.
speed	ವೇಗ	ಇಲ್ಲಿ ನಿನ್ನ ವೇಗ ಕಡಿಮೆಮಾಡು.
spider	ಜೇಡ	ಗೋಡೆಯ ಮೇಲೆ ಜೇಡ ಇದೆ.
spoon	ಚಮಚ	ಸೂಪಿಗೆ ಚಮಚ ಬಳಸು.
square	ಚೌಕ	ಚೌಕ ಪೆಟ್ಟಿಗೆಯನ್ನು ಬಿಡಿಸು.
stage	ವೇದಿಕೆ	ಬ್ಯಾಂಡ್ ವೇದಿಕೆಯಲ್ಲಿ ಇದೆ.
stair	ಮೆಟ್ಟಿಲು	ಮೆಟ್ಟಿಲು ಮುರಿದಿದೆ.
stamp	ಅಂಚೆಚೀಟಿ	ಪತ್ರದ ಮೇಲೆ ಅಂಚೆಚೀಟಿ ಅಂಟಿಸು.
state	ಹೇಳು	ನಿನ್ನ ಹೆಸರನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಹೇಳು.
steal	ಕದಿಯು	ಹಣ ಕದಿಯಬೇಡ.
step	ಹೆಜ್ಜೆ	ಒಂದು ಹೆಜ್ಜೆ ಮುಂದೆ ಇಡು.
stomach	ಹೊಟ್ಟೆ	ನನ್ನ ಹೊಟ್ಟೆ ನೋಯುತ್ತಿದೆ.
stone	ಕಲ್ಲು	ಕಲ್ಲು ಭಾರವಾಗಿದೆ.
store	ಅಂಗಡಿ	ಅಂಗಡಿ ಬೇಗ ಮುಚ್ಚುತ್ತದೆ.
storm	ಚಂಡಮಾರುತ	ಚಂಡಮಾರುತ ಬರುತ್ತಿದೆ.
straight	ನೇರವಾಗಿ	ನೇರವಾಗಿ ಮನೆಗೆ ಹೋಗು.
strange	ವಿಚಿತ್ರ	ಆ ಶಬ್ದ ವಿಚಿತ್ರವಾಗಿದೆ.
strategy	ತಂತ್ರ	ನಮಗೆ ಒಂದು ತಂತ್ರ ಬೇಕು.
stress	ಒತ್ತಡ	ಕೆಲಸ ಒತ್ತಡ ಉಂಟುಮಾಡಬಹುದು.
structure	ರಚನೆ	ಈ ರಚನೆ ಬಲವಾಗಿದೆ.
stupid	ಮೂರ್ಖ	ಅದು ಮೂರ್ಖ ತಪ್ಪಾಗಿತ್ತು.
succeed	ಯಶಸ್ವಿಯಾಗು	ನೀನು ಇಲ್ಲಿ ಯಶಸ್ವಿಯಾಗಬಹುದು.
successful	ಯಶಸ್ವಿ	ಅವಳು ಯಶಸ್ವಿಯಾದಳು.
such	ಅಂತಹ	ಅಂತಹ ಸಹಾಯ ಉಪಯುಕ್ತವಾಗಿದೆ.
suddenly	ಹಠಾತ್ತನೆ	ಹಠಾತ್ತನೆ, ನಾಯಿ ಓಡಿತು.
suggest	ಸೂಚಿಸು	ನಾನು ಚಿಕ್ಕ ವಿರಾಮವನ್ನು ಸೂಚಿಸುತ್ತೇನೆ.
suggestion	ಸೂಚನೆ	ನಿನ್ನ ಸೂಚನೆ ಸಹಾಯಕವಾಗಿದೆ.
suit	ಸೂಟ್	ಈ ಸೂಟ್ ದುಬಾರಿಯಾಗಿದೆ.
support	ಬೆಂಬಲಿಸು	ನಾವು ನಮ್ಮ ತಂಡವನ್ನು ಬೆಂಬಲಿಸುತ್ತೇವೆ.
suppose	ಅಂದುಕೋ	ನೀನು ಸರಿಯಾಗಿದ್ದೀಯೆಂದು ನಾನು ಅಂದುಕೊಳ್ಳುತ್ತೇನೆ.
surprise	ಆಶ್ಚರ್ಯ	ಆಶ್ಚರ್ಯ ಅವಳನ್ನು ಸಂತೋಷಪಡಿಸಿತು.
surprised	ಆಶ್ಚರ್ಯಗೊಂಡ	ಅವಳು ಇಂದು ಆಶ್ಚರ್ಯಗೊಂಡಳು.
surprising	ಆಶ್ಚರ್ಯಕರ	ಫಲಿತಾಂಶ ಆಶ್ಚರ್ಯಕರವಾಗಿತ್ತು.
survey	ಸಮೀಕ್ಷೆ	ದಯವಿಟ್ಟು ಸಮೀಕ್ಷೆಯನ್ನು ಪೂರ್ಣಗೊಳಿಸು.
sweet	ಸಿಹಿ	ಈ ಚಹಾ ಸಿಹಿಯಾಗಿದೆ.
symbol	ಚಿಹ್ನೆ	ಈ ಚಿಹ್ನೆ ಅಪಾಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.
system	ವ್ಯವಸ್ಥೆ	ವ್ಯವಸ್ಥೆ ಚೆನ್ನಾಗಿ ಕೆಲಸಮಾಡುತ್ತದೆ.
tablet	ಟ್ಯಾಬ್ಲೆಟ್	ನನ್ನ ಟ್ಯಾಬ್ಲೆಟ್ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.
target	ಗುರಿ	ಗುರಿಯನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಹೊಡೆ.
task	ಕಾರ್ಯ	ಈ ಕಾರ್ಯ ಸುಲಭ.
taste	ರುಚಿ ನೋಡು	ಮೊದಲು ಸೂಪ್ ರುಚಿ ನೋಡು.
teaching	ಬೋಧನೆ	ಬೋಧನೆ ಕಷ್ಟದ ಕೆಲಸ.
technology	ತಂತ್ರಜ್ಞಾನ	ತಂತ್ರಜ್ಞಾನ ಬೇಗ ಬದಲಾಗುತ್ತದೆ.
teenage	ಕಿಶೋರ	ನನ್ನ ಕಿಶೋರ ಸಹೋದರ ಕಷ್ಟಪಟ್ಟು ಓದುತ್ತಾನೆ.
temperature	ತಾಪಮಾನ	ತಾಪಮಾನ ಕಡಿಮೆಯಾಗಿದೆ.
term	ಅವಧಿ	ಈ ಅವಧಿ ಬೇಗ ಮುಗಿಯುತ್ತದೆ.
themselves	ಅವರೇ	ಅವರೇ ರಾತ್ರಿ ಊಟ ಬೇಯಿಸಿದರು.
thick	ದಪ್ಪ	ಈ ಪುಸ್ತಕ ದಪ್ಪವಾಗಿದೆ.
thief	ಕಳ್ಳ	ಕಳ್ಳ ಓಡಿಹೋದನು.
thin	ತೆಳು	ಕಾಗದ ತೆಳುವಾಗಿದೆ.
thinking	ಆಲೋಚನೆ	ಆಲೋಚನೆಗೆ ಸಮಯ ಬೇಕು.
thought	ಚಿಂತನೆ	ನನಗೆ ವಿಚಿತ್ರ ಚಿಂತನೆ ಬಂತು.
throw	ಎಸೆ	ಚೆಂಡನ್ನು ಮೃದುವಾಗಿ ಎಸೆ.
tidy	ಅಚ್ಚುಕಟ್ಟಾದ	ನಿನ್ನ ಕೊಠಡಿಯನ್ನು ಅಚ್ಚುಕಟ್ಟಾಗಿ ಇಡು.
tie	ಕಟ್ಟು	ನಿನ್ನ ಶೂಗಳನ್ನು ಈಗ ಕಟ್ಟು.
tip	ಟಿಪ್	ಸೇವೆಗೆ ಟಿಪ್ ಬಿಡು.
tool	ಉಪಕರಣ	ಸರಿಯಾದ ಉಪಕರಣ ಬಳಸು.
top	ಮೇಲ್ಭಾಗ	ಮೇಲಿನ ತಗುಲು ತುಂಬಿದೆ.
touch	ಮುಟ್ಟು	ಗಾಜನ್ನು ಮುಟ್ಟಬೇಡ.
tour	ಪ್ರವಾಸ	ನಾವು ನಗರ ಪ್ರವಾಸ ಕೈಗೊಂಡೆವು.
tourism	ಪ್ರವಾಸೋದ್ಯಮ	ಪ್ರವಾಸೋದ್ಯಮ ಈ ಪಟ್ಟಣಕ್ಕೆ ಸಹಾಯಮಾಡುತ್ತದೆ.
towards	ಕಡೆಗೆ	ನಿಲ್ದಾಣದ ಕಡೆಗೆ ನಡೆ.
towel	ಟವಲ್	ಶುದ್ಧ ಟವಲ್ ತಂದುಕೊ.
tower	ಗೋಪುರ	ಗೋಪುರ ತುಂಬಾ ಹಳೆಯದು.
toy	ಆಟಿಕೆ	ಆಟಿಕೆ ಕಾರು ಕೆಂಪಾಗಿದೆ.
track	ಹಾದಿ	ಹಾದಿ ಉತ್ತರಕ್ಕೆ ಹೋಗುತ್ತದೆ.
tradition	ಸಂಪ್ರದಾಯ	ಈ ಸಂಪ್ರದಾಯ ಹಳೆಯದು.
traditional	ಸಾಂಪ್ರದಾಯಿಕ	ಅವಳು ಸಾಂಪ್ರದಾಯಿಕ ಬಟ್ಟೆ ಧರಿಸಿದ್ದಳು.
trainer	ಪ್ರಶಿಕ್ಷಕ	ನನ್ನ ತರಬೇತುದಾರ ಸಹಾಯಕನಾಗಿದ್ದಾನೆ.
training	ತರಬೇತಿ	ತರಬೇತಿ ನಾಳೆ ಆರಂಭವಾಗುತ್ತದೆ.
transport	ಸಾರಿಗೆ	ಸಾರ್ವಜನಿಕ ಸಾರಿಗೆ ತಡವಾಗಿದೆ.
traveller	ಪ್ರಯಾಣಿಕ	ಪ್ರಯಾಣಿಕ ಸಹಾಯ ಕೇಳಿದನು.
trouble	ತೊಂದರೆ	ನಿನ್ನೆ ನಮಗೆ ತೊಂದರೆ ಆಯಿತು.
truck	ಲಾರಿ	ಲಾರಿ ಹೊರಗೆ ಇದೆ.
twin	ಜೋಡಿ	ನನ್ನ ಜೋಡಿ ತಂಗಿ ಎತ್ತರವಾಗಿದ್ದಾಳೆ.
typical	ಸಾಮಾನ್ಯ	ಇದು ಒಂದು ಸಾಮಾನ್ಯ ದಿನ.
underground	ಭೂಗತ	ರೈಲು ಭೂಗತವಾಗಿ ಸಾಗುತ್ತದೆ.
understanding	ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವಿಕೆ	ನಿನ್ನ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವಿಕೆ ಸರಿಯಾಗಿದೆ.
unfortunately	ದುರದೃಷ್ಟವಶಾತ್	ದುರದೃಷ್ಟವಶಾತ್, ಅಂಗಡಿ ಮುಚ್ಚಿದೆ.
unhappy	ಅಸಂತೋಷವಾಗಿರುವ	ಅವನು ಅಸಂತೋಷವಾಗಿರುವಂತೆ ಕಾಣುತ್ತಾನೆ.
uniform	ಸಮವಸ್ತ್ರ	ಅವಳು ಶಾಲಾ ಸಮವಸ್ತ್ರ ಧರಿಸುತ್ತಾಳೆ.
unit	ಘಟಕ	ಈ ಘಟಕ ಚಿಕ್ಕದು.
united	ಐಕ್ಯ	ತಂಡ ಐಕ್ಯವಾಗಿ ಉಳಿಯಿತು.
unusual	ಅಸಾಮಾನ್ಯ	ಆ ಶಬ್ದ ಅಸಾಮಾನ್ಯವಾಗಿದೆ.
used to modal	ಹಿಂದೆ ಮಾಡುತ್ತಿದ್ದ	ನಾವು ಹಿಂದೆ ಇಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೆವು.
user	ಬಳಕೆದಾರ	ಪ್ರತಿ ಬಳಕೆದಾರನಿಗೆ ಸಂಖ್ಯೆ ಇದೆ.
usual	ಸಾಮಾನ್ಯ	ನಾನು ನನ್ನ ಸಾಮಾನ್ಯ ಆಸನ ತೆಗೆದುಕೊಂಡೆ.
valley	ಕಣಿವೆ	ಕಣಿವೆ ಹಸಿರಾಗಿದೆ.
van	ವ್ಯಾನ್	ವ್ಯಾನ್ ತುಂಬಿದೆ.
variety	ವೈವಿಧ್ಯ	ನಮಗೆ ಇನ್ನಷ್ಟು ವೈವಿಧ್ಯ ಬೇಕು.
vehicle	ವಾಹನ	ಈ ವಾಹನ ನಿಧಾನವಾಗಿದೆ.
view	ದೃಶ್ಯ	ದೃಶ್ಯ ಸುಂದರವಾಗಿದೆ.
virus	ವೈರಸ್	ವೈರಸ್ ಅವನನ್ನು ಅಸ್ವಸ್ಥನಾಗಿಸಿತು.
voice	ಧ್ವನಿ	ಅವಳ ಧ್ವನಿ ಮೃದುವಾಗಿದೆ.
war	ಯುದ್ಧ	ಯುದ್ಧ ವರ್ಷಗಳ ಹಿಂದೆ ಮುಗಿಯಿತು.
washing	ತೊಳೆದ ಬಟ್ಟೆಗಳು	ತೊಳೆದ ಬಟ್ಟೆಗಳು ಹೊರಗೆ ಇವೆ.
wave	ಅಲೆ	ಒಂದು ಅಲೆ ದೋಣಿಯನ್ನು ತಟ್ಟಿತು.
weak	ದುರ್ಬಲ	ನನ್ನ ಕಾಲುಗಳು ದುರ್ಬಲವಾಗಿ ಅನಿಸುತ್ತಿವೆ.
web	ವೆಬ್	ವೆಬ್ ಪುಟ ತೆರೆದಿದೆ.
wedding	ಮದುವೆ	ಮದುವೆ ಬೇಗ ಆರಂಭವಾಗುತ್ತದೆ.
weight	ತೂಕ	ಮೊದಲು ತೂಕ ಪರಿಶೀಲಿಸು.
wet	ಒದ್ದೆಯಾದ	ನನ್ನ ಶೂಗಳು ಒದ್ದೆಯಾಗಿವೆ.
wheel	ಚಕ್ರ	ಚಕ್ರ ಮುರಿದಿದೆ.
while	ಸ್ವಲ್ಪ ಹೊತ್ತು	ಸ್ವಲ್ಪ ಹೊತ್ತು ಇಲ್ಲಿ ಕಾಯು.
whole	ಪೂರ್ಣ	ನಾನು ಪೂರ್ಣ ಸೇಬನ್ನು ತಿಂದೆ.
whose	ಯಾರದು	ಈ ಫೋನ್ ಯಾರದು?
wide	ವಿಶಾಲ	ರಸ್ತೆ ವಿಶಾಲವಾಗಿದೆ.
wild	ಕಾಡು	ಕಾಡು ಪ್ರಾಣಿಗಳು ಇಲ್ಲಿ ಬದುಕುತ್ತವೆ.
wind1	ಗಾಳಿ	ಗಾಳಿ ಬಲವಾಗಿದೆ.
winner	ವಿಜೇತ	ವಿಜೇತ ನಗಿದನು.
wish	ಆಸೆ	ಒಂದು ಆಸೆ ಮಾಡು.
wood	ಮರ	ಕುರ್ಚಿ ಮರದಿಂದ ಮಾಡಲಾಗಿದೆ.
wooden	ಮರದ	ಮರದ ಪೆಟ್ಟಿಗೆ ಭಾರವಾಗಿದೆ.
working	ಕೆಲಸದ	ಕೆಲಸದ ದಿನ ಮುಗಿಯಿತು.
worried	ಚಿಂತಿತ	ನಾನು ಇಂದು ಚಿಂತಿತನಾಗಿದ್ದೇನೆ.
worry	ಚಿಂತಿಸು	ಈಗ ಚಿಂತಿಸಬೇಡ.
worse	ಇನ್ನಷ್ಟು ಕೆಟ್ಟ	ಈ ನೋವು ಇನ್ನಷ್ಟು ಕೆಟ್ಟಾಗಿದೆ.
worst	ಅತ್ಯಂತ ಕೆಟ್ಟ	ಅದು ಅತ್ಯಂತ ಕೆಟ್ಟ ದಿನವಾಗಿತ್ತು.
wow	ವಾವ್	ವಾವ್, ಅದು ಅದ್ಭುತವಾಗಿದೆ!
yet	ಇನ್ನೂ	ನಾವು ಇನ್ನೂ ಅಲ್ಲಿದ್ದೇವೆಯೇ?
yours	ನಿನ್ನದು	ಈ ಪುಸ್ತಕ ನಿನ್ನದು.
zero	ಸೊನ್ನೆ	ಸೊನ್ನೆಯವರೆಗೆ ಎಣಿಸು.
