source_headword	BN	example_BN
appreciation	প্রশংসা	তিনি তাদের সাহায্যের জন্য প্রশংসা প্রকাশ করেছেন।
arbitrary	খেয়ালখুশিমতো	সময়সীমাটি কর্মীদের কাছে খেয়ালখুশিমতো মনে হয়েছিল।
architectural	স্থাপত্য	শহরটি তার স্থাপত্য ঐতিহ্য রক্ষা করে।
archive	সংরক্ষণাগার	সংরক্ষণাগারটি পুরানো ফটোগ্রাফ সংরক্ষণ করে।
arena	আখড়া	বিতর্কটি জনসাধারণের আখড়ায় চলে গেছে।
arguably	যুক্তিসঙ্গতভাবে	এটি যুক্তিসঙ্গতভাবে তার সেরা উপন্যাস।
arm	সশস্ত্র করা	প্রহরীরা কনভয়কে সশস্ত্র করবে।
array	সারি	দোকানটি সরঞ্জামের একটি সারি অফার করে।
articulate	স্পষ্ট করে বলা	সে জটিল ধারণাগুলি স্পষ্টভাবে বলতে পারে।
ash	ছাই	আগুনের পর ছাই গাড়িটিকে ঢেকে ফেলেছিল।
aspiration	আকাঙ্ক্ষা	তার আকাঙ্ক্ষা হলো একজন সার্জন হওয়া।
aspire	আকাঙ্ক্ষা করা	অনেক শিক্ষার্থী বিদেশে পড়াশোনা করার আকাঙ্ক্ষা করে।
assassination	গুপ্তহত্যা	গুপ্তহত্যাটি দেশের রাজনীতিকে বদলে দিয়েছিল।
assault	আক্রমণ	আক্রমণটি স্টেশনের কাছে ঘটেছিল।
assemble	একত্রিত করা	কর্মীরা হাতে আসবাবপত্র একত্রিত করে।
assembly	সমাবেশ	স্কুলের সমাবেশ নয়টায় শুরু হয়।
assert	জোর দিয়ে বলা	তিনি তার কর্তৃত্ব জাহির করার চেষ্টা করেছিলেন।
assertion	দাবি	তার দাবিটি প্যানেলকে অবাক করেছিল।
assurance	আশ্বাস	ম্যানেজার সমর্থনের আশ্বাস দিয়েছেন।
asylum	আশ্রয়	পরিবারটি সীমান্তে আশ্রয় চেয়েছিল।
atrocity	নৃশংসতা	চলচ্চিত্রটি যুদ্ধের সময়কার একটি নৃশংসতার বর্ণনা দিয়েছে।
attain	অর্জন করা	খুব কম দৌড়বিদই সেই গতি অর্জন করতে পারে।
attendance	উপস্থিতি	ঘোষণার পর উপস্থিতির হার উন্নত হয়েছে।
attorney	অ্যাটর্নি	অ্যাটর্নি সাক্ষীকে প্রশ্ন করেছিলেন।
attribute	দায়ী করা	বিজ্ঞানীরা এই বৃদ্ধির জন্য দূষণকে দায়ী করেছেন।
audit	নিরীক্ষা	নিরীক্ষায় বেশ কয়েকটি ত্রুটি পাওয়া গেছে।
authentic	খাঁটি	রেস্তোরাঁটি খাঁটি আঞ্চলিক খাবার পরিবেশন করে।
authorize	অনুমোদন করা	শুধুমাত্র ম্যানেজাররাই রিফান্ড অনুমোদন করতে পারেন।
auto	অটো	অটো শিল্প দ্রুত পরিবর্তিত হয়েছে।
autonomy	স্বায়ত্তশাসন	অঞ্চলটি আরও বেশি স্বায়ত্তশাসন চায়।
availability	প্রাপ্যতা	আসনের প্রাপ্যতা সীমিত।
await	অপেক্ষা করা	বেশ কয়েকটি বার্তা আপনার উত্তরের অপেক্ষায় আছে।
backdrop	পটভূমি	পাহাড়গুলো একটি নাটকীয় পটভূমি তৈরি করেছিল।
backing	সমর্থন	প্রস্তাবটি ভোটারদের সমর্থন লাভ করেছিল।
backup	ব্যাকআপ	সিস্টেমটি প্রতিদিন একটি ব্যাকআপ তৈরি করে।
bail	জামিন	বিচারক দুপুরে জামিন নির্ধারণ করেন।
ballot	ব্যালট	প্রত্যেক ভোটার একটি করে ব্যালট পেয়েছেন।
banner	ব্যানার	প্রবেশদ্বারের উপরে ব্যানারটি ঝুলছিল।
bare	খালি	ঘরের দেয়ালগুলো খালি ছিল।
barrel	ব্যারেল	ব্যারেলটি জলে পূর্ণ ছিল।
bass1	বাস	বাসের শব্দ গভীর এবং উষ্ণ শোনাল।
battlefield	যুদ্ধক্ষেত্র	পুরানো যুদ্ধক্ষেত্রটি একটি স্মৃতিসৌধে পরিণত হয়েছিল।
bay	উপসাগর	গ্রামটি একটি শান্ত উপসাগরের পাশে অবস্থিত।
beam	বিম	একটি স্টিলের বিম ছাদকে ধরে রাখে।
beast	পশু	গল্পটি একটি হিংস্র পশুর বর্ণনা দেয়।
behalf	পক্ষে	সে তার দলের পক্ষে কথা বলেছিল।
beloved	প্রিয়	প্রিয় শিক্ষক আজ অবসর নিয়েছেন।
bench	বেঞ্চ	তারা কাঠের একটি বেঞ্চে বসেছিল।
benchmark	বেঞ্চমার্ক	পরীক্ষাটি একটি শিল্পের বেঞ্চমার্ক হয়ে উঠেছে।
beneath	নিচে	নথিপত্রগুলো ফোল্ডারের নিচে ছিল।
beneficiary	সুবিধাভোগী	তার ছেলে ছিল প্রধান সুবিধাভোগী।
betray	বিশ্বাসঘাতকতা করা	তোমার বন্ধুর বিশ্বাসের সাথে বিশ্বাসঘাতকতা করো না।
bind	বাধ্য করা	চুক্তিটি উভয় সংস্থাকে বাধ্য করবে।
biography	জীবনী	তার জীবনীর অনেক কপি বিক্রি হয়েছে।
bishop	বিশপ	বিশপ গ্রামের গির্জা পরিদর্শন করেছেন।
bizarre	অদ্ভুত	সিনেমাটির সমাপ্তি অদ্ভুত ছিল।
blade	ব্লেড	ব্লেডটি দড়ি কেটে দিল।
blast	বিস্ফোরণ	বিস্ফোরণে কাছের জানালাগুলো ভেঙে গেছে।
bleed	রক্তপাত হওয়া	কাটা জায়গা থেকে প্রচুর রক্তপাত হতে শুরু করল।
blend	মেশানো	মসৃণ না হওয়া পর্যন্ত সসটি মেশান।
bless	আশীর্বাদ করা	পুরোহিত বাড়িটিকে আশীর্বাদ করবেন।
blessing	আশীর্বাদ	সমর্থন পাওয়া একটি আশীর্বাদ ছিল।
boast	অহংকার করা	সে টাকা নিয়ে অহংকার করতে পছন্দ করে।
bonus	বোনাস	কর্মীরা একটি ছুটির বোনাস পেয়েছেন।
boom	বুম	শহরটি নির্মাণে বুম অনুভব করেছে।
bounce	লাফানো	বলটি অনেক উঁচুতে লাফাতে পারে।
boundary	সীমানা	নদীটি সীমানা চিহ্নিত করে।
bow1	মাথা নোয়ানো	অভিনেতা গভীরভাবে মাথা নোয়ালেন।
breach	লঙ্ঘন	লঙ্ঘনটি ব্যক্তিগত ডেটা প্রকাশ করেছে।
breakdown	ভাঙ্গন	প্রতিবেদনে খরচের একটি ভাঙ্গন অন্তর্ভুক্ত রয়েছে।
breakthrough	যুগান্তকারী	আবিষ্কারটি ছিল একটি বড় যুগান্তকারী।
breed	বংশবৃদ্ধি করা	এই পাখিরা বসন্তকালে বংশবৃদ্ধি করে।
broadband	ব্রডব্যান্ড	অফিসের দ্রুত ব্রডব্যান্ড প্রয়োজন।
browser	ব্রাউজার	লগ ইন করার আগে আপনার ব্রাউজার আপডেট করুন।
brutal	নৃশংস	আক্রমণটি নৃশংস এবং আকস্মিক ছিল।
buck	ডলার	টিকিটের দাম দশ ডলার।
buddy	বন্ধু	তার বন্ধু বাইরে অপেক্ষা করছিল।
buffer	বাফার	গাছপালা শব্দের বাফার তৈরি করে।
bulk	প্রচুর পরিমাণ	তারা প্রচুর পরিমাণে চাল কিনেছে।
burden	বোঝা	ঋণ একটি ভারী বোঝা হয়ে ওঠে।
bureaucracy	আমলাতন্ত্র	আমলাতন্ত্রের কারণে পারমিট বিলম্বিত হয়েছে।
burial	কবর দেওয়া	ভোরে কবর দেওয়া হয়।
burst	ফেটে যাওয়া	চাপের কারণে পাইপটি ফেটে যেতে পারে।
cabinet	মন্ত্রিসভা	মন্ত্রিসভা পরিকল্পনা অনুমোদন করেছে।
calculation	হিসাব	হিসাব করতে বেশ কয়েক মিনিট সময় লেগেছে।
canvas	ক্যানভাস	শিল্পী একটি বড় ক্যানভাসে ছবি এঁকেছেন।
capability	ক্ষমতা	ডিভাইসটির ওয়্যারলেস ক্ষমতা রয়েছে।
capitalism	পুঁজিবাদ	পুঁজিবাদ আধুনিক অর্থনীতিকে রূপ দিয়েছে।
capitalist	পুঁজিবাদী	পুঁজিবাদী ব্যবস্থা বেসরকারি বিনিয়োগকে পুরস্কৃত করে।
cargo	মালপত্র	জাহাজটি চিকিৎসাসামগ্রী বহন করছিল।
carriage	বগি	ট্রেনের বগি প্রায় খালি ছিল।
carve	খোদাই করা	সে সাবধানে কাঠ খোদাই করবে।
casino	ক্যাসিনো	ক্যাসিনোটি হোটেলের কাছে খোলা হয়েছে।
casualty	হতাহত	দুর্ঘটনায় একজন হতাহত হয়েছে।
catalogue	ক্যাটালগ	ক্যাটালগে প্রতিটি পণ্যের তালিকা রয়েছে।
cater	খাবার পরিবেশন করা	রেস্তোরাঁটি বড় ইভেন্টে খাবার পরিবেশন করতে পারে।
cattle	গবাদি পশু	গবাদি পশুগুলো নদীর কাছে ঘাস খাচ্ছিল।
caution	সতর্কতা	বরফে ঢাকা রাস্তায় সতর্কতা অবলম্বন করুন।
cautious	সতর্ক	বিনিয়োগকারীরা এই সপ্তাহে সতর্ক আছেন।
cease	বন্ধ করা	কারখানাটি শীঘ্রই উৎপাদন বন্ধ করে দেবে।
cemetery	কবরস্থান	কবরস্থান থেকে সমুদ্র দেখা যায়।
chamber	কক্ষ	ভোটদানের সময় কক্ষটি নীরব ছিল।
chaos	বিশৃঙ্খলা	বিলম্বটি বিমানবন্দরে বিশৃঙ্খলা সৃষ্টি করেছিল।
characterize	বৈশিষ্ট্য বর্ণনা করা	বিশেষজ্ঞরা পরিকল্পনাটিকে ঝুঁকিপূর্ণ হিসেবে বর্ণনা করেন।
charm	আকর্ষণ	শহরটির একটি পুরোনো দিনের আকর্ষণ রয়েছে।
charter	সনদ	সনদটি মৌলিক অধিকার রক্ষা করে।
chronic	দীর্ঘস্থায়ী	সে দীর্ঘস্থায়ী পিঠের ব্যথায় ভুগছে।
chunk	টুকরো	পনিরটি একটি টুকরো করে কাটুন।
circulate	প্রচার করা	অনুগ্রহ করে আজ এজেন্ডাটি প্রচার করুন।
circulation	প্রচার সংখ্যা	সংবাদপত্রের প্রচার সংখ্যা মারাত্মকভাবে কমে গেছে।
citizenship	নাগরিকত্ব	সে ফরাসি নাগরিকত্বের জন্য আবেদন করেছে।
civic	নাগরিক	নাগরিক নেতারা সভায় উপস্থিত ছিলেন।
civilian	বেসামরিক	বেশ কয়েকটি বেসামরিক বাড়ি ক্ষতিগ্রস্ত হয়েছে।
clarity	স্পষ্টতা	ডায়াগ্রামটি প্রতিবেদনে স্পষ্টতা যুক্ত করেছে।
clash	সংঘর্ষ	মিছিলের পরে সংঘর্ষ শুরু হয়।
classification	শ্রেণীবিভাগ	শ্রেণীবিভাগ আকারের উপর নির্ভর করে।
cling	আটকে থাকা	ভেজা কাপড় ত্বকে আটকে থাকে।
clinical	ক্লিনিকাল	ক্লিনিকাল ট্রায়াল আগামী মাসে শুরু হবে।
closure	সমাপ্তি	পরিবারটি ঘটনার পরে একটি সমাপ্তি চেয়েছিল।
cluster	গুচ্ছ	কাছেই একগুচ্ছ বাড়ি ছিল।
coalition	জোট	জোট তার সংখ্যাগরিষ্ঠতা হারিয়েছে।
coastal	উপকূলীয়	উপকূলীয় গ্রামগুলো বন্যার প্রস্তুতি নিয়েছিল।
cocktail	ককটেল	সে একটি ফলের ককটেল অর্ডার করেছিল।
cognitive	জ্ঞানীয়	জ্ঞানীয় দক্ষতা অনুশীলনের মাধ্যমে উন্নত হয়।
coincide	একই সময়ে ঘটা	উৎসবটি স্নাতকের সাথে একই সময়ে ঘটবে।
collaborate	সহযোগিতা করা	দলগুলো সফটওয়্যারের বিষয়ে সহযোগিতা করে।
collaboration	সহযোগিতা	তাদের সহযোগিতা শক্তিশালী ফলাফল এনেছে।
collective	যৌথ	সিদ্ধান্তটি ছিল একটি যৌথ প্রচেষ্টা।
collision	সংঘর্ষ	সংঘর্ষটি মহাসড়ক অবরুদ্ধ করেছিল।
colonial	ঔপনিবেশিক	ভবনে ঔপনিবেশিক স্থাপত্য রয়েছে।
columnist	কলামিস্ট	কলামিস্ট নীতির সমালোচনা করেছেন।
combat	যুদ্ধ	সৈন্যরা যুদ্ধের জন্য প্রশিক্ষণ নিয়েছিল।
commence	শুরু হওয়া	অনুষ্ঠানটি দুপুরে শুরু হবে।
commentary	ধারাভাষ্য	ম্যাচের ধারাভাষ্যটি প্রাণবন্ত ছিল।
commentator	ধারাভাষ্যকার	ধারাভাষ্যকার সিদ্ধান্তটি ব্যাখ্যা করেছেন।
commerce	বাণিজ্য	অনলাইন বাণিজ্য দ্রুত বৃদ্ধি পেয়েছে।
commissioner	কমিশনার	কমিশনার নতুন নিয়ম ঘোষণা করেছেন।
commodity	পণ্য	গম একটি গুরুত্বপূর্ণ পণ্য।
communist	কমিউনিস্ট	কমিউনিস্ট পার্টি একটি সভা করেছে।
companion	সঙ্গী	তার কুকুর একটি বিশ্বস্ত সঙ্গী।
comparable	তুলনামূলক	শহর দুটি আকারে তুলনামূলক।
compassion	সমবেদনা	নার্স দারুণ সমবেদনা দেখিয়েছেন।
compel	বাধ্য করা	প্রমাণ একটি প্রতিক্রিয়া জানাতে বাধ্য করতে পারে।
compelling	জোরালো	ডকুমেন্টারিটি একটি জোরালো যুক্তি উপস্থাপন করেছে।
compensate	ক্ষতিপূরণ দেওয়া	কোম্পানি ক্ষতিগ্রস্ত গ্রাহকদের ক্ষতিপূরণ দেবে।
compensation	ক্ষতিপূরণ	শ্রমিকরা ন্যায্য ক্ষতিপূরণ দাবি করেছে।
competence	দক্ষতা	এই পরীক্ষা পেশাদার দক্ষতা পরিমাপ করে।
competent	যোগ্য	তিনি একজন যোগ্য প্রকৌশলী।
compile	সংকলন করা	গবেষকরা হাসপাতাল থেকে ডেটা সংকলন করেন।
complement	পরিপূরক	এই ওয়াইন খাবারের পরিপূরক হবে।
complexity	জটিলতা	প্রকল্পটির অপ্রত্যাশিত জটিলতা রয়েছে।
compliance	সম্মতি	অডিট আইনি সম্মতি পরীক্ষা করেছে।
complication	জটিলতা	অস্ত্রোপচারে একটি জটিলতা ছিল।
comply	মেনে চলা	কোম্পানিগুলোকে নিয়ম মেনে চলতে হবে।
composition	রচনা	এই রচনায় বেহালা এবং পিয়ানো অন্তর্ভুক্ত রয়েছে।
compromise	আপস	আপস উভয় পক্ষকে সন্তুষ্ট করেছে।
compute	গণনা করা	প্রোগ্রামটি মোট গণনা করতে পারে।
conceal	লুকানো	সে ক্ষতি লুকানোর চেষ্টা করেছিল।
concede	স্বীকার করা	মন্ত্রী পরাজয় স্বীকার করতে অস্বীকার করেন।
conceive	কল্পনা করা	তারা এর চেয়ে ভালো কোনো পরিকল্পনা কল্পনা করতে পারেনি।
conception	ধারণা	সিনেমাটি ইতিহাস সম্পর্কে আমার ধারণা পরিবর্তন করেছে।
concession	ছাড়	কোম্পানি একটি ছাড় দিয়েছে।
condemn	নিন্দা করা	নেতারা প্রকাশ্যে হামলার নিন্দা করেন।
confer	প্রদান করা	পুরস্কারটি সম্মান প্রদান করবে।
confession	স্বীকারোক্তি	তার স্বীকারোক্তি আদালতকে অবাক করে দেয়।
configuration	কনফিগারেশন	কনফিগারেশনটি নেটওয়ার্ক অ্যাক্সেস নিয়ন্ত্রণ করে।
confine	সীমাবদ্ধ করা	নিয়মগুলো কুকুরকে এই এলাকায় সীমাবদ্ধ করে।
confirmation	নিশ্চিতকরণ	আমরা ইমেলের মাধ্যমে নিশ্চিতকরণ পেয়েছি।
confront	মুখোমুখি হওয়া	সে সমস্যার মুখোমুখি হওয়ার সিদ্ধান্ত নিয়েছে।
confrontation	সংঘাত	সংঘাতটি সহিংসতা ছাড়াই শেষ হয়েছিল।
congratulate	অভিনন্দন জানানো	আমি আমার বোনকে অভিনন্দন জানাতে ফোন করেছিলাম।
congregation	মণ্ডলী	মণ্ডলী একসাথে গান গেয়েছিল।
congressional	কংগ্রেসের	কংগ্রেসের শুনানি কয়েক ঘণ্টা ধরে চলেছিল।
conquer	জয় করা	দলটি বাজার জয় করার আশা করছে।
conscience	বিবেক	তার বিবেক তাকে মিথ্যা বলতে দেয়নি।
consciousness	চেতনা	দুর্ঘটনাটি তার চেতনাকে প্রভাবিত করেছিল।
consecutive	পরপর	সে পরপর তিনটি ম্যাচ জিতেছে।
consensus	ঐকমত্য	কমিটি দ্রুত ঐকমত্যে পৌঁছেছে।
consent	সম্মতি	লিখিত সম্মতি প্রয়োজন।
conserve	সংরক্ষণ করা	আমরা খরা চলাকালীন জল সংরক্ষণ করি।
consistency	ধারাবাহিকতা	ভাষা অধ্যয়নে ধারাবাহিকতা গুরুত্বপূর্ণ।
consolidate	একত্রিত করা	কোম্পানিটি দুটি অফিস একত্রিত করবে।
constituency	নির্বাচনী এলাকা	প্রার্থী প্রতিটি নির্বাচনী এলাকা পরিদর্শন করেছেন।
constitute	গঠন করা	নারীরা কমিটির অর্ধেক গঠন করে।
constitution	সংবিধান	সংবিধান বাকস্বাধীনতার নিশ্চয়তা দেয়।
constitutional	সাংবিধানিক	আদালত সাংবিধানিক অধিকার পর্যালোচনা করেছে।
constraint	বাধা	বাজেটের বাধা প্রকল্পটিকে সীমাবদ্ধ করেছে।
consultation	পরামর্শ	পরামর্শ দুই সপ্তাহ ধরে চলেছিল।
contemplate	চিন্তা করা	সে প্রস্তাব নিয়ে চিন্তা করার জন্য থামল।
contempt	অবজ্ঞা	সে নিয়মের প্রতি অবজ্ঞা দেখিয়েছে।
contend	প্রতিযোগিতা করা	কয়েকটি ফার্ম চুক্তির জন্য প্রতিযোগিতা করছে।
contender	প্রতিযোগী	সে একজন শক্তিশালী প্রতিযোগী।
content2	সন্তুষ্ট	সে ফলাফল নিয়ে সন্তুষ্ট ছিল।
contention	বিতর্ক	মূল বিতর্কটি অর্থায়ন নিয়ে।
continually	অনবরত	সিস্টেমটি অনবরত ত্রুটি পরীক্ষা করে।
contractor	ঠিকাদার	ঠিকাদার ছাদ মেরামত করেছে।
contradiction	স্ববিরোধিতা	তার বিবৃতিতে স্ববিরোধিতা ছিল।
contrary	বিপরীত	বিপরীত প্রমাণ মামলাটি পরিবর্তন করেছে।
contributor	অবদানকারী	সে একজন নিয়মিত অবদানকারী।
conversion	রূপান্তর	রূপান্তরটি ডলারকে ইউরোতে পরিণত করেছে।
convict	দোষী সাব্যস্ত করা	জুরি সন্দেহভাজনকে দোষী সাব্যস্ত করতে পারে।
conviction	দণ্ড	তার দণ্ড জনগণকে হতবাক করেছিল।
cooperate	সহযোগিতা করা	অনুগ্রহ করে তদন্তে সহযোগিতা করুন।
cooperative	সহযোগী	কর্মীরা সহযোগী এবং শান্ত ছিল।
coordinate	সমন্বয় করা	তারা প্রতিদিন সকালে ডেলিভারি সমন্বয় করে।
coordination	সমন্বয়	ভালো সমন্বয় সময় বাঁচিয়েছে।
coordinator	সমন্বয়কারী	সমন্বয়কারী প্রতিটি কাজ বরাদ্দ করেছেন।
cop	পুলিশ	স্টেশনের বাইরে একজন পুলিশ দাঁড়িয়ে ছিল।
copper	তামা	পাইপটি তামা দিয়ে তৈরি।
copyright	কপিরাইট	ছবিটি কপিরাইট দ্বারা সুরক্ষিত।
correction	সংশোধন	শিক্ষক একটি সংশোধন করেছেন।
correlate	সম্পর্কযুক্ত হওয়া	উচ্চ চাপ অসুস্থতার সাথে সম্পর্কযুক্ত হতে পারে।
correlation	সম্পর্ক	গবেষণায় একটি শক্তিশালী সম্পর্ক পাওয়া গেছে।
correspond	মিলে যাওয়া	এই সংখ্যাগুলো লেবেলের সাথে মিলে যায়।
correspondence	চিঠিপত্র	তাদের চিঠিপত্র বছরের পর বছর ধরে চলেছিল।
correspondent	সংবাদদাতা	সংবাদদাতা কায়রো থেকে রিপোর্ট করেছেন।
corresponding	অনুরূপ	প্রতিটি বোতামে একটি অনুরূপ আলো রয়েছে।
corrupt	দুর্নীতিগ্রস্ত	দুর্নীতিগ্রস্ত কর্মকর্তা টাকা নিয়েছেন।
corruption	দুর্নীতি	দুর্নীতি জনগণের বিশ্বাসকে দুর্বল করেছে।
costly	ব্যয়বহুল	ভুলটি দলের জন্য ব্যয়বহুল ছিল।
councillor	কাউন্সিলর	কাউন্সিলর বাসিন্দাদের প্রশ্নের উত্তর দিয়েছেন।
counselling	পরামর্শ	দুর্ঘটনার পর সে পরামর্শ পেয়েছিল।
counsellor	পরামর্শদাতা	পরামর্শদাতা নতুন শিক্ষার্থীদের সাহায্য করেছেন।
counter (argue against)	খণ্ডন করা	সে তার যুক্তি খণ্ডন করার চেষ্টা করেছিল।
counterpart	সমকক্ষ	সে তার জাপানি সমকক্ষের সাথে দেখা করেছে।
countless	অগণিত	অগণিত স্বেচ্ছাসেবক অনুসন্ধানে যোগ দিয়েছিলেন।
coup	অভ্যুত্থান	অভ্যুত্থান রাষ্ট্রপতিকে সরিয়ে দিয়েছিল।
courtesy	সৌজন্য	সে তাদের সৌজন্যের জন্য তাদের ধন্যবাদ জানিয়েছে।
