hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
3625:保修	保修	保修	opravit v záruce; záruční oprava	Tento počítač lze jeden rok bezplatně opravit v záruce.	opraviť v záruke; záručná oprava	Tento počítač možno jeden rok bezplatne opraviť v záruke.	garanciában javítani; garanciális javítás	Ezt a számítógépet egy évig ingyen javítják garanciában.	a repara în garanție; reparație în garanție	Acest computer poate fi reparat gratuit în garanție timp de un an.	ремонт в гаранция; гаранционен ремонт	Този компютър може да бъде ремонтиран безплатно в гаранция една година.	popraviti pod jamstvom; jamstveni popravak	Ovo se računalo može godinu dana besplatno popraviti pod jamstvom.
3627:爆	爆	爆	prasknout; vybuchnout	Balonek najednou praskl.	prasknúť; vybuchnúť	Balón zrazu praskol.	kipukkadni; felrobbanni	A lufi hirtelen kipukkadt.	a pocni; a exploda	Balonul a pocnit brusc.	пуквам се; избухвам	Балонът внезапно се спука.	puknuti; eksplodirati	Balon je iznenada puknuo.
3629:报刊	报刊	报刊	noviny a časopisy	V knihovně je mnoho čínských novin a časopisů.	noviny a časopisy	V knižnici je veľa čínskych novín a časopisov.	újságok és folyóiratok	A könyvtárban sok kínai újság és folyóirat van.	ziare și reviste	În bibliotecă sunt multe ziare și reviste chinezești.	вестници и списания	В библиотеката има много китайски вестници и списания.	novine i časopisi	U knjižnici ima mnogo kineskih novina i časopisa.
3635:悲剧	悲剧	悲剧	tragedie; neštěstí	Tato nehoda byla tragédií.	tragédia; nešťastie	Táto nehoda bola tragédiou.	tragédia; szerencsétlenség	Ez a baleset tragédia volt.	tragedie; nenorocire	Acest accident a fost o tragedie.	трагедия; нещастие	Тази катастрофа беше трагедия.	tragedija; nesreća	Ova nesreća bila je tragedija.
3636:悲伤	悲伤	悲伤	smutný; zarmoucený	Když tu zprávu slyšel, byl velmi smutný.	smutný; zarmútený	Keď počul tú správu, bol veľmi smutný.	szomorú; bánatos	Amikor meghallotta a hírt, nagyon szomorú lett.	trist; îndurerat	După ce a auzit vestea, a fost foarte trist.	тъжен; скръбен	Когато чу новината, той беше много тъжен.	tužan; žalostan	Kad je čuo tu vijest, bio je vrlo tužan.
3638:北美洲	北美洲	北美洲	Severní Amerika	Kanada leží v Severní Americe.	Severná Amerika	Kanada leží v Severnej Amerike.	Észak-Amerika	Kanada Észak-Amerikában található.	America de Nord	Canada se află în America de Nord.	Северна Америка	Канада се намира в Северна Америка.	Sjeverna Amerika	Kanada se nalazi u Sjevernoj Americi.
3640:被迫	被迫	被迫	být nucen; donucen	Kvůli silnému dešti byl zápas nuceně zrušen.	byť nútený; donútený	Pre silný dážď musel byť zápas zrušený.	kényszerülni; kénytelen lenni	A heves eső miatt a mérkőzést kénytelenek voltak lemondani.	a fi forțat; a fi silit	Din cauza ploii puternice, meciul a fost anulat forțat.	принуден; заставен	Заради силния дъжд мачът беше принудително отменен.	biti prisiljen; biti primoran	Zbog jake kiše utakmica je bila prisilno otkazana.
3641:背心	背心	背心	tílko; vesta	V létě často nosí tílko.	tielko; vesta	V lete často nosí tielko.	trikó; ujjatlan felső	Nyáron gyakran visel ujjatlan felsőt.	maiou; vestă	Vara poartă des un maiou.	потник; жилетка	През лятото той често носи потник.	potkošulja; majica bez rukava	Ljeti često nosi majicu bez rukava.
3642:备用	备用	备用	náhradní; záložní	Prosím, připrav náhradní klíč.	náhradný; záložný	Prosím, priprav náhradný kľúč.	tartalék; pót-	Kérlek, készíts elő egy pótkulcsot.	de rezervă; pentru backup	Vă rog să pregătiți o cheie de rezervă.	резервен; за запас	Моля, пригответе резервен ключ.	rezervni; pričuvni	Molim te, pripremi rezervni ključ.
3643:倍增	倍增	倍增	znásobit se; výrazně vzrůst	Počet letošních objednávek výrazně vzrostl.	znásobiť sa; výrazne vzrásť	Počet tohtoročných objednávok výrazne vzrástol.	megsokszorozódni; erősen nőni	Az idei rendelések száma jelentősen megnőtt.	a se multiplica; a crește mult	Numărul comenzilor din acest an a crescut foarte mult.	умножавам се; нараствам силно	Броят на поръчките тази година рязко нарасна.	umnožiti se; snažno porasti	Broj narudžbi ove godine snažno je porastao.
3644:奔跑	奔跑	奔跑	běžet; utíkat	Dítě běží po hřišti.	bežať; utekať	Dieťa beží po ihrisku.	futni; rohanni	A gyerek a pályán fut.	a alerga	Copilul aleargă pe terenul de sport.	тичам; бягам	Детето тича на игрището.	trčati	Dijete trči po igralištu.
3647:本土	本土	本土	místní; domácí půda	Tato společnost si váží místní kultury.	miestny; domáca pôda	Táto spoločnosť si váži miestnu kultúru.	helyi; hazai	Ez a vállalat fontosnak tartja a helyi kultúrát.	local; autohton	Această companie apreciază cultura locală.	местен; роден край	Тази компания цени местната култура.	lokalni; domaći	Ova tvrtka cijeni lokalnu kulturu.
3648:逼	逼	逼	nutit; tlačit	Nenuť děti dělat věci, které nemají rády.	nútiť; tlačiť	Nenúť deti robiť veci, ktoré nemajú rady.	kényszeríteni; nyomást gyakorolni	Ne kényszerítsd a gyerekeket olyasmire, amit nem szeretnek.	a forța; a presa	Nu forța copiii să facă lucruri care nu le plac.	принуждавам; притискам	Не принуждавай децата да правят неща, които не харесват.	prisiljavati; pritiskati	Nemoj prisiljavati djecu da rade ono što ne vole.
3651:闭	闭	闭	zavřít	Prosím, zavři dveře.	zavrieť	Prosím, zavri dvere.	bezárni	Kérlek, csukd be az ajtót.	a închide	Vă rog să închideți ușa.	затварям	Моля, затворете вратата.	zatvoriti	Molim te, zatvori vrata.
3652:避	避	避	vyhnout se	Při řízení se vyhni dopravní špičce.	vyhnúť sa	Pri šoférovaní sa vyhni dopravnej špičke.	elkerülni	Vezetéskor kerüld el a csúcsidőt.	a evita	Când conduci, evită orele de vârf.	избягвам	Когато шофираш, избягвай пиковите часове.	izbjeći; izbjegavati	Prilikom vožnje izbjegavaj prometnu špicu.
3653:必修	必修	必修	povinný	Tento kurz je povinný pro studenty prvního ročníku univerzity.	povinný	Tento kurz je povinný pre študentov prvého ročníka univerzity.	kötelező	Ez a kurzus kötelező az elsőéves egyetemistáknak.	obligatoriu	Acest curs este obligatoriu pentru studenții din primul an de facultate.	задължителен	Този курс е задължителен за първокурсниците в университета.	obvezan	Ovaj je kolegij obvezan za studente prve godine sveučilišta.
3654:编	编	编	sestavit; redigovat	Právě sestavuje učebnici čínštiny.	zostaviť; redigovať	Práve zostavuje učebnicu čínštiny.	szerkeszteni; összeállítani	Éppen egy kínai tankönyvet állít össze.	a compila; a edita	El compilează un manual de chineză.	съставям; редактирам	Той съставя учебник по китайски.	sastaviti; urediti	Upravo sastavlja udžbenik kineskog jezika.
3656:编写	编写	编写	sestavit a napsat	Učitel sestavil a napsal sadu cvičení.	zostaviť a napísať	Učiteľ zostavil a napísal súbor cvičení.	összeállítani és megírni	A tanár összeállított és megírt egy gyakorlatsort.	a elabora și a scrie	Profesorul a elaborat un set de exerciții.	съставям и пиша	Учителят състави комплект упражнения.	sastaviti i napisati	Učitelj je sastavio niz vježbi.
3657:遍地	遍地	遍地	všude; po celé ploše	Na jaře jsou v parku všude květiny.	všade; po celej ploche	Na jar sú v parku všade kvety.	mindenütt; szerte	A parkban tavasszal mindenütt virágok vannak.	peste tot; pe toată suprafața	Primăvara, florile sunt peste tot în parc.	навсякъде; по цялата земя	През пролетта в парка навсякъде има цветя.	posvuda; po cijeloj površini	U proljeće je park posvuda pun cvijeća.
3658:便捷	便捷	便捷	pohodlný; praktický	Tento způsob platby je velmi pohodlný.	pohodlný; praktický	Tento spôsob platby je veľmi pohodlný.	kényelmes; praktikus	Ez a fizetési mód nagyon kényelmes.	convenabil; practic	Această metodă de plată este foarte convenabilă.	удобен; практичен	Този начин на плащане е много удобен.	praktičan; zgodan	Ovaj način plaćanja vrlo je praktičan.
3660:兵	兵	兵	voják	Tento voják slouží na hranici.	vojak	Tento vojak slúži na hranici.	katona	Ez a katona a határon szolgál.	soldat	Acest soldat servește la graniță.	войник	Този войник служи на границата.	vojnik	Ovaj vojnik služi na granici.
3662:播	播	播	vysílat; přehrát	Televizní stanice dnes večer odvysílá tento dokument.	vysielať; prehrať	Televízna stanica dnes večer odvysiela tento dokument.	sugározni; lejátszani	A tévéadó ma este sugározza ezt a dokumentumfilmet.	a difuza; a reda	Postul TV va difuza acest documentar în seara aceasta.	излъчвам; пускам	Телевизията ще излъчи този документален филм тази вечер.	emitirati; pustiti	Televizijska postaja večeras će emitirati ovaj dokumentarac.
3670:不适	不适	不适	nevolnost; necítit se dobře	Po užití léku se necítil dobře.	nevoľnosť; necítiť sa dobre	Po užití lieku sa necítil dobre.	rosszullét; nem érzi jól magát	A gyógyszer bevétele után rosszul érezte magát.	disconfort; stare de rău	După ce a luat medicamentul, s-a simțit rău.	неразположение; не се чувствам добре	След като взе лекарството, той се почувства зле.	nelagoda; loše se osjećati	Nakon što je uzeo lijek, osjećao se loše.
3671:不至于	不至于	不至于	ne až tak; ne natolik	Taková malá chyba by neměla ovlivnit výsledek.	nie až tak; nie natoľko	Taká malá chyba by nemala ovplyvniť výsledok.	nem annyira; nem jut el odáig	Egy ilyen kis hiba nem kellene, hogy befolyásolja az eredményt.	nu până la punctul de; nu chiar	O greșeală atât de mică nu ar trebui să afecteze rezultatul.	не до такава степен; не чак толкова	Такава малка грешка не би трябвало да повлияе на резултата.	ne baš toliko; ne do te mjere	Takva mala pogreška ne bi trebala utjecati na rezultat.
3672:补	补	补	doplnit; opravit	Do této zprávy je ještě potřeba doplnit nějaká data.	doplniť; opraviť	Do tejto správy treba ešte doplniť nejaké údaje.	kiegészíteni; javítani	Ezt a jelentést még ki kell egészíteni néhány adattal.	a completa; a repara	Acest raport mai trebuie completat cu câteva date.	допълвам; поправям	В този доклад трябва да се добавят още данни.	dopuniti; popraviti	U ovo izvješće još treba dodati neke podatke.
3673:捕	捕	捕	chytit; zatknout	Policie podezřelého rychle chytila.	chytiť; zatknúť	Polícia podozrivého rýchlo chytila.	elkapni; elfogni	A rendőrség gyorsan elfogta a gyanúsítottat.	a prinde; a captura	Poliția l-a prins repede pe suspect.	хващам; залавям	Полицията бързо залови заподозрения.	uhvatiti; uhititi	Policija je brzo uhvatila osumnjičenika.
3675:补课	补课	补课	dohnat učivo; nahradit hodiny	Po nemoci musí dohnat učivo.	dobehnúť učivo; nahradiť hodiny	Po chorobe musí dobehnúť učivo.	pótórára járni; pótolni az órákat	Betegség után pótórákra van szüksége.	a recupera lecțiile	După ce a fost bolnav, trebuie să recupereze lecțiile.	наваксвам уроци; вземам допълнителни часове	След боледуването той трябва да навакса уроците.	nadoknaditi nastavu; ići na dopunsku	Nakon bolesti treba nadoknaditi nastavu.
3677:补习	补习	补习	doučovat se; chodit na doučování	O víkendu chodí na doučování z matematiky.	doučovať sa; chodiť na doučovanie	Cez víkend chodí na doučovanie z matematiky.	különórára járni; korrepetálásra menni	Hétvégén matematika-különórára jár.	a lua meditații; a face pregătire	În weekend merge la meditații la matematică.	ходя на допълнителни уроци; вземам частни уроци	През уикенда тя ходи на допълнителни уроци по математика.	ići na instrukcije; dodatno učiti	Vikendom ide na instrukcije iz matematike.
3680:不曾	不曾	不曾	nikdy; ani jednou	Nikdy jsem o této věci neslyšel.	nikdy; ani raz	Nikdy som o tejto veci nepočul.	soha; egyszer sem	Soha nem hallottam erről az ügyről.	niciodată; nici măcar o dată	Nu am auzit niciodată de acest lucru.	никога; нито веднъж	Никога не съм чувал за това.	nikada; nijednom	Nikada nisam čuo za tu stvar.
3681:不成	不成	不成	nepůjde to; nevyjít	Takto to asi nepůjde.	nepôjde to; nevyjsť	Takto to asi nepôjde.	nem fog menni; nem sikerül	Így valószínűleg nem fog menni.	nu merge; a eșua	Mă tem că în felul acesta nu va merge.	не става; провалям се	Страхувам се, че така няма да стане.	ne ide; ne uspjeti	Bojim se da ovako neće ići.
3682:不得	不得	不得	nesmí; není dovoleno	Na veřejných místech se nesmí kouřit.	nesmie sa; nie je dovolené	Na verejných miestach sa nesmie fajčiť.	tilos; nem szabad	Nyilvános helyeken tilos dohányozni.	nu este permis; nu ai voie	În locurile publice nu este permis fumatul.	не е разрешено; не бива	На обществени места не е разрешено пушенето.	ne smije; nije dopušteno	Na javnim mjestima nije dopušteno pušiti.
3683:部队	部队	部队	vojenská jednotka; vojsko	Tato jednotka právě cvičí v horách.	vojenská jednotka; vojsko	Táto jednotka práve cvičí v horách.	katonai egység; csapatok	Ez a katonai egység a hegyekben gyakorlatozik.	unitate militară; trupe	Această unitate militară se antrenează în munți.	военно подразделение; войски	Това военно подразделение тренира в планината.	vojna postrojba; trupe	Ova vojna postrojba trenira u planinama.
3687:不许	不许	不许	není dovoleno; nesmí se	Zde není dovoleno parkovat.	nie je dovolené; nesmie sa	Tu nie je dovolené parkovať.	nem szabad; tilos	Itt tilos parkolni.	nu este permis; nu ai voie	Aici nu este permisă parcarea.	не е позволено; забранено	Тук не е позволено паркирането.	nije dopušteno; ne smije	Ovdje nije dopušteno parkiranje.
3688:不宜	不宜	不宜	není vhodné; nedoporučuje se	Po jídle není vhodné hned cvičit.	nie je vhodné; neodporúča sa	Po jedle nie je vhodné hneď cvičiť.	nem alkalmas; nem tanácsos	Étkezés után nem tanácsos azonnal sportolni.	nu este potrivit; nerecomandat	Nu este recomandat să faci mișcare imediat după masă.	не е подходящо; не се препоръчва	След хранене не е подходящо веднага да се спортува.	nije prikladno; ne preporučuje se	Nakon obroka nije preporučljivo odmah vježbati.
3689:不已	不已	不已	bez ustání; nesmírně	Po dobré zprávě byli všichni nesmírně nadšení.	bez prestania; nesmierne	Po dobrej správe boli všetci nesmierne nadšení.	végtelenül; szüntelenül	A jó hír hallatán mindenki rendkívül izgatott lett.	nesfârșit; extrem	După vestea bună, toți au fost extrem de emoționați.	безкрайно; непрестанно	Като чуха добрата новина, всички бяха безкрайно развълнувани.	bez prestanka; silno	Kad su čuli dobru vijest, svi su bili silno uzbuđeni.
3693:猜测	猜测	猜测	hádat; spekulovat	Jen hádá, zatím nemá žádný důkaz.	hádať; špekulovať	Iba háda, zatiaľ nemá žiadny dôkaz.	találgatni; feltételezni	Ő csak találgat, még nincs bizonyítéka.	a ghici; a specula	El doar presupune și nu are încă dovezi.	предполагам; гадая	Той само предполага и още няма доказателства.	nagađati; pretpostavljati	On samo nagađa i još nema dokaza.
3696:才华	才华	才华	talent; nadání	Má velký hudební talent.	talent; nadanie	Má veľký hudobný talent.	tehetség; adottság	Nagy tehetsége van a zenéhez.	talent; har	Ea are mult talent în muzică.	талант; дарба	Тя има голям талант в музиката.	talent; dar	Ima velik glazbeni talent.
3697:才能	才能	才能	schopnost; talent	Tento projekt vyžaduje manažerské schopnosti.	schopnosť; talent	Tento projekt vyžaduje manažérske schopnosti.	képesség; tehetség	Ehhez a projekthez vezetői képesség kell.	abilitate; talent	Acest proiect necesită abilități de management.	способност; талант	Този проект изисква управленски способности.	sposobnost; talent	Ovaj projekt zahtijeva upravljačke sposobnosti.
3699:财物	财物	财物	majetek; osobní věci	Dobře si hlídejte osobní věci.	majetok; osobné veci	Dobre si strážte osobné veci.	vagyon; személyes holmi	Vigyázzon a személyes holmijaira.	bunuri; lucruri personale	Vă rugăm să aveți grijă de bunurile personale.	имущество; лични вещи	Моля, пазете личните си вещи.	imovina; osobne stvari	Molim vas, dobro čuvajte osobne stvari.
3700:材质	材质	材质	materiál; textura	Materiál tohoto oblečení je velmi příjemný.	materiál; textúra	Materiál tohto oblečenia je veľmi príjemný.	anyag; textúra	Ennek a ruhának nagyon kényelmes az anyaga.	material; textură	Materialul acestei haine este foarte confortabil.	материя; текстура	Материята на тази дреха е много удобна.	materijal; tekstura	Materijal ove odjeće vrlo je ugodan.
3707:参展	参展	参展	vystavovat; zúčastnit se výstavy	Firma se letos poprvé účastní výstavy.	vystavovať; zúčastniť sa výstavy	Firma sa tento rok prvýkrát zúčastňuje výstavy.	kiállításon részt venni	A cég idén először vesz részt kiállításon.	a participa la o expoziție	Compania participă anul acesta pentru prima dată la o expoziție.	участвам в изложение	Компанията тази година за първи път участва в изложение.	sudjelovati na izložbi	Tvrtka ove godine prvi put sudjeluje na izložbi.
3710:草原	草原	草原	travnatá step; prérie	Travnatá step je v létě velmi krásná.	trávnatá step; préria	Trávnatá step je v lete veľmi krásna.	füves puszta; préri	Nyáron a füves puszta nagyon szép.	pajiște; stepă	Pajiștea este foarte frumoasă vara.	ливада; степ	Степта е много красива през лятото.	travnata ravnica; prerija	Travnjaci su ljeti vrlo lijepi.
3711:侧	侧	侧	strana; bok	Stál na levé straně silnice.	strana; bok	Stál na ľavej strane cesty.	oldal	A út bal oldalán állt.	parte; latură	El stătea pe partea stângă a drumului.	страна; отстрани	Той стоеше от лявата страна на пътя.	strana; bok	Stajao je s lijeve strane ceste.
3716:层面	层面	层面	úroveň; hledisko	Tento problém je třeba analyzovat z právního hlediska.	úroveň; hľadisko	Tento problém treba analyzovať z právneho hľadiska.	szint; szempont	Ezt a kérdést jogi szempontból kell elemezni.	nivel; aspect	Această problemă trebuie analizată din punct de vedere juridic.	ниво; аспект	Този въпрос трябва да се анализира от правна гледна точка.	razina; aspekt	Ovo pitanje treba analizirati s pravnog aspekta.
3717:叉	叉	叉	vidlička	Číšník mi dal vidličku.	vidlička	Čašník mi dal vidličku.	villa	A pincér adott nekem egy villát.	furculiță	Chelnerul mi-a dat o furculiță.	вилица	Сервитьорът ми даде вилица.	vilica	Konobar mi je dao vilicu.
3718:差异	差异	差异	rozdíl; odlišnost	Mezi severním a jižním klimatem je velký rozdíl.	rozdiel; odlišnosť	Medzi severným a južným podnebím je veľký rozdiel.	különbség; eltérés	Nagy különbség van az északi és a déli éghajlat között.	diferență; discrepanță	Există o mare diferență între clima din nord și cea din sud.	разлика; несъответствие	Има голяма разлика между климата на север и на юг.	razlika; odstupanje	Velika je razlika između sjeverne i južne klime.
3720:查询	查询	查询	vyhledat; dotázat se	Informace o letu si můžeš vyhledat na internetu.	vyhľadať; dopytovať sa	Informácie o lete si môžeš vyhľadať na internete.	keresni; lekérdezni	A repülőjárat adatait megkeresheted az interneten.	a căuta; a interoga	Poți căuta informațiile despre zbor online.	търся справка; проверявам	Можеш да провериш информацията за полета онлайн.	pretražiti; upitati	Informacije o letu možeš potražiti na internetu.
3721:拆除	拆除	拆除	zbourat; odstranit	Tento starý most bude příští měsíc zbourán.	zbúrať; odstrániť	Tento starý most bude budúci mesiac zbúraný.	lebontani; eltávolítani	Ezt a régi hidat jövő hónapban lebontják.	a demola; a îndepărta	Acest pod vechi va fi demolat luna viitoare.	събарям; премахвам	Този стар мост ще бъде съборен следващия месец.	srušiti; ukloniti	Ovaj stari most bit će srušen sljedeći mjesec.
3722:产出	产出	产出	produkovat; vyprodukovat	Tato půda každoročně vyprodukuje mnoho obilí.	produkovať; vyprodukovať	Táto pôda každoročne vyprodukuje veľa obilia.	termelni; kibocsátani	Ez a föld évente sok gabonát termel.	a produce; producție	Acest pământ produce mult grâu în fiecare an.	произвеждам; продукция	Тази земя всяка година произвежда много зърно.	proizvoditi; proizvesti	Ova zemlja svake godine proizvede mnogo žitarica.
3723:产地	产地	产地	místo původu; výrobní oblast	Místo původu tohoto čaje je v Jün-nanu.	miesto pôvodu; výrobná oblasť	Miesto pôvodu tohto čaju je v Jün-nane.	származási hely; termőterület	Ennek a teának a származási helye Jünnanban van.	loc de origine; zonă de producție	Locul de origine al acestui ceai este în Yunnan.	място на произход; производствен район	Мястото на произход на този чай е в Юнан.	mjesto podrijetla; proizvodno područje	Mjesto podrijetla ovog čaja je u Yunnanu.
3724:肠	肠	肠	střevo	Lékař mu vyšetřil střevo.	črevo	Lekár mu vyšetril črevo.	bél	Az orvos megvizsgálta a belét.	intestin	Medicul i-a examinat intestinul.	черво	Лекарят прегледа червото му.	crijevo	Liječnik mu je pregledao crijevo.
3725:长短	长短	长短	délka; rozdíl v délce	Tyto dva provazy mají různou délku.	dĺžka; rozdiel v dĺžke	Tieto dva povrazy majú rôznu dĺžku.	hossz; hosszúságbeli különbség	Ez a két kötél különböző hosszúságú.	lungime; diferență de lungime	Aceste două frânghii au lungimi diferite.	дължина; разлика в дължината	Тези две въжета са с различна дължина.	duljina; razlika u duljini	Ova dva užeta različite su duljine.
3726:常规	常规	常规	běžný; rutinní	Toto je běžné vyšetření v nemocnici.	bežný; rutinný	Toto je bežné vyšetrenie v nemocnici.	rutin; szokásos	Ez egy rutinellenőrzés a kórházban.	de rutină; convențional	Aceasta este o examinare de rutină la spital.	рутинен; обичаен	Това е рутинен преглед в болницата.	rutinski; uobičajen	Ovo je rutinski pregled u bolnici.
3727:常年	常年	常年	celoročně; po celý rok	Zdejší klima je po celý rok mírné.	celoročne; po celý rok	Tunajšie podnebie je po celý rok mierne.	egész évben; évről évre	Itt egész évben enyhe az éghajlat.	tot anul; pe tot parcursul anului	Clima de aici este blândă tot anul.	целогодишно; през цялата година	Климатът тук е мек през цялата година.	tijekom cijele godine; stalno	Klima je ovdje blaga tijekom cijele godine.
3728:长寿	长寿	长寿	dlouhověkost; dlouhý život	Zdravé životní návyky pomáhají k dlouhověkosti.	dlhovekosť; dlhý život	Zdravé životné návyky pomáhajú k dlhovekosti.	hosszú élet; hosszúéletűség	Az egészséges életmód segít a hosszú életben.	longevitate; viață lungă	Obiceiurile sănătoase ajută la longevitate.	дълголетие; дълъг живот	Здравословните навици помагат за дълголетие.	dugovječnost; dug život	Zdrave životne navike pomažu dugovječnosti.
3729:常温	常温	常温	pokojová teplota; běžná teplota	Tento lék lze uchovávat při pokojové teplotě.	izbová teplota; bežná teplota	Tento liek možno uchovávať pri izbovej teplote.	szobahőmérséklet; normál hőmérséklet	Ezt a gyógyszert szobahőmérsékleten lehet tárolni.	temperatura camerei; temperatură normală	Acest medicament poate fi păstrat la temperatura camerei.	стайна температура; нормална температура	Това лекарство може да се съхранява на стайна температура.	sobna temperatura; normalna temperatura	Ovaj se lijek može čuvati na sobnoj temperaturi.
3730:场次	场次	场次	čas představení; jednotlivé uvedení	Dnešní představení má tři časy uvedení.	čas predstavenia; jednotlivé uvedenie	Dnešné predstavenie má tri uvedenia.	előadásidő; alkalom	A mai előadásnak három időpontja van.	interval de spectacol; reprezentație	Spectacolul de astăzi are trei reprezentații.	час на представление; сеанс	Днешното представление има три сеанса.	termin izvedbe; predstava	Današnja izvedba ima tri termina.
3731:场地	场地	场地	místo; sportoviště	Škola poskytla místo pro soutěž.	miesto; športovisko	Škola poskytla miesto na súťaž.	helyszín; pálya	Az iskola biztosította a verseny helyszínét.	loc; teren	Școala a oferit terenul pentru competiție.	място; терен	Училището осигури място за състезанието.	mjesto; teren	Škola je osigurala teren za natjecanje.
3732:场馆	场馆	场馆	areál; stadion	Nový areál pojme dvacet tisíc lidí.	areál; štadión	Nový areál pojme dvadsaťtisíc ľudí.	csarnok; stadion	Az új létesítmény húszezer embert tud befogadni.	sală; stadion	Noul stadion poate găzdui douăzeci de mii de oameni.	зала; стадион	Новата зала може да побере двадесет хиляди души.	dvorana; stadion	Novi prostor može primiti dvadeset tisuća ljudi.
