source_headword	UZ	example_UZ
defence	himoya	Himoya tomoni dalillarga qarshi chiqdi.
defend	himoya qilmoq	U o'zini himoya qilishga urindi.
delay	kechikish	Yomon ob-havo kechikishga sabab bo'ldi.
deliberate	qasddan qilingan	Bu ataylab qilingan tanlov edi.
deliberately	qasddan	U ogohlantirishga qasddan e'tibor bermadi.
delight	xursand qilmoq	Bu xabar hammani xursand qildi.
delighted	xursand	Sovg'adan juda xursand bo'ldik.
delivery	yetkazib berish	Yetkazib berish barvaqt keldi.
demand	talab qilmoq	Ishchilar yaxshiroq maosh talab qilmoqdalar.
demonstrate	namoyish etmoq	U yangi dasturni namoyish etdi.
deny	inkor etmoq	U ayblovni inkor etdi.
depressed	tushkunlikka tushgan	Mag'lubiyatdan so'ng u o'zini tushkun his qildi.
depressing	tushkunlikka soluvchi	Film tushkunlikka soluvchi edi.
depth	chuqurlik	Hovuz katta chuqurlikka ega.
deserve	loyiq bo'lmoq	Siz dam olishga loyiqsiz.
desire	xohish	U sayohat qilish xohishini bildirdi.
desperate	umidsiz	Ular umidsiz qo'ng'iroq qilishdi.
detailed	batafsil	Qo'llanma juda batafsil.
detect	aniqlamoq	Itlar tutunni aniqlay oladi.
dig	qazimoq	Ular yozda quduq qaziydilar.
disc	disk	Disk tirnalgan edi.
discipline	intizom	Intizom sportchilarga yaxshilanishga yordam beradi.
dishonest	insofsiz	Uning javobi insofsizdek tuyuldi.
dismiss	rad etmoq	Menejer shikoyatni rad etdi.
display	ko'rsatmoq	Ekran hisobni ko'rsatadi.
distribute	tarqatmoq	Ko'ngillilar toza suv tarqatishdi.
distribution	tarqatish	Tarqatish kun chiqqandan keyin boshlandi.
district	tuman	Tuman yangi hokimni sayladi.
division	bo'lim	Bu bo'lim huquqiy ishlarni ko'rib chiqadi.
domestic	ichki	Ichki reyslar arzonroq.
dominate	ustunlik qilmoq	Bitta kompaniya bozorda ustunlik qilishi mumkin.
downwards	pastga	Yo'l pastga nishab bo'lgan.
dozen	bir dyujin	U bir dyujin tuxum sotib oldi.
draft	qoralama	Iltimos, qoralamani ko'rib chiqing.
drag	sudramoq	Stolni sudramang.
dramatic	keskin	Natijalar keskin edi.
edit	tahrir qilmoq	U maqolani tahrir qildi.
edition	nashr	Bu nashr yangi suratlarni o'z ichiga oladi.
efficient	samarali	Tizim samarali ishlaydi.
elderly	qariyalar	Keksa aholi yordamga muhtoj.
elect	saylamoq	Saylovchilar yangi kengashni saylashadi.
elsewhere	boshqa joyda	Biz yordamni boshqa joydan qidirdik.
emerge	paydo bo'lmoq	Tafsilotlar yarim tundan keyin ma'lum bo'ldi.
emotional	hissiy	Nutq hissiyotlarga boy edi.
emphasis	urg'u	Urg'uni xavfsizlikka qarating.
emphasize	ta'kidlamoq	O'qituvchilar har kungi mashqni ta'kidlaydilar.
enable	imkon bermoq	Ilova to'lovlarni tez amalga oshirishga imkon beradi.
encounter	duch kelmoq	Biz tirbandlikka duch keldik.
engage	jalb qilmoq	Kurs kattalarni o'qishga jalb qiladi.
enhance	yaxshilamoq	Yoritish xonani yaxshilashi mumkin.
enquiry	tergov	Tergov uch oy davom etdi.
ensure	ta'minlash	Aniqlikni ta'minlash uchun ikki marta tekshiring.
enthusiasm	ishtiyoq	Uning ishtiyoqi guruhni ruhlantirdi.
enthusiastic	ishtiyoqli	Ko'ngillilar ishtiyoqli edi.
entire	butun	Butun qishloq elektrsiz qoldi.
entirely	butunlay	Bu hikoya butunlay yolg'on.
establish	o'rnatish	Ular aniq qoidalarni o'rnatdilar.
estate	mulk	Mulk o'z ichiga bir nechta fermalarni oladi.
estimate	taxmin qilish	Biz o'n ming nafar tashrif buyuruvchini taxmin qilyapmiz.
ethical	axloqiy	Qaror axloqiy savollarni keltirib chiqardi.
evaluate	baholash	Mutaxassislar dizaynni baholaydilar.
evil	yovuz	Qirol yovuz ruhlardan qo'rqardi.
examination	imtihon	Imtihon bir soat davom etdi.
excuse	bahona	Bu bahona ishonchsiz tuyuldi.
executive	rahbar	Rahbar kelishuvni tasdiqladi.
existence	mavjudlik	Ularning mavjudligi noma'lum edi.
expectation	kutilma	Ishga tushirishdan oldin kutilmalar yuqori edi.
expense	xarajat	Sayohat bizning eng katta xarajatimizdir.
exploration	tadqiqot	Fazo tadqiqoti bolalarni ilhomlantiradi.
expose	fosh qilish	Maqola korrupsiyani fosh qildi.
extend	uzaytirish	Ular muddatni uzaytirdilar.
extent	daraja	Biz ko'lamini keyinroq bildik.
external	tashqi	Tashqi bosim ularga ta'sir qildi.
extraordinary	g'ayrioddiy	Uning tuzalishi g'ayrioddiy edi.
facility	inshoot	Inshoot iyun oyida ochildi.
failure	muvaffaqiyatsizlik	Muvaffaqiyatsizlik unga sabrni o'rgatdi.
faith	ishonch	U unga ishonchini yo'qotmadi.
fault	ayb	Baxtsiz hodisa mening aybim edi.
feather	pat	Yostiqdan pat tushdi.
fee	to'lov	To'lov o'z ichiga tushlikni oladi.
feedback	fikr-mulohaza	Fikr-mulohazalar kursni yaxshilashga yordam berdi.
fellow	hamkasb	Hamkasblari uni qo'llab-quvvatladilar.
finance	moliya	Bank kengaytirishni moliyalashtiradi.
finding	topilma	Topilma tadqiqotchilarni ajablantirdi.
firm	firma	Firma yangi xodimlarni ishga yolladi.
flame	alanga	Kichik alanga paydo bo'ldi.
flash	chaqnash	Chaqnash osmonni yoritdi.
flexible	moslashuvchan	Jadval moslashuvchan.
float	suzish	Barglar suvda suzadi.
folding	yig'iladigan	U yig'iladigan stul ko'tarib yurardi.
forgive	kechirish	Uni kechira olasizmi?
former	sobiq	Sobiq mer qaytib keldi.
fortune	boylik	Ular katta boylikni yo'qotishdi.
found	asos solish	Ular kichik xayriya tashkilotiga asos soldilar.
freedom	erkinlik	Erkinlik mas'uliyatni talab qiladi.
frequency	chastota	Qishda chastota oshdi.
fully	to'liq	Mehmonxona to'liq band qilingan.
fund	jamg'arma	Jamg'arma mahalliy maktablarni qo'llab-quvvatlaydi.
fundamental	asosiy	Bu yerda hurmat asosiy hisoblanadi.
funding	moliyalashtirish	Moliyalashtirish o'tgan yili tugadi.
furthermore	bundan tashqari	Bundan tashqari, xarajatlar o'sib bormoqda.
gain	ega bo'lmoq	Talabalar tezda ishonchga ega bo'lishadi.
gang	to'da	To'da ko'chani nazorat qilar edi.
generate	ishlab chiqarmoq	Quyosh panellari elektr energiyasini ishlab chiqaradi.
genre	janr	Komediya uning sevimli janridir.
govern	boshqarmoq	Qonunlar davlat xarajatlarini boshqaradi.
grab	ushlab olmoq	U qo'limdan ushlab oldi.
gradually	asta-sekin	Og'riq asta-sekin yo'qoldi.
grand	hashamatli	Mehmonxonaning hashamatli kirish qismi bor.
grant	grant	Uskunalar uchun grant to'landi.
guarantee	kafolat	Chipta kirishni kafolatlaydi.
handle	hal qilmoq	U shikoyatni xotirjamlik bilan hal qildi.
harm	zarar	Chekish sog'likka zarar yetkazishi mumkin.
harmful	zararli	Bu kimyoviy modda zararli.
hearing	eshitish qobiliyati	Uning eshitish qobiliyati yaxshilandi.
heaven	jannat	Ular tepada jannatni tasavvur qilishdi.
heel	tovon	Uning tovoni juda og'ridi.
hell	do'zax	Bu sayohat haqiqiy do'zax edi.
hesitate	ikkilanmoq	So'rashga ikkilanmang.
hollow	bo'sh	Daraxtning ichi bo'sh edi.
holy	muqaddas	Ular muqaddas joyni ziyorat qilishdi.
honour	sharaf	Ular sharaf uchun kurashdilar.
household	xonadon	Har bir xonadon suv oldi.
housing	uy-joy	Uy-joy narxlari o'sishda davom etmoqda.
humorous	kulgili	Uning hikoyasi kulgili edi.
humour	yumor	Yumor keskinlikni kamaytirishga yordam berdi.
hunting	ovchilik	Bu yerda ov qilish taqiqlangan.
illustrate	misol qilib ko'rsatmoq	Misollar qoidani tushuntirib beradi.
illustration	rasm	Rasmda jarayon ko'rsatilgan.
imagination	tasavvur	Bolalar tasavvurdan erkin foydalanadilar.
impatient	besabr	Haydovchilarning toqati toq bo'ldi.
imply	nazarda tutmoq	Uning sukuti rozilikni anglatishi mumkin.
impose	yuklamoq	Sud jarima soldi.
impress	hayratda qoldirmoq	Uning jasorati hammani lol qoldirdi.
impressed	ta'sirlangan	Men uning ishidan lol qoldim.
inch	dyuym	Uni bir dyuym chapga suring.
incident	hodisa	Bu hodisa xavotir uyg'otdi.
income	daromad	Ularning daromadi asta-sekin oshdi.
increasingly	tobora	Uy-joy tobora qimmatlashib bormoqda.
industrial	sanoatga oid	Shahar sanoat ildizlariga ega.
infection	infeksiya	Infeksiya tez tarqaldi.
inform	xabar bermoq	Iltimos, menejerga xabar bering.
initial	dastlabki	Dastlabki narx yuqori edi.
initially	dastlab	Dastlab unga hech kim ishonmadi.
initiative	tashabbus	U yangi tashabbusni boshladi.
inner	ichki	Ichki eshik qulflangan edi.
insight	tushuncha	Hisobot foydali tushunchalarni beradi.
insist	turib olmoq	Ular xavfsizlik tekshiruvlarini o'tkazishni talab qilishadi.
inspire	ilhomlantirmoq	Uning hikoyasi boshqalarni ilhomlantirishi mumkin.
install	o'rnatmoq	Ular yangi isitgich o'rnatdilar.
instance	misol	Bu aniq bir misoldir.
