source_headword	UZ	example_UZ
jury	hay'at	Hakamlar hay'ati qarorga keldi.
kit	to'plam	Ta'mirlash to'plamiga vintlar kiradi.
ladder	narvon	Narvon devorga suyanib turardi.
landing	qo'nish	Samolyot silliq qo'ndi.
lane	yo'lak	O'ng yo'lakda bo'ling.
lately	so'nggi paytlarda	So'nggi paytlarda yomon uxlayapman.
leaflet	varoqa	Varoqa xizmatni tushuntiradi.
legend	afsona	Afsonada yashirin shahar haqida aytiladi.
lens	linza	Kamera ob'ektivini ehtiyotkorlik bilan tozalang.
lifetime	butun umr	U butun umr pul yig'di.
lighting	yoritish	Yaxshi yoritish xonani ko'rkamlashtiradi.
likewise	xuddi shunday	U jilmaydi, u ham xuddi shunday qildi.
limitation	cheklov	Rejaning bitta cheklovi bor.
literally	tom ma'noda	U avtobusga tom ma'noda yugurdi.
literary	adabiy	Festival adabiy asarni sharaflaydi.
litre	litr	Bir litr sut sotib oling.
litter	axlat	Axlat tashlamang.
logo	logotip	Logotip har bir sahifada paydo bo'ladi.
lottery	lotereya	U kichik lotereya yutug'ini yutib oldi.
loyal	sodiq	It o'z egasiga sodiq edi.
lyric	qo'shiq matni	Qo'shiq matni asosiy g'oyani takrorladi.
magnificent	muhtasham	Saroy muhtasham ko'rinardi.
make-up	makiyaj	U oddiy makiyaj qildi.
making	yaratish	Filmni yaratish qiyin edi.
manufacture	ishlab chiqarmoq	Zavod telefonlar ishlab chiqaradi.
manufacturing	ishlab chiqarish	Ishlab chiqarish bo'yicha ish o'rinlari mahalliy miqyosda ko'paydi.
marathon	marafon	U marafonni tugatdi.
margin	hoshiya	Hoshiyaga eslatmalarni yozing.
marker	marker	Yorliq uchun markerdan foydalaning.
martial	jangovar	U jang san'atlarini o'rganadi.
mate	do'st	Kecha eski maktabdoshim qo'ng'iroq qildi.
mayor	shahar hokimi	Hokim kutubxonani ochdi.
mechanic	mexanik	Mexanik avtobusni ta'mirladi.
mechanical	mexanik	Soatning mexanik nosozligi bor.
mechanism	mexanizm	Qulf mexanizmi oddiy.
medal	medal	U oltin medalni yutdi.
medication	dori	Dorini suv bilan iching.
membership	a'zolik	Sport zaliga a'zo bo'lish onlayn arzonroq.
memorable	esda qolarli	Sayohat esda qolarli bo'ldi.
metaphor	metafora	She'rda kuchli metafora qo'llanilgan.
miner	konchi	Konchi yer ostida ishladi.
miserable	ayanchli	Yomg'ir sayrni ayanchli qildi.
mode	rejim	Kamerani tungi rejimga o'tkazing.
modest	kamtarona	Ular kamtarona uyda yashashadi.
monster	maxluq	Hikoyada qorqinchli maxluq bor.
monthly	har oylik	Biz ijara haqini har oy to'laymiz.
monument	yodgorlik	Yodgorlik daryo bo'yida joylashgan.
moreover	bundan tashqari	Bundan tashqari, reja pulni tejaydi.
mortgage	ipoteka	Ular ipoteka uchun ariza berishdi.
mosque	masjid	Masjid bozorga yaqin.
motion	harakat	Sensor harakatni aniqlaydi.
motivate	rag'batlantirmoq	Maqtov o'quvchilarni rag'batlantirishi mumkin.
motivation	motivatsiya	Uning motivatsiyasi kuchli bo'lib qoldi.
moving	ta'sirli	Nutq ta'sirli edi.
myth	afsona	Afsona tog'ning nomini tushuntiradi.
naked	yalang'och	Chaqaloq cho'milishdan keyin yalang'och edi.
nasty	yomon	Kesilgan joy yomon ko'rinardi.
navigation	navigatsiya	Ilova navigatsiyani yaxshilaydi.
nearby	yaqindagi	Yaqindagi qahvaxona erta ochiladi.
necessity	zarurat	Toza suv - bu zarurat.
negotiate	muzokara olib bormoq	Ular ertaga shartnoma bo'yicha muzokara olib borishadi.
negotiation	muzokara	Muzokara butun tong davom etdi.
neutral	betaraf	Sudya betaraf qoldi.
newly	yangi	Yangi bo'yalgan eshik yorqin ko'rinardi.
norm	norma	Masofaviy ish normaga aylandi.
notebook	daftar	Daftaringizga eslatmalarni yozing.
novelist	romanchi	Romanchi o'z kitobiga imzo chekdi.
nowadays	hozirgi kunda	Hozirgi kunda ko'p odamlar onlayn ishlaydi.
nursing	hamshiralik ishi	U hamshiralik bo'yicha o'qimoqda.
nutrition	oziqlanish	Yaxshi oziqlanish salomatlikni qo'llab-quvvatlaydi.
obesity	semizlik	Semizlik sog'liq uchun xavflarni oshiradi.
observer	kuzatuvchi	Kuzatuvchi natijalarni qayd etdi.
obstacle	to'siq	Yiqilgan daraxt to'siq bo'ldi.
occupation	kasb	Iltimos, kasbingizni shu yerga yozing.
occupy	egallamoq	Oila kvartirani egallaydi.
offender	huquqbuzar	Huquqbuzar sudda kechirim so'radi.
ongoing	davom etayotgan	Tergov davom etmoqda.
openly	ochiqchasiga	U qo'rquvlari haqida ochiqchasiga gapirdi.
opera	opera	Biz Milanda operani ko'rdik.
operator	operator	Operator qo'ng'iroqni uladi.
optimistic	nekbin	U kelajakka nekbin qaraydi.
orchestra	orkestr	Orkestr sokin chaldi.
organic	organik	Ular organik sabzavotlar sotib olishdi.
outfit	kiyim	Uning kiyimi vaziyatga mos tushdi.
output	mahsulot	Mashinaning ishlab chiqarish hajmi oshdi.
outstanding	ajoyib	Uning ishtiroki ajoyib edi.
overcome	yengib o'tmoq	Ular muammolarni birgalikda yengib o'tishadi.
overnight	bir kechada	Posilka bir kechada yetib keldi.
overseas	chet elda	U chet eldan ish topdi.
ownership	egalik huquqi	Yerning egalik huquqi o'zgardi.
oxygen	kislorod	O'simliklar kislorod ishlab chiqaradi.
packet	paket	Paketni ehtiyotkorlik bilan oching.
palm	kaft	Tangani kaftingizda ushlang.
panic	vahima	Olamon orasida vahima tarqaldi.
parade	parad	Parad tushda boshlandi.
parallel	parallel	Yo'llar parallel ravishda yotadi.
participation	ishtirok	Darsdagi ishtirok yaxshilandi.
partnership	hamkorlik	Hamkorlik ikkala kompaniyaga ham yordam berdi.
part-time	yarim stavkali	U yarim stavkali ish topdi.
passionate	ishtiyoqli	U musiqaga ishtiyoqli.
password	parol	Kuchli parol tanlang.
patience	sabr	Yosh bolalarni o'qitish sabr talab qiladi.
pause	pauza qilmoq	Videoni hozir pauza qiling.
peer	tengdosh	Tengdoshlar bosimi uning tanloviga ta'sir qildi.
penalty	jarima	O'yinchi jarima oldi.
perceive	idrok etmoq	Odamlar xavfni turlicha idrok etadilar.
perception	idrok	Uning xavf haqidagi idroki o'zgardi.
permanently	doimiy ravishda	Do'kon butunlay yopildi.
pill	tabletka	Nonushtadan keyin bitta tabletka iching.
pity	rahm	Bu juda afsuslanarli.
placement	joylashuv	Divanning joylashuvi muhim.
portion	porsiya	Kichik porsiya guruch torting.
potentially	ehtimoliy	Bu o'zgarish ehtimoliy foydalidir.
precede	oldin kelmoq	Qora bulutlar ko'pincha yomg'irdan oldin keladi.
precious	qimmatbaho	Uzuk qimmatbaho.
precise	aniq	Ko'rsatmalar aniq edi.
precisely	aniq qilib	Masofani aniq o'lchang.
predictable	oldindan aytib bo'ladigan	Yakunni oldindan aytib bo'lardi.
preference	afzal ko'rish	U choyni afzal ko'rishini bildirdi.
pride	g'urur	U ishni tugatgach g'urur his qildi.
primarily	asosan	Kurs asosan onlayn o'tiladi.
principal	direktor	Direktor yangi o'quvchilarni kutib oldi.
prior	dastlabki	Bizga oldindan ruxsat kerak.
probability	ehtimollik	Yomg'ir yog'ish ehtimoli yuqori.
probable	ehtimoliy	Bugun kechasi yomg'ir yog'ishi ehtimol.
proceed	davom etmoq	Iltimos, keyingi xonaga o'ting.
programming	dasturlash	Dasturlash amaliyotni talab qiladi.
progressive	ilg'or	Bu siyosat o'z davri uchun ilg'or edi.
prohibit	taqiqlamoq	Qoidalar chekishni taqiqlaydi.
promising	umidbaxsh	Natijalar umidbaxsh ko'rinadi.
promotion	lavozim ko'tarilishi	U ishda lavozimi ko'tarilishiga erishdi.
prompt	undamoq	Tezkor javob vaqtni tejadi.
proportion	nisbat	Katta qismi ijobiy ovoz berdi.
protein	oqsil	Loviya tarkibida oqsil bor.
protester	namoyishchi	Namoyishchi plakat ushlab turardi.
psychological	psixologik	Baxtsiz hodisa psixologik stressni keltirib chiqardi.
publicity	ommaviylik	Tadbir ommaviylikka erishdi.
publishing	nashriyot ishi	U nashriyot sohasida ishlaydi.
punk	pank	Pank musiqasi u yerda ommalashdi.
purely	faqatgina	Tanlov faqatgina amaliy edi.
pursuit	intilish	U adolatga intilishda davom etdi.
puzzle	boshqotirma	Boshqotirma bir soat vaqtni oldi.
questionnaire	so'rovnoma	Iltimos, so'rovnomani to'ldiring.
racial	irqiy	Hisobotda irqiy tengsizlik muhokama qilindi.
racism	irqchilik	Irqchilik jamiyatlarga zarar yetkazadi.
racist	irqchi	Izoh irqchi edi.
radiation	radiatsiya	Radiatsiya hujayralarga zarar yetkazishi mumkin.
rail	tutqich	Zinadagi tutqichni ushlang.
random	tasodifiy	Kompyuter tasodifiy raqamni tanladi.
rat	kalamush	Chiqindi qutilari orqasidan kalamush yugurib o'tdi.
rating	reyting	Mehmonxona yuqori reytingga ega.
reasonably	yetarlicha	Xona yetarlicha toza edi.
rebuild	qayta qurish	Ular ko'prikni qayta quradilar.
receiver	qabul qiluvchi	Qabul qiluvchi to'pni tutib oldi.
recession	retsessiya	Retsessiya xarajatlarni kamaytirdi.
reckon	o'ylash	Menimcha, poezd kechikyapti.
recognition	e'tirof	U o'z ishi uchun e'tirofga sazovor bo'ldi.
recovery	tiklanish	Tiklanish bir necha hafta davom etdi.
recruit	ishga olish	Kompaniya muhandislarni ishga oladi.
recruitment	xodimlarni yollash	Ishga qabul qilish kelasi dushanbadan boshlanadi.
referee	hakam	Hakam o'yinni to'xtatdi.
refugee	qochqin	Qochqin xavfsiz uy topdi.
registration	ro'yxatdan o'tish	Ro'yxatdan o'tish juma kuni yopiladi.
regulate	tartibga solish	Qonun chiqindilarni tartibga soladi.
reinforce	kuchaytirish	Qo'shimcha to'sinlar tomni kuchaytiradi.
relieve	yengillashtirish	Dori og'riqni yengillashtirishi mumkin.
relieved	xotirjam	Qo'ng'iroqdan keyin u yengil tortdi.
remarkable	ajoyib	Tiklanish ajoyib edi.
remarkably	hayratlanarli darajada	U hayratlanarli darajada tez sog'ayib ketdi.
reporting	xabar berish	Aniq xabar berish muhimdir.
resign	iste'foga chiqish	Menejer ertaga iste'foga chiqadi.
resolution	aniqlik	Ekran yuqori aniqlikka ega.
restore	qayta tiklash	Ishchilar eski rasmni qayta tiklamoqda.
restrict	cheklash	Qoidalar avtoturargohni cheklaydi.
restriction	cheklov	Cheklov ertaga tugaydi.
retail	chakana savdo	Chakana savdo hajmi oshdi.
retirement	nafaqa	U nafaqaga chiqishini ehtiyotkorlik bilan rejalashtirdi.
revenue	daromad	Chipta daromadi ta'mirlash uchun sarflandi.
revision	takrorlash	Imtihondan oldin takrorlash yordam berdi.
ridiculous	bema'ni	Narx bema'ni edi.
risky	xavfli	Reja xavfli bo'lib tuyuldi.
rival	raqib	Raqibimiz yangi do'kon ochdi.
rob	tunash	Erkaklar bankni tunashga harakat qilishdi.
robbery	talonchilik	Talonchilik tunda sodir bo'ldi.
rocket	raketa	Raketa muvaffaqiyatli uchirildi.
romance	romantika	Romanda romantika bor.
rose	atirgul	Devor yonida qizil atirgul o'sgan.
roughly	taxminan	Taxminan yigirma kishi qatnashdi.
ruin	barbod qilish	Yomg'ir piknikni barbod qilishi mumkin.
satisfaction	qoniqish	Mijozlarning qoniqishi yaxshilandi.
scandal	mojaro	Mojaro uning karerasiga zarar yetkazdi.
scare	qo'rqitish	Qattiq shovqin meni qo'rqitib yubordi.
scenario	vaziyat	Eng yomon vaziyat ehtimoldan yiroq.
scholar	olim	Olim qadimiy matnlarni o'rgangan.
scholarship	stipendiya	U stipendiya yutib oldi.
scratch	tirnalish	Mushuk tirnalgan iz qoldirdi.
screening	skrining	Kasalxona saraton skriningini taklif qiladi.
seeker	izlovchi	Ish izlovchi arizalarni yubordi.
seminar	seminar	Seminar soat to'qqizda boshlanadi.
settler	ko'chmanchi	Ko'chmanchi kichik ferma qurdi.
severely	jiddiy ravishda	Bo'ron yo'llarga jiddiy zarar yetkazdi.
sexy	jozibali	Ko'ylak jozibali deb hisoblangan.
shocking	hayratlanarli	Yangilik hayratlanarli edi.
shore	qirg'oq	Biz qirg'oq bo'ylab yurdik.
shortage	yetishmovchilik	Shahar suv yetishmovchiligiga duch keldi.
shortly	sal o'tib	Avtobus tushdan sal o'tib yetib keldi.
short-term	qisqa muddatli	Reja qisqa muddatli foyda keltiradi.
sibling	aka-uka yoki opa-singil	Har bir aka-uka va opa-singil sovg'a oldi.
signature	imzo	Iltimos, imzongizni qo'ying.
significance	ahamiyat	Kashfiyot katta ahamiyatga ega.
skilled	malakali	Malakali ishchilar tomni ta'mirladilar.
slogan	shior	Kampaniyada oddiy shiordan foydalanildi.
so-called	shunday atalmish	Shunday atalmish mutaxassis xatolarga yo'l qo'ydi.
somehow	qandaydir tarzda	Qandaydir tarzda kalitlar yo'qoldi.
sometime	qachondir	Kelasi hafta qachondir bizga tashrif buyuring.
sophisticated	murakkab	Dasturiy ta'minot murakkab.
spare	zaxira	Biz zaxira kalitni saqlaymiz.
specialize	ixtisoslashish	Shifokorlar turli sohalarga ixtisoslashgan.
specify	aniq ko'rsatish	Iltimos, kelish vaqtingizni aniq ko'rsating.
spectacular	ajoyib	Mushakbozlik ajoyib bo'ldi.
spectator	tomoshabin	Har bir tomoshabin dastur oldi.
speculate	taxmin qilish	Mutaxassislar sababini taxmin qilmoqdalar.
speculation	taxmin	Maqola taxminlarni kuchaytirdi.
spice	ziravor	Bir vaqtning o'zida bitta ziravor qo'shing.
spill	to'kib yuborish	Sharbatni to'kib yubormang.
spite	qaramasdan	Muammolarga qaramasdan u muvaffaqiyatga erishdi.
spoil	buzish	Juda ko'p tuz sho'rvani buzishi mumkin.
spokesman	vakil	Vakil savollarga javob berdi.
spokesperson	matbuot kotibi	Matbuot kotibi bayonotni o'qib eshittirdi.
spokeswoman	ayol vakil	Ayol vakil matbuotga yuzlandi.
sponsorship	homiylik	Jamoaga homiylik kerak.
sporting	sportga oid	Shaharda sport tadbirlari bo'lib o'tadi.
stall	do'koncha	Bozor do'konchasi meva sotadi.
stance	pozitsiya	Vazir o'z pozitsiyasini o'zgartirdi.
starve	ochlikdan o'lish	Oziq-ovqatsiz hayvonlar ochlikdan o'lishi mumkin.
steadily	barqaror ravishda	Kompaniya barqaror ravishda o'sdi.
steam	bug'	Sho'rvadan bug' ko'tarildi.
stimulate	rag'batlantirish	Yorqin ranglar qiziqishni rag'batlantirishi mumkin.
