source_headword	TA	example_TA
angle	கோணம்	வேறு ஒரு கேமரா கோணத்தை முயற்சிக்கவும்.
anniversary	ஆண்டுவிழா	அவர்களின் ஆண்டுவிழா நாளை.
annual	வருடாந்திர	வருடாந்திர கூட்டம் திங்கட்கிழமை தொடங்குகிறது.
anxious	கவலையான	அறுவை சிகிச்சைக்கு முன் அவள் கவலையாக உணர்ந்தாள்.
apparent	வெளிப்படையான	அவனது ஏமாற்றம் வெளிப்படையாகத் தெரிந்தது.
apparently	வெளிப்படையாக	வெளிப்படையாகப் பார்த்தால், ரயில் தாமதமாகிறது.
appeal	மேல்முறையீடு	இந்த முடிவு மேல்முறையீட்டை எதிர்கொள்ளலாம்.
approach	அணுகுமுறை	அவளது அணுகுமுறை சிக்கலைத் தீர்த்தது.
appropriate	பொருத்தமான	பொருத்தமான பதிலைத் தேர்ந்தெடுக்கவும்.
approval	ஒப்புதல்	திட்டத்திற்கு ஒப்புதல் தேவை.
approve	ஒப்புதல் அளி	வாரியம் பட்ஜெட்டுக்கு ஒப்புதல் அளித்தது.
arise	எழு	பின்னர் பிரச்சனைகள் எழலாம்.
armed	ஆயுதம் ஏந்திய	ஆயுதம் ஏந்திய காவலர்கள் வெளியே நின்றார்கள்.
arms	ஆயுதங்கள்	அவர்கள் தங்கள் ஆயுதங்களை கீழே போட்டார்கள்.
artificial	செயற்கையான	அந்தப் பூக்கள் செயற்கையாகத் தெரிந்தன.
artistic	கலைநயமிக்க	அவளுக்கு கலைத்திறன் உள்ளது.
ashamed	வெட்கப்பட்ட	அதன் பிறகு அவன் வெட்கப்பட்டான்.
aspect	அம்சம்	ஒவ்வொரு அம்சத்தையும் கவனமாகப் பரிசீலிக்கவும்.
assess	மதிப்பிடு	நாம் சேதத்தை மதிப்பிட வேண்டும்.
assessment	மதிப்பீடு	மதிப்பீட்டிற்கு இரண்டு மணி நேரம் ஆனது.
associate	தொடர்புபடுத்து	மக்கள் புகையை ஆபத்துடன் தொடர்புபடுத்துகிறார்கள்.
associated	தொடர்புடைய	மன அழுத்தம் நோய்களுடன் தொடர்புடையது.
association	சங்கம்	இந்தச் சங்கம் இளம் கலைஞர்களை ஆதரிக்கிறது.
assume	அனுமானி	நீங்கள் ஒப்புக்கொள்கிறீர்கள் என்று நான் அனுமானிக்கிறேன்.
attempt	முயற்சி	அவனது முதல் முயற்சி தோல்வியடைந்தது.
bacteria	பாக்டீரியா	பாக்டீரியாக்கள் வேகமாகப் பரவக்கூடும்.
barrier	தடை	மொழி ஒரு தடையாக இருந்தது.
basically	அடிப்படையில்	அடிப்படையில், நமக்கு அதிக நேரம் தேவை.
bear (deal with)	சகித்துக்கொள்	என்னால் இந்த சத்தத்தை சகித்துக்கொள்ள முடியாது.
beg	கெஞ்சு	தயவுசெய்து உதவிக்காக கெஞ்சுங்கள்.
being	ஜீவன்	ஒவ்வொரு ஜீவனுக்கும் தண்ணீர் தேவை.
bent	வளைந்த	உலோக கம்பி வளைந்திருந்தது.
bet	பந்தயம்	அவனுக்குத் தெரியும் என்று நான் பந்தயம் கட்டுகிறேன்.
beyond	அப்பால்	கிராமம் நதிக்கு அப்பால் அமைந்துள்ளது.
bitter	கசப்பான	மருந்து கசப்பாக இருந்தது.
blame	குறை கூறு	ஓட்டுநரை குறை கூற வேண்டாம்.
blind	குருடான	அவன் சிறு வயதிலேயே கண்பார்வையற்றவனானான்.
bond	பிணைப்பு	நம்பிக்கை ஒரு வலுவான பிணைப்பை உருவாக்குகிறது.
breast	மார்பகம்	அவள் மார்பகத்தில் வலியை உணர்ந்தாள்.
brief	சுருக்கமான	உங்கள் பதிலை சுருக்கமாக வைக்கவும்.
broad	அகலமான	நதி இங்கே அகலமாக உள்ளது.
broadcast	ஒளிபரப்பு	அந்த உரை நேரலையில் ஒளிபரப்பப்பட்டது.
budget	பட்ஜெட்	பட்ஜெட் மிகவும் இறுக்கமாக உள்ளது.
bullet	தோட்டா	தோட்டா சுவரில் பட்டது.
bunch	கொத்து	அவள் ஒரு சாவிக் கொத்தை எடுத்துச் சென்றாள்.
bush	புதர்	ஒரு பறவை புதரில் மறைந்தது.
cable	கேபிள்	கேபிள் உடைந்துள்ளது.
calculate	கணக்கிடு	மொத்த செலவை கணக்கிடுங்கள்.
cancel	ரத்து செய்	அவர்கள் கூட்டத்தை ரத்து செய்தனர்.
cancer	புற்றுநோய்	புற்றுநோய் சிகிச்சை கடினமாக இருக்கலாம்.
capable	திறமையான	அவள் இன்னும் பலவற்றைச் செய்யக்கூடியவள்.
capacity	கொள்ளளவு	மண்டபம் அதன் கொள்ளளவை எட்டியது.
capture	கைப்பற்று	அந்தப் புகைப்படம் மனநிலையைக் கைப்பற்றுகிறது.
cast	நடிகர்கள்	நடிகர்கள் தயாராக உள்ளனர்.
cell	செல்	ஒவ்வொரு செல்லும் தரவைக் கொண்டுள்ளது.
chairman	தலைவர்	தலைவர் கூட்டத்தைத் தொடங்கி வைத்தார்.
characteristic	பண்பு	பொறுமை அவளுடைய முக்கிய பண்பு.
chief	தலைமை	தலைமைப் பொறியாளர் தாமதமாக வந்தார்.
circumstance	சூழ்நிலை	ஒவ்வொரு சூழ்நிலையையும் கவனமாகக் கவனியுங்கள்.
cite	மேற்கோள் காட்டு	தயவுசெய்து உங்கள் மூலத்தை மேற்கோள் காட்டுங்கள்.
citizen	குடிமகன்	ஒவ்வொரு குடிமகனும் வாக்களிக்கலாம்.
civil	அமைதியான	போராட்டம் அமைதியாக நடைபெற்றது.
classic	உன்னதமான	இந்தப் படம் ஒரு உன்னதமான படைப்பு.
closely	உன்னிப்பாக	செயல்முறையை உன்னிப்பாகக் கவனியுங்கள்.
collapse	இடிந்து விழு	பழைய பாலம் இடிந்து விழலாம்.
combination	சேர்க்கை	இந்தச் சேர்க்கை நன்றாக வேலை செய்தது.
comfort	ஆறுதல்	அவளுடைய வார்த்தைகள் ஆறுதல் அளித்தன.
command	கட்டளை	அதிகாரி ஒரு கட்டளையிட்டார்.
commission	ஆணையம்	ஆணையம் வழக்கை விசாரித்தது.
commitment	அர்ப்பணிப்பு	வேலைக்கு அர்ப்பணிப்பு தேவை.
committee	குழு	குழு வாரந்தோறும் கூடுகிறது.
commonly	பொதுவாக	இந்த செடி பொதுவாக வளர்க்கப்படுகிறது.
complicated	சிக்கலான	அறிவுறுத்தல்கள் சிக்கலானவை.
component	கூறு	ஒரு பாகம் பழுதடைந்தது.
concentration	கவனம்	சத்தம் என் கவனத்தைச் சிதறடிக்கிறது.
concept	கருத்து	கருத்து எளிமையானது.
concern	அக்கறை	பாதுகாப்பு எங்கள் முக்கிய அக்கறை.
concerned	கவலையடைந்த	பெற்றோர் மிகவும் கவலையடைந்தனர்.
conduct	நடத்து	அவர்கள் உள்ளூரில் ஆராய்ச்சியை நடத்துகிறார்கள்.
confidence	தன்னம்பிக்கை	பயிற்சி தன்னம்பிக்கையை வளர்க்கிறது.
conflict	மோதல்	மோதல் பல ஆண்டுகள் நீடித்தது.
confusing	குழப்பமான	வரைபடம் குழப்பமாக இருந்தது.
conscious	சுயநினைவு	அவள் சுயநினைவுடன் இருந்தாள்.
conservative	பழமைவாத	அவரது கருத்துக்கள் பழமைவாதமானவை.
consideration	பரிசீலனை	செலவு ஒரு முக்கியமான பரிசீலனையாகும்.
consistent	சீரான	அவளுடைய முடிவுகள் சீரானவை.
constant	நிலையான	நிலையான சத்தம் எங்களை சோர்வடையச் செய்தது.
constantly	தொடர்ந்து	அவர் தொடர்ந்து தன் தொலைபேசியை சரிபார்க்கிறார்.
construct	கட்டு	தொழிலாளர்கள் புதிய பாலத்தைக் கட்டினர்.
construction	கட்டுமானம்	கட்டுமானம் அடுத்த மாதம் தொடங்குகிறது.
contemporary	சமகால	இந்த கலைக்கூடம் சமகால கலையைக் காட்டுகிறது.
contest	போட்டி	அவள் போட்டியில் நுழைந்தாள்.
contract	ஒப்பந்தம்	ஒப்பந்தத்தை கவனமாகப் படியுங்கள்.
contribute	பங்களி	அனைவரும் யோசனைகளை வழங்கலாம்.
contribution	பங்களிப்பு	அவளது பங்களிப்பு மதிப்புமிக்கது.
convert	மாற்று	அவர்கள் கேரேஜை மாற்றினர்.
convinced	உறுதியான	அவர் பொய் சொன்னார் என்று நான் உறுதியாக நம்புகிறேன்.
core	மைய	நம்பிக்கை தான் முக்கியப் பிரச்சினை.
corporate	கார்ப்பரேட்	நிறுவன விதிகள் மீண்டும் மாறின.
council	சபை	சபை திட்டத்திற்கு ஒப்புதல் அளித்தது.
county	கவுண்டி	கவுண்டி சாலையை சீரமைத்தது.
courage	தைரியம்	அவள் உண்மையான தைரியத்தைக் காட்டினாள்.
crash	விபத்து	விபத்து போக்குவரத்தை தடுத்தது.
creation	படைப்பு	படைப்புக்கு ஆறு மாதங்கள் ஆனது.
creature	உயிரினம்	உயிரினம் அமைதியாக நகர்ந்தது.
crew	குழு	குழுவினர் கப்பலை தயார் செய்தனர்.
crisis	நெருக்கடி	நெருக்கடி எல்லாவற்றையும் மாற்றியது.
criterion	அளவுகோல்	விலை ஒரு அளவுகோலாகும்.
critic	விமர்சகர்	விமர்சகர் நாடகத்தைப் பாராட்டினார்.
critical	கவலைக்கிடமான	அவரது நிலைமை கவலைக்கிடமாக உள்ளது.
criticism	விமர்சனம்	அவள் விமர்சனத்தை அமைதியாக ஏற்றுக்கொண்டாள்.
criticize	விமர்சி	ஒவ்வொரு தவறுக்கும் விமர்சிக்க வேண்டாம்.
crop	பயிர்	இந்த ஆண்டு பயிர் தோல்வியடைந்தது.
crucial	முக்கியமானது	இங்கு நேரம் மிக முக்கியமானது.
cure	சிகிச்சை	மருத்துவர்கள் ஒரு சிகிச்சையை கண்டுபிடித்தனர்.
curve	வளைவு	சாலை ஒரு வளைவை பின்பற்றுகிறது.
curved	வளைந்த	சுவர் சிறிது வளைந்துள்ளது.
debate	விவாதம்	விவாதம் மணிக்கணக்கில் தொடர்ந்தது.
debt	கடன்	அவர் கடனை அடைத்தார்.
decent	கண்ணியமான	அவர்கள் ஒரு நல்ல குடியிருப்பை கண்டுபிடித்தனர்.
declare	அறிவி	அவர்கள் முடிவை அறிவித்தனர்.
decline	வீழ்ச்சி	விற்பனை தொடர்ந்து வீழ்ச்சியடைந்தது.
decoration	அலங்காரம்	அலங்காரம் விலை உயர்ந்ததாக இருந்தது.
decrease	குறையும்	விலைகள் விரைவில் குறையலாம்.
deeply	ஆழமாக	அவள் நீதியைப் பற்றி ஆழமாக கவலைப்பட்டாள்.
defeat	தோல்வி	தோல்வி அணியை அதிர்ச்சியடையச் செய்தது.
defence	பாதுகாப்பு	பாதுகாப்பு தரப்பு ஆதாரங்களுக்கு சவால் விடுத்தது.
defend	பாதுகா	அவர் தன்னை தற்காத்துக்கொள்ள முயன்றார்.
delay	தாமதம் செய்	மோசமான வானிலை தாமதத்தை ஏற்படுத்தியது.
deliberate	வேண்டுமென்றே செய்த	அது வேண்டுமென்றே செய்யப்பட்ட தேர்வாக இருந்தது.
deliberately	வேண்டுமென்றே	அவள் எச்சரிக்கையை வேண்டுமென்றே புறக்கணித்தாள்.
delight	மகிழ்ச்சியடையச் செய்	அந்த செய்தி அனைவரையும் மகிழ்ச்சியடையச் செய்தது.
delighted	மகிழ்ச்சியடைந்த	பரிசால் நாங்கள் மகிழ்ச்சியடைந்தோம்.
delivery	விநியோகம்	விநியோகம் சீக்கிரம் வந்து சேர்ந்தது.
demand	கோரிக்கை விடு	தொழிலாளர்கள் சிறந்த ஊதியம் கோருகின்றனர்.
demonstrate	செய்து காட்டு	அவர் புதிய மென்பொருளை செய்து காட்டினார்.
deny	மறு	அவள் குற்றச்சாட்டை மறுத்தாள்.
depressed	மனச்சோர்வடைந்த	தோல்விக்குப் பிறகு அவர் மனச்சோர்வடைந்தார்.
depressing	மனச்சோர்வடையச் செய்யும்	படம் மனச்சோர்வடையச் செய்வதாக இருந்தது.
depth	ஆழம்	குளம் அதிக ஆழம் கொண்டது.
deserve	தகுதியுடையவராக இரு	உங்களுக்கு ஒரு ஓய்வு தகுதியானது.
desire	ஆசை	அவள் பயணம் செய்வதற்கான ஆசையை வெளிப்படுத்தினாள்.
desperate	விரக்தியான	அவர்கள் ஒரு விரக்தியான அழைப்பை விடுத்தனர்.
detailed	விரிவான	வழிகாட்டி மிகவும் விரிவானது.
detect	கண்டுபிடி	நாய்கள் புகையைக் கண்டுபிடிக்க முடியும்.
dig	தோண்டு	அவர்கள் கோடையில் கிணறுகளைத் தோண்டுகிறார்கள்.
disc	வட்டு	வட்டு கீறப்பட்டிருந்தது.
discipline	ஒழுக்கம்	ஒழுக்கம் விளையாட்டு வீரர்களுக்கு மேம்பட உதவுகிறது.
dishonest	நேர்மையற்ற	அவரது பதில் நேர்மையற்றதாகத் தோன்றியது.
dismiss	நிராகரி	மேலாளர் புகாரை நிராகரித்தார்.
display	காட்டு	திரை மதிப்பெண்ணைக் காட்டுகிறது.
distribute	விநியோகி	தன்னார்வலர்கள் சுத்தமான தண்ணீரை விநியோகித்தனர்.
distribution	விநியோகம்	சூரிய உதயமாகிய பின் விநியோகம் தொடங்கியது.
district	மாவட்டம்	மாவட்டம் ஒரு மேயரை தேர்ந்தெடுத்தது.
division	பிரிவு	பிரிவு சட்ட வழக்குகளை கையாளுகிறது.
domestic	உள்நாட்டு	உள்நாட்டு விமானங்கள் மலிவானவை.
dominate	ஆதிக்கம் செலுத்து	ஒரு நிறுவனம் சந்தையில் ஆதிக்கம் செலுத்தலாம்.
downwards	கீழ்நோக்கி	பாதை கீழ்நோக்கி சரிகிறது.
dozen	டஜன்	அவள் ஒரு டஜன் முட்டைகளை வாங்கினாள்.
draft	வரைவு	வரைவை மதிப்பாய்வு செய்யவும்.
drag	இழு	மேசையை இழுக்க வேண்டாம்.
dramatic	நாடகீயமான	முடிவுகள் நாடகீயமாக இருந்தன.
edit	திருத்து	அவள் கட்டுரையைத் திருத்தினாள்.
edition	பதிப்பு	இந்த பதிப்பில் புதிய புகைப்படங்கள் உள்ளன.
efficient	திறமையான	அமைப்பு திறமையானது.
elderly	வயதான	வயதான குடியிருப்பாளர்களுக்கு ஆதரவு தேவை.
elect	தேர்ந்தெடு	வாக்காளர்கள் ஒரு புதிய சபையை தேர்ந்தெடுக்கின்றனர்.
elsewhere	வேறு இடத்தில்	நாங்கள் உதவிக்காக வேறு இடத்தில் தேடினோம்.
emerge	வெளிப்படு	நள்ளிரவுக்குப் பிறகு விவரங்கள் வெளிவந்தன.
emotional	உணர்ச்சிபூர்வமான	பேச்சு உணர்ச்சிபூர்வமாக இருந்தது.
emphasis	முக்கியத்துவம்	பாதுகாப்பிற்கு முக்கியத்துவம் கொடுங்கள்.
emphasize	வலியுறுத்து	ஆசிரியர்கள் தினசரி பயிற்சியை வலியுறுத்துகின்றனர்.
enable	செயல்படுத்து	பயன்பாடு விரைவான கட்டணங்களை செயல்படுத்துகிறது.
encounter	சந்தி	நாங்கள் கடுமையான போக்குவரத்தை சந்தித்தோம்.
engage	ஈடுபடுத்து	இந்த பாடநெறி வயது வந்த கற்பவர்களை ஈடுபடுத்துகிறது.
enhance	மேம்படுத்து	விளக்குகள் அறையை மேம்படுத்தும்.
enquiry	விசாரணை	விசாரணை மூன்று மாதங்கள் நீடித்தது.
ensure	உறுதி செய்	துல்லியத்தை உறுதி செய்ய இரண்டு முறை சரிபார்க்கவும்.
enthusiasm	உற்சாகம்	அவளது உற்சாகம் குழுவை ஊக்குவித்தது.
enthusiastic	உற்சாகமான	தொண்டர்கள் உற்சாகமாக இருந்தனர்.
entire	முழுமையான	முழு கிராமமும் மின்சாரத்தை இழந்தது.
entirely	முற்றிலும்	கதை முற்றிலும் பொய்யானது.
establish	நிறுவு	அவர்கள் தெளிவான விதிகளை நிறுவினர்.
estate	எஸ்டேட்	இந்த எஸ்டேட்டில் பல பண்ணைகள் உள்ளன.
estimate	மதிப்பிடு	பத்தாயிரம் பார்வையாளர்கள் வருவார்கள் என மதிப்பிடுகிறோம்.
ethical	நெறிமுறை சார்ந்த	இந்த முடிவு நெறிமுறை சார்ந்த கேள்விகளை எழுப்பியது.
evaluate	மதிப்பிடு	நிபுணர்கள் வடிவமைப்பை மதிப்பிடுவார்கள்.
evil	தீய	மன்னன் தீய ஆவிகளுக்கு பயந்தான்.
examination	தேர்வு	தேர்வு ஒரு மணி நேரம் நீடித்தது.
excuse	சாக்கு	அந்த சாக்கு பலவீனமாக இருந்தது.
executive	நிர்வாகி	நிர்வாகி ஒப்பந்தத்திற்கு ஒப்புதல் அளித்தார்.
existence	இருப்பு	அவர்களின் இருப்பு அறியப்படவில்லை.
expectation	எதிர்பார்ப்பு	தொடங்குவதற்கு முன் எதிர்பார்ப்பு அதிகமாக இருந்தது.
expense	செலவு	பயணம் தான் எங்களின் மிகப்பெரிய செலவு.
exploration	ஆய்வு	விண்வெளி ஆய்வு குழந்தைகளை ஊக்குவிக்கிறது.
expose	வெளிப்படுத்து	இந்த கட்டுரை ஊழலை வெளிப்படுத்தியது.
extend	நீட்டி	அவர்கள் காலக்கெடுவை நீட்டித்தனர்.
extent	அளவு	அதன் அளவை நாங்கள் பின்னர் அறிந்தோம்.
external	வெளிப்புற	வெளிப்புற அழுத்தம் அவர்களைப் பாதித்தது.
extraordinary	அசாதாரணமான	அவளது மீட்சி அசாதாரணமாக இருந்தது.
facility	மையம்	இந்த மையம் ஜூன் மாதம் திறக்கப்பட்டது.
failure	தோல்வி	தோல்வி அவனுக்கு பொறுமையைக் கற்றுக் கொடுத்தது.
faith	நம்பிக்கை	அவள் அவன் மீது நம்பிக்கை வைத்தாள்.
fault	தவறு	விபத்து என்னுடைய தவறு.
feather	இறகு	தலையணையில் இருந்து ஒரு இறகு விழுந்தது.
fee	கட்டணம்	கட்டணத்தில் மதிய உணவும் அடங்கும்.
feedback	பின்னூட்டம்	பின்னூட்டம் பாடத்திட்டத்தை மேம்படுத்த உதவியது.
fellow	சக	சக தொழிலாளர்கள் அவளை ஆதரித்தனர்.
finance	நிதி	வங்கி விரிவாக்கத்திற்கு நிதியளிக்கும்.
finding	கண்டுபிடிப்பு	இந்த கண்டுபிடிப்பு ஆராய்ச்சியாளர்களை ஆச்சரியப்படுத்தியது.
firm	நிறுவனம்	நிறுவனம் புதிய ஊழியர்களை பணியமர்த்தியது.
flame	சுடர்	ஒரு சிறிய சுடர் தோன்றியது.
flash	ஒளிக் கீற்று	ஒரு ஒளி வானத்தை பிரகாசமாக்கியது.
flexible	நெகிழ்வான	கால அட்டவணை நெகிழ்வானது.
float	மிதக்கும்	இலைகள் தண்ணீரில் மிதக்கின்றன.
folding	மடிக்கக்கூடிய	அவர் ஒரு மடிக்கக்கூடிய நாற்காலியை எடுத்துச் சென்றார்.
forgive	மன்னித்துவிடு	உங்களால் அவரை மன்னிக்க முடியுமா?
former	முன்னாள்	முன்னாள் மேயர் திரும்பினார்.
fortune	செல்வம்	அவர்கள் ஒரு பெரிய செல்வத்தை இழந்தனர்.
found	நிறுவு	அவர்கள் ஒரு சிறிய தொண்டு நிறுவனத்தை நிறுவினர்.
freedom	சுதந்திரம்	சுதந்திரத்திற்கு பொறுப்பு தேவை.
frequency	நிகழ்வெண்	குளிர்காலத்தில் இதன் நிகழ்வெண் அதிகரித்தது.
fully	முழுமையாக	ஹோட்டல் முழுமையாக முன்பதிவு செய்யப்பட்டுள்ளது.
fund	நிதி	இந்த நிதி உள்ளூர் பள்ளிகளுக்கு துணைபுரிகிறது.
fundamental	அடிப்படை	மரியாதை இங்கு அடிப்படையானது.
funding	நிதியுதவி	நிதியுதவி கடந்த ஆண்டு முடிவடைந்தது.
furthermore	மேலும்	மேலும், செலவுகள் அதிகரித்து வருகின்றன.
gain	பெறு / ஆதாயம்	மாணவர்கள் விரைவாக தன்னம்பிக்கை பெறுகின்றனர்.
gang	கும்பல்	ஒரு கும்பல் தெருவைக் கட்டுப்படுத்தியது.
generate	உருவாக்கு	சூரிய பலகைகள் மின்சாரத்தை உருவாக்குகின்றன.
genre	வகை	நகைச்சுவை அவளுக்குப் பிடித்த வகையாகும்.
govern	ஆட்சி செய் / கட்டுப்படுத்து	சட்டங்கள் பொதுச் செலவினங்களைக் கட்டுப்படுத்துகின்றன.
grab	பற்று / பிடுங்கு	அவன் என் கையைப் பற்றினான்.
gradually	படிப்படியாக	வலி படிப்படியாக மறைந்தது.
grand	பிரம்மாண்டமான	இந்த உணவகத்திற்கு பிரம்மாண்டமான நுழைவாயில் உள்ளது.
grant	மானியம் / வழங்கு	உபகரணங்களுக்கான செலவை மானியம் வழங்கியது.
guarantee	உத்தரவாதம்	டிக்கெட் நுழைவுக்கு உத்தரவாதம் அளிக்கிறது.
handle	கையாளு	அவள் புகாரை அமைதியாகக் கையாண்டாள்.
harm	தீங்கு / பாதிப்பு	புகைபிடித்தல் ஆரோக்கியத்திற்கு தீங்கு விளைவிக்கும்.
harmful	தீங்கு விளைவிக்கும்	அந்த ரசாயனம் தீங்கு விளைவிக்கும்.
hearing	கேட்கும் திறன்	அவளுடைய கேட்கும் திறன் மேம்பட்டது.
heaven	சொர்க்கம்	அவர்கள் மேலே சொர்க்கத்தைக் கற்பனை செய்தனர்.
heel	குதிங்கால்	அவனது குதிங்கால் கடுமையாக வலித்தது.
hell	நரகம்	அந்தப் பயணம் நரகமாக இருந்தது.
hesitate	தயங்கு	கேட்கத் தயங்க வேண்டாம்.
hollow	வெற்றிடமான	மரம் உள்ளே வெற்றிடமாக இருந்தது.
holy	புனிதமான	அவர்கள் ஒரு புனித இடத்திற்குச் சென்றனர்.
honour	கௌரவம்	அவர்கள் கௌரவத்திற்காகப் போராடினர்.
household	குடும்பம்	ஒவ்வொரு வீட்டிற்கும் தண்ணீர் கிடைத்தது.
housing	வீட்டு வசதி	வீட்டு வசதி செலவுகள் தொடர்ந்து அதிகரிக்கின்றன.
humorous	நகைச்சுவையான	அவனுடைய கதை நகைச்சுவையாக இருந்தது.
humour	நகைச்சுவை	நகைச்சுவை மன அழுத்தத்தைக் குறைக்க உதவியது.
hunting	வேட்டையாடுதல்	இங்கே வேட்டையாடுதல் தடை செய்யப்பட்டுள்ளது.
illustrate	விளக்கு	எடுத்துக்காட்டுகள் விதியை விளக்குகின்றன.
illustration	விளக்கம் / படம்	படம் செயல்முறையைக் காட்டுகிறது.
imagination	கற்பனை	குழந்தைகள் கற்பனையைச் சுதந்திரமாகப் பயன்படுத்துகின்றனர்.
impatient	பொறுமையற்ற	ஓட்டுநர்கள் பொறுமையிழந்தனர்.
imply	சூசகமாகக் கூறு	அவனுடைய மௌனம் சம்மதத்தை உணர்த்தலாம்.
impose	விதி	நீதிமன்றம் அபராதம் விதித்தது.
impress	கவரு	அவளுடைய தைரியம் அனைவரையும் கவர்ந்தது.
impressed	கவரப்பட்ட	அவளது வேலையால் நான் கவரப்பட்டேன்.
inch	அங்குலம்	அதை ஒரு அங்குலம் இடதுபுறம் நகர்த்தவும்.
incident	சம்பவம்	இந்தச் சம்பவம் கவலையை ஏற்படுத்தியது.
income	வருமானம்	அவர்களது வருமானம் மெதுவாக அதிகரித்தது.
increasingly	பெருகிய முறையில்	வீட்டு வசதி பெருகிய முறையில் விலை உயர்ந்ததாகி வருகிறது.
industrial	தொழில்துறை	இந்த நகரம் தொழில்துறை வேர்களைக் கொண்டுள்ளது.
infection	தொற்று	தொற்று விரைவாகப் பரவியது.
inform	தெரிவி	தயவுசெய்து மேலாளருக்குத் தெரிவிக்கவும்.
initial	ஆரம்ப	ஆரம்ப செலவு அதிகமாக இருந்தது.
initially	ஆரம்பத்தில்	ஆரம்பத்தில், யாரும் அவனை நம்பவில்லை.
initiative	முயற்சி	அவள் ஒரு புதிய முயற்சியைத் தொடங்கினாள்.
inner	உள்	உள் கதவு பூட்டப்பட்டிருந்தது.
insight	நுண்ணறிவு	இந்த அறிக்கை பயனுள்ள நுண்ணறிவை வழங்குகிறது.
insist	வலியுறுத்து	அவர்கள் பாதுகாப்பு சோதனைகளை வலியுறுத்துகின்றனர்.
inspire	ஊக்கமளி	அவளது கதை மற்றவர்களுக்கு ஊக்கமளிக்கலாம்.
install	நிறுவு	அவர்கள் ஒரு புதிய ஹீட்டரை நிறுவினர்.
instance	உதாரணம்	இது ஒரு தெளிவான உதாரணமாகும்.
